,GABA,alpha-hydroxybutyrate,phosphocreatine,serine,alpha-glycerophosphocholine,alpha-glycerophosphate,pyroglutamic acid,niacinamide,C16:0 LPE,C22:6 LPE,isocitrate,palmitoylcarnitine,UMP,C36:4 PC-B,valerylcarnitine,C18:0 LPC,adenosine,asparagine,SDMA/ADMA,urate,3-phosphoglycerate,NADP,creatinine,inositol,hypoxanthine,C56:5 TAG,C34:4 PC,cytidine,pantothenate,serotonin
512,0.0,4.0,6.0,13.0,12.0,1.0,2.0,14.0,9.0,16.0,8.0,5.0,37.0,18.0,10.0,3.0,17.0,7.0,19.0,31.0,30.0,28.0,23.0,29.0,25.0,22.0,11.0,20.0,43.0,26.0
561,7.0,0.0,2.0,4.0,8.0,9.0,3.0,12.0,5.0,21.0,6.0,1.0,18.0,10.0,13.0,15.0,11.0,16.0,20.0,23.0,14.0,33.0,25.0,22.0,28.0,24.0,36.0,19.0,32.0,17.0
610,1.0,2.0,0.0,8.0,4.0,13.0,3.0,11.0,6.0,39.0,10.0,5.0,27.0,9.0,22.0,7.0,20.0,17.0,12.0,14.0,34.0,16.0,23.0,28.0,25.0,19.0,32.0,29.0,47.0,15.0
659,8.0,0.0,4.0,3.0,6.0,7.0,1.0,9.0,2.0,35.0,5.0,11.0,32.0,21.0,22.0,10.0,19.0,16.0,20.0,28.0,17.0,15.0,25.0,26.0,14.0,33.0,27.0,13.0,45.0,23.0
708,13.0,0.0,1.0,5.0,7.0,9.0,4.0,6.0,3.0,27.0,10.0,8.0,22.0,14.0,2.0,17.0,21.0,16.0,26.0,23.0,24.0,33.0,18.0,11.0,12.0,20.0,39.0,25.0,32.0,19.0
757,5.0,2.0,0.0,7.0,3.0,13.0,4.0,17.0,10.0,16.0,11.0,8.0,24.0,9.0,15.0,1.0,37.0,6.0,19.0,18.0,26.0,35.0,22.0,12.0,31.0,29.0,20.0,27.0,32.0,25.0
806,5.0,0.0,2.0,8.0,1.0,19.0,3.0,4.0,9.0,29.0,7.0,6.0,27.0,18.0,12.0,16.0,62.0,15.0,38.0,14.0,21.0,30.0,32.0,31.0,25.0,34.0,28.0,13.0,22.0,35.0
855,5.0,1.0,0.0,12.0,4.0,3.0,7.0,20.0,8.0,10.0,15.0,9.0,29.0,14.0,18.0,24.0,13.0,19.0,21.0,23.0,6.0,17.0,22.0,16.0,2.0,26.0,36.0,28.0,25.0,34.0
904,2.0,1.0,0.0,9.0,6.0,18.0,5.0,10.0,4.0,19.0,8.0,3.0,36.0,13.0,11.0,7.0,20.0,23.0,16.0,25.0,17.0,30.0,22.0,26.0,28.0,15.0,37.0,14.0,46.0,24.0
953,2.0,1.0,6.0,4.0,7.0,20.0,0.0,9.0,5.0,31.0,8.0,12.0,13.0,32.0,15.0,19.0,22.0,16.0,29.0,11.0,14.0,17.0,21.0,23.0,28.0,18.0,25.0,3.0,24.0,10.0
1002,0.0,1.0,2.0,4.0,3.0,7.0,5.0,6.0,11.0,10.0,8.0,12.0,17.0,14.0,26.0,21.0,16.0,23.0,9.0,19.0,15.0,13.0,29.0,20.0,27.0,30.0,18.0,25.0,34.0,31.0
1051,0.0,1.0,7.0,6.0,4.0,3.0,2.0,5.0,19.0,13.0,15.0,14.0,16.0,10.0,11.0,21.0,9.0,12.0,8.0,18.0,24.0,17.0,32.0,28.0,26.0,20.0,22.0,31.0,29.0,27.0
1100,1.0,0.0,2.0,3.0,8.0,16.0,6.0,11.0,23.0,7.0,19.0,5.0,13.0,14.0,26.0,12.0,9.0,27.0,4.0,15.0,21.0,29.0,22.0,17.0,40.0,28.0,10.0,18.0,38.0,30.0
1149,1.0,2.0,0.0,4.0,8.0,14.0,5.0,11.0,18.0,10.0,7.0,6.0,26.0,3.0,32.0,31.0,16.0,29.0,13.0,30.0,12.0,22.0,28.0,23.0,19.0,21.0,25.0,9.0,44.0,34.0
1198,1.0,0.0,3.0,6.0,5.0,2.0,14.0,13.0,9.0,8.0,7.0,10.0,26.0,4.0,23.0,22.0,11.0,19.0,12.0,15.0,20.0,27.0,24.0,25.0,33.0,16.0,17.0,29.0,32.0,34.0
1247,1.0,0.0,2.0,9.0,5.0,7.0,11.0,8.0,4.0,14.0,3.0,15.0,29.0,6.0,22.0,23.0,16.0,28.0,12.0,13.0,10.0,24.0,32.0,26.0,35.0,20.0,21.0,25.0,17.0,27.0
1296,1.0,3.0,2.0,8.0,4.0,6.0,11.0,0.0,7.0,12.0,5.0,10.0,9.0,16.0,23.0,22.0,28.0,29.0,13.0,14.0,15.0,34.0,26.0,17.0,20.0,27.0,31.0,41.0,25.0,19.0
1345,1.0,0.0,2.0,4.0,8.0,3.0,5.0,15.0,6.0,7.0,9.0,16.0,18.0,12.0,13.0,20.0,11.0,27.0,10.0,21.0,25.0,26.0,50.0,32.0,49.0,24.0,29.0,17.0,51.0,42.0
1394,1.0,0.0,3.0,9.0,6.0,8.0,16.0,4.0,25.0,2.0,7.0,5.0,10.0,19.0,21.0,11.0,15.0,18.0,14.0,13.0,24.0,30.0,28.0,17.0,22.0,37.0,20.0,31.0,40.0,27.0
1443,4.0,1.0,2.0,0.0,9.0,11.0,12.0,14.0,17.0,3.0,20.0,5.0,15.0,7.0,6.0,32.0,16.0,25.0,21.0,22.0,10.0,28.0,31.0,29.0,30.0,40.0,45.0,44.0,8.0,23.0
1492,5.0,1.0,3.0,2.0,8.0,0.0,7.0,4.0,13.0,6.0,31.0,19.0,10.0,17.0,21.0,22.0,16.0,14.0,9.0,29.0,18.0,20.0,23.0,36.0,39.0,30.0,12.0,27.0,25.0,40.0
1541,4.0,2.0,7.0,5.0,8.0,0.0,12.0,1.0,15.0,9.0,16.0,11.0,14.0,22.0,26.0,13.0,24.0,3.0,17.0,20.0,25.0,6.0,18.0,30.0,31.0,38.0,10.0,19.0,40.0,29.0
1590,8.0,1.0,11.0,21.0,12.0,0.0,3.0,2.0,16.0,9.0,7.0,19.0,15.0,5.0,28.0,6.0,26.0,20.0,10.0,23.0,24.0,4.0,13.0,33.0,29.0,47.0,14.0,40.0,17.0,49.0
1639,5.0,0.0,3.0,9.0,8.0,2.0,4.0,1.0,7.0,10.0,12.0,18.0,17.0,16.0,6.0,14.0,29.0,13.0,15.0,21.0,41.0,11.0,30.0,20.0,27.0,42.0,25.0,22.0,28.0,24.0
1688,3.0,1.0,5.0,2.0,6.0,0.0,9.0,4.0,8.0,7.0,13.0,24.0,20.0,15.0,22.0,10.0,18.0,11.0,12.0,14.0,25.0,16.0,17.0,27.0,32.0,33.0,26.0,28.0,19.0,37.0
1737,3.0,1.0,6.0,8.0,10.0,2.0,5.0,0.0,13.0,4.0,11.0,18.0,12.0,7.0,21.0,35.0,15.0,9.0,17.0,25.0,14.0,20.0,16.0,26.0,24.0,36.0,28.0,19.0,23.0,37.0
1786,3.0,2.0,1.0,8.0,5.0,0.0,10.0,6.0,20.0,4.0,9.0,11.0,16.0,17.0,19.0,12.0,15.0,7.0,13.0,21.0,27.0,25.0,14.0,28.0,30.0,32.0,24.0,22.0,40.0,33.0
1835,3.0,0.0,5.0,2.0,4.0,1.0,7.0,13.0,19.0,6.0,15.0,14.0,11.0,9.0,18.0,10.0,12.0,22.0,17.0,20.0,25.0,8.0,21.0,26.0,37.0,41.0,16.0,27.0,32.0,24.0
1884,2.0,0.0,6.0,9.0,11.0,1.0,4.0,5.0,18.0,12.0,29.0,17.0,16.0,10.0,13.0,8.0,20.0,7.0,15.0,21.0,38.0,3.0,19.0,42.0,32.0,41.0,14.0,27.0,24.0,31.0
1933,6.0,3.0,2.0,1.0,8.0,0.0,13.0,11.0,7.0,10.0,15.0,9.0,14.0,4.0,27.0,34.0,20.0,18.0,16.0,5.0,32.0,17.0,12.0,35.0,21.0,46.0,38.0,22.0,28.0,31.0
1982,2.0,1.0,5.0,3.0,0.0,7.0,8.0,13.0,12.0,11.0,6.0,18.0,4.0,19.0,27.0,26.0,22.0,25.0,20.0,10.0,14.0,15.0,32.0,16.0,28.0,21.0,29.0,9.0,17.0,24.0
2031,5.0,0.0,1.0,3.0,4.0,30.0,6.0,8.0,10.0,2.0,12.0,9.0,15.0,7.0,11.0,40.0,18.0,31.0,16.0,13.0,14.0,20.0,38.0,28.0,19.0,37.0,46.0,21.0,34.0,35.0
2080,11.0,1.0,2.0,0.0,3.0,12.0,4.0,27.0,6.0,8.0,10.0,15.0,21.0,18.0,14.0,26.0,5.0,34.0,22.0,20.0,7.0,16.0,42.0,19.0,24.0,25.0,17.0,13.0,23.0,9.0
2129,5.0,0.0,3.0,1.0,2.0,12.0,6.0,15.0,20.0,4.0,10.0,17.0,11.0,8.0,7.0,18.0,27.0,28.0,13.0,16.0,34.0,9.0,14.0,19.0,39.0,29.0,22.0,24.0,23.0,33.0
2178,2.0,1.0,5.0,0.0,3.0,9.0,6.0,8.0,12.0,20.0,10.0,11.0,14.0,7.0,15.0,24.0,27.0,22.0,31.0,4.0,18.0,13.0,26.0,16.0,34.0,43.0,29.0,21.0,19.0,17.0
2227,4.0,1.0,0.0,3.0,2.0,5.0,7.0,21.0,17.0,11.0,6.0,10.0,12.0,9.0,8.0,14.0,13.0,29.0,22.0,25.0,20.0,33.0,16.0,15.0,38.0,28.0,26.0,24.0,23.0,19.0
2276,3.0,1.0,2.0,0.0,4.0,13.0,6.0,15.0,11.0,14.0,8.0,12.0,5.0,7.0,33.0,35.0,22.0,19.0,18.0,25.0,16.0,21.0,34.0,10.0,24.0,23.0,26.0,31.0,17.0,9.0
2325,0.0,1.0,2.0,3.0,5.0,16.0,21.0,27.0,12.0,6.0,20.0,18.0,4.0,8.0,17.0,31.0,30.0,13.0,19.0,7.0,36.0,10.0,22.0,25.0,23.0,28.0,15.0,44.0,14.0,11.0
2374,0.0,1.0,3.0,4.0,6.0,15.0,2.0,13.0,9.0,5.0,8.0,16.0,7.0,20.0,24.0,10.0,30.0,37.0,12.0,23.0,19.0,18.0,26.0,11.0,28.0,14.0,17.0,22.0,42.0,38.0
2423,7.0,1.0,2.0,0.0,4.0,3.0,8.0,24.0,12.0,5.0,10.0,28.0,14.0,37.0,9.0,15.0,21.0,40.0,18.0,16.0,20.0,17.0,26.0,19.0,31.0,39.0,23.0,6.0,25.0,13.0
2472,0.0,1.0,6.0,17.0,19.0,2.0,8.0,3.0,11.0,10.0,14.0,20.0,5.0,12.0,28.0,33.0,7.0,18.0,26.0,21.0,15.0,4.0,24.0,16.0,13.0,39.0,29.0,9.0,34.0,38.0
2521,0.0,14.0,1.0,2.0,10.0,8.0,15.0,7.0,5.0,3.0,22.0,13.0,6.0,11.0,18.0,27.0,4.0,12.0,20.0,17.0,28.0,21.0,24.0,9.0,23.0,26.0,19.0,48.0,30.0,33.0
2570,2.0,3.0,9.0,1.0,4.0,6.0,5.0,10.0,13.0,8.0,14.0,0.0,11.0,18.0,7.0,16.0,12.0,15.0,20.0,29.0,26.0,27.0,19.0,21.0,31.0,25.0,17.0,34.0,39.0,30.0
2619,0.0,4.0,2.0,1.0,3.0,31.0,17.0,7.0,11.0,24.0,12.0,15.0,14.0,5.0,19.0,16.0,6.0,8.0,18.0,13.0,26.0,9.0,20.0,28.0,30.0,36.0,10.0,22.0,21.0,33.0
2668,1.0,2.0,0.0,4.0,11.0,20.0,17.0,3.0,13.0,7.0,14.0,5.0,12.0,6.0,9.0,16.0,8.0,15.0,25.0,29.0,23.0,18.0,19.0,21.0,22.0,26.0,10.0,27.0,31.0,33.0
2717,0.0,4.0,3.0,2.0,14.0,13.0,11.0,7.0,8.0,9.0,22.0,12.0,1.0,15.0,5.0,20.0,6.0,24.0,19.0,25.0,35.0,10.0,16.0,18.0,27.0,31.0,17.0,38.0,23.0,37.0
2766,0.0,5.0,2.0,8.0,12.0,17.0,10.0,19.0,15.0,4.0,26.0,6.0,18.0,24.0,3.0,9.0,1.0,14.0,21.0,34.0,13.0,20.0,30.0,33.0,22.0,16.0,7.0,11.0,28.0,44.0
2815,3.0,1.0,0.0,2.0,11.0,4.0,8.0,15.0,13.0,5.0,23.0,9.0,7.0,18.0,6.0,14.0,17.0,25.0,12.0,39.0,19.0,10.0,21.0,32.0,24.0,36.0,29.0,45.0,28.0,37.0
2864,0.0,1.0,3.0,4.0,21.0,14.0,6.0,10.0,9.0,5.0,7.0,19.0,8.0,12.0,20.0,32.0,2.0,17.0,22.0,24.0,13.0,11.0,16.0,23.0,29.0,18.0,26.0,27.0,28.0,40.0
2913,1.0,0.0,3.0,16.0,13.0,6.0,7.0,4.0,12.0,8.0,46.0,15.0,19.0,17.0,10.0,9.0,5.0,11.0,27.0,26.0,45.0,2.0,31.0,14.0,20.0,37.0,22.0,41.0,34.0,43.0
2962,0.0,1.0,4.0,2.0,9.0,6.0,13.0,3.0,10.0,16.0,11.0,19.0,5.0,29.0,7.0,17.0,20.0,8.0,24.0,15.0,23.0,14.0,12.0,40.0,26.0,18.0,34.0,27.0,42.0,22.0
3011,0.0,1.0,2.0,8.0,5.0,4.0,11.0,6.0,3.0,19.0,9.0,7.0,13.0,15.0,17.0,25.0,12.0,10.0,29.0,22.0,18.0,39.0,21.0,28.0,26.0,14.0,43.0,42.0,34.0,20.0
3060,0.0,1.0,2.0,7.0,3.0,4.0,16.0,6.0,5.0,8.0,12.0,15.0,17.0,22.0,11.0,13.0,9.0,30.0,21.0,32.0,18.0,24.0,10.0,33.0,26.0,14.0,42.0,28.0,35.0,20.0
3109,1.0,0.0,3.0,13.0,15.0,5.0,21.0,4.0,2.0,11.0,18.0,12.0,7.0,6.0,17.0,22.0,20.0,9.0,23.0,14.0,16.0,28.0,19.0,47.0,10.0,31.0,24.0,27.0,30.0,25.0
3158,0.0,1.0,9.0,18.0,13.0,12.0,5.0,3.0,2.0,14.0,4.0,15.0,8.0,27.0,6.0,11.0,30.0,20.0,19.0,31.0,17.0,22.0,10.0,35.0,7.0,33.0,29.0,28.0,21.0,24.0
3207,0.0,4.0,6.0,1.0,13.0,9.0,5.0,2.0,11.0,20.0,10.0,16.0,8.0,28.0,3.0,19.0,12.0,7.0,21.0,22.0,14.0,26.0,17.0,40.0,29.0,15.0,24.0,25.0,32.0,23.0
3256,0.0,2.0,1.0,7.0,9.0,17.0,13.0,5.0,4.0,3.0,8.0,11.0,10.0,20.0,29.0,24.0,6.0,14.0,25.0,27.0,12.0,34.0,15.0,39.0,28.0,16.0,23.0,30.0,49.0,19.0
3305,1.0,0.0,3.0,11.0,12.0,9.0,13.0,8.0,2.0,5.0,4.0,27.0,10.0,22.0,20.0,23.0,7.0,16.0,29.0,19.0,6.0,24.0,25.0,26.0,14.0,18.0,34.0,38.0,30.0,32.0
3354,1.0,3.0,5.0,8.0,2.0,0.0,14.0,4.0,11.0,12.0,6.0,18.0,13.0,7.0,10.0,39.0,15.0,23.0,17.0,43.0,9.0,30.0,16.0,53.0,28.0,27.0,29.0,42.0,22.0,21.0
3403,0.0,1.0,10.0,4.0,15.0,23.0,9.0,12.0,8.0,17.0,27.0,21.0,31.0,7.0,5.0,3.0,22.0,13.0,24.0,41.0,2.0,6.0,14.0,57.0,16.0,25.0,26.0,11.0,32.0,30.0
3452,1.0,0.0,5.0,3.0,2.0,17.0,14.0,23.0,13.0,26.0,6.0,4.0,15.0,32.0,22.0,28.0,33.0,31.0,16.0,18.0,11.0,29.0,21.0,10.0,7.0,9.0,19.0,36.0,24.0,39.0
3501,2.0,0.0,4.0,7.0,1.0,16.0,8.0,31.0,5.0,26.0,3.0,9.0,6.0,11.0,14.0,12.0,25.0,23.0,10.0,33.0,13.0,35.0,20.0,19.0,28.0,17.0,32.0,40.0,22.0,18.0
3550,0.0,1.0,5.0,15.0,13.0,10.0,9.0,2.0,14.0,27.0,8.0,4.0,6.0,22.0,23.0,24.0,33.0,12.0,19.0,29.0,21.0,16.0,7.0,25.0,3.0,26.0,20.0,34.0,17.0,36.0
3599,1.0,0.0,10.0,5.0,2.0,4.0,7.0,3.0,18.0,36.0,13.0,14.0,16.0,26.0,11.0,29.0,27.0,19.0,20.0,15.0,17.0,22.0,6.0,9.0,23.0,12.0,8.0,40.0,28.0,24.0
3648,1.0,3.0,4.0,7.0,0.0,17.0,2.0,10.0,9.0,14.0,8.0,5.0,6.0,11.0,16.0,21.0,15.0,13.0,26.0,29.0,24.0,33.0,12.0,25.0,27.0,22.0,18.0,41.0,20.0,38.0
3697,0.0,1.0,3.0,5.0,2.0,4.0,7.0,9.0,10.0,20.0,8.0,15.0,12.0,11.0,24.0,19.0,31.0,23.0,17.0,28.0,14.0,34.0,13.0,22.0,35.0,6.0,26.0,32.0,16.0,37.0
3746,0.0,2.0,1.0,7.0,4.0,23.0,9.0,28.0,16.0,19.0,6.0,3.0,5.0,15.0,24.0,29.0,27.0,8.0,21.0,30.0,18.0,11.0,25.0,12.0,13.0,14.0,10.0,33.0,35.0,31.0
3795,8.0,0.0,1.0,4.0,6.0,30.0,10.0,26.0,13.0,20.0,12.0,2.0,5.0,3.0,31.0,23.0,24.0,11.0,22.0,17.0,18.0,25.0,7.0,16.0,28.0,14.0,9.0,37.0,27.0,32.0
3844,5.0,0.0,20.0,2.0,4.0,3.0,6.0,8.0,10.0,26.0,7.0,1.0,15.0,33.0,34.0,17.0,39.0,18.0,16.0,27.0,21.0,13.0,11.0,9.0,12.0,31.0,22.0,25.0,40.0,38.0
3893,3.0,0.0,1.0,4.0,7.0,11.0,9.0,14.0,5.0,18.0,2.0,6.0,17.0,21.0,13.0,30.0,23.0,41.0,24.0,16.0,12.0,34.0,32.0,15.0,10.0,20.0,25.0,28.0,29.0,47.0
3942,13.0,0.0,3.0,2.0,6.0,1.0,17.0,5.0,4.0,19.0,16.0,14.0,12.0,31.0,8.0,10.0,30.0,27.0,18.0,15.0,32.0,34.0,9.0,24.0,25.0,51.0,28.0,33.0,43.0,7.0
3991,4.0,3.0,0.0,1.0,18.0,2.0,14.0,6.0,8.0,5.0,15.0,9.0,19.0,36.0,23.0,16.0,21.0,17.0,26.0,22.0,37.0,27.0,13.0,39.0,7.0,51.0,32.0,28.0,44.0,10.0
4040,2.0,0.0,3.0,1.0,31.0,5.0,13.0,9.0,11.0,20.0,10.0,14.0,8.0,32.0,34.0,6.0,43.0,21.0,22.0,4.0,36.0,38.0,27.0,23.0,16.0,46.0,15.0,35.0,29.0,18.0
4089,2.0,0.0,4.0,3.0,12.0,1.0,16.0,7.0,9.0,10.0,6.0,8.0,15.0,49.0,39.0,11.0,17.0,27.0,20.0,13.0,22.0,30.0,24.0,32.0,19.0,36.0,18.0,40.0,31.0,14.0
4138,1.0,0.0,3.0,4.0,34.0,5.0,16.0,6.0,2.0,9.0,15.0,21.0,7.0,24.0,12.0,14.0,30.0,36.0,29.0,13.0,27.0,39.0,17.0,22.0,28.0,52.0,8.0,47.0,40.0,11.0
4187,1.0,2.0,6.0,5.0,13.0,0.0,14.0,8.0,3.0,21.0,7.0,15.0,12.0,39.0,25.0,4.0,32.0,24.0,18.0,9.0,22.0,46.0,17.0,36.0,19.0,43.0,28.0,37.0,40.0,11.0
4236,0.0,13.0,2.0,6.0,26.0,1.0,15.0,3.0,5.0,22.0,14.0,12.0,8.0,48.0,4.0,16.0,37.0,17.0,27.0,19.0,31.0,43.0,30.0,40.0,21.0,34.0,44.0,53.0,10.0,7.0
4285,2.0,0.0,1.0,7.0,6.0,11.0,17.0,4.0,5.0,27.0,15.0,3.0,16.0,24.0,9.0,10.0,29.0,21.0,20.0,12.0,25.0,51.0,18.0,37.0,26.0,43.0,14.0,28.0,35.0,8.0
4334,2.0,0.0,11.0,4.0,23.0,1.0,22.0,5.0,3.0,7.0,12.0,13.0,14.0,39.0,27.0,6.0,36.0,29.0,25.0,8.0,10.0,20.0,30.0,17.0,24.0,45.0,34.0,28.0,16.0,19.0
4383,4.0,7.0,3.0,5.0,17.0,0.0,14.0,13.0,8.0,6.0,10.0,11.0,29.0,37.0,1.0,9.0,23.0,39.0,25.0,28.0,16.0,46.0,19.0,50.0,31.0,35.0,27.0,30.0,36.0,24.0
4432,0.0,3.0,1.0,2.0,4.0,7.0,11.0,5.0,6.0,16.0,25.0,10.0,34.0,13.0,15.0,12.0,8.0,19.0,27.0,14.0,26.0,20.0,21.0,28.0,9.0,22.0,24.0,18.0,17.0,23.0
4481,0.0,1.0,3.0,2.0,5.0,22.0,6.0,13.0,7.0,9.0,15.0,8.0,23.0,19.0,4.0,10.0,16.0,29.0,26.0,30.0,38.0,18.0,11.0,46.0,37.0,14.0,45.0,25.0,17.0,33.0
4530,0.0,4.0,9.0,1.0,6.0,19.0,23.0,3.0,2.0,12.0,31.0,10.0,25.0,17.0,16.0,8.0,13.0,11.0,24.0,18.0,30.0,21.0,20.0,14.0,36.0,15.0,38.0,27.0,7.0,40.0
4579,0.0,3.0,5.0,1.0,10.0,2.0,4.0,8.0,6.0,7.0,9.0,15.0,21.0,25.0,17.0,19.0,14.0,11.0,29.0,13.0,33.0,20.0,27.0,34.0,18.0,23.0,39.0,22.0,12.0,41.0
4628,0.0,3.0,2.0,1.0,6.0,17.0,10.0,9.0,11.0,27.0,19.0,7.0,42.0,20.0,4.0,5.0,16.0,14.0,21.0,23.0,33.0,18.0,22.0,26.0,24.0,8.0,28.0,15.0,12.0,29.0
4677,0.0,3.0,2.0,1.0,7.0,10.0,16.0,5.0,6.0,20.0,17.0,9.0,21.0,48.0,4.0,15.0,18.0,19.0,28.0,13.0,38.0,34.0,29.0,33.0,22.0,14.0,44.0,41.0,23.0,26.0
4726,0.0,3.0,2.0,1.0,14.0,42.0,4.0,10.0,7.0,5.0,29.0,6.0,31.0,16.0,18.0,11.0,15.0,9.0,26.0,27.0,25.0,22.0,24.0,33.0,32.0,17.0,12.0,19.0,8.0,43.0
4775,0.0,3.0,2.0,1.0,4.0,15.0,6.0,9.0,5.0,14.0,33.0,18.0,24.0,26.0,7.0,13.0,8.0,12.0,28.0,21.0,35.0,25.0,22.0,38.0,20.0,10.0,48.0,11.0,17.0,30.0
4824,0.0,1.0,3.0,2.0,7.0,21.0,5.0,14.0,8.0,10.0,38.0,6.0,26.0,9.0,13.0,12.0,18.0,19.0,16.0,37.0,29.0,27.0,15.0,32.0,39.0,11.0,31.0,42.0,4.0,35.0
4873,0.0,5.0,2.0,1.0,4.0,16.0,3.0,8.0,6.0,14.0,20.0,13.0,29.0,31.0,11.0,10.0,15.0,17.0,32.0,27.0,35.0,7.0,28.0,24.0,23.0,9.0,30.0,33.0,12.0,22.0
