,Akt_pS473,AR,CDK1,c-Jun_pS73,MEK1_pS217_S221,TIGAR,HER3,PRAS40_pT246,Syk,Acetyl-a-Tubulin (Lys40),FRA1,Rab25,Src_pY416,E-Cadherin,JNK2,p70S6K_pT389,PKC-pan_BetaII_pS660,Heregulin,Src,MIG-6,CD49b,SHP-2_pY542,Claudin-7,TFRC,Smad3,STAT5-alpha,VHL,RBM15,Bax,Gab2
1082,0.0,1.0,11.0,3.0,6.0,12.0,2.0,9.0,7.0,8.0,5.0,23.0,78.0,38.0,55.0,4.0,25.0,32.0,14.0,72.0,90.0,27.0,118.0,17.0,75.0,19.0,51.0,49.0,56.0,26.0
1131,0.0,4.0,3.0,2.0,8.0,1.0,20.0,9.0,10.0,6.0,7.0,28.0,11.0,60.0,54.0,5.0,18.0,22.0,95.0,19.0,13.0,24.0,84.0,26.0,15.0,86.0,40.0,14.0,53.0,31.0
1180,0.0,4.0,1.0,14.0,6.0,7.0,5.0,3.0,31.0,16.0,19.0,11.0,15.0,100.0,110.0,23.0,26.0,8.0,38.0,33.0,48.0,18.0,24.0,2.0,96.0,22.0,58.0,146.0,53.0,9.0
1229,0.0,8.0,3.0,2.0,5.0,9.0,6.0,1.0,4.0,18.0,44.0,15.0,29.0,11.0,28.0,12.0,45.0,17.0,7.0,10.0,42.0,68.0,24.0,26.0,61.0,19.0,39.0,80.0,111.0,34.0
1278,0.0,2.0,6.0,3.0,4.0,7.0,11.0,10.0,5.0,9.0,27.0,31.0,53.0,67.0,45.0,1.0,36.0,29.0,8.0,14.0,19.0,20.0,42.0,12.0,55.0,69.0,115.0,110.0,15.0,79.0
1327,0.0,2.0,19.0,1.0,5.0,10.0,18.0,6.0,7.0,9.0,8.0,38.0,16.0,48.0,113.0,3.0,11.0,31.0,4.0,34.0,54.0,52.0,35.0,15.0,17.0,12.0,56.0,22.0,47.0,44.0
1376,0.0,3.0,8.0,1.0,2.0,12.0,27.0,9.0,6.0,5.0,13.0,54.0,19.0,17.0,16.0,4.0,14.0,28.0,7.0,26.0,44.0,84.0,74.0,11.0,29.0,85.0,118.0,21.0,35.0,23.0
1425,0.0,5.0,7.0,2.0,3.0,13.0,19.0,12.0,9.0,1.0,4.0,27.0,14.0,23.0,37.0,6.0,11.0,60.0,8.0,17.0,39.0,31.0,43.0,15.0,29.0,125.0,72.0,64.0,30.0,28.0
1474,0.0,3.0,2.0,13.0,8.0,1.0,11.0,9.0,10.0,4.0,5.0,15.0,48.0,24.0,12.0,23.0,7.0,34.0,40.0,45.0,51.0,26.0,41.0,6.0,21.0,36.0,27.0,17.0,20.0,22.0
1523,0.0,8.0,1.0,6.0,4.0,11.0,2.0,7.0,9.0,10.0,5.0,14.0,64.0,3.0,13.0,18.0,20.0,37.0,48.0,23.0,36.0,15.0,25.0,33.0,34.0,47.0,22.0,21.0,16.0,32.0
1572,0.0,5.0,1.0,12.0,13.0,3.0,2.0,4.0,6.0,22.0,10.0,77.0,19.0,7.0,9.0,20.0,47.0,14.0,15.0,11.0,26.0,29.0,27.0,66.0,35.0,30.0,43.0,8.0,39.0,24.0
1621,0.0,16.0,3.0,15.0,5.0,6.0,12.0,1.0,2.0,29.0,8.0,17.0,59.0,37.0,13.0,50.0,19.0,26.0,9.0,18.0,21.0,32.0,36.0,25.0,42.0,40.0,28.0,85.0,45.0,7.0
1670,0.0,9.0,1.0,4.0,3.0,2.0,6.0,26.0,29.0,5.0,12.0,69.0,18.0,22.0,15.0,13.0,41.0,111.0,10.0,60.0,82.0,35.0,37.0,65.0,36.0,21.0,38.0,43.0,39.0,20.0
1719,0.0,4.0,5.0,3.0,15.0,1.0,14.0,10.0,2.0,6.0,9.0,8.0,17.0,25.0,52.0,101.0,12.0,29.0,19.0,11.0,27.0,44.0,22.0,32.0,77.0,62.0,39.0,86.0,24.0,33.0
1768,0.0,8.0,1.0,7.0,3.0,2.0,5.0,4.0,14.0,21.0,9.0,6.0,22.0,17.0,11.0,33.0,10.0,23.0,16.0,63.0,24.0,29.0,12.0,74.0,19.0,20.0,26.0,59.0,108.0,18.0
1817,0.0,13.0,5.0,7.0,4.0,31.0,2.0,8.0,15.0,12.0,3.0,16.0,10.0,6.0,9.0,14.0,30.0,51.0,20.0,32.0,44.0,40.0,52.0,1.0,23.0,22.0,100.0,27.0,34.0,24.0
1866,0.0,22.0,2.0,15.0,7.0,20.0,8.0,3.0,6.0,5.0,16.0,1.0,17.0,4.0,25.0,28.0,13.0,36.0,18.0,10.0,33.0,82.0,9.0,19.0,71.0,57.0,24.0,138.0,37.0,11.0
1915,0.0,7.0,4.0,5.0,8.0,3.0,1.0,6.0,9.0,14.0,2.0,12.0,31.0,29.0,64.0,15.0,17.0,27.0,10.0,13.0,30.0,108.0,42.0,24.0,18.0,112.0,19.0,72.0,88.0,16.0
1964,0.0,12.0,1.0,5.0,11.0,2.0,8.0,6.0,15.0,9.0,14.0,19.0,87.0,36.0,4.0,21.0,56.0,16.0,7.0,20.0,3.0,26.0,47.0,24.0,27.0,25.0,122.0,10.0,44.0,150.0
2013,0.0,1.0,2.0,6.0,4.0,11.0,12.0,21.0,18.0,3.0,38.0,26.0,25.0,34.0,23.0,7.0,8.0,10.0,54.0,32.0,15.0,52.0,30.0,20.0,22.0,17.0,16.0,45.0,13.0,28.0
2062,0.0,2.0,1.0,9.0,5.0,6.0,4.0,21.0,10.0,15.0,19.0,11.0,33.0,8.0,3.0,17.0,54.0,7.0,86.0,12.0,16.0,22.0,36.0,38.0,56.0,40.0,20.0,78.0,53.0,18.0
2111,0.0,1.0,9.0,6.0,2.0,3.0,7.0,18.0,4.0,28.0,11.0,53.0,34.0,8.0,29.0,10.0,26.0,12.0,14.0,62.0,5.0,30.0,47.0,22.0,55.0,17.0,81.0,32.0,137.0,24.0
2160,0.0,1.0,5.0,2.0,21.0,8.0,10.0,28.0,12.0,6.0,52.0,7.0,4.0,9.0,11.0,36.0,39.0,26.0,14.0,79.0,3.0,57.0,46.0,48.0,40.0,13.0,24.0,34.0,30.0,72.0
2209,0.0,2.0,5.0,4.0,12.0,9.0,7.0,6.0,3.0,17.0,54.0,11.0,75.0,1.0,8.0,21.0,34.0,48.0,26.0,61.0,10.0,16.0,53.0,74.0,95.0,31.0,40.0,25.0,128.0,49.0
2258,0.0,1.0,5.0,7.0,2.0,3.0,4.0,15.0,26.0,35.0,12.0,47.0,32.0,9.0,11.0,10.0,22.0,30.0,8.0,53.0,13.0,27.0,87.0,58.0,19.0,20.0,23.0,82.0,90.0,54.0
2307,0.0,2.0,4.0,7.0,8.0,5.0,1.0,3.0,36.0,18.0,14.0,10.0,15.0,13.0,6.0,26.0,63.0,12.0,56.0,46.0,16.0,24.0,31.0,121.0,20.0,17.0,30.0,89.0,67.0,19.0
2356,0.0,2.0,11.0,10.0,5.0,3.0,7.0,14.0,16.0,1.0,38.0,15.0,23.0,9.0,17.0,6.0,33.0,13.0,59.0,25.0,4.0,34.0,70.0,68.0,47.0,75.0,99.0,153.0,30.0,22.0
2405,0.0,1.0,3.0,12.0,2.0,4.0,14.0,9.0,5.0,13.0,27.0,15.0,6.0,16.0,7.0,17.0,8.0,26.0,22.0,31.0,19.0,40.0,18.0,30.0,62.0,23.0,20.0,37.0,49.0,71.0
2454,1.0,0.0,4.0,8.0,6.0,3.0,5.0,16.0,17.0,2.0,27.0,10.0,7.0,55.0,13.0,26.0,19.0,12.0,38.0,28.0,15.0,9.0,76.0,29.0,93.0,11.0,20.0,57.0,54.0,33.0
2503,0.0,3.0,4.0,11.0,7.0,6.0,2.0,12.0,17.0,1.0,46.0,14.0,5.0,40.0,26.0,25.0,21.0,9.0,13.0,41.0,15.0,24.0,16.0,8.0,52.0,32.0,54.0,10.0,37.0,83.0
2552,1.0,0.0,3.0,8.0,9.0,12.0,5.0,17.0,10.0,2.0,7.0,36.0,11.0,18.0,55.0,25.0,27.0,4.0,15.0,6.0,21.0,20.0,29.0,16.0,54.0,13.0,53.0,28.0,24.0,79.0
2601,1.0,0.0,4.0,3.0,16.0,9.0,18.0,5.0,14.0,2.0,23.0,12.0,19.0,25.0,10.0,38.0,24.0,7.0,68.0,22.0,13.0,48.0,8.0,17.0,20.0,34.0,41.0,49.0,30.0,64.0
2650,0.0,1.0,2.0,11.0,4.0,6.0,5.0,15.0,10.0,3.0,27.0,39.0,9.0,80.0,29.0,46.0,56.0,12.0,8.0,22.0,7.0,25.0,33.0,14.0,78.0,20.0,16.0,19.0,35.0,58.0
2699,1.0,0.0,4.0,19.0,5.0,7.0,6.0,9.0,3.0,2.0,59.0,12.0,89.0,20.0,11.0,23.0,14.0,32.0,10.0,36.0,30.0,50.0,51.0,29.0,26.0,35.0,13.0,17.0,16.0,25.0
2748,0.0,1.0,3.0,7.0,4.0,5.0,17.0,11.0,2.0,6.0,48.0,15.0,8.0,55.0,12.0,41.0,25.0,14.0,13.0,75.0,10.0,54.0,18.0,36.0,32.0,9.0,29.0,16.0,31.0,20.0
2797,0.0,1.0,4.0,10.0,8.0,3.0,2.0,12.0,26.0,6.0,11.0,83.0,13.0,29.0,28.0,39.0,68.0,7.0,5.0,19.0,22.0,23.0,61.0,24.0,54.0,31.0,45.0,15.0,17.0,25.0
2846,0.0,1.0,3.0,12.0,5.0,4.0,10.0,6.0,9.0,2.0,20.0,14.0,13.0,89.0,27.0,18.0,19.0,7.0,21.0,24.0,17.0,16.0,40.0,8.0,28.0,15.0,54.0,11.0,26.0,109.0
2895,0.0,1.0,11.0,9.0,5.0,2.0,36.0,6.0,12.0,4.0,15.0,7.0,10.0,100.0,19.0,29.0,18.0,3.0,28.0,14.0,8.0,16.0,32.0,24.0,53.0,37.0,31.0,13.0,46.0,66.0
2944,0.0,5.0,2.0,1.0,7.0,4.0,3.0,20.0,10.0,27.0,14.0,12.0,23.0,9.0,16.0,63.0,19.0,41.0,59.0,71.0,42.0,25.0,39.0,33.0,22.0,15.0,35.0,89.0,28.0,43.0
2993,0.0,10.0,3.0,5.0,7.0,1.0,16.0,4.0,2.0,21.0,9.0,8.0,6.0,15.0,50.0,14.0,17.0,35.0,74.0,44.0,43.0,12.0,22.0,129.0,56.0,70.0,78.0,28.0,36.0,13.0
3042,0.0,2.0,5.0,1.0,9.0,3.0,8.0,18.0,6.0,11.0,4.0,15.0,13.0,37.0,59.0,64.0,25.0,16.0,61.0,19.0,26.0,56.0,24.0,53.0,75.0,36.0,29.0,90.0,10.0,41.0
3091,0.0,55.0,5.0,1.0,7.0,17.0,10.0,13.0,3.0,4.0,6.0,33.0,2.0,60.0,18.0,38.0,9.0,26.0,47.0,66.0,21.0,51.0,69.0,22.0,46.0,36.0,62.0,73.0,8.0,42.0
3140,0.0,25.0,6.0,1.0,19.0,5.0,12.0,4.0,2.0,16.0,7.0,57.0,8.0,9.0,11.0,20.0,3.0,38.0,27.0,51.0,84.0,26.0,93.0,47.0,13.0,37.0,48.0,34.0,104.0,14.0
3189,0.0,2.0,23.0,3.0,6.0,9.0,1.0,8.0,4.0,13.0,5.0,15.0,35.0,30.0,11.0,22.0,16.0,72.0,103.0,29.0,37.0,12.0,32.0,10.0,18.0,56.0,50.0,20.0,42.0,34.0
3238,0.0,4.0,11.0,3.0,1.0,12.0,5.0,10.0,2.0,6.0,15.0,8.0,7.0,20.0,9.0,28.0,34.0,41.0,51.0,21.0,17.0,42.0,14.0,43.0,94.0,39.0,47.0,155.0,36.0,30.0
3287,0.0,16.0,2.0,1.0,11.0,13.0,9.0,4.0,3.0,7.0,35.0,18.0,6.0,5.0,36.0,12.0,15.0,49.0,81.0,45.0,27.0,21.0,79.0,24.0,42.0,50.0,38.0,64.0,23.0,68.0
3336,0.0,19.0,12.0,1.0,3.0,10.0,39.0,5.0,2.0,6.0,15.0,11.0,16.0,32.0,4.0,27.0,24.0,75.0,85.0,40.0,7.0,38.0,49.0,41.0,33.0,25.0,116.0,67.0,43.0,44.0
3385,0.0,3.0,1.0,2.0,24.0,5.0,6.0,8.0,4.0,11.0,16.0,20.0,7.0,42.0,78.0,27.0,54.0,26.0,47.0,19.0,94.0,36.0,44.0,56.0,17.0,57.0,134.0,25.0,10.0,50.0
3434,0.0,10.0,5.0,1.0,2.0,3.0,6.0,4.0,9.0,42.0,7.0,20.0,26.0,11.0,15.0,27.0,21.0,12.0,33.0,16.0,32.0,38.0,24.0,97.0,31.0,54.0,14.0,63.0,13.0,8.0
3483,0.0,7.0,4.0,1.0,2.0,11.0,8.0,27.0,18.0,28.0,6.0,13.0,109.0,5.0,15.0,40.0,20.0,3.0,60.0,17.0,9.0,47.0,12.0,119.0,115.0,68.0,30.0,19.0,51.0,24.0
3532,0.0,2.0,13.0,1.0,15.0,33.0,9.0,4.0,24.0,31.0,17.0,16.0,52.0,5.0,3.0,14.0,6.0,7.0,36.0,81.0,19.0,49.0,37.0,116.0,46.0,60.0,12.0,78.0,150.0,25.0
3581,0.0,1.0,2.0,9.0,5.0,12.0,8.0,13.0,17.0,19.0,3.0,7.0,50.0,4.0,22.0,32.0,15.0,27.0,62.0,75.0,6.0,36.0,29.0,21.0,14.0,73.0,49.0,33.0,35.0,71.0
3630,0.0,9.0,5.0,1.0,4.0,8.0,2.0,6.0,12.0,11.0,31.0,10.0,29.0,3.0,18.0,27.0,19.0,23.0,47.0,42.0,17.0,39.0,7.0,36.0,61.0,77.0,21.0,32.0,22.0,24.0
3679,0.0,2.0,3.0,1.0,5.0,6.0,4.0,11.0,13.0,7.0,15.0,10.0,27.0,12.0,69.0,18.0,29.0,20.0,71.0,9.0,55.0,35.0,40.0,34.0,54.0,125.0,51.0,23.0,77.0,37.0
3728,0.0,4.0,10.0,1.0,3.0,22.0,5.0,13.0,7.0,9.0,16.0,2.0,25.0,8.0,23.0,24.0,11.0,6.0,35.0,84.0,34.0,48.0,19.0,27.0,55.0,49.0,18.0,33.0,15.0,29.0
3777,0.0,3.0,6.0,2.0,1.0,4.0,5.0,13.0,9.0,11.0,7.0,21.0,35.0,10.0,19.0,24.0,23.0,15.0,28.0,8.0,22.0,42.0,36.0,56.0,30.0,18.0,78.0,29.0,64.0,33.0
3826,0.0,7.0,11.0,3.0,5.0,2.0,1.0,13.0,17.0,32.0,14.0,4.0,6.0,24.0,21.0,33.0,35.0,9.0,50.0,44.0,70.0,57.0,41.0,16.0,51.0,25.0,12.0,34.0,15.0,22.0
3875,0.0,2.0,15.0,4.0,5.0,7.0,1.0,9.0,12.0,43.0,6.0,13.0,101.0,3.0,26.0,19.0,23.0,10.0,11.0,41.0,47.0,48.0,8.0,20.0,34.0,88.0,32.0,14.0,52.0,28.0
3924,0.0,12.0,4.0,11.0,2.0,7.0,5.0,8.0,6.0,1.0,3.0,27.0,13.0,25.0,122.0,21.0,16.0,43.0,44.0,47.0,10.0,32.0,18.0,9.0,34.0,14.0,52.0,86.0,84.0,82.0
3973,0.0,1.0,5.0,14.0,6.0,3.0,2.0,4.0,9.0,8.0,7.0,26.0,51.0,23.0,19.0,52.0,12.0,13.0,35.0,27.0,17.0,16.0,66.0,32.0,24.0,28.0,15.0,46.0,18.0,47.0
4022,0.0,1.0,8.0,47.0,2.0,3.0,36.0,20.0,13.0,10.0,11.0,30.0,22.0,139.0,18.0,26.0,4.0,41.0,6.0,21.0,17.0,23.0,40.0,9.0,14.0,27.0,39.0,5.0,50.0,59.0
4071,0.0,1.0,4.0,11.0,2.0,8.0,9.0,3.0,22.0,27.0,19.0,29.0,7.0,24.0,51.0,17.0,33.0,57.0,10.0,5.0,15.0,18.0,38.0,13.0,14.0,50.0,21.0,97.0,73.0,89.0
4120,0.0,5.0,2.0,7.0,3.0,1.0,8.0,10.0,6.0,9.0,4.0,55.0,59.0,21.0,11.0,14.0,22.0,17.0,43.0,13.0,31.0,56.0,24.0,18.0,20.0,68.0,97.0,54.0,41.0,45.0
4169,0.0,1.0,33.0,8.0,6.0,3.0,11.0,4.0,2.0,23.0,7.0,49.0,10.0,127.0,14.0,40.0,9.0,24.0,42.0,12.0,20.0,91.0,63.0,19.0,21.0,17.0,31.0,65.0,13.0,70.0
4218,0.0,1.0,6.0,17.0,4.0,3.0,11.0,8.0,16.0,2.0,7.0,59.0,5.0,22.0,56.0,10.0,20.0,52.0,48.0,23.0,67.0,47.0,39.0,29.0,9.0,12.0,14.0,72.0,37.0,54.0
4267,0.0,4.0,5.0,3.0,6.0,1.0,8.0,7.0,10.0,2.0,9.0,14.0,47.0,19.0,17.0,11.0,18.0,49.0,34.0,13.0,30.0,82.0,35.0,59.0,15.0,55.0,26.0,57.0,24.0,52.0
4316,0.0,1.0,2.0,4.0,16.0,3.0,14.0,19.0,8.0,5.0,9.0,101.0,25.0,26.0,20.0,7.0,66.0,39.0,6.0,30.0,23.0,24.0,32.0,18.0,10.0,35.0,28.0,36.0,68.0,43.0
4365,0.0,1.0,6.0,13.0,4.0,5.0,3.0,9.0,10.0,12.0,2.0,20.0,53.0,8.0,11.0,14.0,7.0,60.0,19.0,34.0,29.0,18.0,15.0,26.0,23.0,66.0,16.0,32.0,56.0,65.0
4414,0.0,3.0,1.0,2.0,17.0,6.0,4.0,52.0,7.0,5.0,15.0,9.0,23.0,11.0,21.0,59.0,30.0,24.0,10.0,20.0,8.0,37.0,31.0,58.0,43.0,77.0,26.0,12.0,27.0,14.0
4463,0.0,9.0,8.0,1.0,2.0,10.0,4.0,18.0,7.0,3.0,16.0,5.0,14.0,24.0,73.0,17.0,38.0,56.0,6.0,20.0,36.0,31.0,22.0,72.0,96.0,33.0,15.0,27.0,153.0,11.0
4512,0.0,6.0,5.0,9.0,8.0,1.0,2.0,37.0,4.0,3.0,23.0,7.0,77.0,10.0,32.0,19.0,36.0,18.0,27.0,11.0,34.0,22.0,16.0,109.0,13.0,28.0,124.0,15.0,40.0,41.0
4561,0.0,6.0,5.0,1.0,8.0,3.0,4.0,10.0,7.0,2.0,9.0,20.0,122.0,11.0,103.0,21.0,22.0,16.0,57.0,12.0,86.0,38.0,40.0,18.0,14.0,19.0,56.0,34.0,25.0,27.0
4610,0.0,3.0,8.0,7.0,13.0,12.0,1.0,4.0,5.0,2.0,9.0,6.0,28.0,36.0,32.0,52.0,14.0,26.0,11.0,17.0,19.0,34.0,16.0,47.0,29.0,35.0,75.0,25.0,22.0,37.0
4659,1.0,12.0,4.0,0.0,6.0,5.0,2.0,14.0,3.0,7.0,22.0,15.0,32.0,8.0,24.0,58.0,17.0,23.0,16.0,29.0,71.0,37.0,31.0,52.0,18.0,33.0,63.0,13.0,30.0,25.0
4708,0.0,7.0,2.0,1.0,3.0,4.0,5.0,10.0,8.0,6.0,14.0,16.0,57.0,21.0,123.0,43.0,23.0,40.0,32.0,19.0,18.0,113.0,15.0,27.0,58.0,20.0,22.0,11.0,17.0,31.0
4757,1.0,2.0,17.0,3.0,6.0,4.0,8.0,11.0,7.0,0.0,13.0,5.0,26.0,19.0,9.0,64.0,54.0,16.0,34.0,31.0,75.0,68.0,51.0,55.0,59.0,12.0,21.0,15.0,36.0,50.0
4806,0.0,9.0,6.0,1.0,2.0,5.0,10.0,35.0,3.0,7.0,11.0,4.0,20.0,8.0,125.0,80.0,30.0,29.0,28.0,39.0,23.0,16.0,13.0,53.0,21.0,14.0,15.0,12.0,19.0,56.0
4855,0.0,4.0,3.0,2.0,11.0,5.0,1.0,23.0,9.0,8.0,6.0,12.0,30.0,20.0,47.0,103.0,19.0,25.0,7.0,36.0,29.0,10.0,17.0,72.0,115.0,43.0,83.0,15.0,32.0,38.0
