,1-methylnicotinamide,DHAP/glyceraldehyde 3P,homocysteine,NADP,palmitoylcarnitine,inosine,cystathionine,alpha-glycerophosphocholine,C34:4 PC,phosphocreatine,niacinamide,SDMA/ADMA,C22:6 LPC,carnitine,acetylcholine,C56:5 TAG,cytidine,inositol,beta-alanine,taurodeoxycholate,pantothenate,PEP,leucine,2-deoxyadenosine,cis/trans-hydroxyproline,3-phosphoglycerate,malondialdehyde,GABA,uridine,creatine
810,0.0,7.0,12.0,65.0,1.0,55.0,62.0,54.0,17.0,48.0,11.0,44.0,24.0,31.0,4.0,42.0,51.0,41.0,57.0,10.0,56.0,50.0,18.0,5.0,32.0,36.0,14.0,25.0,35.0,39.0
859,64.0,52.0,28.0,3.0,43.0,6.0,16.0,2.0,13.0,48.0,10.0,41.0,9.0,25.0,50.0,15.0,24.0,34.0,33.0,1.0,29.0,42.0,19.0,14.0,55.0,8.0,30.0,53.0,7.0,4.0
908,46.0,11.0,18.0,7.0,23.0,14.0,61.0,8.0,27.0,39.0,43.0,34.0,0.0,9.0,30.0,5.0,50.0,22.0,4.0,2.0,21.0,49.0,12.0,48.0,66.0,20.0,6.0,35.0,28.0,3.0
957,16.0,12.0,18.0,62.0,9.0,56.0,14.0,17.0,39.0,4.0,10.0,46.0,31.0,25.0,38.0,29.0,58.0,11.0,36.0,53.0,6.0,43.0,57.0,30.0,34.0,22.0,48.0,63.0,13.0,21.0
1006,3.0,7.0,15.0,35.0,32.0,18.0,47.0,42.0,19.0,22.0,62.0,61.0,38.0,57.0,12.0,44.0,28.0,20.0,39.0,59.0,40.0,26.0,16.0,36.0,11.0,5.0,1.0,13.0,49.0,34.0
1055,1.0,8.0,19.0,2.0,20.0,38.0,39.0,13.0,10.0,58.0,5.0,21.0,35.0,7.0,11.0,50.0,25.0,15.0,14.0,6.0,47.0,29.0,4.0,53.0,9.0,31.0,12.0,0.0,32.0,40.0
1104,19.0,25.0,26.0,34.0,28.0,14.0,10.0,18.0,6.0,4.0,1.0,5.0,52.0,49.0,32.0,48.0,42.0,8.0,9.0,2.0,17.0,36.0,35.0,41.0,56.0,60.0,50.0,20.0,31.0,30.0
1153,5.0,6.0,4.0,43.0,51.0,22.0,32.0,30.0,37.0,3.0,16.0,57.0,28.0,45.0,39.0,27.0,26.0,23.0,54.0,8.0,25.0,11.0,15.0,29.0,19.0,13.0,1.0,21.0,40.0,2.0
1202,1.0,9.0,16.0,42.0,29.0,53.0,15.0,34.0,25.0,38.0,10.0,13.0,14.0,58.0,24.0,12.0,8.0,5.0,18.0,64.0,47.0,21.0,46.0,49.0,50.0,62.0,59.0,51.0,20.0,33.0
1251,16.0,4.0,18.0,9.0,53.0,25.0,50.0,27.0,30.0,57.0,1.0,22.0,23.0,19.0,41.0,6.0,8.0,43.0,12.0,61.0,36.0,38.0,11.0,17.0,37.0,39.0,15.0,34.0,48.0,51.0
1300,10.0,12.0,11.0,64.0,18.0,30.0,40.0,24.0,22.0,41.0,27.0,6.0,20.0,26.0,9.0,17.0,3.0,46.0,15.0,38.0,44.0,53.0,55.0,1.0,45.0,49.0,2.0,13.0,28.0,62.0
1349,3.0,7.0,12.0,41.0,25.0,47.0,4.0,19.0,1.0,14.0,11.0,6.0,33.0,27.0,20.0,46.0,32.0,52.0,15.0,58.0,28.0,22.0,44.0,63.0,56.0,57.0,5.0,45.0,35.0,24.0
1398,3.0,11.0,21.0,0.0,4.0,17.0,10.0,43.0,13.0,26.0,65.0,47.0,23.0,58.0,25.0,15.0,20.0,7.0,36.0,14.0,55.0,38.0,35.0,56.0,62.0,33.0,16.0,2.0,48.0,27.0
1447,18.0,8.0,17.0,10.0,22.0,34.0,3.0,11.0,45.0,7.0,23.0,59.0,16.0,32.0,5.0,0.0,33.0,36.0,20.0,13.0,14.0,46.0,2.0,15.0,1.0,62.0,9.0,24.0,25.0,43.0
1496,6.0,14.0,16.0,12.0,5.0,20.0,41.0,22.0,40.0,26.0,48.0,56.0,11.0,19.0,43.0,24.0,51.0,28.0,23.0,59.0,17.0,15.0,36.0,47.0,25.0,38.0,0.0,53.0,49.0,21.0
1545,2.0,9.0,10.0,47.0,49.0,48.0,8.0,37.0,34.0,43.0,58.0,16.0,4.0,30.0,13.0,38.0,12.0,32.0,51.0,22.0,59.0,50.0,19.0,5.0,33.0,26.0,52.0,3.0,1.0,27.0
1594,14.0,7.0,8.0,32.0,9.0,28.0,39.0,29.0,23.0,18.0,24.0,22.0,3.0,20.0,57.0,60.0,13.0,41.0,55.0,59.0,4.0,40.0,38.0,65.0,62.0,10.0,37.0,58.0,44.0,63.0
1643,0.0,5.0,3.0,15.0,7.0,22.0,28.0,57.0,24.0,48.0,2.0,59.0,35.0,23.0,26.0,66.0,39.0,9.0,34.0,62.0,30.0,31.0,12.0,13.0,16.0,20.0,17.0,4.0,8.0,58.0
1692,4.0,8.0,7.0,44.0,1.0,54.0,9.0,10.0,3.0,19.0,23.0,42.0,31.0,37.0,16.0,34.0,21.0,20.0,13.0,57.0,45.0,38.0,25.0,41.0,2.0,6.0,28.0,51.0,61.0,43.0
1741,1.0,3.0,14.0,44.0,25.0,40.0,66.0,56.0,47.0,53.0,13.0,35.0,4.0,34.0,37.0,26.0,17.0,27.0,42.0,58.0,16.0,59.0,9.0,49.0,63.0,12.0,2.0,50.0,48.0,36.0
1790,7.0,16.0,9.0,4.0,29.0,42.0,2.0,39.0,18.0,51.0,3.0,43.0,1.0,13.0,14.0,30.0,17.0,40.0,19.0,5.0,47.0,35.0,34.0,11.0,65.0,24.0,61.0,32.0,44.0,10.0
1839,28.0,32.0,16.0,10.0,57.0,35.0,2.0,12.0,54.0,36.0,15.0,0.0,63.0,19.0,24.0,7.0,51.0,34.0,6.0,5.0,29.0,30.0,20.0,26.0,21.0,18.0,25.0,49.0,55.0,37.0
1888,3.0,15.0,17.0,50.0,18.0,59.0,11.0,49.0,41.0,64.0,8.0,36.0,14.0,37.0,34.0,26.0,21.0,54.0,32.0,7.0,23.0,22.0,48.0,5.0,13.0,9.0,66.0,31.0,29.0,38.0
1937,16.0,17.0,13.0,12.0,2.0,36.0,34.0,32.0,59.0,56.0,5.0,10.0,49.0,38.0,3.0,25.0,1.0,47.0,14.0,15.0,11.0,54.0,42.0,21.0,45.0,8.0,57.0,29.0,41.0,33.0
1986,5.0,7.0,12.0,50.0,51.0,53.0,3.0,0.0,21.0,18.0,56.0,25.0,29.0,17.0,49.0,39.0,6.0,10.0,48.0,22.0,20.0,15.0,23.0,11.0,65.0,19.0,32.0,45.0,52.0,16.0
2035,1.0,7.0,57.0,42.0,8.0,21.0,3.0,54.0,31.0,2.0,30.0,17.0,55.0,26.0,35.0,32.0,12.0,11.0,20.0,16.0,19.0,38.0,33.0,6.0,22.0,52.0,56.0,14.0,64.0,34.0
2084,2.0,7.0,4.0,3.0,10.0,26.0,0.0,65.0,29.0,22.0,21.0,46.0,14.0,27.0,6.0,45.0,44.0,9.0,18.0,24.0,38.0,25.0,19.0,54.0,1.0,32.0,47.0,59.0,12.0,15.0
2133,1.0,5.0,10.0,21.0,3.0,23.0,35.0,9.0,46.0,38.0,18.0,58.0,6.0,42.0,26.0,14.0,39.0,7.0,44.0,65.0,15.0,32.0,25.0,13.0,4.0,37.0,62.0,61.0,20.0,11.0
2182,3.0,13.0,8.0,33.0,20.0,19.0,17.0,58.0,35.0,31.0,22.0,46.0,15.0,25.0,30.0,16.0,29.0,10.0,24.0,43.0,39.0,38.0,18.0,36.0,48.0,5.0,40.0,26.0,14.0,2.0
2231,0.0,5.0,12.0,63.0,44.0,42.0,9.0,41.0,33.0,11.0,36.0,1.0,7.0,18.0,46.0,31.0,55.0,23.0,28.0,61.0,15.0,26.0,58.0,20.0,30.0,49.0,14.0,59.0,17.0,45.0
2280,1.0,3.0,8.0,12.0,4.0,54.0,0.0,6.0,21.0,10.0,24.0,35.0,19.0,17.0,36.0,5.0,60.0,13.0,22.0,27.0,29.0,46.0,38.0,26.0,66.0,37.0,64.0,25.0,40.0,34.0
2329,2.0,11.0,39.0,33.0,7.0,32.0,28.0,60.0,41.0,38.0,19.0,1.0,18.0,31.0,9.0,50.0,49.0,20.0,14.0,13.0,5.0,36.0,62.0,10.0,16.0,29.0,44.0,27.0,35.0,47.0
2378,2.0,5.0,22.0,41.0,27.0,4.0,64.0,63.0,35.0,15.0,61.0,10.0,24.0,19.0,1.0,12.0,3.0,8.0,6.0,13.0,29.0,30.0,36.0,20.0,59.0,31.0,52.0,0.0,39.0,42.0
2427,2.0,5.0,8.0,13.0,4.0,35.0,6.0,28.0,10.0,20.0,58.0,56.0,15.0,17.0,45.0,11.0,26.0,1.0,24.0,21.0,47.0,37.0,61.0,44.0,27.0,7.0,55.0,14.0,9.0,18.0
2476,4.0,15.0,41.0,54.0,52.0,1.0,40.0,35.0,21.0,8.0,53.0,39.0,23.0,25.0,44.0,37.0,28.0,46.0,18.0,27.0,24.0,36.0,38.0,19.0,66.0,43.0,64.0,16.0,3.0,10.0
2525,4.0,16.0,38.0,27.0,48.0,45.0,53.0,47.0,61.0,17.0,66.0,36.0,62.0,30.0,18.0,54.0,14.0,43.0,32.0,22.0,20.0,35.0,9.0,7.0,65.0,51.0,33.0,39.0,42.0,41.0
2574,33.0,21.0,31.0,34.0,22.0,10.0,20.0,64.0,0.0,27.0,54.0,65.0,37.0,16.0,48.0,7.0,39.0,25.0,55.0,9.0,32.0,28.0,6.0,15.0,5.0,60.0,19.0,23.0,3.0,1.0
2623,6.0,16.0,7.0,10.0,48.0,9.0,4.0,8.0,11.0,29.0,56.0,17.0,32.0,28.0,22.0,14.0,15.0,19.0,33.0,37.0,12.0,26.0,23.0,34.0,65.0,21.0,13.0,54.0,0.0,20.0
2672,5.0,10.0,12.0,50.0,2.0,38.0,64.0,19.0,1.0,4.0,37.0,14.0,13.0,3.0,33.0,41.0,56.0,30.0,6.0,15.0,49.0,28.0,21.0,53.0,59.0,36.0,31.0,39.0,51.0,54.0
2721,4.0,14.0,28.0,50.0,32.0,8.0,40.0,0.0,17.0,23.0,26.0,51.0,60.0,9.0,5.0,7.0,33.0,54.0,21.0,18.0,46.0,16.0,31.0,1.0,19.0,49.0,10.0,3.0,15.0,65.0
2770,3.0,9.0,29.0,32.0,10.0,62.0,22.0,4.0,12.0,6.0,39.0,26.0,27.0,47.0,59.0,51.0,5.0,25.0,48.0,21.0,20.0,24.0,33.0,11.0,60.0,18.0,63.0,45.0,28.0,35.0
2819,2.0,3.0,16.0,10.0,14.0,65.0,6.0,22.0,66.0,15.0,19.0,18.0,23.0,20.0,24.0,21.0,56.0,58.0,61.0,47.0,28.0,37.0,13.0,40.0,5.0,41.0,39.0,31.0,33.0,53.0
2868,26.0,3.0,40.0,10.0,15.0,20.0,61.0,16.0,2.0,5.0,0.0,1.0,35.0,11.0,12.0,23.0,36.0,45.0,52.0,46.0,21.0,34.0,37.0,6.0,66.0,14.0,38.0,29.0,8.0,57.0
2917,1.0,3.0,34.0,26.0,13.0,0.0,12.0,10.0,7.0,11.0,4.0,9.0,33.0,29.0,48.0,52.0,45.0,24.0,35.0,46.0,27.0,47.0,25.0,58.0,63.0,55.0,56.0,59.0,6.0,23.0
2966,0.0,4.0,13.0,38.0,20.0,12.0,3.0,22.0,7.0,35.0,9.0,28.0,37.0,30.0,65.0,2.0,15.0,36.0,42.0,58.0,21.0,40.0,6.0,10.0,31.0,16.0,60.0,25.0,8.0,23.0
3015,1.0,12.0,35.0,50.0,42.0,9.0,18.0,20.0,0.0,17.0,3.0,57.0,6.0,13.0,37.0,11.0,28.0,27.0,48.0,56.0,21.0,8.0,49.0,25.0,15.0,33.0,55.0,45.0,43.0,19.0
3064,8.0,9.0,23.0,21.0,36.0,26.0,42.0,0.0,2.0,34.0,53.0,22.0,40.0,29.0,16.0,7.0,66.0,30.0,38.0,6.0,32.0,4.0,14.0,12.0,5.0,19.0,10.0,60.0,27.0,61.0
3113,1.0,6.0,24.0,52.0,23.0,28.0,17.0,3.0,15.0,56.0,20.0,37.0,38.0,13.0,5.0,47.0,64.0,19.0,42.0,12.0,10.0,21.0,48.0,25.0,66.0,30.0,22.0,26.0,32.0,53.0
3162,5.0,15.0,7.0,40.0,28.0,29.0,8.0,16.0,33.0,43.0,21.0,13.0,22.0,23.0,6.0,55.0,27.0,30.0,62.0,24.0,11.0,26.0,38.0,4.0,25.0,44.0,57.0,3.0,32.0,1.0
3211,3.0,10.0,11.0,45.0,52.0,13.0,2.0,21.0,1.0,25.0,41.0,9.0,29.0,50.0,49.0,46.0,14.0,20.0,23.0,7.0,43.0,17.0,19.0,32.0,64.0,39.0,16.0,65.0,8.0,37.0
3260,57.0,16.0,11.0,65.0,14.0,37.0,4.0,9.0,1.0,54.0,36.0,41.0,34.0,22.0,19.0,0.0,7.0,26.0,32.0,52.0,30.0,5.0,12.0,40.0,10.0,27.0,59.0,42.0,28.0,50.0
3309,4.0,16.0,19.0,0.0,37.0,33.0,27.0,65.0,21.0,26.0,10.0,1.0,29.0,22.0,6.0,3.0,20.0,48.0,9.0,50.0,35.0,32.0,5.0,28.0,43.0,45.0,31.0,49.0,24.0,57.0
3358,4.0,5.0,11.0,13.0,2.0,46.0,34.0,6.0,0.0,30.0,48.0,32.0,14.0,36.0,21.0,43.0,10.0,60.0,63.0,17.0,18.0,12.0,24.0,33.0,35.0,50.0,3.0,28.0,9.0,25.0
3407,29.0,27.0,22.0,6.0,46.0,16.0,1.0,20.0,54.0,55.0,41.0,8.0,57.0,38.0,13.0,37.0,9.0,61.0,31.0,24.0,32.0,4.0,52.0,14.0,0.0,40.0,56.0,35.0,28.0,19.0
3456,12.0,27.0,53.0,7.0,65.0,8.0,29.0,32.0,14.0,10.0,47.0,5.0,62.0,19.0,15.0,64.0,25.0,33.0,11.0,50.0,46.0,38.0,9.0,57.0,41.0,45.0,0.0,26.0,37.0,63.0
3505,9.0,36.0,15.0,2.0,52.0,22.0,18.0,44.0,6.0,8.0,31.0,13.0,24.0,17.0,27.0,5.0,10.0,60.0,50.0,54.0,32.0,12.0,42.0,41.0,0.0,33.0,65.0,20.0,47.0,61.0
3554,2.0,37.0,51.0,1.0,35.0,33.0,66.0,30.0,41.0,20.0,47.0,8.0,60.0,7.0,43.0,26.0,12.0,17.0,32.0,31.0,16.0,59.0,36.0,63.0,5.0,10.0,62.0,18.0,23.0,29.0
3603,2.0,7.0,45.0,3.0,6.0,24.0,27.0,46.0,14.0,12.0,20.0,47.0,57.0,22.0,25.0,50.0,10.0,5.0,32.0,26.0,41.0,8.0,23.0,38.0,37.0,31.0,30.0,61.0,58.0,64.0
3652,7.0,9.0,18.0,32.0,8.0,12.0,22.0,6.0,1.0,4.0,60.0,5.0,11.0,15.0,10.0,38.0,56.0,27.0,21.0,53.0,14.0,19.0,49.0,2.0,64.0,43.0,58.0,65.0,26.0,13.0
3701,3.0,24.0,59.0,4.0,10.0,14.0,26.0,2.0,52.0,16.0,42.0,40.0,34.0,11.0,19.0,48.0,43.0,12.0,51.0,45.0,46.0,35.0,53.0,21.0,17.0,22.0,27.0,8.0,64.0,60.0
3750,5.0,7.0,21.0,1.0,65.0,6.0,29.0,38.0,0.0,18.0,24.0,19.0,42.0,8.0,50.0,11.0,12.0,63.0,53.0,22.0,23.0,26.0,31.0,34.0,14.0,32.0,62.0,27.0,59.0,13.0
3799,0.0,32.0,54.0,3.0,53.0,8.0,15.0,39.0,33.0,22.0,57.0,14.0,24.0,36.0,28.0,2.0,9.0,6.0,11.0,7.0,31.0,45.0,63.0,23.0,65.0,21.0,51.0,5.0,29.0,59.0
3848,7.0,15.0,61.0,45.0,5.0,16.0,4.0,3.0,12.0,9.0,46.0,13.0,41.0,17.0,0.0,2.0,29.0,33.0,11.0,22.0,25.0,18.0,20.0,54.0,47.0,34.0,44.0,19.0,51.0,58.0
3897,3.0,16.0,38.0,47.0,41.0,9.0,57.0,21.0,12.0,11.0,63.0,14.0,20.0,31.0,36.0,35.0,46.0,7.0,33.0,26.0,24.0,13.0,45.0,60.0,15.0,23.0,0.0,5.0,34.0,22.0
3946,39.0,59.0,48.0,1.0,35.0,14.0,7.0,63.0,53.0,19.0,46.0,22.0,30.0,31.0,23.0,58.0,16.0,36.0,38.0,51.0,18.0,15.0,21.0,50.0,29.0,9.0,12.0,37.0,34.0,57.0
3995,19.0,29.0,39.0,34.0,65.0,7.0,26.0,16.0,0.0,45.0,22.0,12.0,3.0,6.0,21.0,8.0,28.0,18.0,27.0,66.0,36.0,17.0,35.0,60.0,2.0,49.0,56.0,40.0,31.0,9.0
4044,55.0,43.0,31.0,1.0,0.0,34.0,38.0,30.0,15.0,17.0,20.0,26.0,7.0,18.0,46.0,9.0,4.0,6.0,11.0,3.0,28.0,53.0,14.0,59.0,23.0,8.0,47.0,5.0,22.0,29.0
4093,26.0,5.0,12.0,29.0,10.0,31.0,45.0,2.0,4.0,22.0,56.0,13.0,25.0,27.0,6.0,58.0,0.0,42.0,30.0,1.0,16.0,36.0,59.0,35.0,53.0,11.0,55.0,57.0,39.0,7.0
4142,20.0,34.0,43.0,10.0,5.0,28.0,6.0,3.0,62.0,41.0,63.0,14.0,22.0,45.0,13.0,0.0,42.0,17.0,12.0,7.0,23.0,48.0,30.0,32.0,19.0,11.0,18.0,31.0,44.0,65.0
4191,11.0,21.0,39.0,4.0,38.0,12.0,24.0,35.0,29.0,3.0,57.0,10.0,37.0,42.0,8.0,53.0,45.0,49.0,16.0,2.0,20.0,28.0,59.0,50.0,22.0,31.0,6.0,58.0,26.0,19.0
4240,17.0,25.0,39.0,6.0,0.0,16.0,8.0,29.0,27.0,18.0,7.0,4.0,33.0,30.0,40.0,1.0,50.0,47.0,2.0,9.0,26.0,22.0,10.0,35.0,11.0,23.0,43.0,13.0,21.0,55.0
4289,10.0,9.0,30.0,51.0,32.0,21.0,4.0,11.0,3.0,53.0,18.0,12.0,26.0,29.0,23.0,28.0,42.0,2.0,6.0,20.0,31.0,46.0,65.0,14.0,52.0,56.0,63.0,50.0,35.0,62.0
4338,10.0,13.0,26.0,5.0,8.0,18.0,11.0,66.0,51.0,49.0,19.0,39.0,35.0,55.0,30.0,0.0,6.0,40.0,2.0,4.0,28.0,47.0,34.0,27.0,14.0,22.0,32.0,56.0,65.0,15.0
4387,17.0,20.0,36.0,23.0,62.0,5.0,4.0,18.0,54.0,25.0,3.0,22.0,11.0,53.0,2.0,46.0,27.0,13.0,26.0,47.0,12.0,24.0,39.0,30.0,57.0,49.0,45.0,61.0,52.0,7.0
4436,6.0,28.0,21.0,13.0,17.0,8.0,24.0,35.0,22.0,32.0,31.0,49.0,23.0,62.0,43.0,0.0,2.0,9.0,66.0,26.0,12.0,15.0,16.0,37.0,19.0,25.0,60.0,53.0,40.0,33.0
4485,5.0,9.0,37.0,10.0,4.0,28.0,21.0,34.0,2.0,56.0,11.0,12.0,26.0,51.0,1.0,14.0,54.0,45.0,41.0,13.0,23.0,16.0,30.0,31.0,39.0,7.0,33.0,50.0,36.0,27.0
4534,21.0,31.0,51.0,3.0,26.0,38.0,52.0,4.0,44.0,19.0,30.0,12.0,62.0,16.0,11.0,0.0,15.0,27.0,8.0,10.0,23.0,28.0,5.0,13.0,22.0,56.0,14.0,37.0,42.0,61.0
4583,2.0,29.0,26.0,41.0,1.0,27.0,57.0,61.0,20.0,19.0,47.0,18.0,16.0,11.0,22.0,25.0,44.0,64.0,49.0,28.0,38.0,4.0,21.0,60.0,30.0,14.0,13.0,35.0,17.0,9.0
4632,6.0,12.0,36.0,9.0,0.0,27.0,21.0,33.0,18.0,17.0,55.0,44.0,5.0,57.0,13.0,3.0,16.0,25.0,31.0,38.0,46.0,15.0,54.0,37.0,1.0,32.0,30.0,29.0,41.0,28.0
4681,27.0,43.0,35.0,4.0,23.0,12.0,60.0,26.0,65.0,16.0,44.0,53.0,25.0,46.0,0.0,2.0,19.0,14.0,17.0,7.0,6.0,45.0,24.0,18.0,28.0,38.0,20.0,29.0,8.0,34.0
4730,8.0,42.0,31.0,0.0,15.0,10.0,66.0,49.0,56.0,9.0,43.0,7.0,22.0,5.0,19.0,6.0,11.0,14.0,28.0,38.0,12.0,13.0,53.0,55.0,61.0,54.0,21.0,4.0,2.0,20.0
4779,2.0,21.0,31.0,14.0,29.0,12.0,63.0,53.0,9.0,25.0,16.0,60.0,8.0,6.0,35.0,5.0,38.0,17.0,64.0,39.0,52.0,11.0,18.0,62.0,10.0,23.0,22.0,48.0,42.0,33.0
4828,9.0,13.0,30.0,58.0,0.0,8.0,10.0,45.0,34.0,38.0,2.0,43.0,24.0,25.0,28.0,6.0,20.0,48.0,17.0,37.0,52.0,56.0,53.0,41.0,3.0,46.0,59.0,4.0,39.0,40.0
4877,45.0,43.0,36.0,37.0,41.0,7.0,27.0,22.0,59.0,17.0,1.0,9.0,15.0,20.0,56.0,5.0,6.0,64.0,32.0,61.0,34.0,12.0,50.0,29.0,11.0,14.0,52.0,2.0,16.0,10.0
