,3-phosphoglycerate,5-HIAA,C22:6 LPE,glutamine,inositol,C36:1 DAG,C36:4 PC-B,DHAP/glyceraldehyde 3P,creatine,acetylcholine,2-deoxycytidine,C56:5 TAG,serotonin,asparagine,C16:0 LPE,C22:6 CE,C18:0 LPE,C18:0 LPC,taurodeoxycholate,C22:6 LPC,C20:4 CE,creatinine,isocitrate,C34:4 PC,pantothenate,alpha-glycerophosphate,guanosine,inosine,PEP,hypoxanthine
1056,11.0,7.0,5.0,18.0,34.0,0.0,36.0,1.0,9.0,15.0,24.0,14.0,2.0,25.0,22.0,4.0,6.0,21.0,8.0,41.0,35.0,60.0,33.0,37.0,28.0,3.0,40.0,43.0,10.0,42.0
1105,20.0,5.0,32.0,15.0,3.0,11.0,10.0,49.0,6.0,16.0,36.0,0.0,62.0,17.0,29.0,23.0,30.0,22.0,1.0,40.0,2.0,54.0,46.0,33.0,26.0,45.0,34.0,8.0,4.0,51.0
1154,0.0,28.0,6.0,30.0,7.0,1.0,23.0,9.0,8.0,13.0,14.0,64.0,19.0,31.0,3.0,26.0,22.0,20.0,2.0,21.0,25.0,57.0,46.0,44.0,38.0,47.0,42.0,36.0,49.0,48.0
1203,12.0,0.0,8.0,6.0,13.0,5.0,7.0,25.0,34.0,36.0,30.0,15.0,19.0,60.0,43.0,2.0,28.0,22.0,58.0,32.0,23.0,11.0,48.0,27.0,35.0,1.0,52.0,54.0,31.0,3.0
1252,2.0,7.0,1.0,8.0,10.0,39.0,42.0,15.0,4.0,63.0,13.0,5.0,22.0,24.0,29.0,14.0,41.0,31.0,11.0,33.0,37.0,3.0,18.0,43.0,12.0,17.0,49.0,0.0,28.0,51.0
1301,3.0,4.0,2.0,0.0,1.0,13.0,8.0,12.0,15.0,16.0,30.0,18.0,60.0,5.0,6.0,11.0,29.0,41.0,31.0,33.0,42.0,14.0,22.0,26.0,28.0,20.0,24.0,49.0,7.0,48.0
1350,44.0,22.0,9.0,32.0,34.0,13.0,39.0,28.0,1.0,18.0,14.0,61.0,21.0,58.0,6.0,12.0,7.0,10.0,31.0,40.0,29.0,16.0,46.0,24.0,5.0,17.0,11.0,8.0,15.0,52.0
1399,2.0,1.0,8.0,17.0,6.0,9.0,30.0,0.0,3.0,64.0,23.0,5.0,14.0,57.0,25.0,11.0,27.0,21.0,22.0,24.0,18.0,43.0,44.0,39.0,50.0,29.0,13.0,47.0,28.0,46.0
1448,3.0,17.0,0.0,18.0,14.0,1.0,6.0,2.0,12.0,13.0,24.0,15.0,4.0,59.0,33.0,25.0,27.0,23.0,54.0,31.0,10.0,43.0,11.0,36.0,5.0,44.0,47.0,49.0,29.0,48.0
1497,1.0,13.0,36.0,3.0,4.0,6.0,27.0,25.0,11.0,8.0,9.0,60.0,12.0,17.0,2.0,39.0,31.0,22.0,23.0,35.0,28.0,64.0,0.0,29.0,54.0,24.0,50.0,30.0,32.0,7.0
1546,2.0,4.0,45.0,1.0,8.0,10.0,7.0,9.0,11.0,21.0,3.0,62.0,15.0,5.0,44.0,39.0,30.0,20.0,25.0,43.0,42.0,36.0,50.0,6.0,56.0,31.0,18.0,33.0,57.0,34.0
1595,6.0,13.0,34.0,1.0,2.0,27.0,32.0,5.0,7.0,19.0,8.0,20.0,62.0,17.0,36.0,41.0,35.0,21.0,57.0,22.0,40.0,11.0,24.0,33.0,53.0,23.0,50.0,30.0,3.0,31.0
1644,4.0,19.0,2.0,0.0,7.0,23.0,11.0,1.0,14.0,15.0,10.0,60.0,5.0,24.0,30.0,18.0,27.0,37.0,65.0,29.0,39.0,64.0,46.0,33.0,52.0,45.0,49.0,3.0,28.0,9.0
1693,4.0,5.0,29.0,0.0,1.0,25.0,10.0,2.0,32.0,23.0,6.0,11.0,61.0,59.0,8.0,21.0,39.0,34.0,7.0,38.0,42.0,30.0,17.0,40.0,53.0,14.0,50.0,31.0,9.0,3.0
1742,4.0,60.0,26.0,20.0,3.0,12.0,0.0,14.0,17.0,1.0,28.0,2.0,61.0,23.0,33.0,43.0,37.0,29.0,8.0,42.0,30.0,64.0,11.0,39.0,53.0,10.0,50.0,25.0,27.0,15.0
1791,8.0,3.0,41.0,0.0,4.0,13.0,1.0,2.0,19.0,27.0,21.0,15.0,12.0,30.0,18.0,11.0,26.0,38.0,59.0,24.0,46.0,20.0,45.0,25.0,51.0,47.0,29.0,33.0,32.0,7.0
1840,45.0,58.0,22.0,2.0,5.0,36.0,12.0,8.0,16.0,9.0,11.0,60.0,10.0,1.0,7.0,34.0,21.0,20.0,0.0,19.0,35.0,6.0,27.0,26.0,52.0,3.0,31.0,28.0,25.0,29.0
1889,0.0,4.0,10.0,23.0,11.0,9.0,2.0,3.0,59.0,6.0,7.0,55.0,21.0,50.0,46.0,22.0,39.0,12.0,53.0,38.0,20.0,60.0,45.0,16.0,30.0,25.0,41.0,8.0,33.0,32.0
1938,16.0,15.0,8.0,13.0,1.0,2.0,3.0,0.0,19.0,18.0,31.0,22.0,9.0,60.0,10.0,38.0,29.0,40.0,25.0,28.0,43.0,20.0,48.0,32.0,56.0,47.0,33.0,30.0,11.0,6.0
1987,3.0,4.0,1.0,5.0,33.0,0.0,43.0,30.0,16.0,28.0,17.0,12.0,27.0,6.0,20.0,25.0,21.0,19.0,7.0,26.0,24.0,65.0,22.0,41.0,31.0,23.0,11.0,8.0,34.0,9.0
2036,3.0,4.0,5.0,15.0,27.0,0.0,19.0,26.0,12.0,11.0,21.0,9.0,54.0,22.0,1.0,20.0,18.0,45.0,32.0,17.0,44.0,60.0,34.0,42.0,30.0,36.0,38.0,56.0,59.0,35.0
2085,23.0,22.0,11.0,5.0,8.0,18.0,13.0,30.0,17.0,2.0,16.0,57.0,21.0,50.0,6.0,0.0,12.0,40.0,55.0,1.0,44.0,62.0,28.0,42.0,29.0,45.0,7.0,35.0,31.0,34.0
2134,9.0,5.0,1.0,0.0,2.0,3.0,11.0,10.0,16.0,17.0,6.0,19.0,53.0,7.0,36.0,21.0,37.0,22.0,52.0,35.0,43.0,60.0,42.0,39.0,27.0,44.0,4.0,46.0,28.0,25.0
2183,2.0,4.0,1.0,0.0,8.0,10.0,9.0,30.0,60.0,5.0,17.0,55.0,53.0,21.0,12.0,20.0,22.0,39.0,3.0,13.0,11.0,61.0,34.0,15.0,26.0,43.0,7.0,31.0,59.0,27.0
2232,12.0,1.0,4.0,10.0,36.0,2.0,20.0,28.0,59.0,11.0,15.0,9.0,8.0,23.0,6.0,21.0,19.0,42.0,3.0,18.0,40.0,60.0,34.0,46.0,57.0,35.0,41.0,27.0,30.0,26.0
2281,1.0,21.0,2.0,8.0,4.0,0.0,9.0,30.0,6.0,5.0,20.0,14.0,53.0,49.0,3.0,12.0,11.0,37.0,55.0,7.0,24.0,60.0,10.0,40.0,27.0,45.0,38.0,36.0,32.0,28.0
2330,1.0,0.0,10.0,11.0,19.0,6.0,8.0,3.0,16.0,2.0,46.0,59.0,18.0,57.0,20.0,22.0,37.0,41.0,30.0,5.0,31.0,62.0,48.0,28.0,27.0,47.0,51.0,29.0,26.0,21.0
2379,2.0,19.0,8.0,20.0,22.0,10.0,9.0,30.0,16.0,4.0,63.0,57.0,54.0,50.0,6.0,11.0,21.0,45.0,27.0,40.0,18.0,60.0,26.0,42.0,35.0,25.0,33.0,7.0,59.0,29.0
2428,1.0,5.0,2.0,6.0,7.0,0.0,25.0,24.0,13.0,14.0,63.0,57.0,18.0,22.0,36.0,28.0,38.0,15.0,34.0,37.0,3.0,60.0,30.0,39.0,29.0,41.0,59.0,27.0,31.0,26.0
2477,20.0,8.0,7.0,0.0,19.0,1.0,28.0,47.0,9.0,18.0,31.0,17.0,61.0,4.0,3.0,13.0,6.0,23.0,21.0,36.0,29.0,22.0,44.0,40.0,5.0,43.0,14.0,25.0,51.0,26.0
2526,16.0,11.0,12.0,26.0,33.0,23.0,8.0,28.0,7.0,13.0,62.0,1.0,53.0,30.0,22.0,40.0,2.0,43.0,31.0,6.0,24.0,59.0,10.0,36.0,32.0,39.0,3.0,46.0,49.0,0.0
2575,3.0,1.0,12.0,21.0,29.0,0.0,2.0,10.0,8.0,58.0,63.0,18.0,19.0,22.0,39.0,44.0,11.0,15.0,25.0,45.0,43.0,60.0,13.0,40.0,6.0,26.0,14.0,65.0,5.0,7.0
2624,8.0,1.0,0.0,15.0,13.0,7.0,5.0,27.0,18.0,17.0,63.0,9.0,2.0,4.0,19.0,35.0,22.0,37.0,23.0,14.0,44.0,61.0,25.0,40.0,6.0,24.0,11.0,31.0,52.0,49.0
2673,9.0,1.0,8.0,7.0,33.0,11.0,10.0,51.0,15.0,13.0,25.0,4.0,3.0,22.0,24.0,36.0,0.0,31.0,2.0,6.0,28.0,17.0,27.0,43.0,5.0,47.0,35.0,54.0,32.0,53.0
2722,21.0,1.0,23.0,15.0,56.0,2.0,0.0,9.0,12.0,14.0,8.0,62.0,60.0,16.0,6.0,28.0,4.0,36.0,53.0,41.0,32.0,43.0,11.0,27.0,26.0,25.0,46.0,30.0,24.0,31.0
2771,6.0,3.0,29.0,2.0,19.0,0.0,1.0,48.0,9.0,20.0,12.0,61.0,11.0,16.0,23.0,35.0,25.0,8.0,57.0,22.0,34.0,13.0,31.0,30.0,27.0,28.0,32.0,4.0,26.0,51.0
2820,10.0,1.0,28.0,20.0,21.0,29.0,5.0,24.0,6.0,7.0,41.0,3.0,60.0,22.0,4.0,32.0,23.0,0.0,54.0,8.0,35.0,64.0,11.0,30.0,9.0,14.0,25.0,13.0,27.0,47.0
2869,3.0,8.0,1.0,18.0,10.0,11.0,2.0,32.0,19.0,16.0,54.0,21.0,22.0,4.0,28.0,26.0,6.0,5.0,25.0,39.0,41.0,63.0,13.0,29.0,7.0,45.0,48.0,30.0,52.0,9.0
2918,13.0,9.0,4.0,10.0,14.0,31.0,1.0,6.0,17.0,0.0,21.0,2.0,8.0,12.0,23.0,25.0,5.0,36.0,57.0,22.0,35.0,64.0,26.0,39.0,3.0,46.0,29.0,27.0,24.0,28.0
2967,0.0,20.0,31.0,10.0,15.0,7.0,11.0,8.0,5.0,18.0,42.0,61.0,14.0,12.0,1.0,4.0,2.0,33.0,23.0,32.0,26.0,19.0,45.0,41.0,51.0,24.0,9.0,29.0,52.0,30.0
3016,2.0,7.0,0.0,26.0,1.0,23.0,22.0,10.0,6.0,11.0,15.0,13.0,12.0,35.0,5.0,3.0,19.0,47.0,8.0,41.0,4.0,62.0,46.0,21.0,32.0,24.0,31.0,28.0,33.0,66.0
3065,3.0,53.0,0.0,4.0,11.0,1.0,8.0,10.0,19.0,20.0,16.0,55.0,22.0,6.0,2.0,45.0,41.0,38.0,30.0,46.0,23.0,18.0,29.0,12.0,5.0,28.0,25.0,7.0,62.0,47.0
3114,20.0,18.0,3.0,7.0,15.0,9.0,8.0,46.0,42.0,64.0,17.0,13.0,11.0,12.0,2.0,22.0,1.0,6.0,0.0,4.0,24.0,30.0,10.0,29.0,27.0,43.0,25.0,5.0,28.0,48.0
3163,0.0,8.0,1.0,29.0,31.0,2.0,23.0,5.0,25.0,13.0,19.0,11.0,3.0,28.0,6.0,47.0,42.0,39.0,33.0,40.0,46.0,18.0,30.0,22.0,34.0,9.0,41.0,7.0,57.0,35.0
3212,1.0,0.0,6.0,20.0,31.0,10.0,9.0,11.0,25.0,18.0,26.0,14.0,2.0,7.0,24.0,13.0,12.0,39.0,3.0,23.0,16.0,19.0,29.0,44.0,5.0,8.0,48.0,35.0,36.0,40.0
3261,1.0,6.0,8.0,14.0,12.0,27.0,26.0,31.0,23.0,36.0,34.0,17.0,0.0,19.0,7.0,43.0,38.0,41.0,22.0,15.0,42.0,16.0,48.0,21.0,11.0,2.0,29.0,9.0,25.0,50.0
3310,0.0,3.0,8.0,1.0,49.0,4.0,19.0,7.0,14.0,13.0,22.0,55.0,5.0,23.0,2.0,21.0,9.0,40.0,53.0,15.0,20.0,61.0,26.0,18.0,28.0,44.0,31.0,33.0,63.0,39.0
3359,1.0,4.0,24.0,7.0,33.0,19.0,20.0,9.0,14.0,13.0,16.0,2.0,52.0,34.0,0.0,8.0,17.0,22.0,32.0,23.0,25.0,59.0,36.0,39.0,64.0,37.0,31.0,65.0,3.0,29.0
3408,2.0,21.0,1.0,22.0,55.0,24.0,33.0,12.0,3.0,15.0,28.0,61.0,5.0,6.0,0.0,13.0,29.0,35.0,25.0,27.0,39.0,43.0,11.0,8.0,32.0,14.0,45.0,34.0,50.0,47.0
3457,46.0,0.0,4.0,16.0,8.0,35.0,5.0,31.0,12.0,11.0,21.0,9.0,60.0,3.0,1.0,33.0,2.0,18.0,32.0,20.0,39.0,15.0,27.0,44.0,36.0,26.0,7.0,51.0,54.0,50.0
3506,12.0,3.0,7.0,17.0,20.0,2.0,4.0,6.0,41.0,30.0,13.0,60.0,58.0,18.0,23.0,25.0,26.0,16.0,0.0,39.0,5.0,65.0,28.0,27.0,8.0,42.0,1.0,47.0,24.0,46.0
3555,17.0,2.0,22.0,37.0,51.0,0.0,23.0,10.0,1.0,16.0,64.0,54.0,15.0,25.0,21.0,13.0,8.0,6.0,4.0,45.0,11.0,61.0,12.0,41.0,30.0,28.0,9.0,36.0,48.0,46.0
3604,8.0,13.0,4.0,15.0,0.0,6.0,5.0,27.0,64.0,10.0,29.0,60.0,14.0,17.0,3.0,24.0,23.0,1.0,2.0,22.0,37.0,20.0,25.0,30.0,50.0,45.0,7.0,47.0,31.0,33.0
3653,7.0,20.0,6.0,0.0,30.0,1.0,8.0,11.0,17.0,16.0,3.0,14.0,13.0,34.0,46.0,9.0,18.0,23.0,2.0,38.0,12.0,60.0,28.0,41.0,5.0,45.0,33.0,35.0,29.0,31.0
3702,2.0,0.0,37.0,15.0,32.0,29.0,1.0,6.0,18.0,17.0,24.0,61.0,12.0,14.0,11.0,4.0,10.0,41.0,3.0,30.0,28.0,19.0,46.0,33.0,31.0,26.0,50.0,52.0,13.0,8.0
3751,7.0,18.0,31.0,59.0,10.0,0.0,32.0,8.0,15.0,22.0,55.0,14.0,62.0,58.0,26.0,27.0,5.0,20.0,2.0,44.0,35.0,16.0,48.0,37.0,4.0,47.0,6.0,52.0,30.0,34.0
3800,14.0,9.0,6.0,7.0,0.0,4.0,20.0,26.0,58.0,21.0,61.0,51.0,12.0,5.0,42.0,47.0,19.0,1.0,32.0,43.0,2.0,65.0,3.0,39.0,30.0,46.0,27.0,24.0,10.0,29.0
3849,18.0,20.0,1.0,2.0,31.0,7.0,23.0,10.0,16.0,15.0,11.0,13.0,9.0,50.0,22.0,24.0,4.0,38.0,28.0,21.0,8.0,17.0,29.0,43.0,34.0,46.0,6.0,47.0,33.0,3.0
3898,2.0,13.0,7.0,1.0,11.0,5.0,21.0,6.0,18.0,17.0,12.0,55.0,53.0,0.0,9.0,3.0,20.0,38.0,8.0,46.0,4.0,60.0,27.0,43.0,32.0,45.0,41.0,47.0,59.0,37.0
3947,21.0,3.0,34.0,2.0,1.0,4.0,6.0,49.0,17.0,63.0,12.0,19.0,58.0,65.0,0.0,24.0,31.0,35.0,26.0,37.0,38.0,64.0,47.0,28.0,30.0,23.0,27.0,51.0,54.0,7.0
3996,0.0,5.0,6.0,3.0,21.0,10.0,27.0,25.0,18.0,64.0,15.0,60.0,16.0,2.0,32.0,12.0,29.0,36.0,65.0,26.0,42.0,46.0,24.0,8.0,4.0,47.0,30.0,28.0,31.0,52.0
4045,14.0,59.0,0.0,2.0,5.0,6.0,11.0,25.0,17.0,64.0,28.0,8.0,60.0,56.0,27.0,1.0,9.0,36.0,3.0,40.0,24.0,4.0,23.0,30.0,10.0,22.0,26.0,29.0,31.0,21.0
4094,1.0,9.0,0.0,2.0,6.0,4.0,5.0,7.0,15.0,59.0,17.0,54.0,52.0,25.0,22.0,3.0,8.0,38.0,10.0,37.0,42.0,24.0,39.0,23.0,64.0,43.0,32.0,29.0,28.0,41.0
4143,20.0,6.0,3.0,5.0,4.0,31.0,9.0,11.0,16.0,14.0,65.0,61.0,59.0,57.0,41.0,2.0,25.0,32.0,0.0,23.0,30.0,64.0,46.0,28.0,26.0,24.0,10.0,8.0,52.0,50.0
4192,14.0,53.0,0.0,50.0,1.0,3.0,4.0,32.0,12.0,60.0,9.0,57.0,54.0,49.0,46.0,43.0,20.0,19.0,31.0,37.0,21.0,62.0,35.0,5.0,26.0,42.0,28.0,33.0,64.0,27.0
4241,15.0,18.0,2.0,4.0,5.0,46.0,7.0,44.0,12.0,59.0,16.0,9.0,53.0,31.0,47.0,0.0,20.0,40.0,8.0,19.0,23.0,13.0,29.0,21.0,63.0,28.0,33.0,3.0,62.0,36.0
4290,2.0,0.0,1.0,4.0,5.0,13.0,20.0,10.0,28.0,27.0,9.0,33.0,3.0,19.0,8.0,11.0,29.0,25.0,56.0,38.0,12.0,23.0,16.0,14.0,52.0,15.0,30.0,31.0,7.0,49.0
4339,3.0,1.0,2.0,13.0,22.0,6.0,7.0,0.0,18.0,63.0,45.0,15.0,60.0,12.0,11.0,4.0,10.0,31.0,33.0,8.0,41.0,19.0,5.0,27.0,29.0,46.0,26.0,30.0,54.0,51.0
4388,20.0,1.0,5.0,0.0,12.0,9.0,6.0,30.0,14.0,63.0,54.0,59.0,57.0,16.0,22.0,3.0,4.0,2.0,53.0,42.0,37.0,15.0,10.0,27.0,51.0,45.0,29.0,7.0,26.0,8.0
4437,34.0,6.0,12.0,18.0,7.0,29.0,25.0,8.0,3.0,11.0,10.0,64.0,63.0,14.0,20.0,30.0,39.0,22.0,31.0,5.0,42.0,24.0,47.0,40.0,1.0,4.0,50.0,52.0,9.0,51.0
4486,23.0,10.0,1.0,9.0,0.0,26.0,36.0,7.0,18.0,17.0,2.0,60.0,13.0,4.0,21.0,44.0,33.0,37.0,3.0,12.0,43.0,19.0,50.0,38.0,55.0,49.0,27.0,30.0,32.0,29.0
4535,27.0,3.0,10.0,21.0,1.0,9.0,24.0,44.0,17.0,65.0,19.0,14.0,52.0,0.0,6.0,13.0,7.0,4.0,32.0,23.0,2.0,18.0,46.0,11.0,33.0,28.0,41.0,47.0,62.0,5.0
4584,8.0,15.0,4.0,1.0,2.0,9.0,7.0,25.0,12.0,64.0,5.0,13.0,3.0,17.0,39.0,11.0,30.0,21.0,0.0,44.0,10.0,14.0,23.0,22.0,35.0,47.0,51.0,52.0,32.0,28.0
4633,2.0,4.0,0.0,3.0,1.0,12.0,17.0,11.0,15.0,16.0,13.0,19.0,20.0,9.0,46.0,22.0,40.0,37.0,29.0,38.0,21.0,24.0,26.0,42.0,7.0,45.0,48.0,8.0,58.0,32.0
4682,10.0,11.0,5.0,7.0,34.0,4.0,22.0,2.0,59.0,58.0,24.0,53.0,12.0,25.0,6.0,0.0,20.0,42.0,29.0,16.0,23.0,14.0,41.0,21.0,27.0,43.0,31.0,39.0,63.0,32.0
4731,2.0,3.0,31.0,4.0,1.0,27.0,32.0,13.0,16.0,64.0,65.0,59.0,20.0,5.0,10.0,43.0,40.0,6.0,53.0,26.0,39.0,15.0,21.0,9.0,51.0,19.0,33.0,14.0,8.0,12.0
4780,0.0,7.0,2.0,11.0,22.0,10.0,34.0,28.0,4.0,5.0,63.0,13.0,20.0,1.0,43.0,26.0,37.0,12.0,8.0,42.0,30.0,17.0,25.0,40.0,9.0,24.0,50.0,38.0,53.0,32.0
4829,12.0,29.0,4.0,1.0,6.0,26.0,25.0,34.0,16.0,9.0,17.0,14.0,19.0,31.0,23.0,47.0,24.0,21.0,11.0,22.0,27.0,28.0,45.0,43.0,56.0,46.0,40.0,0.0,8.0,10.0
4878,20.0,0.0,34.0,2.0,4.0,26.0,7.0,46.0,10.0,43.0,16.0,61.0,18.0,5.0,32.0,11.0,31.0,3.0,29.0,33.0,25.0,27.0,22.0,30.0,1.0,44.0,21.0,6.0,51.0,48.0
