, PI3K_only, TLR, TNFa, JAK-STAT, MAPK_PI3K, Wnt, TGFB, IL-1, MAPK_only, VEGF, H2O2
4056,0.0,3.0,1.0,2.0,4.0,5.0,8.0,6.0,7.0,9.0,10.0
4105,0.0,2.0,5.0,1.0,6.0,4.0,3.0,9.0,7.0,8.0,10.0
4154,0.0,1.0,3.0,2.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0
4203,0.0,1.0,2.0,5.0,3.0,4.0,7.0,8.0,6.0,9.0,10.0
4252,0.0,1.0,4.0,2.0,7.0,3.0,8.0,5.0,6.0,10.0,9.0
4301,0.0,4.0,3.0,2.0,1.0,5.0,6.0,8.0,7.0,9.0,10.0
4350,0.0,1.0,2.0,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0
4399,0.0,3.0,2.0,1.0,5.0,8.0,4.0,6.0,7.0,9.0,10.0
4448,1.0,0.0,2.0,4.0,3.0,8.0,5.0,6.0,7.0,9.0,10.0
4497,1.0,2.0,0.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
4546,0.0,2.0,1.0,3.0,4.0,8.0,5.0,6.0,7.0,9.0,10.0
4595,0.0,1.0,2.0,3.0,4.0,8.0,7.0,5.0,6.0,9.0,10.0
4644,0.0,1.0,2.0,4.0,5.0,6.0,3.0,7.0,8.0,10.0,9.0
4693,0.0,1.0,2.0,4.0,3.0,5.0,8.0,6.0,7.0,9.0,10.0
4742,2.0,0.0,1.0,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0
4791,1.0,0.0,2.0,4.0,3.0,5.0,8.0,6.0,7.0,9.0,10.0
4840,0.0,1.0,2.0,3.0,5.0,4.0,8.0,6.0,7.0,10.0,9.0
4889,0.0,3.0,1.0,4.0,2.0,6.0,5.0,7.0,8.0,9.0,10.0
