,hsa-miR-22,hsa-miR-130a,hsa-miR-449c,hsa-miR-151-3p,hsa-miR-507,hsa-miR-210,hsa-miR-96,hsa-miR-323-5p,hsa-miR-1978,hsa-miR-605,hsa-miR-483-3p,hsa-miR-486-3p,ebv-miR-BART19-5p,hsa-miR-657,hsa-miR-455-5p,hsa-miR-611,hsa-miR-513a-5p,hsa-miR-2117,hsa-miR-206,hsa-miR-1979,hsa-miR-1293,hsa-miR-545,hsa-miR-623,hsa-miR-1246,hsa-let-7c,hsa-miR-591,hsa-miR-30a,hsv1-miR-H7,hsa-miR-663,hsa-miR-28-5p
3449,5.0,453.0,139.0,69.0,62.0,49.0,85.0,31.0,96.0,75.0,37.0,87.0,51.0,94.0,532.0,101.0,47.0,17.0,386.0,65.0,465.0,44.0,176.0,66.0,289.0,144.0,596.0,91.0,327.0,175.0
3498,8.0,435.0,20.0,15.0,95.0,84.0,266.0,122.0,17.0,121.0,106.0,50.0,151.0,312.0,518.0,16.0,100.0,131.0,176.0,94.0,475.0,65.0,243.0,442.0,465.0,164.0,598.0,28.0,104.0,74.0
3547,593.0,434.0,58.0,17.0,107.0,119.0,65.0,61.0,34.0,111.0,126.0,175.0,106.0,48.0,515.0,75.0,14.0,55.0,410.0,52.0,39.0,173.0,171.0,51.0,83.0,103.0,82.0,162.0,87.0,70.0
3596,1.0,33.0,520.0,46.0,124.0,60.0,118.0,77.0,78.0,40.0,107.0,72.0,91.0,343.0,514.0,172.0,69.0,42.0,29.0,410.0,113.0,141.0,75.0,108.0,103.0,0.0,568.0,126.0,94.0,162.0
3645,6.0,38.0,125.0,59.0,45.0,469.0,123.0,85.0,98.0,79.0,34.0,108.0,136.0,129.0,36.0,20.0,89.0,33.0,473.0,43.0,400.0,22.0,13.0,99.0,31.0,255.0,84.0,78.0,212.0,158.0
3694,10.0,386.0,74.0,18.0,30.0,153.0,76.0,87.0,57.0,45.0,49.0,146.0,91.0,340.0,41.0,65.0,96.0,99.0,397.0,112.0,464.0,101.0,248.0,435.0,34.0,194.0,68.0,149.0,14.0,132.0
3743,6.0,10.0,18.0,23.0,11.0,119.0,5.0,32.0,17.0,53.0,109.0,112.0,93.0,84.0,50.0,198.0,22.0,67.0,480.0,489.0,97.0,71.0,160.0,114.0,37.0,246.0,430.0,98.0,12.0,412.0
3792,26.0,43.0,25.0,20.0,88.0,90.0,173.0,15.0,116.0,66.0,111.0,64.0,136.0,21.0,612.0,245.0,523.0,12.0,412.0,107.0,394.0,552.0,52.0,105.0,127.0,117.0,139.0,309.0,93.0,163.0
3841,27.0,428.0,108.0,23.0,18.0,401.0,22.0,17.0,47.0,70.0,84.0,111.0,98.0,343.0,507.0,330.0,549.0,2.0,403.0,425.0,472.0,53.0,33.0,21.0,77.0,128.0,565.0,67.0,13.0,580.0
3890,14.0,52.0,11.0,21.0,30.0,114.0,1.0,58.0,61.0,39.0,112.0,78.0,103.0,6.0,627.0,153.0,537.0,144.0,76.0,454.0,48.0,42.0,80.0,85.0,305.0,118.0,396.0,165.0,185.0,131.0
3939,59.0,392.0,25.0,10.0,80.0,35.0,116.0,148.0,50.0,65.0,73.0,82.0,69.0,338.0,512.0,190.0,559.0,431.0,408.0,412.0,467.0,139.0,108.0,436.0,462.0,184.0,75.0,70.0,178.0,60.0
