,TRIM49_DEL,ETS1_DEL,OR2T35_AMP,SCN3B_DEL,CREBBP_MUT,KRAS.G12_13_MUT,PDE4DIP_AMP,MCEE_AMP,CNTN5_DEL,MYH8_DEL,EP300_MUT,CDC73_AMP,NRG1_DEL,SLC25A37_AMP,GSTTP2_DEL,KALRN_MUT,RGS6_DEL,PTCH1_AMP,NETO1_DEL,GPHN_DEL,CCBE1_DEL,ZNF705G_AMP,PRH1-PRR4_AMP,TP53_MUT,JAK2_DEL,ME3_DEL,HLA-DRB6_AMP,NAV3_MUT,DNAH8_MUT,CWF19L2_AMP
523,50.0,26.0,13729.0,9506.0,44.0,110.0,120.0,48.0,10417.0,2138.0,54.0,41.0,808.0,22042.0,45.0,31.0,39.0,21872.0,69.0,20362.0,3708.0,57.0,42.0,139.0,127.0,4044.0,99.0,16428.0,16083.0,101.0
572,17.0,27.0,21.0,1.0,30.0,24.0,58.0,29.0,89.0,2164.0,51.0,57.0,127.0,98.0,68.0,16427.0,52.0,21873.0,92.0,20375.0,3708.0,184.0,162.0,88.0,107.0,4052.0,117.0,171.0,106.0,50.0
621,22.0,26.0,20.0,9525.0,52.0,24.0,58.0,36.0,10417.0,2246.0,69.0,47.0,91.0,25.0,111.0,16425.0,8273.0,60.0,71.0,20368.0,177.0,51.0,94.0,114.0,82.0,97.0,160.0,16427.0,16084.0,117.0
670,43.0,26.0,0.0,9522.0,32.0,27.0,50.0,45.0,10413.0,10.0,42.0,74.0,145.0,102.0,46.0,16421.0,60.0,21870.0,36.0,20363.0,82.0,87.0,37.0,135.0,86.0,4039.0,150.0,34.0,54.0,77.0
719,19.0,84.0,7.0,9522.0,28.0,16.0,40.0,19554.0,21.0,2130.0,66.0,74.0,82.0,151.0,56.0,32.0,60.0,30.0,114.0,15.0,14.0,85.0,15569.0,43.0,78.0,4037.0,160.0,16423.0,70.0,54.0
768,44.0,19.0,14.0,9531.0,40.0,12.0,58.0,80.0,89.0,87.0,66.0,100.0,163.0,76.0,122.0,150.0,54.0,21858.0,8.0,20376.0,62.0,85.0,51.0,108.0,61.0,4052.0,126.0,16431.0,125.0,42.0
817,14.0,51.0,10.0,9522.0,16067.0,58.0,55.0,93.0,10412.0,20.0,16203.0,95.0,143.0,117.0,154.0,27.0,8270.0,21878.0,60.0,71.0,110.0,120.0,30.0,138.0,82.0,132.0,81.0,16428.0,16081.0,115.0
866,11680.0,16.0,7.0,9520.0,43.0,30.0,46.0,42.0,10409.0,21.0,16201.0,73.0,53.0,22061.0,61.0,37.0,71.0,20.0,125.0,20356.0,3692.0,122.0,109.0,119.0,96.0,68.0,155.0,16420.0,16079.0,157.0
915,73.0,9.0,6.0,9530.0,96.0,32.0,46.0,83.0,1.0,2146.0,42.0,33.0,59.0,43.0,112.0,71.0,57.0,21878.0,38.0,20368.0,3712.0,20.0,65.0,101.0,145.0,62.0,116.0,16430.0,16084.0,170.0
964,11662.0,21.0,13748.0,9524.0,48.0,19.0,46.0,70.0,15.0,2119.0,79.0,34.0,812.0,137.0,73.0,52.0,56.0,21870.0,59.0,20359.0,3698.0,153.0,64.0,134.0,140.0,39.0,92.0,72.0,16081.0,89.0
1013,36.0,20.0,18.0,5.0,34.0,22.0,79.0,37.0,66.0,24.0,30.0,82.0,28.0,62.0,10.0,16431.0,8279.0,109.0,64.0,105.0,52.0,132.0,26.0,90.0,137.0,47.0,162.0,16433.0,16088.0,145.0
1062,11666.0,39.0,42.0,9487.0,25.0,52.0,31.0,46.0,44.0,37.0,16208.0,127.0,36.0,69.0,97.0,16428.0,90.0,62.0,98.0,48.0,2.0,104.0,150.0,84.0,129.0,4049.0,120.0,7.0,91.0,17272.0
1111,57.0,42.0,48.0,73.0,12.0,47.0,66.0,19541.0,28.0,96.0,16209.0,59.0,894.0,37.0,176.0,16430.0,49.0,21877.0,26.0,24.0,39.0,124.0,62.0,132.0,145.0,4062.0,152.0,147.0,97.0,165.0
1160,16.0,99.0,15.0,9534.0,56.0,21.0,72.0,89.0,148.0,2121.0,22.0,37.0,778.0,117.0,93.0,16434.0,24.0,21859.0,109.0,90.0,61.0,45.0,70.0,103.0,82.0,4056.0,175.0,64.0,57.0,17278.0
1209,12.0,35.0,28.0,9651.0,103.0,33.0,22.0,19541.0,71.0,2181.0,16210.0,85.0,846.0,17.0,133.0,16428.0,8079.0,83.0,6658.0,20371.0,44.0,129.0,51.0,60.0,111.0,4080.0,126.0,16430.0,16088.0,151.0
1258,11694.0,79.0,14.0,9535.0,57.0,23.0,83.0,77.0,100.0,64.0,54.0,144.0,845.0,50.0,123.0,16432.0,8283.0,34.0,132.0,84.0,17.0,71.0,136.0,112.0,116.0,4105.0,80.0,135.0,156.0,121.0
1307,33.0,6068.0,51.0,9535.0,63.0,24134.0,84.0,3.0,165.0,112.0,115.0,104.0,7.0,72.0,95.0,16413.0,8283.0,21838.0,30.0,23.0,3694.0,50.0,108.0,89.0,67.0,136.0,158.0,96.0,16091.0,126.0
1356,15.0,42.0,23.0,9538.0,22.0,30.0,24.0,51.0,87.0,40.0,73.0,138.0,828.0,59.0,41.0,16436.0,68.0,21.0,95.0,50.0,151.0,36.0,118.0,93.0,111.0,4101.0,139.0,16438.0,16091.0,104.0
1405,31.0,12.0,32.0,21.0,46.0,101.0,54.0,93.0,79.0,2175.0,56.0,114.0,737.0,40.0,179.0,16414.0,8287.0,134.0,48.0,62.0,3723.0,145.0,69.0,97.0,139.0,4070.0,84.0,16.0,58.0,190.0
1454,111.0,58.0,69.0,17.0,22.0,43.0,18736.0,23.0,10419.0,2169.0,16210.0,81.0,814.0,30.0,123.0,91.0,8281.0,21877.0,112.0,82.0,3697.0,97.0,70.0,133.0,148.0,151.0,164.0,16432.0,16088.0,198.0
1503,22.0,46.0,67.0,11.0,96.0,40.0,18722.0,87.0,106.0,34.0,76.0,62.0,83.0,131.0,80.0,71.0,49.0,21840.0,139.0,104.0,3677.0,173.0,152.0,177.0,90.0,81.0,103.0,155.0,38.0,44.0
1552,15.0,57.0,13724.0,39.0,26.0,24134.0,96.0,70.0,85.0,49.0,120.0,47.0,46.0,127.0,68.0,16412.0,27.0,94.0,33.0,8.0,20.0,156.0,122.0,124.0,73.0,126.0,82.0,37.0,56.0,55.0
1601,9.0,67.0,13751.0,103.0,80.0,45.0,153.0,20.0,21.0,19.0,26.0,74.0,66.0,59.0,76.0,16428.0,75.0,100.0,6530.0,20375.0,112.0,15439.0,132.0,164.0,51.0,4048.0,149.0,17.0,78.0,94.0
1650,10.0,80.0,13751.0,50.0,60.0,70.0,124.0,155.0,5.0,93.0,130.0,23.0,63.0,144.0,53.0,16426.0,12.0,39.0,48.0,100.0,1.0,105.0,138.0,158.0,179.0,76.0,54.0,134.0,109.0,56.0
1699,3.0,98.0,82.0,48.0,52.0,19.0,103.0,137.0,42.0,68.0,126.0,23177.0,64.0,22043.0,35.0,16427.0,40.0,71.0,6509.0,63.0,41.0,15440.0,162.0,92.0,141.0,39.0,109.0,116.0,180.0,55.0
1748,22.0,59.0,71.0,89.0,103.0,126.0,54.0,75.0,10426.0,56.0,16216.0,65.0,124.0,171.0,108.0,16414.0,96.0,87.0,21.0,20376.0,206.0,138.0,118.0,190.0,84.0,130.0,112.0,147.0,174.0,30.0
1797,12.0,45.0,13719.0,9534.0,16074.0,59.0,30.0,38.0,1.0,47.0,95.0,53.0,130.0,147.0,88.0,16433.0,8284.0,100.0,126.0,20376.0,165.0,183.0,56.0,66.0,105.0,70.0,145.0,16435.0,192.0,60.0
1846,7.0,35.0,18.0,38.0,16073.0,24134.0,56.0,75.0,59.0,97.0,88.0,68.0,80.0,22027.0,109.0,16434.0,8281.0,21879.0,74.0,26.0,62.0,147.0,155.0,72.0,92.0,104.0,91.0,93.0,173.0,89.0
1895,18.0,23.0,13731.0,31.0,42.0,24134.0,43.0,38.0,10418.0,34.0,71.0,97.0,806.0,143.0,61.0,48.0,76.0,21877.0,40.0,20367.0,112.0,140.0,14.0,118.0,106.0,139.0,170.0,11.0,30.0,66.0
1944,16.0,33.0,13749.0,9524.0,16068.0,24134.0,40.0,60.0,19.0,907.0,110.0,2.0,86.0,22063.0,156.0,16424.0,64.0,41.0,6502.0,20365.0,24.0,154.0,81.0,109.0,101.0,4049.0,73.0,48.0,16083.0,157.0
1993,11668.0,50.0,46.0,27.0,107.0,64.0,75.0,40.0,85.0,2131.0,16212.0,99.0,823.0,178.0,125.0,86.0,45.0,89.0,6508.0,22.0,51.0,136.0,113.0,173.0,153.0,37.0,182.0,96.0,114.0,83.0
2042,39.0,56.0,54.0,15.0,92.0,19.0,17.0,35.0,57.0,2132.0,26.0,120.0,129.0,189.0,61.0,66.0,24.0,55.0,116.0,20375.0,1.0,121.0,103.0,63.0,170.0,49.0,141.0,16435.0,36.0,62.0
2091,32.0,64.0,13712.0,9529.0,25.0,70.0,103.0,45.0,10419.0,2143.0,31.0,44.0,0.0,78.0,74.0,48.0,12.0,139.0,92.0,106.0,94.0,15445.0,15583.0,178.0,136.0,23.0,36.0,95.0,110.0,150.0
2140,12.0,62.0,13749.0,13.0,16068.0,78.0,85.0,103.0,47.0,126.0,101.0,96.0,9.0,0.0,72.0,65.0,36.0,95.0,160.0,20375.0,3704.0,121.0,37.0,100.0,94.0,4047.0,139.0,106.0,53.0,208.0
2189,19.0,80.0,25.0,9531.0,71.0,64.0,62.0,19539.0,148.0,2114.0,49.0,28.0,32.0,22026.0,141.0,87.0,30.0,126.0,16.0,0.0,3714.0,111.0,68.0,150.0,93.0,54.0,120.0,16430.0,86.0,103.0
2238,12.0,51.0,23.0,0.0,30.0,6.0,46.0,48.0,69.0,122.0,86.0,100.0,814.0,189.0,81.0,49.0,11.0,43.0,90.0,28.0,42.0,112.0,151.0,127.0,117.0,39.0,70.0,55.0,59.0,165.0
2287,5.0,89.0,65.0,6.0,56.0,42.0,45.0,98.0,24.0,2176.0,96.0,169.0,16.0,84.0,126.0,58.0,8277.0,21873.0,202.0,20374.0,117.0,95.0,43.0,81.0,130.0,4064.0,20.0,94.0,22.0,17273.0
2336,75.0,33.0,96.0,9529.0,16070.0,42.0,125.0,49.0,41.0,2118.0,71.0,86.0,143.0,119.0,74.0,51.0,43.0,141.0,87.0,26.0,32.0,154.0,109.0,97.0,65.0,133.0,191.0,112.0,91.0,168.0
2385,4.0,77.0,65.0,90.0,92.0,35.0,18713.0,52.0,84.0,2143.0,55.0,26.0,734.0,165.0,135.0,16428.0,10.0,125.0,121.0,17.0,111.0,118.0,86.0,88.0,127.0,133.0,120.0,138.0,16086.0,17275.0
2434,11688.0,42.0,22.0,9530.0,77.0,23.0,18715.0,109.0,80.0,113.0,57.0,13.0,18.0,104.0,156.0,16431.0,52.0,21857.0,151.0,4.0,193.0,124.0,155.0,83.0,115.0,4061.0,150.0,128.0,73.0,126.0
2483,9.0,91.0,13716.0,71.0,33.0,18.0,52.0,158.0,25.0,10.0,45.0,118.0,28.0,95.0,84.0,19.0,48.0,80.0,73.0,20372.0,3715.0,59.0,96.0,176.0,93.0,20.0,75.0,106.0,77.0,128.0
2532,11649.0,47.0,10.0,117.0,29.0,74.0,96.0,92.0,78.0,55.0,112.0,57.0,21.0,198.0,141.0,37.0,88.0,58.0,56.0,33.0,28.0,148.0,182.0,73.0,87.0,129.0,155.0,64.0,16086.0,134.0
2581,101.0,40.0,13718.0,7.0,44.0,59.0,102.0,18.0,75.0,2125.0,134.0,93.0,73.0,57.0,96.0,16411.0,67.0,124.0,64.0,20367.0,3712.0,81.0,15582.0,122.0,166.0,4057.0,121.0,43.0,48.0,37.0
2630,32.0,71.0,44.0,105.0,19.0,12.0,50.0,55.0,99.0,84.0,16205.0,125.0,28.0,35.0,131.0,93.0,8275.0,24.0,20.0,20363.0,65.0,47.0,15578.0,114.0,190.0,82.0,89.0,86.0,16083.0,129.0
2679,82.0,16.0,13718.0,43.0,51.0,74.0,38.0,121.0,55.0,52.0,42.0,63.0,94.0,181.0,101.0,66.0,29.0,174.0,6538.0,20375.0,14.0,87.0,15588.0,109.0,90.0,4064.0,105.0,164.0,106.0,75.0
2728,94.0,95.0,34.0,35.0,27.0,104.0,18781.0,26.0,9.0,52.0,16206.0,23179.0,41.0,138.0,81.0,47.0,68.0,69.0,20.0,20375.0,3712.0,125.0,15574.0,149.0,74.0,38.0,107.0,80.0,30.0,144.0
2777,36.0,8.0,25.0,30.0,24.0,20.0,18783.0,103.0,35.0,78.0,16207.0,23179.0,77.0,94.0,114.0,40.0,80.0,61.0,83.0,20376.0,3708.0,60.0,15574.0,124.0,68.0,48.0,125.0,16424.0,58.0,117.0
2826,11676.0,120.0,19.0,17.0,16074.0,116.0,125.0,52.0,28.0,650.0,119.0,23182.0,14.0,108.0,68.0,24.0,8283.0,81.0,107.0,20375.0,85.0,37.0,15584.0,175.0,78.0,73.0,121.0,69.0,145.0,184.0
2875,1.0,36.0,26.0,19.0,37.0,100.0,28.0,109.0,29.0,2127.0,124.0,23180.0,33.0,55.0,104.0,111.0,8281.0,27.0,30.0,20374.0,3691.0,119.0,15586.0,150.0,118.0,4061.0,123.0,93.0,69.0,101.0
2924,51.0,35.0,13735.0,0.0,72.0,151.0,119.0,61.0,98.0,25.0,16212.0,14.0,32.0,165.0,43.0,12.0,97.0,48.0,60.0,20374.0,46.0,57.0,156.0,120.0,150.0,77.0,101.0,66.0,99.0,70.0
2973,19.0,46.0,18.0,0.0,15.0,65.0,158.0,80.0,159.0,131.0,64.0,89.0,87.0,62.0,74.0,16.0,8284.0,98.0,59.0,20377.0,97.0,169.0,133.0,132.0,106.0,4068.0,179.0,122.0,16088.0,23.0
3022,11676.0,37.0,7.0,6.0,23.0,50.0,90.0,118.0,49.0,77.0,106.0,57.0,69.0,86.0,115.0,43.0,8290.0,68.0,0.0,61.0,205.0,183.0,225.0,124.0,159.0,172.0,162.0,114.0,184.0,125.0
3071,11673.0,19.0,15.0,46.0,57.0,24134.0,47.0,100.0,23.0,66.0,16211.0,50.0,826.0,63.0,131.0,18.0,92.0,65.0,6507.0,11.0,118.0,79.0,119.0,164.0,154.0,138.0,117.0,71.0,16089.0,206.0
3120,42.0,80.0,11.0,13.0,16069.0,122.0,164.0,47.0,10418.0,21.0,18.0,95.0,78.0,112.0,62.0,27.0,57.0,61.0,100.0,20370.0,171.0,94.0,15578.0,92.0,103.0,91.0,172.0,7.0,16083.0,77.0
3169,36.0,17.0,4.0,25.0,52.0,26.0,51.0,82.0,10417.0,31.0,50.0,53.0,131.0,75.0,134.0,3.0,8273.0,119.0,6498.0,85.0,142.0,121.0,103.0,87.0,117.0,132.0,108.0,16427.0,95.0,17268.0
3218,49.0,10.0,8.0,30.0,16074.0,76.0,20.0,43.0,10424.0,21.0,63.0,77.0,128.0,38.0,74.0,39.0,8280.0,100.0,35.0,40.0,3687.0,104.0,46.0,159.0,2379.0,4055.0,89.0,14.0,121.0,17272.0
3267,11694.0,64.0,33.0,112.0,38.0,44.0,98.0,87.0,134.0,166.0,56.0,116.0,837.0,57.0,102.0,16431.0,49.0,177.0,7.0,53.0,3700.0,173.0,163.0,95.0,168.0,121.0,158.0,77.0,110.0,182.0
3316,21.0,13.0,20.0,41.0,16069.0,152.0,87.0,102.0,127.0,7.0,27.0,73.0,571.0,58.0,68.0,2.0,36.0,71.0,6510.0,39.0,80.0,160.0,138.0,62.0,44.0,118.0,120.0,16426.0,16083.0,192.0
3365,4.0,71.0,9.0,105.0,32.0,81.0,101.0,70.0,10423.0,96.0,16211.0,82.0,742.0,56.0,112.0,13.0,47.0,93.0,6513.0,20377.0,3682.0,159.0,15586.0,74.0,149.0,4071.0,111.0,16434.0,77.0,157.0
3414,20.0,53.0,4.0,13.0,25.0,24134.0,50.0,49.0,10401.0,36.0,79.0,72.0,74.0,66.0,61.0,11.0,8276.0,90.0,106.0,20369.0,3709.0,15446.0,99.0,141.0,155.0,4053.0,69.0,16411.0,54.0,114.0
3463,10.0,28.0,49.0,47.0,60.0,13.0,44.0,85.0,10423.0,57.0,16210.0,38.0,833.0,123.0,51.0,33.0,71.0,114.0,6516.0,6.0,106.0,77.0,128.0,192.0,145.0,4120.0,110.0,147.0,16088.0,99.0
3512,10.0,14.0,31.0,16.0,33.0,23.0,53.0,105.0,10418.0,35.0,39.0,92.0,859.0,71.0,49.0,28.0,8275.0,21871.0,6562.0,20375.0,5.0,50.0,139.0,100.0,172.0,25.0,149.0,36.0,18.0,66.0
3561,5.0,19.0,37.0,9531.0,29.0,8.0,129.0,68.0,12.0,24.0,51.0,36.0,890.0,193.0,53.0,25.0,8282.0,57.0,6537.0,20371.0,35.0,80.0,118.0,149.0,167.0,147.0,163.0,111.0,16088.0,166.0
3610,19.0,14.0,21.0,9522.0,34.0,16.0,142.0,75.0,72.0,62.0,108.0,98.0,73.0,66.0,96.0,89.0,8274.0,31.0,120.0,64.0,22.0,67.0,143.0,165.0,170.0,79.0,163.0,50.0,16083.0,195.0
3659,24.0,14.0,13715.0,56.0,22.0,3.0,140.0,59.0,35.0,60.0,109.0,23185.0,57.0,131.0,27.0,53.0,8279.0,21856.0,6533.0,20370.0,33.0,91.0,167.0,132.0,171.0,66.0,122.0,38.0,16.0,46.0
3708,12.0,16.0,13745.0,9521.0,48.0,14.0,73.0,17.0,76.0,2137.0,4.0,45.0,41.0,146.0,83.0,75.0,42.0,120.0,6520.0,20357.0,35.0,58.0,108.0,138.0,103.0,130.0,100.0,28.0,16080.0,56.0
3757,26.0,39.0,13738.0,31.0,16073.0,97.0,136.0,109.0,10420.0,55.0,51.0,61.0,65.0,87.0,152.0,131.0,8282.0,75.0,167.0,20375.0,8.0,53.0,15588.0,116.0,149.0,32.0,70.0,166.0,62.0,115.0
3806,14.0,18.0,13723.0,27.0,16075.0,28.0,113.0,103.0,23.0,25.0,54.0,20.0,62.0,81.0,68.0,30.0,8284.0,21840.0,10.0,20372.0,3697.0,112.0,15589.0,123.0,88.0,61.0,107.0,59.0,97.0,79.0
3855,7.0,20.0,9.0,9530.0,40.0,10.0,31.0,47.0,10420.0,89.0,17.0,139.0,102.0,22025.0,48.0,74.0,8278.0,117.0,6531.0,27.0,41.0,15436.0,103.0,141.0,129.0,133.0,88.0,84.0,16085.0,162.0
3904,12.0,18.0,29.0,9528.0,32.0,11.0,54.0,49.0,121.0,2170.0,40.0,21.0,835.0,39.0,107.0,36.0,73.0,132.0,6505.0,20372.0,3713.0,35.0,90.0,160.0,137.0,4059.0,176.0,55.0,16085.0,56.0
3953,18.0,42.0,32.0,7.0,30.0,24134.0,18717.0,67.0,45.0,44.0,68.0,33.0,813.0,60.0,86.0,16429.0,8282.0,50.0,53.0,107.0,183.0,39.0,65.0,87.0,2452.0,4062.0,106.0,16431.0,98.0,190.0
4002,18.0,25.0,67.0,77.0,16071.0,148.0,135.0,48.0,24.0,37.0,36.0,23185.0,26.0,20.0,54.0,16431.0,8280.0,42.0,78.0,31.0,3711.0,111.0,50.0,71.0,90.0,74.0,119.0,16412.0,91.0,181.0
4051,14.0,27.0,3.0,57.0,35.0,30.0,18713.0,36.0,136.0,33.0,115.0,55.0,56.0,38.0,86.0,89.0,50.0,21877.0,138.0,25.0,60.0,40.0,41.0,120.0,88.0,75.0,131.0,157.0,16084.0,90.0
4100,39.0,40.0,3.0,28.0,30.0,24134.0,18718.0,109.0,23.0,31.0,77.0,45.0,818.0,74.0,119.0,72.0,87.0,124.0,116.0,21.0,3693.0,154.0,91.0,101.0,185.0,88.0,80.0,16430.0,16087.0,17274.0
4149,11.0,0.0,13718.0,29.0,10.0,58.0,99.0,50.0,62.0,54.0,16214.0,36.0,163.0,176.0,119.0,51.0,37.0,156.0,6537.0,20373.0,7.0,69.0,15567.0,95.0,94.0,4173.0,131.0,16411.0,82.0,73.0
4198,36.0,21.0,13752.0,10.0,101.0,115.0,79.0,68.0,93.0,22.0,16206.0,56.0,144.0,169.0,85.0,16425.0,98.0,30.0,104.0,23.0,3711.0,119.0,25.0,116.0,151.0,91.0,120.0,16427.0,16084.0,17268.0
4247,52.0,21.0,110.0,17.0,136.0,126.0,103.0,72.0,39.0,15.0,23.0,79.0,159.0,74.0,27.0,116.0,8281.0,21874.0,41.0,20372.0,3714.0,37.0,15583.0,113.0,155.0,4061.0,85.0,16413.0,95.0,134.0
4296,3.0,24.0,13717.0,41.0,47.0,92.0,85.0,55.0,10424.0,9.0,43.0,75.0,38.0,79.0,140.0,17.0,53.0,88.0,6509.0,104.0,27.0,93.0,56.0,81.0,60.0,4065.0,150.0,138.0,177.0,198.0
4345,24.0,18.0,100.0,0.0,53.0,37.0,109.0,84.0,163.0,52.0,66.0,79.0,144.0,64.0,97.0,16432.0,46.0,21875.0,123.0,20373.0,16.0,112.0,15586.0,118.0,96.0,95.0,160.0,122.0,177.0,127.0
4394,37.0,12.0,38.0,9533.0,91.0,24134.0,55.0,65.0,17.0,60.0,140.0,59.0,26.0,101.0,106.0,16433.0,8279.0,89.0,116.0,43.0,3695.0,88.0,45.0,137.0,121.0,4061.0,136.0,16412.0,99.0,119.0
4443,11664.0,65.0,13729.0,17.0,76.0,68.0,18780.0,119.0,10410.0,148.0,48.0,152.0,39.0,150.0,146.0,16428.0,8272.0,21870.0,64.0,23.0,3707.0,165.0,126.0,81.0,118.0,26.0,95.0,57.0,3.0,86.0
4492,11678.0,50.0,13748.0,9521.0,61.0,76.0,60.0,52.0,84.0,2163.0,71.0,78.0,141.0,102.0,86.0,16425.0,8274.0,21868.0,135.0,5.0,46.0,146.0,113.0,108.0,99.0,42.0,85.0,70.0,137.0,125.0
4541,35.0,17.0,9.0,92.0,51.0,34.0,136.0,47.0,10417.0,22.0,63.0,56.0,67.0,25.0,79.0,16423.0,8270.0,26.0,37.0,20360.0,3696.0,43.0,132.0,88.0,135.0,96.0,93.0,119.0,41.0,162.0
4590,57.0,35.0,13731.0,31.0,58.0,54.0,99.0,107.0,45.0,2509.0,56.0,90.0,42.0,36.0,116.0,16410.0,8278.0,48.0,28.0,89.0,200.0,112.0,43.0,94.0,84.0,79.0,131.0,102.0,92.0,139.0
4639,70.0,41.0,8.0,9534.0,79.0,103.0,62.0,63.0,57.0,12.0,107.0,131.0,35.0,92.0,83.0,16412.0,8280.0,21877.0,91.0,34.0,3743.0,118.0,43.0,116.0,152.0,30.0,14382.0,45.0,16089.0,176.0
4688,11680.0,42.0,49.0,116.0,28.0,41.0,62.0,19554.0,54.0,108.0,91.0,147.0,843.0,55.0,83.0,16423.0,8268.0,21877.0,6496.0,20361.0,1.0,59.0,99.0,64.0,51.0,86.0,155.0,70.0,113.0,144.0
4737,98.0,22.0,13733.0,9527.0,44.0,13.0,155.0,156.0,66.0,82.0,85.0,67.0,24.0,56.0,129.0,16424.0,8279.0,21874.0,116.0,20375.0,38.0,172.0,102.0,64.0,58.0,37.0,77.0,104.0,168.0,75.0
4786,51.0,94.0,9.0,10.0,32.0,151.0,27.0,110.0,95.0,158.0,150.0,104.0,31.0,43.0,103.0,48.0,8274.0,117.0,81.0,20367.0,22.0,137.0,162.0,112.0,80.0,28.0,115.0,65.0,16085.0,92.0
4835,72.0,35.0,13749.0,9524.0,16.0,76.0,94.0,106.0,32.0,2119.0,16205.0,78.0,89.0,36.0,57.0,16409.0,8270.0,21869.0,27.0,20361.0,18.0,166.0,62.0,79.0,69.0,52.0,130.0,49.0,16083.0,66.0
4884,11686.0,47.0,13751.0,52.0,77.0,67.0,74.0,163.0,28.0,2165.0,16206.0,34.0,23.0,41.0,144.0,16426.0,8278.0,49.0,55.0,20366.0,84.0,97.0,129.0,98.0,153.0,117.0,114.0,30.0,16084.0,93.0
