,VEGFR2,HER3,P-Cadherin,XBP1,Chk1_pS345,Cyclin_B1,YB-1_pS102,Bcl-xL,C-Raf_pS338,VAV1,c-Myc,Rb,Claudin-7,p70S6K_pT389,Chk2,Annexin_VII,14-3-3_beta,PEA15,MDMX_MDM4(BetIHC-00108),AMPK_alpha,Lck,Src_pY416,FOXO3a,PTEN,G6PD,Chk2_pT68,RAD51,Akt,ACVRL1,Akt_pS473
1083,2.0,47.0,0.0,35.0,14.0,31.0,108.0,19.0,73.0,36.0,156.0,22.0,28.0,21.0,10.0,55.0,4.0,7.0,48.0,68.0,53.0,32.0,136.0,86.0,65.0,39.0,67.0,59.0,16.0,123.0
1132,10.0,26.0,22.0,33.0,8.0,19.0,3.0,32.0,44.0,14.0,41.0,29.0,64.0,51.0,1.0,139.0,24.0,56.0,23.0,42.0,81.0,118.0,109.0,105.0,71.0,66.0,88.0,103.0,20.0,60.0
1181,1.0,7.0,9.0,25.0,69.0,43.0,19.0,86.0,18.0,77.0,4.0,54.0,17.0,52.0,11.0,156.0,75.0,63.0,27.0,48.0,145.0,12.0,55.0,84.0,133.0,76.0,53.0,3.0,122.0,46.0
1230,0.0,83.0,21.0,57.0,74.0,19.0,164.0,43.0,23.0,5.0,16.0,37.0,52.0,39.0,56.0,7.0,32.0,8.0,13.0,33.0,40.0,51.0,130.0,69.0,129.0,59.0,48.0,6.0,157.0,63.0
1279,1.0,24.0,12.0,31.0,106.0,10.0,11.0,41.0,134.0,20.0,37.0,28.0,27.0,67.0,142.0,130.0,58.0,153.0,2.0,44.0,59.0,55.0,13.0,80.0,143.0,53.0,22.0,0.0,33.0,114.0
1328,1.0,96.0,5.0,54.0,91.0,25.0,164.0,32.0,6.0,48.0,59.0,79.0,15.0,149.0,55.0,95.0,69.0,2.0,16.0,53.0,20.0,73.0,27.0,62.0,162.0,85.0,116.0,56.0,136.0,97.0
1377,3.0,87.0,146.0,42.0,90.0,11.0,21.0,33.0,46.0,8.0,79.0,101.0,15.0,20.0,12.0,114.0,71.0,32.0,16.0,24.0,23.0,9.0,29.0,95.0,1.0,129.0,14.0,0.0,123.0,40.0
1426,2.0,31.0,138.0,28.0,41.0,15.0,35.0,10.0,4.0,6.0,20.0,12.0,105.0,27.0,3.0,5.0,92.0,16.0,84.0,59.0,56.0,96.0,24.0,79.0,90.0,85.0,19.0,0.0,74.0,47.0
1475,126.0,7.0,1.0,20.0,21.0,31.0,43.0,15.0,94.0,9.0,127.0,32.0,81.0,35.0,8.0,51.0,19.0,145.0,46.0,56.0,2.0,71.0,73.0,87.0,0.0,17.0,44.0,25.0,163.0,60.0
1524,50.0,3.0,15.0,32.0,37.0,78.0,62.0,36.0,164.0,13.0,12.0,27.0,90.0,16.0,24.0,38.0,10.0,5.0,144.0,25.0,35.0,76.0,141.0,53.0,140.0,44.0,107.0,122.0,56.0,120.0
1573,69.0,14.0,8.0,13.0,75.0,35.0,26.0,18.0,41.0,118.0,4.0,16.0,96.0,19.0,46.0,29.0,128.0,150.0,72.0,45.0,88.0,24.0,11.0,83.0,161.0,77.0,115.0,27.0,30.0,32.0
1622,54.0,13.0,25.0,21.0,49.0,5.0,60.0,62.0,150.0,41.0,79.0,38.0,35.0,17.0,61.0,15.0,10.0,112.0,7.0,6.0,22.0,16.0,70.0,108.0,1.0,68.0,162.0,124.0,88.0,48.0
1671,2.0,7.0,6.0,10.0,36.0,12.0,33.0,25.0,86.0,0.0,82.0,70.0,75.0,15.0,45.0,44.0,122.0,147.0,156.0,11.0,49.0,20.0,99.0,61.0,143.0,127.0,120.0,137.0,138.0,24.0
1720,3.0,4.0,64.0,15.0,68.0,123.0,50.0,75.0,29.0,131.0,162.0,2.0,33.0,17.0,129.0,6.0,36.0,149.0,31.0,34.0,76.0,18.0,38.0,46.0,52.0,59.0,159.0,111.0,30.0,49.0
1769,8.0,7.0,17.0,18.0,47.0,53.0,51.0,9.0,32.0,123.0,44.0,104.0,145.0,10.0,42.0,21.0,125.0,15.0,19.0,55.0,2.0,46.0,62.0,122.0,6.0,75.0,114.0,37.0,138.0,25.0
1818,5.0,10.0,17.0,11.0,77.0,12.0,29.0,32.0,64.0,24.0,9.0,76.0,20.0,13.0,67.0,53.0,23.0,144.0,147.0,47.0,25.0,63.0,112.0,71.0,111.0,70.0,2.0,148.0,156.0,60.0
1867,1.0,8.0,21.0,28.0,74.0,12.0,23.0,55.0,58.0,128.0,26.0,11.0,41.0,45.0,119.0,4.0,32.0,7.0,147.0,34.0,27.0,37.0,33.0,118.0,136.0,91.0,3.0,108.0,50.0,79.0
1916,1.0,5.0,157.0,16.0,14.0,66.0,164.0,38.0,135.0,119.0,130.0,33.0,54.0,18.0,29.0,9.0,8.0,57.0,81.0,52.0,30.0,70.0,131.0,90.0,31.0,138.0,106.0,50.0,34.0,42.0
1965,33.0,3.0,5.0,34.0,26.0,29.0,24.0,28.0,98.0,19.0,101.0,18.0,14.0,44.0,129.0,48.0,124.0,10.0,55.0,51.0,36.0,76.0,4.0,119.0,20.0,67.0,83.0,141.0,62.0,35.0
2014,39.0,20.0,3.0,10.0,46.0,52.0,18.0,12.0,8.0,58.0,16.0,42.0,5.0,41.0,129.0,97.0,1.0,44.0,23.0,43.0,57.0,50.0,126.0,56.0,71.0,30.0,0.0,55.0,35.0,91.0
2063,43.0,5.0,2.0,37.0,73.0,17.0,34.0,19.0,32.0,14.0,8.0,60.0,13.0,42.0,110.0,139.0,33.0,6.0,134.0,36.0,63.0,22.0,162.0,49.0,35.0,44.0,20.0,11.0,18.0,89.0
2112,7.0,4.0,0.0,29.0,11.0,31.0,38.0,21.0,16.0,22.0,78.0,64.0,8.0,50.0,26.0,13.0,46.0,3.0,148.0,72.0,27.0,12.0,14.0,51.0,83.0,56.0,68.0,57.0,127.0,32.0
2161,10.0,7.0,1.0,30.0,15.0,65.0,164.0,19.0,9.0,113.0,133.0,101.0,21.0,43.0,14.0,17.0,5.0,0.0,89.0,80.0,27.0,28.0,56.0,66.0,6.0,87.0,31.0,109.0,136.0,102.0
2210,26.0,3.0,16.0,18.0,11.0,81.0,164.0,35.0,41.0,127.0,153.0,50.0,20.0,25.0,43.0,116.0,24.0,29.0,58.0,61.0,80.0,14.0,49.0,44.0,0.0,60.0,7.0,122.0,119.0,2.0
2259,27.0,4.0,7.0,18.0,26.0,143.0,164.0,21.0,41.0,19.0,163.0,25.0,6.0,54.0,29.0,22.0,69.0,156.0,1.0,81.0,50.0,9.0,135.0,20.0,30.0,32.0,60.0,113.0,3.0,13.0
2308,24.0,1.0,8.0,34.0,30.0,10.0,0.0,12.0,73.0,72.0,2.0,40.0,20.0,56.0,37.0,13.0,99.0,81.0,50.0,92.0,35.0,5.0,9.0,46.0,94.0,15.0,23.0,129.0,31.0,17.0
2357,15.0,8.0,4.0,20.0,28.0,41.0,94.0,38.0,37.0,64.0,43.0,105.0,32.0,52.0,87.0,29.0,6.0,50.0,49.0,63.0,27.0,16.0,149.0,104.0,148.0,90.0,51.0,136.0,92.0,21.0
2406,18.0,11.0,9.0,27.0,24.0,56.0,69.0,32.0,34.0,124.0,0.0,163.0,60.0,54.0,78.0,150.0,8.0,62.0,53.0,43.0,47.0,95.0,42.0,28.0,139.0,41.0,22.0,15.0,5.0,161.0
2455,0.0,10.0,6.0,13.0,30.0,11.0,164.0,51.0,12.0,37.0,19.0,17.0,22.0,67.0,132.0,81.0,20.0,45.0,130.0,76.0,46.0,118.0,42.0,36.0,152.0,54.0,32.0,116.0,78.0,8.0
2504,78.0,83.0,0.0,27.0,10.0,28.0,50.0,42.0,14.0,11.0,132.0,38.0,62.0,73.0,19.0,72.0,123.0,99.0,97.0,137.0,77.0,59.0,125.0,55.0,142.0,24.0,111.0,18.0,30.0,53.0
2553,2.0,1.0,6.0,10.0,19.0,8.0,20.0,21.0,34.0,27.0,142.0,75.0,48.0,36.0,60.0,13.0,46.0,151.0,146.0,47.0,79.0,81.0,138.0,69.0,136.0,25.0,110.0,63.0,122.0,26.0
2602,46.0,21.0,5.0,22.0,18.0,11.0,28.0,43.0,94.0,9.0,80.0,85.0,35.0,57.0,65.0,124.0,164.0,20.0,7.0,6.0,70.0,36.0,16.0,58.0,41.0,56.0,72.0,129.0,25.0,34.0
2651,28.0,25.0,31.0,11.0,2.0,43.0,64.0,52.0,93.0,124.0,47.0,14.0,33.0,54.0,3.0,49.0,125.0,68.0,158.0,65.0,61.0,37.0,36.0,29.0,57.0,62.0,17.0,59.0,12.0,40.0
2700,48.0,36.0,60.0,15.0,1.0,19.0,26.0,37.0,45.0,0.0,39.0,14.0,42.0,49.0,51.0,153.0,94.0,62.0,98.0,52.0,54.0,61.0,47.0,40.0,57.0,29.0,17.0,148.0,87.0,56.0
2749,41.0,59.0,30.0,15.0,5.0,19.0,11.0,13.0,39.0,10.0,38.0,80.0,87.0,44.0,42.0,136.0,124.0,149.0,45.0,64.0,88.0,105.0,144.0,61.0,145.0,68.0,116.0,34.0,16.0,51.0
2798,3.0,13.0,37.0,15.0,4.0,9.0,20.0,44.0,129.0,121.0,74.0,18.0,69.0,77.0,10.0,138.0,125.0,33.0,22.0,76.0,60.0,116.0,162.0,55.0,43.0,34.0,113.0,140.0,29.0,62.0
2847,9.0,4.0,14.0,21.0,18.0,3.0,17.0,22.0,57.0,26.0,144.0,31.0,89.0,140.0,10.0,62.0,6.0,146.0,11.0,66.0,86.0,72.0,131.0,68.0,58.0,38.0,12.0,143.0,163.0,32.0
2896,86.0,25.0,138.0,9.0,1.0,12.0,6.0,34.0,38.0,4.0,30.0,64.0,99.0,74.0,2.0,68.0,37.0,43.0,24.0,49.0,63.0,32.0,158.0,71.0,19.0,18.0,26.0,159.0,93.0,10.0
2945,6.0,16.0,13.0,23.0,74.0,139.0,101.0,58.0,4.0,131.0,42.0,62.0,27.0,60.0,26.0,99.0,10.0,35.0,11.0,36.0,52.0,92.0,25.0,29.0,76.0,65.0,53.0,34.0,69.0,8.0
2994,3.0,13.0,1.0,19.0,18.0,67.0,164.0,16.0,4.0,80.0,131.0,6.0,15.0,25.0,32.0,140.0,0.0,100.0,14.0,51.0,58.0,23.0,8.0,42.0,34.0,79.0,114.0,122.0,50.0,7.0
3043,25.0,1.0,19.0,40.0,65.0,88.0,54.0,17.0,107.0,23.0,36.0,78.0,80.0,48.0,73.0,6.0,51.0,9.0,160.0,7.0,22.0,35.0,64.0,39.0,38.0,58.0,5.0,10.0,128.0,16.0
3092,3.0,5.0,35.0,45.0,67.0,18.0,21.0,19.0,4.0,74.0,7.0,34.0,31.0,0.0,76.0,75.0,66.0,6.0,16.0,38.0,42.0,22.0,2.0,24.0,29.0,134.0,122.0,129.0,161.0,17.0
3141,61.0,10.0,1.0,8.0,25.0,20.0,33.0,13.0,130.0,78.0,9.0,79.0,2.0,42.0,23.0,28.0,91.0,6.0,7.0,44.0,19.0,66.0,92.0,24.0,0.0,156.0,16.0,119.0,122.0,72.0
3190,19.0,7.0,12.0,39.0,91.0,75.0,29.0,24.0,26.0,20.0,27.0,159.0,57.0,40.0,128.0,162.0,83.0,10.0,8.0,17.0,18.0,25.0,41.0,62.0,16.0,126.0,2.0,55.0,46.0,156.0
3239,33.0,7.0,12.0,42.0,73.0,4.0,2.0,39.0,16.0,124.0,5.0,50.0,34.0,64.0,22.0,129.0,164.0,6.0,21.0,11.0,45.0,77.0,19.0,56.0,65.0,23.0,63.0,31.0,93.0,113.0
3288,7.0,9.0,64.0,23.0,25.0,4.0,6.0,14.0,96.0,22.0,21.0,102.0,44.0,156.0,136.0,19.0,164.0,114.0,15.0,28.0,55.0,59.0,16.0,73.0,8.0,68.0,78.0,26.0,34.0,70.0
3337,105.0,40.0,3.0,7.0,39.0,8.0,42.0,26.0,48.0,0.0,10.0,14.0,32.0,17.0,84.0,27.0,33.0,47.0,57.0,38.0,50.0,41.0,46.0,45.0,60.0,19.0,9.0,134.0,36.0,63.0
3386,6.0,47.0,5.0,19.0,42.0,140.0,22.0,32.0,10.0,118.0,15.0,24.0,45.0,50.0,3.0,9.0,66.0,16.0,53.0,23.0,36.0,28.0,29.0,59.0,133.0,125.0,12.0,110.0,27.0,97.0
3435,8.0,14.0,11.0,24.0,94.0,21.0,164.0,61.0,42.0,117.0,52.0,48.0,23.0,63.0,126.0,6.0,34.0,25.0,89.0,32.0,51.0,81.0,13.0,70.0,1.0,58.0,62.0,4.0,57.0,43.0
3484,29.0,1.0,147.0,23.0,19.0,38.0,12.0,47.0,48.0,121.0,22.0,51.0,99.0,57.0,61.0,4.0,88.0,164.0,103.0,37.0,98.0,56.0,13.0,52.0,7.0,68.0,11.0,94.0,74.0,81.0
3533,3.0,5.0,142.0,18.0,69.0,0.0,21.0,28.0,7.0,122.0,55.0,45.0,40.0,41.0,158.0,99.0,48.0,26.0,49.0,34.0,39.0,29.0,6.0,19.0,139.0,33.0,17.0,146.0,37.0,93.0
3582,40.0,15.0,79.0,18.0,25.0,59.0,11.0,48.0,39.0,106.0,6.0,42.0,2.0,27.0,124.0,130.0,33.0,147.0,12.0,82.0,24.0,28.0,19.0,47.0,134.0,64.0,52.0,131.0,89.0,65.0
3631,21.0,1.0,2.0,23.0,20.0,17.0,10.0,52.0,74.0,27.0,8.0,14.0,37.0,86.0,56.0,121.0,101.0,147.0,75.0,34.0,66.0,39.0,9.0,38.0,0.0,51.0,13.0,126.0,79.0,60.0
3680,18.0,2.0,14.0,16.0,50.0,40.0,1.0,68.0,96.0,130.0,25.0,10.0,32.0,65.0,35.0,13.0,36.0,152.0,5.0,55.0,110.0,75.0,19.0,39.0,0.0,59.0,135.0,28.0,42.0,88.0
3729,11.0,21.0,80.0,19.0,29.0,24.0,25.0,66.0,26.0,127.0,28.0,5.0,103.0,41.0,3.0,2.0,27.0,153.0,12.0,71.0,54.0,38.0,139.0,59.0,9.0,111.0,34.0,141.0,63.0,13.0
3778,12.0,10.0,1.0,17.0,20.0,127.0,63.0,58.0,109.0,130.0,35.0,16.0,11.0,18.0,133.0,27.0,3.0,22.0,56.0,34.0,92.0,2.0,30.0,76.0,0.0,129.0,21.0,110.0,6.0,81.0
3827,34.0,0.0,17.0,18.0,19.0,132.0,16.0,64.0,4.0,120.0,40.0,35.0,38.0,37.0,134.0,23.0,2.0,147.0,22.0,15.0,52.0,47.0,127.0,57.0,21.0,43.0,14.0,144.0,8.0,25.0
3876,1.0,3.0,5.0,21.0,47.0,2.0,164.0,33.0,17.0,120.0,35.0,25.0,31.0,24.0,129.0,54.0,121.0,95.0,156.0,82.0,62.0,56.0,141.0,40.0,34.0,30.0,98.0,0.0,57.0,19.0
3925,8.0,2.0,10.0,23.0,52.0,7.0,16.0,41.0,60.0,13.0,133.0,32.0,107.0,42.0,59.0,75.0,48.0,1.0,70.0,62.0,47.0,65.0,147.0,36.0,45.0,164.0,26.0,55.0,77.0,135.0
3974,4.0,16.0,6.0,15.0,31.0,2.0,33.0,14.0,3.0,1.0,101.0,72.0,25.0,12.0,8.0,37.0,28.0,22.0,97.0,40.0,56.0,67.0,78.0,19.0,120.0,30.0,96.0,92.0,98.0,154.0
4023,74.0,88.0,64.0,32.0,45.0,18.0,107.0,5.0,12.0,9.0,34.0,25.0,79.0,8.0,27.0,60.0,164.0,0.0,39.0,41.0,17.0,50.0,54.0,35.0,159.0,14.0,53.0,101.0,130.0,128.0
4072,7.0,48.0,11.0,28.0,50.0,77.0,9.0,35.0,12.0,0.0,137.0,81.0,84.0,2.0,25.0,15.0,164.0,98.0,40.0,54.0,42.0,1.0,157.0,23.0,49.0,124.0,59.0,22.0,72.0,62.0
4121,1.0,15.0,11.0,22.0,28.0,5.0,101.0,17.0,6.0,27.0,120.0,64.0,56.0,16.0,30.0,68.0,21.0,24.0,4.0,70.0,25.0,52.0,152.0,26.0,151.0,37.0,66.0,51.0,132.0,88.0
4170,2.0,10.0,20.0,24.0,69.0,25.0,65.0,45.0,33.0,15.0,9.0,49.0,43.0,26.0,55.0,58.0,125.0,8.0,159.0,62.0,11.0,16.0,128.0,32.0,1.0,66.0,85.0,141.0,61.0,140.0
4219,44.0,7.0,51.0,19.0,25.0,41.0,2.0,9.0,12.0,52.0,27.0,56.0,68.0,14.0,46.0,3.0,65.0,33.0,146.0,60.0,11.0,69.0,134.0,47.0,0.0,8.0,36.0,75.0,99.0,162.0
4268,1.0,10.0,157.0,29.0,16.0,129.0,15.0,51.0,2.0,8.0,25.0,19.0,13.0,69.0,28.0,59.0,127.0,149.0,161.0,33.0,20.0,61.0,55.0,23.0,3.0,11.0,60.0,17.0,139.0,138.0
4317,1.0,38.0,6.0,29.0,36.0,4.0,164.0,51.0,16.0,68.0,160.0,3.0,62.0,42.0,18.0,2.0,74.0,28.0,21.0,81.0,49.0,14.0,64.0,67.0,13.0,34.0,155.0,53.0,83.0,108.0
4366,9.0,6.0,10.0,27.0,30.0,7.0,91.0,31.0,81.0,62.0,69.0,21.0,14.0,40.0,37.0,11.0,23.0,51.0,66.0,77.0,38.0,32.0,156.0,19.0,0.0,29.0,57.0,20.0,58.0,55.0
4415,0.0,46.0,34.0,16.0,13.0,56.0,7.0,4.0,28.0,10.0,20.0,38.0,42.0,35.0,2.0,150.0,59.0,12.0,24.0,49.0,72.0,67.0,39.0,47.0,127.0,119.0,159.0,1.0,115.0,52.0
4464,1.0,95.0,148.0,21.0,61.0,158.0,38.0,18.0,6.0,36.0,40.0,13.0,70.0,10.0,54.0,8.0,39.0,16.0,3.0,57.0,37.0,83.0,56.0,42.0,20.0,79.0,32.0,0.0,26.0,74.0
4513,2.0,12.0,136.0,23.0,4.0,68.0,41.0,7.0,19.0,47.0,5.0,24.0,25.0,17.0,30.0,8.0,59.0,158.0,43.0,55.0,74.0,57.0,22.0,29.0,26.0,163.0,76.0,1.0,20.0,63.0
4562,1.0,15.0,74.0,29.0,28.0,20.0,45.0,19.0,30.0,23.0,8.0,34.0,66.0,12.0,81.0,3.0,2.0,149.0,18.0,71.0,55.0,91.0,60.0,39.0,136.0,65.0,72.0,42.0,35.0,109.0
4611,5.0,12.0,48.0,18.0,17.0,145.0,20.0,6.0,25.0,30.0,3.0,40.0,51.0,14.0,26.0,2.0,71.0,163.0,100.0,50.0,64.0,21.0,7.0,76.0,112.0,45.0,8.0,1.0,11.0,53.0
4660,19.0,15.0,157.0,36.0,4.0,44.0,10.0,38.0,78.0,121.0,3.0,24.0,42.0,14.0,9.0,11.0,34.0,76.0,46.0,58.0,103.0,65.0,18.0,62.0,132.0,54.0,2.0,60.0,31.0,35.0
4709,5.0,101.0,152.0,8.0,13.0,144.0,19.0,9.0,3.0,131.0,159.0,30.0,17.0,16.0,56.0,20.0,18.0,59.0,40.0,104.0,55.0,29.0,124.0,57.0,127.0,54.0,156.0,6.0,111.0,112.0
4758,1.0,10.0,50.0,25.0,14.0,16.0,27.0,21.0,20.0,118.0,129.0,67.0,74.0,4.0,26.0,31.0,46.0,153.0,35.0,36.0,45.0,68.0,123.0,53.0,19.0,56.0,93.0,3.0,15.0,159.0
4807,1.0,21.0,152.0,34.0,36.0,131.0,10.0,77.0,52.0,5.0,4.0,20.0,43.0,17.0,133.0,7.0,64.0,107.0,163.0,50.0,63.0,32.0,9.0,54.0,138.0,27.0,117.0,0.0,111.0,118.0
4856,0.0,15.0,67.0,22.0,46.0,66.0,49.0,31.0,29.0,19.0,16.0,20.0,71.0,62.0,41.0,1.0,58.0,145.0,23.0,72.0,60.0,45.0,12.0,55.0,50.0,84.0,156.0,5.0,136.0,81.0
