,hsa-miR-218,hsa-miR-579,hsa-miR-342-3p,hsa-let-7e,hsa-miR-1283,hsa-miR-328,hsa-miR-137,hsa-miR-30a,hsa-miR-9,hsa-miR-371-3p,hsa-miR-551a,hsa-miR-363,ebv-miR-BART18-5p,hsa-miR-324-3p,hsa-miR-30c,hsa-miR-1287,hsa-miR-499-3p,hsa-miR-548m,hsa-miR-99a,hsa-miR-1266,hsa-miR-582-5p,ebv-miR-BART16,hsa-miR-521,hsa-miR-211,hsa-miR-764,hsa-miR-1281,hsa-miR-516a-5p,hsv1-miR-H8,hsa-miR-10b,hsa-miR-210
508,0.0,4.0,1.0,2.0,85.0,13.0,3.0,23.0,178.0,17.0,135.0,343.0,8.0,15.0,27.0,49.0,126.0,12.0,99.0,16.0,50.0,65.0,43.0,96.0,225.0,156.0,182.0,168.0,32.0,46.0
557,0.0,1.0,3.0,78.0,6.0,132.0,16.0,4.0,280.0,31.0,11.0,2.0,9.0,235.0,28.0,37.0,73.0,38.0,313.0,39.0,34.0,68.0,142.0,43.0,53.0,45.0,81.0,165.0,296.0,41.0
606,0.0,4.0,1.0,15.0,69.0,8.0,5.0,6.0,29.0,237.0,12.0,3.0,21.0,39.0,73.0,121.0,56.0,30.0,2.0,113.0,40.0,33.0,164.0,240.0,45.0,51.0,144.0,91.0,95.0,99.0
655,0.0,3.0,6.0,371.0,16.0,7.0,2.0,20.0,8.0,1.0,11.0,31.0,135.0,374.0,15.0,25.0,35.0,9.0,44.0,5.0,52.0,19.0,57.0,411.0,121.0,22.0,215.0,169.0,146.0,551.0
704,0.0,31.0,1.0,5.0,80.0,2.0,3.0,6.0,51.0,10.0,16.0,17.0,8.0,185.0,12.0,9.0,39.0,425.0,428.0,25.0,14.0,47.0,441.0,59.0,13.0,106.0,218.0,53.0,439.0,32.0
753,0.0,1.0,3.0,90.0,172.0,4.0,6.0,52.0,45.0,2.0,29.0,25.0,65.0,150.0,8.0,17.0,7.0,12.0,26.0,51.0,13.0,14.0,338.0,164.0,20.0,49.0,64.0,11.0,321.0,167.0
802,0.0,1.0,34.0,5.0,7.0,21.0,65.0,56.0,46.0,40.0,15.0,172.0,2.0,227.0,14.0,106.0,27.0,12.0,3.0,17.0,171.0,103.0,38.0,28.0,20.0,22.0,317.0,58.0,42.0,542.0
851,0.0,3.0,68.0,5.0,7.0,2.0,1.0,18.0,80.0,58.0,14.0,401.0,15.0,51.0,153.0,134.0,16.0,11.0,96.0,8.0,197.0,154.0,126.0,24.0,128.0,36.0,313.0,20.0,44.0,57.0
900,0.0,1.0,4.0,104.0,216.0,103.0,7.0,59.0,70.0,11.0,28.0,6.0,148.0,146.0,289.0,20.0,2.0,3.0,60.0,8.0,9.0,41.0,575.0,58.0,479.0,162.0,101.0,320.0,74.0,54.0
949,0.0,40.0,1.0,9.0,20.0,21.0,4.0,2.0,84.0,15.0,51.0,360.0,26.0,34.0,22.0,32.0,13.0,155.0,14.0,48.0,81.0,261.0,504.0,111.0,17.0,49.0,44.0,103.0,39.0,116.0
