, IL-1, JAK-STAT, MAPK_PI3K, TLR, PI3K_only, H2O2, TGFB, MAPK_only, Wnt, TNFa, VEGF
4108,0.0,3.0,5.0,6.0,10.0,1.0,2.0,4.0,9.0,7.0,8.0
4157,5.0,0.0,2.0,3.0,10.0,6.0,4.0,1.0,8.0,9.0,7.0
4206,1.0,0.0,7.0,2.0,10.0,9.0,3.0,6.0,8.0,4.0,5.0
4255,0.0,3.0,6.0,2.0,1.0,8.0,5.0,4.0,10.0,7.0,9.0
4304,1.0,6.0,4.0,0.0,5.0,9.0,2.0,10.0,3.0,7.0,8.0
4353,0.0,2.0,1.0,3.0,9.0,6.0,4.0,7.0,5.0,8.0,10.0
4402,0.0,3.0,6.0,4.0,8.0,5.0,7.0,10.0,2.0,1.0,9.0
4451,1.0,3.0,2.0,0.0,4.0,8.0,5.0,7.0,9.0,10.0,6.0
4500,0.0,3.0,1.0,2.0,7.0,6.0,5.0,4.0,10.0,8.0,9.0
4549,0.0,4.0,8.0,5.0,3.0,1.0,6.0,2.0,7.0,9.0,10.0
4598,2.0,5.0,0.0,6.0,1.0,4.0,7.0,3.0,8.0,9.0,10.0
4647,0.0,8.0,5.0,6.0,1.0,7.0,2.0,4.0,10.0,9.0,3.0
4696,0.0,2.0,5.0,6.0,7.0,3.0,1.0,4.0,10.0,8.0,9.0
4745,1.0,7.0,3.0,4.0,0.0,6.0,5.0,8.0,9.0,10.0,2.0
4794,2.0,7.0,3.0,0.0,1.0,6.0,4.0,5.0,9.0,10.0,8.0
4843,0.0,4.0,1.0,2.0,3.0,7.0,6.0,10.0,9.0,8.0,5.0
4892,0.0,6.0,2.0,1.0,4.0,9.0,5.0,7.0,10.0,8.0,3.0
