,LOC100132111_AMP,ZAN_DEL,IGFBP1_AMP,SNX29_DEL,FAM86DP_DEL,OR2T27_DEL,LOC439994_DEL,DIAPH2_DEL,MIR4257_AMP,ERBB4_DEL,FGF1_AMP,RGPD4_AMP,DDTL_DEL,DDX11L10_AMP,RABGAP1L_DEL,TAG_DEL,ATG7_DEL,ODF3B_DEL,ZNF490_DEL,MGAM_DEL,FAM153A_DEL,FRMPD2P1_AMP,RBFOX1_DEL,HEATR4_DEL,OR51A2_DEL,JAK2_DEL,GSTM1_DEL,ZDHHC11_DEL,CCDC144B_DEL,HERC2P2_AMP
670,14.0,0.0,15054.0,57.0,21.0,28.0,116.0,5379.0,83.0,132.0,40.0,133.0,51.0,34.0,74.0,153.0,141.0,5.0,50.0,188.0,108.0,137.0,9450.0,126.0,86.0,2507.0,80.0,106.0,43.0,112.0
719,15436.0,7256.0,15057.0,54.0,22.0,14.0,23.0,71.0,15773.0,6019.0,199.0,214.0,25.0,15139.0,47.0,133.0,81.0,41.0,37.0,171.0,74.0,107.0,118.0,193.0,87.0,119.0,124.0,6138.0,160.0,100.0
768,15438.0,14.0,15058.0,37.0,7219.0,101.0,3.0,44.0,19.0,138.0,90.0,94.0,51.0,15166.0,110.0,61.0,92.0,82.0,103.0,8874.0,50.0,97.0,88.0,118.0,139.0,137.0,116.0,17.0,84.0,150.0
817,15445.0,7292.0,15073.0,7700.0,29.0,73.0,2209.0,46.0,68.0,44.0,121.0,206.0,19.0,15172.0,8163.0,113.0,69.0,2283.0,66.0,166.0,420.0,138.0,101.0,183.0,83.0,135.0,137.0,6151.0,172.0,100.0
866,15435.0,33.0,15056.0,27.0,20.0,37.0,15.0,43.0,15750.0,3.0,54.0,142.0,60.0,15140.0,51.0,62.0,74.0,39.0,64.0,148.0,409.0,112.0,69.0,102.0,139.0,118.0,122.0,6135.0,82.0,40.0
915,12.0,64.0,15055.0,7688.0,44.0,2.0,29.0,5378.0,60.0,35.0,174.0,78.0,54.0,15136.0,8152.0,103.0,20033.0,2261.0,61.0,147.0,165.0,146.0,9449.0,107.0,150.0,57.0,105.0,127.0,89.0,188.0
964,8.0,7256.0,15063.0,29.0,44.0,13.0,17.0,60.0,15737.0,6025.0,165.0,183.0,18681.0,49.0,84.0,164.0,110.0,36.0,53.0,148.0,403.0,59.0,154.0,120.0,138.0,184.0,128.0,114.0,98.0,177.0
1013,15424.0,7250.0,29.0,23.0,34.0,45.0,28.0,54.0,0.0,167.0,117.0,90.0,71.0,15127.0,8147.0,94.0,105.0,41.0,11540.0,8846.0,77.0,22762.0,9453.0,188.0,102.0,128.0,95.0,46.0,79.0,69.0
1062,15438.0,65.0,7.0,66.0,57.0,1919.0,16.0,5443.0,41.0,27.0,48.0,107.0,18684.0,49.0,137.0,97.0,149.0,102.0,105.0,83.0,142.0,134.0,161.0,45.0,162.0,133.0,148.0,5.0,160.0,79.0
1111,15436.0,7249.0,23.0,62.0,93.0,51.0,2264.0,5404.0,6.0,63.0,25.0,166.0,140.0,9.0,156.0,172.0,41.0,57.0,78.0,21.0,8.0,139.0,167.0,75.0,133.0,128.0,173.0,26.0,120.0,98.0
1160,15438.0,7257.0,50.0,47.0,7223.0,41.0,2198.0,66.0,15776.0,86.0,17.0,79.0,20.0,13.0,8155.0,145.0,158.0,2272.0,67.0,81.0,433.0,146.0,125.0,142.0,123.0,198.0,149.0,131.0,45.0,195.0
1209,15427.0,51.0,27.0,52.0,63.0,7.0,39.0,5378.0,0.0,102.0,46.0,87.0,120.0,33.0,117.0,129.0,103.0,11.0,67.0,20.0,90.0,69.0,9447.0,53.0,153.0,146.0,134.0,6204.0,130.0,56.0
1258,15432.0,7256.0,17.0,8.0,32.0,47.0,21.0,5378.0,3.0,97.0,148.0,110.0,30.0,15.0,8155.0,69.0,67.0,2289.0,99.0,23.0,128.0,171.0,9451.0,81.0,180.0,125.0,130.0,161.0,112.0,138.0
1307,15437.0,69.0,40.0,32.0,81.0,1902.0,2250.0,5408.0,14.0,109.0,13456.0,86.0,125.0,131.0,8155.0,95.0,124.0,84.0,11541.0,105.0,54.0,149.0,66.0,160.0,133.0,97.0,150.0,6144.0,139.0,172.0
1356,15434.0,1.0,35.0,34.0,112.0,54.0,16.0,23.0,0.0,124.0,127.0,130.0,26.0,3.0,8156.0,70.0,120.0,75.0,62.0,7.0,44.0,146.0,9448.0,111.0,1970.0,108.0,145.0,25.0,166.0,147.0
1405,15436.0,7261.0,30.0,28.0,11.0,29.0,20.0,63.0,66.0,167.0,148.0,94.0,88.0,40.0,154.0,79.0,133.0,53.0,11551.0,78.0,90.0,22748.0,124.0,118.0,144.0,171.0,155.0,156.0,1337.0,195.0
1454,15435.0,7254.0,15054.0,20.0,38.0,24.0,56.0,5410.0,15773.0,6023.0,144.0,64.0,18683.0,65.0,43.0,142.0,47.0,154.0,155.0,8877.0,42.0,135.0,9450.0,58.0,145.0,126.0,131.0,80.0,173.0,123.0
1503,11.0,17.0,15056.0,57.0,40.0,1903.0,2197.0,24.0,80.0,14.0,41.0,68.0,15.0,39.0,147.0,157.0,20031.0,118.0,46.0,36.0,121.0,141.0,38.0,149.0,136.0,145.0,142.0,99.0,153.0,120.0
1552,4.0,7248.0,36.0,49.0,50.0,62.0,0.0,54.0,63.0,34.0,81.0,72.0,18672.0,15137.0,80.0,175.0,53.0,118.0,38.0,132.0,39.0,95.0,89.0,84.0,153.0,160.0,122.0,35.0,23.0,154.0
1601,44.0,7.0,15.0,107.0,45.0,1914.0,2205.0,92.0,47.0,6032.0,35.0,69.0,89.0,15169.0,83.0,158.0,30.0,112.0,22.0,11.0,124.0,133.0,105.0,146.0,148.0,183.0,76.0,97.0,147.0,159.0
1650,1.0,15.0,31.0,78.0,49.0,61.0,28.0,32.0,3.0,5.0,37.0,65.0,81.0,15167.0,126.0,106.0,20039.0,102.0,161.0,18.0,427.0,60.0,179.0,79.0,167.0,177.0,74.0,103.0,92.0,96.0
1699,6.0,31.0,15059.0,95.0,7218.0,41.0,127.0,24.0,76.0,13.0,57.0,63.0,56.0,59.0,90.0,146.0,20032.0,36.0,80.0,85.0,102.0,132.0,118.0,218.0,152.0,22.0,177.0,157.0,219.0,96.0
1748,5.0,13.0,27.0,29.0,14.0,36.0,2200.0,20.0,11.0,28.0,58.0,47.0,41.0,83.0,64.0,163.0,20047.0,2274.0,11533.0,110.0,119.0,130.0,177.0,101.0,154.0,105.0,118.0,109.0,131.0,115.0
1797,6.0,7252.0,15056.0,67.0,82.0,61.0,2193.0,25.0,10.0,6060.0,56.0,53.0,122.0,15136.0,68.0,119.0,20032.0,77.0,11534.0,8853.0,99.0,54.0,112.0,150.0,93.0,168.0,120.0,101.0,104.0,146.0
1846,4.0,39.0,6.0,80.0,28.0,13.0,2191.0,29.0,15769.0,7.0,51.0,53.0,43.0,15135.0,112.0,147.0,20034.0,67.0,93.0,8873.0,88.0,114.0,132.0,188.0,172.0,164.0,65.0,6202.0,105.0,104.0
1895,0.0,46.0,85.0,45.0,31.0,105.0,2199.0,43.0,32.0,6026.0,81.0,64.0,102.0,15145.0,47.0,137.0,101.0,51.0,11539.0,8858.0,109.0,80.0,68.0,2863.0,92.0,55.0,78.0,157.0,29.0,161.0
1944,15442.0,4.0,42.0,13.0,67.0,69.0,2206.0,39.0,15737.0,6025.0,43.0,111.0,18681.0,15193.0,34.0,131.0,135.0,2279.0,11552.0,121.0,471.0,82.0,89.0,167.0,124.0,202.0,77.0,146.0,189.0,97.0
1993,15441.0,7.0,80.0,33.0,36.0,1899.0,1.0,22.0,29.0,10.0,54.0,116.0,71.0,9.0,107.0,115.0,111.0,75.0,56.0,8859.0,392.0,89.0,104.0,167.0,161.0,2513.0,63.0,6140.0,139.0,121.0
2042,15430.0,5.0,36.0,41.0,31.0,1895.0,2328.0,13.0,1.0,76.0,57.0,49.0,18678.0,15134.0,85.0,103.0,44.0,56.0,11533.0,190.0,69.0,67.0,113.0,157.0,132.0,2509.0,105.0,6271.0,147.0,135.0
2091,10.0,32.0,35.0,37.0,7.0,1909.0,19.0,20.0,39.0,143.0,176.0,53.0,18685.0,105.0,8158.0,174.0,68.0,2276.0,86.0,8859.0,72.0,92.0,118.0,126.0,130.0,2455.0,111.0,6144.0,90.0,114.0
2140,2.0,11.0,78.0,43.0,18.0,42.0,2202.0,27.0,31.0,36.0,95.0,109.0,18666.0,101.0,114.0,105.0,59.0,17.0,96.0,125.0,185.0,152.0,119.0,117.0,83.0,153.0,86.0,6199.0,72.0,91.0
2189,14.0,24.0,12.0,17.0,0.0,1905.0,2198.0,27.0,15757.0,50.0,63.0,69.0,60.0,107.0,52.0,73.0,66.0,2272.0,11554.0,89.0,117.0,79.0,9458.0,136.0,111.0,96.0,85.0,6207.0,130.0,138.0
2238,14.0,7250.0,62.0,19.0,11.0,1899.0,3.0,23.0,15754.0,78.0,10.0,65.0,96.0,15166.0,194.0,54.0,57.0,2266.0,11551.0,69.0,97.0,95.0,9451.0,53.0,133.0,2512.0,119.0,41.0,89.0,81.0
2287,0.0,23.0,15059.0,44.0,21.0,1903.0,2195.0,27.0,15775.0,35.0,69.0,129.0,18685.0,103.0,141.0,134.0,76.0,104.0,11552.0,8856.0,80.0,128.0,190.0,152.0,133.0,2451.0,146.0,98.0,144.0,100.0
2336,5.0,21.0,49.0,106.0,7234.0,1909.0,2205.0,16.0,55.0,6039.0,159.0,76.0,62.0,54.0,122.0,97.0,43.0,13.0,11545.0,83.0,111.0,157.0,152.0,200.0,77.0,2523.0,115.0,6204.0,94.0,163.0
2385,10.0,35.0,15.0,44.0,7220.0,45.0,0.0,5385.0,36.0,124.0,89.0,72.0,18680.0,37.0,191.0,73.0,86.0,2269.0,11538.0,8857.0,63.0,129.0,128.0,165.0,131.0,2513.0,54.0,143.0,81.0,122.0
2434,0.0,12.0,21.0,15.0,8.0,1903.0,2196.0,22.0,120.0,81.0,96.0,65.0,5.0,52.0,179.0,105.0,86.0,2269.0,109.0,8872.0,174.0,139.0,104.0,160.0,135.0,2450.0,67.0,77.0,71.0,87.0
2483,6.0,7256.0,1.0,48.0,59.0,58.0,2253.0,47.0,17.0,18.0,84.0,40.0,134.0,94.0,8158.0,78.0,21.0,2270.0,74.0,95.0,175.0,92.0,118.0,42.0,156.0,138.0,127.0,6209.0,30.0,133.0
2532,15427.0,101.0,30.0,70.0,90.0,1707.0,6.0,5390.0,92.0,141.0,106.0,72.0,19.0,96.0,8151.0,136.0,20031.0,88.0,75.0,99.0,109.0,130.0,67.0,9.0,31.0,68.0,89.0,37.0,98.0,95.0
2581,0.0,7262.0,28.0,26.0,48.0,1915.0,2279.0,20.0,72.0,34.0,45.0,131.0,18682.0,81.0,38.0,155.0,88.0,2281.0,11543.0,64.0,123.0,184.0,203.0,76.0,96.0,89.0,171.0,121.0,139.0,126.0
2630,15.0,23.0,43.0,49.0,7225.0,1910.0,2202.0,46.0,44.0,20.0,37.0,47.0,18679.0,24.0,153.0,171.0,81.0,66.0,101.0,93.0,92.0,122.0,139.0,95.0,126.0,102.0,163.0,107.0,60.0,158.0
2679,45.0,7.0,15060.0,14.0,7221.0,5.0,69.0,5396.0,15770.0,58.0,25.0,90.0,24.0,20.0,8155.0,110.0,20034.0,38.0,116.0,46.0,122.0,65.0,134.0,162.0,140.0,146.0,103.0,6194.0,166.0,155.0
2728,26.0,5.0,15.0,24.0,7226.0,1903.0,2198.0,5385.0,45.0,6046.0,91.0,61.0,18685.0,22.0,190.0,150.0,20048.0,90.0,32.0,63.0,317.0,106.0,108.0,94.0,88.0,95.0,132.0,16.0,145.0,149.0
2777,3.0,10.0,31.0,64.0,52.0,1900.0,83.0,14.0,15775.0,119.0,37.0,112.0,105.0,16.0,121.0,82.0,122.0,26.0,11538.0,41.0,455.0,74.0,173.0,76.0,68.0,115.0,84.0,48.0,139.0,177.0
2826,9.0,21.0,13.0,24.0,2.0,1905.0,50.0,52.0,36.0,136.0,62.0,12623.0,18680.0,51.0,43.0,94.0,20037.0,2273.0,11541.0,63.0,67.0,86.0,167.0,102.0,112.0,104.0,137.0,6138.0,138.0,163.0
2875,11.0,7250.0,18.0,7687.0,7219.0,46.0,2200.0,60.0,2.0,37.0,49.0,169.0,18684.0,107.0,129.0,117.0,20048.0,2273.0,63.0,94.0,68.0,133.0,118.0,54.0,1969.0,157.0,151.0,16.0,100.0,83.0
2924,0.0,39.0,23.0,86.0,7230.0,2.0,2208.0,115.0,49.0,19.0,59.0,189.0,63.0,38.0,8163.0,84.0,67.0,2281.0,103.0,45.0,99.0,91.0,116.0,131.0,89.0,141.0,191.0,35.0,143.0,79.0
2973,1.0,3.0,27.0,7695.0,89.0,108.0,17.0,31.0,43.0,111.0,13461.0,30.0,99.0,15145.0,32.0,76.0,20043.0,57.0,51.0,8881.0,181.0,185.0,186.0,2863.0,156.0,155.0,97.0,6210.0,179.0,134.0
3022,12.0,7260.0,50.0,17.0,20.0,45.0,1.0,60.0,27.0,51.0,71.0,69.0,119.0,15168.0,24.0,175.0,63.0,101.0,11546.0,8858.0,112.0,116.0,124.0,2922.0,57.0,129.0,137.0,6142.0,1329.0,118.0
3071,29.0,26.0,43.0,7692.0,42.0,1905.0,6.0,68.0,32.0,6063.0,123.0,61.0,62.0,15168.0,53.0,99.0,79.0,52.0,113.0,182.0,343.0,169.0,86.0,151.0,93.0,71.0,83.0,6140.0,132.0,136.0
3120,39.0,1.0,151.0,7698.0,80.0,46.0,21.0,67.0,0.0,119.0,78.0,79.0,84.0,15199.0,6.0,165.0,32.0,43.0,41.0,75.0,136.0,122.0,189.0,120.0,86.0,214.0,141.0,6148.0,205.0,105.0
3169,19.0,32.0,45.0,50.0,4.0,28.0,0.0,115.0,87.0,145.0,36.0,75.0,18682.0,15138.0,118.0,172.0,65.0,61.0,59.0,8877.0,64.0,106.0,9458.0,152.0,100.0,3.0,96.0,6140.0,112.0,73.0
3218,15436.0,7254.0,42.0,13.0,17.0,39.0,51.0,109.0,28.0,22.0,72.0,69.0,99.0,15141.0,103.0,174.0,123.0,2273.0,96.0,61.0,154.0,148.0,185.0,87.0,146.0,190.0,126.0,6277.0,164.0,176.0
3267,9.0,21.0,71.0,7695.0,23.0,130.0,15.0,55.0,15739.0,65.0,91.0,164.0,18645.0,15197.0,49.0,75.0,119.0,120.0,11553.0,102.0,199.0,89.0,131.0,154.0,109.0,193.0,180.0,6144.0,176.0,172.0
3316,16.0,7254.0,27.0,25.0,39.0,1899.0,2.0,64.0,36.0,6023.0,102.0,199.0,18682.0,15137.0,24.0,158.0,20041.0,126.0,143.0,8878.0,72.0,68.0,111.0,131.0,136.0,87.0,179.0,6137.0,168.0,177.0
3365,15435.0,7256.0,15063.0,14.0,91.0,39.0,0.0,27.0,15777.0,144.0,98.0,104.0,18683.0,15140.0,44.0,178.0,64.0,18.0,11541.0,182.0,323.0,70.0,9455.0,158.0,115.0,97.0,107.0,6208.0,163.0,122.0
3414,27.0,7259.0,97.0,44.0,62.0,1901.0,16.0,81.0,35.0,9.0,32.0,89.0,87.0,84.0,8160.0,162.0,141.0,50.0,47.0,8881.0,142.0,76.0,108.0,103.0,149.0,2513.0,128.0,6142.0,195.0,198.0
3463,12.0,74.0,15061.0,95.0,7226.0,26.0,2.0,66.0,15757.0,44.0,94.0,134.0,90.0,15171.0,78.0,56.0,20046.0,2269.0,11557.0,77.0,176.0,22768.0,117.0,151.0,81.0,188.0,146.0,6196.0,178.0,157.0
3512,12.0,16.0,15055.0,49.0,64.0,21.0,3.0,78.0,15755.0,56.0,67.0,83.0,18685.0,25.0,186.0,79.0,45.0,2266.0,114.0,140.0,108.0,86.0,70.0,134.0,150.0,207.0,157.0,6189.0,164.0,94.0
3561,0.0,12.0,15054.0,32.0,59.0,49.0,2.0,70.0,31.0,130.0,149.0,12630.0,18677.0,15137.0,52.0,53.0,20047.0,2272.0,11540.0,118.0,196.0,128.0,105.0,28.0,150.0,142.0,104.0,6200.0,71.0,96.0
3610,1.0,46.0,71.0,80.0,97.0,1905.0,6.0,5381.0,15754.0,79.0,90.0,151.0,82.0,39.0,81.0,120.0,148.0,2273.0,78.0,116.0,192.0,154.0,44.0,109.0,101.0,115.0,69.0,6207.0,166.0,126.0
3659,11.0,10.0,15059.0,75.0,7224.0,1902.0,53.0,5436.0,15778.0,50.0,79.0,180.0,49.0,43.0,202.0,101.0,103.0,2270.0,11543.0,8879.0,90.0,141.0,123.0,168.0,156.0,96.0,102.0,6139.0,172.0,125.0
3708,2.0,20.0,15068.0,7697.0,68.0,82.0,2203.0,129.0,92.0,109.0,49.0,155.0,120.0,77.0,137.0,96.0,16.0,2277.0,64.0,8864.0,93.0,85.0,52.0,131.0,74.0,154.0,188.0,114.0,206.0,168.0
3757,5.0,7252.0,39.0,35.0,7219.0,75.0,19.0,82.0,15774.0,94.0,71.0,181.0,18682.0,61.0,107.0,78.0,20041.0,64.0,11540.0,8875.0,334.0,142.0,149.0,106.0,90.0,178.0,80.0,81.0,148.0,108.0
3806,7.0,25.0,4.0,7687.0,7219.0,59.0,2198.0,86.0,115.0,32.0,30.0,172.0,54.0,150.0,76.0,80.0,12.0,2271.0,11551.0,154.0,379.0,96.0,100.0,123.0,199.0,106.0,83.0,6190.0,126.0,89.0
3855,21.0,49.0,15057.0,7687.0,73.0,1901.0,2195.0,58.0,93.0,27.0,92.0,113.0,18686.0,26.0,129.0,87.0,94.0,2269.0,11541.0,42.0,398.0,146.0,77.0,98.0,1966.0,119.0,151.0,6192.0,148.0,147.0
3904,7.0,6.0,15061.0,5.0,71.0,10.0,17.0,122.0,130.0,4.0,49.0,172.0,18683.0,15140.0,52.0,114.0,32.0,2290.0,137.0,73.0,124.0,95.0,9449.0,142.0,168.0,112.0,147.0,6211.0,82.0,106.0
3953,0.0,34.0,15.0,38.0,33.0,1900.0,2265.0,19.0,15771.0,14.0,31.0,141.0,102.0,112.0,132.0,51.0,23.0,111.0,47.0,71.0,68.0,45.0,121.0,78.0,142.0,113.0,143.0,77.0,95.0,126.0
4002,5.0,7260.0,15.0,29.0,45.0,32.0,34.0,75.0,15755.0,20.0,37.0,144.0,105.0,15169.0,85.0,109.0,20042.0,69.0,11547.0,91.0,444.0,121.0,9462.0,51.0,188.0,76.0,79.0,6143.0,77.0,111.0
4051,11.0,16.0,15062.0,7691.0,7226.0,1902.0,0.0,151.0,15753.0,40.0,56.0,154.0,18681.0,45.0,54.0,135.0,20038.0,147.0,11543.0,171.0,390.0,120.0,9457.0,102.0,111.0,108.0,156.0,6143.0,110.0,131.0
4100,4.0,47.0,3.0,11.0,134.0,5.0,56.0,81.0,28.0,13.0,40.0,199.0,153.0,12.0,83.0,92.0,20035.0,121.0,11538.0,8855.0,66.0,90.0,146.0,54.0,105.0,82.0,102.0,2.0,65.0,125.0
4149,0.0,73.0,17.0,47.0,24.0,41.0,2264.0,52.0,15773.0,16.0,39.0,12612.0,45.0,15138.0,48.0,146.0,95.0,2266.0,11533.0,8872.0,76.0,97.0,154.0,131.0,1965.0,124.0,144.0,46.0,137.0,93.0
4198,2.0,53.0,11.0,29.0,28.0,44.0,2196.0,114.0,15770.0,5.0,40.0,198.0,14.0,23.0,49.0,154.0,20037.0,2270.0,93.0,71.0,126.0,81.0,118.0,119.0,92.0,127.0,133.0,51.0,186.0,160.0
4247,1.0,7253.0,22.0,59.0,7221.0,13.0,2259.0,31.0,15752.0,11.0,23.0,61.0,14.0,15166.0,8155.0,122.0,20048.0,2277.0,11536.0,105.0,45.0,127.0,9452.0,186.0,80.0,91.0,166.0,10.0,196.0,204.0
4296,0.0,7253.0,21.0,27.0,7219.0,26.0,2196.0,68.0,44.0,45.0,39.0,187.0,41.0,24.0,55.0,81.0,20038.0,2269.0,11536.0,8876.0,77.0,72.0,164.0,116.0,155.0,104.0,132.0,6136.0,98.0,107.0
4345,15439.0,16.0,26.0,36.0,6.0,34.0,2257.0,5408.0,0.0,42.0,29.0,211.0,38.0,15143.0,81.0,103.0,20039.0,97.0,23.0,179.0,48.0,117.0,164.0,92.0,135.0,95.0,183.0,40.0,115.0,145.0
4394,1.0,18.0,12.0,16.0,19.0,36.0,2197.0,21.0,71.0,11.0,32.0,117.0,111.0,15135.0,90.0,127.0,20037.0,65.0,134.0,87.0,74.0,163.0,157.0,107.0,149.0,78.0,106.0,84.0,96.0,167.0
4443,15445.0,113.0,15.0,32.0,7222.0,21.0,2194.0,5408.0,3.0,130.0,119.0,37.0,18681.0,15139.0,117.0,107.0,59.0,70.0,11548.0,66.0,183.0,173.0,51.0,96.0,101.0,58.0,141.0,92.0,79.0,136.0
4492,0.0,7254.0,41.0,32.0,44.0,1904.0,2251.0,5431.0,67.0,96.0,174.0,102.0,18683.0,15143.0,8156.0,115.0,87.0,40.0,116.0,8857.0,419.0,123.0,151.0,166.0,107.0,77.0,147.0,112.0,149.0,180.0
4541,15441.0,17.0,15072.0,73.0,43.0,1905.0,0.0,5383.0,15733.0,200.0,180.0,80.0,137.0,112.0,108.0,168.0,34.0,104.0,55.0,83.0,116.0,155.0,76.0,92.0,107.0,79.0,148.0,6142.0,159.0,191.0
4590,15439.0,7259.0,15060.0,72.0,61.0,1898.0,2194.0,5442.0,15753.0,60.0,88.0,49.0,59.0,15167.0,83.0,75.0,8.0,2267.0,122.0,188.0,42.0,150.0,126.0,186.0,86.0,35.0,157.0,69.0,118.0,145.0
4639,8.0,7262.0,26.0,43.0,68.0,1906.0,2200.0,5437.0,14.0,47.0,51.0,124.0,17.0,15147.0,8160.0,172.0,121.0,2274.0,40.0,90.0,198.0,115.0,131.0,155.0,102.0,42.0,193.0,52.0,119.0,186.0
4688,121.0,118.0,15053.0,4.0,7212.0,1900.0,6.0,5376.0,15753.0,149.0,133.0,130.0,18673.0,104.0,17.0,60.0,169.0,79.0,33.0,117.0,322.0,188.0,164.0,144.0,110.0,2510.0,178.0,124.0,134.0,136.0
4737,25.0,22.0,15060.0,7685.0,3.0,1903.0,79.0,5376.0,15.0,171.0,19.0,56.0,18676.0,15163.0,14.0,84.0,54.0,2269.0,11537.0,38.0,150.0,87.0,105.0,162.0,83.0,123.0,99.0,6201.0,138.0,181.0
4786,15434.0,7255.0,122.0,77.0,83.0,14.0,2337.0,5411.0,7.0,6044.0,107.0,84.0,18679.0,33.0,37.0,138.0,29.0,50.0,90.0,82.0,146.0,109.0,92.0,52.0,68.0,35.0,130.0,126.0,158.0,164.0
4835,15449.0,3.0,35.0,53.0,42.0,1903.0,9.0,5437.0,67.0,58.0,94.0,88.0,18667.0,15143.0,8159.0,62.0,71.0,156.0,130.0,8858.0,357.0,176.0,55.0,157.0,144.0,50.0,128.0,161.0,194.0,101.0
4884,15437.0,7261.0,115.0,70.0,47.0,1906.0,36.0,39.0,1.0,153.0,151.0,89.0,25.0,15142.0,8159.0,66.0,20042.0,48.0,67.0,8880.0,141.0,144.0,117.0,124.0,116.0,111.0,128.0,69.0,112.0,143.0
