, TLR, PI3K_only, VEGF, H2O2, IL-1, MAPK_only, JAK-STAT, MAPK_PI3K, TGFB, TNFa, Wnt
1069,0.0,1.0,10.0,2.0,8.0,5.0,3.0,4.0,6.0,9.0,7.0
1118,2.0,0.0,9.0,4.0,3.0,5.0,7.0,6.0,1.0,10.0,8.0
1167,0.0,1.0,7.0,4.0,2.0,6.0,8.0,5.0,3.0,9.0,10.0
1216,3.0,0.0,1.0,8.0,9.0,7.0,2.0,4.0,10.0,6.0,5.0
1265,0.0,1.0,4.0,3.0,2.0,6.0,7.0,8.0,9.0,5.0,10.0
1314,0.0,1.0,3.0,2.0,4.0,8.0,6.0,9.0,5.0,10.0,7.0
1363,0.0,1.0,5.0,8.0,2.0,7.0,3.0,10.0,6.0,9.0,4.0
1412,3.0,2.0,1.0,4.0,0.0,5.0,6.0,8.0,7.0,10.0,9.0
1461,2.0,0.0,8.0,7.0,6.0,5.0,4.0,10.0,1.0,9.0,3.0
1510,1.0,0.0,2.0,3.0,7.0,8.0,6.0,5.0,4.0,10.0,9.0
1559,2.0,0.0,4.0,3.0,7.0,1.0,9.0,6.0,8.0,5.0,10.0
1608,0.0,1.0,2.0,3.0,7.0,6.0,5.0,8.0,10.0,9.0,4.0
1657,0.0,1.0,4.0,7.0,2.0,5.0,9.0,8.0,6.0,10.0,3.0
1706,1.0,0.0,2.0,10.0,3.0,7.0,8.0,6.0,5.0,4.0,9.0
1755,9.0,1.0,3.0,2.0,7.0,5.0,4.0,6.0,8.0,0.0,10.0
1804,1.0,0.0,3.0,7.0,2.0,9.0,8.0,4.0,10.0,5.0,6.0
1853,0.0,1.0,3.0,8.0,5.0,4.0,9.0,6.0,10.0,2.0,7.0
1902,0.0,1.0,2.0,3.0,5.0,7.0,4.0,6.0,8.0,9.0,10.0
1951,1.0,0.0,2.0,3.0,4.0,6.0,10.0,5.0,7.0,9.0,8.0
2000,7.0,0.0,5.0,2.0,9.0,8.0,1.0,6.0,4.0,3.0,10.0
2049,0.0,3.0,2.0,10.0,1.0,5.0,6.0,4.0,8.0,7.0,9.0
2098,5.0,1.0,10.0,4.0,3.0,6.0,2.0,0.0,9.0,7.0,8.0
2147,1.0,0.0,6.0,7.0,8.0,5.0,2.0,3.0,4.0,10.0,9.0
2196,2.0,0.0,4.0,1.0,3.0,9.0,8.0,6.0,7.0,5.0,10.0
2245,1.0,0.0,4.0,6.0,2.0,10.0,5.0,8.0,3.0,9.0,7.0
2294,6.0,0.0,3.0,9.0,7.0,5.0,4.0,2.0,10.0,1.0,8.0
2343,3.0,0.0,6.0,2.0,8.0,9.0,10.0,1.0,4.0,7.0,5.0
2392,3.0,1.0,7.0,6.0,5.0,2.0,9.0,0.0,8.0,4.0,10.0
2441,2.0,0.0,1.0,5.0,9.0,4.0,7.0,3.0,8.0,6.0,10.0
2490,0.0,3.0,6.0,1.0,5.0,4.0,7.0,2.0,9.0,10.0,8.0
2539,0.0,1.0,2.0,4.0,6.0,5.0,9.0,3.0,10.0,8.0,7.0
2588,0.0,1.0,2.0,5.0,3.0,8.0,6.0,4.0,9.0,10.0,7.0
2637,0.0,3.0,6.0,4.0,2.0,10.0,1.0,5.0,9.0,7.0,8.0
2686,6.0,0.0,4.0,3.0,9.0,2.0,1.0,8.0,10.0,5.0,7.0
2735,1.0,0.0,3.0,9.0,2.0,8.0,4.0,10.0,5.0,7.0,6.0
2784,1.0,2.0,8.0,0.0,4.0,7.0,10.0,5.0,6.0,9.0,3.0
2833,0.0,1.0,2.0,6.0,3.0,10.0,4.0,7.0,5.0,8.0,9.0
2882,0.0,1.0,2.0,3.0,9.0,7.0,4.0,6.0,10.0,8.0,5.0
2931,0.0,1.0,3.0,2.0,8.0,7.0,6.0,4.0,5.0,9.0,10.0
2980,2.0,0.0,7.0,4.0,5.0,3.0,9.0,8.0,6.0,1.0,10.0
3029,4.0,0.0,9.0,2.0,6.0,3.0,7.0,1.0,10.0,5.0,8.0
3078,1.0,0.0,5.0,4.0,3.0,9.0,2.0,7.0,8.0,6.0,10.0
3127,1.0,0.0,4.0,5.0,3.0,9.0,2.0,6.0,7.0,10.0,8.0
3176,6.0,0.0,8.0,5.0,4.0,7.0,2.0,3.0,1.0,9.0,10.0
3225,3.0,0.0,6.0,1.0,9.0,2.0,8.0,5.0,4.0,7.0,10.0
3274,2.0,0.0,5.0,7.0,8.0,6.0,1.0,3.0,4.0,9.0,10.0
3323,7.0,0.0,5.0,2.0,8.0,3.0,1.0,6.0,10.0,9.0,4.0
3372,4.0,0.0,9.0,6.0,7.0,3.0,2.0,1.0,8.0,5.0,10.0
3421,1.0,0.0,10.0,3.0,4.0,8.0,2.0,9.0,7.0,6.0,5.0
3470,0.0,2.0,3.0,8.0,4.0,5.0,1.0,7.0,10.0,6.0,9.0
3519,0.0,1.0,2.0,4.0,10.0,8.0,6.0,3.0,5.0,7.0,9.0
3568,1.0,4.0,2.0,5.0,0.0,3.0,6.0,9.0,8.0,7.0,10.0
3617,1.0,2.0,0.0,8.0,4.0,3.0,7.0,10.0,6.0,5.0,9.0
3666,2.0,4.0,0.0,9.0,7.0,5.0,1.0,3.0,6.0,8.0,10.0
3715,1.0,4.0,0.0,5.0,8.0,2.0,10.0,7.0,3.0,9.0,6.0
3764,2.0,0.0,1.0,8.0,3.0,4.0,7.0,5.0,10.0,9.0,6.0
3813,1.0,4.0,0.0,9.0,10.0,8.0,2.0,6.0,3.0,5.0,7.0
3862,2.0,1.0,0.0,7.0,3.0,9.0,4.0,5.0,8.0,6.0,10.0
3911,0.0,1.0,2.0,6.0,9.0,10.0,7.0,4.0,3.0,8.0,5.0
3960,2.0,0.0,5.0,8.0,1.0,4.0,9.0,6.0,3.0,7.0,10.0
4009,0.0,1.0,6.0,5.0,9.0,2.0,10.0,4.0,7.0,3.0,8.0
4058,1.0,0.0,4.0,9.0,6.0,2.0,10.0,3.0,7.0,5.0,8.0
4107,1.0,0.0,3.0,6.0,2.0,9.0,10.0,4.0,5.0,8.0,7.0
4156,1.0,0.0,6.0,8.0,2.0,4.0,3.0,5.0,7.0,10.0,9.0
4205,1.0,0.0,8.0,9.0,4.0,3.0,10.0,7.0,2.0,6.0,5.0
4254,1.0,0.0,6.0,7.0,3.0,4.0,9.0,2.0,8.0,5.0,10.0
4303,0.0,4.0,1.0,6.0,5.0,2.0,9.0,3.0,7.0,8.0,10.0
4352,0.0,1.0,2.0,7.0,3.0,5.0,4.0,9.0,10.0,8.0,6.0
4401,1.0,0.0,3.0,4.0,2.0,9.0,5.0,6.0,10.0,7.0,8.0
4450,2.0,0.0,6.0,1.0,9.0,3.0,7.0,4.0,8.0,10.0,5.0
4499,1.0,0.0,5.0,10.0,3.0,4.0,7.0,8.0,2.0,6.0,9.0
4548,1.0,0.0,3.0,10.0,7.0,4.0,2.0,6.0,5.0,8.0,9.0
4597,1.0,0.0,2.0,5.0,4.0,9.0,3.0,10.0,8.0,6.0,7.0
4646,1.0,0.0,5.0,8.0,6.0,3.0,2.0,7.0,4.0,10.0,9.0
4695,0.0,1.0,2.0,3.0,5.0,6.0,4.0,7.0,8.0,10.0,9.0
4744,4.0,0.0,2.0,8.0,6.0,3.0,5.0,9.0,10.0,1.0,7.0
4793,0.0,2.0,1.0,5.0,4.0,3.0,6.0,10.0,7.0,8.0,9.0
4842,0.0,1.0,2.0,6.0,5.0,8.0,10.0,4.0,3.0,7.0,9.0
4891,1.0,0.0,3.0,6.0,2.0,5.0,4.0,8.0,7.0,9.0,10.0
