,Akt,C-Raf_pS338,Rb_pS807_S811,Beclin,Tuberin_pT1462,4E-BP1_pT70,HSP70,MAPK_pT202_Y204,PKC-delta_pS664,Caspase-7_cleavedD198,CDK1,Chk2_pT68,beta-Catenin_pT41_S45,Acetyl-a-Tubulin (Lys40),MIG-6,IGFBP2,VAV1,G6PD,Src,4E-BP1_pS65,PKC-pan_BetaII_pS660,Fibronectin,TTF1,Src_pY527,p38_pT180_Y182,MSH6,PEA15,YB-1,NF2,MDM2_pS166
1671,9.0,19.0,15.0,51.0,32.0,36.0,20.0,35.0,6.0,57.0,22.0,53.0,45.0,18.0,17.0,96.0,82.0,138.0,76.0,120.0,80.0,24.0,55.0,27.0,163.0,54.0,100.0,98.0,108.0,8.0
1720,64.0,18.0,34.0,19.0,47.0,143.0,81.0,30.0,91.0,33.0,10.0,65.0,79.0,9.0,16.0,56.0,69.0,111.0,95.0,90.0,40.0,44.0,6.0,60.0,71.0,89.0,99.0,57.0,74.0,8.0
1769,0.0,30.0,14.0,67.0,7.0,8.0,53.0,15.0,61.0,42.0,23.0,38.0,31.0,77.0,27.0,45.0,29.0,21.0,25.0,41.0,69.0,82.0,131.0,32.0,40.0,97.0,99.0,72.0,76.0,136.0
1818,0.0,14.0,18.0,55.0,17.0,8.0,31.0,34.0,46.0,28.0,20.0,2.0,38.0,66.0,6.0,39.0,65.0,32.0,45.0,15.0,42.0,51.0,11.0,33.0,72.0,62.0,75.0,82.0,44.0,7.0
1867,27.0,21.0,56.0,17.0,47.0,124.0,25.0,38.0,110.0,68.0,8.0,13.0,14.0,7.0,24.0,85.0,103.0,11.0,72.0,80.0,87.0,54.0,2.0,28.0,32.0,1.0,37.0,4.0,89.0,146.0
1916,50.0,55.0,37.0,14.0,7.0,136.0,15.0,9.0,53.0,21.0,17.0,149.0,78.0,51.0,10.0,23.0,62.0,116.0,4.0,134.0,2.0,25.0,32.0,43.0,18.0,54.0,75.0,88.0,46.0,117.0
1965,93.0,42.0,34.0,17.0,73.0,57.0,36.0,81.0,16.0,31.0,37.0,20.0,107.0,1.0,75.0,29.0,0.0,23.0,83.0,11.0,67.0,53.0,71.0,129.0,86.0,46.0,33.0,159.0,152.0,65.0
2014,125.0,27.0,37.0,50.0,44.0,53.0,93.0,79.0,30.0,72.0,51.0,94.0,3.0,39.0,36.0,46.0,132.0,22.0,107.0,14.0,159.0,80.0,81.0,126.0,19.0,31.0,64.0,122.0,66.0,15.0
2063,21.0,24.0,16.0,19.0,25.0,50.0,32.0,30.0,92.0,28.0,56.0,42.0,44.0,13.0,20.0,31.0,135.0,123.0,6.0,33.0,65.0,38.0,76.0,124.0,84.0,36.0,98.0,148.0,23.0,52.0
2112,47.0,17.0,31.0,34.0,124.0,137.0,58.0,41.0,15.0,43.0,25.0,33.0,19.0,37.0,73.0,24.0,132.0,56.0,42.0,72.0,121.0,62.0,82.0,134.0,68.0,46.0,117.0,155.0,13.0,20.0
2161,87.0,12.0,57.0,11.0,86.0,5.0,24.0,16.0,84.0,70.0,25.0,28.0,61.0,22.0,36.0,29.0,131.0,21.0,135.0,37.0,156.0,41.0,42.0,58.0,8.0,32.0,106.0,68.0,27.0,122.0
2210,4.0,29.0,31.0,16.0,1.0,42.0,43.0,23.0,8.0,24.0,53.0,38.0,79.0,58.0,56.0,12.0,131.0,94.0,35.0,110.0,57.0,67.0,25.0,103.0,146.0,91.0,10.0,106.0,3.0,101.0
2259,30.0,13.0,59.0,17.0,75.0,35.0,57.0,94.0,131.0,81.0,72.0,16.0,61.0,28.0,95.0,27.0,11.0,50.0,7.0,33.0,42.0,83.0,69.0,65.0,158.0,105.0,161.0,152.0,1.0,93.0
2308,4.0,31.0,23.0,18.0,131.0,33.0,72.0,95.0,0.0,40.0,57.0,51.0,79.0,2.0,60.0,34.0,35.0,44.0,68.0,80.0,56.0,82.0,58.0,22.0,63.0,66.0,61.0,75.0,11.0,8.0
2357,8.0,21.0,20.0,44.0,137.0,36.0,17.0,80.0,147.0,41.0,9.0,7.0,71.0,64.0,58.0,24.0,138.0,1.0,39.0,78.0,118.0,54.0,26.0,22.0,0.0,10.0,105.0,65.0,123.0,38.0
2406,12.0,17.0,26.0,7.0,14.0,135.0,10.0,4.0,47.0,112.0,22.0,40.0,43.0,49.0,29.0,37.0,48.0,117.0,128.0,115.0,41.0,107.0,35.0,101.0,99.0,24.0,123.0,73.0,0.0,58.0
2455,22.0,66.0,4.0,12.0,10.0,136.0,78.0,2.0,160.0,21.0,70.0,43.0,7.0,118.0,68.0,81.0,130.0,14.0,23.0,131.0,161.0,35.0,57.0,105.0,64.0,33.0,106.0,49.0,71.0,44.0
2504,3.0,18.0,8.0,35.0,34.0,112.0,40.0,122.0,161.0,43.0,16.0,113.0,44.0,42.0,15.0,31.0,131.0,59.0,117.0,14.0,45.0,65.0,53.0,68.0,50.0,96.0,27.0,88.0,81.0,6.0
2553,67.0,50.0,9.0,41.0,134.0,40.0,36.0,23.0,42.0,11.0,71.0,155.0,21.0,51.0,82.0,24.0,72.0,6.0,31.0,0.0,10.0,38.0,63.0,29.0,103.0,46.0,19.0,7.0,13.0,130.0
2602,9.0,45.0,8.0,19.0,4.0,18.0,67.0,0.0,154.0,22.0,42.0,34.0,57.0,131.0,7.0,12.0,130.0,144.0,56.0,81.0,85.0,49.0,58.0,52.0,53.0,43.0,113.0,54.0,138.0,38.0
2651,5.0,24.0,16.0,13.0,11.0,1.0,29.0,4.0,75.0,37.0,56.0,12.0,47.0,111.0,86.0,65.0,49.0,30.0,41.0,135.0,2.0,85.0,64.0,46.0,38.0,147.0,20.0,33.0,66.0,34.0
2700,54.0,36.0,13.0,85.0,51.0,25.0,71.0,34.0,152.0,76.0,30.0,50.0,67.0,28.0,92.0,58.0,0.0,4.0,38.0,123.0,52.0,23.0,11.0,78.0,72.0,88.0,147.0,99.0,15.0,32.0
2749,90.0,53.0,46.0,22.0,36.0,18.0,34.0,72.0,3.0,80.0,25.0,15.0,60.0,12.0,71.0,38.0,134.0,4.0,96.0,130.0,43.0,6.0,35.0,31.0,89.0,56.0,0.0,100.0,153.0,113.0
2798,96.0,50.0,16.0,11.0,3.0,10.0,52.0,21.0,13.0,47.0,48.0,31.0,8.0,30.0,66.0,58.0,95.0,0.0,54.0,127.0,14.0,115.0,69.0,17.0,53.0,76.0,152.0,34.0,99.0,62.0
2847,13.0,17.0,40.0,23.0,68.0,16.0,65.0,58.0,127.0,97.0,15.0,28.0,33.0,141.0,62.0,37.0,2.0,95.0,53.0,7.0,79.0,161.0,84.0,45.0,54.0,69.0,147.0,77.0,11.0,117.0
2896,12.0,53.0,71.0,2.0,126.0,1.0,23.0,43.0,17.0,100.0,88.0,7.0,22.0,102.0,101.0,57.0,132.0,114.0,40.0,96.0,26.0,39.0,10.0,27.0,81.0,153.0,160.0,74.0,33.0,9.0
2945,14.0,17.0,66.0,35.0,73.0,10.0,62.0,92.0,41.0,36.0,50.0,137.0,13.0,67.0,158.0,52.0,31.0,107.0,16.0,69.0,89.0,59.0,37.0,42.0,33.0,32.0,151.0,23.0,46.0,6.0
2994,39.0,38.0,104.0,11.0,24.0,8.0,101.0,50.0,9.0,66.0,59.0,91.0,3.0,64.0,159.0,106.0,126.0,48.0,23.0,46.0,149.0,14.0,75.0,6.0,52.0,31.0,150.0,29.0,42.0,160.0
3043,15.0,19.0,24.0,12.0,3.0,127.0,23.0,56.0,20.0,9.0,92.0,144.0,62.0,17.0,98.0,16.0,97.0,159.0,82.0,34.0,55.0,81.0,53.0,131.0,30.0,83.0,67.0,41.0,113.0,114.0
3092,43.0,28.0,40.0,23.0,90.0,31.0,55.0,1.0,85.0,52.0,10.0,19.0,22.0,20.0,47.0,44.0,11.0,4.0,14.0,102.0,147.0,70.0,17.0,107.0,26.0,66.0,3.0,137.0,2.0,163.0
3141,6.0,48.0,44.0,33.0,36.0,128.0,34.0,142.0,15.0,5.0,7.0,154.0,13.0,83.0,42.0,18.0,121.0,117.0,30.0,112.0,61.0,21.0,89.0,50.0,41.0,20.0,70.0,49.0,160.0,99.0
3190,58.0,26.0,30.0,20.0,124.0,7.0,22.0,1.0,35.0,48.0,25.0,8.0,47.0,12.0,98.0,29.0,19.0,15.0,14.0,43.0,46.0,147.0,65.0,4.0,67.0,18.0,130.0,13.0,24.0,156.0
3239,4.0,22.0,29.0,53.0,28.0,97.0,32.0,61.0,26.0,23.0,64.0,59.0,141.0,21.0,54.0,84.0,11.0,75.0,132.0,77.0,5.0,18.0,10.0,105.0,27.0,6.0,58.0,39.0,157.0,35.0
3288,80.0,57.0,58.0,32.0,128.0,133.0,71.0,68.0,25.0,28.0,54.0,21.0,40.0,75.0,37.0,56.0,122.0,3.0,20.0,9.0,22.0,29.0,35.0,24.0,53.0,1.0,49.0,73.0,26.0,14.0
3337,24.0,29.0,101.0,1.0,50.0,13.0,42.0,11.0,77.0,51.0,49.0,38.0,95.0,53.0,43.0,27.0,0.0,141.0,10.0,94.0,17.0,73.0,92.0,26.0,22.0,25.0,12.0,28.0,35.0,64.0
3386,17.0,47.0,22.0,21.0,6.0,1.0,82.0,7.0,34.0,102.0,48.0,135.0,28.0,18.0,137.0,40.0,123.0,140.0,46.0,105.0,68.0,5.0,31.0,92.0,44.0,4.0,19.0,73.0,148.0,49.0
3435,12.0,25.0,67.0,29.0,98.0,15.0,32.0,65.0,7.0,21.0,53.0,11.0,8.0,123.0,26.0,24.0,134.0,95.0,96.0,102.0,145.0,41.0,69.0,45.0,63.0,83.0,54.0,16.0,0.0,135.0
3484,15.0,37.0,68.0,48.0,73.0,10.0,27.0,11.0,38.0,30.0,32.0,103.0,61.0,39.0,5.0,51.0,7.0,120.0,115.0,130.0,98.0,13.0,9.0,46.0,53.0,4.0,152.0,57.0,160.0,56.0
3533,9.0,13.0,24.0,44.0,12.0,6.0,27.0,148.0,90.0,42.0,68.0,40.0,52.0,18.0,36.0,85.0,124.0,17.0,91.0,0.0,14.0,112.0,45.0,5.0,96.0,25.0,38.0,8.0,53.0,69.0
3582,4.0,18.0,37.0,28.0,47.0,144.0,22.0,20.0,0.0,68.0,24.0,31.0,157.0,100.0,8.0,42.0,38.0,34.0,93.0,136.0,12.0,71.0,21.0,56.0,115.0,109.0,43.0,16.0,55.0,26.0
3631,5.0,18.0,20.0,83.0,17.0,10.0,52.0,39.0,0.0,16.0,12.0,66.0,43.0,35.0,101.0,47.0,2.0,67.0,121.0,78.0,33.0,23.0,71.0,51.0,37.0,133.0,151.0,136.0,139.0,68.0
3680,7.0,29.0,11.0,69.0,8.0,151.0,23.0,0.0,18.0,48.0,64.0,75.0,40.0,56.0,43.0,101.0,20.0,4.0,80.0,37.0,115.0,44.0,39.0,88.0,82.0,28.0,19.0,24.0,35.0,126.0
3729,77.0,71.0,48.0,27.0,83.0,6.0,90.0,11.0,95.0,47.0,86.0,8.0,31.0,5.0,13.0,78.0,2.0,42.0,134.0,82.0,3.0,10.0,69.0,26.0,75.0,4.0,40.0,43.0,60.0,70.0
3778,62.0,21.0,13.0,102.0,52.0,79.0,49.0,17.0,0.0,20.0,16.0,14.0,36.0,29.0,18.0,111.0,11.0,3.0,8.0,53.0,148.0,42.0,22.0,73.0,33.0,112.0,41.0,28.0,55.0,156.0
3827,78.0,26.0,38.0,62.0,31.0,33.0,51.0,133.0,9.0,37.0,27.0,6.0,54.0,138.0,18.0,25.0,32.0,45.0,19.0,3.0,79.0,55.0,73.0,14.0,99.0,125.0,47.0,28.0,34.0,131.0
3876,4.0,41.0,21.0,55.0,67.0,53.0,86.0,22.0,19.0,80.0,97.0,20.0,45.0,90.0,25.0,13.0,58.0,10.0,31.0,28.0,148.0,17.0,51.0,26.0,64.0,54.0,99.0,2.0,78.0,70.0
3925,9.0,30.0,40.0,20.0,33.0,41.0,63.0,2.0,0.0,11.0,32.0,47.0,152.0,12.0,14.0,38.0,1.0,73.0,16.0,49.0,45.0,28.0,91.0,60.0,62.0,24.0,17.0,87.0,27.0,116.0
3974,10.0,15.0,20.0,38.0,50.0,44.0,19.0,7.0,136.0,32.0,17.0,35.0,114.0,83.0,23.0,85.0,65.0,9.0,21.0,1.0,28.0,33.0,133.0,73.0,87.0,41.0,153.0,29.0,70.0,31.0
4023,20.0,44.0,40.0,30.0,128.0,24.0,28.0,59.0,2.0,8.0,37.0,58.0,67.0,88.0,71.0,87.0,12.0,80.0,79.0,0.0,51.0,43.0,130.0,131.0,45.0,10.0,15.0,16.0,70.0,156.0
4072,7.0,21.0,26.0,44.0,15.0,53.0,33.0,143.0,37.0,8.0,73.0,94.0,154.0,104.0,60.0,101.0,10.0,77.0,34.0,11.0,63.0,78.0,52.0,39.0,68.0,103.0,43.0,5.0,27.0,1.0
4121,25.0,65.0,0.0,18.0,29.0,50.0,45.0,33.0,19.0,10.0,80.0,59.0,53.0,89.0,105.0,44.0,61.0,48.0,94.0,57.0,104.0,6.0,90.0,125.0,20.0,58.0,13.0,101.0,40.0,84.0
4170,7.0,25.0,64.0,28.0,18.0,136.0,96.0,104.0,4.0,10.0,34.0,49.0,27.0,14.0,117.0,80.0,9.0,38.0,60.0,88.0,113.0,43.0,86.0,23.0,16.0,20.0,59.0,5.0,0.0,78.0
4219,17.0,50.0,20.0,31.0,78.0,81.0,65.0,39.0,0.0,12.0,61.0,38.0,51.0,30.0,16.0,60.0,79.0,111.0,41.0,89.0,69.0,19.0,130.0,120.0,37.0,40.0,59.0,112.0,97.0,8.0
4268,14.0,31.0,9.0,7.0,30.0,17.0,22.0,40.0,113.0,32.0,87.0,53.0,0.0,126.0,144.0,45.0,57.0,2.0,89.0,127.0,158.0,11.0,70.0,122.0,28.0,47.0,82.0,15.0,76.0,58.0
4317,10.0,22.0,69.0,19.0,53.0,98.0,21.0,8.0,6.0,27.0,57.0,59.0,23.0,29.0,68.0,43.0,63.0,112.0,126.0,128.0,41.0,12.0,71.0,17.0,58.0,77.0,80.0,24.0,28.0,134.0
4366,37.0,30.0,18.0,39.0,115.0,93.0,19.0,62.0,46.0,17.0,27.0,94.0,24.0,14.0,91.0,33.0,40.0,48.0,126.0,47.0,80.0,64.0,97.0,8.0,78.0,71.0,26.0,141.0,3.0,31.0
4415,4.0,16.0,5.0,19.0,131.0,34.0,65.0,139.0,159.0,63.0,11.0,29.0,26.0,14.0,48.0,28.0,8.0,109.0,71.0,43.0,164.0,74.0,75.0,129.0,32.0,30.0,44.0,137.0,55.0,140.0
4464,3.0,18.0,11.0,32.0,17.0,22.0,26.0,14.0,52.0,108.0,31.0,80.0,95.0,0.0,54.0,42.0,39.0,156.0,7.0,4.0,2.0,57.0,41.0,58.0,35.0,63.0,8.0,65.0,109.0,140.0
4513,4.0,13.0,18.0,31.0,68.0,72.0,47.0,37.0,26.0,82.0,12.0,21.0,65.0,61.0,52.0,60.0,56.0,7.0,33.0,54.0,23.0,51.0,15.0,129.0,75.0,93.0,58.0,39.0,89.0,3.0
4562,7.0,20.0,22.0,18.0,23.0,33.0,60.0,12.0,13.0,91.0,95.0,124.0,29.0,43.0,83.0,87.0,139.0,75.0,9.0,39.0,50.0,90.0,24.0,46.0,80.0,10.0,70.0,65.0,112.0,0.0
4611,22.0,17.0,161.0,16.0,4.0,20.0,52.0,43.0,97.0,42.0,32.0,44.0,93.0,34.0,68.0,33.0,77.0,78.0,129.0,121.0,118.0,102.0,37.0,2.0,82.0,53.0,54.0,9.0,39.0,98.0
4660,14.0,25.0,32.0,28.0,131.0,141.0,45.0,58.0,27.0,38.0,76.0,19.0,18.0,13.0,39.0,78.0,15.0,0.0,33.0,56.0,35.0,66.0,69.0,120.0,22.0,79.0,59.0,26.0,57.0,156.0
4709,8.0,14.0,0.0,58.0,116.0,39.0,21.0,133.0,27.0,74.0,44.0,42.0,24.0,78.0,41.0,51.0,7.0,100.0,6.0,87.0,153.0,76.0,75.0,35.0,29.0,57.0,28.0,96.0,92.0,3.0
4758,9.0,8.0,41.0,14.0,128.0,125.0,58.0,149.0,28.0,47.0,68.0,60.0,40.0,33.0,13.0,12.0,1.0,86.0,42.0,95.0,3.0,52.0,71.0,15.0,24.0,22.0,82.0,20.0,85.0,0.0
4807,26.0,29.0,49.0,7.0,77.0,32.0,78.0,82.0,10.0,18.0,63.0,147.0,66.0,36.0,65.0,72.0,107.0,116.0,130.0,74.0,40.0,68.0,48.0,62.0,41.0,27.0,53.0,97.0,42.0,8.0
4856,13.0,14.0,91.0,17.0,45.0,106.0,33.0,86.0,39.0,48.0,2.0,143.0,36.0,55.0,16.0,27.0,7.0,71.0,92.0,99.0,40.0,50.0,37.0,75.0,51.0,112.0,25.0,83.0,95.0,68.0
