,SLFN11,XIST,KHDC1,RPSAP53,MX2,HIC1,TSPYL5,KRT17P3,ZNF215,AC124789.1,CTD-2203K17.1,MAGEC2,AP000783.1,Y_RNA,NDN,GPX1P1,SLFN12,GSTT1,SMAP1,FHOD3,RP11-834C11.4,INHBA,SPTBN2,HIST1H2BH,HNRNPUL1,RP11-401O9.4,TUBA3E,AC006050.2,EMP1,RP11-177C12.1
1380,0.0,9.0,5.0,35.0,1.0,180.0,14.0,69.0,241.0,27.0,216.0,16.0,11.0,281.0,3.0,4.0,43.0,2.0,15.0,156.0,64.0,12.0,8.0,32.0,39.0,71.0,151.0,519.0,13.0,29.0
1429,0.0,85.0,2.0,3.0,1.0,11.0,349.0,29.0,14.0,84.0,24.0,31.0,6.0,18.0,9.0,10.0,30.0,46.0,69.0,34.0,62.0,82.0,13.0,5.0,63.0,16.0,225.0,160.0,106.0,104.0
1478,0.0,26.0,3.0,7.0,1.0,5.0,118.0,40.0,34.0,20.0,12.0,28.0,22.0,27.0,137.0,366.0,29.0,19.0,54.0,228.0,200.0,24.0,49.0,16.0,254.0,9.0,130.0,373.0,21.0,91.0
1527,0.0,51.0,37.0,8.0,2.0,9.0,65.0,46.0,220.0,57.0,12.0,47.0,15.0,67.0,31.0,116.0,23.0,3.0,443.0,4.0,685.0,195.0,16.0,141.0,53.0,22.0,13.0,20.0,383.0,75.0
1576,0.0,2.0,3.0,8.0,5.0,12.0,22.0,14.0,76.0,20.0,10.0,9.0,27.0,7.0,90.0,65.0,38.0,4.0,44.0,24.0,169.0,59.0,70.0,29.0,142.0,6.0,26.0,57.0,103.0,79.0
1625,0.0,6.0,3.0,9.0,7.0,10.0,21.0,109.0,228.0,23.0,35.0,15.0,59.0,1.0,93.0,83.0,14.0,30.0,55.0,44.0,38.0,674.0,42.0,25.0,52.0,8.0,60.0,18.0,82.0,70.0
1674,0.0,6.0,3.0,9.0,13.0,8.0,663.0,52.0,14.0,278.0,5.0,282.0,39.0,2.0,31.0,24.0,28.0,19.0,104.0,90.0,1464.0,34.0,49.0,96.0,69.0,4.0,294.0,190.0,479.0,192.0
1723,0.0,8.0,5.0,1.0,16.0,6.0,79.0,13.0,48.0,14.0,10.0,4.0,11.0,2.0,111.0,125.0,9.0,309.0,124.0,69.0,268.0,68.0,21.0,142.0,312.0,47.0,32.0,33.0,458.0,42.0
1772,0.0,11.0,7.0,13.0,19.0,20.0,42.0,12.0,54.0,17.0,60.0,30.0,1.0,2.0,175.0,251.0,16.0,3.0,47.0,167.0,196.0,92.0,160.0,5.0,85.0,8.0,46.0,32.0,252.0,28.0
1821,0.0,2.0,1.0,7.0,18.0,24.0,66.0,15.0,115.0,189.0,6.0,14.0,34.0,3.0,103.0,1003.0,37.0,48.0,109.0,39.0,266.0,116.0,9.0,70.0,89.0,4.0,32.0,289.0,49.0,88.0
1870,0.0,64.0,14.0,4.0,3.0,152.0,39.0,15.0,348.0,78.0,27.0,8.0,7.0,150.0,19.0,72.0,11.0,1.0,159.0,112.0,24.0,18.0,6.0,65.0,110.0,40.0,42.0,33.0,31.0,41.0
1919,0.0,1.0,2.0,4.0,17.0,6.0,182.0,10.0,341.0,24.0,5.0,22.0,32.0,9.0,90.0,15.0,13.0,296.0,213.0,54.0,73.0,29.0,97.0,59.0,42.0,16.0,34.0,88.0,238.0,104.0
1968,0.0,2.0,3.0,1.0,5.0,9.0,25.0,21.0,141.0,72.0,49.0,43.0,6.0,4.0,29.0,11.0,42.0,8.0,56.0,213.0,19.0,22.0,17.0,64.0,75.0,7.0,59.0,48.0,88.0,33.0
2017,0.0,1.0,3.0,6.0,14.0,50.0,24.0,9.0,8.0,130.0,17.0,128.0,41.0,4.0,15.0,10.0,252.0,330.0,18.0,35.0,36.0,220.0,26.0,7.0,74.0,2.0,59.0,186.0,62.0,57.0
2066,0.0,1.0,5.0,12.0,4.0,7.0,2.0,22.0,19.0,13.0,70.0,59.0,15.0,17.0,9.0,3.0,114.0,383.0,29.0,121.0,14.0,30.0,10.0,49.0,34.0,6.0,63.0,26.0,8.0,27.0
2115,0.0,1.0,2.0,5.0,7.0,8.0,6.0,20.0,15.0,32.0,47.0,101.0,19.0,3.0,29.0,4.0,56.0,181.0,30.0,37.0,16.0,97.0,33.0,10.0,51.0,43.0,34.0,14.0,65.0,23.0
2164,0.0,1.0,4.0,8.0,7.0,23.0,3.0,27.0,9.0,11.0,39.0,64.0,19.0,2.0,200.0,29.0,6.0,16.0,35.0,24.0,14.0,44.0,181.0,56.0,41.0,31.0,67.0,18.0,13.0,15.0
2213,0.0,1.0,4.0,7.0,12.0,3.0,6.0,50.0,42.0,44.0,11.0,185.0,26.0,5.0,18.0,2.0,54.0,70.0,14.0,22.0,13.0,41.0,85.0,24.0,15.0,8.0,125.0,172.0,57.0,25.0
2262,0.0,1.0,13.0,12.0,2.0,4.0,8.0,52.0,42.0,24.0,69.0,105.0,6.0,3.0,43.0,5.0,159.0,34.0,55.0,32.0,35.0,40.0,28.0,15.0,20.0,9.0,17.0,27.0,19.0,23.0
2311,0.0,1.0,15.0,4.0,2.0,10.0,7.0,45.0,14.0,32.0,35.0,18.0,5.0,6.0,26.0,3.0,122.0,22.0,30.0,25.0,24.0,23.0,49.0,41.0,12.0,8.0,27.0,29.0,39.0,44.0
2360,0.0,2.0,12.0,3.0,1.0,115.0,9.0,18.0,22.0,408.0,70.0,75.0,8.0,47.0,11.0,6.0,94.0,5.0,19.0,124.0,7.0,13.0,10.0,24.0,56.0,85.0,186.0,199.0,20.0,45.0
2409,0.0,2.0,8.0,3.0,11.0,6.0,10.0,30.0,86.0,40.0,45.0,414.0,18.0,1.0,87.0,14.0,5.0,559.0,78.0,7.0,39.0,49.0,108.0,378.0,27.0,186.0,33.0,22.0,159.0,15.0
2458,0.0,1.0,5.0,2.0,3.0,10.0,29.0,57.0,7.0,22.0,48.0,13.0,17.0,49.0,6.0,12.0,116.0,1553.0,25.0,66.0,14.0,128.0,64.0,9.0,43.0,52.0,18.0,11.0,60.0,46.0
2507,0.0,2.0,5.0,1.0,6.0,34.0,51.0,12.0,4.0,57.0,14.0,7.0,36.0,8.0,3.0,58.0,40.0,13.0,17.0,9.0,115.0,96.0,79.0,25.0,48.0,44.0,30.0,22.0,140.0,102.0
2556,0.0,6.0,3.0,1.0,2.0,18.0,8.0,16.0,37.0,5.0,24.0,100.0,13.0,9.0,12.0,28.0,71.0,7.0,11.0,27.0,94.0,214.0,110.0,4.0,34.0,43.0,21.0,31.0,80.0,17.0
2605,0.0,4.0,33.0,1.0,2.0,104.0,326.0,14.0,15.0,18.0,30.0,5.0,10.0,255.0,8.0,537.0,6.0,32.0,11.0,128.0,3.0,34.0,21.0,26.0,153.0,2643.0,126.0,204.0,91.0,20.0
2654,0.0,1.0,3.0,2.0,5.0,14.0,46.0,9.0,4.0,20.0,11.0,12.0,17.0,6.0,66.0,37.0,126.0,433.0,31.0,13.0,164.0,169.0,47.0,24.0,25.0,7.0,27.0,180.0,16.0,30.0
2703,0.0,5.0,3.0,1.0,21.0,26.0,322.0,20.0,4.0,10.0,12.0,9.0,32.0,2.0,62.0,70.0,11.0,1017.0,43.0,61.0,17.0,198.0,165.0,92.0,219.0,145.0,39.0,16.0,127.0,37.0
2752,0.0,1.0,3.0,2.0,5.0,8.0,9.0,22.0,7.0,19.0,33.0,30.0,31.0,606.0,4.0,10.0,13.0,2551.0,34.0,45.0,56.0,108.0,152.0,6.0,50.0,40.0,132.0,183.0,39.0,24.0
2801,0.0,5.0,19.0,2.0,1.0,10.0,20.0,57.0,23.0,190.0,12.0,11.0,7.0,18.0,6.0,127.0,36.0,8.0,87.0,3.0,28.0,39.0,30.0,4.0,29.0,34.0,16.0,22.0,59.0,44.0
2850,0.0,3.0,14.0,2.0,1.0,39.0,183.0,17.0,4.0,11.0,16.0,8.0,13.0,7.0,6.0,12.0,94.0,10.0,32.0,30.0,55.0,246.0,40.0,15.0,23.0,9.0,49.0,28.0,127.0,33.0
2899,0.0,1.0,9.0,2.0,7.0,45.0,19.0,13.0,4.0,5.0,80.0,6.0,8.0,10.0,21.0,110.0,11.0,15.0,29.0,146.0,275.0,56.0,142.0,23.0,33.0,62.0,27.0,25.0,22.0,26.0
2948,0.0,1.0,2.0,5.0,3.0,6.0,8.0,118.0,41.0,14.0,20.0,23.0,58.0,30.0,43.0,13.0,19.0,36.0,50.0,47.0,22.0,26.0,32.0,4.0,182.0,64.0,18.0,21.0,115.0,74.0
2997,0.0,1.0,14.0,10.0,6.0,23.0,2.0,41.0,197.0,3.0,27.0,4.0,18.0,19.0,20.0,5.0,38.0,123.0,29.0,133.0,34.0,12.0,48.0,8.0,25.0,54.0,56.0,35.0,86.0,33.0
3046,0.0,1.0,5.0,10.0,8.0,11.0,6.0,62.0,90.0,21.0,7.0,45.0,19.0,3.0,15.0,69.0,22.0,54.0,17.0,80.0,16.0,24.0,28.0,14.0,47.0,46.0,18.0,102.0,26.0,37.0
3095,0.0,1.0,33.0,14.0,5.0,29.0,6.0,82.0,1805.0,305.0,16.0,54.0,105.0,379.0,15.0,48.0,8.0,17.0,25.0,13.0,4.0,3.0,18.0,866.0,32.0,1079.0,10.0,19.0,205.0,36.0
3144,0.0,2.0,4.0,38.0,16.0,6.0,1.0,39.0,86.0,10.0,51.0,40.0,23.0,8.0,44.0,147.0,14.0,34.0,22.0,37.0,28.0,5.0,62.0,13.0,32.0,107.0,29.0,17.0,31.0,30.0
3193,0.0,1.0,2.0,3.0,4.0,5.0,17.0,130.0,91.0,26.0,8.0,13.0,27.0,12.0,44.0,18.0,14.0,68.0,43.0,179.0,10.0,9.0,30.0,11.0,129.0,38.0,22.0,39.0,75.0,70.0
3242,0.0,1.0,28.0,6.0,3.0,10.0,16.0,258.0,41.0,158.0,5.0,12.0,51.0,13.0,58.0,32.0,39.0,36.0,37.0,9.0,7.0,4.0,38.0,30.0,8.0,33.0,14.0,22.0,171.0,110.0
3291,0.0,1.0,10.0,3.0,4.0,5.0,2.0,113.0,42.0,21.0,48.0,35.0,55.0,135.0,6.0,18.0,96.0,12.0,23.0,49.0,8.0,15.0,25.0,13.0,37.0,14.0,22.0,26.0,34.0,29.0
3340,0.0,1.0,9.0,2.0,64.0,3.0,29.0,959.0,16.0,6.0,26.0,32.0,11.0,10.0,5.0,284.0,200.0,1279.0,17.0,24.0,7.0,76.0,126.0,43.0,56.0,346.0,71.0,203.0,383.0,34.0
3389,0.0,1.0,6.0,22.0,4.0,18.0,28.0,76.0,7.0,23.0,10.0,31.0,53.0,44.0,14.0,8.0,12.0,13.0,11.0,532.0,16.0,5.0,120.0,9.0,132.0,26.0,303.0,386.0,24.0,42.0
3438,0.0,1.0,6.0,3.0,11.0,291.0,26.0,14.0,5.0,7.0,46.0,2.0,30.0,890.0,17.0,8.0,125.0,45.0,22.0,412.0,18.0,35.0,4.0,165.0,118.0,51.0,60.0,9.0,76.0,81.0
3487,0.0,6.0,2.0,1.0,9.0,24.0,30.0,11.0,3.0,20.0,66.0,12.0,15.0,13.0,35.0,4.0,206.0,14015.0,54.0,243.0,48.0,313.0,37.0,27.0,26.0,8.0,56.0,14.0,52.0,124.0
3536,0.0,1.0,4.0,7.0,2.0,28.0,44.0,70.0,17.0,31.0,9.0,5.0,384.0,2049.0,920.0,3.0,66.0,199.0,108.0,8.0,39.0,126.0,20.0,16.0,45.0,15.0,54.0,13.0,262.0,147.0
3585,0.0,1.0,2.0,3.0,30.0,27.0,7.0,99.0,4.0,18.0,17.0,6.0,33.0,50.0,91.0,10.0,85.0,891.0,42.0,656.0,12.0,78.0,5.0,60.0,41.0,9.0,86.0,8.0,34.0,89.0
3634,0.0,2.0,3.0,1.0,9.0,20.0,121.0,34.0,4.0,18.0,72.0,32.0,29.0,48.0,58.0,5.0,278.0,902.0,26.0,239.0,23.0,116.0,38.0,40.0,45.0,12.0,4620.0,1699.0,137.0,57.0
3683,0.0,1.0,2.0,11.0,7.0,20.0,4.0,15.0,6.0,5.0,30.0,9.0,23.0,99.0,203.0,3.0,160.0,319.0,29.0,304.0,13.0,49.0,16.0,26.0,72.0,10.0,73.0,12.0,77.0,59.0
3732,0.0,1.0,4.0,5.0,2.0,36.0,12.0,18.0,3.0,13.0,14.0,15.0,84.0,53.0,567.0,7.0,26.0,29.0,25.0,471.0,22.0,113.0,35.0,20.0,58.0,11.0,33.0,6.0,406.0,39.0
3781,0.0,1.0,2.0,3.0,27.0,81.0,10.0,15.0,4.0,6.0,17.0,12.0,39.0,40.0,316.0,5.0,82.0,1719.0,70.0,562.0,11.0,104.0,8.0,222.0,35.0,7.0,107.0,14.0,170.0,88.0
3830,0.0,1.0,3.0,4.0,228.0,122.0,29.0,7.0,20.0,34.0,35.0,11.0,50.0,28.0,266.0,33.0,70.0,88.0,111.0,227.0,79.0,66.0,112.0,399.0,40.0,16.0,57.0,25.0,229.0,184.0
3879,0.0,20.0,1.0,3.0,240.0,78.0,2.0,13.0,6.0,5.0,17.0,8.0,47.0,90.0,399.0,59.0,293.0,5505.0,18.0,598.0,283.0,31.0,10.0,1121.0,140.0,89.0,93.0,15.0,232.0,124.0
3928,0.0,1.0,2.0,25.0,35.0,13.0,15.0,16.0,173.0,34.0,26.0,329.0,57.0,10.0,516.0,65.0,94.0,794.0,63.0,11.0,53.0,39.0,111.0,102.0,49.0,5.0,259.0,1999.0,27.0,52.0
3977,0.0,1.0,4.0,31.0,3.0,2.0,16.0,234.0,250.0,47.0,57.0,231.0,52.0,7.0,920.0,68.0,56.0,80.0,44.0,48.0,21.0,70.0,71.0,6.0,50.0,12.0,148.0,263.0,11.0,120.0
4026,0.0,4.0,1.0,9.0,2.0,20.0,39.0,58.0,200.0,49.0,25.0,393.0,164.0,48.0,1399.0,30.0,106.0,22.0,199.0,6.0,208.0,45.0,32.0,23.0,21.0,46.0,141.0,117.0,57.0,137.0
4075,0.0,1.0,13.0,14.0,12.0,231.0,35.0,23.0,183.0,52.0,69.0,29.0,53.0,577.0,133.0,59.0,96.0,4.0,155.0,83.0,7.0,6.0,46.0,190.0,50.0,101.0,210.0,276.0,19.0,45.0
4124,0.0,1.0,4.0,3.0,21.0,29.0,37.0,12.0,41.0,8.0,50.0,16.0,45.0,58.0,1615.0,303.0,1064.0,361.0,62.0,140.0,61.0,24.0,10.0,102.0,17.0,7.0,357.0,410.0,86.0,154.0
4173,0.0,1.0,3.0,2.0,27.0,8.0,70.0,10.0,6.0,39.0,81.0,24.0,34.0,17.0,131.0,498.0,48.0,9679.0,65.0,15.0,37.0,80.0,139.0,213.0,55.0,78.0,271.0,184.0,30.0,66.0
4222,0.0,1.0,3.0,8.0,26.0,79.0,505.0,25.0,162.0,59.0,30.0,85.0,63.0,12.0,10791.0,230.0,29.0,128.0,67.0,127.0,10.0,47.0,366.0,24.0,43.0,37.0,9756.0,2451.0,62.0,122.0
4271,0.0,1.0,2.0,6.0,12.0,8.0,59.0,25.0,24.0,30.0,9.0,84.0,152.0,5.0,320.0,13.0,22.0,88.0,82.0,14.0,3.0,54.0,210.0,33.0,90.0,11.0,285.0,141.0,92.0,52.0
4320,0.0,1.0,3.0,11.0,19.0,8.0,18.0,22.0,99.0,30.0,7.0,68.0,175.0,84.0,491.0,16.0,59.0,177.0,108.0,55.0,13.0,4.0,206.0,51.0,12.0,15.0,266.0,277.0,25.0,109.0
4369,0.0,2.0,12.0,40.0,29.0,9.0,591.0,16.0,142.0,72.0,41.0,970.0,23.0,1.0,43.0,37.0,104.0,5.0,73.0,6.0,280.0,24.0,266.0,1035.0,28.0,3.0,347.0,264.0,527.0,56.0
4418,0.0,2.0,29.0,8.0,12.0,89.0,7.0,40.0,4.0,17.0,11.0,3.0,795.0,3638.0,5.0,35.0,23.0,1.0,15.0,10.0,16.0,27.0,51.0,103.0,44.0,707.0,26.0,6.0,30.0,111.0
4467,0.0,1.0,11.0,3.0,9.0,2.0,37.0,5176.0,4.0,22.0,7.0,44.0,557.0,58.0,5.0,15.0,181.0,16.0,12.0,6.0,43.0,64.0,944.0,10.0,8.0,59.0,36.0,151.0,21.0,180.0
4516,0.0,1.0,2.0,11.0,27.0,3.0,7.0,90.0,19.0,5.0,4.0,186.0,294.0,17.0,217.0,9.0,151.0,10.0,21.0,15.0,110.0,50.0,232.0,81.0,32.0,31.0,8.0,41.0,29.0,52.0
4565,0.0,1.0,4.0,12.0,8.0,5.0,7.0,86.0,6.0,3.0,2.0,9.0,767.0,794.0,112.0,11.0,199.0,13.0,10.0,43.0,31.0,26.0,290.0,25.0,51.0,30.0,16.0,17.0,15.0,113.0
4614,0.0,2.0,5.0,1.0,20.0,4.0,8.0,106.0,6.0,32.0,7.0,12.0,469.0,81.0,64.0,37.0,62.0,148.0,29.0,14.0,18.0,45.0,281.0,482.0,25.0,1432.0,10.0,15.0,55.0,216.0
4663,0.0,1.0,10.0,7.0,13.0,14.0,3.0,69.0,8.0,17.0,6.0,11.0,89.0,55.0,46.0,111.0,23.0,2.0,22.0,5.0,72.0,18.0,277.0,60.0,9.0,405.0,15.0,12.0,19.0,102.0
4712,0.0,5.0,4.0,2.0,1.0,13.0,164.0,191.0,24.0,26.0,7.0,3.0,162.0,244.0,113.0,25.0,31.0,14.0,65.0,6.0,44.0,129.0,200.0,8.0,93.0,178.0,11.0,23.0,64.0,231.0
4761,0.0,1.0,7.0,2.0,8.0,5.0,10.0,59.0,6.0,11.0,4.0,9.0,387.0,62.0,48.0,33.0,185.0,3.0,25.0,16.0,37.0,23.0,148.0,40.0,13.0,104.0,12.0,15.0,17.0,153.0
4810,0.0,3.0,10.0,4.0,2.0,7.0,15.0,117.0,1.0,26.0,5.0,18.0,261.0,197.0,35.0,34.0,56.0,8.0,16.0,9.0,44.0,53.0,125.0,47.0,33.0,579.0,37.0,40.0,17.0,138.0
4859,0.0,1.0,20.0,4.0,84.0,16.0,69.0,55.0,11.0,22.0,3.0,56.0,1235.0,12.0,23.0,50.0,83.0,2.0,53.0,6.0,24.0,9.0,279.0,542.0,8.0,58.0,17.0,19.0,73.0,533.0
