,ZNF490_DEL,MTAP_DEL,GLI3_MUT,DEFB109P1_DEL,PRAMEF2_DEL,AXDND1_AMP,FLT3_MUT,JAK2_AMP,NRAS_MUT,DACH2_DEL,DPP6_DEL,APBA1_AMP,CERS6_DEL,ZMAT4_DEL,AFF2_DEL,C9orf53_DEL,ADARB2_DEL,GLIS3_DEL,FGF1_AMP,LOC729737_DEL,C1orf227_DEL,ETS1_DEL,PRKCE_DEL,LRRC37A_AMP,PLD1_MUT,INSRR_MUT,ZDHHC11_DEL,CDKN2B_DEL,RGL2_MUT,LCE1E_DEL
3066,0.0,405.0,62.0,957.0,153.0,6.0,32.0,347.0,5271.0,10.0,263.0,29.0,1115.0,96.0,2.0,11000.0,21264.0,1438.0,71.0,8754.0,186.0,5369.0,82.0,1380.0,371.0,738.0,7531.0,21180.0,18801.0,4669.0
3115,0.0,2700.0,51.0,6.0,247.0,1330.0,64.0,369.0,1040.0,40.0,557.0,38.0,77.0,57.0,108.0,1329.0,289.0,6621.0,9.0,115.0,76.0,2653.0,8.0,23395.0,100.0,21.0,2131.0,985.0,676.0,177.0
3164,119.0,1535.0,16444.0,261.0,751.0,107.0,23.0,14988.0,7.0,181.0,475.0,44.0,182.0,1306.0,399.0,744.0,21101.0,707.0,108.0,386.0,0.0,5200.0,166.0,551.0,16476.0,239.0,106.0,21011.0,16987.0,3571.0
3213,0.0,35.0,5.0,523.0,11949.0,119.0,70.0,1361.0,16512.0,207.0,4597.0,104.0,6957.0,3.0,6669.0,188.0,10.0,64.0,625.0,1569.0,1855.0,4911.0,1.0,97.0,395.0,33.0,405.0,884.0,950.0,869.0
3262,3.0,620.0,16414.0,2365.0,667.0,255.0,16627.0,501.0,559.0,6.0,787.0,13276.0,51.0,10.0,84.0,347.0,21053.0,6563.0,324.0,30.0,1407.0,2634.0,642.0,62.0,669.0,275.0,503.0,2718.0,16968.0,174.0
3311,0.0,37.0,346.0,175.0,11948.0,1078.0,15.0,15130.0,16537.0,5.0,1468.0,21.0,52.0,271.0,14.0,11403.0,21102.0,4764.0,901.0,2302.0,11.0,5094.0,12365.0,19578.0,287.0,203.0,1604.0,21014.0,662.0,3989.0
3360,2.0,10.0,61.0,6614.0,7809.0,720.0,73.0,513.0,117.0,64.0,5681.0,13.0,5.0,9003.0,89.0,756.0,21100.0,5163.0,2129.0,10137.0,451.0,98.0,11895.0,107.0,47.0,25.0,9120.0,1004.0,1489.0,380.0
3409,8.0,4.0,2.0,806.0,11798.0,458.0,788.0,774.0,110.0,20561.0,2639.0,830.0,534.0,297.0,5.0,2186.0,21065.0,1.0,13613.0,8333.0,2789.0,878.0,12332.0,19707.0,783.0,407.0,7383.0,20971.0,20.0,171.0
3458,464.0,117.0,1624.0,1087.0,0.0,4.0,16628.0,15069.0,689.0,20511.0,776.0,1.0,6886.0,1164.0,6641.0,1234.0,725.0,4514.0,767.0,2295.0,393.0,122.0,12439.0,746.0,547.0,16373.0,138.0,2762.0,16889.0,576.0
3507,6.0,1387.0,38.0,37.0,0.0,3.0,16641.0,15110.0,9.0,11.0,959.0,207.0,6929.0,40.0,8.0,4.0,56.0,1560.0,13610.0,84.0,2.0,27.0,111.0,1213.0,16461.0,1029.0,1951.0,128.0,1200.0,3912.0
3556,276.0,15.0,1347.0,2455.0,39.0,18195.0,16676.0,1016.0,2.0,20590.0,46.0,398.0,7.0,1063.0,1126.0,10.0,862.0,24.0,51.0,342.0,1896.0,1.0,809.0,1454.0,16492.0,16470.0,1005.0,1137.0,445.0,4028.0
3605,2.0,529.0,2727.0,20.0,85.0,1279.0,16624.0,321.0,226.0,20531.0,124.0,13286.0,21.0,7355.0,494.0,73.0,21060.0,4517.0,13611.0,80.0,36.0,25.0,766.0,1969.0,16481.0,16364.0,8.0,20970.0,28.0,1.0
3654,0.0,1580.0,807.0,40.0,28.0,106.0,1573.0,611.0,5.0,494.0,179.0,13301.0,222.0,152.0,6648.0,2026.0,21121.0,380.0,173.0,83.0,608.0,115.0,175.0,259.0,16497.0,612.0,104.0,2257.0,822.0,1431.0
3703,14.0,497.0,16434.0,61.0,276.0,6.0,16648.0,580.0,349.0,20595.0,2602.0,1.0,6046.0,7397.0,5748.0,2770.0,2245.0,5.0,13610.0,196.0,177.0,44.0,734.0,2361.0,16484.0,794.0,1331.0,21035.0,16972.0,1282.0
3752,3.0,2615.0,585.0,22.0,11940.0,34.0,16658.0,12.0,25.0,1813.0,4588.0,15196.0,54.0,115.0,83.0,38.0,156.0,105.0,1600.0,1.0,406.0,4848.0,660.0,19690.0,16499.0,49.0,80.0,2698.0,16968.0,916.0
