,GANGLIA,HAEMATOPOIETIC,STOMACH,PANCREAS,BREAST,OVARY,OESOPHAGUS,LUNG,SKIN,LARGE_INTESTINE,LIVER,URINARY,NERVOUS,AERODIGESTIVE,PROSTATE,PLEURA,BONE,SALIVARY,SOFT_TISSUE,THYROID,KIDNEY,ENDOMETRIUM,BILIARY
537,0.0,3.0,2.0,6.0,4.0,5.0,7.0,10.0,8.0,12.0,13.0,9.0,11.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,21.0,22.0
586,13.0,1.0,2.0,3.0,6.0,4.0,5.0,7.0,9.0,12.0,11.0,8.0,10.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,21.0,22.0
635,0.0,2.0,1.0,3.0,4.0,6.0,5.0,7.0,10.0,8.0,12.0,11.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
684,1.0,2.0,3.0,4.0,5.0,7.0,6.0,9.0,8.0,10.0,13.0,11.0,12.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,21.0,22.0
733,1.0,3.0,5.0,6.0,8.0,11.0,7.0,10.0,9.0,2.0,16.0,4.0,12.0,13.0,14.0,15.0,0.0,17.0,18.0,19.0,20.0,21.0,22.0
782,0.0,2.0,5.0,4.0,6.0,7.0,8.0,9.0,12.0,10.0,16.0,3.0,11.0,13.0,14.0,15.0,1.0,17.0,18.0,19.0,20.0,21.0,22.0
831,1.0,2.0,3.0,4.0,5.0,6.0,8.0,11.0,7.0,9.0,13.0,10.0,12.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,21.0,22.0
880,0.0,1.0,3.0,4.0,5.0,2.0,7.0,10.0,9.0,6.0,16.0,8.0,11.0,12.0,14.0,21.0,15.0,17.0,18.0,19.0,20.0,13.0,22.0
929,0.0,1.0,2.0,4.0,5.0,3.0,6.0,7.0,10.0,8.0,16.0,9.0,11.0,12.0,14.0,21.0,15.0,17.0,18.0,19.0,20.0,13.0,22.0
978,0.0,1.0,2.0,3.0,9.0,8.0,6.0,4.0,7.0,5.0,12.0,10.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1027,13.0,1.0,3.0,4.0,11.0,7.0,5.0,8.0,10.0,6.0,2.0,12.0,9.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,21.0,22.0
1076,0.0,2.0,3.0,5.0,6.0,8.0,7.0,9.0,12.0,4.0,10.0,13.0,11.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,21.0,22.0
1125,0.0,1.0,2.0,3.0,4.0,6.0,5.0,9.0,11.0,7.0,10.0,12.0,8.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1174,13.0,1.0,3.0,2.0,4.0,10.0,8.0,9.0,12.0,5.0,11.0,6.0,7.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,21.0,22.0
1223,0.0,3.0,2.0,4.0,6.0,5.0,8.0,7.0,10.0,12.0,11.0,13.0,9.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,21.0,22.0
1272,0.0,2.0,3.0,5.0,8.0,7.0,6.0,12.0,10.0,4.0,11.0,13.0,9.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,21.0,22.0
1321,13.0,1.0,3.0,4.0,6.0,5.0,7.0,10.0,9.0,2.0,12.0,11.0,8.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,21.0,22.0
1370,12.0,0.0,2.0,1.0,5.0,3.0,4.0,7.0,9.0,6.0,8.0,10.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1419,0.0,3.0,2.0,9.0,5.0,4.0,7.0,10.0,8.0,6.0,12.0,13.0,11.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,21.0,22.0
1468,0.0,2.0,3.0,5.0,6.0,7.0,9.0,8.0,10.0,13.0,4.0,12.0,11.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,21.0,22.0
1517,0.0,2.0,1.0,4.0,10.0,8.0,7.0,6.0,9.0,3.0,5.0,20.0,11.0,12.0,14.0,21.0,15.0,16.0,17.0,18.0,19.0,13.0,22.0
1566,0.0,1.0,4.0,5.0,8.0,9.0,2.0,6.0,10.0,7.0,3.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1615,0.0,1.0,2.0,3.0,6.0,9.0,7.0,5.0,11.0,4.0,16.0,10.0,8.0,12.0,14.0,21.0,15.0,17.0,18.0,19.0,20.0,13.0,22.0
1664,0.0,1.0,4.0,2.0,7.0,11.0,8.0,6.0,9.0,5.0,3.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1713,0.0,1.0,4.0,2.0,9.0,7.0,8.0,6.0,11.0,5.0,3.0,12.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1762,12.0,1.0,3.0,2.0,8.0,6.0,7.0,5.0,4.0,9.0,0.0,10.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1811,0.0,2.0,1.0,4.0,11.0,8.0,7.0,5.0,9.0,6.0,3.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1860,0.0,1.0,4.0,6.0,8.0,9.0,3.0,7.0,10.0,5.0,2.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1909,0.0,1.0,3.0,2.0,9.0,7.0,10.0,6.0,8.0,5.0,4.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1958,0.0,2.0,3.0,4.0,6.0,7.0,8.0,10.0,9.0,5.0,1.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2007,0.0,1.0,5.0,6.0,2.0,4.0,7.0,8.0,3.0,10.0,9.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2056,13.0,1.0,3.0,4.0,6.0,9.0,10.0,5.0,8.0,7.0,11.0,2.0,12.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,21.0,22.0
2105,0.0,2.0,9.0,4.0,5.0,11.0,8.0,7.0,6.0,13.0,3.0,12.0,10.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,21.0,22.0
2154,0.0,1.0,9.0,5.0,3.0,6.0,8.0,7.0,4.0,10.0,2.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2203,0.0,1.0,3.0,6.0,2.0,5.0,10.0,7.0,4.0,12.0,9.0,11.0,8.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2252,13.0,2.0,1.0,5.0,3.0,6.0,7.0,8.0,4.0,10.0,9.0,12.0,11.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,21.0,22.0
2301,0.0,2.0,6.0,3.0,4.0,5.0,9.0,7.0,8.0,12.0,10.0,13.0,11.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,21.0,22.0
2350,13.0,1.0,3.0,6.0,2.0,5.0,7.0,9.0,4.0,10.0,8.0,12.0,11.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,21.0,22.0
2399,0.0,1.0,3.0,6.0,4.0,2.0,9.0,8.0,5.0,10.0,7.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2448,0.0,3.0,2.0,4.0,5.0,8.0,7.0,6.0,9.0,13.0,10.0,12.0,11.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,21.0,22.0
2497,1.0,2.0,4.0,9.0,5.0,6.0,8.0,10.0,7.0,13.0,3.0,11.0,12.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,21.0,22.0
2546,13.0,1.0,3.0,5.0,4.0,7.0,2.0,8.0,6.0,12.0,9.0,11.0,10.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,21.0,22.0
2595,1.0,2.0,4.0,5.0,3.0,7.0,6.0,10.0,9.0,12.0,8.0,13.0,11.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,21.0,22.0
2644,0.0,1.0,3.0,6.0,4.0,7.0,5.0,10.0,9.0,8.0,2.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2693,0.0,1.0,2.0,5.0,7.0,6.0,3.0,4.0,10.0,12.0,8.0,9.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2742,0.0,2.0,1.0,3.0,5.0,6.0,4.0,9.0,7.0,10.0,8.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2791,0.0,3.0,2.0,4.0,5.0,7.0,6.0,8.0,9.0,12.0,10.0,11.0,13.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,21.0,22.0
2840,1.0,2.0,6.0,4.0,3.0,5.0,10.0,11.0,7.0,12.0,8.0,13.0,9.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,21.0,22.0
2889,1.0,2.0,3.0,4.0,5.0,9.0,8.0,10.0,7.0,6.0,11.0,13.0,12.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,21.0,22.0
2938,0.0,1.0,2.0,6.0,3.0,5.0,8.0,10.0,4.0,11.0,7.0,9.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2987,0.0,2.0,3.0,4.0,5.0,1.0,10.0,9.0,7.0,6.0,8.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3036,0.0,2.0,1.0,4.0,5.0,7.0,3.0,8.0,6.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3085,12.0,1.0,2.0,3.0,0.0,5.0,6.0,10.0,9.0,4.0,8.0,11.0,7.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3134,0.0,1.0,2.0,3.0,4.0,5.0,6.0,9.0,11.0,12.0,7.0,8.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3183,0.0,1.0,3.0,2.0,4.0,5.0,6.0,9.0,7.0,11.0,8.0,12.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3232,12.0,0.0,2.0,1.0,4.0,3.0,7.0,9.0,5.0,6.0,8.0,11.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3281,0.0,1.0,2.0,4.0,3.0,5.0,6.0,9.0,8.0,7.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3330,0.0,1.0,3.0,5.0,6.0,8.0,2.0,9.0,4.0,7.0,10.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3379,12.0,0.0,1.0,2.0,3.0,5.0,8.0,9.0,6.0,4.0,7.0,11.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3428,0.0,1.0,3.0,9.0,4.0,5.0,8.0,10.0,7.0,6.0,2.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3477,12.0,0.0,1.0,3.0,4.0,5.0,6.0,8.0,7.0,10.0,2.0,9.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3526,0.0,2.0,1.0,3.0,4.0,8.0,9.0,10.0,6.0,11.0,7.0,12.0,5.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3575,0.0,1.0,8.0,3.0,2.0,5.0,4.0,11.0,7.0,10.0,6.0,12.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3624,0.0,1.0,2.0,3.0,4.0,7.0,5.0,9.0,8.0,12.0,6.0,11.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3673,12.0,0.0,3.0,2.0,4.0,5.0,6.0,7.0,9.0,8.0,1.0,10.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3722,0.0,1.0,3.0,4.0,5.0,6.0,9.0,8.0,10.0,11.0,7.0,2.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3771,0.0,1.0,2.0,3.0,6.0,5.0,4.0,7.0,8.0,9.0,10.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3820,12.0,0.0,1.0,2.0,6.0,3.0,8.0,7.0,4.0,11.0,5.0,10.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3869,0.0,1.0,8.0,3.0,2.0,5.0,6.0,7.0,9.0,11.0,4.0,12.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3918,0.0,1.0,2.0,3.0,5.0,4.0,8.0,7.0,6.0,9.0,10.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3967,13.0,1.0,11.0,10.0,2.0,5.0,4.0,7.0,3.0,12.0,6.0,8.0,9.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,21.0,22.0
4016,0.0,3.0,2.0,8.0,4.0,5.0,6.0,7.0,11.0,13.0,10.0,12.0,9.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,21.0,22.0
4065,0.0,1.0,20.0,7.0,2.0,4.0,6.0,8.0,5.0,10.0,3.0,11.0,9.0,12.0,14.0,21.0,15.0,16.0,17.0,18.0,19.0,13.0,22.0
4114,13.0,1.0,11.0,3.0,2.0,4.0,5.0,9.0,6.0,8.0,7.0,12.0,10.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,21.0,22.0
4163,0.0,2.0,20.0,10.0,4.0,3.0,5.0,6.0,7.0,8.0,9.0,11.0,12.0,13.0,14.0,15.0,1.0,16.0,17.0,18.0,19.0,21.0,22.0
4212,13.0,1.0,8.0,10.0,2.0,3.0,5.0,9.0,4.0,11.0,6.0,12.0,7.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,21.0,22.0
4261,11.0,0.0,20.0,6.0,2.0,4.0,5.0,7.0,3.0,8.0,1.0,10.0,9.0,12.0,14.0,21.0,15.0,16.0,17.0,18.0,19.0,13.0,22.0
4310,0.0,2.0,13.0,12.0,3.0,4.0,8.0,11.0,5.0,9.0,6.0,10.0,7.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,21.0,22.0
4359,0.0,2.0,10.0,12.0,4.0,6.0,3.0,8.0,5.0,9.0,7.0,13.0,11.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,21.0,22.0
4408,0.0,1.0,10.0,9.0,2.0,5.0,3.0,8.0,6.0,11.0,4.0,12.0,7.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4457,0.0,2.0,5.0,10.0,6.0,3.0,7.0,12.0,8.0,9.0,4.0,13.0,11.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,21.0,22.0
4506,0.0,1.0,3.0,5.0,2.0,7.0,6.0,9.0,4.0,8.0,16.0,11.0,10.0,12.0,14.0,21.0,15.0,17.0,18.0,19.0,20.0,13.0,22.0
4555,0.0,1.0,2.0,4.0,6.0,9.0,7.0,5.0,8.0,3.0,16.0,11.0,10.0,12.0,14.0,21.0,15.0,17.0,18.0,19.0,20.0,13.0,22.0
4604,0.0,1.0,2.0,3.0,6.0,7.0,8.0,10.0,9.0,5.0,4.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4653,1.0,2.0,5.0,7.0,10.0,4.0,11.0,8.0,9.0,6.0,3.0,20.0,12.0,13.0,14.0,15.0,0.0,16.0,17.0,18.0,19.0,21.0,22.0
4702,0.0,2.0,6.0,5.0,3.0,11.0,10.0,8.0,9.0,12.0,4.0,13.0,7.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,21.0,22.0
4751,0.0,2.0,4.0,5.0,7.0,9.0,10.0,11.0,6.0,8.0,3.0,13.0,12.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,21.0,22.0
4800,1.0,3.0,2.0,5.0,6.0,10.0,7.0,11.0,12.0,8.0,4.0,13.0,9.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,21.0,22.0
4849,13.0,1.0,4.0,3.0,5.0,10.0,6.0,9.0,7.0,8.0,2.0,12.0,11.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,21.0,22.0
4898,1.0,3.0,2.0,6.0,7.0,11.0,12.0,8.0,9.0,5.0,4.0,13.0,10.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,21.0,22.0
