,alpha-Catenin,CD49b,VEGFR2,beta-Catenin,Caveolin-1,YAP_pS127,Paxillin,Chk2,RAD51,Chk1_pS345,Fibronectin,PAI-1,MSH6,Bcl-2,Transglutaminase,EGFR,C-Raf(MP05-739),Akt,Cyclin_E2,HER3,c-Myc,Rb_pS807_S811,C-Raf(BD610151),IRS1,p62 Lck ligand,Cyclin_D1,c-Jun_pS73,VAV1,TAZ,FoxM1
1813,0.0,3.0,14.0,6.0,1.0,49.0,11.0,34.0,118.0,10.0,20.0,7.0,5.0,45.0,36.0,15.0,26.0,2.0,114.0,39.0,116.0,27.0,12.0,22.0,9.0,17.0,13.0,8.0,71.0,55.0
1862,2.0,3.0,11.0,15.0,1.0,6.0,5.0,54.0,91.0,30.0,0.0,7.0,13.0,8.0,12.0,52.0,59.0,9.0,134.0,79.0,19.0,73.0,115.0,4.0,20.0,48.0,24.0,14.0,80.0,40.0
1911,1.0,6.0,3.0,11.0,0.0,4.0,7.0,97.0,37.0,23.0,5.0,10.0,18.0,9.0,28.0,42.0,92.0,2.0,84.0,138.0,44.0,14.0,19.0,26.0,13.0,21.0,51.0,12.0,88.0,22.0
1960,10.0,9.0,4.0,3.0,5.0,12.0,19.0,0.0,20.0,2.0,8.0,1.0,6.0,7.0,16.0,35.0,21.0,103.0,17.0,43.0,88.0,13.0,29.0,41.0,39.0,25.0,18.0,23.0,11.0,62.0
2009,1.0,4.0,100.0,5.0,10.0,56.0,18.0,0.0,6.0,2.0,23.0,12.0,26.0,31.0,50.0,11.0,14.0,3.0,34.0,25.0,61.0,13.0,107.0,154.0,51.0,45.0,52.0,39.0,15.0,142.0
2058,19.0,0.0,6.0,10.0,7.0,1.0,3.0,11.0,48.0,12.0,44.0,4.0,46.0,8.0,5.0,2.0,68.0,16.0,60.0,29.0,90.0,25.0,40.0,119.0,71.0,13.0,14.0,33.0,32.0,36.0
2107,6.0,3.0,4.0,5.0,13.0,7.0,15.0,2.0,20.0,1.0,10.0,9.0,14.0,0.0,24.0,12.0,19.0,54.0,16.0,58.0,34.0,73.0,37.0,38.0,22.0,18.0,30.0,25.0,17.0,40.0
2156,13.0,23.0,0.0,8.0,11.0,6.0,18.0,2.0,15.0,12.0,47.0,3.0,4.0,1.0,37.0,5.0,30.0,7.0,25.0,51.0,63.0,14.0,93.0,90.0,16.0,44.0,32.0,41.0,20.0,28.0
2205,2.0,37.0,4.0,40.0,27.0,13.0,1.0,12.0,0.0,24.0,59.0,6.0,3.0,25.0,76.0,62.0,5.0,7.0,15.0,93.0,17.0,114.0,11.0,57.0,21.0,32.0,69.0,72.0,35.0,67.0
2254,1.0,26.0,18.0,56.0,0.0,13.0,3.0,6.0,24.0,7.0,29.0,2.0,20.0,25.0,93.0,5.0,10.0,62.0,42.0,27.0,104.0,124.0,12.0,101.0,19.0,16.0,4.0,63.0,9.0,34.0
2303,0.0,56.0,7.0,79.0,6.0,13.0,12.0,1.0,81.0,4.0,58.0,33.0,22.0,8.0,50.0,37.0,2.0,16.0,15.0,43.0,119.0,105.0,49.0,101.0,39.0,26.0,5.0,23.0,11.0,48.0
2352,5.0,2.0,3.0,21.0,8.0,47.0,7.0,20.0,9.0,1.0,31.0,4.0,12.0,6.0,16.0,0.0,41.0,10.0,24.0,13.0,38.0,15.0,30.0,48.0,11.0,33.0,17.0,106.0,27.0,56.0
2401,1.0,3.0,4.0,19.0,9.0,24.0,16.0,2.0,8.0,0.0,38.0,53.0,13.0,7.0,25.0,12.0,6.0,18.0,35.0,64.0,26.0,34.0,10.0,29.0,11.0,75.0,44.0,65.0,68.0,46.0
2450,14.0,0.0,13.0,4.0,12.0,3.0,2.0,16.0,8.0,45.0,18.0,43.0,1.0,89.0,19.0,64.0,9.0,6.0,10.0,11.0,15.0,26.0,33.0,49.0,7.0,66.0,128.0,102.0,5.0,38.0
2499,24.0,0.0,25.0,12.0,6.0,2.0,1.0,62.0,3.0,46.0,18.0,26.0,15.0,68.0,75.0,10.0,14.0,11.0,132.0,21.0,4.0,45.0,17.0,28.0,47.0,16.0,7.0,32.0,131.0,70.0
2548,53.0,5.0,11.0,2.0,10.0,13.0,1.0,4.0,3.0,0.0,25.0,33.0,31.0,122.0,23.0,9.0,19.0,8.0,144.0,30.0,79.0,89.0,59.0,17.0,35.0,24.0,41.0,70.0,80.0,68.0
2597,16.0,1.0,26.0,38.0,33.0,7.0,0.0,51.0,3.0,18.0,10.0,11.0,15.0,9.0,25.0,30.0,27.0,2.0,19.0,14.0,98.0,32.0,92.0,39.0,17.0,46.0,143.0,80.0,45.0,104.0
2646,4.0,0.0,2.0,9.0,5.0,12.0,7.0,42.0,8.0,14.0,22.0,17.0,96.0,1.0,13.0,65.0,23.0,16.0,58.0,36.0,10.0,51.0,11.0,29.0,20.0,6.0,50.0,98.0,140.0,106.0
2695,1.0,0.0,11.0,3.0,20.0,9.0,13.0,29.0,4.0,5.0,50.0,104.0,22.0,2.0,8.0,16.0,35.0,86.0,7.0,10.0,30.0,6.0,48.0,19.0,60.0,23.0,96.0,93.0,138.0,42.0
2744,12.0,1.0,6.0,9.0,11.0,3.0,0.0,23.0,42.0,54.0,10.0,20.0,4.0,33.0,118.0,7.0,63.0,19.0,5.0,29.0,93.0,26.0,8.0,37.0,58.0,18.0,2.0,55.0,46.0,22.0
2793,4.0,0.0,19.0,36.0,2.0,8.0,1.0,17.0,35.0,13.0,6.0,12.0,31.0,22.0,83.0,21.0,64.0,67.0,24.0,91.0,32.0,51.0,89.0,3.0,58.0,10.0,121.0,53.0,18.0,23.0
2842,9.0,3.0,12.0,18.0,16.0,1.0,0.0,23.0,4.0,25.0,5.0,99.0,22.0,37.0,62.0,38.0,2.0,54.0,40.0,17.0,39.0,49.0,6.0,28.0,7.0,68.0,104.0,57.0,101.0,21.0
2891,1.0,0.0,159.0,3.0,12.0,2.0,7.0,19.0,23.0,4.0,18.0,84.0,15.0,27.0,86.0,13.0,101.0,28.0,6.0,11.0,9.0,60.0,30.0,45.0,5.0,16.0,64.0,36.0,43.0,17.0
2940,0.0,2.0,6.0,7.0,12.0,17.0,15.0,45.0,134.0,20.0,8.0,9.0,42.0,21.0,1.0,10.0,98.0,90.0,24.0,30.0,11.0,77.0,16.0,18.0,4.0,25.0,28.0,3.0,114.0,23.0
2989,0.0,2.0,14.0,5.0,3.0,7.0,6.0,17.0,21.0,29.0,9.0,15.0,33.0,32.0,1.0,10.0,65.0,100.0,103.0,36.0,31.0,38.0,30.0,24.0,23.0,46.0,13.0,27.0,161.0,35.0
3038,0.0,1.0,11.0,10.0,9.0,3.0,2.0,27.0,45.0,66.0,7.0,14.0,17.0,12.0,4.0,23.0,35.0,49.0,76.0,13.0,32.0,77.0,36.0,99.0,15.0,38.0,61.0,19.0,20.0,21.0
3087,0.0,1.0,11.0,6.0,3.0,8.0,50.0,17.0,24.0,37.0,5.0,4.0,14.0,39.0,18.0,29.0,20.0,147.0,83.0,12.0,9.0,16.0,40.0,45.0,7.0,21.0,86.0,2.0,35.0,55.0
3136,1.0,0.0,40.0,3.0,2.0,5.0,27.0,16.0,23.0,11.0,7.0,9.0,28.0,24.0,14.0,13.0,49.0,63.0,41.0,20.0,22.0,59.0,25.0,60.0,17.0,142.0,38.0,4.0,12.0,21.0
3185,1.0,0.0,6.0,8.0,2.0,4.0,18.0,15.0,12.0,31.0,3.0,27.0,21.0,29.0,5.0,16.0,45.0,33.0,26.0,46.0,20.0,30.0,36.0,96.0,10.0,38.0,85.0,11.0,24.0,19.0
3234,1.0,0.0,17.0,30.0,12.0,5.0,7.0,4.0,6.0,9.0,3.0,18.0,32.0,19.0,16.0,42.0,71.0,14.0,74.0,26.0,21.0,27.0,147.0,39.0,23.0,43.0,20.0,11.0,15.0,44.0
3283,0.0,1.0,7.0,2.0,3.0,8.0,31.0,10.0,29.0,13.0,15.0,30.0,23.0,4.0,21.0,20.0,9.0,40.0,32.0,26.0,17.0,16.0,100.0,82.0,19.0,18.0,78.0,5.0,34.0,77.0
3332,8.0,2.0,1.0,18.0,0.0,17.0,9.0,6.0,19.0,83.0,13.0,21.0,14.0,24.0,12.0,3.0,88.0,50.0,71.0,10.0,27.0,45.0,37.0,28.0,25.0,20.0,22.0,5.0,52.0,56.0
3381,2.0,13.0,5.0,3.0,7.0,10.0,16.0,1.0,38.0,0.0,6.0,8.0,4.0,27.0,22.0,15.0,31.0,35.0,21.0,51.0,19.0,48.0,26.0,24.0,12.0,30.0,11.0,17.0,40.0,71.0
3430,0.0,21.0,3.0,5.0,4.0,16.0,13.0,75.0,14.0,6.0,18.0,1.0,7.0,2.0,50.0,33.0,19.0,35.0,15.0,39.0,23.0,8.0,83.0,47.0,37.0,27.0,24.0,9.0,102.0,40.0
3479,2.0,15.0,0.0,5.0,1.0,12.0,9.0,104.0,26.0,6.0,40.0,25.0,56.0,7.0,14.0,27.0,13.0,135.0,3.0,21.0,17.0,10.0,156.0,16.0,37.0,30.0,22.0,54.0,24.0,44.0
3528,1.0,5.0,3.0,7.0,0.0,11.0,24.0,9.0,42.0,37.0,33.0,8.0,17.0,2.0,10.0,16.0,70.0,65.0,21.0,12.0,35.0,45.0,58.0,6.0,110.0,4.0,20.0,13.0,59.0,28.0
3577,0.0,18.0,21.0,2.0,3.0,8.0,12.0,22.0,6.0,4.0,97.0,1.0,37.0,73.0,55.0,9.0,10.0,23.0,24.0,14.0,19.0,15.0,27.0,17.0,49.0,52.0,5.0,20.0,40.0,16.0
3626,1.0,13.0,0.0,14.0,3.0,34.0,2.0,18.0,8.0,4.0,15.0,6.0,9.0,29.0,30.0,33.0,23.0,5.0,20.0,22.0,47.0,67.0,10.0,25.0,82.0,63.0,36.0,38.0,99.0,19.0
3675,0.0,5.0,6.0,4.0,7.0,28.0,12.0,16.0,3.0,40.0,17.0,1.0,2.0,35.0,45.0,55.0,20.0,19.0,13.0,36.0,25.0,30.0,31.0,46.0,39.0,49.0,11.0,91.0,54.0,122.0
3724,2.0,3.0,17.0,1.0,0.0,26.0,21.0,24.0,7.0,4.0,8.0,14.0,28.0,10.0,18.0,35.0,13.0,29.0,70.0,9.0,27.0,6.0,23.0,19.0,84.0,41.0,34.0,32.0,71.0,20.0
3773,2.0,0.0,8.0,11.0,7.0,33.0,6.0,10.0,1.0,5.0,69.0,3.0,9.0,57.0,26.0,17.0,13.0,55.0,22.0,29.0,31.0,51.0,39.0,18.0,87.0,81.0,4.0,86.0,65.0,21.0
3822,0.0,1.0,6.0,12.0,16.0,21.0,19.0,11.0,3.0,5.0,23.0,9.0,10.0,32.0,63.0,2.0,24.0,47.0,4.0,8.0,27.0,79.0,15.0,66.0,111.0,31.0,14.0,22.0,110.0,13.0
3871,0.0,1.0,2.0,19.0,27.0,23.0,29.0,8.0,6.0,7.0,13.0,18.0,14.0,11.0,60.0,4.0,61.0,32.0,9.0,108.0,12.0,112.0,139.0,52.0,69.0,31.0,16.0,15.0,42.0,20.0
3920,1.0,0.0,11.0,17.0,26.0,27.0,14.0,2.0,51.0,29.0,13.0,5.0,3.0,4.0,62.0,129.0,23.0,54.0,10.0,47.0,43.0,143.0,7.0,44.0,15.0,45.0,46.0,115.0,41.0,32.0
3969,1.0,2.0,48.0,16.0,39.0,14.0,9.0,5.0,35.0,87.0,4.0,6.0,0.0,13.0,11.0,143.0,24.0,15.0,7.0,147.0,17.0,156.0,152.0,10.0,46.0,98.0,61.0,34.0,99.0,20.0
4018,3.0,1.0,86.0,20.0,7.0,24.0,9.0,0.0,8.0,17.0,13.0,4.0,2.0,6.0,14.0,114.0,26.0,76.0,78.0,11.0,10.0,92.0,63.0,35.0,5.0,88.0,31.0,128.0,27.0,106.0
4067,0.0,4.0,25.0,3.0,9.0,12.0,95.0,2.0,13.0,7.0,1.0,21.0,17.0,6.0,33.0,38.0,24.0,15.0,96.0,47.0,5.0,70.0,35.0,23.0,41.0,51.0,49.0,34.0,8.0,81.0
4116,0.0,1.0,16.0,5.0,10.0,9.0,59.0,4.0,11.0,7.0,2.0,145.0,3.0,6.0,35.0,26.0,19.0,15.0,92.0,14.0,8.0,62.0,18.0,51.0,90.0,17.0,53.0,76.0,88.0,48.0
4165,2.0,1.0,12.0,35.0,10.0,16.0,11.0,3.0,7.0,19.0,31.0,43.0,0.0,6.0,39.0,125.0,147.0,54.0,137.0,21.0,25.0,63.0,38.0,17.0,85.0,30.0,103.0,70.0,27.0,64.0
4214,1.0,0.0,52.0,18.0,20.0,28.0,9.0,5.0,17.0,71.0,2.0,31.0,3.0,4.0,26.0,87.0,46.0,15.0,74.0,30.0,36.0,19.0,44.0,23.0,83.0,6.0,27.0,54.0,29.0,21.0
4263,1.0,3.0,23.0,4.0,6.0,9.0,27.0,2.0,68.0,14.0,5.0,10.0,0.0,12.0,63.0,33.0,31.0,28.0,78.0,22.0,16.0,20.0,30.0,120.0,15.0,13.0,24.0,11.0,67.0,96.0
4312,6.0,2.0,28.0,18.0,17.0,3.0,22.0,23.0,63.0,12.0,1.0,16.0,0.0,10.0,26.0,7.0,11.0,100.0,68.0,30.0,20.0,24.0,50.0,13.0,53.0,9.0,44.0,25.0,45.0,119.0
4361,2.0,1.0,77.0,11.0,61.0,23.0,110.0,3.0,37.0,10.0,19.0,27.0,0.0,8.0,7.0,4.0,154.0,50.0,14.0,12.0,25.0,91.0,157.0,9.0,71.0,6.0,5.0,55.0,137.0,58.0
4410,0.0,2.0,9.0,8.0,19.0,29.0,31.0,23.0,10.0,4.0,24.0,25.0,40.0,26.0,49.0,47.0,3.0,14.0,13.0,7.0,27.0,15.0,5.0,69.0,1.0,94.0,34.0,12.0,62.0,41.0
4459,1.0,0.0,2.0,22.0,12.0,15.0,105.0,10.0,3.0,11.0,5.0,13.0,17.0,36.0,14.0,51.0,4.0,9.0,18.0,48.0,39.0,19.0,29.0,40.0,8.0,99.0,23.0,67.0,24.0,85.0
4508,0.0,1.0,3.0,5.0,12.0,7.0,14.0,20.0,8.0,27.0,6.0,39.0,9.0,65.0,26.0,127.0,17.0,10.0,4.0,15.0,11.0,36.0,25.0,53.0,2.0,58.0,30.0,22.0,35.0,132.0
4557,1.0,10.0,11.0,8.0,16.0,3.0,5.0,0.0,9.0,13.0,21.0,17.0,12.0,35.0,20.0,140.0,2.0,25.0,6.0,15.0,60.0,7.0,30.0,18.0,4.0,147.0,31.0,46.0,48.0,122.0
4606,0.0,2.0,5.0,1.0,8.0,12.0,58.0,10.0,6.0,15.0,22.0,7.0,73.0,45.0,116.0,144.0,14.0,18.0,30.0,65.0,17.0,28.0,25.0,23.0,4.0,29.0,50.0,20.0,3.0,102.0
4655,0.0,16.0,11.0,8.0,13.0,23.0,15.0,1.0,14.0,12.0,26.0,34.0,4.0,32.0,62.0,79.0,10.0,54.0,3.0,9.0,47.0,35.0,7.0,70.0,21.0,44.0,17.0,65.0,2.0,80.0
4704,0.0,1.0,9.0,8.0,20.0,2.0,3.0,16.0,5.0,13.0,43.0,39.0,11.0,15.0,79.0,41.0,12.0,6.0,18.0,7.0,21.0,14.0,92.0,26.0,4.0,112.0,68.0,31.0,23.0,37.0
4753,0.0,8.0,1.0,4.0,15.0,7.0,12.0,3.0,11.0,5.0,19.0,10.0,13.0,80.0,32.0,119.0,28.0,18.0,17.0,6.0,20.0,24.0,37.0,53.0,2.0,103.0,23.0,39.0,9.0,68.0
4802,0.0,3.0,8.0,1.0,21.0,2.0,27.0,23.0,6.0,4.0,17.0,9.0,18.0,70.0,25.0,7.0,14.0,28.0,16.0,10.0,41.0,40.0,11.0,22.0,5.0,127.0,141.0,12.0,13.0,15.0
4851,0.0,3.0,2.0,1.0,9.0,5.0,25.0,4.0,7.0,10.0,62.0,12.0,44.0,27.0,17.0,6.0,22.0,15.0,11.0,8.0,20.0,96.0,34.0,14.0,23.0,105.0,39.0,19.0,35.0,160.0
