,DOCK1,WWTR1,LTBP2,NTN4,HRCT1,SLC4A3,AFAP1L1,SHISA4,NHS,ATAD5,PPIC,CYP26B1,PDLIM7,RGS20,ACSS1,UBTD1,SDC3,HSPG2,FASTKD1,GPR176,CTSL,BAIAP2,SLC25A19,FSTL3,STC1,C17orf62,BAG3,FAM127C,MET,RP11-244K5.8
2902,1.0,0.0,5.0,9.0,3.0,26.0,15.0,7.0,8.0,13.0,24.0,28.0,4.0,2.0,25.0,33.0,23.0,179.0,31.0,34.0,41.0,11790.0,11717.0,11.0,19.0,36.0,20.0,18.0,409.0,70.0
2951,0.0,42.0,24.0,3.0,189.0,21.0,9.0,17289.0,25.0,7.0,12.0,38.0,1.0,46.0,23.0,19912.0,4.0,35.0,47.0,19.0,68.0,17.0,59.0,6.0,73.0,30.0,19732.0,101.0,57.0,293.0
3000,0.0,1.0,32.0,8.0,10.0,3.0,13.0,5.0,35.0,9629.0,25.0,9.0,12.0,15.0,21.0,19940.0,23.0,11.0,51.0,37.0,22.0,19.0,63.0,4.0,81.0,44.0,41.0,77.0,42.0,1922.0
3049,0.0,19.0,1.0,11.0,179.0,4.0,25.0,17280.0,40.0,9623.0,21.0,12.0,20706.0,19007.0,48.0,16.0,9.0,15951.0,36.0,17.0,49.0,13.0,3.0,2.0,72.0,44.0,19759.0,77.0,70.0,23065.0
3098,0.0,1.0,4.0,17.0,2.0,23.0,18.0,68.0,84.0,9645.0,19.0,14.0,5.0,55.0,35.0,7.0,15.0,21.0,13186.0,12.0,42.0,25.0,20.0,6.0,67.0,64.0,19766.0,37.0,58.0,10.0
3147,0.0,22.0,1.0,12.0,55.0,5.0,10.0,32.0,24.0,9605.0,13.0,17162.0,3.0,66.0,7113.0,20.0,6.0,21.0,28.0,37.0,36.0,16.0,11.0,26.0,59.0,40.0,330.0,18.0,23.0,15.0
3196,0.0,8.0,27.0,11.0,120.0,16.0,17.0,3.0,34.0,9614.0,19.0,17145.0,266.0,19065.0,47.0,19936.0,7.0,21.0,18.0,10.0,29.0,22.0,6.0,51.0,19179.0,45.0,19750.0,41.0,18745.0,1043.0
3245,0.0,3.0,14.0,1.0,60.0,11.0,9.0,17320.0,21.0,9636.0,16.0,8.0,92.0,27.0,7150.0,19924.0,20.0,10.0,42.0,19.0,35.0,25.0,39.0,33.0,36.0,43.0,28.0,74.0,18764.0,121.0
3294,0.0,39.0,13.0,10.0,7.0,5.0,19.0,142.0,9395.0,9640.0,4.0,8.0,32.0,1.0,7165.0,19939.0,6.0,15974.0,56.0,59.0,35.0,11804.0,43.0,20.0,40.0,62.0,9.0,265.0,51.0,78.0
3343,0.0,14521.0,13.0,1.0,8.0,19.0,16.0,123.0,6.0,11.0,20.0,22.0,2.0,78.0,54.0,27.0,4.0,23.0,15.0,33.0,20277.0,24.0,31.0,5.0,91.0,34.0,19638.0,7.0,37.0,23061.0
3392,0.0,4.0,23.0,2.0,6.0,20.0,14.0,70.0,21.0,9629.0,26.0,13.0,20670.0,1.0,38.0,25.0,8.0,27.0,31.0,84.0,74.0,148.0,15.0,48.0,140.0,16.0,19766.0,150.0,18886.0,57.0
3441,2.0,6.0,17.0,0.0,1.0,18.0,19.0,4.0,21.0,9703.0,12.0,27.0,5.0,19017.0,29.0,34.0,70.0,28.0,30.0,39.0,9.0,36.0,81.0,49.0,23.0,32.0,14.0,38.0,10.0,3.0
