,XAGE1E,CCND2,GUSB,C1orf233,MAGEA1,GPX3,STEAP1B,KCNK15,NDN,SLC2A3,IGSF3,TNFSF12,LEPREL4,HMGA2,PLA2G4A,SNTB1,RP11-197K6.1,NT5E,CGREF1,HERC5,LEPREL2,RP11-669N7.2,CKB,MAPK4,PLAG1,FAM109B,RP11-90B9.2,LINC00942,GRIN2D,DCP1B
843,0.0,1.0,4.0,5.0,30.0,8.0,2.0,14.0,7.0,39.0,26.0,47.0,34.0,146.0,37.0,24.0,52.0,21.0,36.0,1556.0,722.0,603.0,6.0,15.0,135.0,595.0,69.0,40.0,191.0,120.0
892,0.0,1.0,4.0,15.0,43.0,25.0,5.0,13.0,11.0,17.0,14.0,3.0,42.0,38.0,26.0,19.0,37.0,93.0,115.0,202.0,207.0,257.0,29.0,7.0,45.0,16.0,31.0,87.0,231.0,32.0
941,2.0,1.0,9.0,23.0,63.0,3.0,35.0,13.0,0.0,18.0,53.0,27.0,50.0,631.0,19.0,5.0,124.0,279.0,8.0,62.0,1350.0,364.0,28.0,161.0,86.0,14.0,34.0,94.0,345.0,131.0
990,1.0,0.0,26.0,5.0,3.0,9.0,20.0,71.0,78.0,153.0,65.0,2.0,175.0,49.0,53.0,63.0,10.0,134.0,40.0,17.0,50.0,6.0,4.0,37.0,232.0,55.0,25.0,174.0,11.0,217.0
1039,0.0,2.0,3.0,9.0,1.0,14.0,82.0,100.0,5.0,40.0,55.0,26.0,56.0,6.0,34.0,159.0,48.0,10.0,16.0,73.0,13.0,4.0,44.0,52.0,12.0,728.0,85.0,172.0,61.0,11.0
1088,1.0,0.0,33.0,18.0,47.0,20.0,4.0,13.0,160.0,23.0,28.0,7.0,128.0,29.0,30.0,64.0,60.0,161.0,131.0,86.0,9.0,15.0,289.0,8.0,134.0,43.0,113.0,57.0,6.0,74.0
1137,3.0,0.0,4.0,39.0,8.0,1.0,62.0,14.0,129.0,168.0,59.0,5.0,103.0,9.0,12.0,112.0,300.0,192.0,35.0,177.0,19.0,34.0,87.0,61.0,96.0,2.0,83.0,16.0,81.0,46.0
1186,0.0,2.0,29.0,34.0,1.0,162.0,79.0,14.0,62.0,49.0,16.0,3.0,163.0,443.0,28.0,113.0,4.0,20.0,27.0,72.0,69.0,18.0,11.0,6.0,876.0,544.0,202.0,147.0,266.0,152.0
1235,2.0,3.0,25.0,0.0,19.0,12.0,14.0,4.0,88.0,30.0,136.0,1.0,438.0,10.0,15.0,190.0,50.0,42.0,134.0,8.0,36.0,28.0,31.0,35.0,447.0,114.0,54.0,74.0,222.0,37.0
1284,1.0,2.0,19.0,29.0,3.0,5.0,0.0,21.0,79.0,118.0,33.0,70.0,220.0,17.0,6.0,277.0,64.0,14.0,4.0,62.0,1348.0,9.0,20.0,55.0,133.0,44.0,69.0,59.0,18.0,192.0
1333,1.0,0.0,20.0,2.0,40.0,4.0,33.0,18.0,8.0,9.0,37.0,7.0,225.0,19.0,35.0,287.0,5.0,104.0,15.0,74.0,26.0,43.0,27.0,22.0,164.0,11.0,36.0,32.0,42.0,16.0
1382,0.0,2.0,7.0,12.0,34.0,25.0,170.0,32.0,116.0,92.0,14.0,1.0,124.0,69.0,6.0,354.0,44.0,57.0,438.0,19.0,29.0,39.0,75.0,9.0,121.0,15.0,30.0,41.0,128.0,43.0
1431,0.0,1.0,11.0,8.0,21.0,5.0,4.0,2.0,38.0,63.0,22.0,24.0,128.0,14.0,72.0,15.0,116.0,108.0,37.0,204.0,98.0,55.0,47.0,10.0,104.0,126.0,71.0,29.0,584.0,25.0
1480,0.0,5.0,1.0,6.0,8.0,17.0,25.0,20.0,11.0,4.0,48.0,58.0,18.0,40.0,14.0,39.0,57.0,103.0,100.0,46.0,30.0,15.0,77.0,12.0,135.0,92.0,35.0,29.0,354.0,44.0
1529,0.0,1.0,2.0,10.0,8.0,63.0,23.0,19.0,21.0,3.0,18.0,14.0,16.0,201.0,7.0,164.0,156.0,103.0,9.0,36.0,193.0,83.0,88.0,77.0,45.0,154.0,55.0,13.0,128.0,38.0
1578,0.0,1.0,2.0,45.0,24.0,3.0,10.0,36.0,32.0,52.0,19.0,67.0,14.0,71.0,22.0,63.0,111.0,99.0,84.0,7.0,29.0,65.0,267.0,5.0,42.0,21.0,13.0,30.0,97.0,37.0
1627,0.0,7.0,4.0,15.0,2.0,3.0,111.0,17.0,71.0,1.0,6.0,42.0,12.0,320.0,22.0,41.0,50.0,263.0,100.0,10.0,44.0,39.0,67.0,23.0,77.0,178.0,46.0,9.0,14.0,40.0
1676,0.0,9.0,1.0,16.0,25.0,11.0,283.0,36.0,7.0,2.0,14.0,29.0,13.0,135.0,20.0,6.0,22.0,334.0,15.0,113.0,213.0,54.0,104.0,12.0,94.0,528.0,43.0,61.0,175.0,55.0
1725,3.0,17.0,1.0,13.0,2.0,7.0,118.0,32.0,0.0,5.0,58.0,18.0,20.0,62.0,70.0,24.0,54.0,357.0,11.0,40.0,22.0,6.0,79.0,50.0,59.0,275.0,28.0,25.0,103.0,30.0
1774,0.0,1.0,3.0,18.0,2.0,19.0,29.0,44.0,7.0,33.0,14.0,16.0,145.0,218.0,9.0,13.0,71.0,103.0,166.0,5.0,181.0,50.0,55.0,15.0,211.0,526.0,105.0,28.0,330.0,42.0
1823,0.0,5.0,1.0,14.0,30.0,17.0,41.0,33.0,4.0,3.0,6.0,15.0,12.0,22.0,50.0,10.0,28.0,57.0,319.0,26.0,19.0,24.0,45.0,13.0,62.0,25.0,42.0,125.0,29.0,49.0
1872,1.0,0.0,2.0,75.0,31.0,3.0,56.0,19.0,9.0,14.0,28.0,7.0,67.0,52.0,4.0,5.0,142.0,149.0,69.0,35.0,73.0,130.0,18.0,29.0,55.0,24.0,100.0,16.0,38.0,151.0
1921,0.0,3.0,12.0,67.0,1.0,2.0,5.0,34.0,42.0,8.0,10.0,9.0,20.0,335.0,29.0,15.0,21.0,35.0,354.0,23.0,349.0,22.0,33.0,7.0,16.0,118.0,92.0,261.0,45.0,30.0
1970,0.0,8.0,9.0,2.0,17.0,11.0,15.0,13.0,3.0,19.0,25.0,14.0,73.0,62.0,23.0,27.0,22.0,42.0,4.0,16.0,46.0,141.0,5.0,50.0,193.0,48.0,49.0,24.0,1.0,86.0
2019,0.0,4.0,21.0,5.0,3.0,90.0,2.0,16.0,37.0,26.0,43.0,118.0,11.0,31.0,9.0,17.0,241.0,23.0,8.0,10.0,38.0,264.0,13.0,15.0,36.0,153.0,77.0,196.0,1.0,67.0
2068,1.0,5.0,9.0,2.0,14.0,96.0,3.0,11.0,6.0,197.0,42.0,7.0,44.0,23.0,8.0,12.0,28.0,18.0,19.0,36.0,43.0,467.0,4.0,59.0,30.0,71.0,110.0,84.0,0.0,372.0
2117,0.0,1.0,4.0,5.0,2.0,241.0,6.0,9.0,68.0,62.0,44.0,15.0,40.0,72.0,11.0,48.0,42.0,28.0,7.0,8.0,32.0,161.0,24.0,150.0,96.0,76.0,104.0,102.0,3.0,23.0
2166,0.0,2.0,13.0,6.0,5.0,34.0,10.0,11.0,1.0,27.0,25.0,16.0,22.0,28.0,4.0,43.0,40.0,8.0,17.0,37.0,44.0,119.0,12.0,29.0,50.0,138.0,45.0,167.0,3.0,47.0
2215,2.0,11.0,6.0,5.0,7.0,12.0,4.0,54.0,9.0,227.0,19.0,116.0,35.0,160.0,3.0,32.0,20.0,8.0,0.0,48.0,22.0,631.0,51.0,14.0,34.0,10.0,108.0,13.0,1.0,211.0
2264,4.0,1.0,7.0,14.0,53.0,24.0,18.0,20.0,6.0,66.0,22.0,31.0,27.0,184.0,2.0,90.0,130.0,10.0,13.0,9.0,73.0,808.0,50.0,8.0,85.0,122.0,76.0,397.0,0.0,36.0
2313,3.0,1.0,14.0,0.0,29.0,247.0,5.0,12.0,8.0,72.0,17.0,9.0,39.0,20.0,7.0,28.0,101.0,46.0,10.0,15.0,6.0,238.0,24.0,16.0,161.0,182.0,58.0,137.0,4.0,180.0
2362,2.0,0.0,6.0,10.0,30.0,200.0,4.0,7.0,44.0,36.0,8.0,35.0,26.0,72.0,3.0,9.0,13.0,17.0,28.0,81.0,5.0,774.0,31.0,11.0,69.0,95.0,183.0,100.0,1.0,89.0
2411,1.0,0.0,5.0,3.0,10.0,28.0,31.0,23.0,21.0,181.0,16.0,29.0,17.0,88.0,8.0,14.0,11.0,97.0,100.0,24.0,13.0,202.0,7.0,55.0,20.0,32.0,139.0,63.0,2.0,141.0
2460,0.0,2.0,6.0,20.0,4.0,5.0,3.0,17.0,1197.0,9.0,7.0,12.0,13.0,37.0,314.0,18.0,28.0,84.0,30.0,36.0,170.0,56.0,97.0,178.0,29.0,43.0,51.0,74.0,143.0,8.0
2509,0.0,3.0,2.0,6.0,1.0,26.0,4.0,29.0,75.0,9.0,28.0,43.0,38.0,20.0,11.0,16.0,21.0,99.0,8.0,25.0,61.0,77.0,253.0,255.0,17.0,842.0,80.0,30.0,36.0,7.0
2558,0.0,2.0,11.0,17.0,5.0,6.0,3.0,70.0,253.0,12.0,9.0,48.0,22.0,35.0,106.0,72.0,26.0,116.0,10.0,15.0,321.0,295.0,84.0,435.0,126.0,64.0,115.0,27.0,4.0,103.0
2607,1.0,3.0,6.0,2.0,4.0,196.0,21.0,26.0,66.0,5.0,11.0,10.0,71.0,12.0,76.0,23.0,96.0,9.0,60.0,14.0,83.0,85.0,597.0,182.0,91.0,126.0,56.0,22.0,78.0,33.0
2656,0.0,7.0,2.0,3.0,1.0,77.0,16.0,19.0,40.0,64.0,56.0,8.0,34.0,14.0,35.0,49.0,11.0,10.0,9.0,22.0,246.0,139.0,114.0,322.0,20.0,17.0,29.0,67.0,194.0,30.0
2705,0.0,2.0,6.0,7.0,1.0,10.0,4.0,15.0,256.0,11.0,14.0,35.0,26.0,30.0,121.0,40.0,20.0,48.0,86.0,29.0,44.0,17.0,46.0,348.0,25.0,45.0,32.0,12.0,150.0,16.0
2754,0.0,1.0,8.0,3.0,2.0,51.0,4.0,67.0,94.0,9.0,24.0,6.0,66.0,15.0,59.0,45.0,84.0,40.0,144.0,19.0,109.0,68.0,49.0,315.0,29.0,151.0,165.0,14.0,44.0,43.0
2803,1.0,17.0,6.0,0.0,5.0,54.0,3.0,16.0,8.0,58.0,40.0,56.0,42.0,23.0,31.0,25.0,2.0,186.0,11.0,19.0,60.0,37.0,119.0,337.0,7.0,79.0,43.0,30.0,130.0,263.0
2852,0.0,1.0,2.0,4.0,3.0,49.0,19.0,18.0,29.0,6.0,8.0,20.0,13.0,22.0,136.0,9.0,11.0,51.0,35.0,10.0,160.0,64.0,124.0,85.0,23.0,70.0,72.0,5.0,252.0,40.0
2901,0.0,1.0,11.0,67.0,3.0,49.0,5.0,13.0,35.0,21.0,7.0,8.0,23.0,55.0,868.0,10.0,77.0,483.0,62.0,300.0,199.0,345.0,568.0,71.0,588.0,17.0,56.0,182.0,113.0,86.0
2950,5.0,1.0,2.0,14.0,25.0,13.0,143.0,219.0,941.0,17.0,9.0,41.0,31.0,7.0,3.0,0.0,133.0,100.0,552.0,51.0,12.0,92.0,19.0,1152.0,6.0,4.0,53.0,27.0,20.0,37.0
2999,8.0,19.0,9.0,14.0,10.0,1.0,94.0,80.0,266.0,2.0,31.0,101.0,11.0,13.0,4.0,3.0,6.0,78.0,371.0,97.0,17.0,18.0,56.0,288.0,5.0,0.0,61.0,12.0,39.0,22.0
3048,0.0,18.0,19.0,97.0,7.0,14.0,45.0,219.0,33.0,2.0,11.0,50.0,8.0,10.0,20.0,3.0,5.0,29.0,541.0,75.0,17.0,4.0,16.0,246.0,1.0,6.0,28.0,48.0,62.0,134.0
3097,0.0,1.0,11.0,25.0,12.0,2.0,23.0,111.0,51.0,3.0,153.0,125.0,81.0,10.0,32.0,14.0,5.0,13.0,574.0,15.0,72.0,50.0,27.0,236.0,7.0,4.0,36.0,34.0,80.0,30.0
3146,7.0,1.0,8.0,83.0,15.0,4.0,49.0,196.0,70.0,6.0,25.0,111.0,130.0,18.0,10.0,0.0,19.0,20.0,764.0,251.0,44.0,23.0,40.0,243.0,2.0,5.0,112.0,66.0,52.0,43.0
3195,9.0,25.0,26.0,15.0,214.0,1.0,7.0,100.0,28.0,0.0,29.0,744.0,16.0,17.0,4.0,2.0,11.0,21.0,867.0,12.0,6.0,143.0,3.0,391.0,10.0,18.0,136.0,33.0,60.0,31.0
3244,1.0,0.0,11.0,23.0,19.0,2.0,9.0,117.0,47.0,71.0,27.0,473.0,37.0,6.0,13.0,8.0,7.0,22.0,1185.0,49.0,10.0,33.0,4.0,186.0,3.0,36.0,153.0,243.0,15.0,45.0
3293,1.0,4.0,15.0,87.0,68.0,3.0,32.0,91.0,34.0,5.0,35.0,26.0,12.0,17.0,7.0,0.0,2.0,69.0,15549.0,81.0,27.0,48.0,22.0,185.0,6.0,9.0,19.0,30.0,36.0,13.0
3342,4.0,0.0,6.0,44.0,17.0,9.0,132.0,94.0,36.0,10.0,35.0,200.0,24.0,2.0,7.0,1.0,14.0,12.0,2122.0,90.0,48.0,37.0,25.0,182.0,3.0,5.0,56.0,63.0,15.0,19.0
3391,0.0,6.0,11.0,81.0,2.0,27.0,17.0,1180.0,10.0,4.0,214.0,892.0,39.0,7.0,1.0,9.0,3.0,18.0,488.0,43.0,228.0,33.0,8.0,319.0,5.0,117.0,47.0,31.0,14.0,272.0
3440,1.0,36.0,6.0,3.0,11.0,542.0,15.0,16.0,0.0,9.0,271.0,31.0,41.0,8.0,182.0,19.0,7.0,46.0,81.0,18.0,58.0,23.0,63.0,21.0,5.0,719.0,70.0,24.0,13.0,128.0
3489,0.0,15.0,16.0,4.0,72.0,49.0,74.0,39.0,1.0,3.0,387.0,90.0,23.0,2.0,53.0,67.0,13.0,169.0,88.0,12.0,20.0,30.0,58.0,14.0,38.0,551.0,6.0,614.0,29.0,33.0
3538,1.0,75.0,2.0,3.0,160.0,194.0,56.0,25.0,0.0,18.0,361.0,23.0,102.0,8.0,14.0,67.0,120.0,43.0,29.0,12.0,66.0,69.0,24.0,16.0,6.0,11.0,33.0,93.0,122.0,74.0
3587,2.0,5.0,4.0,21.0,69.0,590.0,9.0,16.0,0.0,25.0,794.0,30.0,41.0,1.0,124.0,49.0,3.0,31.0,261.0,29.0,47.0,60.0,62.0,81.0,8.0,93.0,91.0,1090.0,35.0,40.0
3636,3.0,20.0,29.0,1.0,8.0,85.0,12.0,25.0,0.0,4.0,205.0,31.0,207.0,5.0,7.0,135.0,16.0,30.0,118.0,65.0,58.0,48.0,15.0,28.0,2.0,21.0,141.0,329.0,23.0,57.0
3685,1.0,90.0,7.0,2.0,1139.0,18.0,12.0,116.0,5.0,6.0,204.0,4.0,62.0,0.0,105.0,38.0,203.0,23.0,28.0,3.0,92.0,227.0,30.0,44.0,14.0,851.0,173.0,196.0,120.0,70.0
3734,2.0,75.0,4.0,7.0,91.0,229.0,14.0,50.0,0.0,16.0,103.0,58.0,19.0,1.0,159.0,46.0,32.0,128.0,63.0,30.0,20.0,26.0,44.0,53.0,8.0,364.0,57.0,226.0,99.0,3.0
3783,1.0,25.0,12.0,10.0,34.0,177.0,23.0,8.0,0.0,6.0,954.0,55.0,40.0,2.0,108.0,94.0,11.0,64.0,148.0,16.0,19.0,7.0,50.0,58.0,3.0,38.0,67.0,382.0,13.0,14.0
3832,0.0,170.0,2.0,6.0,383.0,29.0,15.0,3.0,1.0,9.0,265.0,5.0,46.0,16.0,49.0,25.0,33.0,36.0,123.0,12.0,22.0,35.0,44.0,21.0,50.0,184.0,34.0,165.0,109.0,169.0
3881,0.0,17.0,7.0,2.0,23.0,670.0,263.0,57.0,1.0,8.0,445.0,22.0,208.0,13.0,168.0,1246.0,121.0,113.0,617.0,3.0,27.0,38.0,15.0,21.0,32.0,184.0,46.0,135.0,12.0,72.0
3930,2.0,7.0,12.0,157.0,826.0,19.0,1.0,20.0,68.0,29.0,26.0,246.0,6.0,116.0,66.0,271.0,32.0,34.0,71.0,365.0,10.0,108.0,24.0,48.0,25.0,22.0,9.0,5.0,11.0,605.0
3979,0.0,3.0,7.0,56.0,10.0,74.0,2.0,147.0,102.0,24.0,18.0,13.0,4.0,30.0,35.0,758.0,9.0,8.0,537.0,137.0,21.0,19.0,422.0,27.0,53.0,620.0,23.0,11.0,1.0,43.0
4028,2.0,4.0,8.0,49.0,6.0,68.0,0.0,14.0,7.0,9.0,17.0,65.0,19.0,42.0,51.0,409.0,23.0,12.0,202.0,111.0,103.0,18.0,156.0,45.0,144.0,1415.0,22.0,39.0,204.0,41.0
4077,3.0,1.0,12.0,428.0,19.0,29.0,2.0,15.0,14.0,8.0,6.0,22.0,10.0,26.0,116.0,1244.0,28.0,37.0,110.0,187.0,538.0,11.0,80.0,24.0,78.0,23.0,54.0,265.0,21.0,118.0
4126,0.0,1.0,5.0,84.0,7.0,11.0,2.0,36.0,102.0,3.0,16.0,363.0,12.0,22.0,17.0,231.0,25.0,4.0,80.0,421.0,51.0,31.0,27.0,44.0,67.0,33.0,34.0,26.0,20.0,96.0
4175,0.0,1.0,17.0,44.0,12.0,11.0,2.0,6.0,30.0,3.0,5.0,28.0,20.0,76.0,55.0,61.0,69.0,9.0,41.0,49.0,67.0,31.0,23.0,16.0,133.0,104.0,58.0,33.0,26.0,159.0
4224,11.0,0.0,3.0,24.0,5.0,4.0,2.0,40.0,113.0,63.0,30.0,84.0,14.0,35.0,6.0,67.0,13.0,95.0,17.0,889.0,91.0,25.0,72.0,111.0,60.0,49.0,50.0,1.0,8.0,235.0
4273,3.0,0.0,10.0,21.0,2.0,8.0,1.0,50.0,364.0,36.0,11.0,118.0,13.0,32.0,308.0,1572.0,9.0,5.0,62.0,57.0,59.0,48.0,63.0,40.0,366.0,204.0,120.0,12.0,27.0,138.0
4322,0.0,1.0,4.0,13.0,9.0,11.0,15.0,90.0,725.0,16.0,21.0,45.0,23.0,28.0,29.0,503.0,41.0,2.0,133.0,321.0,3.0,12.0,33.0,83.0,200.0,130.0,69.0,137.0,27.0,110.0
4371,1.0,0.0,13.0,8.0,28.0,14.0,10.0,148.0,27.0,6.0,24.0,155.0,34.0,104.0,11.0,61.0,15.0,20.0,208.0,22.0,51.0,44.0,12.0,59.0,29.0,4.0,175.0,7.0,9.0,77.0
4420,1.0,9.0,3.0,0.0,42.0,16.0,7.0,5.0,24.0,30.0,13.0,133.0,28.0,19.0,48.0,23.0,121.0,8.0,36.0,17.0,27.0,107.0,117.0,40.0,537.0,54.0,10.0,87.0,45.0,61.0
4469,0.0,13.0,23.0,1.0,41.0,3.0,16.0,2.0,48.0,264.0,53.0,78.0,56.0,46.0,81.0,9.0,12.0,4.0,49.0,115.0,67.0,18.0,145.0,76.0,113.0,413.0,29.0,110.0,77.0,26.0
4518,0.0,74.0,38.0,1.0,2.0,18.0,12.0,20.0,94.0,26.0,39.0,36.0,35.0,119.0,55.0,19.0,66.0,9.0,56.0,6.0,46.0,13.0,124.0,129.0,317.0,303.0,28.0,14.0,44.0,67.0
4567,0.0,16.0,5.0,2.0,13.0,1.0,11.0,4.0,20.0,115.0,27.0,99.0,10.0,171.0,46.0,6.0,159.0,24.0,78.0,112.0,129.0,9.0,139.0,48.0,252.0,3.0,17.0,38.0,629.0,156.0
4616,3.0,44.0,67.0,0.0,109.0,11.0,16.0,7.0,1152.0,39.0,8.0,1.0,120.0,56.0,19.0,78.0,9.0,41.0,79.0,45.0,20.0,76.0,103.0,116.0,184.0,10.0,15.0,21.0,61.0,37.0
4665,0.0,10.0,11.0,1.0,7.0,2.0,4.0,9.0,6.0,68.0,19.0,114.0,28.0,55.0,18.0,3.0,44.0,12.0,31.0,76.0,5.0,26.0,228.0,72.0,403.0,52.0,17.0,54.0,136.0,75.0
4714,1.0,24.0,71.0,0.0,3.0,8.0,2.0,13.0,10.0,57.0,12.0,16.0,45.0,28.0,103.0,30.0,26.0,37.0,27.0,36.0,21.0,20.0,110.0,39.0,92.0,34.0,7.0,54.0,14.0,47.0
4763,0.0,17.0,4.0,6.0,3.0,8.0,7.0,5.0,13.0,41.0,39.0,10.0,30.0,28.0,219.0,1.0,120.0,18.0,36.0,61.0,70.0,99.0,545.0,211.0,384.0,2.0,34.0,425.0,221.0,9.0
4812,0.0,5.0,39.0,1.0,8.0,14.0,4.0,42.0,3.0,15.0,31.0,20.0,37.0,112.0,60.0,38.0,47.0,12.0,55.0,111.0,104.0,103.0,48.0,180.0,466.0,11.0,34.0,86.0,46.0,168.0
4861,1.0,20.0,37.0,2.0,26.0,50.0,9.0,0.0,127.0,47.0,24.0,33.0,6.0,56.0,70.0,12.0,3.0,213.0,21.0,76.0,32.0,4.0,490.0,74.0,615.0,13.0,31.0,77.0,36.0,62.0
