,hsa-miR-142-5p,hsa-miR-744,hsa-miR-92a,hsa-miR-590-5p,hsa-miR-320c,hsa-miR-422a,hsa-miR-132,hsa-miR-147b,hcmv-miR-US5-1,hsa-miR-579,hsa-miR-668,hsa-miR-125a-3p,hsa-miR-1538,hsa-miR-578,hsa-miR-148a,hsa-miR-155,hsa-miR-1284,hsa-miR-550,hsa-miR-1308,hsa-miR-617,hsa-miR-877,hsa-miR-103,hsa-miR-223,hsa-miR-1276,hsa-miR-766,hsa-miR-643,hsa-miR-342-3p,hsa-miR-15b,hsa-miR-644,hsa-miR-16
1683,0.0,1.0,2.0,10.0,5.0,8.0,14.0,9.0,11.0,7.0,18.0,27.0,15.0,17.0,3.0,33.0,20.0,12.0,4.0,117.0,62.0,21.0,467.0,435.0,6.0,13.0,81.0,24.0,63.0,41.0
1732,0.0,1.0,2.0,10.0,6.0,4.0,5.0,7.0,16.0,11.0,24.0,47.0,22.0,3.0,27.0,17.0,28.0,31.0,9.0,43.0,13.0,23.0,39.0,57.0,15.0,18.0,12.0,26.0,30.0,42.0
1781,0.0,1.0,5.0,14.0,6.0,2.0,3.0,7.0,10.0,4.0,35.0,9.0,41.0,16.0,20.0,21.0,18.0,8.0,15.0,77.0,58.0,46.0,40.0,52.0,12.0,25.0,24.0,328.0,71.0,48.0
1830,0.0,1.0,2.0,10.0,5.0,15.0,3.0,16.0,29.0,40.0,48.0,23.0,24.0,44.0,9.0,26.0,61.0,8.0,4.0,13.0,14.0,34.0,56.0,72.0,6.0,25.0,7.0,20.0,45.0,37.0
1879,1.0,0.0,2.0,8.0,5.0,4.0,3.0,7.0,20.0,6.0,13.0,10.0,12.0,14.0,16.0,18.0,15.0,22.0,9.0,41.0,30.0,44.0,47.0,73.0,27.0,21.0,11.0,29.0,51.0,36.0
1928,1.0,0.0,4.0,12.0,3.0,14.0,5.0,11.0,24.0,16.0,18.0,9.0,31.0,6.0,2.0,13.0,17.0,61.0,8.0,22.0,76.0,38.0,52.0,48.0,10.0,35.0,15.0,26.0,265.0,21.0
1977,1.0,0.0,3.0,78.0,13.0,2.0,15.0,4.0,9.0,35.0,18.0,33.0,26.0,5.0,7.0,30.0,11.0,48.0,27.0,16.0,20.0,36.0,19.0,44.0,6.0,28.0,14.0,47.0,263.0,32.0
2026,0.0,2.0,1.0,22.0,28.0,3.0,32.0,15.0,4.0,13.0,23.0,31.0,6.0,39.0,11.0,33.0,10.0,18.0,8.0,12.0,75.0,17.0,27.0,51.0,7.0,5.0,25.0,9.0,44.0,24.0
2075,0.0,3.0,2.0,15.0,11.0,1.0,9.0,25.0,17.0,30.0,4.0,8.0,12.0,6.0,20.0,21.0,5.0,27.0,28.0,7.0,13.0,77.0,33.0,38.0,22.0,10.0,16.0,31.0,60.0,56.0
2124,0.0,1.0,7.0,23.0,26.0,6.0,24.0,12.0,20.0,15.0,13.0,10.0,11.0,3.0,2.0,33.0,4.0,78.0,5.0,8.0,32.0,9.0,16.0,69.0,18.0,22.0,42.0,19.0,62.0,28.0
2173,0.0,1.0,5.0,15.0,20.0,2.0,13.0,4.0,11.0,12.0,8.0,3.0,22.0,21.0,24.0,16.0,9.0,34.0,6.0,7.0,27.0,47.0,23.0,52.0,31.0,37.0,49.0,63.0,26.0,25.0
2222,1.0,0.0,2.0,22.0,86.0,5.0,16.0,6.0,18.0,10.0,3.0,15.0,11.0,9.0,23.0,24.0,7.0,68.0,20.0,13.0,25.0,29.0,34.0,40.0,28.0,14.0,4.0,33.0,30.0,27.0
2271,0.0,1.0,10.0,25.0,36.0,2.0,5.0,7.0,9.0,21.0,6.0,19.0,29.0,3.0,32.0,53.0,8.0,52.0,4.0,22.0,20.0,39.0,26.0,43.0,17.0,42.0,12.0,49.0,273.0,28.0
2320,0.0,1.0,7.0,62.0,42.0,2.0,8.0,4.0,18.0,17.0,12.0,3.0,11.0,9.0,22.0,14.0,5.0,25.0,31.0,6.0,16.0,50.0,21.0,37.0,10.0,27.0,13.0,53.0,29.0,19.0
2369,1.0,0.0,2.0,9.0,30.0,3.0,24.0,12.0,7.0,35.0,4.0,6.0,17.0,11.0,10.0,73.0,5.0,27.0,36.0,15.0,8.0,23.0,13.0,45.0,14.0,22.0,41.0,37.0,79.0,25.0
2418,1.0,0.0,2.0,5.0,24.0,8.0,3.0,11.0,13.0,12.0,6.0,15.0,28.0,4.0,31.0,17.0,9.0,30.0,16.0,22.0,43.0,49.0,20.0,58.0,32.0,7.0,21.0,14.0,44.0,27.0
2467,0.0,2.0,3.0,5.0,4.0,13.0,9.0,16.0,11.0,1.0,48.0,7.0,23.0,12.0,14.0,15.0,8.0,26.0,381.0,17.0,50.0,18.0,27.0,6.0,22.0,34.0,81.0,33.0,24.0,36.0
2516,0.0,1.0,2.0,5.0,3.0,6.0,8.0,12.0,9.0,11.0,26.0,87.0,15.0,19.0,10.0,18.0,22.0,16.0,13.0,45.0,7.0,17.0,27.0,20.0,24.0,4.0,51.0,21.0,14.0,67.0
2565,0.0,1.0,6.0,4.0,3.0,9.0,5.0,10.0,21.0,2.0,29.0,31.0,15.0,7.0,8.0,16.0,11.0,127.0,20.0,47.0,23.0,33.0,19.0,12.0,25.0,26.0,18.0,40.0,17.0,58.0
2614,0.0,2.0,1.0,6.0,5.0,3.0,26.0,11.0,17.0,13.0,9.0,22.0,30.0,18.0,4.0,14.0,7.0,48.0,344.0,29.0,10.0,20.0,52.0,12.0,68.0,19.0,32.0,23.0,33.0,35.0
2663,0.0,2.0,4.0,1.0,10.0,23.0,8.0,5.0,28.0,3.0,29.0,44.0,19.0,25.0,11.0,9.0,7.0,15.0,30.0,12.0,31.0,27.0,21.0,16.0,35.0,6.0,20.0,13.0,46.0,49.0
2712,1.0,0.0,2.0,6.0,10.0,17.0,23.0,9.0,14.0,3.0,30.0,27.0,26.0,21.0,35.0,4.0,8.0,37.0,19.0,16.0,13.0,55.0,18.0,12.0,36.0,7.0,49.0,29.0,5.0,25.0
2761,0.0,1.0,4.0,3.0,5.0,12.0,9.0,25.0,19.0,2.0,10.0,23.0,30.0,39.0,28.0,6.0,36.0,15.0,24.0,20.0,21.0,13.0,11.0,8.0,18.0,17.0,46.0,7.0,16.0,41.0
2810,0.0,1.0,2.0,6.0,19.0,12.0,14.0,8.0,7.0,4.0,84.0,5.0,22.0,26.0,11.0,10.0,3.0,25.0,33.0,65.0,29.0,16.0,15.0,20.0,28.0,18.0,30.0,49.0,17.0,24.0
2859,0.0,4.0,1.0,5.0,6.0,14.0,49.0,9.0,16.0,3.0,43.0,61.0,13.0,25.0,18.0,28.0,2.0,10.0,20.0,22.0,32.0,7.0,23.0,15.0,11.0,8.0,47.0,12.0,19.0,24.0
2908,1.0,0.0,6.0,3.0,8.0,4.0,9.0,15.0,19.0,2.0,17.0,37.0,44.0,57.0,16.0,13.0,7.0,82.0,60.0,12.0,20.0,28.0,18.0,10.0,55.0,24.0,452.0,38.0,5.0,32.0
2957,1.0,0.0,3.0,6.0,9.0,12.0,2.0,14.0,11.0,10.0,18.0,8.0,7.0,4.0,17.0,15.0,5.0,20.0,22.0,26.0,34.0,21.0,25.0,45.0,16.0,27.0,42.0,54.0,29.0,319.0
3006,1.0,0.0,3.0,13.0,36.0,10.0,2.0,12.0,14.0,84.0,9.0,8.0,24.0,5.0,4.0,26.0,11.0,7.0,53.0,37.0,19.0,86.0,20.0,17.0,29.0,32.0,31.0,329.0,41.0,328.0
3055,0.0,1.0,3.0,14.0,10.0,6.0,2.0,12.0,13.0,30.0,18.0,7.0,8.0,29.0,36.0,4.0,11.0,23.0,20.0,26.0,38.0,32.0,19.0,31.0,27.0,34.0,16.0,54.0,5.0,326.0
3104,1.0,0.0,4.0,5.0,7.0,3.0,2.0,22.0,18.0,14.0,10.0,12.0,16.0,6.0,9.0,11.0,17.0,13.0,38.0,60.0,29.0,41.0,54.0,25.0,36.0,24.0,15.0,42.0,52.0,326.0
3153,0.0,2.0,5.0,4.0,9.0,6.0,1.0,26.0,13.0,7.0,20.0,3.0,12.0,8.0,11.0,25.0,21.0,17.0,66.0,18.0,34.0,40.0,24.0,19.0,16.0,23.0,42.0,65.0,38.0,314.0
3202,2.0,0.0,3.0,8.0,7.0,5.0,1.0,22.0,23.0,12.0,9.0,13.0,15.0,6.0,18.0,20.0,16.0,76.0,33.0,25.0,11.0,27.0,17.0,61.0,14.0,30.0,21.0,65.0,36.0,326.0
3251,1.0,0.0,3.0,17.0,9.0,16.0,2.0,7.0,25.0,22.0,13.0,19.0,12.0,6.0,28.0,15.0,14.0,11.0,24.0,49.0,37.0,21.0,8.0,5.0,4.0,40.0,43.0,35.0,23.0,62.0
3300,1.0,0.0,2.0,11.0,4.0,8.0,3.0,9.0,7.0,17.0,31.0,5.0,6.0,20.0,10.0,14.0,13.0,30.0,27.0,21.0,29.0,24.0,12.0,22.0,19.0,26.0,28.0,44.0,32.0,320.0
3349,1.0,0.0,4.0,5.0,9.0,8.0,3.0,14.0,13.0,2.0,23.0,67.0,7.0,6.0,17.0,11.0,16.0,27.0,68.0,36.0,45.0,57.0,12.0,10.0,34.0,46.0,22.0,81.0,15.0,323.0
3398,0.0,1.0,3.0,2.0,5.0,6.0,8.0,21.0,12.0,27.0,14.0,11.0,10.0,42.0,4.0,9.0,18.0,30.0,46.0,23.0,15.0,402.0,20.0,16.0,7.0,26.0,50.0,24.0,69.0,71.0
3447,0.0,1.0,2.0,6.0,3.0,15.0,36.0,7.0,14.0,21.0,4.0,8.0,27.0,11.0,5.0,26.0,22.0,13.0,35.0,43.0,18.0,12.0,32.0,23.0,40.0,42.0,50.0,46.0,59.0,33.0
3496,0.0,1.0,17.0,33.0,42.0,2.0,26.0,4.0,13.0,19.0,16.0,14.0,55.0,3.0,5.0,25.0,6.0,9.0,8.0,52.0,38.0,11.0,28.0,18.0,7.0,59.0,76.0,41.0,82.0,27.0
3545,0.0,1.0,2.0,6.0,8.0,19.0,21.0,12.0,13.0,14.0,15.0,4.0,10.0,16.0,17.0,25.0,9.0,3.0,5.0,11.0,33.0,22.0,26.0,56.0,7.0,27.0,35.0,42.0,54.0,28.0
3594,0.0,2.0,3.0,4.0,22.0,19.0,49.0,16.0,10.0,23.0,14.0,7.0,34.0,5.0,8.0,28.0,20.0,1.0,18.0,42.0,17.0,11.0,24.0,9.0,21.0,56.0,53.0,45.0,38.0,25.0
3643,1.0,2.0,8.0,3.0,10.0,4.0,28.0,24.0,13.0,12.0,7.0,5.0,20.0,9.0,22.0,36.0,14.0,0.0,11.0,60.0,18.0,21.0,61.0,15.0,17.0,64.0,42.0,39.0,43.0,37.0
3692,0.0,14.0,3.0,1.0,2.0,8.0,37.0,9.0,13.0,19.0,12.0,5.0,38.0,10.0,33.0,17.0,7.0,4.0,6.0,11.0,43.0,36.0,22.0,18.0,31.0,24.0,465.0,34.0,27.0,23.0
3741,0.0,2.0,8.0,3.0,5.0,32.0,15.0,11.0,21.0,13.0,22.0,4.0,19.0,27.0,9.0,26.0,16.0,1.0,12.0,18.0,23.0,7.0,29.0,28.0,24.0,52.0,73.0,38.0,45.0,40.0
3790,0.0,6.0,2.0,3.0,4.0,13.0,63.0,9.0,11.0,22.0,10.0,18.0,36.0,16.0,5.0,28.0,7.0,1.0,8.0,17.0,35.0,15.0,60.0,20.0,12.0,24.0,61.0,21.0,44.0,45.0
3839,0.0,2.0,5.0,6.0,9.0,18.0,25.0,8.0,7.0,21.0,53.0,3.0,28.0,26.0,11.0,19.0,427.0,1.0,4.0,22.0,34.0,20.0,17.0,15.0,10.0,24.0,58.0,50.0,72.0,23.0
3888,0.0,1.0,2.0,14.0,3.0,32.0,22.0,7.0,12.0,26.0,20.0,23.0,25.0,13.0,5.0,34.0,27.0,4.0,16.0,10.0,31.0,9.0,38.0,28.0,18.0,15.0,488.0,29.0,53.0,42.0
3937,0.0,1.0,3.0,13.0,16.0,7.0,9.0,12.0,11.0,15.0,46.0,25.0,40.0,48.0,44.0,5.0,72.0,18.0,10.0,37.0,6.0,4.0,31.0,51.0,24.0,42.0,14.0,8.0,61.0,59.0
3986,0.0,6.0,2.0,8.0,20.0,5.0,3.0,60.0,9.0,1.0,13.0,12.0,87.0,38.0,336.0,19.0,18.0,36.0,10.0,37.0,17.0,4.0,26.0,48.0,49.0,77.0,31.0,11.0,15.0,71.0
4035,0.0,1.0,2.0,5.0,11.0,4.0,6.0,14.0,12.0,7.0,19.0,59.0,71.0,25.0,31.0,21.0,54.0,27.0,15.0,36.0,53.0,8.0,62.0,50.0,28.0,44.0,37.0,9.0,69.0,45.0
4084,0.0,1.0,2.0,7.0,12.0,3.0,5.0,17.0,13.0,4.0,9.0,32.0,36.0,69.0,42.0,22.0,68.0,35.0,38.0,25.0,11.0,8.0,30.0,23.0,302.0,45.0,18.0,6.0,46.0,50.0
4133,0.0,3.0,1.0,8.0,23.0,12.0,30.0,18.0,6.0,29.0,9.0,53.0,69.0,40.0,36.0,59.0,37.0,7.0,42.0,32.0,2.0,5.0,47.0,16.0,20.0,57.0,13.0,17.0,89.0,48.0
4182,0.0,1.0,4.0,8.0,14.0,3.0,5.0,18.0,11.0,2.0,10.0,46.0,49.0,17.0,59.0,9.0,89.0,26.0,13.0,189.0,29.0,15.0,16.0,12.0,27.0,53.0,19.0,7.0,28.0,51.0
4231,0.0,1.0,3.0,6.0,15.0,4.0,12.0,26.0,8.0,2.0,17.0,11.0,330.0,30.0,44.0,31.0,69.0,10.0,42.0,41.0,13.0,14.0,22.0,20.0,39.0,40.0,24.0,16.0,51.0,36.0
4280,0.0,3.0,2.0,6.0,21.0,1.0,11.0,26.0,5.0,4.0,16.0,12.0,31.0,27.0,57.0,18.0,47.0,34.0,30.0,58.0,10.0,8.0,32.0,22.0,33.0,77.0,37.0,17.0,62.0,55.0
4329,0.0,1.0,2.0,11.0,14.0,5.0,3.0,9.0,16.0,4.0,13.0,23.0,29.0,19.0,51.0,10.0,27.0,37.0,31.0,25.0,15.0,8.0,22.0,21.0,30.0,33.0,28.0,7.0,39.0,35.0
4378,0.0,1.0,7.0,4.0,8.0,2.0,11.0,9.0,39.0,10.0,3.0,19.0,60.0,32.0,23.0,27.0,14.0,16.0,35.0,53.0,29.0,13.0,61.0,72.0,12.0,57.0,24.0,6.0,265.0,65.0
4427,0.0,2.0,1.0,3.0,6.0,39.0,10.0,5.0,24.0,15.0,4.0,42.0,7.0,13.0,9.0,30.0,34.0,29.0,23.0,14.0,37.0,18.0,17.0,55.0,16.0,57.0,21.0,20.0,19.0,22.0
4476,0.0,2.0,1.0,4.0,12.0,36.0,7.0,13.0,24.0,3.0,23.0,442.0,6.0,43.0,18.0,21.0,39.0,28.0,33.0,30.0,44.0,11.0,10.0,57.0,17.0,27.0,69.0,16.0,9.0,35.0
4525,0.0,2.0,3.0,1.0,10.0,33.0,5.0,6.0,26.0,21.0,19.0,37.0,4.0,38.0,22.0,11.0,18.0,30.0,20.0,9.0,14.0,13.0,12.0,59.0,24.0,17.0,7.0,8.0,44.0,27.0
4574,0.0,6.0,2.0,1.0,3.0,34.0,7.0,15.0,22.0,14.0,17.0,38.0,4.0,24.0,29.0,30.0,8.0,37.0,20.0,5.0,21.0,11.0,10.0,43.0,32.0,28.0,9.0,16.0,12.0,27.0
4623,0.0,1.0,3.0,2.0,8.0,25.0,12.0,5.0,21.0,16.0,10.0,49.0,11.0,26.0,28.0,19.0,35.0,60.0,9.0,4.0,15.0,14.0,7.0,44.0,18.0,22.0,6.0,13.0,20.0,24.0
4672,0.0,1.0,3.0,2.0,5.0,44.0,8.0,10.0,16.0,11.0,7.0,9.0,24.0,31.0,12.0,14.0,28.0,53.0,45.0,4.0,15.0,33.0,17.0,22.0,19.0,21.0,23.0,34.0,39.0,13.0
4721,0.0,1.0,2.0,5.0,6.0,31.0,18.0,11.0,29.0,21.0,10.0,36.0,7.0,60.0,41.0,28.0,24.0,40.0,4.0,3.0,13.0,26.0,12.0,427.0,15.0,17.0,9.0,19.0,8.0,20.0
4770,0.0,2.0,1.0,5.0,3.0,31.0,4.0,9.0,22.0,21.0,7.0,27.0,11.0,43.0,12.0,18.0,26.0,169.0,49.0,6.0,15.0,19.0,14.0,45.0,17.0,38.0,13.0,24.0,30.0,68.0
4819,0.0,1.0,2.0,3.0,4.0,8.0,19.0,7.0,11.0,33.0,5.0,17.0,6.0,46.0,10.0,14.0,18.0,30.0,35.0,9.0,13.0,23.0,27.0,49.0,24.0,34.0,16.0,25.0,20.0,31.0
4868,0.0,3.0,1.0,2.0,5.0,25.0,13.0,4.0,23.0,19.0,6.0,83.0,11.0,30.0,9.0,16.0,17.0,179.0,10.0,8.0,20.0,28.0,27.0,65.0,7.0,21.0,24.0,12.0,42.0,15.0
