,hsa-miR-548d-3p,hsa-miR-921,hsa-miR-591,hsa-miR-29c,hsa-miR-223,hsa-miR-26a,hsa-miR-492,hsa-miR-579,hsa-miR-147b,hsa-miR-1294,hsa-miR-323-5p,hsa-miR-489,hsa-miR-570,hsa-miR-615-3p,hsa-miR-1284,hsa-miR-320c,hsa-miR-485-5p,hsa-miR-125a-3p,hsa-miR-1278,hsa-miR-518d-3p,hsa-miR-622,hsa-miR-892a,hsa-miR-384,hsa-miR-26b,hsa-miR-1236,hsa-miR-616,hsa-miR-29b,hsa-miR-516a-3p,hsa-miR-770-5p,hsa-miR-642
506,0.0,2.0,7.0,11.0,4.0,41.0,9.0,8.0,27.0,3.0,31.0,12.0,36.0,13.0,5.0,10.0,6.0,67.0,1.0,15.0,26.0,79.0,37.0,19.0,18.0,17.0,60.0,24.0,74.0,45.0
555,0.0,4.0,1.0,12.0,17.0,58.0,5.0,48.0,2.0,7.0,9.0,11.0,16.0,38.0,3.0,43.0,44.0,26.0,31.0,20.0,8.0,10.0,14.0,108.0,18.0,55.0,72.0,40.0,6.0,33.0
604,0.0,2.0,5.0,10.0,8.0,12.0,4.0,18.0,14.0,30.0,28.0,19.0,55.0,1.0,6.0,36.0,7.0,11.0,9.0,3.0,39.0,48.0,25.0,15.0,13.0,37.0,26.0,33.0,24.0,23.0
653,1.0,2.0,12.0,21.0,7.0,15.0,5.0,16.0,6.0,18.0,54.0,10.0,45.0,4.0,0.0,14.0,13.0,39.0,9.0,8.0,35.0,17.0,25.0,26.0,23.0,27.0,33.0,28.0,11.0,20.0
702,0.0,1.0,25.0,2.0,7.0,12.0,11.0,44.0,21.0,32.0,19.0,10.0,42.0,4.0,6.0,26.0,16.0,24.0,8.0,13.0,38.0,3.0,94.0,18.0,15.0,17.0,14.0,69.0,31.0,74.0
751,4.0,0.0,20.0,6.0,10.0,14.0,5.0,35.0,2.0,15.0,18.0,29.0,33.0,3.0,1.0,25.0,22.0,9.0,19.0,8.0,30.0,37.0,52.0,27.0,28.0,36.0,21.0,34.0,80.0,50.0
800,0.0,14.0,11.0,6.0,3.0,10.0,8.0,30.0,15.0,13.0,25.0,4.0,43.0,2.0,1.0,20.0,22.0,17.0,5.0,24.0,100.0,51.0,41.0,39.0,7.0,28.0,21.0,33.0,16.0,52.0
849,0.0,1.0,27.0,6.0,5.0,8.0,10.0,2.0,28.0,23.0,11.0,7.0,42.0,15.0,3.0,14.0,13.0,37.0,9.0,53.0,40.0,16.0,21.0,30.0,57.0,35.0,59.0,25.0,19.0,18.0
898,0.0,1.0,7.0,3.0,25.0,16.0,5.0,19.0,2.0,6.0,28.0,24.0,18.0,22.0,13.0,12.0,11.0,35.0,4.0,15.0,107.0,67.0,37.0,10.0,9.0,14.0,29.0,42.0,26.0,54.0
947,1.0,0.0,5.0,10.0,36.0,34.0,11.0,2.0,43.0,4.0,38.0,67.0,42.0,3.0,7.0,12.0,26.0,8.0,9.0,15.0,18.0,29.0,66.0,16.0,20.0,25.0,59.0,51.0,14.0,24.0
996,0.0,1.0,3.0,11.0,23.0,15.0,7.0,45.0,12.0,37.0,2.0,14.0,43.0,51.0,32.0,39.0,40.0,21.0,4.0,38.0,31.0,8.0,16.0,57.0,5.0,25.0,28.0,35.0,13.0,47.0
1045,0.0,8.0,2.0,13.0,4.0,6.0,14.0,54.0,19.0,78.0,3.0,30.0,15.0,66.0,65.0,25.0,63.0,216.0,1.0,12.0,5.0,9.0,46.0,23.0,24.0,11.0,16.0,37.0,27.0,29.0
1094,3.0,13.0,1.0,12.0,7.0,40.0,10.0,11.0,5.0,8.0,6.0,9.0,36.0,53.0,98.0,14.0,25.0,32.0,2.0,21.0,4.0,0.0,58.0,19.0,59.0,18.0,15.0,31.0,20.0,62.0
1143,2.0,6.0,0.0,11.0,5.0,39.0,19.0,4.0,9.0,26.0,8.0,24.0,10.0,25.0,12.0,15.0,49.0,100.0,1.0,22.0,7.0,3.0,41.0,28.0,30.0,20.0,13.0,47.0,16.0,50.0
1192,1.0,8.0,12.0,4.0,3.0,26.0,11.0,16.0,17.0,22.0,19.0,31.0,14.0,155.0,24.0,40.0,15.0,21.0,0.0,9.0,20.0,5.0,2.0,34.0,13.0,44.0,23.0,37.0,6.0,35.0
1241,4.0,3.0,0.0,14.0,23.0,12.0,57.0,5.0,51.0,19.0,6.0,13.0,20.0,22.0,39.0,17.0,30.0,64.0,1.0,8.0,24.0,11.0,10.0,9.0,2.0,40.0,21.0,28.0,7.0,36.0
1290,4.0,0.0,3.0,12.0,8.0,115.0,14.0,47.0,30.0,2.0,9.0,13.0,34.0,76.0,59.0,15.0,21.0,53.0,1.0,18.0,35.0,5.0,36.0,60.0,17.0,27.0,16.0,38.0,7.0,51.0
1339,10.0,0.0,6.0,5.0,7.0,36.0,38.0,19.0,11.0,15.0,3.0,4.0,48.0,119.0,26.0,20.0,16.0,72.0,1.0,54.0,8.0,9.0,21.0,37.0,2.0,17.0,30.0,68.0,25.0,12.0
1388,1.0,9.0,3.0,20.0,2.0,49.0,15.0,6.0,11.0,14.0,8.0,27.0,10.0,36.0,109.0,18.0,34.0,42.0,0.0,26.0,4.0,5.0,23.0,40.0,17.0,12.0,24.0,32.0,7.0,37.0
1437,13.0,0.0,2.0,9.0,5.0,8.0,28.0,3.0,40.0,18.0,11.0,62.0,15.0,101.0,26.0,37.0,22.0,58.0,6.0,4.0,20.0,1.0,32.0,7.0,21.0,19.0,36.0,42.0,24.0,23.0
1486,0.0,4.0,1.0,16.0,41.0,20.0,26.0,31.0,49.0,10.0,62.0,13.0,5.0,95.0,12.0,11.0,44.0,32.0,2.0,53.0,34.0,24.0,8.0,17.0,46.0,61.0,37.0,33.0,91.0,103.0
1535,0.0,52.0,2.0,47.0,11.0,5.0,63.0,7.0,36.0,6.0,26.0,9.0,12.0,20.0,38.0,3.0,67.0,34.0,10.0,42.0,16.0,18.0,39.0,19.0,133.0,132.0,148.0,30.0,68.0,40.0
1584,0.0,31.0,17.0,15.0,11.0,9.0,23.0,28.0,57.0,25.0,37.0,10.0,16.0,22.0,46.0,12.0,14.0,7.0,5.0,24.0,35.0,80.0,2.0,33.0,50.0,8.0,19.0,26.0,78.0,45.0
1633,1.0,4.0,2.0,6.0,37.0,13.0,9.0,12.0,23.0,11.0,80.0,3.0,7.0,28.0,27.0,26.0,14.0,58.0,5.0,34.0,124.0,146.0,0.0,48.0,30.0,16.0,54.0,24.0,128.0,57.0
1682,0.0,44.0,1.0,7.0,3.0,8.0,18.0,6.0,25.0,12.0,63.0,24.0,5.0,58.0,34.0,22.0,41.0,17.0,10.0,42.0,40.0,32.0,13.0,9.0,16.0,48.0,29.0,47.0,119.0,90.0
1731,0.0,8.0,1.0,18.0,11.0,7.0,30.0,12.0,36.0,15.0,59.0,9.0,4.0,28.0,23.0,14.0,56.0,32.0,21.0,82.0,46.0,58.0,2.0,42.0,103.0,33.0,49.0,31.0,66.0,26.0
1780,0.0,6.0,17.0,3.0,11.0,7.0,9.0,20.0,28.0,8.0,63.0,2.0,10.0,26.0,42.0,4.0,48.0,72.0,14.0,55.0,114.0,5.0,13.0,54.0,137.0,12.0,24.0,47.0,127.0,67.0
1829,0.0,48.0,4.0,12.0,11.0,6.0,67.0,8.0,44.0,1.0,112.0,35.0,5.0,27.0,73.0,10.0,47.0,22.0,16.0,58.0,9.0,17.0,28.0,25.0,117.0,21.0,20.0,30.0,82.0,96.0
1878,0.0,39.0,17.0,10.0,23.0,2.0,21.0,34.0,14.0,18.0,57.0,8.0,3.0,20.0,12.0,25.0,37.0,144.0,1.0,27.0,16.0,41.0,7.0,38.0,45.0,30.0,19.0,48.0,115.0,82.0
1927,0.0,12.0,16.0,13.0,5.0,7.0,66.0,44.0,25.0,1.0,30.0,3.0,4.0,9.0,8.0,20.0,31.0,2.0,37.0,47.0,17.0,10.0,45.0,70.0,61.0,43.0,59.0,56.0,85.0,41.0
1976,3.0,0.0,5.0,23.0,31.0,53.0,7.0,11.0,20.0,2.0,47.0,8.0,65.0,19.0,43.0,4.0,24.0,13.0,48.0,9.0,18.0,17.0,46.0,35.0,12.0,25.0,29.0,60.0,33.0,14.0
2025,12.0,0.0,9.0,17.0,20.0,6.0,4.0,11.0,19.0,13.0,21.0,22.0,24.0,1.0,16.0,8.0,26.0,23.0,202.0,28.0,2.0,30.0,10.0,34.0,3.0,25.0,14.0,40.0,32.0,46.0
2074,7.0,1.0,5.0,3.0,11.0,34.0,8.0,85.0,4.0,15.0,33.0,54.0,20.0,26.0,0.0,61.0,32.0,64.0,66.0,17.0,2.0,6.0,57.0,73.0,52.0,25.0,35.0,36.0,13.0,28.0
2123,13.0,0.0,6.0,17.0,20.0,31.0,14.0,22.0,1.0,5.0,10.0,24.0,38.0,26.0,16.0,2.0,18.0,41.0,19.0,3.0,7.0,25.0,64.0,34.0,9.0,23.0,21.0,29.0,4.0,32.0
2172,6.0,0.0,1.0,34.0,14.0,63.0,15.0,2.0,10.0,5.0,22.0,27.0,52.0,13.0,4.0,8.0,25.0,3.0,126.0,9.0,18.0,17.0,87.0,70.0,19.0,72.0,31.0,40.0,11.0,24.0
2221,9.0,21.0,6.0,7.0,12.0,16.0,4.0,19.0,5.0,8.0,55.0,29.0,66.0,1.0,0.0,2.0,10.0,33.0,96.0,13.0,28.0,32.0,58.0,47.0,14.0,51.0,18.0,27.0,31.0,11.0
2270,11.0,0.0,16.0,26.0,24.0,28.0,5.0,6.0,10.0,2.0,54.0,23.0,30.0,8.0,4.0,13.0,15.0,1.0,65.0,17.0,70.0,41.0,36.0,31.0,12.0,63.0,3.0,19.0,47.0,9.0
2319,11.0,1.0,12.0,6.0,13.0,25.0,5.0,23.0,9.0,4.0,42.0,73.0,40.0,0.0,8.0,3.0,15.0,10.0,112.0,2.0,19.0,26.0,44.0,30.0,17.0,35.0,7.0,32.0,29.0,52.0
2368,39.0,1.0,26.0,17.0,10.0,57.0,8.0,0.0,5.0,23.0,30.0,90.0,48.0,4.0,11.0,3.0,7.0,9.0,75.0,2.0,18.0,31.0,92.0,58.0,40.0,16.0,28.0,41.0,22.0,46.0
2417,1.0,0.0,6.0,27.0,64.0,30.0,2.0,46.0,8.0,4.0,51.0,25.0,101.0,12.0,29.0,5.0,21.0,17.0,119.0,11.0,13.0,47.0,41.0,44.0,52.0,19.0,14.0,115.0,18.0,3.0
2466,1.0,5.0,22.0,2.0,21.0,45.0,27.0,7.0,19.0,4.0,33.0,14.0,43.0,37.0,16.0,34.0,57.0,0.0,318.0,55.0,160.0,38.0,15.0,17.0,60.0,18.0,51.0,9.0,42.0,13.0
2515,23.0,10.0,7.0,1.0,42.0,43.0,0.0,12.0,4.0,15.0,11.0,5.0,32.0,61.0,35.0,26.0,65.0,8.0,9.0,33.0,31.0,70.0,6.0,2.0,37.0,50.0,58.0,19.0,44.0,29.0
2564,12.0,7.0,3.0,4.0,19.0,14.0,43.0,29.0,20.0,13.0,24.0,0.0,22.0,34.0,33.0,26.0,38.0,39.0,8.0,71.0,36.0,25.0,5.0,6.0,2.0,10.0,55.0,18.0,77.0,32.0
2613,4.0,1.0,3.0,5.0,30.0,21.0,0.0,48.0,27.0,12.0,14.0,2.0,19.0,31.0,85.0,34.0,28.0,282.0,90.0,24.0,40.0,75.0,22.0,18.0,7.0,80.0,209.0,26.0,53.0,17.0
2662,3.0,0.0,15.0,1.0,16.0,84.0,9.0,33.0,17.0,5.0,11.0,4.0,21.0,23.0,80.0,40.0,12.0,22.0,42.0,45.0,44.0,41.0,10.0,6.0,19.0,25.0,47.0,18.0,34.0,13.0
2711,2.0,0.0,8.0,7.0,14.0,5.0,12.0,3.0,31.0,9.0,22.0,4.0,11.0,6.0,33.0,26.0,71.0,40.0,62.0,56.0,38.0,17.0,13.0,16.0,28.0,19.0,44.0,18.0,47.0,23.0
2760,1.0,0.0,3.0,4.0,2.0,40.0,8.0,37.0,6.0,13.0,83.0,9.0,29.0,33.0,46.0,22.0,67.0,44.0,19.0,30.0,20.0,35.0,26.0,28.0,31.0,54.0,78.0,15.0,36.0,27.0
2809,1.0,0.0,4.0,2.0,17.0,40.0,25.0,13.0,31.0,5.0,34.0,35.0,15.0,27.0,54.0,24.0,30.0,19.0,12.0,33.0,123.0,14.0,18.0,9.0,20.0,29.0,64.0,37.0,26.0,32.0
2858,6.0,0.0,5.0,2.0,29.0,54.0,13.0,9.0,23.0,17.0,38.0,15.0,42.0,28.0,10.0,52.0,37.0,25.0,44.0,43.0,39.0,16.0,11.0,18.0,33.0,61.0,24.0,22.0,21.0,7.0
2907,3.0,0.0,2.0,4.0,22.0,47.0,5.0,14.0,20.0,7.0,9.0,1.0,40.0,34.0,114.0,13.0,27.0,11.0,61.0,60.0,25.0,49.0,31.0,6.0,33.0,19.0,54.0,39.0,87.0,12.0
2956,0.0,4.0,13.0,8.0,82.0,7.0,33.0,40.0,2.0,30.0,18.0,27.0,11.0,34.0,56.0,25.0,20.0,19.0,26.0,45.0,54.0,235.0,3.0,24.0,5.0,67.0,14.0,12.0,16.0,42.0
3005,1.0,0.0,8.0,3.0,63.0,27.0,26.0,9.0,22.0,46.0,13.0,5.0,20.0,2.0,50.0,56.0,6.0,74.0,11.0,79.0,17.0,72.0,15.0,18.0,12.0,10.0,37.0,16.0,29.0,31.0
3054,0.0,1.0,16.0,11.0,8.0,4.0,17.0,38.0,15.0,48.0,44.0,31.0,39.0,2.0,20.0,32.0,7.0,26.0,24.0,6.0,19.0,49.0,27.0,40.0,21.0,10.0,13.0,33.0,37.0,59.0
3103,0.0,2.0,54.0,4.0,40.0,101.0,123.0,6.0,5.0,7.0,16.0,10.0,17.0,19.0,70.0,22.0,24.0,9.0,49.0,25.0,12.0,21.0,38.0,35.0,149.0,8.0,1.0,34.0,69.0,32.0
3152,0.0,14.0,7.0,1.0,10.0,21.0,19.0,28.0,4.0,17.0,20.0,30.0,31.0,9.0,32.0,27.0,11.0,93.0,54.0,38.0,13.0,79.0,8.0,22.0,2.0,18.0,6.0,33.0,69.0,3.0
3201,4.0,7.0,16.0,1.0,44.0,37.0,24.0,3.0,20.0,12.0,22.0,58.0,17.0,0.0,48.0,10.0,5.0,9.0,13.0,15.0,2.0,6.0,27.0,41.0,49.0,26.0,18.0,57.0,14.0,19.0
3250,1.0,3.0,25.0,28.0,26.0,18.0,7.0,0.0,16.0,22.0,40.0,11.0,24.0,2.0,44.0,12.0,4.0,48.0,31.0,32.0,14.0,65.0,34.0,45.0,5.0,38.0,6.0,10.0,30.0,17.0
3299,0.0,5.0,28.0,3.0,49.0,7.0,11.0,29.0,16.0,15.0,35.0,37.0,26.0,2.0,57.0,14.0,9.0,10.0,13.0,39.0,1.0,23.0,40.0,34.0,6.0,27.0,4.0,8.0,51.0,24.0
3348,0.0,4.0,25.0,2.0,7.0,3.0,16.0,17.0,10.0,21.0,22.0,11.0,41.0,1.0,34.0,18.0,12.0,71.0,66.0,28.0,8.0,39.0,15.0,35.0,42.0,24.0,13.0,33.0,53.0,14.0
3397,0.0,6.0,18.0,2.0,10.0,12.0,8.0,5.0,19.0,51.0,23.0,22.0,15.0,4.0,55.0,79.0,7.0,40.0,54.0,13.0,9.0,223.0,14.0,26.0,28.0,11.0,29.0,43.0,53.0,32.0
3446,4.0,91.0,16.0,25.0,3.0,0.0,2.0,9.0,13.0,46.0,15.0,53.0,12.0,5.0,20.0,17.0,10.0,1.0,23.0,11.0,36.0,103.0,6.0,29.0,89.0,41.0,43.0,27.0,35.0,7.0
3495,3.0,41.0,5.0,14.0,12.0,0.0,69.0,1.0,8.0,132.0,62.0,7.0,27.0,84.0,59.0,28.0,9.0,6.0,10.0,11.0,44.0,64.0,17.0,18.0,48.0,25.0,57.0,15.0,49.0,68.0
3544,35.0,17.0,8.0,5.0,9.0,1.0,7.0,0.0,10.0,33.0,2.0,83.0,21.0,25.0,20.0,19.0,34.0,3.0,14.0,24.0,11.0,66.0,86.0,18.0,6.0,62.0,27.0,43.0,4.0,50.0
3593,5.0,3.0,13.0,22.0,16.0,30.0,26.0,0.0,29.0,35.0,6.0,15.0,60.0,2.0,27.0,20.0,7.0,1.0,8.0,4.0,89.0,63.0,39.0,18.0,37.0,34.0,115.0,14.0,10.0,17.0
3642,18.0,14.0,19.0,5.0,16.0,6.0,31.0,2.0,21.0,79.0,22.0,90.0,10.0,26.0,7.0,35.0,3.0,0.0,9.0,1.0,37.0,41.0,20.0,92.0,45.0,107.0,4.0,15.0,25.0,32.0
3691,3.0,16.0,2.0,14.0,10.0,13.0,26.0,9.0,12.0,25.0,20.0,44.0,11.0,45.0,56.0,19.0,4.0,0.0,1.0,6.0,61.0,40.0,21.0,15.0,110.0,34.0,8.0,29.0,5.0,37.0
3740,0.0,33.0,17.0,12.0,28.0,5.0,41.0,10.0,6.0,51.0,11.0,7.0,18.0,64.0,2.0,29.0,20.0,1.0,15.0,8.0,56.0,83.0,66.0,26.0,21.0,42.0,23.0,16.0,80.0,24.0
3789,9.0,60.0,23.0,0.0,18.0,4.0,1.0,32.0,11.0,45.0,37.0,30.0,17.0,41.0,7.0,43.0,16.0,3.0,14.0,8.0,132.0,19.0,10.0,24.0,29.0,42.0,20.0,26.0,39.0,31.0
3838,2.0,8.0,1.0,11.0,29.0,0.0,20.0,47.0,6.0,134.0,34.0,13.0,14.0,54.0,5.0,83.0,15.0,4.0,82.0,12.0,59.0,46.0,10.0,22.0,9.0,101.0,27.0,17.0,28.0,23.0
3887,4.0,15.0,21.0,16.0,48.0,3.0,34.0,0.0,14.0,32.0,12.0,13.0,10.0,26.0,2.0,24.0,11.0,70.0,1.0,17.0,139.0,66.0,23.0,50.0,20.0,100.0,25.0,9.0,56.0,95.0
3936,12.0,13.0,21.0,6.0,33.0,4.0,0.0,34.0,8.0,24.0,10.0,32.0,30.0,19.0,22.0,64.0,7.0,2.0,71.0,1.0,3.0,43.0,17.0,31.0,11.0,58.0,49.0,35.0,50.0,40.0
3985,1.0,41.0,10.0,4.0,12.0,6.0,0.0,28.0,3.0,22.0,7.0,20.0,14.0,9.0,40.0,60.0,36.0,5.0,24.0,29.0,2.0,18.0,15.0,8.0,11.0,16.0,39.0,33.0,17.0,59.0
4034,2.0,32.0,8.0,3.0,64.0,6.0,0.0,38.0,17.0,18.0,16.0,47.0,15.0,4.0,9.0,111.0,28.0,13.0,14.0,43.0,27.0,1.0,7.0,24.0,35.0,5.0,40.0,41.0,30.0,36.0
4083,1.0,5.0,29.0,4.0,26.0,8.0,0.0,48.0,19.0,47.0,12.0,22.0,20.0,3.0,30.0,74.0,11.0,6.0,40.0,24.0,2.0,23.0,7.0,27.0,25.0,17.0,34.0,16.0,18.0,70.0
4132,5.0,12.0,4.0,2.0,21.0,11.0,0.0,45.0,9.0,8.0,1.0,42.0,14.0,3.0,19.0,123.0,16.0,15.0,43.0,46.0,6.0,24.0,13.0,10.0,7.0,37.0,38.0,23.0,34.0,58.0
4181,2.0,0.0,5.0,13.0,7.0,17.0,1.0,43.0,38.0,86.0,47.0,36.0,21.0,3.0,22.0,67.0,25.0,30.0,49.0,28.0,6.0,26.0,14.0,11.0,9.0,35.0,56.0,8.0,29.0,83.0
4230,0.0,2.0,8.0,23.0,35.0,15.0,1.0,59.0,28.0,7.0,22.0,50.0,18.0,5.0,51.0,56.0,26.0,3.0,42.0,29.0,6.0,11.0,74.0,17.0,13.0,70.0,39.0,37.0,4.0,115.0
4279,6.0,29.0,24.0,20.0,39.0,2.0,0.0,31.0,13.0,17.0,3.0,25.0,15.0,11.0,1.0,57.0,9.0,21.0,40.0,12.0,16.0,14.0,8.0,36.0,46.0,44.0,59.0,5.0,28.0,27.0
4328,0.0,1.0,9.0,22.0,21.0,6.0,4.0,105.0,7.0,51.0,5.0,15.0,27.0,13.0,8.0,59.0,16.0,11.0,123.0,2.0,3.0,28.0,12.0,25.0,10.0,35.0,50.0,14.0,31.0,38.0
4377,6.0,3.0,10.0,8.0,13.0,1.0,5.0,15.0,38.0,26.0,4.0,12.0,30.0,11.0,24.0,88.0,36.0,39.0,53.0,25.0,2.0,0.0,59.0,19.0,31.0,41.0,37.0,54.0,46.0,35.0
4426,3.0,0.0,12.0,13.0,21.0,7.0,36.0,43.0,8.0,48.0,26.0,25.0,33.0,5.0,9.0,14.0,27.0,2.0,44.0,16.0,6.0,1.0,120.0,24.0,72.0,11.0,134.0,54.0,4.0,28.0
4475,6.0,0.0,8.0,13.0,5.0,10.0,35.0,1.0,3.0,39.0,4.0,31.0,21.0,23.0,17.0,14.0,44.0,2.0,24.0,18.0,38.0,16.0,77.0,33.0,15.0,30.0,87.0,47.0,7.0,68.0
4524,5.0,0.0,8.0,21.0,20.0,28.0,71.0,1.0,22.0,14.0,7.0,18.0,9.0,6.0,3.0,16.0,36.0,2.0,115.0,31.0,51.0,10.0,55.0,40.0,29.0,32.0,66.0,12.0,35.0,46.0
4573,9.0,0.0,18.0,4.0,3.0,6.0,20.0,19.0,16.0,23.0,17.0,8.0,39.0,25.0,77.0,12.0,30.0,1.0,36.0,10.0,51.0,2.0,93.0,15.0,43.0,7.0,71.0,31.0,14.0,62.0
4622,6.0,0.0,10.0,8.0,1.0,23.0,30.0,7.0,15.0,32.0,5.0,45.0,19.0,48.0,31.0,11.0,56.0,2.0,13.0,18.0,39.0,27.0,68.0,29.0,25.0,17.0,52.0,22.0,16.0,50.0
4671,0.0,1.0,22.0,7.0,5.0,9.0,17.0,14.0,8.0,35.0,3.0,11.0,28.0,29.0,32.0,23.0,10.0,2.0,48.0,45.0,30.0,4.0,25.0,26.0,44.0,6.0,79.0,15.0,18.0,21.0
4720,0.0,1.0,9.0,5.0,21.0,11.0,63.0,22.0,8.0,48.0,16.0,19.0,23.0,31.0,43.0,3.0,14.0,17.0,33.0,20.0,103.0,10.0,86.0,26.0,45.0,6.0,72.0,30.0,39.0,29.0
4769,31.0,0.0,13.0,29.0,39.0,24.0,103.0,2.0,4.0,51.0,1.0,8.0,18.0,33.0,7.0,28.0,20.0,9.0,58.0,3.0,54.0,5.0,56.0,17.0,23.0,25.0,55.0,19.0,34.0,68.0
4818,7.0,0.0,12.0,22.0,11.0,13.0,65.0,14.0,3.0,6.0,2.0,64.0,29.0,46.0,15.0,17.0,48.0,1.0,35.0,39.0,28.0,16.0,49.0,21.0,33.0,32.0,41.0,34.0,8.0,44.0
4867,1.0,0.0,16.0,13.0,5.0,8.0,28.0,11.0,14.0,20.0,15.0,32.0,18.0,3.0,10.0,9.0,25.0,6.0,22.0,17.0,62.0,2.0,69.0,36.0,47.0,38.0,30.0,21.0,35.0,45.0
