,KRAS.G12_13_MUT,TRIM49_DEL,CREBBP_MUT,PDE4DIP_AMP,GSTTP2_DEL,ETS1_DEL,CDC73_AMP,GRIN2B_DEL,ZBTB44_DEL,TMEM230_DEL,GRIN2A_DEL,ZCCHC4_DEL,WDR91_DEL,CCDC113_DEL,FOXN3-AS2_DEL,GRIK4_DEL,GRIN2D_DEL,ABR_DEL,SETD2_DEL,MRPL18_DEL,TIMM21_DEL,MRPL15_DEL,THYN1_DEL,CCDC59_DEL,MED4_DEL,HIPK2_DEL,NDUFAF4_DEL,STXBP6_DEL,CHMP4A_DEL,LINC00652_DEL
1112,0.0,10.0,31.0,2.0,10999.0,5752.0,23121.0,78.0,54.0,58.0,114.0,55.0,56.0,59.0,100.0,101.0,57.0,102.0,52.0,51.0,73.0,72.0,68.0,64.0,61.0,103.0,49.0,53.0,76.0,50.0
1161,0.0,15.0,16044.0,27.0,16.0,5754.0,1.0,56.0,62.0,71.0,54.0,57.0,67.0,61.0,53.0,51.0,65.0,106.0,55.0,50.0,68.0,69.0,70.0,64.0,60.0,73.0,52.0,63.0,66.0,48.0
1210,0.0,2.0,16044.0,18853.0,15.0,6.0,23100.0,101.0,55.0,100.0,102.0,95.0,77.0,54.0,103.0,104.0,99.0,106.0,52.0,51.0,59.0,57.0,46.0,48.0,56.0,114.0,50.0,68.0,47.0,49.0
1259,24134.0,11613.0,0.0,13.0,12.0,14.0,23120.0,73.0,48.0,56.0,104.0,49.0,54.0,47.0,76.0,98.0,55.0,99.0,51.0,52.0,74.0,68.0,69.0,72.0,59.0,101.0,66.0,67.0,71.0,53.0
1308,24134.0,14.0,12.0,0.0,11002.0,5755.0,1.0,103.0,46.0,102.0,104.0,57.0,97.0,48.0,105.0,107.0,100.0,108.0,58.0,50.0,70.0,71.0,72.0,60.0,68.0,109.0,56.0,67.0,75.0,51.0
1357,24134.0,33.0,17.0,34.0,38.0,5756.0,23102.0,56.0,79.0,82.0,49.0,80.0,81.0,78.0,51.0,52.0,65.0,53.0,77.0,76.0,115.0,67.0,68.0,71.0,72.0,54.0,73.0,126.0,70.0,75.0
1406,0.0,7.0,6.0,1.0,11003.0,5.0,23119.0,50.0,53.0,51.0,75.0,55.0,56.0,57.0,106.0,79.0,54.0,78.0,49.0,76.0,66.0,67.0,68.0,70.0,71.0,101.0,74.0,65.0,69.0,60.0
1455,1.0,11609.0,28.0,37.0,27.0,0.0,23119.0,61.0,75.0,63.0,53.0,76.0,77.0,74.0,46.0,47.0,80.0,48.0,73.0,71.0,125.0,198.0,124.0,64.0,67.0,49.0,68.0,185.0,103.0,69.0
1504,24134.0,27.0,34.0,25.0,1.0,5752.0,23122.0,48.0,69.0,47.0,58.0,59.0,51.0,60.0,50.0,52.0,46.0,53.0,77.0,76.0,65.0,66.0,68.0,78.0,72.0,54.0,74.0,63.0,70.0,75.0
1553,24134.0,18.0,16042.0,18849.0,17.0,22.0,23122.0,63.0,73.0,64.0,62.0,69.0,68.0,57.0,60.0,59.0,65.0,72.0,71.0,67.0,49.0,56.0,48.0,55.0,58.0,50.0,61.0,53.0,52.0,66.0
1602,3.0,11613.0,16044.0,18852.0,24.0,22.0,44.0,54.0,62.0,61.0,47.0,78.0,63.0,75.0,48.0,49.0,79.0,50.0,74.0,73.0,64.0,65.0,66.0,68.0,69.0,51.0,70.0,104.0,67.0,72.0
1651,24134.0,17.0,1.0,37.0,7.0,42.0,2.0,62.0,67.0,54.0,49.0,68.0,69.0,66.0,51.0,52.0,70.0,50.0,72.0,65.0,57.0,58.0,59.0,61.0,63.0,47.0,71.0,56.0,60.0,64.0
1700,24134.0,3.0,33.0,2.0,7.0,4.0,44.0,59.0,47.0,54.0,76.0,48.0,49.0,51.0,95.0,78.0,50.0,77.0,52.0,53.0,67.0,68.0,70.0,72.0,74.0,99.0,58.0,66.0,71.0,75.0
1749,24134.0,38.0,22.0,0.0,2.0,33.0,39.0,71.0,66.0,74.0,72.0,67.0,68.0,65.0,53.0,73.0,69.0,51.0,64.0,63.0,55.0,56.0,57.0,59.0,60.0,47.0,61.0,54.0,58.0,62.0
1798,17.0,8.0,15.0,10.0,11003.0,6.0,23121.0,102.0,53.0,101.0,80.0,79.0,98.0,56.0,103.0,105.0,81.0,109.0,60.0,59.0,75.0,76.0,63.0,52.0,55.0,111.0,57.0,74.0,70.0,58.0
1847,24134.0,1.0,16042.0,18851.0,10998.0,5751.0,39.0,103.0,58.0,102.0,104.0,59.0,62.0,57.0,105.0,118.0,82.0,107.0,55.0,53.0,72.0,73.0,74.0,64.0,80.0,111.0,81.0,71.0,75.0,49.0
1896,24134.0,1.0,16044.0,21.0,11002.0,0.0,38.0,60.0,54.0,62.0,59.0,58.0,66.0,67.0,56.0,51.0,63.0,49.0,65.0,64.0,47.0,48.0,45.0,55.0,57.0,46.0,69.0,210.0,68.0,61.0
1945,24134.0,9.0,16043.0,38.0,7.0,8.0,23121.0,59.0,50.0,58.0,60.0,51.0,54.0,49.0,61.0,62.0,55.0,63.0,67.0,68.0,80.0,82.0,83.0,85.0,86.0,64.0,87.0,88.0,84.0,69.0
1994,22.0,11611.0,16044.0,18852.0,11000.0,6.0,1.0,60.0,53.0,59.0,61.0,54.0,57.0,52.0,62.0,63.0,58.0,76.0,51.0,50.0,85.0,67.0,66.0,56.0,47.0,87.0,48.0,84.0,65.0,49.0
2043,24134.0,11609.0,5.0,18853.0,23.0,5752.0,38.0,64.0,56.0,66.0,60.0,45.0,58.0,46.0,59.0,57.0,67.0,55.0,63.0,53.0,115.0,70.0,61.0,71.0,69.0,54.0,68.0,189.0,62.0,65.0
2092,24134.0,2.0,21.0,18854.0,11001.0,18.0,23121.0,60.0,57.0,62.0,68.0,66.0,65.0,55.0,53.0,52.0,64.0,51.0,61.0,48.0,54.0,58.0,69.0,67.0,63.0,49.0,59.0,50.0,45.0,56.0
2141,24134.0,21.0,16043.0,3.0,11000.0,5748.0,32.0,70.0,59.0,68.0,71.0,61.0,65.0,58.0,64.0,53.0,72.0,50.0,60.0,62.0,48.0,51.0,56.0,69.0,67.0,49.0,66.0,47.0,57.0,63.0
2190,24134.0,8.0,9.0,18853.0,11000.0,6.0,0.0,101.0,53.0,100.0,102.0,56.0,78.0,58.0,103.0,104.0,80.0,105.0,47.0,49.0,74.0,75.0,76.0,57.0,55.0,106.0,52.0,71.0,59.0,50.0
2239,4.0,2.0,15.0,18856.0,11001.0,5755.0,40.0,47.0,77.0,46.0,48.0,78.0,61.0,76.0,49.0,58.0,59.0,50.0,75.0,74.0,65.0,66.0,67.0,69.0,70.0,51.0,71.0,82.0,68.0,72.0
2288,3.0,6.0,0.0,18853.0,12.0,5754.0,23120.0,53.0,51.0,52.0,54.0,48.0,57.0,59.0,55.0,56.0,58.0,79.0,60.0,76.0,66.0,67.0,68.0,71.0,72.0,81.0,73.0,65.0,69.0,74.0
2337,38.0,32.0,16045.0,31.0,11004.0,5750.0,1.0,83.0,75.0,81.0,72.0,77.0,79.0,74.0,61.0,55.0,80.0,49.0,73.0,71.0,125.0,106.0,64.0,66.0,68.0,50.0,69.0,167.0,65.0,70.0
2386,24134.0,11607.0,0.0,18849.0,10997.0,32.0,45.0,76.0,70.0,75.0,77.0,71.0,73.0,69.0,78.0,64.0,74.0,63.0,68.0,67.0,185.0,210.0,83.0,80.0,46.0,62.0,65.0,183.0,51.0,66.0
2435,1.0,26.0,13.0,18853.0,19.0,40.0,43.0,72.0,67.0,71.0,52.0,74.0,69.0,66.0,62.0,48.0,70.0,47.0,65.0,64.0,56.0,57.0,58.0,60.0,61.0,50.0,63.0,55.0,59.0,73.0
2484,23.0,11610.0,0.0,18855.0,17.0,35.0,23101.0,65.0,60.0,64.0,66.0,61.0,62.0,59.0,67.0,68.0,63.0,70.0,58.0,57.0,69.0,50.0,51.0,53.0,54.0,94.0,55.0,71.0,52.0,56.0
2533,1.0,11617.0,16.0,18856.0,11006.0,5768.0,23102.0,56.0,64.0,73.0,52.0,63.0,61.0,65.0,49.0,50.0,58.0,54.0,67.0,74.0,60.0,62.0,66.0,57.0,72.0,68.0,70.0,59.0,71.0,69.0
2582,0.0,24.0,2.0,7.0,3.0,5752.0,23120.0,46.0,69.0,51.0,47.0,70.0,53.0,52.0,45.0,48.0,71.0,49.0,68.0,67.0,59.0,60.0,61.0,63.0,64.0,50.0,65.0,58.0,62.0,66.0
2631,24134.0,12.0,11.0,18856.0,13.0,5756.0,23121.0,118.0,57.0,55.0,101.0,53.0,51.0,59.0,102.0,103.0,49.0,104.0,77.0,61.0,64.0,66.0,67.0,71.0,72.0,105.0,73.0,63.0,68.0,75.0
2680,0.0,21.0,18.0,27.0,11003.0,17.0,23121.0,57.0,48.0,62.0,55.0,69.0,68.0,67.0,53.0,52.0,63.0,51.0,66.0,60.0,61.0,73.0,70.0,72.0,65.0,49.0,64.0,59.0,71.0,58.0
2729,2.0,11612.0,34.0,18852.0,28.0,5754.0,23120.0,50.0,77.0,49.0,51.0,78.0,66.0,76.0,52.0,53.0,65.0,54.0,74.0,73.0,82.0,79.0,69.0,48.0,67.0,56.0,68.0,63.0,64.0,71.0
2778,0.0,12.0,11.0,18855.0,14.0,15.0,36.0,53.0,52.0,51.0,108.0,49.0,57.0,54.0,80.0,103.0,47.0,104.0,79.0,75.0,66.0,69.0,78.0,71.0,72.0,106.0,73.0,65.0,70.0,74.0
2827,24134.0,11614.0,16045.0,13.0,3.0,5767.0,38.0,103.0,117.0,102.0,104.0,78.0,100.0,73.0,105.0,106.0,101.0,107.0,58.0,45.0,71.0,72.0,68.0,53.0,52.0,108.0,49.0,70.0,50.0,47.0
2876,24134.0,36.0,0.0,37.0,11005.0,5758.0,23102.0,67.0,80.0,84.0,65.0,81.0,82.0,78.0,64.0,48.0,83.0,49.0,77.0,75.0,188.0,189.0,130.0,107.0,68.0,50.0,73.0,187.0,128.0,74.0
2925,1.0,33.0,16.0,32.0,29.0,30.0,23101.0,82.0,76.0,79.0,66.0,84.0,77.0,74.0,67.0,75.0,78.0,65.0,73.0,72.0,190.0,129.0,171.0,87.0,68.0,57.0,69.0,189.0,128.0,71.0
2974,11.0,18.0,16046.0,13.0,11006.0,5761.0,23100.0,87.0,81.0,86.0,88.0,82.0,84.0,80.0,69.0,68.0,85.0,67.0,79.0,78.0,70.0,71.0,72.0,74.0,75.0,56.0,76.0,113.0,73.0,77.0
3023,1.0,15.0,16046.0,18855.0,0.0,34.0,44.0,88.0,83.0,87.0,89.0,84.0,85.0,82.0,69.0,68.0,86.0,50.0,81.0,90.0,72.0,73.0,74.0,76.0,77.0,51.0,78.0,71.0,75.0,80.0
3072,24134.0,11618.0,16047.0,18857.0,11008.0,13.0,23101.0,79.0,46.0,96.0,101.0,57.0,50.0,56.0,102.0,103.0,48.0,104.0,55.0,53.0,71.0,73.0,74.0,58.0,54.0,105.0,49.0,70.0,76.0,51.0
3121,24134.0,31.0,13.0,19.0,1.0,5763.0,47.0,80.0,76.0,64.0,62.0,77.0,63.0,75.0,61.0,48.0,79.0,49.0,74.0,73.0,83.0,65.0,66.0,68.0,70.0,50.0,71.0,125.0,67.0,72.0
3170,0.0,1.0,16042.0,3.0,10998.0,5747.0,42.0,84.0,79.0,83.0,85.0,80.0,81.0,78.0,65.0,64.0,82.0,46.0,77.0,76.0,68.0,69.0,70.0,72.0,73.0,47.0,74.0,67.0,71.0,75.0
3219,11.0,25.0,16044.0,18854.0,20.0,2.0,3.0,64.0,59.0,63.0,65.0,60.0,61.0,58.0,67.0,91.0,62.0,113.0,57.0,56.0,48.0,49.0,50.0,52.0,53.0,92.0,54.0,47.0,51.0,55.0
3268,24134.0,13.0,11.0,18852.0,11001.0,5751.0,32.0,51.0,48.0,49.0,53.0,45.0,46.0,47.0,54.0,55.0,56.0,74.0,50.0,57.0,68.0,76.0,69.0,71.0,73.0,77.0,58.0,65.0,70.0,75.0
3317,3.0,0.0,16046.0,8.0,16.0,33.0,23101.0,47.0,87.0,65.0,48.0,88.0,68.0,86.0,49.0,50.0,66.0,51.0,85.0,84.0,76.0,77.0,79.0,80.0,81.0,53.0,82.0,75.0,89.0,83.0
3366,24134.0,0.0,8.0,18856.0,10.0,5757.0,36.0,47.0,61.0,55.0,79.0,60.0,59.0,63.0,99.0,81.0,58.0,119.0,78.0,71.0,73.0,64.0,70.0,65.0,66.0,103.0,68.0,74.0,46.0,69.0
3415,24134.0,4.0,6.0,1.0,11006.0,25.0,42.0,49.0,46.0,47.0,51.0,45.0,48.0,53.0,52.0,70.0,50.0,93.0,69.0,55.0,62.0,61.0,60.0,58.0,57.0,72.0,56.0,63.0,59.0,54.0
3464,11.0,2.0,0.0,18854.0,13.0,4.0,23100.0,86.0,81.0,85.0,67.0,82.0,83.0,80.0,66.0,64.0,84.0,46.0,79.0,78.0,70.0,71.0,72.0,74.0,75.0,47.0,76.0,69.0,73.0,77.0
3513,0.0,11.0,16045.0,8.0,12.0,32.0,45.0,88.0,83.0,87.0,67.0,84.0,85.0,82.0,54.0,48.0,86.0,49.0,81.0,80.0,71.0,72.0,73.0,75.0,76.0,50.0,77.0,70.0,74.0,78.0
3562,0.0,9.0,16045.0,11.0,8.0,1.0,36.0,45.0,54.0,44.0,73.0,50.0,47.0,74.0,75.0,95.0,46.0,77.0,56.0,55.0,63.0,65.0,67.0,69.0,70.0,99.0,71.0,62.0,68.0,72.0
3611,9.0,25.0,12.0,18857.0,26.0,2.0,37.0,64.0,75.0,65.0,63.0,76.0,82.0,74.0,47.0,48.0,80.0,49.0,73.0,72.0,62.0,78.0,67.0,66.0,68.0,50.0,69.0,56.0,54.0,70.0
3660,0.0,1.0,43.0,2.0,27.0,36.0,23119.0,49.0,69.0,48.0,50.0,68.0,67.0,88.0,51.0,52.0,66.0,53.0,87.0,86.0,78.0,79.0,80.0,82.0,83.0,54.0,84.0,77.0,81.0,85.0
3709,0.0,1.0,41.0,12.0,11001.0,4.0,2.0,81.0,75.0,80.0,82.0,77.0,86.0,74.0,83.0,84.0,79.0,85.0,73.0,72.0,135.0,179.0,134.0,68.0,69.0,67.0,70.0,200.0,110.0,71.0
3758,34.0,3.0,16043.0,18853.0,6.0,0.0,1.0,74.0,57.0,55.0,76.0,49.0,50.0,56.0,96.0,77.0,51.0,99.0,47.0,46.0,67.0,68.0,71.0,58.0,59.0,103.0,75.0,66.0,72.0,45.0
3807,1.0,28.0,16045.0,18857.0,0.0,39.0,44.0,90.0,62.0,89.0,114.0,63.0,65.0,61.0,115.0,116.0,88.0,117.0,60.0,59.0,51.0,52.0,53.0,55.0,56.0,118.0,57.0,50.0,54.0,58.0
3856,24134.0,25.0,16042.0,11.0,4.0,0.0,35.0,60.0,52.0,61.0,59.0,65.0,64.0,66.0,57.0,56.0,63.0,54.0,62.0,58.0,98.0,50.0,44.0,46.0,48.0,67.0,53.0,115.0,51.0,55.0
3905,24134.0,1.0,2.0,18.0,26.0,3.0,23100.0,52.0,60.0,53.0,58.0,56.0,55.0,66.0,95.0,74.0,54.0,98.0,67.0,68.0,62.0,63.0,72.0,51.0,64.0,99.0,70.0,65.0,50.0,46.0
3954,24134.0,0.0,1.0,18855.0,11002.0,10.0,23120.0,52.0,54.0,51.0,53.0,48.0,49.0,47.0,75.0,104.0,50.0,77.0,46.0,44.0,67.0,68.0,69.0,72.0,73.0,76.0,56.0,74.0,70.0,65.0
4003,3.0,17.0,16042.0,18850.0,10997.0,5748.0,2.0,49.0,70.0,50.0,47.0,58.0,56.0,63.0,94.0,72.0,54.0,97.0,64.0,68.0,62.0,48.0,52.0,57.0,60.0,98.0,65.0,67.0,55.0,69.0
4052,3.0,11.0,8.0,18852.0,0.0,1.0,38.0,60.0,62.0,51.0,55.0,61.0,48.0,64.0,58.0,59.0,49.0,66.0,78.0,68.0,72.0,77.0,75.0,73.0,71.0,98.0,70.0,52.0,74.0,69.0
4101,24134.0,11.0,9.0,18837.0,8.0,33.0,23119.0,53.0,55.0,48.0,75.0,54.0,51.0,56.0,77.0,106.0,50.0,79.0,76.0,74.0,60.0,61.0,62.0,66.0,67.0,78.0,68.0,116.0,63.0,72.0
4150,24134.0,28.0,16045.0,13.0,11001.0,19.0,34.0,69.0,72.0,68.0,56.0,62.0,66.0,60.0,63.0,49.0,67.0,50.0,59.0,58.0,48.0,70.0,55.0,71.0,64.0,52.0,54.0,51.0,65.0,57.0
4199,4.0,11613.0,21.0,20.0,19.0,0.0,3.0,57.0,56.0,59.0,69.0,66.0,62.0,68.0,55.0,50.0,61.0,46.0,67.0,65.0,47.0,49.0,51.0,58.0,60.0,48.0,63.0,53.0,54.0,64.0
4248,24134.0,10.0,35.0,6.0,13.0,7.0,0.0,96.0,51.0,75.0,79.0,52.0,53.0,50.0,78.0,99.0,55.0,100.0,48.0,46.0,65.0,66.0,68.0,69.0,70.0,101.0,71.0,64.0,76.0,73.0
4297,1.0,29.0,15.0,28.0,0.0,27.0,45.0,77.0,72.0,76.0,78.0,73.0,74.0,71.0,79.0,80.0,75.0,62.0,70.0,68.0,190.0,128.0,215.0,104.0,64.0,81.0,66.0,188.0,126.0,67.0
4346,10.0,3.0,18.0,18852.0,33.0,32.0,42.0,81.0,73.0,80.0,82.0,74.0,75.0,72.0,65.0,63.0,77.0,54.0,71.0,68.0,186.0,187.0,188.0,128.0,127.0,47.0,86.0,185.0,129.0,67.0
4395,24134.0,9.0,0.0,5.0,3.0,8.0,43.0,50.0,59.0,51.0,48.0,58.0,55.0,65.0,47.0,63.0,53.0,104.0,68.0,69.0,52.0,62.0,66.0,45.0,73.0,77.0,72.0,46.0,71.0,70.0
4444,24134.0,11608.0,8.0,18853.0,10999.0,5755.0,39.0,50.0,60.0,48.0,52.0,57.0,58.0,59.0,56.0,76.0,49.0,78.0,75.0,74.0,65.0,66.0,67.0,70.0,71.0,80.0,72.0,64.0,69.0,73.0
4493,0.0,11608.0,43.0,2.0,17.0,36.0,45.0,60.0,55.0,59.0,61.0,56.0,57.0,54.0,62.0,63.0,58.0,64.0,53.0,52.0,68.0,67.0,66.0,48.0,49.0,65.0,50.0,69.0,47.0,51.0
4542,1.0,30.0,46.0,32.0,11001.0,38.0,0.0,65.0,60.0,64.0,66.0,61.0,62.0,59.0,67.0,69.0,63.0,93.0,58.0,57.0,49.0,50.0,51.0,53.0,54.0,115.0,55.0,68.0,52.0,56.0
4591,24134.0,21.0,16.0,15.0,19.0,5758.0,23120.0,57.0,49.0,62.0,55.0,69.0,68.0,67.0,51.0,65.0,64.0,109.0,74.0,63.0,73.0,60.0,53.0,50.0,52.0,76.0,72.0,71.0,70.0,56.0
4640,24134.0,32.0,18.0,29.0,11003.0,31.0,23120.0,50.0,81.0,49.0,51.0,65.0,84.0,79.0,52.0,53.0,63.0,64.0,78.0,77.0,128.0,87.0,67.0,69.0,70.0,55.0,71.0,130.0,68.0,75.0
4689,0.0,11610.0,41.0,11.0,11001.0,3.0,43.0,84.0,78.0,83.0,85.0,79.0,81.0,77.0,86.0,66.0,82.0,87.0,76.0,75.0,132.0,68.0,69.0,71.0,72.0,65.0,73.0,133.0,70.0,74.0
4738,10.0,14.0,43.0,12.0,11000.0,33.0,48.0,88.0,83.0,87.0,89.0,84.0,85.0,82.0,90.0,71.0,86.0,70.0,81.0,80.0,72.0,73.0,74.0,76.0,77.0,69.0,78.0,92.0,75.0,79.0
4787,12.0,11615.0,1.0,18853.0,11004.0,5755.0,23141.0,48.0,68.0,47.0,49.0,69.0,53.0,67.0,50.0,51.0,61.0,64.0,66.0,65.0,57.0,58.0,59.0,62.0,70.0,71.0,63.0,56.0,60.0,52.0
4836,24134.0,11609.0,12.0,2.0,11000.0,5753.0,39.0,52.0,55.0,50.0,54.0,48.0,56.0,46.0,78.0,98.0,49.0,80.0,57.0,58.0,69.0,70.0,71.0,73.0,74.0,101.0,75.0,77.0,72.0,76.0
4885,1.0,29.0,43.0,0.0,11004.0,5755.0,48.0,91.0,64.0,80.0,126.0,65.0,66.0,63.0,92.0,117.0,67.0,118.0,62.0,61.0,53.0,54.0,55.0,69.0,58.0,119.0,59.0,52.0,56.0,60.0
