,IFI27,PLAGL1,GSTT1,PREX2,PRICKLE1,SULF2,IQCA1,RP11-98I9.4,AC016683.6,PTPN13,KCTD14,RP11-390F4.3,DZIP1,CALB1,PRTFDC1,WSCD1,PCDHB2,FAM83A,RP11-389O22.4,G0S2,RP11-73M18.7,KCNK1,RNY3P8,LAMB3,TMEM117,RP11-477N3.1,FRYL,CTSZ,CEP152,SNORD68
792,0.0,18.0,158.0,3.0,41.0,67.0,1.0,6.0,42.0,36.0,26.0,69.0,2.0,1533.0,81.0,110.0,4.0,25.0,169.0,285.0,58.0,60.0,288.0,38.0,66.0,27.0,23.0,94.0,150.0,22.0
841,0.0,8.0,5.0,11.0,23.0,17.0,3.0,15.0,21.0,16.0,68.0,20.0,12.0,93.0,29.0,305.0,2.0,4.0,54.0,18.0,69.0,14.0,31.0,27.0,6.0,45.0,85.0,225.0,71.0,7.0
890,1.0,8.0,0.0,4.0,11.0,69.0,62.0,5.0,38.0,30.0,29.0,28.0,2.0,25.0,7.0,44.0,14.0,10.0,124.0,9.0,26.0,12.0,61.0,78.0,6.0,56.0,66.0,32.0,45.0,3.0
939,0.0,18.0,2.0,22.0,44.0,9.0,40.0,15.0,278.0,6.0,146.0,10.0,1.0,19.0,73.0,90.0,3.0,4.0,105.0,34.0,103.0,5.0,174.0,31.0,8.0,141.0,91.0,1291.0,87.0,27.0
988,25.0,127.0,0.0,6.0,5.0,10.0,86.0,7.0,2.0,16.0,3.0,107.0,62.0,9.0,1.0,59.0,8.0,114.0,264.0,4.0,54.0,142.0,29.0,50.0,30.0,218.0,75.0,21.0,67.0,108.0
1037,8.0,102.0,14.0,2.0,4.0,7.0,144.0,19.0,18.0,32.0,53.0,274.0,13.0,62.0,47.0,94.0,0.0,109.0,241.0,1.0,77.0,89.0,67.0,26.0,74.0,224.0,117.0,23.0,24.0,33.0
1086,0.0,91.0,12.0,50.0,26.0,1.0,22.0,55.0,2.0,5.0,11.0,155.0,8.0,3.0,10.0,589.0,4.0,7.0,92.0,16.0,122.0,31.0,82.0,19.0,32.0,190.0,42.0,301.0,17.0,79.0
1135,5.0,10.0,0.0,20.0,16.0,2.0,29.0,15.0,3.0,9.0,26.0,121.0,56.0,50.0,1.0,169.0,4.0,37.0,65.0,8.0,14.0,18.0,30.0,17.0,77.0,95.0,181.0,31.0,82.0,36.0
1184,15.0,212.0,1.0,3.0,12.0,0.0,46.0,33.0,4.0,20.0,14.0,22.0,5.0,25.0,2.0,232.0,34.0,147.0,28.0,11.0,44.0,56.0,36.0,108.0,72.0,113.0,123.0,82.0,75.0,21.0
1233,0.0,16.0,12.0,3.0,7.0,24.0,29.0,10.0,19.0,4.0,8.0,96.0,28.0,11.0,5.0,104.0,9.0,139.0,17.0,1.0,78.0,39.0,80.0,15.0,25.0,57.0,150.0,30.0,62.0,84.0
1282,10.0,29.0,0.0,11.0,8.0,12.0,40.0,22.0,13.0,3.0,5.0,24.0,35.0,14.0,1.0,149.0,77.0,4.0,39.0,25.0,15.0,28.0,41.0,160.0,19.0,219.0,51.0,21.0,74.0,52.0
1331,4.0,135.0,0.0,3.0,10.0,1.0,33.0,26.0,55.0,16.0,8.0,44.0,9.0,13.0,7.0,52.0,72.0,57.0,81.0,30.0,32.0,20.0,413.0,128.0,66.0,111.0,25.0,197.0,79.0,260.0
1380,6.0,124.0,13.0,3.0,17.0,1.0,15.0,173.0,83.0,8.0,24.0,59.0,2.0,10.0,0.0,155.0,4.0,19.0,54.0,18.0,29.0,12.0,134.0,104.0,71.0,1482.0,55.0,142.0,52.0,845.0
1429,3.0,0.0,1.0,5.0,11.0,4.0,50.0,36.0,2.0,21.0,8.0,52.0,20.0,7.0,30.0,1331.0,27.0,41.0,74.0,35.0,29.0,120.0,15.0,45.0,155.0,145.0,122.0,71.0,140.0,40.0
1478,0.0,3.0,4.0,1.0,6.0,24.0,19.0,10.0,72.0,48.0,2.0,108.0,58.0,168.0,7.0,14.0,194.0,42.0,27.0,62.0,17.0,533.0,47.0,23.0,33.0,40.0,50.0,118.0,28.0,36.0
1527,2.0,0.0,13.0,4.0,16.0,1.0,14.0,10.0,407.0,17.0,5.0,21.0,24.0,144.0,11.0,8.0,32.0,127.0,36.0,22.0,23.0,94.0,66.0,74.0,43.0,88.0,119.0,218.0,25.0,545.0
1576,1.0,0.0,4.0,10.0,66.0,8.0,6.0,13.0,241.0,18.0,2.0,15.0,63.0,43.0,3.0,31.0,21.0,11.0,41.0,14.0,17.0,145.0,134.0,20.0,49.0,48.0,120.0,744.0,16.0,875.0
1625,1.0,4.0,0.0,5.0,12.0,3.0,7.0,20.0,26.0,22.0,2.0,30.0,111.0,21.0,10.0,9.0,157.0,152.0,6.0,84.0,11.0,350.0,74.0,80.0,171.0,23.0,128.0,409.0,45.0,105.0
1674,0.0,3.0,5.0,7.0,16.0,4.0,1.0,36.0,34.0,40.0,6.0,90.0,60.0,26.0,2.0,9.0,32.0,52.0,12.0,14.0,38.0,64.0,73.0,23.0,18.0,37.0,107.0,30.0,44.0,798.0
1723,1.0,6.0,2.0,0.0,7.0,4.0,8.0,12.0,69.0,29.0,10.0,85.0,291.0,47.0,13.0,9.0,162.0,62.0,40.0,79.0,16.0,412.0,26.0,63.0,83.0,19.0,57.0,110.0,33.0,81.0
1772,1.0,2.0,4.0,8.0,3.0,0.0,16.0,14.0,63.0,23.0,9.0,28.0,45.0,296.0,13.0,31.0,5.0,186.0,25.0,32.0,19.0,74.0,48.0,20.0,7.0,11.0,96.0,81.0,12.0,167.0
1821,0.0,1.0,6.0,19.0,2.0,5.0,14.0,17.0,47.0,39.0,3.0,60.0,37.0,27.0,38.0,4.0,18.0,21.0,26.0,8.0,108.0,88.0,650.0,32.0,56.0,76.0,128.0,616.0,25.0,356.0
1870,3.0,1.0,0.0,39.0,16.0,31.0,9.0,5.0,4.0,12.0,2.0,13.0,162.0,18.0,10.0,40.0,85.0,62.0,26.0,45.0,8.0,574.0,89.0,339.0,23.0,19.0,76.0,148.0,33.0,134.0
1919,1.0,4.0,2.0,3.0,9.0,14.0,10.0,5.0,65.0,53.0,0.0,18.0,46.0,44.0,13.0,6.0,34.0,529.0,35.0,125.0,8.0,835.0,82.0,51.0,62.0,43.0,90.0,48.0,56.0,975.0
1968,0.0,6.0,51.0,2.0,1.0,254.0,50.0,5.0,11.0,12.0,137.0,35.0,66.0,164.0,24.0,16.0,71.0,13.0,114.0,26.0,3.0,25.0,20.0,17.0,36.0,33.0,30.0,19.0,32.0,206.0
2017,3.0,31.0,13.0,1.0,4.0,918.0,174.0,7.0,46.0,70.0,2.0,18.0,27.0,10.0,14.0,12.0,246.0,149.0,63.0,0.0,87.0,62.0,173.0,5.0,24.0,11.0,85.0,49.0,38.0,6767.0
2066,1.0,0.0,34.0,25.0,3.0,109.0,26.0,36.0,68.0,17.0,21.0,16.0,13.0,44.0,18.0,41.0,526.0,10.0,12.0,14.0,5.0,8.0,22.0,2.0,74.0,27.0,101.0,7.0,190.0,37.0
2115,7.0,9.0,0.0,6.0,3.0,181.0,15.0,13.0,58.0,78.0,46.0,30.0,63.0,88.0,5.0,16.0,28.0,2.0,44.0,23.0,1.0,50.0,17.0,11.0,21.0,38.0,53.0,80.0,200.0,147.0
2164,1.0,0.0,8.0,2.0,6.0,250.0,4.0,32.0,33.0,10.0,43.0,63.0,93.0,80.0,9.0,12.0,20.0,26.0,24.0,16.0,3.0,87.0,79.0,23.0,42.0,17.0,98.0,5.0,60.0,14.0
2213,0.0,39.0,74.0,38.0,2.0,359.0,11.0,64.0,8.0,27.0,276.0,43.0,16.0,164.0,132.0,45.0,1.0,20.0,5.0,37.0,3.0,80.0,44.0,19.0,155.0,25.0,109.0,6.0,128.0,244.0
2262,19.0,36.0,39.0,32.0,30.0,389.0,4.0,11.0,12.0,15.0,69.0,153.0,24.0,55.0,1.0,7.0,2.0,13.0,59.0,8.0,0.0,336.0,38.0,5.0,50.0,21.0,16.0,54.0,85.0,14.0
2311,13.0,17.0,0.0,5.0,16.0,155.0,20.0,15.0,10.0,40.0,6.0,11.0,69.0,26.0,1.0,80.0,42.0,12.0,18.0,7.0,2.0,87.0,32.0,8.0,27.0,14.0,106.0,35.0,23.0,56.0
2360,13.0,252.0,1.0,4.0,92.0,128.0,47.0,21.0,6.0,8.0,100.0,179.0,10.0,2.0,3.0,27.0,319.0,0.0,34.0,14.0,9.0,15.0,63.0,5.0,19.0,52.0,17.0,120.0,58.0,287.0
2409,0.0,1.0,32.0,119.0,10.0,932.0,24.0,16.0,2.0,12.0,38.0,20.0,126.0,6.0,7.0,147.0,431.0,31.0,51.0,106.0,3.0,131.0,54.0,34.0,44.0,42.0,46.0,97.0,25.0,4.0
2458,2.0,0.0,13.0,1.0,7.0,3.0,85.0,95.0,310.0,6.0,70.0,28.0,64.0,8.0,62.0,63.0,598.0,211.0,23.0,25.0,17.0,4.0,12.0,42.0,246.0,45.0,15.0,323.0,27.0,81.0
2507,0.0,1.0,13.0,2.0,7.0,10.0,24.0,93.0,34.0,81.0,3.0,17.0,5.0,40.0,11.0,20.0,168.0,128.0,68.0,28.0,15.0,8.0,140.0,198.0,14.0,184.0,26.0,421.0,29.0,90.0
2556,0.0,1.0,27.0,2.0,11.0,16.0,22.0,35.0,36.0,8.0,21.0,10.0,3.0,33.0,15.0,53.0,52.0,61.0,67.0,20.0,29.0,4.0,54.0,107.0,47.0,37.0,17.0,359.0,5.0,414.0
2605,1.0,0.0,16.0,3.0,6.0,19.0,9.0,37.0,44.0,2.0,28.0,11.0,10.0,32.0,15.0,25.0,234.0,23.0,14.0,86.0,8.0,42.0,45.0,70.0,81.0,271.0,4.0,242.0,41.0,47.0
2654,0.0,1.0,55.0,2.0,11.0,12.0,45.0,7.0,24.0,4.0,73.0,133.0,8.0,33.0,177.0,30.0,47.0,354.0,469.0,20.0,92.0,5.0,14.0,75.0,173.0,46.0,13.0,366.0,18.0,17.0
2703,0.0,3.0,10.0,2.0,34.0,1.0,18.0,122.0,8.0,7.0,11.0,6.0,5.0,4.0,79.0,30.0,153.0,61.0,164.0,12.0,42.0,9.0,46.0,14.0,38.0,739.0,16.0,211.0,93.0,77.0
2752,0.0,6.0,21.0,12.0,3.0,8.0,263.0,158.0,142.0,1.0,15.0,83.0,25.0,18.0,140.0,20.0,391.0,53.0,59.0,7.0,42.0,2.0,44.0,54.0,265.0,38.0,17.0,495.0,14.0,50.0
2801,3.0,0.0,1.0,23.0,24.0,10.0,6.0,26.0,45.0,5.0,16.0,30.0,13.0,21.0,4.0,57.0,865.0,47.0,17.0,84.0,12.0,2.0,31.0,44.0,181.0,78.0,15.0,1416.0,38.0,32.0
2850,2.0,0.0,1.0,14.0,60.0,9.0,47.0,21.0,5.0,4.0,110.0,49.0,3.0,8.0,46.0,38.0,36.0,111.0,159.0,17.0,32.0,15.0,103.0,34.0,31.0,301.0,10.0,899.0,23.0,171.0
2899,1.0,0.0,7.0,5.0,9.0,3.0,14.0,178.0,2.0,13.0,19.0,48.0,4.0,16.0,27.0,50.0,89.0,138.0,25.0,65.0,17.0,8.0,43.0,128.0,49.0,47.0,6.0,127.0,24.0,52.0
2948,3.0,37.0,4.0,16.0,2.0,1.0,22.0,55.0,163.0,51.0,8.0,42.0,25.0,168.0,56.0,21.0,73.0,26.0,6.0,62.0,117.0,17.0,155.0,177.0,33.0,32.0,229.0,13.0,53.0,54.0
2997,0.0,9.0,4.0,10.0,13.0,2.0,46.0,39.0,7.0,40.0,1.0,18.0,5.0,76.0,864.0,52.0,100.0,74.0,12.0,23.0,1305.0,33.0,24.0,301.0,160.0,68.0,148.0,11.0,43.0,19.0
3046,2.0,16.0,93.0,9.0,20.0,124.0,10.0,7.0,24.0,6.0,4.0,65.0,5.0,18.0,190.0,15.0,84.0,40.0,14.0,1.0,1372.0,13.0,69.0,105.0,59.0,19.0,146.0,49.0,58.0,41.0
3095,0.0,6.0,130.0,33.0,24.0,42.0,2.0,14.0,8.0,59.0,13.0,51.0,31.0,39.0,1037.0,65.0,3.0,4.0,12.0,23.0,282.0,103.0,47.0,68.0,54.0,70.0,30.0,328.0,211.0,10.0
3144,1.0,0.0,8.0,77.0,31.0,15.0,81.0,76.0,90.0,3.0,28.0,20.0,5.0,16.0,553.0,66.0,85.0,97.0,7.0,21.0,127.0,4.0,10.0,25.0,738.0,72.0,110.0,199.0,89.0,6.0
3193,1.0,2.0,4.0,7.0,3.0,108.0,193.0,42.0,66.0,35.0,6.0,16.0,186.0,483.0,1312.0,673.0,8.0,279.0,13.0,19.0,84.0,52.0,31.0,198.0,167.0,97.0,399.0,54.0,65.0,38.0
3242,2.0,10.0,82.0,77.0,3.0,9.0,14.0,96.0,78.0,1.0,180.0,28.0,38.0,130.0,1203.0,450.0,30.0,7.0,0.0,18.0,125.0,19.0,4.0,70.0,85.0,83.0,152.0,73.0,102.0,8.0
3291,0.0,3.0,8.0,17.0,1.0,14.0,13.0,15.0,2.0,31.0,70.0,45.0,24.0,241.0,238.0,39.0,16.0,7.0,12.0,99.0,75.0,60.0,28.0,92.0,222.0,29.0,658.0,55.0,36.0,4.0
3340,3.0,11.0,20.0,15.0,39.0,0.0,4.0,116.0,106.0,10.0,33.0,18.0,43.0,115.0,836.0,230.0,9.0,73.0,12.0,112.0,34.0,5.0,24.0,152.0,790.0,102.0,80.0,367.0,127.0,16.0
3389,4.0,0.0,11.0,16.0,41.0,13.0,3.0,28.0,1.0,15.0,8.0,6.0,108.0,665.0,4617.0,34.0,496.0,24.0,7.0,114.0,127.0,40.0,19.0,275.0,136.0,12.0,45.0,23.0,44.0,5.0
3438,33.0,2.0,0.0,12.0,27.0,6.0,1.0,24.0,3.0,10.0,39.0,153.0,143.0,65.0,11.0,4.0,13.0,18.0,34.0,99.0,26.0,108.0,43.0,51.0,94.0,22.0,14.0,20.0,205.0,19.0
3487,8.0,0.0,4.0,1.0,75.0,14.0,15.0,7.0,30.0,28.0,10.0,70.0,17.0,24.0,21.0,25.0,2.0,13.0,19.0,27.0,76.0,29.0,77.0,33.0,55.0,117.0,56.0,9.0,57.0,50.0
3536,91.0,6.0,0.0,3.0,204.0,1.0,5.0,17.0,28.0,20.0,4.0,22.0,90.0,61.0,8.0,12.0,2.0,35.0,10.0,81.0,19.0,164.0,47.0,32.0,140.0,50.0,18.0,142.0,153.0,178.0
3585,9.0,4.0,0.0,6.0,34.0,1.0,12.0,31.0,14.0,17.0,26.0,20.0,60.0,70.0,44.0,10.0,19.0,37.0,2.0,346.0,15.0,97.0,50.0,92.0,160.0,95.0,53.0,16.0,181.0,110.0
3634,12.0,7.0,1.0,6.0,67.0,0.0,2.0,17.0,8.0,20.0,4.0,11.0,26.0,23.0,108.0,10.0,9.0,31.0,3.0,37.0,28.0,77.0,43.0,14.0,202.0,92.0,51.0,5.0,264.0,18.0
3683,4.0,1.0,0.0,11.0,61.0,2.0,5.0,8.0,18.0,13.0,25.0,3.0,37.0,34.0,31.0,16.0,51.0,50.0,9.0,77.0,26.0,75.0,53.0,44.0,100.0,48.0,29.0,14.0,168.0,22.0
3732,29.0,0.0,1.0,2.0,11.0,44.0,9.0,14.0,19.0,12.0,13.0,15.0,17.0,221.0,192.0,61.0,167.0,31.0,16.0,39.0,152.0,75.0,60.0,25.0,54.0,52.0,50.0,10.0,415.0,22.0
3781,4.0,0.0,1.0,16.0,81.0,3.0,2.0,22.0,168.0,20.0,36.0,9.0,521.0,80.0,112.0,21.0,6.0,26.0,14.0,24.0,46.0,41.0,64.0,13.0,17.0,123.0,32.0,7.0,66.0,12.0
3830,9.0,0.0,5.0,4.0,3.0,1.0,106.0,61.0,7.0,18.0,23.0,14.0,201.0,156.0,10.0,392.0,24.0,235.0,54.0,21.0,127.0,28.0,35.0,8.0,124.0,76.0,46.0,2.0,19.0,169.0
3879,11.0,130.0,0.0,8.0,26.0,5.0,7.0,69.0,73.0,91.0,49.0,28.0,135.0,29.0,309.0,21.0,50.0,32.0,30.0,334.0,101.0,31.0,209.0,35.0,131.0,18.0,37.0,6.0,252.0,4.0
3928,0.0,7.0,1.0,44.0,10.0,12.0,11.0,4.0,13.0,22.0,24.0,65.0,78.0,9.0,68.0,8.0,45.0,17.0,2.0,27.0,248.0,67.0,54.0,32.0,15.0,33.0,79.0,6.0,66.0,34.0
3977,1.0,0.0,4.0,9.0,7.0,252.0,76.0,35.0,3.0,31.0,69.0,28.0,156.0,30.0,29.0,22.0,19.0,6.0,12.0,40.0,147.0,51.0,43.0,68.0,44.0,39.0,45.0,53.0,26.0,63.0
4026,8.0,1.0,0.0,12.0,5.0,19.0,4.0,17.0,11.0,13.0,77.0,32.0,34.0,6.0,26.0,36.0,25.0,2.0,29.0,88.0,448.0,30.0,166.0,124.0,20.0,157.0,90.0,55.0,79.0,110.0
4075,2.0,4.0,10.0,45.0,21.0,100.0,15.0,31.0,29.0,48.0,96.0,23.0,32.0,160.0,166.0,79.0,6.0,1.0,35.0,11.0,156.0,17.0,42.0,7.0,18.0,3.0,73.0,22.0,50.0,140.0
4124,2.0,10.0,5.0,3.0,13.0,93.0,4.0,7.0,0.0,65.0,28.0,12.0,91.0,51.0,49.0,23.0,8.0,72.0,40.0,82.0,402.0,299.0,104.0,141.0,9.0,26.0,36.0,43.0,22.0,647.0
4173,0.0,3.0,6.0,1.0,5.0,20.0,7.0,4.0,37.0,76.0,38.0,17.0,214.0,209.0,132.0,32.0,267.0,58.0,204.0,282.0,31.0,64.0,111.0,154.0,47.0,143.0,28.0,10.0,52.0,13.0
4222,1.0,16.0,0.0,15.0,26.0,4.0,5.0,8.0,3.0,47.0,172.0,6.0,35.0,171.0,59.0,29.0,36.0,13.0,46.0,74.0,212.0,54.0,41.0,182.0,18.0,27.0,150.0,12.0,28.0,17.0
4271,6.0,2.0,4.0,22.0,8.0,3.0,32.0,11.0,1.0,33.0,14.0,25.0,60.0,30.0,658.0,36.0,16.0,0.0,15.0,56.0,312.0,35.0,55.0,111.0,9.0,41.0,20.0,23.0,53.0,104.0
4320,6.0,11.0,0.0,10.0,4.0,20.0,16.0,9.0,1.0,51.0,35.0,17.0,18.0,3.0,168.0,98.0,40.0,2.0,31.0,33.0,195.0,70.0,25.0,96.0,119.0,62.0,34.0,50.0,76.0,21.0
4369,1.0,5.0,0.0,4.0,13.0,3.0,7.0,17.0,111.0,83.0,10.0,6.0,28.0,65.0,25.0,14.0,138.0,90.0,146.0,149.0,237.0,40.0,76.0,44.0,35.0,47.0,59.0,200.0,31.0,57.0
4418,6.0,1.0,0.0,11.0,37.0,72.0,10.0,4.0,42.0,18.0,2.0,13.0,24.0,5.0,16.0,7.0,85.0,44.0,8.0,53.0,21.0,34.0,19.0,56.0,38.0,48.0,57.0,40.0,67.0,290.0
4467,1.0,3.0,0.0,38.0,315.0,795.0,9.0,22.0,18.0,42.0,2.0,4.0,16.0,11.0,8.0,53.0,972.0,124.0,99.0,23.0,39.0,108.0,615.0,51.0,7.0,287.0,32.0,15.0,19.0,28.0
4516,4.0,2.0,0.0,5.0,59.0,20.0,1.0,15.0,19.0,100.0,17.0,18.0,12.0,22.0,27.0,9.0,102.0,23.0,11.0,814.0,51.0,16.0,29.0,159.0,137.0,54.0,39.0,28.0,98.0,270.0
4565,54.0,0.0,1.0,17.0,59.0,24.0,62.0,5.0,50.0,11.0,30.0,15.0,72.0,2.0,46.0,23.0,35.0,57.0,34.0,602.0,33.0,131.0,14.0,143.0,38.0,43.0,49.0,12.0,74.0,55.0
4614,18.0,1.0,0.0,5.0,51.0,9.0,4.0,7.0,6.0,138.0,2.0,12.0,56.0,8.0,16.0,13.0,94.0,88.0,24.0,52.0,19.0,64.0,35.0,72.0,20.0,164.0,41.0,17.0,247.0,79.0
4663,6.0,1.0,0.0,3.0,80.0,18.0,8.0,29.0,27.0,47.0,7.0,19.0,2.0,9.0,68.0,11.0,114.0,10.0,13.0,90.0,96.0,15.0,39.0,55.0,21.0,106.0,82.0,54.0,149.0,229.0
4712,23.0,1.0,0.0,7.0,52.0,36.0,2.0,6.0,22.0,25.0,9.0,8.0,57.0,4.0,13.0,24.0,113.0,32.0,15.0,250.0,5.0,64.0,41.0,248.0,17.0,29.0,40.0,21.0,85.0,470.0
4761,10.0,1.0,0.0,7.0,77.0,6.0,13.0,21.0,3.0,23.0,2.0,9.0,106.0,4.0,8.0,35.0,74.0,25.0,18.0,44.0,22.0,107.0,31.0,40.0,20.0,112.0,101.0,5.0,51.0,41.0
4810,6.0,7.0,0.0,2.0,43.0,15.0,3.0,18.0,465.0,23.0,1.0,5.0,76.0,4.0,12.0,9.0,719.0,800.0,19.0,387.0,20.0,22.0,64.0,16.0,13.0,11.0,73.0,30.0,116.0,2099.0
4859,2.0,0.0,1.0,5.0,56.0,46.0,3.0,18.0,23.0,52.0,7.0,12.0,76.0,6.0,4.0,8.0,170.0,17.0,50.0,124.0,29.0,41.0,24.0,22.0,16.0,9.0,110.0,21.0,243.0,213.0
