,XBP1,Bcl-xL,Cyclin_B1,c-Jun_pS73,Gab2,FRA1,HER3,PDCD4,PEA15,p70S6K_pT389,PTEN,AMPK_alpha,Porin,Notch1,YB-1_pS102,P-Cadherin,Lck,VEGFR2,TIGAR,Src_pY527,PDK1_pS241,NF-kB-p65_pS536,PAI-1,PDK1,YAP_pS127,Paxillin,p90RSK_pT573,Rictor_pT1135,p53,p90RSK_pT359_S363
594,0.0,1.0,6.0,14.0,20.0,21.0,8.0,5.0,27.0,43.0,80.0,31.0,3.0,36.0,164.0,38.0,7.0,4.0,34.0,26.0,39.0,82.0,45.0,55.0,72.0,44.0,46.0,18.0,22.0,47.0
643,0.0,6.0,1.0,14.0,145.0,17.0,29.0,19.0,4.0,12.0,81.0,7.0,20.0,35.0,2.0,3.0,139.0,25.0,8.0,65.0,41.0,38.0,16.0,42.0,53.0,43.0,47.0,89.0,26.0,48.0
692,0.0,2.0,19.0,8.0,161.0,21.0,4.0,49.0,44.0,56.0,87.0,31.0,90.0,37.0,164.0,45.0,32.0,34.0,1.0,3.0,17.0,93.0,12.0,47.0,63.0,51.0,52.0,11.0,58.0,55.0
741,0.0,98.0,10.0,3.0,148.0,19.0,6.0,40.0,4.0,61.0,79.0,1.0,85.0,27.0,164.0,25.0,139.0,56.0,32.0,7.0,38.0,59.0,21.0,39.0,33.0,41.0,44.0,14.0,24.0,46.0
790,0.0,23.0,22.0,11.0,14.0,15.0,1.0,51.0,45.0,10.0,81.0,36.0,78.0,55.0,25.0,34.0,39.0,70.0,33.0,4.0,19.0,43.0,13.0,49.0,72.0,52.0,40.0,88.0,24.0,53.0
839,0.0,2.0,3.0,8.0,133.0,4.0,19.0,54.0,27.0,59.0,40.0,7.0,45.0,23.0,31.0,24.0,146.0,13.0,16.0,9.0,26.0,135.0,56.0,53.0,12.0,55.0,57.0,6.0,25.0,58.0
888,0.0,1.0,10.0,15.0,147.0,2.0,135.0,22.0,9.0,54.0,80.0,3.0,8.0,43.0,164.0,7.0,4.0,33.0,37.0,59.0,39.0,41.0,48.0,40.0,71.0,47.0,50.0,14.0,53.0,52.0
937,0.0,95.0,1.0,103.0,17.0,160.0,7.0,38.0,18.0,21.0,77.0,8.0,81.0,25.0,164.0,5.0,139.0,4.0,10.0,2.0,44.0,57.0,20.0,43.0,58.0,37.0,40.0,67.0,22.0,41.0
986,2.0,3.0,7.0,17.0,155.0,39.0,0.0,20.0,37.0,46.0,81.0,8.0,77.0,4.0,15.0,31.0,139.0,28.0,67.0,36.0,40.0,29.0,55.0,12.0,1.0,18.0,45.0,23.0,47.0,5.0
1035,0.0,24.0,3.0,106.0,13.0,16.0,134.0,41.0,8.0,10.0,90.0,125.0,18.0,27.0,1.0,29.0,33.0,26.0,5.0,4.0,44.0,38.0,15.0,42.0,49.0,43.0,46.0,75.0,50.0,11.0
1084,29.0,21.0,12.0,105.0,137.0,7.0,136.0,23.0,11.0,47.0,84.0,3.0,78.0,6.0,164.0,45.0,4.0,10.0,26.0,1.0,42.0,39.0,43.0,41.0,27.0,37.0,44.0,16.0,50.0,46.0
1133,52.0,39.0,4.0,99.0,21.0,20.0,131.0,2.0,19.0,64.0,93.0,7.0,84.0,62.0,164.0,61.0,138.0,34.0,31.0,6.0,51.0,30.0,46.0,42.0,40.0,44.0,49.0,0.0,54.0,63.0
1182,6.0,1.0,0.0,13.0,16.0,25.0,135.0,21.0,55.0,9.0,19.0,125.0,23.0,32.0,27.0,54.0,140.0,7.0,72.0,3.0,42.0,28.0,46.0,22.0,71.0,20.0,49.0,88.0,41.0,52.0
1231,10.0,2.0,3.0,105.0,6.0,22.0,35.0,0.0,20.0,40.0,17.0,30.0,13.0,27.0,36.0,11.0,8.0,26.0,64.0,7.0,5.0,37.0,44.0,52.0,71.0,24.0,43.0,23.0,50.0,42.0
1280,0.0,3.0,17.0,15.0,8.0,23.0,135.0,5.0,12.0,24.0,14.0,125.0,13.0,26.0,9.0,53.0,27.0,35.0,34.0,1.0,21.0,28.0,6.0,19.0,57.0,89.0,41.0,2.0,45.0,42.0
1329,1.0,0.0,8.0,98.0,18.0,5.0,141.0,17.0,39.0,53.0,82.0,4.0,56.0,38.0,164.0,43.0,26.0,25.0,65.0,31.0,40.0,94.0,49.0,41.0,72.0,47.0,51.0,3.0,42.0,52.0
1378,2.0,3.0,8.0,15.0,148.0,4.0,144.0,46.0,29.0,55.0,17.0,127.0,83.0,54.0,164.0,27.0,137.0,0.0,33.0,1.0,65.0,78.0,48.0,43.0,45.0,47.0,51.0,19.0,57.0,53.0
1427,0.0,2.0,1.0,8.0,9.0,12.0,134.0,5.0,18.0,56.0,80.0,125.0,77.0,34.0,164.0,4.0,140.0,3.0,30.0,60.0,25.0,38.0,50.0,24.0,72.0,47.0,51.0,7.0,49.0,52.0
1476,2.0,4.0,3.0,1.0,11.0,108.0,7.0,33.0,60.0,34.0,28.0,0.0,29.0,139.0,38.0,35.0,152.0,77.0,23.0,89.0,32.0,19.0,65.0,62.0,21.0,64.0,66.0,26.0,73.0,67.0
1525,5.0,1.0,9.0,3.0,22.0,21.0,0.0,20.0,30.0,25.0,10.0,2.0,7.0,58.0,17.0,28.0,139.0,49.0,66.0,37.0,18.0,60.0,24.0,19.0,34.0,64.0,43.0,4.0,48.0,44.0
1574,0.0,2.0,112.0,127.0,8.0,15.0,155.0,20.0,7.0,4.0,47.0,38.0,22.0,18.0,31.0,100.0,147.0,71.0,26.0,83.0,53.0,137.0,19.0,21.0,69.0,56.0,58.0,96.0,62.0,59.0
1623,0.0,1.0,19.0,105.0,17.0,4.0,2.0,26.0,24.0,3.0,92.0,32.0,7.0,44.0,164.0,34.0,139.0,71.0,66.0,62.0,22.0,33.0,54.0,47.0,37.0,14.0,48.0,86.0,52.0,45.0
1672,0.0,16.0,28.0,6.0,4.0,14.0,18.0,22.0,42.0,2.0,5.0,7.0,89.0,37.0,1.0,36.0,145.0,85.0,39.0,32.0,41.0,56.0,23.0,44.0,19.0,57.0,46.0,77.0,13.0,47.0
1721,0.0,1.0,12.0,29.0,145.0,147.0,22.0,28.0,9.0,20.0,90.0,2.0,11.0,55.0,8.0,25.0,26.0,34.0,35.0,75.0,61.0,3.0,39.0,16.0,56.0,38.0,17.0,65.0,45.0,41.0
1770,0.0,1.0,2.0,8.0,4.0,16.0,23.0,27.0,14.0,20.0,91.0,5.0,82.0,26.0,6.0,51.0,140.0,35.0,33.0,89.0,15.0,50.0,18.0,54.0,41.0,17.0,47.0,9.0,24.0,48.0
1819,1.0,0.0,9.0,6.0,11.0,12.0,34.0,51.0,44.0,3.0,21.0,8.0,2.0,30.0,164.0,42.0,28.0,70.0,37.0,60.0,7.0,35.0,16.0,50.0,36.0,10.0,54.0,90.0,32.0,53.0
1868,1.0,3.0,10.0,32.0,22.0,148.0,26.0,78.0,31.0,7.0,33.0,0.0,9.0,30.0,8.0,62.0,27.0,37.0,47.0,35.0,65.0,46.0,44.0,20.0,63.0,19.0,45.0,21.0,25.0,48.0
1917,0.0,5.0,19.0,14.0,20.0,6.0,2.0,17.0,23.0,11.0,80.0,3.0,59.0,40.0,164.0,41.0,8.0,61.0,4.0,27.0,42.0,29.0,51.0,44.0,33.0,50.0,52.0,1.0,54.0,53.0
1966,0.0,1.0,15.0,2.0,21.0,5.0,4.0,19.0,27.0,45.0,71.0,123.0,13.0,3.0,164.0,24.0,140.0,32.0,50.0,88.0,18.0,58.0,64.0,87.0,30.0,76.0,22.0,55.0,47.0,44.0
2015,0.0,1.0,2.0,11.0,147.0,161.0,37.0,15.0,20.0,8.0,21.0,124.0,5.0,28.0,164.0,4.0,139.0,31.0,63.0,26.0,19.0,30.0,12.0,45.0,36.0,48.0,50.0,78.0,44.0,52.0
2064,0.0,7.0,3.0,10.0,5.0,147.0,2.0,4.0,20.0,8.0,75.0,111.0,12.0,22.0,28.0,55.0,139.0,53.0,40.0,32.0,76.0,58.0,37.0,61.0,57.0,38.0,39.0,66.0,46.0,42.0
2113,0.0,26.0,153.0,14.0,146.0,7.0,8.0,45.0,20.0,38.0,27.0,124.0,80.0,50.0,164.0,9.0,10.0,51.0,59.0,6.0,5.0,24.0,22.0,21.0,54.0,33.0,36.0,65.0,41.0,37.0
2162,0.0,25.0,2.0,5.0,8.0,15.0,6.0,16.0,19.0,11.0,17.0,7.0,20.0,30.0,164.0,45.0,139.0,28.0,72.0,38.0,18.0,29.0,51.0,54.0,27.0,49.0,52.0,14.0,40.0,44.0
2211,0.0,5.0,11.0,7.0,3.0,10.0,31.0,6.0,55.0,21.0,46.0,38.0,43.0,2.0,33.0,134.0,18.0,73.0,30.0,27.0,23.0,137.0,59.0,22.0,70.0,58.0,60.0,97.0,63.0,61.0
2260,1.0,3.0,9.0,104.0,2.0,17.0,21.0,0.0,89.0,46.0,77.0,8.0,13.0,24.0,11.0,55.0,7.0,56.0,35.0,83.0,15.0,25.0,27.0,10.0,59.0,61.0,44.0,4.0,37.0,42.0
2309,2.0,5.0,4.0,7.0,3.0,147.0,0.0,44.0,6.0,10.0,89.0,30.0,19.0,25.0,164.0,8.0,139.0,32.0,70.0,1.0,15.0,37.0,45.0,52.0,69.0,22.0,46.0,84.0,49.0,47.0
2358,0.0,8.0,5.0,2.0,27.0,15.0,20.0,48.0,91.0,17.0,93.0,34.0,83.0,3.0,9.0,55.0,23.0,33.0,35.0,84.0,14.0,25.0,43.0,77.0,31.0,44.0,42.0,71.0,18.0,41.0
2407,0.0,106.0,12.0,98.0,7.0,15.0,4.0,63.0,64.0,49.0,79.0,28.0,85.0,60.0,16.0,23.0,3.0,33.0,38.0,32.0,92.0,94.0,18.0,65.0,61.0,44.0,40.0,72.0,51.0,42.0
2456,0.0,1.0,8.0,3.0,4.0,5.0,14.0,49.0,41.0,46.0,7.0,28.0,61.0,40.0,164.0,30.0,11.0,9.0,36.0,72.0,43.0,21.0,13.0,45.0,34.0,50.0,53.0,24.0,55.0,54.0
2505,9.0,4.0,8.0,101.0,5.0,16.0,133.0,6.0,22.0,12.0,80.0,32.0,59.0,45.0,0.0,39.0,37.0,72.0,31.0,7.0,56.0,83.0,23.0,47.0,38.0,3.0,49.0,88.0,55.0,51.0
2554,8.0,2.0,0.0,12.0,27.0,160.0,29.0,46.0,48.0,34.0,21.0,31.0,84.0,52.0,1.0,18.0,5.0,11.0,6.0,71.0,54.0,82.0,45.0,56.0,22.0,49.0,41.0,87.0,55.0,50.0
2603,0.0,5.0,1.0,8.0,155.0,19.0,22.0,4.0,64.0,42.0,28.0,29.0,84.0,11.0,27.0,6.0,26.0,57.0,38.0,31.0,92.0,60.0,39.0,62.0,58.0,47.0,40.0,71.0,61.0,41.0
2652,0.0,37.0,8.0,16.0,3.0,13.0,21.0,20.0,2.0,56.0,9.0,40.0,11.0,30.0,164.0,7.0,26.0,1.0,44.0,32.0,17.0,97.0,65.0,19.0,59.0,49.0,66.0,77.0,58.0,54.0
2701,0.0,3.0,1.0,15.0,8.0,161.0,25.0,40.0,22.0,45.0,7.0,123.0,88.0,28.0,12.0,2.0,27.0,52.0,89.0,9.0,37.0,58.0,42.0,39.0,56.0,41.0,43.0,71.0,48.0,24.0
2750,0.0,30.0,3.0,16.0,147.0,12.0,20.0,17.0,11.0,51.0,83.0,34.0,88.0,25.0,164.0,2.0,22.0,29.0,4.0,37.0,52.0,1.0,43.0,13.0,62.0,48.0,49.0,6.0,53.0,63.0
2799,1.0,26.0,2.0,98.0,6.0,16.0,25.0,11.0,21.0,48.0,18.0,35.0,78.0,29.0,8.0,41.0,33.0,62.0,67.0,3.0,57.0,43.0,53.0,47.0,39.0,4.0,54.0,86.0,56.0,58.0
2848,0.0,1.0,11.0,101.0,24.0,7.0,133.0,42.0,74.0,39.0,14.0,26.0,10.0,4.0,164.0,21.0,3.0,31.0,28.0,6.0,58.0,2.0,38.0,47.0,54.0,37.0,41.0,68.0,46.0,16.0
2897,0.0,2.0,1.0,7.0,18.0,161.0,131.0,21.0,16.0,24.0,13.0,5.0,86.0,44.0,6.0,26.0,25.0,41.0,34.0,31.0,78.0,27.0,50.0,47.0,42.0,22.0,63.0,3.0,58.0,53.0
2946,5.0,0.0,15.0,4.0,17.0,16.0,33.0,26.0,27.0,66.0,28.0,36.0,49.0,2.0,35.0,24.0,20.0,21.0,81.0,100.0,58.0,138.0,63.0,59.0,13.0,62.0,64.0,3.0,41.0,65.0
2995,0.0,1.0,148.0,9.0,147.0,161.0,23.0,20.0,7.0,40.0,17.0,37.0,28.0,4.0,16.0,55.0,140.0,33.0,62.0,36.0,19.0,26.0,43.0,46.0,58.0,21.0,42.0,6.0,38.0,47.0
3044,2.0,0.0,23.0,15.0,4.0,162.0,6.0,42.0,7.0,46.0,5.0,1.0,20.0,55.0,164.0,33.0,140.0,25.0,66.0,21.0,10.0,28.0,57.0,41.0,24.0,40.0,44.0,19.0,48.0,45.0
3093,7.0,1.0,152.0,105.0,22.0,0.0,5.0,20.0,3.0,25.0,15.0,40.0,83.0,57.0,29.0,27.0,141.0,41.0,51.0,35.0,4.0,28.0,47.0,91.0,48.0,44.0,49.0,6.0,26.0,50.0
3142,0.0,2.0,22.0,9.0,16.0,155.0,6.0,19.0,24.0,4.0,18.0,5.0,1.0,43.0,14.0,35.0,32.0,28.0,30.0,37.0,44.0,45.0,15.0,20.0,61.0,49.0,52.0,89.0,47.0,53.0
3191,8.0,19.0,9.0,10.0,14.0,17.0,0.0,12.0,20.0,53.0,1.0,3.0,89.0,4.0,164.0,32.0,138.0,60.0,66.0,70.0,6.0,41.0,50.0,45.0,35.0,47.0,51.0,13.0,46.0,52.0
3240,33.0,8.0,150.0,12.0,19.0,28.0,5.0,21.0,0.0,23.0,13.0,3.0,89.0,26.0,164.0,7.0,145.0,6.0,37.0,35.0,20.0,30.0,41.0,44.0,32.0,42.0,48.0,4.0,53.0,49.0
3289,2.0,37.0,13.0,7.0,0.0,18.0,3.0,41.0,65.0,22.0,4.0,1.0,27.0,62.0,6.0,61.0,145.0,32.0,43.0,85.0,19.0,26.0,5.0,20.0,38.0,42.0,46.0,8.0,64.0,21.0
3338,2.0,7.0,30.0,6.0,3.0,15.0,16.0,14.0,41.0,46.0,0.0,28.0,88.0,5.0,164.0,54.0,31.0,61.0,64.0,25.0,32.0,34.0,43.0,21.0,1.0,56.0,44.0,4.0,57.0,45.0
3387,7.0,2.0,14.0,9.0,18.0,160.0,0.0,20.0,1.0,23.0,13.0,3.0,86.0,25.0,164.0,57.0,138.0,4.0,40.0,34.0,50.0,60.0,21.0,45.0,59.0,42.0,44.0,10.0,24.0,47.0
3436,4.0,0.0,20.0,104.0,23.0,155.0,8.0,18.0,40.0,10.0,16.0,6.0,19.0,45.0,13.0,5.0,1.0,28.0,31.0,68.0,21.0,41.0,50.0,44.0,3.0,49.0,54.0,88.0,48.0,55.0
3485,0.0,1.0,18.0,102.0,15.0,20.0,9.0,58.0,21.0,11.0,16.0,4.0,90.0,41.0,13.0,45.0,38.0,39.0,27.0,26.0,44.0,5.0,49.0,14.0,62.0,48.0,50.0,3.0,54.0,51.0
3534,1.0,0.0,4.0,11.0,22.0,155.0,23.0,42.0,19.0,13.0,21.0,31.0,6.0,57.0,164.0,32.0,141.0,37.0,28.0,36.0,43.0,41.0,49.0,46.0,61.0,18.0,48.0,80.0,53.0,50.0
3583,0.0,5.0,4.0,13.0,1.0,23.0,10.0,32.0,44.0,49.0,11.0,37.0,3.0,57.0,164.0,38.0,39.0,27.0,34.0,71.0,24.0,58.0,46.0,43.0,25.0,59.0,47.0,14.0,50.0,48.0
3632,1.0,0.0,13.0,11.0,3.0,19.0,24.0,21.0,16.0,15.0,81.0,32.0,5.0,55.0,164.0,47.0,25.0,60.0,65.0,37.0,17.0,43.0,48.0,44.0,59.0,46.0,18.0,12.0,41.0,50.0
3681,7.0,8.0,29.0,30.0,3.0,161.0,25.0,23.0,22.0,42.0,15.0,0.0,20.0,59.0,18.0,6.0,9.0,57.0,87.0,79.0,46.0,60.0,43.0,48.0,39.0,49.0,44.0,11.0,50.0,45.0
3730,0.0,2.0,14.0,128.0,5.0,132.0,154.0,7.0,64.0,27.0,10.0,3.0,30.0,22.0,32.0,23.0,6.0,70.0,15.0,82.0,50.0,135.0,54.0,29.0,12.0,53.0,55.0,28.0,26.0,56.0
3779,1.0,2.0,3.0,106.0,27.0,148.0,29.0,25.0,22.0,44.0,32.0,0.0,15.0,59.0,7.0,12.0,19.0,57.0,48.0,90.0,23.0,61.0,41.0,62.0,35.0,26.0,42.0,66.0,46.0,43.0
3828,0.0,2.0,114.0,99.0,11.0,115.0,10.0,24.0,53.0,61.0,27.0,1.0,26.0,22.0,35.0,101.0,6.0,73.0,7.0,85.0,54.0,20.0,58.0,55.0,32.0,57.0,59.0,29.0,63.0,60.0
3877,3.0,0.0,20.0,102.0,15.0,17.0,134.0,16.0,19.0,53.0,4.0,33.0,21.0,46.0,24.0,34.0,35.0,28.0,5.0,71.0,18.0,81.0,47.0,56.0,60.0,50.0,51.0,1.0,57.0,52.0
3926,0.0,1.0,22.0,3.0,155.0,148.0,8.0,21.0,40.0,12.0,86.0,7.0,23.0,48.0,164.0,49.0,30.0,35.0,4.0,39.0,42.0,45.0,25.0,43.0,36.0,57.0,52.0,14.0,29.0,53.0
3975,0.0,14.0,19.0,7.0,16.0,18.0,6.0,12.0,45.0,53.0,2.0,29.0,80.0,3.0,13.0,44.0,32.0,36.0,1.0,72.0,21.0,94.0,50.0,46.0,39.0,48.0,51.0,9.0,4.0,52.0
4024,0.0,35.0,3.0,104.0,130.0,1.0,135.0,4.0,2.0,16.0,17.0,6.0,19.0,53.0,164.0,48.0,25.0,27.0,60.0,37.0,21.0,52.0,45.0,42.0,57.0,44.0,46.0,85.0,51.0,49.0
4073,0.0,98.0,1.0,103.0,17.0,19.0,132.0,18.0,41.0,10.0,2.0,8.0,89.0,52.0,164.0,54.0,5.0,3.0,63.0,4.0,44.0,46.0,55.0,45.0,26.0,53.0,56.0,78.0,24.0,48.0
4122,0.0,6.0,9.0,109.0,148.0,3.0,21.0,11.0,1.0,47.0,12.0,36.0,88.0,56.0,5.0,35.0,23.0,2.0,67.0,33.0,43.0,27.0,20.0,42.0,25.0,44.0,59.0,18.0,49.0,46.0
4171,0.0,29.0,4.0,103.0,20.0,5.0,6.0,44.0,18.0,7.0,3.0,41.0,15.0,61.0,1.0,9.0,139.0,32.0,67.0,78.0,90.0,63.0,46.0,79.0,30.0,23.0,24.0,91.0,52.0,25.0
4220,0.0,29.0,13.0,9.0,18.0,160.0,20.0,44.0,4.0,50.0,5.0,124.0,16.0,24.0,6.0,23.0,22.0,58.0,32.0,3.0,17.0,25.0,46.0,43.0,62.0,45.0,47.0,42.0,21.0,49.0
4269,1.0,0.0,155.0,104.0,4.0,159.0,22.0,20.0,48.0,53.0,16.0,5.0,92.0,81.0,6.0,26.0,2.0,34.0,45.0,75.0,19.0,129.0,21.0,46.0,62.0,47.0,63.0,9.0,55.0,64.0
4318,0.0,41.0,13.0,102.0,8.0,104.0,4.0,22.0,24.0,21.0,27.0,1.0,26.0,137.0,35.0,17.0,16.0,32.0,30.0,99.0,59.0,139.0,62.0,23.0,73.0,61.0,63.0,100.0,20.0,64.0
4367,0.0,4.0,16.0,14.0,5.0,158.0,24.0,23.0,44.0,51.0,29.0,35.0,19.0,2.0,11.0,28.0,25.0,3.0,34.0,77.0,42.0,94.0,48.0,47.0,61.0,41.0,62.0,15.0,53.0,49.0
4416,0.0,3.0,6.0,15.0,144.0,163.0,136.0,22.0,19.0,16.0,11.0,5.0,75.0,28.0,164.0,36.0,1.0,29.0,31.0,33.0,8.0,38.0,14.0,52.0,69.0,43.0,45.0,84.0,49.0,46.0
4465,62.0,5.0,151.0,13.0,23.0,7.0,9.0,16.0,15.0,1.0,86.0,3.0,90.0,34.0,164.0,58.0,37.0,31.0,38.0,2.0,24.0,45.0,50.0,55.0,30.0,57.0,56.0,81.0,18.0,53.0
4514,2.0,32.0,23.0,103.0,147.0,28.0,6.0,47.0,24.0,48.0,19.0,38.0,25.0,8.0,164.0,44.0,140.0,4.0,67.0,37.0,22.0,42.0,12.0,45.0,1.0,51.0,53.0,81.0,55.0,56.0
4563,0.0,26.0,151.0,107.0,17.0,3.0,132.0,22.0,43.0,27.0,83.0,35.0,24.0,44.0,1.0,41.0,138.0,13.0,62.0,31.0,2.0,6.0,55.0,39.0,59.0,21.0,48.0,78.0,53.0,49.0
4612,0.0,109.0,150.0,103.0,7.0,17.0,21.0,47.0,62.0,20.0,82.0,2.0,87.0,59.0,11.0,25.0,24.0,4.0,40.0,78.0,27.0,26.0,42.0,41.0,58.0,3.0,43.0,74.0,50.0,44.0
4661,7.0,122.0,18.0,130.0,15.0,103.0,17.0,2.0,24.0,22.0,51.0,1.0,46.0,19.0,0.0,135.0,163.0,6.0,30.0,86.0,55.0,138.0,23.0,56.0,71.0,58.0,60.0,26.0,21.0,61.0
4710,2.0,41.0,149.0,19.0,20.0,160.0,25.0,22.0,30.0,24.0,82.0,0.0,6.0,29.0,17.0,28.0,3.0,43.0,49.0,36.0,18.0,1.0,4.0,47.0,46.0,50.0,53.0,71.0,58.0,23.0
4759,1.0,29.0,15.0,8.0,21.0,6.0,3.0,4.0,47.0,22.0,13.0,125.0,18.0,24.0,164.0,59.0,138.0,2.0,30.0,31.0,5.0,25.0,46.0,43.0,40.0,44.0,48.0,9.0,23.0,62.0
4808,28.0,26.0,154.0,9.0,12.0,16.0,27.0,11.0,19.0,33.0,80.0,5.0,22.0,3.0,0.0,32.0,34.0,31.0,66.0,61.0,47.0,81.0,7.0,24.0,72.0,10.0,50.0,87.0,54.0,51.0
4857,2.0,5.0,14.0,1.0,16.0,12.0,9.0,21.0,54.0,61.0,23.0,34.0,43.0,31.0,32.0,100.0,7.0,28.0,78.0,84.0,67.0,136.0,58.0,22.0,29.0,57.0,59.0,24.0,63.0,60.0
