,guanosine,2-deoxycytidine,N-carbamoyl-beta-alanine,C22:6 CE,PEP,C16:0 LPE,1-methylnicotinamide,homocysteine,3-phosphoglycerate,alpha-glycerophosphate,sarcosine,taurodeoxycholate,asparagine,GABA,cystathionine,cis/trans-hydroxyproline,hypoxanthine,cytidine,putrescine,C22:6 LPC,butyrylcarnitine/isobutyrylcarnitine,creatine,beta-alanine,palmitoylcarnitine,uridine,C20:4 CE,glutamine,C56:5 TAG,C34:2 DAG,SDMA/ADMA
1054,0.0,24.0,1.0,19.0,8.0,3.0,2.0,12.0,15.0,7.0,27.0,6.0,33.0,38.0,13.0,21.0,16.0,18.0,9.0,29.0,49.0,28.0,5.0,47.0,4.0,11.0,20.0,30.0,10.0,43.0
1103,0.0,4.0,3.0,11.0,10.0,1.0,2.0,6.0,5.0,14.0,22.0,34.0,32.0,13.0,24.0,23.0,20.0,46.0,36.0,35.0,25.0,41.0,21.0,26.0,18.0,42.0,28.0,47.0,60.0,17.0
1152,2.0,16.0,1.0,5.0,6.0,15.0,4.0,24.0,0.0,8.0,10.0,18.0,19.0,11.0,14.0,12.0,3.0,17.0,32.0,7.0,23.0,33.0,62.0,31.0,30.0,22.0,39.0,21.0,25.0,54.0
1201,0.0,8.0,1.0,4.0,12.0,10.0,2.0,40.0,15.0,3.0,63.0,7.0,39.0,6.0,14.0,25.0,35.0,13.0,11.0,17.0,19.0,41.0,29.0,26.0,5.0,36.0,24.0,30.0,43.0,18.0
1250,1.0,6.0,3.0,0.0,2.0,19.0,5.0,17.0,7.0,4.0,16.0,15.0,18.0,9.0,20.0,26.0,14.0,12.0,11.0,36.0,35.0,21.0,33.0,27.0,10.0,25.0,22.0,48.0,13.0,45.0
1299,0.0,8.0,9.0,6.0,2.0,12.0,4.0,3.0,7.0,14.0,20.0,57.0,25.0,19.0,15.0,21.0,18.0,53.0,5.0,26.0,40.0,30.0,28.0,41.0,11.0,36.0,13.0,48.0,38.0,22.0
1348,0.0,4.0,1.0,3.0,8.0,23.0,2.0,7.0,6.0,16.0,33.0,36.0,32.0,21.0,12.0,19.0,11.0,14.0,15.0,22.0,13.0,29.0,34.0,49.0,10.0,20.0,17.0,25.0,56.0,37.0
1397,2.0,7.0,6.0,0.0,3.0,23.0,1.0,28.0,5.0,16.0,25.0,30.0,35.0,20.0,13.0,32.0,34.0,10.0,18.0,9.0,49.0,15.0,24.0,41.0,12.0,39.0,47.0,4.0,19.0,55.0
1446,0.0,12.0,3.0,5.0,15.0,14.0,11.0,19.0,24.0,13.0,8.0,44.0,22.0,32.0,9.0,7.0,37.0,1.0,4.0,55.0,23.0,36.0,6.0,28.0,27.0,18.0,2.0,43.0,31.0,21.0
1495,5.0,1.0,0.0,13.0,4.0,37.0,10.0,17.0,9.0,11.0,8.0,15.0,14.0,20.0,6.0,3.0,7.0,19.0,32.0,2.0,16.0,35.0,23.0,41.0,21.0,34.0,12.0,43.0,38.0,61.0
1544,4.0,12.0,7.0,1.0,11.0,16.0,9.0,21.0,30.0,5.0,8.0,20.0,3.0,10.0,6.0,24.0,0.0,18.0,13.0,40.0,15.0,23.0,14.0,44.0,35.0,28.0,54.0,42.0,37.0,43.0
1593,1.0,30.0,16.0,8.0,6.0,29.0,7.0,10.0,9.0,23.0,12.0,32.0,11.0,38.0,2.0,3.0,4.0,37.0,0.0,14.0,35.0,33.0,20.0,15.0,5.0,28.0,18.0,47.0,13.0,31.0
1642,3.0,11.0,6.0,7.0,5.0,22.0,0.0,9.0,1.0,8.0,4.0,26.0,15.0,16.0,2.0,21.0,24.0,13.0,19.0,18.0,30.0,40.0,25.0,28.0,45.0,29.0,41.0,49.0,44.0,20.0
1691,0.0,1.0,6.0,18.0,2.0,63.0,23.0,39.0,3.0,7.0,10.0,14.0,15.0,13.0,4.0,54.0,12.0,28.0,5.0,8.0,25.0,35.0,42.0,36.0,26.0,30.0,56.0,16.0,47.0,55.0
1740,3.0,0.0,5.0,7.0,10.0,19.0,2.0,16.0,12.0,6.0,21.0,55.0,1.0,13.0,9.0,4.0,8.0,28.0,24.0,14.0,11.0,20.0,49.0,18.0,45.0,29.0,51.0,35.0,26.0,25.0
1789,1.0,20.0,3.0,6.0,21.0,33.0,15.0,4.0,18.0,5.0,2.0,25.0,22.0,37.0,0.0,8.0,12.0,24.0,28.0,10.0,7.0,52.0,38.0,32.0,39.0,26.0,19.0,62.0,16.0,45.0
1838,0.0,8.0,20.0,3.0,1.0,14.0,4.0,10.0,34.0,6.0,19.0,5.0,22.0,48.0,30.0,36.0,12.0,37.0,50.0,11.0,39.0,13.0,7.0,15.0,21.0,38.0,40.0,18.0,27.0,43.0
1887,2.0,4.0,15.0,5.0,14.0,46.0,38.0,12.0,3.0,10.0,13.0,22.0,8.0,19.0,11.0,0.0,20.0,34.0,16.0,6.0,7.0,21.0,33.0,25.0,28.0,18.0,32.0,43.0,41.0,24.0
1936,1.0,8.0,7.0,15.0,0.0,10.0,2.0,25.0,4.0,29.0,5.0,12.0,26.0,16.0,42.0,11.0,9.0,24.0,3.0,6.0,30.0,43.0,17.0,14.0,22.0,65.0,63.0,50.0,23.0,51.0
1985,0.0,10.0,20.0,14.0,13.0,6.0,11.0,7.0,3.0,12.0,23.0,5.0,2.0,38.0,58.0,1.0,8.0,9.0,47.0,52.0,15.0,35.0,17.0,33.0,49.0,51.0,36.0,16.0,30.0,37.0
2034,0.0,6.0,9.0,13.0,3.0,5.0,52.0,1.0,14.0,16.0,19.0,8.0,4.0,18.0,40.0,23.0,7.0,26.0,45.0,50.0,20.0,27.0,21.0,33.0,10.0,36.0,32.0,24.0,29.0,41.0
2083,0.0,5.0,22.0,2.0,4.0,1.0,17.0,7.0,8.0,10.0,9.0,30.0,6.0,23.0,38.0,24.0,13.0,12.0,39.0,44.0,14.0,45.0,15.0,20.0,28.0,18.0,50.0,32.0,34.0,40.0
2132,4.0,2.0,16.0,19.0,0.0,10.0,15.0,1.0,5.0,23.0,11.0,35.0,3.0,18.0,28.0,38.0,6.0,26.0,8.0,17.0,29.0,30.0,12.0,32.0,20.0,53.0,9.0,7.0,21.0,55.0
2181,0.0,3.0,17.0,8.0,4.0,11.0,20.0,1.0,5.0,6.0,25.0,2.0,7.0,24.0,22.0,13.0,30.0,33.0,40.0,19.0,42.0,26.0,9.0,46.0,10.0,12.0,32.0,29.0,15.0,47.0
2230,0.0,3.0,5.0,4.0,2.0,26.0,34.0,6.0,8.0,18.0,39.0,7.0,1.0,11.0,59.0,9.0,32.0,13.0,31.0,38.0,10.0,12.0,23.0,14.0,48.0,44.0,52.0,42.0,46.0,40.0
2279,0.0,4.0,5.0,1.0,20.0,3.0,36.0,9.0,11.0,2.0,45.0,25.0,10.0,19.0,40.0,49.0,42.0,23.0,24.0,51.0,22.0,55.0,53.0,34.0,12.0,44.0,8.0,21.0,17.0,37.0
2328,4.0,2.0,24.0,3.0,8.0,1.0,12.0,0.0,13.0,9.0,16.0,7.0,6.0,10.0,34.0,19.0,20.0,41.0,32.0,17.0,26.0,28.0,40.0,44.0,18.0,47.0,30.0,5.0,23.0,55.0
2377,0.0,6.0,20.0,1.0,3.0,7.0,9.0,2.0,11.0,22.0,5.0,12.0,17.0,8.0,4.0,15.0,24.0,14.0,10.0,49.0,41.0,61.0,52.0,51.0,16.0,45.0,25.0,21.0,18.0,64.0
2426,3.0,6.0,20.0,0.0,1.0,9.0,2.0,5.0,4.0,7.0,22.0,10.0,33.0,46.0,39.0,15.0,34.0,14.0,45.0,8.0,17.0,48.0,31.0,27.0,11.0,13.0,35.0,40.0,21.0,56.0
2475,0.0,6.0,9.0,16.0,2.0,13.0,18.0,20.0,22.0,15.0,47.0,31.0,10.0,5.0,46.0,39.0,7.0,54.0,33.0,35.0,4.0,11.0,1.0,34.0,17.0,26.0,3.0,27.0,14.0,25.0
2524,2.0,3.0,5.0,10.0,0.0,7.0,21.0,13.0,6.0,1.0,19.0,12.0,4.0,9.0,39.0,8.0,28.0,11.0,53.0,35.0,46.0,23.0,17.0,33.0,20.0,36.0,18.0,51.0,29.0,15.0
2573,1.0,11.0,3.0,7.0,0.0,6.0,2.0,32.0,28.0,5.0,20.0,8.0,4.0,25.0,9.0,10.0,46.0,38.0,37.0,22.0,16.0,33.0,24.0,54.0,19.0,15.0,23.0,13.0,21.0,39.0
2622,3.0,5.0,13.0,19.0,2.0,1.0,32.0,30.0,4.0,0.0,11.0,48.0,16.0,10.0,8.0,18.0,27.0,17.0,61.0,15.0,23.0,35.0,37.0,28.0,6.0,24.0,7.0,45.0,9.0,54.0
2671,1.0,3.0,2.0,5.0,0.0,6.0,16.0,4.0,8.0,17.0,7.0,9.0,26.0,19.0,12.0,11.0,44.0,23.0,61.0,27.0,47.0,48.0,18.0,15.0,20.0,52.0,24.0,25.0,28.0,14.0
2720,0.0,8.0,9.0,4.0,2.0,16.0,19.0,13.0,5.0,1.0,11.0,3.0,6.0,23.0,20.0,10.0,40.0,12.0,18.0,29.0,30.0,24.0,21.0,14.0,33.0,17.0,26.0,44.0,7.0,25.0
2769,5.0,0.0,4.0,16.0,2.0,3.0,14.0,22.0,13.0,1.0,8.0,24.0,10.0,7.0,18.0,40.0,55.0,11.0,60.0,21.0,25.0,26.0,19.0,20.0,33.0,12.0,43.0,28.0,6.0,9.0
2818,1.0,9.0,2.0,22.0,0.0,4.0,7.0,17.0,5.0,10.0,29.0,24.0,16.0,13.0,33.0,3.0,56.0,26.0,27.0,31.0,54.0,12.0,8.0,30.0,25.0,48.0,14.0,20.0,11.0,15.0
2867,1.0,0.0,2.0,6.0,3.0,8.0,13.0,5.0,4.0,10.0,9.0,20.0,23.0,26.0,16.0,17.0,59.0,30.0,34.0,19.0,15.0,12.0,41.0,11.0,51.0,43.0,22.0,28.0,35.0,61.0
2916,4.0,2.0,9.0,3.0,0.0,5.0,27.0,16.0,7.0,1.0,42.0,8.0,37.0,31.0,47.0,28.0,41.0,13.0,32.0,6.0,51.0,10.0,33.0,24.0,15.0,20.0,57.0,53.0,14.0,54.0
2965,0.0,7.0,2.0,4.0,14.0,1.0,20.0,3.0,33.0,6.0,11.0,15.0,23.0,8.0,59.0,30.0,17.0,41.0,32.0,44.0,37.0,9.0,13.0,16.0,31.0,51.0,12.0,29.0,38.0,50.0
3014,2.0,12.0,19.0,0.0,10.0,8.0,15.0,1.0,5.0,3.0,62.0,4.0,16.0,9.0,39.0,21.0,23.0,33.0,38.0,46.0,17.0,14.0,27.0,35.0,51.0,11.0,6.0,34.0,22.0,26.0
3063,4.0,22.0,5.0,1.0,2.0,0.0,11.0,12.0,9.0,3.0,24.0,17.0,46.0,15.0,32.0,29.0,14.0,28.0,10.0,39.0,51.0,7.0,8.0,16.0,19.0,55.0,13.0,31.0,18.0,50.0
3112,1.0,5.0,4.0,2.0,9.0,12.0,8.0,3.0,7.0,0.0,16.0,10.0,11.0,14.0,22.0,6.0,35.0,17.0,38.0,21.0,40.0,32.0,42.0,37.0,39.0,57.0,13.0,27.0,46.0,58.0
3161,5.0,10.0,6.0,2.0,11.0,0.0,26.0,8.0,4.0,3.0,14.0,1.0,15.0,12.0,48.0,27.0,9.0,33.0,22.0,18.0,25.0,7.0,29.0,19.0,24.0,55.0,13.0,20.0,56.0,21.0
3210,3.0,4.0,13.0,6.0,18.0,1.0,11.0,29.0,2.0,0.0,14.0,16.0,10.0,7.0,24.0,9.0,19.0,46.0,23.0,55.0,36.0,17.0,5.0,20.0,28.0,40.0,26.0,27.0,39.0,45.0
3259,0.0,18.0,5.0,6.0,3.0,4.0,2.0,14.0,9.0,1.0,12.0,10.0,13.0,7.0,27.0,11.0,28.0,45.0,24.0,37.0,29.0,23.0,15.0,17.0,22.0,20.0,8.0,30.0,25.0,58.0
3308,0.0,15.0,2.0,10.0,6.0,11.0,5.0,1.0,19.0,12.0,4.0,26.0,25.0,8.0,37.0,46.0,9.0,51.0,22.0,32.0,7.0,44.0,14.0,3.0,31.0,13.0,42.0,27.0,43.0,45.0
3357,4.0,16.0,3.0,2.0,35.0,1.0,7.0,22.0,9.0,0.0,6.0,5.0,20.0,8.0,11.0,19.0,23.0,33.0,27.0,38.0,51.0,25.0,26.0,15.0,43.0,12.0,14.0,59.0,29.0,17.0
3406,1.0,24.0,8.0,0.0,14.0,5.0,2.0,19.0,15.0,41.0,30.0,3.0,52.0,4.0,9.0,36.0,22.0,51.0,7.0,39.0,16.0,6.0,23.0,17.0,11.0,27.0,21.0,43.0,10.0,56.0
3455,0.0,1.0,5.0,16.0,11.0,2.0,4.0,37.0,35.0,30.0,3.0,23.0,6.0,15.0,9.0,27.0,12.0,14.0,31.0,24.0,13.0,39.0,29.0,26.0,28.0,10.0,46.0,17.0,40.0,18.0
3504,1.0,0.0,13.0,11.0,2.0,10.0,15.0,20.0,5.0,12.0,4.0,8.0,3.0,17.0,25.0,23.0,14.0,18.0,41.0,48.0,35.0,7.0,16.0,30.0,22.0,19.0,29.0,32.0,9.0,54.0
3553,1.0,3.0,8.0,7.0,9.0,5.0,0.0,24.0,22.0,18.0,16.0,13.0,6.0,20.0,14.0,4.0,2.0,23.0,10.0,19.0,12.0,21.0,47.0,15.0,32.0,27.0,50.0,48.0,11.0,34.0
3602,0.0,1.0,4.0,13.0,2.0,9.0,12.0,15.0,27.0,8.0,6.0,34.0,18.0,7.0,3.0,5.0,32.0,39.0,10.0,25.0,11.0,21.0,31.0,29.0,44.0,53.0,36.0,38.0,20.0,40.0
3651,0.0,2.0,1.0,5.0,37.0,7.0,10.0,34.0,4.0,12.0,3.0,13.0,8.0,23.0,17.0,6.0,15.0,9.0,26.0,46.0,14.0,24.0,19.0,47.0,22.0,25.0,63.0,31.0,11.0,27.0
3700,1.0,0.0,3.0,2.0,10.0,5.0,4.0,7.0,32.0,21.0,8.0,20.0,27.0,28.0,12.0,44.0,26.0,13.0,17.0,54.0,6.0,9.0,34.0,42.0,14.0,38.0,41.0,56.0,16.0,18.0
3749,0.0,4.0,1.0,6.0,9.0,10.0,8.0,12.0,3.0,26.0,2.0,30.0,5.0,40.0,35.0,28.0,20.0,14.0,11.0,61.0,13.0,34.0,16.0,15.0,22.0,27.0,37.0,7.0,21.0,31.0
3798,0.0,9.0,1.0,5.0,24.0,7.0,2.0,52.0,60.0,26.0,42.0,28.0,19.0,23.0,3.0,6.0,14.0,21.0,13.0,12.0,4.0,8.0,45.0,18.0,39.0,17.0,36.0,27.0,29.0,16.0
3847,0.0,3.0,2.0,1.0,10.0,13.0,8.0,26.0,32.0,15.0,5.0,30.0,11.0,7.0,6.0,42.0,19.0,51.0,4.0,12.0,9.0,21.0,17.0,34.0,27.0,49.0,45.0,40.0,29.0,18.0
3896,0.0,1.0,3.0,11.0,4.0,22.0,37.0,24.0,15.0,12.0,9.0,2.0,6.0,29.0,7.0,19.0,18.0,38.0,25.0,39.0,42.0,8.0,31.0,32.0,28.0,35.0,44.0,46.0,5.0,14.0
3945,0.0,1.0,27.0,2.0,24.0,25.0,7.0,4.0,13.0,5.0,40.0,3.0,9.0,53.0,8.0,16.0,22.0,31.0,12.0,17.0,20.0,37.0,14.0,15.0,28.0,6.0,30.0,43.0,65.0,23.0
3994,0.0,15.0,7.0,10.0,37.0,4.0,5.0,26.0,13.0,3.0,19.0,2.0,1.0,23.0,35.0,36.0,39.0,9.0,11.0,18.0,28.0,25.0,21.0,46.0,12.0,6.0,29.0,16.0,47.0,20.0
4043,5.0,2.0,0.0,12.0,20.0,8.0,37.0,11.0,45.0,25.0,31.0,1.0,6.0,27.0,48.0,7.0,59.0,3.0,9.0,21.0,24.0,15.0,60.0,54.0,28.0,30.0,23.0,18.0,14.0,4.0
4092,1.0,6.0,7.0,5.0,16.0,9.0,20.0,4.0,44.0,32.0,50.0,2.0,0.0,17.0,51.0,3.0,12.0,11.0,8.0,42.0,57.0,18.0,43.0,25.0,13.0,15.0,14.0,19.0,38.0,10.0
4141,1.0,3.0,2.0,31.0,4.0,11.0,7.0,0.0,26.0,46.0,18.0,6.0,5.0,41.0,38.0,15.0,27.0,21.0,9.0,52.0,16.0,19.0,50.0,13.0,48.0,12.0,10.0,62.0,28.0,25.0
4190,0.0,2.0,14.0,21.0,20.0,16.0,7.0,3.0,11.0,25.0,12.0,4.0,1.0,51.0,40.0,5.0,6.0,17.0,10.0,19.0,9.0,46.0,65.0,15.0,59.0,41.0,18.0,26.0,33.0,27.0
4239,1.0,0.0,13.0,11.0,8.0,17.0,7.0,4.0,3.0,16.0,49.0,2.0,6.0,26.0,9.0,31.0,19.0,22.0,15.0,24.0,30.0,43.0,66.0,21.0,12.0,23.0,25.0,10.0,53.0,14.0
4288,0.0,12.0,21.0,3.0,4.0,5.0,30.0,13.0,9.0,45.0,14.0,2.0,1.0,17.0,31.0,22.0,29.0,49.0,11.0,25.0,37.0,18.0,62.0,7.0,57.0,15.0,33.0,8.0,46.0,16.0
4337,2.0,1.0,7.0,6.0,13.0,9.0,0.0,14.0,11.0,28.0,12.0,4.0,5.0,23.0,22.0,24.0,27.0,17.0,18.0,42.0,35.0,45.0,39.0,16.0,59.0,37.0,10.0,8.0,32.0,26.0
4386,4.0,30.0,37.0,3.0,14.0,17.0,41.0,0.0,15.0,5.0,6.0,1.0,2.0,38.0,42.0,7.0,28.0,8.0,10.0,19.0,58.0,13.0,51.0,39.0,62.0,53.0,9.0,48.0,16.0,43.0
4435,6.0,5.0,0.0,9.0,12.0,13.0,8.0,1.0,4.0,41.0,31.0,21.0,19.0,2.0,20.0,45.0,7.0,18.0,25.0,22.0,37.0,11.0,28.0,33.0,29.0,10.0,38.0,3.0,27.0,16.0
4484,0.0,12.0,2.0,16.0,5.0,1.0,11.0,8.0,19.0,10.0,6.0,33.0,7.0,4.0,15.0,26.0,3.0,29.0,28.0,46.0,18.0,31.0,51.0,44.0,24.0,61.0,20.0,9.0,32.0,13.0
4533,4.0,0.0,1.0,2.0,11.0,8.0,7.0,28.0,23.0,22.0,3.0,12.0,41.0,18.0,5.0,55.0,6.0,27.0,20.0,9.0,13.0,38.0,45.0,25.0,31.0,44.0,21.0,42.0,37.0,17.0
4582,2.0,1.0,0.0,7.0,9.0,16.0,29.0,4.0,8.0,13.0,3.0,23.0,14.0,6.0,17.0,11.0,12.0,37.0,21.0,20.0,28.0,40.0,62.0,34.0,45.0,60.0,5.0,24.0,49.0,10.0
4631,2.0,0.0,7.0,4.0,1.0,11.0,52.0,5.0,3.0,32.0,6.0,24.0,18.0,25.0,19.0,16.0,8.0,20.0,12.0,10.0,37.0,46.0,56.0,29.0,45.0,42.0,30.0,9.0,38.0,21.0
4680,0.0,2.0,3.0,4.0,5.0,7.0,12.0,1.0,11.0,15.0,10.0,13.0,21.0,24.0,14.0,17.0,9.0,32.0,28.0,50.0,18.0,45.0,36.0,16.0,23.0,22.0,59.0,6.0,37.0,19.0
4729,1.0,7.0,0.0,10.0,6.0,20.0,11.0,5.0,3.0,2.0,22.0,33.0,15.0,16.0,37.0,8.0,4.0,21.0,38.0,17.0,55.0,40.0,27.0,24.0,30.0,26.0,18.0,19.0,13.0,23.0
4778,1.0,0.0,8.0,31.0,9.0,2.0,11.0,4.0,10.0,25.0,14.0,21.0,17.0,5.0,48.0,12.0,7.0,6.0,27.0,35.0,26.0,56.0,49.0,40.0,41.0,36.0,57.0,13.0,3.0,20.0
4827,1.0,4.0,0.0,3.0,8.0,2.0,18.0,13.0,14.0,7.0,5.0,20.0,10.0,6.0,17.0,27.0,54.0,16.0,48.0,23.0,32.0,31.0,19.0,45.0,35.0,21.0,46.0,24.0,38.0,12.0
4876,1.0,7.0,0.0,11.0,3.0,6.0,32.0,23.0,9.0,25.0,2.0,17.0,19.0,4.0,16.0,30.0,5.0,8.0,18.0,12.0,22.0,38.0,42.0,35.0,29.0,31.0,36.0,20.0,24.0,37.0
