,NQO1,MB21D1,MAGEA6,SLC16A3,AC074389.9,FAM109B,AC093627.9,HOXC10,MAGEA1,S100A4,WWP2,TNFSF9,CSPG4,CTD-2639E6.9,RP11-305M3.2,SNORA5B,PARP8,LY6G5C,LINC01021,TFR2,GOLGA8B,S100P,ALPK3,HOXA11,DNAJA4,SMC5,RIN1,HTRA3,CSNK1E,NMB
500,0.0,1.0,4.0,5.0,7.0,2.0,6.0,9.0,34.0,28.0,195.0,8.0,11.0,24.0,292.0,64.0,38.0,15.0,123.0,54.0,18.0,33.0,21.0,16.0,37.0,118.0,73.0,23.0,45.0,17.0
549,0.0,1.0,6.0,2.0,4.0,28.0,22.0,29.0,39.0,13.0,248.0,11.0,58.0,16.0,33.0,357.0,234.0,59.0,35.0,60.0,7.0,19.0,10.0,15.0,76.0,153.0,110.0,21.0,42.0,74.0
598,0.0,5.0,11.0,3.0,2.0,4.0,13.0,205.0,6.0,116.0,93.0,16.0,60.0,25.0,45.0,14.0,223.0,8.0,208.0,17.0,18.0,40.0,124.0,24.0,19.0,265.0,76.0,28.0,55.0,36.0
647,0.0,2.0,5.0,1.0,3.0,4.0,7.0,20.0,11.0,18.0,143.0,41.0,71.0,43.0,61.0,107.0,25.0,29.0,832.0,35.0,9.0,60.0,21.0,36.0,34.0,137.0,31.0,16.0,12.0,26.0
696,0.0,1.0,3.0,10.0,2.0,4.0,5.0,31.0,17.0,14.0,62.0,6.0,9.0,32.0,101.0,155.0,200.0,40.0,28.0,44.0,7.0,13.0,45.0,16.0,168.0,402.0,49.0,23.0,60.0,39.0
745,0.0,10.0,2.0,9.0,7.0,6.0,13.0,15.0,5.0,20.0,69.0,4.0,14.0,11.0,89.0,187.0,57.0,43.0,168.0,210.0,3.0,8.0,41.0,12.0,21.0,368.0,33.0,60.0,24.0,18.0
794,0.0,1.0,20.0,25.0,4.0,2.0,6.0,31.0,57.0,16.0,135.0,14.0,10.0,9.0,276.0,49.0,81.0,28.0,502.0,128.0,24.0,37.0,15.0,35.0,7.0,266.0,17.0,33.0,51.0,53.0
843,0.0,2.0,74.0,6.0,3.0,1.0,15.0,12.0,25.0,45.0,169.0,5.0,30.0,7.0,143.0,50.0,175.0,51.0,268.0,14.0,26.0,19.0,27.0,31.0,34.0,333.0,104.0,98.0,16.0,44.0
892,0.0,3.0,9.0,5.0,2.0,1.0,10.0,53.0,22.0,38.0,80.0,54.0,21.0,11.0,137.0,55.0,61.0,17.0,312.0,31.0,35.0,16.0,15.0,8.0,87.0,221.0,33.0,7.0,23.0,18.0
941,0.0,1.0,6.0,15.0,5.0,2.0,4.0,9.0,11.0,57.0,56.0,19.0,20.0,3.0,116.0,63.0,78.0,23.0,80.0,59.0,17.0,27.0,103.0,12.0,28.0,290.0,61.0,13.0,35.0,21.0
990,0.0,3.0,1.0,10.0,4.0,2.0,33.0,13.0,11.0,16.0,22.0,50.0,14.0,90.0,30.0,281.0,12.0,18.0,59.0,274.0,29.0,45.0,37.0,5.0,6.0,40.0,28.0,7.0,51.0,124.0
1039,0.0,6.0,2.0,14.0,4.0,1.0,10.0,16.0,3.0,15.0,31.0,8.0,11.0,19.0,67.0,42.0,7.0,37.0,66.0,98.0,21.0,71.0,27.0,12.0,5.0,88.0,68.0,28.0,142.0,94.0
1088,0.0,1.0,6.0,21.0,2.0,3.0,30.0,24.0,19.0,4.0,48.0,22.0,16.0,176.0,71.0,448.0,39.0,95.0,291.0,44.0,29.0,110.0,57.0,12.0,47.0,27.0,14.0,87.0,102.0,65.0
1137,0.0,2.0,1.0,18.0,4.0,3.0,11.0,7.0,40.0,20.0,36.0,15.0,5.0,55.0,73.0,139.0,9.0,14.0,189.0,91.0,83.0,8.0,85.0,23.0,6.0,66.0,27.0,51.0,65.0,79.0
1186,0.0,3.0,1.0,10.0,4.0,2.0,11.0,27.0,7.0,39.0,37.0,15.0,8.0,90.0,24.0,166.0,6.0,14.0,95.0,174.0,18.0,56.0,16.0,5.0,28.0,41.0,17.0,22.0,52.0,33.0
1235,0.0,3.0,1.0,7.0,10.0,2.0,11.0,78.0,6.0,5.0,64.0,8.0,23.0,38.0,69.0,12.0,27.0,21.0,37.0,220.0,15.0,24.0,39.0,36.0,19.0,194.0,29.0,53.0,276.0,60.0
1284,0.0,3.0,2.0,11.0,4.0,1.0,10.0,21.0,8.0,13.0,65.0,9.0,5.0,61.0,34.0,71.0,40.0,25.0,23.0,56.0,112.0,130.0,156.0,6.0,60.0,32.0,12.0,58.0,54.0,18.0
1333,0.0,4.0,1.0,9.0,2.0,3.0,5.0,11.0,61.0,22.0,63.0,19.0,7.0,30.0,35.0,110.0,24.0,43.0,26.0,97.0,136.0,149.0,10.0,8.0,12.0,16.0,17.0,42.0,119.0,45.0
1382,0.0,4.0,1.0,18.0,5.0,2.0,35.0,17.0,34.0,6.0,16.0,7.0,9.0,20.0,179.0,119.0,8.0,27.0,197.0,397.0,12.0,69.0,101.0,3.0,47.0,40.0,88.0,109.0,135.0,48.0
1431,0.0,1.0,2.0,9.0,5.0,4.0,6.0,16.0,3.0,17.0,31.0,8.0,7.0,151.0,28.0,413.0,25.0,81.0,79.0,51.0,104.0,26.0,22.0,43.0,70.0,38.0,30.0,95.0,54.0,34.0
1480,0.0,1.0,12.0,8.0,9.0,482.0,33.0,47.0,100.0,3.0,7.0,102.0,61.0,168.0,24.0,4.0,113.0,32.0,130.0,14.0,159.0,86.0,30.0,13.0,10.0,58.0,17.0,50.0,99.0,56.0
1529,0.0,7.0,2.0,1.0,3.0,11.0,4.0,8.0,80.0,5.0,14.0,52.0,18.0,288.0,56.0,62.0,12.0,19.0,33.0,9.0,26.0,57.0,20.0,149.0,21.0,37.0,34.0,144.0,165.0,125.0
1578,0.0,9.0,1.0,5.0,4.0,3.0,24.0,6.0,33.0,2.0,12.0,27.0,52.0,26.0,37.0,56.0,212.0,71.0,90.0,14.0,31.0,29.0,43.0,36.0,20.0,28.0,30.0,147.0,220.0,21.0
1627,0.0,1.0,7.0,2.0,6.0,3.0,11.0,9.0,286.0,4.0,49.0,16.0,17.0,32.0,8.0,26.0,10.0,39.0,101.0,18.0,13.0,42.0,435.0,438.0,68.0,65.0,37.0,40.0,35.0,76.0
1676,0.0,4.0,16.0,3.0,1.0,2.0,27.0,6.0,12.0,10.0,15.0,34.0,92.0,50.0,8.0,17.0,28.0,132.0,39.0,38.0,19.0,163.0,47.0,71.0,156.0,9.0,11.0,89.0,243.0,135.0
1725,0.0,3.0,15.0,1.0,14.0,2.0,7.0,55.0,92.0,13.0,19.0,29.0,23.0,41.0,33.0,16.0,35.0,9.0,158.0,18.0,4.0,79.0,417.0,98.0,191.0,40.0,20.0,28.0,84.0,125.0
1774,0.0,17.0,6.0,2.0,8.0,1.0,15.0,10.0,11.0,4.0,9.0,7.0,36.0,39.0,5.0,473.0,3.0,70.0,137.0,22.0,62.0,63.0,82.0,120.0,35.0,16.0,57.0,71.0,283.0,56.0
1823,0.0,17.0,3.0,1.0,18.0,2.0,6.0,19.0,34.0,4.0,46.0,8.0,25.0,63.0,51.0,39.0,45.0,56.0,136.0,10.0,15.0,7.0,50.0,108.0,42.0,97.0,76.0,94.0,89.0,44.0
1872,0.0,17.0,3.0,2.0,4.0,1.0,12.0,9.0,410.0,10.0,20.0,401.0,25.0,265.0,94.0,23.0,18.0,203.0,63.0,21.0,29.0,45.0,293.0,273.0,30.0,107.0,32.0,58.0,61.0,152.0
1921,0.0,5.0,9.0,2.0,67.0,1.0,39.0,3.0,137.0,6.0,47.0,11.0,43.0,48.0,16.0,15.0,35.0,42.0,24.0,27.0,49.0,89.0,287.0,72.0,307.0,323.0,4.0,45.0,40.0,87.0
1970,0.0,6.0,25.0,7.0,17.0,5.0,10.0,41.0,9.0,42.0,16.0,2.0,15.0,3.0,30.0,21.0,28.0,52.0,1.0,269.0,27.0,165.0,392.0,1198.0,143.0,20.0,11.0,12.0,112.0,111.0
2019,0.0,1.0,112.0,5.0,25.0,2.0,78.0,66.0,34.0,207.0,4.0,29.0,50.0,8.0,11.0,10.0,36.0,6.0,3.0,68.0,142.0,55.0,339.0,589.0,41.0,12.0,16.0,7.0,28.0,165.0
2068,0.0,3.0,45.0,1.0,64.0,2.0,37.0,65.0,47.0,227.0,7.0,9.0,94.0,11.0,23.0,16.0,12.0,22.0,4.0,49.0,129.0,60.0,434.0,258.0,140.0,14.0,8.0,5.0,27.0,39.0
2117,0.0,4.0,84.0,3.0,146.0,1.0,9.0,63.0,39.0,351.0,7.0,18.0,53.0,25.0,11.0,28.0,22.0,12.0,8.0,47.0,46.0,70.0,210.0,377.0,55.0,5.0,16.0,6.0,52.0,121.0
2166,0.0,2.0,11.0,1.0,140.0,28.0,37.0,9.0,58.0,316.0,7.0,12.0,151.0,16.0,56.0,240.0,124.0,35.0,3.0,51.0,1397.0,43.0,134.0,39.0,2624.0,4.0,13.0,23.0,31.0,113.0
2215,0.0,1.0,49.0,5.0,11.0,2.0,10.0,166.0,12.0,22.0,6.0,16.0,21.0,85.0,58.0,33.0,60.0,4.0,3.0,19.0,45.0,350.0,247.0,417.0,18.0,8.0,7.0,20.0,177.0,38.0
2264,0.0,9.0,143.0,1.0,19.0,8.0,13.0,23.0,22.0,252.0,2.0,32.0,27.0,7.0,4.0,56.0,29.0,28.0,3.0,26.0,53.0,149.0,253.0,893.0,38.0,5.0,15.0,21.0,78.0,102.0
2313,0.0,1.0,78.0,4.0,8.0,2.0,38.0,33.0,18.0,160.0,20.0,14.0,29.0,10.0,6.0,44.0,39.0,52.0,5.0,43.0,124.0,31.0,212.0,59.0,45.0,7.0,9.0,13.0,130.0,53.0
2362,0.0,1.0,24.0,2.0,30.0,4.0,14.0,57.0,10.0,48.0,6.0,22.0,95.0,11.0,15.0,31.0,26.0,5.0,3.0,38.0,76.0,23.0,306.0,84.0,137.0,7.0,13.0,9.0,28.0,159.0
2411,0.0,3.0,11.0,1.0,6.0,2.0,19.0,62.0,8.0,591.0,5.0,14.0,32.0,12.0,26.0,10.0,52.0,69.0,4.0,55.0,155.0,76.0,391.0,714.0,88.0,18.0,13.0,27.0,57.0,53.0
2460,0.0,1.0,5.0,14.0,6.0,92.0,2.0,7.0,8.0,13.0,23.0,10.0,80.0,3.0,39.0,74.0,904.0,50.0,16.0,67.0,19.0,11.0,20.0,32.0,25.0,46.0,121.0,27.0,41.0,21.0
2509,0.0,2.0,5.0,8.0,1.0,4.0,7.0,47.0,18.0,3.0,52.0,6.0,36.0,11.0,217.0,48.0,67.0,26.0,32.0,30.0,15.0,17.0,81.0,9.0,23.0,62.0,206.0,10.0,69.0,31.0
2558,0.0,1.0,2.0,6.0,5.0,103.0,4.0,20.0,3.0,19.0,22.0,7.0,68.0,8.0,29.0,124.0,159.0,315.0,27.0,13.0,33.0,46.0,14.0,99.0,166.0,55.0,65.0,44.0,122.0,10.0
2607,0.0,6.0,4.0,5.0,3.0,23.0,9.0,11.0,1.0,8.0,32.0,2.0,41.0,13.0,35.0,159.0,253.0,51.0,7.0,93.0,84.0,86.0,299.0,111.0,92.0,165.0,46.0,209.0,295.0,100.0
2656,0.0,5.0,2.0,4.0,1.0,11.0,6.0,9.0,14.0,3.0,10.0,12.0,35.0,8.0,45.0,602.0,154.0,130.0,88.0,42.0,18.0,13.0,39.0,59.0,17.0,32.0,71.0,89.0,248.0,30.0
2705,0.0,1.0,4.0,3.0,5.0,27.0,2.0,9.0,7.0,6.0,12.0,15.0,10.0,24.0,17.0,302.0,98.0,159.0,64.0,54.0,37.0,16.0,19.0,60.0,28.0,25.0,43.0,51.0,168.0,39.0
2754,0.0,2.0,1.0,8.0,3.0,7.0,10.0,9.0,4.0,6.0,40.0,5.0,31.0,11.0,153.0,619.0,80.0,86.0,12.0,30.0,24.0,35.0,36.0,119.0,44.0,82.0,90.0,18.0,206.0,34.0
2803,0.0,3.0,1.0,5.0,2.0,69.0,13.0,8.0,4.0,7.0,25.0,9.0,33.0,14.0,71.0,597.0,682.0,49.0,23.0,21.0,31.0,12.0,70.0,54.0,248.0,202.0,67.0,30.0,63.0,46.0
2852,0.0,1.0,3.0,5.0,2.0,10.0,7.0,44.0,4.0,6.0,35.0,40.0,19.0,33.0,42.0,309.0,140.0,105.0,12.0,8.0,46.0,67.0,49.0,138.0,53.0,84.0,43.0,25.0,135.0,18.0
2901,0.0,1.0,2.0,7.0,5.0,29.0,13.0,66.0,14.0,15.0,16.0,9.0,27.0,88.0,191.0,61.0,115.0,10.0,57.0,37.0,21.0,49.0,34.0,30.0,100.0,31.0,259.0,338.0,22.0,17.0
2950,0.0,8.0,2.0,3.0,1.0,4.0,38.0,82.0,22.0,134.0,23.0,96.0,20.0,177.0,9.0,16.0,6.0,79.0,86.0,81.0,432.0,32.0,27.0,19.0,12.0,36.0,37.0,52.0,55.0,102.0
2999,0.0,2.0,3.0,6.0,1.0,137.0,36.0,135.0,8.0,306.0,24.0,30.0,16.0,42.0,13.0,19.0,21.0,107.0,56.0,12.0,301.0,77.0,54.0,305.0,100.0,39.0,47.0,51.0,59.0,93.0
3048,0.0,3.0,2.0,4.0,1.0,51.0,7.0,5.0,22.0,93.0,18.0,41.0,13.0,54.0,25.0,45.0,6.0,14.0,211.0,9.0,532.0,11.0,19.0,10.0,36.0,15.0,74.0,28.0,16.0,44.0
3097,0.0,2.0,1.0,4.0,3.0,44.0,9.0,46.0,27.0,86.0,13.0,54.0,5.0,246.0,21.0,365.0,6.0,33.0,8.0,51.0,90.0,74.0,25.0,17.0,18.0,35.0,96.0,38.0,14.0,126.0
3146,0.0,1.0,2.0,3.0,4.0,27.0,32.0,29.0,21.0,170.0,19.0,122.0,11.0,47.0,13.0,40.0,26.0,8.0,309.0,20.0,77.0,25.0,37.0,5.0,311.0,17.0,64.0,49.0,33.0,61.0
3195,0.0,3.0,1.0,4.0,2.0,14.0,26.0,36.0,15.0,126.0,23.0,20.0,8.0,49.0,60.0,149.0,7.0,66.0,45.0,38.0,116.0,24.0,157.0,93.0,136.0,51.0,46.0,48.0,61.0,53.0
3244,0.0,3.0,1.0,8.0,2.0,28.0,31.0,64.0,5.0,50.0,9.0,83.0,22.0,88.0,19.0,46.0,4.0,29.0,218.0,103.0,70.0,10.0,23.0,20.0,54.0,37.0,111.0,53.0,49.0,68.0
3293,0.0,7.0,1.0,2.0,3.0,10.0,8.0,96.0,21.0,428.0,13.0,55.0,54.0,50.0,40.0,19.0,6.0,78.0,35.0,14.0,47.0,16.0,198.0,53.0,25.0,42.0,65.0,38.0,92.0,22.0
3342,0.0,3.0,2.0,7.0,1.0,105.0,12.0,19.0,288.0,21.0,22.0,77.0,4.0,151.0,33.0,9.0,18.0,217.0,180.0,15.0,173.0,41.0,58.0,32.0,136.0,20.0,78.0,89.0,80.0,14.0
3391,0.0,8.0,3.0,2.0,1.0,7.0,22.0,46.0,45.0,283.0,17.0,33.0,27.0,174.0,13.0,34.0,5.0,123.0,19.0,11.0,24.0,116.0,181.0,20.0,432.0,4.0,177.0,40.0,35.0,110.0
3440,0.0,1.0,6.0,2.0,3.0,8.0,11.0,5.0,48.0,70.0,16.0,53.0,39.0,14.0,47.0,9.0,20.0,42.0,12.0,24.0,65.0,28.0,40.0,46.0,7.0,43.0,184.0,27.0,22.0,116.0
3489,0.0,1.0,23.0,3.0,13.0,12.0,64.0,9.0,5.0,20.0,47.0,11.0,40.0,19.0,17.0,25.0,14.0,69.0,80.0,52.0,131.0,171.0,38.0,4.0,2.0,32.0,43.0,44.0,41.0,194.0
3538,0.0,1.0,11.0,3.0,5.0,6.0,35.0,8.0,4.0,64.0,24.0,33.0,19.0,61.0,20.0,10.0,25.0,38.0,29.0,48.0,45.0,26.0,15.0,14.0,2.0,75.0,267.0,12.0,13.0,57.0
3587,0.0,1.0,3.0,4.0,2.0,9.0,95.0,16.0,5.0,38.0,11.0,22.0,7.0,30.0,104.0,13.0,45.0,48.0,6.0,99.0,62.0,53.0,21.0,14.0,12.0,17.0,75.0,24.0,31.0,43.0
3636,0.0,1.0,11.0,19.0,3.0,14.0,71.0,5.0,4.0,8.0,27.0,132.0,9.0,32.0,62.0,15.0,109.0,35.0,25.0,41.0,178.0,16.0,38.0,33.0,2.0,29.0,18.0,26.0,21.0,66.0
3685,0.0,1.0,5.0,11.0,16.0,2.0,7.0,4.0,8.0,15.0,41.0,23.0,6.0,70.0,33.0,18.0,49.0,34.0,50.0,112.0,12.0,32.0,24.0,215.0,3.0,67.0,225.0,17.0,9.0,251.0
3734,0.0,1.0,34.0,14.0,6.0,4.0,38.0,7.0,29.0,79.0,11.0,76.0,15.0,48.0,24.0,3.0,23.0,9.0,59.0,44.0,106.0,52.0,22.0,43.0,2.0,8.0,127.0,46.0,16.0,80.0
3783,0.0,1.0,4.0,2.0,6.0,37.0,30.0,11.0,8.0,26.0,58.0,32.0,28.0,40.0,14.0,25.0,36.0,7.0,123.0,16.0,24.0,12.0,9.0,59.0,3.0,55.0,51.0,39.0,31.0,57.0
3832,0.0,1.0,50.0,4.0,5.0,3.0,34.0,6.0,9.0,60.0,10.0,18.0,7.0,25.0,23.0,8.0,35.0,19.0,87.0,39.0,38.0,27.0,139.0,37.0,2.0,30.0,62.0,41.0,28.0,113.0
3881,0.0,1.0,61.0,7.0,3.0,5.0,20.0,6.0,4.0,26.0,15.0,45.0,8.0,76.0,17.0,23.0,10.0,14.0,11.0,25.0,58.0,29.0,482.0,71.0,2.0,75.0,138.0,46.0,62.0,91.0
3930,0.0,8.0,2.0,9.0,130.0,7.0,123.0,4.0,99.0,5.0,50.0,27.0,44.0,24.0,12.0,1.0,137.0,3.0,59.0,15.0,40.0,18.0,6.0,81.0,21.0,52.0,10.0,175.0,83.0,42.0
3979,0.0,1.0,8.0,2.0,78.0,3.0,4.0,26.0,55.0,43.0,20.0,11.0,22.0,69.0,12.0,10.0,37.0,29.0,50.0,17.0,30.0,9.0,40.0,35.0,107.0,24.0,31.0,294.0,93.0,161.0
4028,0.0,2.0,1.0,3.0,32.0,4.0,22.0,14.0,130.0,13.0,45.0,26.0,28.0,18.0,29.0,8.0,31.0,9.0,15.0,10.0,7.0,30.0,6.0,24.0,137.0,57.0,23.0,129.0,37.0,123.0
4077,0.0,1.0,23.0,3.0,51.0,11.0,8.0,2.0,145.0,7.0,29.0,37.0,54.0,18.0,6.0,22.0,116.0,65.0,74.0,24.0,151.0,16.0,10.0,28.0,110.0,31.0,26.0,808.0,47.0,17.0
4126,0.0,1.0,41.0,4.0,84.0,2.0,55.0,35.0,277.0,3.0,21.0,40.0,175.0,31.0,20.0,5.0,104.0,14.0,38.0,8.0,45.0,17.0,15.0,7.0,29.0,53.0,37.0,166.0,30.0,18.0
4175,0.0,1.0,30.0,4.0,13.0,10.0,35.0,12.0,5.0,20.0,57.0,103.0,92.0,27.0,3.0,6.0,21.0,62.0,102.0,7.0,25.0,42.0,16.0,134.0,15.0,68.0,9.0,619.0,39.0,49.0
4224,0.0,2.0,3.0,1.0,18.0,6.0,67.0,101.0,129.0,17.0,44.0,24.0,41.0,27.0,10.0,5.0,16.0,21.0,529.0,23.0,56.0,45.0,11.0,14.0,144.0,13.0,37.0,164.0,7.0,34.0
4273,0.0,2.0,8.0,5.0,4.0,1.0,16.0,6.0,366.0,30.0,10.0,42.0,9.0,41.0,12.0,15.0,83.0,20.0,384.0,87.0,24.0,39.0,17.0,14.0,34.0,18.0,23.0,338.0,178.0,38.0
4322,0.0,1.0,25.0,2.0,572.0,220.0,43.0,16.0,103.0,10.0,21.0,12.0,19.0,20.0,6.0,3.0,39.0,57.0,78.0,15.0,11.0,66.0,8.0,13.0,14.0,30.0,64.0,218.0,32.0,24.0
4371,0.0,2.0,1.0,7.0,6.0,8.0,30.0,11.0,28.0,4.0,80.0,36.0,32.0,9.0,5.0,3.0,92.0,84.0,17.0,24.0,52.0,72.0,43.0,18.0,156.0,31.0,14.0,195.0,62.0,15.0
4420,0.0,3.0,2.0,1.0,4.0,654.0,11.0,22.0,51.0,253.0,54.0,189.0,16.0,534.0,27.0,5.0,7.0,9.0,8.0,47.0,53.0,58.0,57.0,19.0,38.0,30.0,20.0,68.0,14.0,216.0
4469,0.0,1.0,2.0,3.0,5.0,129.0,9.0,4.0,54.0,194.0,88.0,52.0,33.0,48.0,26.0,7.0,31.0,10.0,14.0,239.0,16.0,145.0,60.0,77.0,19.0,91.0,17.0,154.0,21.0,74.0
4518,0.0,4.0,1.0,2.0,15.0,220.0,8.0,5.0,3.0,424.0,70.0,157.0,31.0,75.0,48.0,6.0,12.0,24.0,11.0,13.0,10.0,26.0,7.0,741.0,116.0,52.0,30.0,97.0,78.0,263.0
4567,0.0,3.0,2.0,1.0,57.0,296.0,6.0,4.0,220.0,95.0,9.0,36.0,82.0,102.0,96.0,11.0,33.0,7.0,15.0,16.0,5.0,42.0,13.0,270.0,63.0,55.0,104.0,185.0,8.0,219.0
4616,0.0,2.0,3.0,1.0,4.0,32.0,34.0,11.0,6.0,114.0,33.0,130.0,39.0,21.0,136.0,5.0,17.0,10.0,151.0,61.0,14.0,85.0,12.0,69.0,92.0,323.0,44.0,35.0,7.0,65.0
4665,0.0,3.0,1.0,2.0,4.0,1259.0,14.0,5.0,8.0,237.0,19.0,349.0,73.0,115.0,41.0,90.0,33.0,43.0,84.0,154.0,389.0,51.0,13.0,17.0,233.0,40.0,130.0,129.0,80.0,279.0
4714,0.0,4.0,2.0,1.0,309.0,11.0,25.0,3.0,70.0,213.0,59.0,99.0,133.0,77.0,39.0,35.0,98.0,10.0,12.0,7.0,5.0,6.0,22.0,355.0,79.0,163.0,44.0,130.0,8.0,42.0
4763,0.0,2.0,3.0,1.0,12.0,110.0,18.0,6.0,17.0,502.0,21.0,89.0,104.0,60.0,166.0,4.0,32.0,10.0,15.0,90.0,23.0,82.0,9.0,85.0,24.0,26.0,61.0,67.0,5.0,45.0
4812,0.0,1.0,3.0,2.0,14.0,404.0,4.0,6.0,17.0,245.0,28.0,297.0,82.0,69.0,38.0,5.0,163.0,33.0,57.0,8.0,25.0,110.0,159.0,623.0,331.0,39.0,11.0,30.0,9.0,54.0
4861,0.0,3.0,1.0,2.0,4.0,80.0,9.0,5.0,6.0,16.0,17.0,53.0,48.0,33.0,35.0,13.0,50.0,40.0,24.0,18.0,36.0,43.0,111.0,200.0,255.0,99.0,87.0,165.0,38.0,208.0
