,TTTY22_DEL,AGMO_AMP,THSD4_AMP,TP53_MUT,BARX2_DEL,USP32P1_AMP,WDR91_DEL,ZBTB44_DEL,GRIN2D_DEL,TMEM230_DEL,ZCCHC4_DEL,GRIN2B_DEL,CCDC113_DEL,SETD2_DEL,MRPL18_DEL,NDUFAF4_DEL,LINC00652_DEL,GRIN2A_DEL,MED4_DEL,TIMM21_DEL,FOXN3-AS2_DEL,THYN1_DEL,CHMP4A_DEL,CCDC59_DEL,MRPL15_DEL,STXBP6_DEL,LINC00339_DEL,RANGRF_DEL,GRIK4_DEL,COMMD9_DEL
1798,4940.0,13662.0,19085.0,38.0,9031.0,37.0,57.0,52.0,47.0,58.0,54.0,53.0,51.0,50.0,49.0,61.0,77.0,78.0,60.0,70.0,107.0,72.0,73.0,74.0,71.0,69.0,67.0,65.0,80.0,64.0
1847,19.0,13657.0,4.0,0.0,9031.0,13067.0,45.0,51.0,47.0,48.0,46.0,49.0,44.0,41.0,40.0,54.0,53.0,50.0,69.0,61.0,72.0,64.0,67.0,68.0,63.0,60.0,59.0,58.0,113.0,57.0
1896,20.0,12.0,1.0,43.0,25.0,37.0,54.0,52.0,76.0,77.0,53.0,100.0,51.0,50.0,55.0,46.0,47.0,102.0,45.0,71.0,103.0,73.0,74.0,66.0,72.0,70.0,69.0,68.0,106.0,75.0
1945,4954.0,8.0,32.0,38.0,24.0,42.0,60.0,51.0,76.0,99.0,59.0,82.0,49.0,62.0,63.0,75.0,77.0,118.0,79.0,48.0,103.0,68.0,70.0,72.0,67.0,71.0,73.0,78.0,104.0,64.0
1994,20.0,13663.0,15.0,1.0,9032.0,2.0,75.0,71.0,80.0,82.0,83.0,64.0,70.0,69.0,68.0,65.0,67.0,63.0,86.0,189.0,62.0,129.0,171.0,128.0,190.0,188.0,187.0,186.0,61.0,185.0
2043,4955.0,8.0,19.0,36.0,3.0,38.0,75.0,54.0,77.0,76.0,56.0,99.0,53.0,52.0,50.0,46.0,47.0,100.0,57.0,64.0,101.0,61.0,60.0,58.0,63.0,65.0,67.0,68.0,102.0,71.0
2092,19.0,17.0,1.0,37.0,22.0,13070.0,49.0,51.0,63.0,104.0,50.0,114.0,53.0,54.0,55.0,61.0,57.0,97.0,62.0,71.0,98.0,66.0,65.0,64.0,68.0,72.0,74.0,58.0,99.0,96.0
2141,4940.0,13662.0,19086.0,16290.0,9.0,13073.0,51.0,65.0,50.0,47.0,45.0,48.0,53.0,55.0,56.0,58.0,57.0,62.0,59.0,60.0,114.0,64.0,63.0,61.0,52.0,66.0,54.0,49.0,68.0,44.0
2190,1.0,13661.0,12.0,25.0,9032.0,13071.0,75.0,72.0,76.0,77.0,74.0,78.0,71.0,70.0,69.0,66.0,68.0,80.0,116.0,188.0,82.0,129.0,128.0,127.0,189.0,187.0,185.0,184.0,47.0,183.0
2239,19.0,24.0,0.0,2.0,9.0,13072.0,68.0,66.0,52.0,60.0,67.0,49.0,65.0,64.0,51.0,69.0,62.0,48.0,61.0,55.0,47.0,57.0,58.0,59.0,56.0,54.0,53.0,116.0,46.0,163.0
2288,4958.0,0.0,36.0,1.0,2.0,13076.0,54.0,51.0,57.0,109.0,52.0,81.0,50.0,60.0,70.0,78.0,80.0,102.0,76.0,71.0,103.0,72.0,73.0,75.0,79.0,68.0,67.0,66.0,105.0,63.0
2337,31.0,13668.0,19093.0,16276.0,9036.0,46.0,80.0,101.0,104.0,105.0,102.0,106.0,98.0,79.0,60.0,57.0,58.0,110.0,56.0,59.0,111.0,53.0,51.0,55.0,54.0,61.0,52.0,70.0,112.0,62.0
2386,5007.0,6.0,0.0,33.0,17.0,40.0,96.0,55.0,77.0,76.0,75.0,100.0,54.0,53.0,52.0,56.0,50.0,102.0,48.0,72.0,104.0,66.0,57.0,47.0,59.0,71.0,68.0,74.0,105.0,67.0
2435,4958.0,13664.0,18.0,0.0,9034.0,13074.0,52.0,47.0,49.0,75.0,59.0,78.0,58.0,60.0,55.0,50.0,53.0,107.0,48.0,72.0,80.0,61.0,69.0,56.0,73.0,71.0,70.0,66.0,117.0,65.0
2484,14.0,13666.0,19087.0,40.0,9034.0,13078.0,58.0,63.0,57.0,55.0,62.0,69.0,64.0,65.0,74.0,61.0,70.0,97.0,48.0,71.0,76.0,49.0,51.0,67.0,66.0,72.0,68.0,60.0,100.0,73.0
2533,33.0,13662.0,9.0,1.0,34.0,13072.0,74.0,73.0,77.0,78.0,82.0,80.0,71.0,70.0,69.0,67.0,68.0,81.0,66.0,127.0,61.0,125.0,107.0,64.0,168.0,186.0,185.0,184.0,54.0,183.0
2582,4941.0,6.0,19.0,35.0,9034.0,13076.0,50.0,58.0,51.0,49.0,48.0,52.0,68.0,75.0,72.0,69.0,71.0,53.0,67.0,61.0,54.0,63.0,65.0,66.0,62.0,99.0,116.0,164.0,56.0,118.0
2631,4951.0,13.0,3.0,16289.0,10.0,13067.0,51.0,52.0,49.0,48.0,55.0,47.0,57.0,58.0,59.0,61.0,60.0,62.0,63.0,54.0,68.0,66.0,65.0,64.0,56.0,53.0,67.0,46.0,92.0,50.0
2680,4943.0,8.0,31.0,46.0,9032.0,13073.0,50.0,60.0,100.0,82.0,58.0,81.0,54.0,59.0,52.0,49.0,51.0,104.0,70.0,76.0,106.0,78.0,80.0,62.0,77.0,75.0,72.0,79.0,107.0,71.0
2729,21.0,13664.0,14.0,0.0,9033.0,13074.0,65.0,64.0,66.0,67.0,53.0,68.0,63.0,69.0,62.0,59.0,60.0,54.0,58.0,187.0,61.0,55.0,56.0,57.0,112.0,115.0,185.0,184.0,49.0,183.0
2778,4958.0,13665.0,19087.0,33.0,9033.0,13075.0,55.0,48.0,57.0,79.0,54.0,98.0,47.0,58.0,49.0,77.0,76.0,99.0,74.0,66.0,78.0,70.0,71.0,72.0,67.0,65.0,63.0,61.0,101.0,114.0
2827,36.0,13662.0,11.0,0.0,20.0,13073.0,76.0,82.0,80.0,81.0,74.0,47.0,73.0,71.0,70.0,67.0,69.0,48.0,66.0,127.0,49.0,126.0,64.0,65.0,191.0,189.0,188.0,187.0,50.0,185.0
2876,16.0,1.0,21.0,34.0,9032.0,13073.0,48.0,52.0,57.0,54.0,51.0,61.0,53.0,49.0,60.0,62.0,59.0,77.0,63.0,69.0,76.0,66.0,65.0,64.0,68.0,71.0,72.0,73.0,99.0,97.0
2925,4942.0,13664.0,21.0,16272.0,9033.0,13073.0,45.0,52.0,50.0,49.0,46.0,47.0,70.0,54.0,69.0,67.0,68.0,48.0,53.0,61.0,51.0,63.0,64.0,65.0,62.0,60.0,59.0,58.0,66.0,57.0
2974,0.0,13659.0,19086.0,16289.0,34.0,13072.0,64.0,67.0,59.0,62.0,65.0,58.0,68.0,70.0,50.0,69.0,71.0,48.0,66.0,49.0,52.0,60.0,61.0,63.0,72.0,57.0,51.0,53.0,56.0,54.0
3023,34.0,13662.0,19087.0,22.0,9031.0,13071.0,80.0,78.0,62.0,81.0,79.0,45.0,76.0,75.0,74.0,72.0,73.0,46.0,71.0,65.0,47.0,67.0,68.0,69.0,66.0,127.0,128.0,188.0,48.0,187.0
3072,5.0,0.0,19086.0,16271.0,8.0,13070.0,53.0,69.0,71.0,51.0,70.0,50.0,68.0,67.0,52.0,64.0,65.0,46.0,63.0,58.0,47.0,60.0,61.0,62.0,59.0,57.0,56.0,55.0,45.0,54.0
3121,1.0,23.0,13.0,0.0,42.0,13071.0,62.0,70.0,57.0,53.0,64.0,55.0,68.0,67.0,66.0,63.0,65.0,50.0,61.0,56.0,51.0,58.0,59.0,60.0,69.0,48.0,104.0,118.0,52.0,166.0
3170,2.0,20.0,19086.0,16290.0,9030.0,0.0,47.0,52.0,95.0,74.0,54.0,98.0,50.0,49.0,71.0,58.0,57.0,99.0,59.0,63.0,100.0,61.0,56.0,60.0,62.0,72.0,65.0,66.0,101.0,67.0
3219,7.0,13656.0,4.0,3.0,9029.0,13067.0,66.0,70.0,65.0,64.0,68.0,63.0,58.0,56.0,69.0,60.0,67.0,62.0,59.0,47.0,61.0,55.0,71.0,57.0,48.0,46.0,54.0,101.0,53.0,117.0
3268,21.0,13664.0,19089.0,16275.0,9035.0,34.0,58.0,50.0,53.0,57.0,51.0,55.0,74.0,61.0,65.0,68.0,66.0,54.0,69.0,72.0,52.0,60.0,73.0,70.0,62.0,71.0,67.0,64.0,107.0,63.0
3317,4937.0,13656.0,19082.0,0.0,11.0,13.0,60.0,62.0,59.0,56.0,61.0,47.0,63.0,71.0,67.0,57.0,68.0,49.0,69.0,46.0,50.0,58.0,64.0,65.0,70.0,55.0,53.0,117.0,48.0,188.0
3366,4970.0,13662.0,19085.0,46.0,9034.0,45.0,53.0,67.0,52.0,51.0,58.0,48.0,60.0,73.0,72.0,69.0,70.0,50.0,75.0,61.0,55.0,63.0,66.0,68.0,62.0,114.0,213.0,119.0,56.0,187.0
3415,1.0,13665.0,8.0,0.0,19.0,13077.0,79.0,76.0,80.0,81.0,77.0,64.0,75.0,83.0,74.0,69.0,70.0,73.0,68.0,129.0,62.0,109.0,65.0,66.0,193.0,191.0,190.0,189.0,50.0,188.0
3464,1.0,9.0,19089.0,16291.0,2.0,0.0,52.0,47.0,53.0,75.0,50.0,94.0,48.0,55.0,46.0,56.0,49.0,76.0,73.0,68.0,97.0,70.0,71.0,72.0,69.0,66.0,65.0,64.0,98.0,63.0
3513,17.0,14.0,19091.0,3.0,24.0,0.0,99.0,105.0,100.0,101.0,78.0,102.0,54.0,55.0,50.0,56.0,48.0,103.0,46.0,45.0,106.0,49.0,57.0,47.0,52.0,73.0,70.0,69.0,114.0,68.0
3562,2.0,24.0,19089.0,1.0,18.0,0.0,48.0,78.0,49.0,51.0,62.0,61.0,76.0,75.0,74.0,80.0,73.0,60.0,70.0,124.0,53.0,65.0,68.0,69.0,64.0,125.0,126.0,183.0,54.0,180.0
3611,4998.0,15.0,19093.0,47.0,9035.0,1.0,76.0,74.0,100.0,101.0,109.0,102.0,71.0,56.0,55.0,58.0,54.0,103.0,53.0,61.0,104.0,49.0,57.0,52.0,48.0,59.0,63.0,64.0,105.0,65.0
3660,0.0,1.0,20.0,16271.0,15.0,13071.0,42.0,48.0,46.0,41.0,64.0,43.0,63.0,62.0,61.0,58.0,60.0,44.0,57.0,52.0,45.0,54.0,55.0,56.0,53.0,51.0,50.0,49.0,59.0,113.0
3709,1.0,4.0,19087.0,16272.0,9031.0,0.0,53.0,68.0,52.0,47.0,54.0,46.0,56.0,59.0,65.0,61.0,62.0,104.0,51.0,44.0,71.0,69.0,60.0,48.0,63.0,67.0,66.0,64.0,95.0,58.0
3758,25.0,9.0,18.0,16273.0,27.0,1.0,81.0,56.0,102.0,119.0,99.0,103.0,57.0,55.0,59.0,69.0,49.0,104.0,60.0,71.0,105.0,73.0,75.0,76.0,72.0,78.0,70.0,68.0,106.0,67.0
3807,6.0,5.0,19089.0,0.0,29.0,3.0,42.0,44.0,49.0,50.0,43.0,91.0,52.0,54.0,56.0,60.0,58.0,69.0,61.0,64.0,94.0,67.0,63.0,62.0,65.0,59.0,57.0,55.0,95.0,53.0
3856,9.0,1.0,16.0,16274.0,4.0,0.0,88.0,86.0,111.0,112.0,87.0,113.0,75.0,62.0,61.0,57.0,60.0,114.0,56.0,51.0,115.0,53.0,54.0,55.0,52.0,50.0,49.0,48.0,116.0,47.0
3905,24.0,13663.0,19088.0,16291.0,21.0,5.0,43.0,68.0,44.0,45.0,42.0,46.0,59.0,76.0,73.0,71.0,72.0,47.0,78.0,61.0,56.0,63.0,66.0,67.0,62.0,81.0,123.0,165.0,57.0,125.0
3954,11.0,13662.0,19093.0,3.0,27.0,2.0,46.0,50.0,68.0,61.0,62.0,59.0,48.0,70.0,63.0,57.0,56.0,55.0,64.0,60.0,54.0,67.0,58.0,65.0,66.0,69.0,52.0,116.0,53.0,163.0
4003,4941.0,13663.0,19086.0,0.0,9031.0,13073.0,61.0,66.0,59.0,57.0,64.0,55.0,68.0,46.0,63.0,51.0,56.0,50.0,48.0,62.0,49.0,69.0,58.0,67.0,65.0,60.0,70.0,54.0,53.0,52.0
4052,4939.0,18.0,19092.0,34.0,15.0,0.0,65.0,68.0,63.0,61.0,74.0,59.0,69.0,71.0,72.0,62.0,58.0,54.0,70.0,57.0,52.0,60.0,64.0,66.0,73.0,50.0,166.0,121.0,51.0,187.0
4101,7.0,13659.0,19091.0,0.0,9029.0,46.0,72.0,70.0,71.0,74.0,58.0,69.0,67.0,66.0,65.0,62.0,64.0,68.0,61.0,119.0,63.0,117.0,52.0,51.0,188.0,186.0,185.0,184.0,60.0,183.0
4150,4968.0,11.0,19087.0,0.0,9033.0,13073.0,56.0,51.0,46.0,47.0,50.0,48.0,55.0,58.0,73.0,57.0,72.0,49.0,69.0,64.0,52.0,66.0,67.0,68.0,65.0,63.0,62.0,61.0,53.0,60.0
4199,14.0,20.0,19088.0,16290.0,3.0,0.0,49.0,56.0,52.0,54.0,72.0,51.0,71.0,70.0,55.0,67.0,68.0,50.0,66.0,61.0,48.0,63.0,64.0,65.0,62.0,60.0,59.0,58.0,53.0,57.0
4248,8.0,13658.0,3.0,0.0,9028.0,2.0,59.0,72.0,75.0,48.0,74.0,56.0,71.0,70.0,69.0,63.0,66.0,49.0,61.0,187.0,52.0,164.0,97.0,60.0,116.0,186.0,185.0,184.0,53.0,183.0
4297,2.0,15.0,4.0,0.0,9032.0,1.0,67.0,64.0,45.0,69.0,65.0,66.0,72.0,58.0,50.0,63.0,48.0,60.0,49.0,55.0,59.0,62.0,68.0,70.0,71.0,54.0,53.0,51.0,57.0,46.0
4346,4943.0,13665.0,19086.0,1.0,4.0,13075.0,70.0,57.0,47.0,48.0,56.0,49.0,58.0,60.0,61.0,63.0,62.0,50.0,64.0,67.0,52.0,54.0,68.0,65.0,69.0,66.0,59.0,55.0,71.0,51.0
4395,18.0,13665.0,11.0,16274.0,1.0,0.0,78.0,84.0,79.0,81.0,77.0,75.0,74.0,73.0,72.0,70.0,71.0,66.0,110.0,187.0,55.0,127.0,213.0,169.0,189.0,186.0,185.0,183.0,49.0,190.0
4444,4940.0,0.0,2.0,41.0,15.0,45.0,101.0,118.0,79.0,103.0,80.0,104.0,78.0,56.0,47.0,49.0,57.0,106.0,50.0,59.0,107.0,48.0,54.0,52.0,68.0,72.0,70.0,77.0,108.0,69.0
4493,2.0,0.0,10.0,3.0,7.0,13071.0,64.0,66.0,69.0,61.0,55.0,56.0,63.0,62.0,60.0,45.0,54.0,53.0,51.0,59.0,50.0,44.0,67.0,57.0,65.0,58.0,52.0,48.0,49.0,47.0
4542,0.0,3.0,19082.0,5.0,29.0,13069.0,52.0,60.0,53.0,54.0,51.0,55.0,49.0,48.0,45.0,72.0,61.0,56.0,62.0,77.0,57.0,79.0,80.0,81.0,78.0,76.0,75.0,74.0,58.0,82.0
4591,19.0,28.0,19087.0,21.0,32.0,0.0,64.0,82.0,83.0,59.0,65.0,56.0,81.0,78.0,75.0,73.0,74.0,55.0,72.0,67.0,54.0,69.0,70.0,71.0,68.0,66.0,108.0,127.0,53.0,170.0
4640,1.0,13669.0,21.0,2.0,11.0,13078.0,60.0,67.0,47.0,51.0,53.0,49.0,66.0,65.0,64.0,62.0,52.0,48.0,68.0,56.0,50.0,58.0,59.0,61.0,57.0,55.0,54.0,116.0,63.0,164.0
4689,22.0,15.0,19085.0,0.0,29.0,13076.0,54.0,51.0,56.0,57.0,52.0,58.0,49.0,48.0,62.0,66.0,65.0,59.0,67.0,74.0,95.0,70.0,69.0,68.0,72.0,90.0,160.0,114.0,109.0,182.0
4738,2.0,13659.0,6.0,9.0,32.0,13070.0,57.0,55.0,58.0,59.0,56.0,63.0,54.0,52.0,51.0,48.0,49.0,82.0,47.0,80.0,126.0,81.0,61.0,46.0,62.0,79.0,78.0,77.0,83.0,75.0
4787,18.0,22.0,0.0,38.0,9035.0,36.0,71.0,69.0,95.0,96.0,104.0,97.0,48.0,46.0,45.0,68.0,47.0,98.0,50.0,63.0,70.0,65.0,66.0,67.0,64.0,62.0,49.0,61.0,100.0,60.0
4836,1.0,14.0,32.0,0.0,27.0,13076.0,102.0,54.0,119.0,104.0,109.0,107.0,51.0,58.0,50.0,48.0,49.0,108.0,59.0,73.0,110.0,77.0,78.0,60.0,76.0,72.0,71.0,69.0,118.0,68.0
4885,0.0,13664.0,1.0,33.0,13.0,43.0,52.0,55.0,50.0,51.0,69.0,47.0,56.0,57.0,54.0,59.0,58.0,49.0,60.0,65.0,48.0,63.0,62.0,61.0,64.0,66.0,67.0,68.0,46.0,103.0
