,IFI27,ENPP1,RP11-902B17.1,FAM189B,DSC2,LAMA5,ALS2CL,PKNOX2,SLC2A1,JUP,CEP170P1,LINC00473,AP003068.18,RRAGD,GREB1,RP11-554I8.2,FAM219A,AC021188.4,SEMA4B,TBC1D2,CCDC23,IRF4,AC002128.5,KRT17P3,ABCA12,HLA-V,HCFC2,PLEKHG5,PCDH9,RP11-44F14.2
844,1.0,3.0,166.0,5.0,103.0,7822.0,35.0,186.0,7.0,9.0,27.0,23341.0,2.0,19.0,342.0,20681.0,57.0,139.0,3528.0,373.0,16321.0,283.0,11638.0,107.0,13903.0,21218.0,223.0,14.0,6037.0,183.0
893,15.0,2.0,5.0,4.0,9.0,113.0,1.0,50.0,224.0,3.0,48.0,563.0,0.0,158.0,34.0,160.0,17.0,110.0,3948.0,108.0,16275.0,342.0,8298.0,129.0,25.0,116.0,21.0,209.0,325.0,117.0
942,5.0,0.0,14.0,15.0,3.0,4.0,32.0,16.0,2.0,53.0,21.0,45.0,103.0,289.0,155.0,107.0,18570.0,33.0,7.0,184.0,101.0,81.0,12.0,11954.0,180.0,21222.0,229.0,16257.0,3319.0,262.0
991,9.0,12.0,3.0,4.0,1.0,10.0,22.0,34.0,44.0,20.0,52.0,2552.0,102.0,141.0,7.0,103.0,26.0,40.0,16.0,75.0,85.0,77.0,11606.0,74.0,253.0,185.0,5778.0,109.0,15.0,38.0
1040,95.0,138.0,0.0,367.0,2.0,5.0,9.0,38.0,78.0,4.0,54.0,23069.0,170.0,39.0,2940.0,66.0,18554.0,90.0,262.0,208.0,394.0,7.0,131.0,63.0,94.0,72.0,21.0,19.0,319.0,288.0
1089,2.0,15.0,10.0,20.0,4.0,12.0,14.0,44.0,11.0,0.0,19.0,92.0,3938.0,122.0,89.0,17.0,18567.0,85.0,5.0,71.0,16286.0,74.0,72.0,10269.0,48.0,7.0,5503.0,76.0,23.0,49.0
1138,54.0,6.0,4.0,0.0,7.0,18.0,5.0,32.0,33.0,75.0,24.0,23228.0,30.0,3.0,16855.0,140.0,73.0,97.0,14.0,197.0,56.0,1.0,11606.0,107.0,13882.0,233.0,190.0,129.0,26.0,90.0
1187,64.0,8.0,2.0,38.0,4.0,12.0,0.0,7.0,26.0,6.0,14029.0,5.0,24.0,22995.0,161.0,1327.0,18509.0,192.0,546.0,215.0,16317.0,78.0,143.0,9987.0,13889.0,21204.0,7122.0,81.0,3.0,235.0
1236,0.0,125.0,3.0,25.0,2.0,4.0,20.0,15.0,93.0,1.0,35.0,56.0,7.0,22769.0,16844.0,5.0,18633.0,23.0,11.0,27.0,16262.0,79.0,6.0,68.0,13878.0,109.0,5890.0,17.0,12.0,82.0
1285,16.0,10.0,9.0,8.0,7.0,5.0,3.0,31.0,428.0,0.0,72.0,23120.0,4.0,160.0,108.0,20611.0,18625.0,41.0,554.0,151.0,16273.0,48.0,8045.0,9986.0,13875.0,22.0,5208.0,16260.0,391.0,219.0
1334,1.0,8.0,3.0,18.0,7.0,9.0,17.0,2.0,13.0,6.0,52.0,38.0,3113.0,40.0,118.0,33.0,18568.0,54.0,5.0,183.0,16256.0,29.0,11610.0,9983.0,10.0,462.0,280.0,14.0,12.0,74.0
1383,0.0,17.0,3.0,23.0,2.0,177.0,14.0,24.0,13.0,1.0,8.0,23135.0,7.0,22761.0,16843.0,51.0,18573.0,90.0,4.0,74.0,16255.0,41.0,7519.0,195.0,82.0,174.0,6460.0,44.0,11.0,123.0
1432,13.0,38.0,9.0,7.0,5.0,43.0,25.0,35.0,6.0,0.0,46.0,380.0,5722.0,202.0,62.0,63.0,53.0,77.0,2.0,80.0,16271.0,47.0,78.0,8.0,13812.0,286.0,7095.0,101.0,5921.0,145.0
1481,97.0,0.0,4.0,155.0,12.0,15.0,21.0,22.0,169.0,94.0,73.0,6.0,723.0,272.0,16.0,165.0,18558.0,17019.0,114.0,136.0,29.0,65.0,8460.0,20.0,246.0,770.0,43.0,16247.0,151.0,11189.0
1530,0.0,6.0,37.0,8.0,20.0,4.0,17.0,11.0,38.0,24.0,90.0,48.0,39.0,40.0,1.0,16.0,18569.0,76.0,304.0,72.0,80.0,66.0,9147.0,82.0,13866.0,438.0,13.0,125.0,3.0,10578.0
1579,4.0,36.0,11.0,0.0,132.0,9.0,16.0,7.0,60.0,10419.0,50.0,1.0,5506.0,154.0,27.0,12.0,62.0,77.0,5.0,63.0,37.0,108.0,8037.0,279.0,72.0,25.0,13.0,16241.0,6.0,10564.0
1628,0.0,11.0,14.0,3.0,228.0,152.0,36.0,5.0,18.0,170.0,58.0,8.0,5851.0,210.0,13.0,42.0,18562.0,30.0,135.0,181.0,186.0,217.0,8022.0,52.0,157.0,80.0,813.0,223.0,27.0,10526.0
