,niacinamide,pyroglutamic acid,homocysteine,palmitoylcarnitine,isocitrate,C18:0 LPC,C56:5 TAG,dCMP,oxalate,sarcosine,3-phosphoglycerate,pantothenate,C16:0 LPE,UMP,GABA,alpha-glycerophosphate,hexoses (HILIC neg),cis/trans-hydroxyproline,2-deoxyadenosine,cotinine,C22:6 LPC,asparagine,5-HIAA,C34:2 DAG,C18:0 LPE,butyrylcarnitine/isobutyrylcarnitine,cytidine,serotonin,phosphocreatine,putrescine
2917,5.0,10.0,12.0,1.0,41.0,14.0,36.0,11.0,16.0,23.0,39.0,7.0,15.0,0.0,20.0,30.0,53.0,2.0,55.0,19.0,31.0,58.0,48.0,17.0,26.0,40.0,9.0,33.0,8.0,38.0
2966,13.0,1.0,5.0,51.0,6.0,42.0,4.0,60.0,28.0,50.0,27.0,20.0,54.0,12.0,48.0,24.0,33.0,3.0,7.0,49.0,56.0,18.0,29.0,52.0,55.0,31.0,35.0,32.0,9.0,14.0
3015,17.0,10.0,24.0,3.0,22.0,9.0,31.0,64.0,19.0,15.0,35.0,14.0,7.0,4.0,53.0,21.0,18.0,16.0,56.0,52.0,45.0,20.0,34.0,8.0,51.0,50.0,44.0,41.0,61.0,27.0
3064,23.0,7.0,8.0,13.0,6.0,45.0,12.0,52.0,31.0,36.0,20.0,1.0,11.0,2.0,16.0,40.0,26.0,18.0,15.0,25.0,22.0,24.0,35.0,51.0,38.0,21.0,59.0,30.0,63.0,57.0
3113,13.0,26.0,37.0,45.0,0.0,42.0,4.0,57.0,12.0,21.0,33.0,18.0,39.0,27.0,41.0,30.0,15.0,36.0,32.0,54.0,6.0,48.0,22.0,20.0,51.0,50.0,52.0,29.0,66.0,58.0
3162,30.0,40.0,33.0,12.0,38.0,10.0,44.0,60.0,32.0,13.0,26.0,3.0,34.0,5.0,1.0,14.0,55.0,21.0,2.0,25.0,28.0,48.0,41.0,24.0,47.0,17.0,51.0,23.0,4.0,22.0
3211,16.0,3.0,55.0,8.0,9.0,20.0,39.0,63.0,27.0,49.0,15.0,32.0,13.0,11.0,34.0,21.0,4.0,18.0,14.0,23.0,6.0,26.0,51.0,22.0,47.0,10.0,30.0,17.0,45.0,2.0
3260,37.0,11.0,12.0,35.0,56.0,41.0,1.0,43.0,19.0,5.0,10.0,36.0,7.0,18.0,6.0,8.0,58.0,44.0,2.0,47.0,38.0,4.0,45.0,23.0,46.0,17.0,9.0,21.0,64.0,40.0
3309,12.0,28.0,11.0,50.0,19.0,49.0,6.0,13.0,23.0,54.0,44.0,21.0,43.0,33.0,27.0,29.0,7.0,4.0,5.0,31.0,24.0,40.0,26.0,41.0,52.0,32.0,64.0,17.0,60.0,16.0
3358,6.0,3.0,0.0,44.0,2.0,45.0,55.0,53.0,23.0,52.0,11.0,10.0,43.0,13.0,29.0,26.0,19.0,1.0,27.0,46.0,24.0,4.0,20.0,14.0,50.0,33.0,64.0,34.0,35.0,37.0
3407,10.0,4.0,9.0,19.0,2.0,25.0,7.0,49.0,30.0,26.0,23.0,15.0,22.0,35.0,21.0,24.0,34.0,0.0,16.0,65.0,50.0,11.0,53.0,31.0,18.0,48.0,17.0,56.0,41.0,61.0
3456,9.0,3.0,2.0,46.0,14.0,11.0,13.0,26.0,10.0,15.0,52.0,19.0,57.0,5.0,42.0,58.0,65.0,63.0,30.0,38.0,33.0,32.0,4.0,45.0,18.0,59.0,39.0,41.0,64.0,44.0
3505,5.0,45.0,41.0,13.0,11.0,22.0,24.0,50.0,3.0,19.0,7.0,30.0,4.0,12.0,35.0,27.0,9.0,1.0,51.0,2.0,64.0,0.0,8.0,26.0,38.0,52.0,57.0,20.0,25.0,29.0
3554,7.0,38.0,1.0,28.0,22.0,17.0,16.0,3.0,26.0,25.0,49.0,37.0,10.0,51.0,31.0,19.0,9.0,34.0,43.0,45.0,18.0,59.0,39.0,44.0,8.0,66.0,56.0,24.0,4.0,23.0
3603,5.0,33.0,4.0,26.0,23.0,43.0,55.0,29.0,10.0,12.0,32.0,13.0,35.0,54.0,28.0,7.0,2.0,17.0,18.0,3.0,47.0,56.0,19.0,22.0,39.0,37.0,62.0,8.0,1.0,21.0
3652,11.0,62.0,0.0,16.0,29.0,15.0,22.0,4.0,19.0,26.0,27.0,14.0,47.0,25.0,35.0,51.0,34.0,63.0,2.0,58.0,3.0,39.0,60.0,36.0,18.0,33.0,59.0,40.0,23.0,49.0
3701,7.0,49.0,39.0,11.0,28.0,12.0,23.0,55.0,9.0,10.0,36.0,38.0,64.0,8.0,48.0,17.0,2.0,37.0,25.0,13.0,62.0,30.0,4.0,20.0,53.0,58.0,6.0,22.0,0.0,40.0
3750,6.0,27.0,13.0,45.0,3.0,29.0,25.0,52.0,15.0,17.0,10.0,59.0,63.0,0.0,51.0,37.0,12.0,60.0,1.0,5.0,32.0,8.0,24.0,7.0,44.0,21.0,16.0,36.0,46.0,54.0
3799,4.0,10.0,63.0,17.0,9.0,1.0,16.0,2.0,6.0,25.0,12.0,33.0,26.0,13.0,20.0,23.0,3.0,50.0,28.0,55.0,30.0,31.0,14.0,7.0,11.0,29.0,0.0,37.0,21.0,57.0
3848,7.0,62.0,0.0,55.0,5.0,29.0,11.0,44.0,2.0,24.0,34.0,15.0,14.0,1.0,51.0,22.0,20.0,36.0,27.0,10.0,25.0,21.0,31.0,48.0,40.0,37.0,43.0,41.0,4.0,12.0
3897,7.0,1.0,25.0,18.0,11.0,24.0,40.0,19.0,39.0,15.0,23.0,22.0,54.0,44.0,27.0,9.0,14.0,17.0,30.0,3.0,6.0,16.0,26.0,32.0,41.0,4.0,42.0,10.0,0.0,31.0
3946,4.0,7.0,12.0,66.0,6.0,28.0,23.0,1.0,20.0,8.0,38.0,32.0,9.0,48.0,51.0,15.0,30.0,27.0,39.0,13.0,16.0,24.0,34.0,37.0,29.0,63.0,22.0,57.0,45.0,36.0
3995,6.0,2.0,63.0,20.0,7.0,9.0,13.0,58.0,19.0,39.0,26.0,8.0,0.0,55.0,14.0,52.0,4.0,29.0,28.0,46.0,47.0,1.0,48.0,21.0,5.0,16.0,37.0,59.0,25.0,33.0
4044,3.0,4.0,27.0,23.0,9.0,14.0,33.0,2.0,6.0,28.0,12.0,24.0,41.0,36.0,34.0,8.0,50.0,63.0,30.0,40.0,25.0,54.0,13.0,11.0,21.0,55.0,62.0,49.0,64.0,22.0
4093,15.0,52.0,60.0,33.0,34.0,27.0,13.0,12.0,21.0,23.0,11.0,24.0,43.0,37.0,28.0,36.0,4.0,35.0,16.0,38.0,42.0,31.0,29.0,5.0,20.0,9.0,2.0,50.0,66.0,10.0
4142,16.0,11.0,31.0,58.0,33.0,13.0,52.0,8.0,14.0,49.0,21.0,12.0,10.0,38.0,46.0,7.0,6.0,1.0,36.0,20.0,18.0,3.0,25.0,5.0,30.0,17.0,54.0,63.0,66.0,37.0
4191,15.0,24.0,8.0,38.0,33.0,6.0,20.0,7.0,31.0,28.0,9.0,3.0,61.0,62.0,30.0,27.0,16.0,18.0,12.0,36.0,29.0,2.0,48.0,44.0,19.0,17.0,37.0,32.0,10.0,39.0
4240,5.0,6.0,50.0,8.0,0.0,12.0,19.0,28.0,22.0,18.0,11.0,39.0,10.0,4.0,43.0,38.0,9.0,17.0,31.0,52.0,26.0,27.0,21.0,23.0,25.0,7.0,41.0,34.0,3.0,30.0
4289,28.0,38.0,7.0,17.0,13.0,12.0,5.0,19.0,31.0,0.0,8.0,51.0,47.0,3.0,9.0,45.0,30.0,27.0,6.0,32.0,2.0,58.0,35.0,1.0,14.0,33.0,24.0,18.0,16.0,29.0
4338,17.0,18.0,10.0,40.0,52.0,25.0,11.0,7.0,20.0,29.0,43.0,26.0,42.0,3.0,46.0,19.0,66.0,45.0,5.0,36.0,55.0,48.0,35.0,49.0,22.0,12.0,0.0,14.0,32.0,1.0
4387,13.0,3.0,9.0,45.0,6.0,32.0,11.0,18.0,23.0,33.0,21.0,14.0,31.0,25.0,54.0,17.0,29.0,49.0,5.0,15.0,63.0,2.0,28.0,50.0,26.0,53.0,0.0,10.0,8.0,41.0
4436,6.0,23.0,21.0,12.0,33.0,47.0,10.0,7.0,20.0,4.0,8.0,11.0,34.0,31.0,14.0,13.0,37.0,44.0,30.0,26.0,45.0,19.0,18.0,24.0,43.0,16.0,27.0,32.0,0.0,49.0
4485,1.0,6.0,52.0,14.0,20.0,22.0,46.0,8.0,11.0,37.0,16.0,4.0,24.0,58.0,29.0,17.0,62.0,2.0,41.0,25.0,26.0,15.0,48.0,59.0,31.0,32.0,28.0,44.0,10.0,23.0
4534,16.0,36.0,1.0,20.0,18.0,35.0,45.0,11.0,5.0,30.0,37.0,56.0,40.0,57.0,21.0,7.0,0.0,48.0,19.0,28.0,51.0,14.0,42.0,15.0,13.0,38.0,25.0,17.0,58.0,23.0
4583,11.0,3.0,9.0,6.0,20.0,0.0,51.0,43.0,8.0,31.0,4.0,37.0,40.0,44.0,18.0,53.0,34.0,24.0,56.0,41.0,25.0,21.0,13.0,22.0,16.0,32.0,47.0,54.0,58.0,30.0
4632,16.0,6.0,32.0,4.0,19.0,20.0,15.0,11.0,3.0,7.0,43.0,23.0,17.0,52.0,26.0,13.0,18.0,37.0,21.0,5.0,33.0,31.0,9.0,10.0,36.0,14.0,22.0,28.0,65.0,30.0
4681,22.0,25.0,64.0,2.0,51.0,28.0,0.0,1.0,27.0,60.0,14.0,53.0,44.0,32.0,11.0,7.0,34.0,16.0,18.0,24.0,8.0,40.0,48.0,29.0,26.0,55.0,47.0,15.0,61.0,19.0
4730,19.0,23.0,44.0,13.0,38.0,24.0,49.0,56.0,26.0,39.0,60.0,58.0,30.0,45.0,18.0,8.0,51.0,9.0,16.0,12.0,53.0,42.0,50.0,6.0,52.0,20.0,32.0,14.0,11.0,64.0
4779,29.0,16.0,0.0,4.0,41.0,7.0,1.0,2.0,5.0,11.0,30.0,8.0,13.0,31.0,32.0,40.0,14.0,27.0,24.0,45.0,50.0,9.0,59.0,38.0,43.0,44.0,19.0,28.0,47.0,15.0
4828,6.0,42.0,2.0,16.0,27.0,49.0,12.0,18.0,8.0,20.0,39.0,64.0,21.0,53.0,41.0,51.0,5.0,7.0,52.0,60.0,15.0,1.0,58.0,31.0,35.0,44.0,32.0,25.0,14.0,26.0
4877,27.0,48.0,22.0,1.0,44.0,13.0,2.0,4.0,35.0,24.0,19.0,41.0,46.0,18.0,16.0,30.0,8.0,11.0,17.0,29.0,3.0,7.0,42.0,12.0,59.0,28.0,25.0,63.0,65.0,21.0
