,NF1_MUT,ANKRD36B_DEL,LRP1B_MUT,FAM72B_AMP,C15orf2_MUT,MRGPRX1_DEL,PI4KA_MUT,SLC25A37_AMP,CDK8_DEL,CHAMP1_AMP,LOC284344_DEL,C18orf61_DEL,YSK4_MUT,PCID2_AMP,TPTE2P6_DEL,DICER1_MUT,MCF2L_AMP,ATP11A_AMP,RNU6-52_DEL,PIK3C2G_MUT,PSG4_DEL,GRTP1_AMP,LINC00565_AMP,GAS6_AMP,SPATA13_DEL,UNC13C_DEL,LOC100506394_AMP,ATP4B_AMP,CES1_AMP,FCGR1B_AMP
522,6.0,0.0,46.0,153.0,90.0,49.0,167.0,42.0,531.0,72.0,117.0,88.0,4.0,9.0,78.0,1013.0,13862.0,43.0,34.0,71.0,28.0,64.0,113.0,951.0,116.0,3619.0,15917.0,180.0,2.0,204.0
571,113.0,13.0,110.0,10.0,39.0,24.0,109.0,4.0,49.0,66.0,299.0,409.0,6.0,18.0,68.0,30.0,554.0,62.0,374.0,16588.0,1855.0,170.0,124.0,75.0,9.0,1.0,557.0,169.0,93.0,40.0
620,4.0,0.0,241.0,3.0,222.0,76.0,320.0,9.0,20781.0,129.0,3198.0,27.0,181.0,48.0,5010.0,28.0,170.0,266.0,12.0,1739.0,12525.0,179.0,155.0,438.0,5619.0,249.0,142.0,14565.0,2.0,42.0
669,32.0,35.0,4.0,11.0,3029.0,1.0,1546.0,34.0,90.0,13.0,6.0,11618.0,3484.0,133.0,99.0,484.0,307.0,46.0,156.0,249.0,5.0,49.0,443.0,942.0,28.0,2006.0,444.0,589.0,1163.0,247.0
718,7.0,1.0,26.0,2.0,640.0,5.0,120.0,3.0,978.0,850.0,96.0,29.0,67.0,154.0,4892.0,79.0,2529.0,13794.0,14.0,69.0,21.0,622.0,16485.0,515.0,429.0,297.0,269.0,14622.0,327.0,36.0
767,162.0,4.0,219.0,1.0,3534.0,79.0,41.0,14.0,19238.0,154.0,20.0,487.0,53.0,39.0,4619.0,675.0,717.0,51.0,5.0,921.0,11.0,23668.0,57.0,17448.0,164.0,4872.0,665.0,30.0,16790.0,122.0
816,3.0,2.0,16676.0,22.0,6.0,0.0,21.0,35.0,20800.0,45.0,41.0,11108.0,109.0,370.0,4314.0,364.0,13892.0,13898.0,38.0,76.0,55.0,713.0,406.0,14238.0,837.0,25.0,712.0,714.0,5.0,150.0
865,3.0,40.0,48.0,29.0,16808.0,236.0,16689.0,14.0,285.0,707.0,0.0,1108.0,44.0,247.0,6.0,9.0,693.0,13902.0,45.0,62.0,12.0,227.0,692.0,243.0,5.0,26.0,188.0,724.0,216.0,10.0
914,30.0,0.0,245.0,10.0,497.0,2.0,215.0,4.0,1464.0,64.0,141.0,16.0,25.0,128.0,3773.0,31.0,77.0,15.0,552.0,16687.0,122.0,490.0,117.0,14156.0,1294.0,11228.0,890.0,170.0,540.0,75.0
963,2.0,8.0,18.0,140.0,344.0,14.0,82.0,0.0,364.0,1277.0,1.0,19.0,107.0,425.0,102.0,170.0,190.0,92.0,67.0,295.0,28.0,73.0,34.0,1143.0,35.0,4.0,79.0,557.0,3.0,949.0
1012,0.0,9.0,266.0,18.0,962.0,23.0,1029.0,15099.0,71.0,1597.0,250.0,177.0,3434.0,1144.0,8.0,209.0,13958.0,13963.0,74.0,16705.0,95.0,154.0,16268.0,507.0,5634.0,24.0,16025.0,472.0,1330.0,17.0
1061,13.0,956.0,101.0,53.0,382.0,17.0,123.0,15.0,20786.0,315.0,51.0,690.0,110.0,171.0,94.0,511.0,13924.0,1925.0,189.0,548.0,319.0,133.0,16500.0,179.0,7642.0,2285.0,216.0,169.0,3626.0,26.0
1110,1.0,0.0,407.0,1655.0,318.0,236.0,1917.0,462.0,535.0,233.0,1792.0,558.0,924.0,1341.0,160.0,227.0,13942.0,27.0,16.0,16713.0,189.0,2883.0,1351.0,461.0,693.0,2.0,534.0,14640.0,3.0,14004.0
1159,0.0,21.0,348.0,75.0,3347.0,39.0,132.0,246.0,76.0,668.0,2550.0,64.0,3.0,286.0,7.0,957.0,115.0,643.0,8.0,337.0,2097.0,118.0,306.0,293.0,1.0,95.0,280.0,1014.0,1819.0,13.0
1208,5.0,18.0,504.0,66.0,33.0,198.0,186.0,2.0,21244.0,180.0,32.0,4.0,17167.0,51.0,3828.0,16787.0,457.0,553.0,80.0,16680.0,3.0,30.0,16230.0,26.0,5716.0,8.0,345.0,24.0,86.0,29.0
1257,0.0,3.0,76.0,13.0,1292.0,204.0,44.0,1262.0,11.0,13373.0,30.0,1.0,294.0,239.0,91.0,16804.0,55.0,13898.0,7.0,448.0,64.0,5.0,149.0,45.0,864.0,142.0,1045.0,188.0,2.0,47.0
1306,8.0,144.0,305.0,21812.0,736.0,62.0,35.0,243.0,71.0,32.0,50.0,9.0,1302.0,34.0,174.0,115.0,33.0,51.0,92.0,573.0,3405.0,17.0,221.0,878.0,7890.0,12.0,246.0,66.0,1.0,15.0
1355,0.0,12857.0,149.0,1023.0,59.0,68.0,131.0,1504.0,138.0,12.0,475.0,148.0,3307.0,139.0,504.0,1456.0,6.0,1.0,20717.0,88.0,221.0,34.0,44.0,67.0,847.0,2.0,3.0,36.0,153.0,1951.0
1404,0.0,35.0,757.0,21831.0,201.0,344.0,260.0,170.0,129.0,26.0,19.0,52.0,1025.0,8.0,4797.0,31.0,7.0,13774.0,58.0,10.0,141.0,73.0,381.0,23.0,5637.0,1.0,122.0,127.0,3.0,1904.0
1453,0.0,11.0,1037.0,1176.0,16807.0,5542.0,285.0,141.0,791.0,1639.0,544.0,6.0,217.0,22643.0,3586.0,16814.0,13811.0,13817.0,12.0,2595.0,245.0,50.0,339.0,659.0,5870.0,22.0,511.0,14631.0,2.0,394.0
1502,2.0,4.0,0.0,9.0,6.0,16.0,11.0,18.0,443.0,151.0,1.0,35.0,20.0,43.0,46.0,67.0,991.0,58.0,134.0,26.0,277.0,100.0,16220.0,246.0,34.0,289.0,148.0,206.0,99.0,82.0
1551,64.0,0.0,2.0,7.0,10.0,124.0,9.0,33.0,5.0,16.0,207.0,6.0,1.0,28.0,54.0,48.0,206.0,41.0,262.0,486.0,3351.0,287.0,19.0,110.0,485.0,1213.0,47.0,86.0,25.0,205.0
1600,0.0,9.0,91.0,16.0,5.0,7365.0,840.0,361.0,196.0,108.0,2.0,35.0,4.0,38.0,50.0,229.0,131.0,26.0,7.0,17.0,10.0,470.0,198.0,133.0,64.0,112.0,42.0,14508.0,1.0,182.0
1649,6.0,10.0,28.0,310.0,4.0,40.0,2.0,1.0,570.0,3.0,3477.0,14.0,132.0,11.0,143.0,97.0,38.0,58.0,17.0,0.0,2600.0,24.0,66.0,49.0,1191.0,26.0,5.0,53.0,13.0,186.0
1698,56.0,231.0,94.0,31.0,78.0,6.0,3122.0,3287.0,21195.0,4.0,63.0,0.0,7.0,27.0,1051.0,445.0,1410.0,16.0,96.0,16579.0,182.0,288.0,5.0,53.0,7329.0,11141.0,39.0,87.0,22.0,1081.0
1747,4.0,2.0,0.0,123.0,9.0,8.0,188.0,6.0,56.0,32.0,94.0,62.0,43.0,15.0,80.0,76.0,78.0,35.0,20680.0,23.0,1035.0,135.0,19.0,24.0,44.0,11148.0,27.0,20.0,175.0,59.0
1796,12.0,14.0,21.0,8.0,1.0,10.0,271.0,433.0,986.0,148.0,13.0,82.0,11.0,515.0,3801.0,16775.0,102.0,13881.0,265.0,0.0,38.0,129.0,24.0,14237.0,5739.0,37.0,1056.0,33.0,2.0,40.0
1845,17.0,9.0,66.0,23692.0,36.0,28.0,93.0,155.0,21232.0,13117.0,0.0,4.0,30.0,31.0,3757.0,107.0,13891.0,346.0,20737.0,62.0,73.0,22955.0,484.0,120.0,5880.0,1856.0,225.0,249.0,1.0,1624.0
1894,3.0,21.0,2.0,19.0,0.0,50.0,899.0,428.0,45.0,32.0,126.0,5.0,31.0,14.0,783.0,16772.0,13872.0,10.0,12.0,7.0,216.0,1062.0,1.0,86.0,118.0,137.0,18.0,17.0,47.0,111.0
1943,0.0,5.0,34.0,244.0,9.0,220.0,23.0,160.0,48.0,17.0,2.0,81.0,157.0,24.0,603.0,921.0,37.0,67.0,423.0,3.0,47.0,136.0,39.0,14225.0,191.0,1002.0,12.0,76.0,143.0,717.0
1992,4.0,10.0,170.0,1.0,2.0,402.0,568.0,15043.0,53.0,412.0,1419.0,10773.0,0.0,79.0,80.0,16873.0,209.0,1434.0,2811.0,68.0,160.0,52.0,723.0,1088.0,9.0,67.0,25.0,528.0,18.0,82.0
2041,0.0,1.0,6.0,1490.0,2.0,353.0,10.0,14.0,349.0,63.0,215.0,20.0,88.0,29.0,19.0,1795.0,190.0,2945.0,117.0,18.0,3297.0,36.0,84.0,67.0,49.0,11196.0,32.0,3557.0,39.0,818.0
2090,1.0,19.0,64.0,63.0,7.0,154.0,62.0,42.0,10.0,912.0,2338.0,145.0,2.0,132.0,33.0,327.0,693.0,13802.0,730.0,1327.0,2896.0,218.0,60.0,14165.0,36.0,288.0,15872.0,14631.0,502.0,387.0
2139,11.0,0.0,325.0,1.0,30.0,29.0,1911.0,2.0,14.0,213.0,635.0,612.0,7.0,75.0,9.0,38.0,59.0,13794.0,49.0,16694.0,2672.0,86.0,120.0,144.0,5.0,2143.0,15995.0,669.0,41.0,3.0
2188,2.0,102.0,0.0,135.0,1.0,197.0,118.0,6.0,86.0,374.0,3354.0,11202.0,970.0,22108.0,14.0,15.0,13856.0,13883.0,2401.0,285.0,570.0,23939.0,41.0,2146.0,16.0,312.0,1974.0,528.0,51.0,14036.0
2237,1.0,396.0,0.0,7.0,19.0,2621.0,807.0,2.0,51.0,99.0,367.0,74.0,30.0,150.0,238.0,56.0,944.0,3322.0,47.0,92.0,9.0,6.0,21.0,27.0,7182.0,11325.0,286.0,89.0,251.0,43.0
2286,0.0,8.0,9.0,4.0,13.0,364.0,6.0,44.0,15.0,71.0,693.0,76.0,216.0,376.0,25.0,30.0,605.0,13922.0,1782.0,17.0,130.0,101.0,392.0,122.0,2.0,4037.0,49.0,164.0,22.0,38.0
2335,0.0,3.0,4.0,62.0,15.0,16.0,64.0,10.0,11.0,182.0,3569.0,107.0,28.0,99.0,575.0,9.0,120.0,24.0,724.0,45.0,737.0,906.0,153.0,14254.0,950.0,4476.0,66.0,51.0,32.0,93.0
2384,0.0,3.0,20.0,9.0,2.0,18.0,33.0,42.0,416.0,164.0,107.0,1.0,19.0,155.0,67.0,993.0,13818.0,13846.0,1618.0,1855.0,109.0,82.0,139.0,939.0,13.0,207.0,229.0,1137.0,44.0,205.0
2433,2.0,3.0,0.0,5.0,1.0,19.0,24.0,4.0,115.0,1343.0,28.0,136.0,176.0,127.0,9.0,33.0,1304.0,788.0,87.0,7.0,17.0,2350.0,1175.0,14170.0,12.0,553.0,215.0,996.0,92.0,259.0
2482,0.0,6.0,1452.0,1.0,7.0,214.0,4.0,15.0,20.0,136.0,61.0,89.0,3.0,75.0,9.0,19.0,38.0,28.0,18.0,24.0,63.0,257.0,232.0,592.0,35.0,25.0,813.0,14549.0,840.0,12.0
2531,0.0,1.0,86.0,26.0,51.0,9.0,54.0,246.0,530.0,12.0,3485.0,15.0,14.0,2.0,22.0,49.0,319.0,56.0,172.0,129.0,91.0,80.0,104.0,23.0,78.0,16.0,232.0,21.0,2331.0,14037.0
2580,8.0,735.0,0.0,5.0,46.0,50.0,62.0,15122.0,20843.0,230.0,3.0,64.0,24.0,619.0,1073.0,6.0,48.0,38.0,110.0,25.0,2.0,22.0,74.0,13.0,147.0,93.0,20.0,16.0,43.0,34.0
2629,0.0,22.0,5.0,78.0,2.0,21.0,4.0,125.0,896.0,532.0,171.0,51.0,1.0,473.0,34.0,11.0,223.0,20.0,12.0,50.0,38.0,412.0,90.0,86.0,166.0,416.0,15866.0,148.0,45.0,13948.0
2678,0.0,364.0,337.0,21871.0,133.0,22.0,20.0,4.0,19.0,13414.0,150.0,10.0,192.0,185.0,9.0,7.0,141.0,58.0,200.0,176.0,107.0,97.0,16486.0,456.0,15.0,191.0,782.0,14523.0,430.0,14048.0
2727,7.0,0.0,147.0,2.0,77.0,109.0,93.0,262.0,26.0,192.0,49.0,624.0,13.0,27.0,1.0,4.0,89.0,10.0,9.0,631.0,222.0,146.0,528.0,54.0,3.0,664.0,777.0,275.0,2635.0,1777.0
2776,6.0,9.0,10.0,1.0,196.0,329.0,35.0,532.0,88.0,13226.0,17.0,13.0,8.0,23.0,22.0,52.0,77.0,531.0,33.0,19.0,7.0,962.0,511.0,270.0,18.0,217.0,31.0,232.0,36.0,39.0
2825,12.0,36.0,31.0,57.0,0.0,68.0,319.0,1176.0,134.0,75.0,110.0,2285.0,39.0,37.0,34.0,5.0,400.0,14.0,1166.0,173.0,225.0,71.0,100.0,30.0,686.0,1.0,86.0,196.0,2.0,70.0
2874,2.0,20.0,1.0,4.0,8.0,144.0,24.0,70.0,444.0,23.0,993.0,29.0,19.0,131.0,41.0,0.0,133.0,22.0,7.0,13.0,134.0,803.0,417.0,246.0,21.0,30.0,16.0,44.0,156.0,200.0
2923,27.0,158.0,56.0,82.0,65.0,295.0,26.0,15044.0,150.0,87.0,2.0,49.0,8.0,208.0,15.0,30.0,3.0,14.0,43.0,140.0,33.0,48.0,672.0,117.0,0.0,127.0,71.0,1176.0,17246.0,138.0
2972,2.0,0.0,9.0,13.0,1940.0,77.0,202.0,34.0,130.0,26.0,1.0,100.0,6.0,364.0,170.0,14.0,72.0,12.0,20974.0,3.0,11.0,33.0,15.0,60.0,22.0,68.0,111.0,149.0,884.0,108.0
3021,4.0,20.0,61.0,10.0,134.0,28.0,37.0,1.0,21.0,163.0,0.0,101.0,494.0,52.0,16.0,105.0,455.0,50.0,678.0,118.0,6.0,412.0,16478.0,14248.0,46.0,114.0,15863.0,775.0,1421.0,164.0
3070,7.0,105.0,36.0,11.0,17.0,37.0,32.0,20.0,43.0,58.0,0.0,276.0,14.0,83.0,1.0,112.0,57.0,146.0,93.0,727.0,8.0,44.0,101.0,14098.0,5.0,45.0,39.0,14462.0,578.0,1086.0
3119,0.0,9.0,179.0,42.0,215.0,10.0,16.0,27.0,13.0,79.0,4.0,319.0,17072.0,124.0,54.0,190.0,15.0,731.0,20936.0,16659.0,200.0,23905.0,110.0,142.0,17.0,64.0,66.0,83.0,2581.0,57.0
3168,1.0,34.0,69.0,7.0,13.0,4.0,161.0,6.0,12.0,20.0,0.0,11102.0,1708.0,189.0,760.0,21.0,72.0,94.0,559.0,260.0,3.0,408.0,91.0,85.0,126.0,42.0,15.0,8.0,40.0,23.0
3217,73.0,7.0,334.0,0.0,16840.0,89.0,291.0,2.0,22.0,25.0,1.0,188.0,182.0,4.0,17.0,36.0,2010.0,5.0,21006.0,16726.0,3.0,230.0,33.0,14182.0,19.0,2840.0,31.0,90.0,392.0,16.0
3266,2.0,7.0,16672.0,31.0,205.0,5.0,198.0,6.0,34.0,116.0,1.0,211.0,232.0,30.0,826.0,454.0,43.0,18.0,20947.0,381.0,3.0,19.0,14.0,15.0,143.0,56.0,28.0,4.0,68.0,467.0
3315,0.0,17.0,2961.0,169.0,3280.0,6.0,31.0,59.0,80.0,21.0,1.0,626.0,64.0,30.0,35.0,15.0,18.0,118.0,104.0,274.0,3.0,497.0,474.0,26.0,13.0,712.0,128.0,61.0,467.0,32.0
3364,0.0,6.0,23.0,12.0,1.0,21.0,106.0,9.0,79.0,26.0,2.0,375.0,334.0,47.0,43.0,44.0,19.0,85.0,567.0,16668.0,11.0,404.0,48.0,36.0,49.0,8.0,278.0,112.0,56.0,57.0
3413,7.0,16.0,13.0,392.0,303.0,18.0,5.0,90.0,15.0,439.0,2.0,11529.0,595.0,8.0,26.0,443.0,78.0,71.0,543.0,16641.0,0.0,23003.0,176.0,14092.0,11.0,343.0,14.0,30.0,1397.0,80.0
3462,2.0,4.0,84.0,2906.0,25.0,102.0,89.0,87.0,287.0,68.0,81.0,385.0,9.0,80.0,170.0,2071.0,400.0,1131.0,145.0,16653.0,317.0,3.0,135.0,12.0,172.0,1475.0,432.0,23.0,1550.0,151.0
3511,5.0,2.0,0.0,4.0,1.0,153.0,62.0,18.0,16.0,151.0,93.0,68.0,149.0,22628.0,397.0,193.0,204.0,13878.0,20965.0,241.0,352.0,55.0,1343.0,37.0,585.0,250.0,108.0,84.0,1003.0,13982.0
3560,3119.0,4.0,1.0,63.0,332.0,5780.0,3.0,72.0,62.0,64.0,439.0,2706.0,898.0,228.0,4836.0,148.0,68.0,170.0,609.0,2.0,106.0,505.0,458.0,43.0,177.0,2441.0,1391.0,164.0,3280.0,660.0
3609,19.0,0.0,8.0,11.0,39.0,16.0,5.0,38.0,15.0,99.0,25.0,161.0,134.0,138.0,217.0,75.0,12.0,941.0,328.0,632.0,13.0,275.0,480.0,66.0,9.0,10935.0,15870.0,793.0,3149.0,177.0
3658,125.0,7.0,0.0,247.0,1.0,11.0,2.0,45.0,42.0,9.0,29.0,149.0,116.0,19.0,86.0,16810.0,38.0,3566.0,96.0,163.0,31.0,15.0,53.0,62.0,4.0,13.0,126.0,20.0,287.0,1047.0
3707,1.0,3.0,106.0,23696.0,0.0,2.0,4.0,7.0,77.0,14.0,39.0,26.0,370.0,5.0,4846.0,494.0,8.0,13763.0,40.0,18.0,149.0,257.0,56.0,15.0,399.0,60.0,23.0,78.0,377.0,13924.0
3756,1.0,0.0,16640.0,2134.0,6.0,11.0,3.0,12.0,21.0,112.0,10.0,25.0,19.0,83.0,79.0,111.0,510.0,823.0,469.0,7.0,152.0,22953.0,123.0,42.0,17.0,2880.0,592.0,174.0,261.0,13974.0
3805,2.0,1.0,30.0,401.0,878.0,5808.0,3.0,99.0,8.0,47.0,136.0,217.0,305.0,326.0,72.0,1046.0,52.0,825.0,119.0,134.0,11.0,87.0,380.0,24.0,6.0,2117.0,275.0,313.0,62.0,13912.0
3854,3.0,8.0,2.0,234.0,347.0,183.0,166.0,0.0,22.0,588.0,1.0,12.0,2824.0,2549.0,4739.0,117.0,2709.0,1232.0,20728.0,16653.0,9.0,1951.0,93.0,14115.0,487.0,3389.0,15862.0,14607.0,1189.0,1043.0
3903,3.0,1.0,56.0,23.0,113.0,393.0,88.0,104.0,101.0,31.0,39.0,98.0,47.0,22183.0,420.0,1585.0,223.0,13803.0,115.0,1435.0,158.0,336.0,160.0,131.0,108.0,11264.0,1050.0,960.0,18099.0,313.0
3952,14.0,41.0,9.0,1.0,7.0,34.0,24.0,1258.0,36.0,6.0,10.0,35.0,0.0,19.0,44.0,29.0,27.0,47.0,647.0,533.0,133.0,302.0,38.0,26.0,213.0,1632.0,4.0,160.0,556.0,184.0
4001,2.0,3.0,189.0,26.0,226.0,135.0,24.0,255.0,79.0,92.0,835.0,0.0,49.0,363.0,198.0,946.0,90.0,137.0,11.0,115.0,1200.0,23060.0,45.0,35.0,1133.0,10.0,64.0,108.0,16.0,44.0
4050,59.0,45.0,72.0,7.0,890.0,20.0,219.0,321.0,26.0,484.0,4225.0,29.0,25.0,53.0,147.0,3.0,13870.0,363.0,294.0,4.0,3013.0,739.0,177.0,14217.0,3057.0,10.0,192.0,66.0,5.0,13905.0
4099,1.0,2.0,0.0,78.0,70.0,68.0,462.0,1143.0,86.0,11.0,254.0,103.0,1153.0,4.0,4553.0,15.0,3.0,1204.0,301.0,13.0,1129.0,33.0,43.0,51.0,1543.0,172.0,104.0,14539.0,289.0,39.0
4148,8.0,148.0,7.0,3.0,16.0,3549.0,10.0,113.0,23.0,27.0,0.0,65.0,11544.0,4.0,847.0,8795.0,28.0,42.0,18.0,327.0,2.0,21529.0,19280.0,61.0,183.0,85.0,44.0,91.0,1860.0,155.0
4197,23.0,3596.0,2.0,4.0,16.0,0.0,25.0,15121.0,24.0,45.0,160.0,1308.0,77.0,142.0,28.0,158.0,7.0,447.0,35.0,5.0,2260.0,223.0,876.0,36.0,7137.0,9.0,98.0,13.0,22.0,464.0
4246,13.0,1.0,30.0,2.0,16772.0,31.0,886.0,667.0,21231.0,3.0,345.0,4.0,194.0,74.0,84.0,286.0,121.0,72.0,57.0,90.0,80.0,27.0,22.0,68.0,474.0,23.0,26.0,276.0,275.0,166.0
4295,342.0,528.0,1.0,24.0,36.0,4.0,3.0,153.0,625.0,25.0,112.0,75.0,212.0,298.0,4949.0,344.0,11.0,14.0,624.0,94.0,136.0,68.0,463.0,60.0,215.0,0.0,2.0,101.0,18218.0,1015.0
4344,0.0,75.0,2.0,35.0,42.0,1.0,46.0,398.0,29.0,12.0,3454.0,4.0,257.0,27.0,1249.0,18.0,32.0,17.0,148.0,14.0,3415.0,22944.0,85.0,37.0,5581.0,11156.0,345.0,90.0,30.0,77.0
4393,65.0,158.0,12.0,24.0,393.0,328.0,148.0,530.0,10.0,90.0,47.0,424.0,6.0,62.0,35.0,263.0,435.0,33.0,180.0,372.0,57.0,329.0,1.0,13.0,73.0,245.0,3.0,136.0,34.0,227.0
4442,0.0,5.0,15.0,39.0,42.0,20.0,23.0,351.0,116.0,79.0,647.0,1373.0,1639.0,12.0,608.0,50.0,172.0,391.0,484.0,206.0,12444.0,325.0,96.0,33.0,132.0,9.0,3.0,197.0,241.0,34.0
4491,0.0,16.0,11.0,8.0,674.0,62.0,41.0,385.0,580.0,263.0,3392.0,387.0,1139.0,451.0,3585.0,548.0,12.0,82.0,7.0,299.0,2640.0,42.0,172.0,289.0,6567.0,3.0,131.0,410.0,2296.0,210.0
4540,1.0,255.0,0.0,185.0,82.0,7401.0,862.0,946.0,53.0,12.0,92.0,318.0,17182.0,43.0,55.0,3132.0,714.0,816.0,801.0,120.0,98.0,8.0,122.0,101.0,24.0,3.0,10.0,335.0,118.0,1481.0
4589,0.0,5.0,7.0,43.0,1.0,47.0,33.0,15074.0,20800.0,96.0,173.0,1459.0,2441.0,130.0,4835.0,979.0,92.0,16.0,69.0,16693.0,66.0,79.0,34.0,75.0,1359.0,4.0,51.0,90.0,250.0,13942.0
4638,2.0,8.0,39.0,81.0,1.0,222.0,49.0,3451.0,43.0,27.0,1514.0,106.0,17174.0,1903.0,515.0,140.0,11.0,717.0,363.0,827.0,12374.0,48.0,16212.0,208.0,421.0,0.0,19.0,15.0,1656.0,13920.0
4687,13.0,0.0,21.0,1.0,236.0,231.0,136.0,304.0,71.0,3518.0,1688.0,1752.0,390.0,308.0,102.0,5.0,66.0,340.0,463.0,113.0,12531.0,18.0,161.0,1902.0,1028.0,2.0,15882.0,926.0,18122.0,123.0
4736,53.0,2.0,1.0,1364.0,16837.0,70.0,31.0,590.0,61.0,13260.0,513.0,622.0,1129.0,83.0,32.0,5.0,112.0,13915.0,93.0,1426.0,1914.0,45.0,421.0,14271.0,213.0,1012.0,620.0,14598.0,18178.0,73.0
4785,0.0,32.0,5.0,2337.0,6.0,8.0,16707.0,3611.0,29.0,484.0,2247.0,11643.0,17196.0,129.0,12.0,16820.0,19.0,278.0,3.0,25.0,732.0,23099.0,44.0,46.0,28.0,2.0,406.0,39.0,18237.0,51.0
4834,0.0,4.0,15.0,97.0,40.0,75.0,16670.0,1250.0,92.0,23.0,462.0,248.0,374.0,484.0,119.0,137.0,433.0,20.0,1.0,49.0,1270.0,95.0,198.0,803.0,122.0,3.0,176.0,88.0,729.0,14006.0
4883,1.0,681.0,5.0,16.0,76.0,32.0,635.0,15130.0,20768.0,92.0,3101.0,180.0,22.0,433.0,296.0,68.0,150.0,17.0,15.0,97.0,3253.0,22981.0,95.0,64.0,5620.0,0.0,15988.0,51.0,164.0,1204.0
