,hsa-miR-148a,hsa-miR-541,hsa-miR-766,bkv-miR-B1-3p+jcv-miR-J1-3p,kshv-miR-K12-8,hsa-miR-147,hsa-miR-223,hsa-miR-99a,hsa-miR-497,hsa-miR-769-3p,hsa-miR-892a,ebv-miR-BART15,hsa-miR-630,hsa-miR-1977,hsa-miR-744,hsa-miR-1538,hsa-miR-581,hsa-miR-93,hsa-miR-27b,hsa-miR-708,hsa-miR-1289,hsa-miR-608,hsa-miR-125a-3p,hsa-miR-1197,hsa-miR-659,hsa-miR-380,hsa-miR-26b,hsa-miR-26a,hsa-miR-616,hsa-miR-508-5p
1387,0.0,17.0,10.0,13.0,1.0,3.0,19.0,28.0,4.0,8.0,24.0,23.0,20.0,11.0,6.0,2.0,46.0,26.0,74.0,53.0,9.0,14.0,18.0,7.0,75.0,37.0,102.0,61.0,25.0,15.0
1436,1.0,66.0,17.0,4.0,13.0,10.0,29.0,15.0,0.0,37.0,49.0,23.0,19.0,9.0,7.0,2.0,3.0,30.0,196.0,79.0,26.0,22.0,11.0,76.0,51.0,42.0,63.0,31.0,14.0,61.0
1485,10.0,3.0,4.0,15.0,2.0,8.0,12.0,28.0,25.0,29.0,20.0,0.0,1.0,19.0,7.0,65.0,6.0,27.0,95.0,31.0,47.0,16.0,111.0,36.0,48.0,21.0,106.0,86.0,81.0,57.0
1534,1.0,0.0,27.0,3.0,12.0,11.0,14.0,9.0,15.0,2.0,31.0,7.0,5.0,6.0,39.0,36.0,17.0,105.0,24.0,35.0,13.0,4.0,108.0,51.0,22.0,29.0,50.0,58.0,65.0,25.0
1583,0.0,1.0,21.0,10.0,24.0,55.0,18.0,4.0,16.0,11.0,20.0,9.0,12.0,28.0,27.0,17.0,5.0,51.0,211.0,53.0,37.0,142.0,39.0,6.0,2.0,7.0,34.0,29.0,118.0,77.0
1632,14.0,0.0,10.0,6.0,32.0,28.0,62.0,2.0,26.0,40.0,3.0,1.0,9.0,68.0,19.0,5.0,4.0,30.0,46.0,27.0,80.0,73.0,182.0,29.0,13.0,56.0,95.0,12.0,47.0,15.0
1681,2.0,0.0,7.0,1.0,6.0,12.0,184.0,9.0,49.0,5.0,20.0,3.0,15.0,81.0,93.0,47.0,42.0,10.0,356.0,14.0,90.0,107.0,112.0,172.0,62.0,55.0,70.0,37.0,245.0,25.0
1730,20.0,3.0,6.0,11.0,9.0,25.0,4.0,0.0,13.0,1.0,109.0,19.0,2.0,64.0,45.0,28.0,8.0,87.0,63.0,15.0,48.0,71.0,49.0,5.0,75.0,46.0,36.0,68.0,16.0,17.0
1779,1.0,2.0,14.0,3.0,13.0,24.0,7.0,4.0,5.0,12.0,43.0,0.0,6.0,16.0,23.0,110.0,11.0,44.0,353.0,130.0,40.0,172.0,42.0,26.0,140.0,9.0,15.0,32.0,70.0,38.0
1828,8.0,0.0,7.0,4.0,17.0,60.0,94.0,3.0,74.0,6.0,50.0,11.0,12.0,21.0,9.0,40.0,26.0,37.0,199.0,13.0,39.0,29.0,131.0,36.0,19.0,14.0,18.0,25.0,52.0,34.0
1877,0.0,1.0,2.0,6.0,11.0,21.0,84.0,33.0,48.0,8.0,12.0,4.0,18.0,17.0,56.0,13.0,3.0,52.0,66.0,97.0,23.0,71.0,43.0,74.0,22.0,36.0,27.0,64.0,40.0,30.0
1926,1.0,0.0,11.0,23.0,75.0,33.0,62.0,10.0,9.0,4.0,99.0,3.0,18.0,41.0,13.0,30.0,26.0,65.0,5.0,8.0,49.0,20.0,207.0,56.0,51.0,14.0,17.0,24.0,94.0,101.0
1975,0.0,2.0,12.0,14.0,101.0,38.0,145.0,4.0,21.0,6.0,5.0,18.0,19.0,69.0,31.0,11.0,1.0,23.0,3.0,28.0,30.0,170.0,80.0,7.0,20.0,217.0,72.0,27.0,16.0,26.0
2024,3.0,0.0,2.0,35.0,30.0,5.0,90.0,1.0,97.0,15.0,38.0,105.0,78.0,41.0,18.0,9.0,34.0,31.0,21.0,33.0,17.0,99.0,26.0,8.0,88.0,23.0,10.0,54.0,125.0,87.0
2073,5.0,1.0,3.0,7.0,22.0,0.0,103.0,2.0,41.0,69.0,21.0,14.0,65.0,42.0,171.0,53.0,33.0,12.0,11.0,43.0,8.0,24.0,28.0,9.0,6.0,39.0,106.0,116.0,37.0,79.0
2122,0.0,2.0,9.0,21.0,6.0,1.0,24.0,4.0,7.0,27.0,17.0,46.0,73.0,40.0,186.0,28.0,13.0,3.0,15.0,18.0,42.0,207.0,90.0,37.0,59.0,56.0,39.0,34.0,29.0,43.0
2171,0.0,1.0,5.0,9.0,17.0,2.0,123.0,25.0,10.0,29.0,30.0,12.0,37.0,70.0,18.0,26.0,55.0,28.0,4.0,21.0,6.0,81.0,24.0,27.0,23.0,121.0,45.0,43.0,72.0,40.0
2220,0.0,2.0,1.0,48.0,14.0,12.0,190.0,58.0,19.0,9.0,6.0,37.0,70.0,53.0,381.0,15.0,3.0,8.0,61.0,75.0,64.0,294.0,16.0,24.0,78.0,22.0,17.0,41.0,34.0,63.0
2269,0.0,1.0,10.0,8.0,33.0,11.0,65.0,13.0,3.0,6.0,2.0,55.0,17.0,103.0,146.0,29.0,50.0,16.0,85.0,15.0,81.0,143.0,111.0,58.0,31.0,78.0,22.0,26.0,41.0,72.0
2318,4.0,2.0,3.0,1.0,15.0,0.0,84.0,23.0,12.0,28.0,9.0,16.0,64.0,36.0,60.0,31.0,14.0,20.0,34.0,6.0,120.0,152.0,45.0,7.0,24.0,27.0,56.0,124.0,121.0,97.0
2367,2.0,1.0,20.0,5.0,8.0,0.0,15.0,10.0,11.0,18.0,26.0,13.0,21.0,50.0,290.0,30.0,12.0,6.0,159.0,16.0,44.0,173.0,32.0,14.0,35.0,83.0,154.0,94.0,131.0,31.0
2416,1.0,2.0,0.0,16.0,3.0,6.0,8.0,26.0,60.0,47.0,4.0,46.0,11.0,5.0,85.0,21.0,13.0,40.0,95.0,12.0,39.0,215.0,14.0,10.0,65.0,155.0,68.0,75.0,30.0,32.0
2465,0.0,14.0,7.0,6.0,1.0,9.0,3.0,15.0,57.0,17.0,18.0,4.0,24.0,48.0,59.0,5.0,27.0,73.0,30.0,23.0,71.0,209.0,16.0,35.0,84.0,117.0,39.0,111.0,41.0,54.0
2514,0.0,16.0,15.0,58.0,4.0,12.0,1.0,27.0,28.0,29.0,7.0,10.0,5.0,46.0,20.0,13.0,65.0,48.0,75.0,36.0,37.0,107.0,6.0,79.0,172.0,8.0,9.0,32.0,17.0,23.0
2563,0.0,1.0,9.0,7.0,12.0,18.0,5.0,25.0,11.0,15.0,59.0,48.0,33.0,39.0,200.0,22.0,13.0,27.0,114.0,72.0,71.0,155.0,6.0,30.0,14.0,28.0,24.0,102.0,51.0,86.0
2612,0.0,1.0,13.0,41.0,79.0,35.0,8.0,71.0,3.0,26.0,19.0,5.0,61.0,90.0,47.0,18.0,266.0,21.0,11.0,64.0,95.0,202.0,12.0,105.0,24.0,76.0,51.0,122.0,4.0,44.0
2661,0.0,8.0,4.0,2.0,19.0,14.0,3.0,41.0,22.0,7.0,61.0,20.0,13.0,55.0,35.0,11.0,51.0,65.0,37.0,26.0,40.0,264.0,5.0,129.0,83.0,38.0,56.0,43.0,49.0,32.0
2710,0.0,7.0,2.0,9.0,1.0,14.0,20.0,28.0,5.0,22.0,16.0,11.0,74.0,23.0,46.0,13.0,33.0,12.0,89.0,44.0,108.0,235.0,26.0,98.0,29.0,40.0,30.0,42.0,61.0,76.0
2759,0.0,5.0,8.0,6.0,3.0,40.0,1.0,56.0,9.0,26.0,4.0,53.0,43.0,27.0,83.0,50.0,39.0,15.0,111.0,12.0,18.0,52.0,13.0,72.0,2.0,38.0,20.0,35.0,36.0,276.0
2808,0.0,20.0,22.0,7.0,1.0,35.0,3.0,11.0,45.0,17.0,8.0,103.0,10.0,42.0,24.0,39.0,13.0,19.0,137.0,38.0,59.0,60.0,2.0,57.0,65.0,40.0,26.0,33.0,25.0,75.0
2857,0.0,39.0,6.0,24.0,13.0,7.0,1.0,198.0,9.0,2.0,57.0,4.0,15.0,5.0,28.0,30.0,63.0,18.0,75.0,85.0,42.0,130.0,60.0,89.0,81.0,31.0,117.0,124.0,120.0,180.0
2906,0.0,49.0,5.0,46.0,39.0,26.0,3.0,63.0,10.0,30.0,7.0,22.0,48.0,37.0,99.0,32.0,17.0,36.0,65.0,79.0,12.0,216.0,6.0,293.0,33.0,28.0,4.0,40.0,25.0,41.0
2955,0.0,3.0,1.0,17.0,4.0,35.0,12.0,10.0,74.0,31.0,14.0,18.0,7.0,29.0,15.0,21.0,19.0,33.0,6.0,20.0,60.0,8.0,78.0,50.0,13.0,42.0,40.0,9.0,62.0,24.0
3004,0.0,4.0,1.0,3.0,11.0,6.0,7.0,14.0,2.0,28.0,39.0,24.0,27.0,26.0,5.0,32.0,12.0,44.0,13.0,43.0,81.0,9.0,47.0,53.0,31.0,150.0,20.0,18.0,40.0,62.0
3053,2.0,11.0,3.0,29.0,1.0,24.0,0.0,44.0,17.0,55.0,16.0,31.0,58.0,47.0,8.0,28.0,54.0,84.0,6.0,33.0,34.0,56.0,64.0,96.0,112.0,69.0,65.0,78.0,91.0,13.0
3102,5.0,4.0,3.0,7.0,18.0,14.0,0.0,22.0,17.0,31.0,39.0,87.0,43.0,73.0,13.0,25.0,11.0,46.0,2.0,16.0,38.0,10.0,26.0,29.0,12.0,209.0,8.0,51.0,41.0,64.0
3151,0.0,5.0,1.0,3.0,10.0,24.0,11.0,29.0,84.0,21.0,70.0,119.0,45.0,18.0,12.0,16.0,40.0,105.0,4.0,27.0,30.0,17.0,22.0,72.0,53.0,110.0,13.0,37.0,64.0,19.0
3200,0.0,7.0,3.0,9.0,23.0,11.0,4.0,34.0,20.0,55.0,18.0,52.0,24.0,16.0,5.0,6.0,26.0,46.0,1.0,22.0,82.0,8.0,13.0,33.0,38.0,135.0,21.0,71.0,72.0,14.0
3249,0.0,7.0,6.0,15.0,23.0,16.0,5.0,20.0,9.0,43.0,150.0,61.0,12.0,44.0,2.0,24.0,152.0,69.0,1.0,17.0,34.0,4.0,73.0,26.0,33.0,99.0,21.0,55.0,52.0,58.0
3298,4.0,15.0,6.0,3.0,0.0,12.0,2.0,5.0,11.0,13.0,25.0,46.0,8.0,116.0,20.0,53.0,45.0,61.0,22.0,16.0,33.0,24.0,9.0,50.0,41.0,389.0,14.0,91.0,35.0,18.0
3347,5.0,4.0,7.0,6.0,3.0,8.0,1.0,9.0,2.0,52.0,102.0,76.0,40.0,32.0,58.0,64.0,72.0,17.0,16.0,107.0,49.0,20.0,35.0,75.0,24.0,73.0,13.0,106.0,61.0,12.0
3396,0.0,12.0,1.0,114.0,21.0,22.0,28.0,44.0,43.0,63.0,13.0,45.0,74.0,118.0,8.0,10.0,69.0,62.0,3.0,30.0,33.0,5.0,40.0,34.0,18.0,219.0,16.0,103.0,14.0,37.0
3445,3.0,0.0,13.0,6.0,1.0,64.0,2.0,11.0,16.0,8.0,37.0,14.0,47.0,42.0,34.0,5.0,50.0,10.0,46.0,26.0,12.0,59.0,20.0,7.0,52.0,61.0,43.0,22.0,15.0,27.0
3494,3.0,2.0,10.0,0.0,1.0,4.0,8.0,12.0,9.0,31.0,16.0,43.0,101.0,20.0,154.0,7.0,63.0,5.0,14.0,40.0,42.0,114.0,18.0,51.0,24.0,87.0,48.0,45.0,26.0,104.0
3543,1.0,3.0,5.0,0.0,2.0,10.0,8.0,6.0,17.0,38.0,128.0,26.0,11.0,52.0,137.0,16.0,134.0,14.0,66.0,50.0,205.0,142.0,36.0,12.0,28.0,63.0,55.0,76.0,51.0,33.0
3592,0.0,1.0,5.0,3.0,14.0,29.0,15.0,19.0,8.0,77.0,52.0,39.0,17.0,13.0,164.0,16.0,82.0,18.0,2.0,31.0,107.0,112.0,41.0,44.0,45.0,158.0,20.0,6.0,10.0,62.0
3641,0.0,3.0,6.0,2.0,1.0,22.0,11.0,12.0,14.0,19.0,24.0,75.0,35.0,42.0,26.0,5.0,17.0,8.0,27.0,60.0,65.0,108.0,4.0,16.0,31.0,77.0,20.0,18.0,7.0,62.0
3690,5.0,2.0,8.0,0.0,1.0,3.0,4.0,6.0,7.0,20.0,13.0,17.0,64.0,25.0,22.0,15.0,147.0,23.0,26.0,87.0,11.0,14.0,72.0,16.0,57.0,29.0,60.0,19.0,28.0,53.0
3739,0.0,4.0,3.0,2.0,1.0,7.0,28.0,14.0,6.0,17.0,22.0,5.0,15.0,87.0,19.0,34.0,69.0,8.0,67.0,52.0,121.0,120.0,10.0,49.0,70.0,60.0,61.0,18.0,94.0,53.0
3788,4.0,0.0,10.0,2.0,1.0,16.0,7.0,14.0,28.0,6.0,12.0,13.0,11.0,8.0,44.0,15.0,35.0,52.0,3.0,31.0,19.0,33.0,23.0,9.0,45.0,152.0,37.0,53.0,26.0,47.0
3837,6.0,0.0,3.0,1.0,2.0,32.0,4.0,21.0,40.0,45.0,15.0,114.0,83.0,17.0,20.0,10.0,52.0,8.0,14.0,25.0,19.0,28.0,12.0,37.0,23.0,64.0,13.0,31.0,86.0,90.0
3886,18.0,5.0,6.0,8.0,0.0,31.0,2.0,76.0,24.0,34.0,98.0,138.0,25.0,4.0,158.0,10.0,32.0,29.0,3.0,44.0,37.0,150.0,19.0,93.0,67.0,181.0,7.0,39.0,15.0,20.0
3935,5.0,0.0,1.0,10.0,85.0,4.0,104.0,6.0,185.0,54.0,14.0,89.0,56.0,18.0,8.0,2.0,24.0,52.0,20.0,9.0,21.0,33.0,75.0,3.0,44.0,38.0,49.0,69.0,42.0,50.0
3984,1.0,0.0,2.0,11.0,61.0,9.0,70.0,15.0,115.0,91.0,18.0,121.0,64.0,12.0,6.0,22.0,40.0,25.0,8.0,44.0,20.0,34.0,30.0,122.0,4.0,21.0,28.0,56.0,97.0,84.0
4033,3.0,6.0,19.0,5.0,13.0,55.0,33.0,2.0,215.0,11.0,10.0,165.0,18.0,25.0,4.0,40.0,54.0,47.0,261.0,23.0,34.0,28.0,56.0,16.0,21.0,12.0,38.0,59.0,29.0,17.0
4082,0.0,5.0,6.0,10.0,53.0,40.0,16.0,15.0,171.0,44.0,9.0,154.0,85.0,1.0,3.0,23.0,124.0,49.0,17.0,39.0,19.0,11.0,174.0,70.0,42.0,7.0,14.0,82.0,30.0,32.0
4131,9.0,1.0,6.0,0.0,2.0,3.0,21.0,11.0,118.0,86.0,45.0,195.0,48.0,4.0,40.0,25.0,30.0,38.0,47.0,13.0,51.0,19.0,44.0,120.0,26.0,14.0,5.0,54.0,17.0,110.0
4180,1.0,0.0,3.0,2.0,37.0,74.0,51.0,15.0,136.0,91.0,24.0,180.0,13.0,26.0,31.0,35.0,10.0,43.0,70.0,33.0,7.0,127.0,73.0,21.0,6.0,17.0,14.0,4.0,34.0,32.0
4229,6.0,4.0,0.0,24.0,23.0,30.0,5.0,12.0,151.0,35.0,76.0,138.0,41.0,2.0,1.0,21.0,27.0,74.0,119.0,50.0,18.0,99.0,9.0,29.0,87.0,49.0,31.0,135.0,34.0,26.0
4278,21.0,0.0,11.0,3.0,48.0,23.0,52.0,14.0,207.0,150.0,15.0,221.0,61.0,8.0,2.0,45.0,13.0,20.0,91.0,51.0,108.0,40.0,66.0,10.0,12.0,1.0,16.0,93.0,90.0,38.0
4327,3.0,9.0,6.0,7.0,14.0,54.0,31.0,0.0,206.0,92.0,202.0,140.0,105.0,16.0,28.0,18.0,41.0,69.0,2.0,32.0,49.0,216.0,27.0,66.0,22.0,15.0,1.0,38.0,117.0,42.0
4376,1.0,0.0,3.0,7.0,4.0,17.0,34.0,2.0,72.0,22.0,76.0,127.0,49.0,5.0,85.0,12.0,32.0,26.0,94.0,33.0,20.0,58.0,146.0,191.0,14.0,19.0,13.0,47.0,45.0,81.0
4425,29.0,0.0,5.0,8.0,3.0,20.0,57.0,50.0,6.0,19.0,37.0,35.0,88.0,24.0,75.0,124.0,10.0,4.0,16.0,14.0,255.0,21.0,86.0,325.0,17.0,87.0,33.0,13.0,45.0,53.0
4474,19.0,8.0,1.0,0.0,5.0,37.0,62.0,69.0,2.0,11.0,12.0,38.0,33.0,6.0,10.0,63.0,9.0,15.0,52.0,24.0,88.0,3.0,23.0,224.0,13.0,57.0,46.0,14.0,85.0,148.0
4523,29.0,1.0,13.0,5.0,0.0,12.0,55.0,105.0,8.0,6.0,36.0,15.0,41.0,20.0,45.0,93.0,7.0,4.0,81.0,21.0,72.0,22.0,64.0,196.0,61.0,24.0,38.0,14.0,127.0,68.0
4572,25.0,1.0,3.0,2.0,0.0,42.0,152.0,103.0,13.0,10.0,4.0,18.0,43.0,12.0,8.0,156.0,6.0,5.0,51.0,30.0,141.0,9.0,124.0,127.0,14.0,40.0,33.0,19.0,55.0,49.0
4621,27.0,4.0,7.0,13.0,0.0,52.0,113.0,140.0,17.0,86.0,21.0,48.0,69.0,8.0,45.0,82.0,9.0,15.0,22.0,24.0,89.0,12.0,57.0,338.0,3.0,6.0,14.0,5.0,31.0,77.0
4670,22.0,2.0,4.0,1.0,0.0,11.0,77.0,34.0,9.0,31.0,13.0,16.0,127.0,7.0,50.0,26.0,12.0,5.0,30.0,35.0,59.0,40.0,106.0,251.0,37.0,25.0,20.0,3.0,124.0,84.0
4719,5.0,8.0,4.0,0.0,1.0,14.0,21.0,129.0,13.0,34.0,7.0,19.0,55.0,12.0,42.0,145.0,6.0,15.0,25.0,23.0,126.0,46.0,38.0,230.0,2.0,89.0,32.0,9.0,137.0,111.0
4768,3.0,0.0,1.0,2.0,4.0,30.0,42.0,31.0,22.0,6.0,19.0,35.0,25.0,10.0,56.0,83.0,8.0,23.0,82.0,24.0,148.0,16.0,62.0,363.0,5.0,14.0,89.0,11.0,135.0,51.0
4817,32.0,0.0,4.0,20.0,10.0,6.0,53.0,152.0,18.0,5.0,1.0,19.0,40.0,34.0,9.0,26.0,37.0,14.0,28.0,30.0,151.0,3.0,41.0,91.0,38.0,27.0,83.0,50.0,49.0,192.0
4866,32.0,2.0,1.0,4.0,0.0,109.0,39.0,124.0,22.0,42.0,3.0,153.0,26.0,12.0,7.0,60.0,8.0,5.0,14.0,21.0,83.0,17.0,10.0,202.0,65.0,19.0,24.0,9.0,51.0,94.0
