,hsa-miR-548d-3p,hsa-miR-921,hsa-miR-1294,hsa-miR-591,hsa-miR-579,hsa-miR-320c,hsa-miR-323-5p,hsa-miR-29c,hsa-miR-223,hsa-miR-590-5p,hsa-miR-103,hsa-miR-570,hsa-miR-744,hsa-miR-26a,hsa-miR-615-3p,hsa-miR-125a-3p,hsa-miR-492,hsa-miR-147b,hsa-miR-485-5p,hsa-miR-609,hsa-miR-642,hsa-miR-622,hsa-miR-518d-3p,hsa-miR-892a,hsa-miR-202,hsa-miR-1284,hsv2-miR-H4-5p,hsa-miR-489,hsa-miR-516a-3p,hsa-miR-1278
1144,2.0,3.0,14.0,0.0,1.0,10.0,5.0,29.0,8.0,15.0,7.0,21.0,6.0,42.0,30.0,338.0,19.0,11.0,60.0,23.0,49.0,13.0,17.0,4.0,325.0,27.0,24.0,31.0,32.0,9.0
1193,1.0,7.0,3.0,15.0,5.0,26.0,18.0,12.0,2.0,13.0,19.0,22.0,33.0,21.0,265.0,28.0,16.0,24.0,32.0,36.0,20.0,23.0,11.0,4.0,352.0,34.0,30.0,42.0,29.0,0.0
1242,2.0,3.0,9.0,1.0,0.0,6.0,5.0,19.0,28.0,10.0,7.0,15.0,62.0,12.0,26.0,41.0,53.0,65.0,31.0,22.0,30.0,44.0,14.0,17.0,352.0,55.0,32.0,13.0,25.0,4.0
1291,2.0,0.0,1.0,4.0,24.0,5.0,7.0,31.0,14.0,10.0,11.0,30.0,9.0,482.0,78.0,68.0,26.0,49.0,32.0,19.0,38.0,34.0,29.0,6.0,347.0,71.0,12.0,17.0,20.0,3.0
1340,9.0,0.0,5.0,6.0,7.0,10.0,3.0,14.0,12.0,15.0,17.0,47.0,4.0,38.0,110.0,85.0,52.0,20.0,22.0,267.0,16.0,18.0,65.0,8.0,50.0,36.0,19.0,2.0,67.0,1.0
1389,2.0,11.0,7.0,4.0,3.0,13.0,10.0,30.0,1.0,28.0,14.0,12.0,5.0,41.0,34.0,44.0,22.0,16.0,25.0,67.0,24.0,9.0,37.0,8.0,70.0,413.0,19.0,31.0,27.0,0.0
1438,10.0,2.0,7.0,3.0,0.0,11.0,9.0,15.0,6.0,22.0,20.0,13.0,1.0,8.0,75.0,35.0,67.0,63.0,25.0,12.0,24.0,29.0,5.0,4.0,311.0,36.0,14.0,96.0,31.0,18.0
1487,0.0,9.0,10.0,1.0,12.0,4.0,51.0,13.0,35.0,2.0,67.0,6.0,3.0,11.0,70.0,20.0,32.0,64.0,44.0,5.0,59.0,27.0,77.0,25.0,41.0,15.0,19.0,17.0,40.0,7.0
1536,0.0,41.0,4.0,6.0,3.0,2.0,16.0,39.0,7.0,29.0,90.0,8.0,19.0,10.0,27.0,17.0,69.0,21.0,61.0,1.0,28.0,18.0,65.0,13.0,48.0,44.0,77.0,15.0,30.0,26.0
1585,0.0,39.0,9.0,7.0,6.0,4.0,16.0,18.0,13.0,8.0,61.0,12.0,60.0,11.0,20.0,5.0,21.0,68.0,22.0,1.0,35.0,28.0,36.0,62.0,32.0,53.0,45.0,19.0,23.0,15.0
1634,0.0,9.0,10.0,4.0,1.0,13.0,40.0,8.0,38.0,5.0,41.0,3.0,19.0,17.0,28.0,46.0,14.0,21.0,18.0,12.0,45.0,257.0,56.0,213.0,2.0,37.0,35.0,7.0,22.0,15.0
1683,0.0,44.0,8.0,1.0,3.0,2.0,41.0,12.0,4.0,15.0,45.0,6.0,11.0,9.0,48.0,5.0,26.0,39.0,73.0,7.0,93.0,34.0,86.0,33.0,24.0,47.0,16.0,31.0,56.0,17.0
1732,0.0,10.0,5.0,3.0,6.0,7.0,43.0,14.0,11.0,2.0,48.0,4.0,1.0,12.0,24.0,21.0,34.0,32.0,59.0,9.0,25.0,37.0,104.0,65.0,40.0,29.0,16.0,17.0,28.0,41.0
1781,0.0,9.0,6.0,11.0,13.0,1.0,61.0,5.0,7.0,14.0,47.0,10.0,299.0,8.0,17.0,44.0,12.0,31.0,70.0,2.0,65.0,267.0,93.0,4.0,29.0,43.0,21.0,3.0,59.0,22.0
1830,1.0,29.0,2.0,5.0,4.0,3.0,60.0,9.0,16.0,0.0,413.0,6.0,52.0,7.0,28.0,10.0,71.0,32.0,61.0,20.0,92.0,17.0,86.0,19.0,25.0,57.0,18.0,39.0,38.0,22.0
1879,0.0,50.0,6.0,13.0,9.0,5.0,26.0,11.0,27.0,18.0,59.0,3.0,2.0,4.0,22.0,103.0,38.0,21.0,36.0,7.0,63.0,20.0,31.0,44.0,51.0,16.0,25.0,8.0,34.0,15.0
1928,2.0,18.0,1.0,11.0,9.0,15.0,34.0,22.0,4.0,8.0,71.0,3.0,6.0,13.0,14.0,0.0,91.0,23.0,39.0,5.0,33.0,17.0,99.0,25.0,31.0,24.0,43.0,10.0,67.0,38.0
1977,5.0,0.0,3.0,6.0,8.0,2.0,35.0,24.0,27.0,7.0,10.0,57.0,1.0,45.0,16.0,25.0,13.0,21.0,23.0,4.0,12.0,19.0,11.0,15.0,48.0,39.0,33.0,18.0,67.0,62.0
2026,8.0,1.0,7.0,6.0,9.0,0.0,13.0,15.0,18.0,24.0,29.0,20.0,12.0,10.0,2.0,32.0,11.0,30.0,34.0,4.0,42.0,3.0,33.0,39.0,26.0,19.0,25.0,40.0,49.0,311.0
2075,4.0,2.0,6.0,1.0,76.0,31.0,20.0,9.0,19.0,3.0,23.0,32.0,29.0,36.0,14.0,58.0,24.0,10.0,40.0,8.0,28.0,5.0,21.0,7.0,13.0,0.0,22.0,72.0,53.0,89.0
2124,6.0,0.0,5.0,4.0,13.0,1.0,7.0,16.0,37.0,17.0,22.0,39.0,23.0,36.0,21.0,53.0,11.0,2.0,26.0,20.0,27.0,9.0,3.0,15.0,58.0,28.0,34.0,40.0,25.0,33.0
2173,8.0,4.0,7.0,0.0,5.0,3.0,21.0,43.0,24.0,17.0,20.0,66.0,1.0,63.0,10.0,9.0,22.0,14.0,42.0,88.0,19.0,13.0,12.0,11.0,30.0,16.0,32.0,53.0,61.0,415.0
2222,4.0,15.0,5.0,3.0,9.0,0.0,39.0,10.0,12.0,18.0,29.0,49.0,58.0,22.0,1.0,28.0,8.0,6.0,17.0,24.0,7.0,19.0,20.0,41.0,42.0,2.0,23.0,44.0,25.0,408.0
2271,8.0,0.0,2.0,14.0,7.0,4.0,40.0,33.0,21.0,12.0,39.0,34.0,1.0,23.0,6.0,3.0,16.0,18.0,24.0,15.0,11.0,55.0,19.0,30.0,29.0,10.0,25.0,31.0,20.0,77.0
2320,5.0,3.0,4.0,7.0,20.0,0.0,34.0,9.0,18.0,15.0,25.0,44.0,19.0,24.0,1.0,6.0,8.0,12.0,30.0,10.0,59.0,31.0,2.0,13.0,42.0,11.0,22.0,93.0,51.0,418.0
2369,18.0,4.0,14.0,13.0,0.0,1.0,23.0,26.0,10.0,35.0,12.0,42.0,31.0,51.0,2.0,21.0,11.0,6.0,8.0,22.0,40.0,20.0,5.0,44.0,43.0,9.0,17.0,501.0,49.0,100.0
2418,1.0,3.0,4.0,2.0,26.0,0.0,55.0,21.0,48.0,16.0,10.0,94.0,42.0,24.0,11.0,13.0,5.0,7.0,31.0,45.0,6.0,15.0,12.0,38.0,67.0,44.0,19.0,39.0,137.0,394.0
2467,2.0,10.0,3.0,22.0,6.0,7.0,25.0,1.0,21.0,11.0,12.0,42.0,0.0,34.0,50.0,4.0,41.0,27.0,94.0,14.0,16.0,271.0,54.0,40.0,5.0,13.0,64.0,17.0,15.0,413.0
2516,17.0,29.0,6.0,14.0,5.0,3.0,11.0,0.0,38.0,4.0,8.0,28.0,7.0,40.0,63.0,20.0,2.0,13.0,71.0,23.0,24.0,30.0,41.0,64.0,16.0,32.0,51.0,9.0,12.0,15.0
2565,5.0,8.0,6.0,4.0,13.0,15.0,18.0,2.0,17.0,3.0,22.0,26.0,0.0,12.0,44.0,45.0,35.0,32.0,47.0,10.0,34.0,28.0,73.0,30.0,24.0,36.0,59.0,1.0,29.0,20.0
2614,0.0,1.0,3.0,8.0,26.0,9.0,15.0,4.0,19.0,12.0,2.0,14.0,5.0,24.0,43.0,427.0,6.0,32.0,48.0,21.0,10.0,34.0,33.0,54.0,18.0,85.0,75.0,7.0,17.0,89.0
2663,0.0,4.0,1.0,28.0,12.0,19.0,10.0,2.0,14.0,18.0,8.0,20.0,3.0,68.0,30.0,31.0,9.0,24.0,22.0,5.0,11.0,46.0,51.0,44.0,29.0,76.0,27.0,7.0,13.0,48.0
2712,4.0,0.0,5.0,14.0,1.0,11.0,21.0,8.0,18.0,13.0,3.0,10.0,6.0,7.0,22.0,74.0,16.0,34.0,98.0,2.0,23.0,38.0,57.0,26.0,28.0,48.0,86.0,9.0,19.0,67.0
2761,3.0,5.0,10.0,4.0,23.0,7.0,57.0,2.0,1.0,21.0,8.0,28.0,0.0,25.0,39.0,58.0,13.0,11.0,64.0,9.0,19.0,17.0,33.0,41.0,84.0,34.0,36.0,12.0,14.0,31.0
2810,4.0,5.0,0.0,8.0,2.0,17.0,19.0,6.0,9.0,1.0,7.0,14.0,3.0,46.0,39.0,26.0,33.0,45.0,37.0,22.0,25.0,92.0,28.0,11.0,42.0,61.0,23.0,47.0,35.0,20.0
2859,5.0,0.0,12.0,7.0,11.0,17.0,20.0,3.0,24.0,1.0,13.0,35.0,2.0,46.0,27.0,57.0,15.0,34.0,39.0,6.0,9.0,38.0,43.0,26.0,40.0,16.0,25.0,28.0,18.0,53.0
2908,2.0,0.0,7.0,6.0,8.0,3.0,16.0,13.0,12.0,5.0,11.0,25.0,1.0,40.0,38.0,19.0,9.0,31.0,36.0,10.0,15.0,14.0,75.0,46.0,47.0,319.0,59.0,4.0,24.0,68.0
2957,0.0,23.0,11.0,7.0,8.0,10.0,15.0,17.0,69.0,122.0,9.0,6.0,1.0,5.0,19.0,32.0,76.0,4.0,40.0,29.0,36.0,56.0,33.0,312.0,58.0,51.0,21.0,47.0,16.0,46.0
3006,0.0,1.0,27.0,7.0,3.0,28.0,8.0,10.0,80.0,56.0,19.0,11.0,6.0,25.0,2.0,89.0,40.0,41.0,9.0,29.0,33.0,13.0,62.0,79.0,20.0,51.0,16.0,12.0,17.0,15.0
3055,0.0,4.0,24.0,16.0,11.0,8.0,34.0,13.0,9.0,82.0,7.0,23.0,1.0,10.0,3.0,36.0,39.0,18.0,12.0,6.0,44.0,22.0,5.0,53.0,15.0,26.0,27.0,40.0,31.0,38.0
3104,0.0,6.0,4.0,38.0,1.0,16.0,3.0,5.0,43.0,28.0,44.0,8.0,19.0,470.0,17.0,10.0,309.0,9.0,27.0,18.0,34.0,13.0,20.0,32.0,25.0,62.0,22.0,24.0,37.0,75.0
3153,0.0,24.0,3.0,6.0,9.0,22.0,10.0,1.0,20.0,76.0,11.0,28.0,4.0,25.0,15.0,119.0,32.0,7.0,17.0,16.0,2.0,18.0,27.0,83.0,43.0,36.0,21.0,39.0,40.0,81.0
3202,2.0,17.0,5.0,14.0,1.0,6.0,10.0,4.0,52.0,51.0,22.0,11.0,7.0,27.0,0.0,23.0,43.0,37.0,9.0,55.0,18.0,3.0,12.0,8.0,21.0,39.0,13.0,108.0,54.0,20.0
3251,1.0,9.0,5.0,17.0,0.0,10.0,11.0,31.0,37.0,55.0,3.0,18.0,7.0,27.0,2.0,61.0,45.0,29.0,4.0,26.0,23.0,21.0,35.0,65.0,15.0,43.0,13.0,34.0,22.0,44.0
3300,0.0,7.0,5.0,16.0,12.0,6.0,11.0,2.0,55.0,62.0,37.0,15.0,60.0,10.0,1.0,17.0,33.0,24.0,19.0,14.0,28.0,3.0,22.0,32.0,51.0,57.0,13.0,46.0,9.0,23.0
3349,0.0,3.0,6.0,15.0,8.0,12.0,9.0,2.0,20.0,114.0,33.0,27.0,29.0,4.0,1.0,106.0,35.0,26.0,11.0,30.0,17.0,7.0,16.0,39.0,28.0,40.0,32.0,31.0,34.0,66.0
3398,0.0,12.0,32.0,11.0,3.0,51.0,10.0,4.0,13.0,25.0,24.0,5.0,9.0,15.0,2.0,68.0,14.0,38.0,8.0,37.0,19.0,7.0,16.0,297.0,28.0,55.0,33.0,42.0,45.0,78.0
3447,1.0,68.0,18.0,14.0,3.0,12.0,17.0,42.0,10.0,9.0,43.0,0.0,5.0,2.0,11.0,4.0,6.0,31.0,20.0,63.0,8.0,40.0,16.0,119.0,13.0,39.0,50.0,66.0,23.0,32.0
3496,4.0,40.0,80.0,3.0,0.0,13.0,53.0,17.0,28.0,19.0,14.0,18.0,8.0,2.0,72.0,7.0,67.0,26.0,24.0,33.0,47.0,69.0,9.0,57.0,10.0,56.0,29.0,31.0,21.0,32.0
3545,31.0,22.0,18.0,3.0,0.0,7.0,2.0,8.0,15.0,11.0,5.0,14.0,292.0,1.0,49.0,4.0,12.0,26.0,60.0,35.0,57.0,21.0,32.0,88.0,16.0,30.0,33.0,107.0,58.0,28.0
3594,4.0,5.0,24.0,7.0,0.0,8.0,9.0,40.0,16.0,21.0,19.0,36.0,50.0,25.0,1.0,3.0,30.0,38.0,18.0,120.0,14.0,113.0,6.0,68.0,2.0,42.0,39.0,26.0,11.0,27.0
3643,6.0,14.0,49.0,9.0,1.0,38.0,16.0,18.0,12.0,10.0,21.0,3.0,65.0,5.0,45.0,0.0,43.0,28.0,4.0,48.0,27.0,44.0,7.0,64.0,25.0,11.0,33.0,95.0,22.0,19.0
3692,6.0,19.0,11.0,1.0,2.0,13.0,16.0,34.0,15.0,68.0,10.0,4.0,50.0,22.0,59.0,0.0,31.0,30.0,9.0,77.0,25.0,75.0,12.0,29.0,53.0,66.0,3.0,69.0,40.0,5.0
3741,1.0,46.0,31.0,9.0,3.0,12.0,13.0,21.0,17.0,7.0,47.0,8.0,82.0,11.0,63.0,5.0,65.0,15.0,35.0,273.0,24.0,54.0,14.0,74.0,0.0,6.0,23.0,10.0,19.0,25.0
3790,2.0,52.0,24.0,7.0,22.0,28.0,31.0,5.0,33.0,51.0,45.0,9.0,72.0,12.0,43.0,0.0,3.0,26.0,34.0,4.0,38.0,257.0,16.0,18.0,23.0,14.0,17.0,35.0,27.0,11.0
3839,3.0,10.0,68.0,1.0,21.0,50.0,34.0,14.0,15.0,28.0,7.0,8.0,9.0,4.0,63.0,2.0,22.0,6.0,18.0,17.0,19.0,56.0,11.0,42.0,5.0,16.0,49.0,13.0,23.0,106.0
3888,3.0,18.0,12.0,8.0,0.0,15.0,4.0,32.0,54.0,23.0,14.0,6.0,44.0,11.0,34.0,61.0,26.0,22.0,20.0,73.0,90.0,144.0,16.0,68.0,21.0,13.0,38.0,28.0,5.0,10.0
3937,4.0,13.0,3.0,17.0,29.0,48.0,10.0,12.0,18.0,72.0,21.0,31.0,78.0,9.0,25.0,11.0,1.0,6.0,14.0,35.0,26.0,0.0,5.0,32.0,16.0,30.0,33.0,49.0,41.0,89.0
3986,1.0,26.0,9.0,8.0,15.0,37.0,4.0,5.0,6.0,25.0,10.0,16.0,47.0,7.0,11.0,12.0,0.0,3.0,43.0,22.0,50.0,2.0,41.0,14.0,13.0,49.0,23.0,31.0,42.0,34.0
4035,0.0,39.0,5.0,11.0,12.0,49.0,15.0,4.0,37.0,46.0,34.0,9.0,31.0,18.0,3.0,7.0,1.0,23.0,24.0,57.0,20.0,22.0,87.0,2.0,8.0,14.0,19.0,61.0,42.0,25.0
4084,0.0,5.0,27.0,12.0,61.0,41.0,11.0,4.0,18.0,124.0,10.0,17.0,26.0,8.0,3.0,9.0,1.0,25.0,15.0,43.0,58.0,2.0,31.0,16.0,38.0,34.0,51.0,33.0,23.0,44.0
4133,3.0,14.0,2.0,4.0,28.0,62.0,0.0,5.0,18.0,8.0,9.0,10.0,16.0,17.0,6.0,30.0,1.0,12.0,22.0,87.0,45.0,7.0,68.0,13.0,50.0,26.0,24.0,54.0,25.0,41.0
4182,0.0,4.0,64.0,6.0,22.0,33.0,56.0,9.0,2.0,15.0,7.0,11.0,5.0,32.0,1.0,18.0,3.0,28.0,24.0,19.0,76.0,8.0,49.0,21.0,43.0,25.0,41.0,50.0,16.0,59.0
4231,0.0,1.0,4.0,8.0,35.0,22.0,19.0,21.0,14.0,39.0,10.0,11.0,71.0,20.0,7.0,3.0,2.0,31.0,29.0,12.0,77.0,5.0,60.0,9.0,24.0,47.0,17.0,59.0,38.0,43.0
4280,3.0,28.0,5.0,14.0,40.0,16.0,2.0,33.0,22.0,38.0,12.0,7.0,9.0,15.0,8.0,32.0,1.0,26.0,10.0,59.0,19.0,11.0,25.0,27.0,43.0,0.0,23.0,34.0,6.0,31.0
4329,0.0,1.0,35.0,5.0,64.0,30.0,8.0,29.0,9.0,7.0,4.0,23.0,16.0,10.0,20.0,12.0,6.0,11.0,22.0,43.0,32.0,2.0,3.0,26.0,19.0,15.0,36.0,17.0,13.0,388.0
4378,6.0,5.0,12.0,8.0,11.0,35.0,7.0,13.0,10.0,14.0,2.0,24.0,29.0,4.0,17.0,28.0,3.0,36.0,27.0,18.0,25.0,1.0,68.0,0.0,16.0,31.0,33.0,22.0,91.0,57.0
4427,4.0,0.0,32.0,5.0,29.0,3.0,31.0,7.0,10.0,19.0,15.0,30.0,76.0,13.0,8.0,2.0,64.0,14.0,22.0,80.0,11.0,17.0,20.0,1.0,35.0,12.0,23.0,39.0,63.0,46.0
4476,3.0,1.0,24.0,11.0,0.0,5.0,7.0,8.0,4.0,29.0,10.0,17.0,73.0,15.0,19.0,2.0,61.0,9.0,38.0,41.0,46.0,53.0,20.0,12.0,25.0,22.0,26.0,37.0,55.0,23.0
4525,3.0,2.0,11.0,6.0,0.0,8.0,10.0,17.0,16.0,14.0,15.0,13.0,26.0,38.0,7.0,4.0,74.0,24.0,32.0,22.0,36.0,65.0,33.0,9.0,12.0,5.0,18.0,28.0,21.0,359.0
4574,7.0,0.0,11.0,12.0,8.0,3.0,20.0,6.0,2.0,24.0,9.0,38.0,82.0,18.0,32.0,1.0,33.0,22.0,31.0,29.0,35.0,67.0,10.0,4.0,17.0,90.0,47.0,21.0,36.0,45.0
4623,6.0,0.0,17.0,10.0,1.0,5.0,9.0,7.0,4.0,15.0,11.0,18.0,82.0,30.0,33.0,3.0,63.0,19.0,65.0,37.0,38.0,29.0,21.0,24.0,13.0,40.0,31.0,54.0,26.0,20.0
4672,0.0,2.0,19.0,16.0,9.0,7.0,3.0,6.0,8.0,4.0,10.0,24.0,48.0,22.0,43.0,1.0,25.0,15.0,11.0,62.0,21.0,47.0,37.0,5.0,12.0,42.0,30.0,20.0,14.0,33.0
4721,0.0,4.0,26.0,9.0,5.0,1.0,13.0,2.0,14.0,39.0,6.0,15.0,40.0,17.0,29.0,21.0,94.0,16.0,12.0,82.0,20.0,277.0,18.0,19.0,3.0,41.0,42.0,32.0,35.0,46.0
4770,17.0,0.0,31.0,15.0,1.0,4.0,2.0,16.0,27.0,34.0,7.0,24.0,8.0,35.0,28.0,11.0,396.0,10.0,18.0,51.0,44.0,48.0,6.0,5.0,3.0,14.0,37.0,21.0,26.0,96.0
4819,2.0,0.0,6.0,10.0,7.0,8.0,1.0,15.0,11.0,5.0,22.0,20.0,39.0,16.0,37.0,4.0,82.0,9.0,52.0,92.0,46.0,27.0,24.0,13.0,3.0,18.0,33.0,96.0,32.0,40.0
4868,0.0,8.0,10.0,12.0,1.0,4.0,9.0,11.0,7.0,2.0,35.0,14.0,38.0,18.0,5.0,6.0,42.0,22.0,17.0,77.0,28.0,67.0,26.0,3.0,13.0,16.0,20.0,37.0,27.0,29.0
