,hsa-miR-34a,hsa-miR-222,hsv1-miR-H2-3p,hsa-miR-579,hsa-miR-26a,hsa-miR-591,hsa-miR-675,hsa-miR-1256,hsa-miR-891a,hsa-miR-581,hsa-miR-582-5p,hsa-miR-597,hsa-miR-28-5p,hsa-miR-1286,hsa-miR-654-3p,hsa-miR-298,hsa-miR-223,hsa-miR-921,hsa-miR-614,hsa-miR-934,hsa-miR-519e,hsa-miR-155,hcmv-miR-US25-2-3p,hsa-miR-601,hsa-miR-892a,hsa-miR-132,ebv-miR-BART5,hsa-miR-557,hsa-miR-302e,hsa-miR-133b
506,0.0,1.0,2.0,39.0,16.0,3.0,13.0,6.0,7.0,4.0,5.0,42.0,21.0,8.0,15.0,59.0,51.0,19.0,27.0,29.0,32.0,20.0,90.0,18.0,43.0,78.0,35.0,30.0,54.0,37.0
555,0.0,3.0,1.0,60.0,2.0,8.0,33.0,5.0,20.0,10.0,31.0,6.0,19.0,11.0,13.0,63.0,7.0,4.0,56.0,16.0,30.0,49.0,78.0,106.0,115.0,77.0,42.0,71.0,38.0,27.0
604,0.0,2.0,1.0,12.0,8.0,23.0,11.0,21.0,19.0,25.0,22.0,6.0,13.0,14.0,7.0,39.0,30.0,5.0,10.0,16.0,20.0,46.0,65.0,33.0,28.0,138.0,53.0,85.0,18.0,36.0
653,0.0,1.0,3.0,27.0,4.0,9.0,33.0,35.0,21.0,14.0,8.0,5.0,15.0,20.0,19.0,12.0,6.0,2.0,13.0,23.0,17.0,43.0,108.0,11.0,16.0,55.0,65.0,59.0,46.0,32.0
702,0.0,2.0,1.0,23.0,8.0,12.0,9.0,5.0,14.0,24.0,40.0,4.0,11.0,29.0,37.0,87.0,6.0,7.0,15.0,17.0,38.0,13.0,76.0,33.0,21.0,36.0,49.0,19.0,32.0,39.0
751,0.0,1.0,6.0,102.0,2.0,3.0,17.0,57.0,67.0,16.0,11.0,14.0,4.0,7.0,28.0,10.0,13.0,12.0,9.0,5.0,20.0,24.0,46.0,23.0,68.0,15.0,32.0,36.0,25.0,47.0
800,0.0,1.0,11.0,47.0,12.0,10.0,16.0,5.0,24.0,22.0,2.0,26.0,6.0,4.0,41.0,35.0,38.0,3.0,43.0,36.0,28.0,25.0,88.0,23.0,151.0,19.0,53.0,8.0,60.0,31.0
849,0.0,1.0,3.0,17.0,2.0,4.0,13.0,11.0,9.0,7.0,20.0,34.0,23.0,40.0,16.0,37.0,6.0,47.0,89.0,18.0,29.0,105.0,55.0,14.0,10.0,56.0,51.0,19.0,58.0,41.0
898,0.0,13.0,3.0,32.0,12.0,43.0,47.0,5.0,19.0,1.0,20.0,7.0,17.0,37.0,10.0,26.0,11.0,2.0,16.0,4.0,41.0,45.0,84.0,117.0,21.0,34.0,39.0,55.0,29.0,57.0
947,0.0,3.0,1.0,51.0,2.0,4.0,15.0,17.0,21.0,7.0,52.0,16.0,9.0,19.0,23.0,12.0,10.0,20.0,29.0,5.0,76.0,59.0,113.0,77.0,200.0,54.0,30.0,25.0,38.0,55.0
996,0.0,8.0,1.0,2.0,29.0,36.0,13.0,10.0,12.0,62.0,27.0,6.0,3.0,19.0,26.0,54.0,42.0,23.0,20.0,52.0,45.0,22.0,18.0,67.0,47.0,172.0,15.0,38.0,39.0,75.0
1045,1.0,3.0,2.0,4.0,35.0,10.0,5.0,7.0,11.0,22.0,79.0,14.0,16.0,33.0,9.0,110.0,50.0,0.0,12.0,73.0,32.0,146.0,21.0,15.0,69.0,53.0,29.0,188.0,20.0,52.0
1094,0.0,1.0,2.0,7.0,10.0,21.0,14.0,18.0,9.0,5.0,22.0,8.0,13.0,11.0,44.0,24.0,29.0,17.0,26.0,15.0,41.0,12.0,6.0,35.0,47.0,118.0,38.0,141.0,81.0,104.0
