,MLIP_DEL,LOC348120_AMP,NF1P2_AMP,POTEB_AMP,NME7_DEL,HLA-DQB1_AMP,FHIT_DEL,KANSL1_AMP,BMPR2_AMP,KANSL1-AS1_AMP,UBE2Q2P3_AMP,UBE2Q2P2_AMP,FAM35B_DEL,HLA-H_DEL,FFAR3_DEL,ADAM5_DEL,BAGE4_DEL,BAGE_DEL,C10orf11_DEL,BAGE3_DEL,BAGE2_DEL,RPS17L_AMP,GOLGA6L9_AMP,RPS17_AMP,LGALS9C_DEL,ANKRD36B_DEL,DST_MUT,PRSS2_DEL,LINC00202_DEL,PRSS3P2_DEL
2285,0.0,7.0,5.0,4.0,3.0,37.0,9.0,8.0,22.0,12.0,16.0,17.0,81.0,11.0,85.0,6.0,20.0,14.0,1.0,19.0,21.0,33.0,32.0,34.0,42.0,35.0,2.0,38.0,65.0,39.0
2334,54.0,2.0,4.0,3.0,14.0,10.0,0.0,8.0,96.0,22.0,5.0,6.0,33.0,35.0,248.0,21.0,27.0,24.0,167.0,26.0,28.0,17.0,16.0,18.0,9.0,25.0,29.0,47.0,41.0,48.0
2383,129.0,2.0,5.0,4.0,8.0,7.0,46.0,16.0,38.0,18.0,15.0,14.0,19.0,84.0,22.0,1.0,13.0,10.0,59.0,12.0,11.0,25.0,24.0,23.0,9.0,49.0,21.0,58.0,27.0,57.0
2432,23.0,6.0,14.0,13.0,2.0,0.0,17.0,8.0,375.0,9.0,65.0,62.0,36.0,15.0,60.0,1.0,27.0,24.0,45.0,26.0,25.0,61.0,63.0,64.0,54.0,22.0,20.0,33.0,55.0,34.0
2481,40.0,0.0,1.0,2.0,31.0,139.0,11.0,33.0,20.0,37.0,8.0,7.0,5.0,42.0,3.0,6766.0,21.0,41.0,371.0,23.0,22.0,16.0,15.0,17.0,4.0,14.0,18.0,49.0,113.0,48.0
2530,14.0,3.0,2.0,1.0,70.0,23.0,64.0,19.0,7.0,33.0,43.0,42.0,34.0,21.0,71.0,36.0,30.0,28.0,304.0,32.0,31.0,80.0,81.0,79.0,0.0,109.0,18.0,25.0,86.0,24.0
2579,21.0,4.0,2.0,3.0,32.0,0.0,143.0,17.0,5.0,15.0,28.0,27.0,55.0,6.0,258.0,42.0,11.0,34.0,471.0,12.0,13.0,46.0,47.0,48.0,14.0,50.0,73.0,282.0,86.0,283.0
2628,0.0,17.0,8.0,9.0,5.0,7.0,22.0,6.0,1.0,2.0,4.0,3.0,30.0,103.0,50.0,24.0,19.0,18.0,67.0,20.0,21.0,12.0,14.0,13.0,132.0,11.0,79.0,33.0,168.0,34.0
2677,22.0,31.0,36.0,35.0,150.0,2.0,3.0,5.0,56.0,4.0,20.0,21.0,6.0,30.0,10.0,8.0,24.0,43.0,16.0,25.0,26.0,50.0,52.0,51.0,1.0,11.0,38.0,269.0,308.0,270.0
2726,33.0,15.0,9.0,10.0,14.0,0.0,26.0,4.0,13.0,3.0,37.0,38.0,11.0,5.0,8.0,135.0,22.0,32.0,127.0,21.0,20.0,83.0,82.0,81.0,25.0,6.0,54.0,1.0,52.0,2.0
2775,16.0,7.0,3.0,4.0,95.0,6.0,422.0,0.0,5.0,2.0,26.0,25.0,33.0,9.0,48.0,28.0,76.0,81.0,29.0,75.0,77.0,36.0,37.0,38.0,12.0,19.0,22.0,10.0,118.0,11.0
2824,142.0,6.0,4.0,5.0,37.0,3.0,19.0,7.0,1.0,2.0,11.0,12.0,0.0,18.0,14.0,9.0,31.0,45.0,266.0,32.0,33.0,28.0,29.0,27.0,13.0,111.0,149.0,51.0,73.0,50.0
2873,2.0,1.0,4.0,3.0,57.0,37.0,42.0,8.0,0.0,11.0,7.0,6.0,52.0,73.0,85.0,76.0,27.0,34.0,5.0,28.0,29.0,20.0,18.0,19.0,16.0,23.0,22.0,9.0,97.0,10.0
2922,33.0,13.0,36.0,35.0,50.0,9.0,1.0,10.0,20.0,15.0,39.0,37.0,24.0,28.0,31.0,44.0,22.0,71.0,8.0,21.0,23.0,38.0,41.0,40.0,81.0,11.0,49.0,3.0,60.0,4.0
2971,0.0,21.0,32.0,33.0,1.0,31.0,5.0,3.0,18.0,4.0,12.0,13.0,11.0,4369.0,94.0,90.0,62.0,98.0,65.0,63.0,64.0,24.0,23.0,25.0,16.0,2.0,43.0,38.0,27.0,37.0
3020,5.0,2.0,4.0,3.0,0.0,42.0,16.0,48.0,11.0,66.0,14.0,13.0,15.0,633.0,18.0,46.0,55.0,85.0,40.0,54.0,53.0,22.0,24.0,23.0,1.0,8.0,9.0,83.0,35.0,84.0
3069,2.0,6.0,5.0,4.0,0.0,104.0,17.0,13.0,3.0,16.0,11.0,10.0,8.0,863.0,40.0,68.0,31.0,61.0,93.0,30.0,32.0,18.0,19.0,20.0,23.0,34.0,14.0,45.0,49.0,44.0
3118,4.0,2.0,0.0,1.0,6.0,15.0,3.0,8.0,24.0,10.0,12.0,11.0,13.0,2696.0,27.0,69.0,35.0,56.0,51.0,36.0,34.0,21.0,20.0,22.0,5.0,37.0,23.0,44.0,32.0,45.0
3167,1.0,7.0,5.0,6.0,0.0,11.0,13.0,10.0,20.0,19.0,4.0,3.0,47.0,49.0,52.0,61.0,39.0,70.0,69.0,37.0,38.0,17.0,16.0,18.0,12.0,32.0,51.0,41.0,28.0,42.0
3216,0.0,30.0,13.0,14.0,1.0,6.0,7.0,15.0,16.0,19.0,9.0,10.0,4.0,58.0,24.0,62.0,39.0,69.0,649.0,40.0,41.0,21.0,22.0,20.0,5.0,17.0,8.0,29.0,57.0,28.0
3265,0.0,13.0,17.0,16.0,8.0,7.0,1.0,3.0,25.0,2.0,5.0,6.0,4.0,646.0,41.0,92.0,58.0,83.0,135.0,59.0,57.0,18.0,19.0,20.0,10.0,36.0,33.0,22.0,85.0,23.0
3314,3.0,24.0,11.0,12.0,23.0,19.0,1.0,30.0,33.0,35.0,6.0,5.0,10.0,162.0,55.0,113.0,53.0,89.0,1446.0,52.0,51.0,15.0,14.0,13.0,0.0,26.0,37.0,8.0,64.0,7.0
3363,1.0,4.0,11.0,12.0,13.0,3.0,0.0,6.0,10.0,8.0,21.0,20.0,33.0,59.0,36.0,63.0,146.0,2782.0,23.0,147.0,148.0,18.0,19.0,22.0,16.0,2.0,30.0,41.0,57.0,40.0
3412,4.0,1.0,2.0,3.0,0.0,23.0,27.0,6.0,19.0,8.0,10.0,9.0,7.0,587.0,40.0,208.0,79.0,87.0,60.0,80.0,81.0,15.0,17.0,16.0,64.0,65.0,21.0,11.0,26.0,12.0
3461,0.0,25.0,7.0,8.0,4.0,3.0,6.0,1.0,24.0,2.0,49.0,50.0,28.0,5.0,177.0,74.0,12.0,10.0,434.0,11.0,13.0,125.0,126.0,124.0,97.0,143.0,188.0,289.0,44.0,288.0
3510,13.0,7.0,9.0,10.0,0.0,12.0,16.0,11.0,17.0,14.0,51.0,50.0,39.0,8.0,70.0,33.0,4.0,1.0,15.0,3.0,2.0,118.0,119.0,117.0,21.0,40.0,49.0,136.0,58.0,137.0
3559,2.0,5.0,8.0,9.0,25.0,3.0,7.0,39.0,16.0,80.0,29.0,33.0,45.0,0.0,136.0,34.0,13.0,17.0,71.0,14.0,15.0,31.0,30.0,32.0,28.0,56.0,864.0,10.0,85.0,11.0
3608,0.0,24.0,19.0,18.0,5.0,10.0,3.0,2.0,16.0,4.0,124.0,125.0,42.0,11.0,26.0,30.0,14.0,12.0,28.0,15.0,13.0,409.0,407.0,408.0,51.0,6.0,1218.0,127.0,141.0,126.0
3657,1.0,191.0,143.0,142.0,0.0,9.0,5.0,10.0,57.0,18.0,84.0,85.0,34.0,22.0,36.0,26.0,23.0,17.0,102.0,24.0,25.0,166.0,167.0,165.0,51.0,6.0,50.0,114.0,62.0,115.0
3706,11.0,45.0,40.0,39.0,0.0,9.0,1.0,3.0,10.0,12.0,46.0,47.0,18.0,2.0,17.0,27.0,7.0,5.0,161.0,6.0,8.0,89.0,90.0,88.0,37.0,331.0,71.0,33.0,87.0,34.0
3755,3.0,20.0,13.0,14.0,2.0,4.0,6.0,21.0,0.0,33.0,55.0,54.0,31.0,11.0,160.0,24.0,15.0,10.0,71.0,16.0,17.0,102.0,101.0,103.0,46.0,52.0,218.0,26.0,38.0,25.0
3804,1.0,4.0,2.0,3.0,0.0,13.0,30.0,5.0,12.0,8.0,162.0,161.0,37.0,25.0,15.0,114.0,19.0,16.0,171.0,20.0,21.0,389.0,387.0,388.0,44.0,180.0,98.0,155.0,27.0,154.0
3853,1.0,48.0,39.0,38.0,0.0,7.0,6.0,10.0,90.0,18.0,64.0,65.0,46.0,3.0,92.0,59.0,13.0,15.0,4.0,12.0,11.0,133.0,135.0,134.0,8.0,105.0,20.0,117.0,62.0,116.0
3902,1.0,22.0,15.0,14.0,0.0,4.0,35.0,18.0,37.0,30.0,214.0,213.0,36.0,97.0,34.0,5.0,10.0,26.0,32.0,11.0,12.0,854.0,856.0,855.0,28.0,64.0,31.0,331.0,51.0,332.0
3951,38.0,20.0,26.0,25.0,1.0,2.0,37.0,136.0,3.0,76.0,56.0,55.0,13.0,277.0,10.0,7.0,98.0,40.0,15.0,97.0,96.0,124.0,125.0,123.0,45.0,22.0,60.0,27.0,18.0,28.0
4000,118.0,7.0,13.0,12.0,6.0,0.0,1.0,11.0,46.0,8.0,66.0,67.0,9.0,91.0,10.0,146.0,48.0,15.0,30.0,49.0,50.0,140.0,142.0,141.0,24.0,23.0,42.0,4.0,22.0,5.0
4049,0.0,15.0,5.0,6.0,29.0,2.0,11.0,8.0,14.0,7.0,21.0,22.0,45.0,32.0,154.0,23.0,57.0,31.0,13.0,58.0,59.0,35.0,36.0,37.0,125.0,76.0,68.0,19.0,9.0,18.0
4098,19.0,1.0,3.0,4.0,6.0,0.0,27.0,9.0,28.0,5.0,62.0,63.0,15.0,236.0,21.0,34.0,54.0,26.0,11.0,56.0,55.0,118.0,119.0,117.0,93.0,8.0,78.0,113.0,12.0,112.0
4147,3.0,2.0,7.0,6.0,117.0,0.0,13.0,12.0,102.0,11.0,73.0,74.0,34.0,106.0,24.0,8.0,89.0,38.0,4.0,90.0,91.0,72.0,70.0,71.0,54.0,59.0,113.0,20.0,21.0,19.0
4196,34.0,6.0,4.0,3.0,1.0,5.0,33.0,12.0,572.0,8.0,64.0,63.0,18.0,2513.0,0.0,10.0,22.0,28.0,35.0,21.0,20.0,129.0,130.0,131.0,39.0,27.0,2.0,91.0,15.0,92.0
4245,1.0,28.0,30.0,31.0,27.0,0.0,9.0,34.0,190.0,20.0,6.0,5.0,29.0,295.0,7.0,15.0,41.0,21.0,2.0,40.0,39.0,24.0,22.0,23.0,36.0,3.0,14.0,38.0,8.0,37.0
4294,1.0,85.0,109.0,110.0,62.0,0.0,8.0,27.0,101.0,18.0,21.0,22.0,16.0,26.0,4.0,33.0,38.0,25.0,2.0,37.0,36.0,42.0,44.0,43.0,14.0,6.0,752.0,850.0,34.0,849.0
4343,2.0,15.0,18.0,17.0,6.0,32.0,7.0,5.0,31.0,4.0,80.0,81.0,34.0,180.0,12.0,36.0,23.0,13.0,1.0,22.0,21.0,141.0,142.0,140.0,54.0,55.0,39.0,10.0,9.0,11.0
