,1-methylnicotinamide,C22:6 CE,C36:1 DAG,uracil,alpha-glycerophosphocholine,C56:5 TAG,dCMP,GABA,alpha-glycerophosphate,urate,inositol,asparagine,leucine,guanosine,malondialdehyde,C18:0 LPE,creatinine,C18:0 LPC,C34:4 PC,SDMA/ADMA,homocysteine,3-phosphoglycerate,PEP,glutamine,hypoxanthine,pantothenate,C16:0 LPE,serotonin,oxalate,N-carbamoyl-beta-alanine
516,2.0,11.0,22.0,7.0,24.0,6.0,40.0,30.0,20.0,45.0,57.0,16.0,47.0,33.0,38.0,50.0,46.0,12.0,5.0,58.0,35.0,15.0,42.0,21.0,3.0,17.0,13.0,34.0,43.0,62.0
565,8.0,1.0,16.0,0.0,2.0,10.0,43.0,36.0,13.0,47.0,3.0,40.0,7.0,39.0,24.0,29.0,37.0,21.0,28.0,48.0,23.0,27.0,15.0,6.0,25.0,30.0,19.0,5.0,51.0,65.0
614,0.0,8.0,1.0,2.0,25.0,20.0,44.0,11.0,17.0,33.0,34.0,35.0,57.0,24.0,30.0,19.0,48.0,47.0,5.0,63.0,14.0,10.0,37.0,32.0,26.0,6.0,46.0,3.0,21.0,4.0
663,1.0,11.0,5.0,3.0,12.0,39.0,23.0,31.0,55.0,18.0,9.0,15.0,4.0,32.0,2.0,29.0,52.0,26.0,13.0,46.0,24.0,19.0,45.0,50.0,0.0,35.0,57.0,10.0,27.0,8.0
712,1.0,3.0,0.0,29.0,13.0,4.0,7.0,23.0,6.0,47.0,25.0,48.0,51.0,10.0,40.0,35.0,5.0,9.0,36.0,33.0,31.0,15.0,30.0,46.0,14.0,20.0,22.0,64.0,41.0,55.0
761,5.0,17.0,0.0,6.0,28.0,3.0,15.0,52.0,29.0,19.0,49.0,20.0,25.0,26.0,11.0,7.0,30.0,48.0,50.0,63.0,16.0,9.0,36.0,1.0,40.0,44.0,12.0,38.0,46.0,54.0
810,1.0,18.0,4.0,16.0,5.0,11.0,22.0,20.0,17.0,27.0,7.0,43.0,2.0,13.0,29.0,8.0,28.0,24.0,26.0,15.0,60.0,3.0,36.0,30.0,34.0,46.0,48.0,32.0,14.0,49.0
859,0.0,5.0,3.0,21.0,43.0,31.0,1.0,17.0,9.0,19.0,27.0,22.0,7.0,20.0,6.0,2.0,28.0,10.0,15.0,63.0,57.0,8.0,11.0,49.0,40.0,51.0,44.0,50.0,25.0,18.0
908,2.0,8.0,16.0,13.0,12.0,5.0,48.0,14.0,3.0,42.0,10.0,18.0,6.0,34.0,25.0,0.0,23.0,7.0,40.0,15.0,66.0,19.0,28.0,36.0,17.0,33.0,21.0,31.0,27.0,45.0
957,2.0,4.0,0.0,20.0,16.0,7.0,48.0,18.0,6.0,41.0,8.0,11.0,40.0,51.0,14.0,5.0,9.0,23.0,12.0,66.0,19.0,22.0,25.0,49.0,50.0,28.0,37.0,47.0,3.0,64.0
1006,0.0,4.0,1.0,21.0,47.0,35.0,10.0,46.0,25.0,39.0,9.0,22.0,19.0,8.0,26.0,2.0,13.0,16.0,40.0,5.0,12.0,36.0,29.0,58.0,56.0,11.0,38.0,65.0,44.0,17.0
1055,1.0,4.0,0.0,11.0,14.0,46.0,29.0,62.0,36.0,43.0,20.0,59.0,3.0,31.0,27.0,5.0,42.0,23.0,6.0,49.0,24.0,19.0,13.0,56.0,25.0,17.0,30.0,40.0,28.0,32.0
1104,2.0,13.0,1.0,7.0,44.0,14.0,18.0,65.0,20.0,29.0,66.0,50.0,5.0,8.0,21.0,32.0,12.0,17.0,3.0,60.0,19.0,9.0,27.0,56.0,4.0,11.0,26.0,48.0,31.0,16.0
1153,0.0,6.0,20.0,15.0,3.0,14.0,24.0,12.0,59.0,22.0,10.0,40.0,19.0,47.0,9.0,1.0,32.0,17.0,11.0,18.0,23.0,28.0,21.0,16.0,51.0,27.0,35.0,49.0,31.0,45.0
1202,6.0,5.0,2.0,8.0,27.0,10.0,36.0,14.0,47.0,28.0,37.0,60.0,52.0,17.0,16.0,54.0,22.0,25.0,9.0,51.0,12.0,66.0,21.0,20.0,23.0,13.0,50.0,32.0,40.0,33.0
1251,8.0,1.0,5.0,3.0,50.0,4.0,30.0,57.0,53.0,18.0,29.0,58.0,43.0,0.0,28.0,32.0,7.0,21.0,10.0,14.0,6.0,27.0,35.0,11.0,31.0,17.0,24.0,44.0,54.0,51.0
1300,4.0,0.0,9.0,43.0,1.0,8.0,29.0,64.0,3.0,17.0,5.0,25.0,16.0,28.0,21.0,23.0,15.0,24.0,47.0,12.0,11.0,10.0,18.0,22.0,57.0,20.0,33.0,35.0,34.0,59.0
1349,1.0,2.0,0.0,9.0,53.0,6.0,41.0,21.0,29.0,20.0,15.0,39.0,56.0,10.0,30.0,12.0,28.0,11.0,5.0,23.0,7.0,26.0,13.0,35.0,61.0,42.0,17.0,25.0,36.0,49.0
1398,4.0,3.0,12.0,18.0,39.0,5.0,38.0,47.0,58.0,13.0,57.0,43.0,10.0,42.0,33.0,16.0,14.0,9.0,8.0,23.0,2.0,29.0,25.0,60.0,46.0,32.0,31.0,27.0,34.0,48.0
1447,3.0,4.0,0.0,24.0,38.0,7.0,6.0,14.0,43.0,27.0,19.0,45.0,18.0,44.0,28.0,11.0,5.0,15.0,17.0,64.0,26.0,31.0,13.0,29.0,25.0,39.0,52.0,22.0,40.0,57.0
1496,4.0,6.0,21.0,16.0,0.0,5.0,17.0,48.0,11.0,14.0,39.0,10.0,36.0,2.0,34.0,1.0,23.0,18.0,56.0,13.0,25.0,9.0,12.0,58.0,3.0,40.0,19.0,43.0,8.0,54.0
1545,24.0,7.0,56.0,6.0,13.0,11.0,18.0,3.0,21.0,37.0,9.0,28.0,47.0,22.0,15.0,8.0,1.0,39.0,35.0,23.0,40.0,66.0,42.0,45.0,12.0,60.0,27.0,44.0,4.0,5.0
1594,14.0,12.0,17.0,6.0,31.0,0.0,7.0,43.0,28.0,47.0,48.0,9.0,57.0,19.0,20.0,25.0,5.0,51.0,64.0,16.0,23.0,40.0,18.0,44.0,33.0,29.0,26.0,55.0,13.0,58.0
1643,4.0,5.0,0.0,23.0,6.0,14.0,34.0,15.0,3.0,8.0,47.0,28.0,12.0,30.0,38.0,22.0,19.0,17.0,10.0,7.0,42.0,1.0,21.0,26.0,32.0,40.0,11.0,37.0,53.0,25.0
1692,6.0,17.0,0.0,19.0,4.0,1.0,31.0,18.0,64.0,21.0,8.0,38.0,13.0,5.0,42.0,12.0,7.0,43.0,14.0,3.0,2.0,66.0,22.0,30.0,28.0,25.0,23.0,24.0,48.0,15.0
1741,1.0,2.0,0.0,8.0,65.0,4.0,32.0,60.0,13.0,36.0,17.0,46.0,10.0,7.0,31.0,66.0,28.0,12.0,49.0,5.0,15.0,11.0,22.0,18.0,63.0,24.0,30.0,55.0,25.0,26.0
1790,7.0,12.0,6.0,4.0,9.0,11.0,24.0,5.0,2.0,17.0,14.0,41.0,27.0,42.0,25.0,49.0,22.0,18.0,55.0,35.0,19.0,66.0,28.0,1.0,15.0,21.0,13.0,23.0,20.0,39.0
1839,2.0,1.0,40.0,4.0,56.0,6.0,11.0,5.0,7.0,19.0,15.0,47.0,8.0,29.0,23.0,9.0,44.0,10.0,50.0,63.0,41.0,51.0,27.0,3.0,0.0,12.0,34.0,21.0,26.0,20.0
1888,3.0,1.0,28.0,64.0,37.0,8.0,9.0,16.0,2.0,19.0,61.0,20.0,66.0,5.0,11.0,10.0,23.0,13.0,38.0,17.0,51.0,6.0,25.0,50.0,58.0,30.0,14.0,43.0,34.0,12.0
1937,6.0,8.0,41.0,53.0,10.0,2.0,15.0,3.0,0.0,22.0,7.0,21.0,20.0,61.0,29.0,37.0,18.0,46.0,65.0,12.0,66.0,38.0,19.0,16.0,25.0,23.0,34.0,27.0,13.0,32.0
1986,2.0,1.0,31.0,11.0,20.0,18.0,42.0,17.0,29.0,5.0,4.0,32.0,22.0,16.0,8.0,41.0,19.0,34.0,36.0,9.0,25.0,23.0,24.0,3.0,14.0,10.0,33.0,55.0,30.0,27.0
2035,5.0,7.0,17.0,13.0,19.0,57.0,12.0,23.0,27.0,14.0,6.0,26.0,0.0,2.0,16.0,37.0,29.0,22.0,8.0,50.0,35.0,4.0,34.0,1.0,3.0,28.0,31.0,9.0,52.0,21.0
2084,1.0,12.0,7.0,19.0,22.0,6.0,2.0,41.0,11.0,27.0,62.0,16.0,0.0,15.0,18.0,21.0,17.0,23.0,25.0,52.0,66.0,3.0,32.0,4.0,14.0,42.0,36.0,8.0,9.0,10.0
2133,2.0,1.0,45.0,22.0,7.0,18.0,24.0,4.0,35.0,6.0,32.0,51.0,10.0,20.0,12.0,29.0,41.0,34.0,26.0,56.0,52.0,0.0,19.0,42.0,14.0,15.0,50.0,11.0,8.0,58.0
2182,0.0,7.0,6.0,11.0,3.0,27.0,1.0,4.0,46.0,15.0,35.0,23.0,5.0,9.0,14.0,19.0,38.0,17.0,25.0,51.0,40.0,8.0,33.0,61.0,41.0,13.0,30.0,22.0,50.0,42.0
2231,1.0,6.0,9.0,2.0,10.0,22.0,5.0,3.0,0.0,26.0,19.0,31.0,11.0,4.0,8.0,55.0,36.0,28.0,14.0,46.0,23.0,66.0,21.0,44.0,29.0,25.0,34.0,32.0,35.0,16.0
2280,4.0,20.0,9.0,49.0,18.0,31.0,5.0,17.0,6.0,8.0,61.0,53.0,0.0,7.0,16.0,28.0,32.0,27.0,14.0,38.0,22.0,66.0,33.0,62.0,13.0,15.0,47.0,36.0,30.0,1.0
2329,2.0,20.0,12.0,8.0,29.0,53.0,22.0,21.0,0.0,42.0,63.0,37.0,6.0,5.0,11.0,30.0,28.0,39.0,3.0,19.0,43.0,1.0,25.0,17.0,16.0,32.0,18.0,15.0,36.0,41.0
2378,3.0,6.0,10.0,7.0,51.0,11.0,16.0,2.0,35.0,53.0,20.0,26.0,66.0,1.0,22.0,27.0,12.0,47.0,4.0,9.0,52.0,30.0,37.0,18.0,29.0,5.0,23.0,40.0,14.0,25.0
2427,5.0,13.0,4.0,12.0,9.0,14.0,10.0,18.0,44.0,8.0,33.0,2.0,16.0,15.0,31.0,28.0,22.0,30.0,17.0,65.0,55.0,3.0,32.0,11.0,59.0,20.0,29.0,1.0,51.0,57.0
2476,2.0,1.0,39.0,0.0,62.0,50.0,29.0,3.0,13.0,15.0,9.0,17.0,22.0,21.0,11.0,5.0,26.0,8.0,48.0,12.0,24.0,63.0,40.0,65.0,25.0,16.0,37.0,36.0,59.0,18.0
2525,0.0,17.0,4.0,25.0,19.0,29.0,5.0,32.0,10.0,6.0,50.0,8.0,54.0,12.0,23.0,22.0,7.0,16.0,18.0,62.0,61.0,41.0,33.0,20.0,1.0,37.0,31.0,57.0,47.0,36.0
2574,5.0,0.0,27.0,12.0,3.0,15.0,38.0,1.0,13.0,32.0,39.0,19.0,8.0,58.0,23.0,14.0,47.0,33.0,22.0,65.0,55.0,11.0,16.0,30.0,66.0,35.0,25.0,29.0,6.0,9.0
2623,1.0,5.0,7.0,63.0,2.0,8.0,3.0,6.0,40.0,12.0,15.0,17.0,16.0,10.0,9.0,13.0,28.0,27.0,26.0,48.0,25.0,24.0,54.0,4.0,0.0,30.0,38.0,11.0,22.0,19.0
2672,4.0,7.0,6.0,20.0,0.0,1.0,13.0,18.0,54.0,9.0,38.0,11.0,62.0,12.0,14.0,27.0,5.0,28.0,26.0,8.0,59.0,10.0,52.0,2.0,33.0,16.0,19.0,39.0,42.0,3.0
2721,2.0,14.0,62.0,41.0,47.0,1.0,18.0,26.0,6.0,17.0,8.0,12.0,10.0,7.0,15.0,23.0,38.0,22.0,9.0,54.0,21.0,59.0,30.0,0.0,11.0,28.0,27.0,36.0,5.0,29.0
2770,3.0,1.0,31.0,10.0,0.0,6.0,8.0,15.0,22.0,14.0,27.0,12.0,23.0,11.0,35.0,20.0,18.0,17.0,24.0,62.0,49.0,29.0,37.0,47.0,30.0,26.0,41.0,60.0,25.0,19.0
2819,3.0,5.0,7.0,1.0,11.0,24.0,18.0,12.0,2.0,36.0,44.0,34.0,33.0,65.0,14.0,10.0,15.0,17.0,52.0,25.0,0.0,23.0,22.0,63.0,19.0,28.0,30.0,53.0,46.0,48.0
2868,3.0,5.0,31.0,34.0,0.0,24.0,7.0,8.0,2.0,10.0,13.0,11.0,63.0,16.0,26.0,25.0,37.0,14.0,17.0,50.0,49.0,1.0,29.0,4.0,65.0,28.0,32.0,30.0,27.0,42.0
2917,9.0,1.0,16.0,62.0,10.0,8.0,4.0,6.0,24.0,33.0,0.0,7.0,50.0,14.0,15.0,17.0,3.0,31.0,58.0,26.0,5.0,60.0,30.0,2.0,32.0,19.0,34.0,49.0,25.0,11.0
2966,3.0,6.0,9.0,27.0,62.0,10.0,28.0,12.0,47.0,34.0,24.0,7.0,38.0,31.0,13.0,17.0,40.0,21.0,11.0,1.0,46.0,59.0,32.0,39.0,63.0,43.0,36.0,20.0,53.0,29.0
3015,0.0,1.0,25.0,56.0,5.0,64.0,17.0,12.0,11.0,8.0,19.0,47.0,4.0,9.0,16.0,36.0,60.0,6.0,31.0,39.0,15.0,66.0,38.0,22.0,18.0,10.0,30.0,35.0,46.0,20.0
3064,4.0,5.0,64.0,10.0,40.0,50.0,0.0,12.0,24.0,15.0,61.0,26.0,25.0,17.0,39.0,60.0,27.0,9.0,22.0,63.0,16.0,41.0,18.0,62.0,6.0,51.0,21.0,1.0,19.0,55.0
3113,0.0,3.0,5.0,8.0,26.0,25.0,6.0,19.0,52.0,22.0,11.0,28.0,37.0,27.0,10.0,35.0,13.0,40.0,4.0,18.0,17.0,62.0,29.0,54.0,14.0,41.0,42.0,34.0,30.0,56.0
3162,0.0,6.0,8.0,35.0,14.0,15.0,10.0,11.0,33.0,21.0,58.0,32.0,26.0,39.0,17.0,24.0,22.0,13.0,27.0,62.0,47.0,16.0,29.0,25.0,3.0,41.0,43.0,28.0,30.0,37.0
3211,1.0,3.0,0.0,15.0,2.0,22.0,11.0,13.0,38.0,17.0,12.0,28.0,26.0,49.0,33.0,16.0,21.0,37.0,24.0,29.0,42.0,10.0,14.0,6.0,62.0,40.0,45.0,25.0,50.0,19.0
3260,4.0,7.0,14.0,10.0,2.0,0.0,22.0,27.0,36.0,11.0,63.0,24.0,55.0,6.0,38.0,18.0,29.0,8.0,9.0,15.0,13.0,30.0,25.0,61.0,3.0,37.0,60.0,26.0,28.0,12.0
3309,2.0,4.0,0.0,10.0,14.0,38.0,7.0,12.0,34.0,13.0,57.0,8.0,48.0,5.0,21.0,41.0,20.0,17.0,16.0,6.0,22.0,32.0,29.0,33.0,28.0,36.0,43.0,3.0,23.0,37.0
3358,4.0,2.0,32.0,7.0,21.0,35.0,3.0,15.0,12.0,27.0,0.0,17.0,44.0,8.0,20.0,26.0,13.0,19.0,23.0,18.0,14.0,52.0,40.0,65.0,5.0,30.0,42.0,57.0,39.0,66.0
3407,2.0,16.0,0.0,11.0,53.0,64.0,34.0,19.0,32.0,12.0,45.0,8.0,57.0,25.0,13.0,10.0,31.0,20.0,23.0,26.0,27.0,47.0,17.0,4.0,3.0,24.0,14.0,38.0,50.0,42.0
3456,3.0,8.0,57.0,6.0,9.0,5.0,4.0,61.0,16.0,7.0,32.0,36.0,11.0,43.0,15.0,1.0,13.0,44.0,28.0,49.0,26.0,53.0,30.0,66.0,23.0,55.0,29.0,45.0,20.0,33.0
3505,1.0,5.0,7.0,6.0,11.0,16.0,3.0,19.0,25.0,9.0,13.0,32.0,42.0,18.0,2.0,56.0,8.0,28.0,12.0,4.0,20.0,58.0,34.0,0.0,57.0,33.0,24.0,35.0,41.0,43.0
3554,1.0,11.0,35.0,5.0,0.0,17.0,20.0,10.0,15.0,19.0,47.0,54.0,7.0,39.0,12.0,18.0,41.0,30.0,21.0,3.0,36.0,6.0,29.0,13.0,58.0,27.0,26.0,63.0,32.0,25.0
3603,1.0,17.0,9.0,12.0,0.0,51.0,31.0,16.0,3.0,5.0,19.0,4.0,57.0,15.0,8.0,25.0,20.0,13.0,27.0,18.0,32.0,6.0,29.0,66.0,33.0,43.0,28.0,24.0,14.0,36.0
3652,2.0,31.0,4.0,19.0,21.0,15.0,18.0,28.0,10.0,38.0,20.0,54.0,7.0,44.0,16.0,22.0,12.0,23.0,3.0,11.0,41.0,50.0,26.0,5.0,33.0,45.0,49.0,39.0,8.0,48.0
3701,0.0,5.0,33.0,2.0,1.0,35.0,3.0,16.0,17.0,15.0,10.0,6.0,66.0,20.0,47.0,14.0,24.0,4.0,56.0,18.0,9.0,51.0,12.0,28.0,7.0,13.0,32.0,19.0,49.0,34.0
3750,1.0,4.0,3.0,11.0,10.0,42.0,31.0,19.0,41.0,20.0,48.0,23.0,7.0,18.0,37.0,14.0,28.0,12.0,17.0,24.0,36.0,16.0,29.0,8.0,9.0,26.0,44.0,27.0,22.0,39.0
3799,7.0,12.0,55.0,58.0,30.0,23.0,39.0,64.0,8.0,47.0,36.0,22.0,1.0,46.0,14.0,59.0,15.0,26.0,34.0,33.0,0.0,32.0,45.0,6.0,49.0,51.0,19.0,66.0,21.0,40.0
3848,2.0,6.0,3.0,66.0,37.0,32.0,17.0,64.0,12.0,21.0,4.0,14.0,9.0,25.0,5.0,11.0,36.0,24.0,29.0,58.0,22.0,35.0,30.0,0.0,15.0,55.0,39.0,38.0,19.0,54.0
3897,5.0,8.0,39.0,2.0,25.0,38.0,11.0,6.0,28.0,23.0,7.0,13.0,20.0,26.0,52.0,30.0,14.0,29.0,9.0,65.0,44.0,36.0,41.0,10.0,37.0,24.0,15.0,61.0,16.0,49.0
3946,4.0,5.0,0.0,8.0,2.0,7.0,26.0,18.0,33.0,10.0,1.0,13.0,64.0,9.0,15.0,16.0,19.0,24.0,53.0,17.0,28.0,25.0,11.0,27.0,37.0,22.0,14.0,21.0,47.0,55.0
3995,5.0,9.0,4.0,35.0,6.0,3.0,19.0,1.0,41.0,11.0,42.0,8.0,10.0,48.0,29.0,31.0,27.0,20.0,50.0,23.0,30.0,22.0,16.0,28.0,7.0,26.0,13.0,37.0,55.0,25.0
4044,5.0,4.0,9.0,11.0,0.0,7.0,24.0,3.0,32.0,20.0,65.0,16.0,46.0,35.0,33.0,31.0,22.0,28.0,37.0,21.0,18.0,19.0,27.0,12.0,59.0,26.0,8.0,14.0,36.0,17.0
4093,1.0,5.0,0.0,33.0,7.0,6.0,19.0,4.0,51.0,11.0,37.0,20.0,13.0,22.0,27.0,31.0,25.0,34.0,17.0,54.0,15.0,56.0,16.0,62.0,18.0,12.0,46.0,8.0,38.0,28.0
4142,3.0,12.0,0.0,9.0,6.0,32.0,50.0,61.0,36.0,14.0,8.0,23.0,4.0,15.0,39.0,7.0,16.0,41.0,56.0,62.0,30.0,38.0,13.0,35.0,20.0,11.0,59.0,26.0,18.0,21.0
4191,2.0,6.0,3.0,41.0,0.0,1.0,14.0,25.0,13.0,15.0,59.0,65.0,18.0,26.0,24.0,63.0,39.0,21.0,51.0,40.0,29.0,9.0,16.0,53.0,55.0,7.0,38.0,61.0,47.0,43.0
4240,1.0,13.0,19.0,21.0,3.0,23.0,22.0,11.0,16.0,17.0,6.0,8.0,4.0,20.0,34.0,24.0,28.0,9.0,25.0,35.0,39.0,33.0,36.0,32.0,2.0,29.0,18.0,60.0,26.0,27.0
4289,1.0,18.0,4.0,2.0,5.0,25.0,21.0,11.0,3.0,19.0,32.0,26.0,31.0,30.0,34.0,8.0,38.0,49.0,58.0,27.0,36.0,17.0,7.0,12.0,0.0,20.0,14.0,28.0,55.0,13.0
4338,8.0,1.0,16.0,0.0,9.0,30.0,48.0,3.0,53.0,25.0,6.0,40.0,27.0,19.0,7.0,20.0,10.0,49.0,34.0,24.0,37.0,33.0,14.0,28.0,5.0,11.0,66.0,13.0,59.0,29.0
4387,7.0,48.0,4.0,36.0,27.0,0.0,17.0,50.0,6.0,10.0,12.0,56.0,65.0,47.0,43.0,9.0,8.0,35.0,57.0,28.0,44.0,13.0,21.0,40.0,37.0,38.0,52.0,15.0,58.0,39.0
4436,3.0,14.0,28.0,11.0,9.0,4.0,7.0,61.0,10.0,34.0,35.0,5.0,13.0,16.0,39.0,24.0,17.0,23.0,20.0,29.0,63.0,58.0,41.0,21.0,1.0,12.0,18.0,38.0,37.0,40.0
4485,4.0,6.0,32.0,5.0,62.0,2.0,15.0,16.0,9.0,30.0,13.0,22.0,64.0,31.0,27.0,7.0,10.0,14.0,37.0,0.0,24.0,21.0,17.0,46.0,3.0,25.0,26.0,11.0,60.0,19.0
4534,2.0,4.0,21.0,44.0,22.0,16.0,8.0,28.0,1.0,33.0,0.0,15.0,27.0,7.0,14.0,34.0,20.0,10.0,3.0,64.0,30.0,32.0,9.0,60.0,61.0,12.0,24.0,63.0,45.0,46.0
4583,1.0,16.0,4.0,32.0,0.0,6.0,14.0,5.0,7.0,24.0,46.0,10.0,8.0,55.0,26.0,3.0,28.0,15.0,23.0,13.0,17.0,27.0,36.0,21.0,52.0,18.0,41.0,22.0,9.0,37.0
4632,4.0,18.0,27.0,41.0,62.0,12.0,9.0,32.0,5.0,54.0,15.0,19.0,61.0,47.0,21.0,3.0,30.0,35.0,23.0,26.0,40.0,17.0,43.0,7.0,51.0,34.0,13.0,60.0,24.0,10.0
4681,5.0,19.0,11.0,16.0,3.0,22.0,8.0,26.0,46.0,6.0,10.0,7.0,42.0,39.0,32.0,1.0,12.0,47.0,29.0,23.0,61.0,14.0,25.0,9.0,52.0,36.0,58.0,28.0,17.0,4.0
4730,2.0,27.0,37.0,21.0,24.0,7.0,6.0,11.0,1.0,22.0,33.0,15.0,0.0,9.0,20.0,16.0,28.0,25.0,44.0,5.0,10.0,61.0,23.0,4.0,55.0,43.0,39.0,13.0,34.0,64.0
4779,2.0,14.0,31.0,42.0,9.0,5.0,10.0,23.0,1.0,8.0,3.0,7.0,53.0,22.0,13.0,0.0,6.0,49.0,12.0,4.0,18.0,15.0,43.0,35.0,46.0,41.0,38.0,45.0,54.0,16.0
4828,2.0,15.0,63.0,10.0,16.0,31.0,8.0,18.0,23.0,17.0,19.0,1.0,57.0,27.0,20.0,4.0,11.0,30.0,22.0,61.0,12.0,66.0,33.0,44.0,56.0,43.0,25.0,36.0,50.0,47.0
4877,1.0,2.0,14.0,5.0,62.0,16.0,8.0,6.0,0.0,29.0,63.0,4.0,3.0,22.0,19.0,12.0,31.0,25.0,18.0,20.0,61.0,60.0,21.0,34.0,36.0,30.0,27.0,13.0,42.0,24.0
