,pantothenate,isocitrate,beta-alanine,C18:0 LPC,valerylcarnitine,C18:0 LPE,serine,UMP,taurodeoxycholate,C56:5 TAG,DHAP/glyceraldehyde 3P,niacinamide,creatinine,hippurate,oxalate,butyrylcarnitine/isobutyrylcarnitine,GABA,C34:2 DAG,C16:0 LPE,cytidine,guanosine,sarcosine,adenosine,2-deoxyadenosine,C22:6 LPE,phosphocreatine,alpha-glycerophosphate,cotinine,C36:1 DAG,hypoxanthine
3403,4.0,10.0,11.0,2.0,1.0,3.0,17.0,14.0,13.0,19.0,0.0,8.0,5.0,32.0,22.0,9.0,20.0,16.0,6.0,29.0,18.0,31.0,24.0,12.0,30.0,50.0,23.0,25.0,38.0,36.0
3452,1.0,3.0,0.0,22.0,4.0,17.0,6.0,9.0,7.0,35.0,19.0,10.0,27.0,37.0,2.0,24.0,11.0,29.0,23.0,12.0,15.0,18.0,33.0,43.0,5.0,30.0,20.0,16.0,44.0,8.0
3501,2.0,0.0,1.0,9.0,4.0,6.0,8.0,18.0,13.0,30.0,5.0,11.0,10.0,20.0,15.0,17.0,25.0,26.0,7.0,21.0,23.0,35.0,24.0,40.0,34.0,12.0,32.0,22.0,28.0,3.0
3550,2.0,1.0,0.0,4.0,3.0,10.0,5.0,18.0,13.0,30.0,16.0,20.0,11.0,15.0,7.0,9.0,17.0,23.0,6.0,21.0,32.0,26.0,40.0,38.0,24.0,12.0,22.0,19.0,25.0,8.0
3599,1.0,0.0,3.0,8.0,6.0,23.0,2.0,16.0,14.0,35.0,41.0,10.0,17.0,19.0,5.0,11.0,26.0,24.0,15.0,25.0,36.0,31.0,13.0,39.0,12.0,4.0,28.0,22.0,7.0,9.0
3648,0.0,4.0,2.0,3.0,1.0,12.0,8.0,16.0,5.0,39.0,18.0,11.0,19.0,29.0,9.0,26.0,14.0,35.0,7.0,27.0,31.0,53.0,17.0,25.0,13.0,21.0,33.0,20.0,37.0,10.0
3697,2.0,0.0,1.0,12.0,4.0,15.0,3.0,11.0,26.0,21.0,29.0,19.0,10.0,27.0,6.0,8.0,20.0,23.0,7.0,17.0,22.0,40.0,14.0,43.0,18.0,5.0,36.0,16.0,31.0,9.0
3746,1.0,0.0,2.0,6.0,3.0,12.0,5.0,10.0,4.0,42.0,25.0,19.0,23.0,18.0,11.0,17.0,22.0,28.0,7.0,8.0,27.0,49.0,21.0,36.0,26.0,13.0,29.0,20.0,44.0,9.0
3795,2.0,1.0,0.0,3.0,4.0,29.0,10.0,23.0,6.0,30.0,22.0,16.0,9.0,19.0,7.0,25.0,8.0,44.0,12.0,18.0,43.0,50.0,5.0,33.0,17.0,21.0,15.0,28.0,34.0,13.0
3844,7.0,0.0,4.0,9.0,1.0,25.0,2.0,15.0,12.0,41.0,32.0,10.0,8.0,35.0,18.0,19.0,13.0,45.0,5.0,16.0,33.0,50.0,20.0,38.0,37.0,28.0,23.0,11.0,36.0,3.0
3893,1.0,3.0,0.0,2.0,4.0,5.0,7.0,23.0,13.0,31.0,18.0,11.0,14.0,17.0,6.0,16.0,9.0,19.0,10.0,20.0,37.0,38.0,15.0,22.0,40.0,8.0,32.0,26.0,33.0,12.0
3942,0.0,2.0,8.0,3.0,10.0,1.0,9.0,4.0,11.0,14.0,7.0,12.0,6.0,25.0,46.0,44.0,15.0,19.0,34.0,28.0,26.0,29.0,16.0,18.0,24.0,5.0,17.0,13.0,30.0,27.0
3991,0.0,5.0,1.0,2.0,16.0,9.0,11.0,24.0,6.0,7.0,13.0,18.0,4.0,19.0,36.0,35.0,3.0,27.0,31.0,33.0,10.0,23.0,15.0,47.0,38.0,29.0,12.0,14.0,20.0,21.0
4040,1.0,0.0,6.0,4.0,5.0,2.0,13.0,15.0,3.0,9.0,11.0,7.0,12.0,17.0,37.0,30.0,16.0,23.0,47.0,24.0,27.0,18.0,29.0,33.0,32.0,42.0,8.0,25.0,14.0,38.0
4089,0.0,1.0,2.0,8.0,16.0,3.0,5.0,30.0,20.0,15.0,6.0,13.0,26.0,4.0,40.0,57.0,35.0,39.0,41.0,12.0,36.0,22.0,11.0,50.0,19.0,9.0,21.0,23.0,7.0,18.0
4138,0.0,3.0,1.0,14.0,19.0,36.0,23.0,16.0,5.0,20.0,6.0,9.0,7.0,22.0,12.0,38.0,21.0,37.0,50.0,11.0,46.0,27.0,24.0,28.0,26.0,10.0,18.0,17.0,2.0,13.0
4187,0.0,5.0,3.0,2.0,34.0,4.0,1.0,15.0,9.0,7.0,28.0,13.0,6.0,12.0,26.0,17.0,14.0,32.0,35.0,18.0,39.0,11.0,8.0,43.0,10.0,16.0,20.0,24.0,23.0,44.0
4236,0.0,8.0,9.0,4.0,1.0,2.0,13.0,38.0,12.0,16.0,17.0,3.0,19.0,20.0,10.0,25.0,6.0,30.0,15.0,18.0,7.0,28.0,41.0,23.0,27.0,11.0,5.0,21.0,22.0,35.0
4285,0.0,5.0,1.0,8.0,12.0,3.0,23.0,30.0,13.0,7.0,17.0,34.0,2.0,4.0,22.0,11.0,9.0,45.0,25.0,28.0,16.0,14.0,19.0,21.0,35.0,29.0,18.0,6.0,37.0,33.0
4334,0.0,3.0,4.0,7.0,6.0,1.0,15.0,34.0,8.0,5.0,18.0,24.0,12.0,20.0,13.0,28.0,9.0,25.0,59.0,29.0,16.0,2.0,22.0,21.0,14.0,33.0,11.0,19.0,17.0,46.0
4383,0.0,1.0,6.0,4.0,9.0,2.0,17.0,19.0,8.0,3.0,16.0,11.0,15.0,10.0,21.0,30.0,27.0,24.0,48.0,25.0,35.0,13.0,28.0,22.0,36.0,12.0,23.0,5.0,14.0,20.0
4432,1.0,2.0,19.0,0.0,6.0,8.0,18.0,10.0,17.0,11.0,28.0,3.0,4.0,12.0,15.0,21.0,22.0,20.0,7.0,14.0,9.0,25.0,16.0,36.0,13.0,5.0,24.0,31.0,51.0,30.0
4481,2.0,0.0,1.0,3.0,13.0,23.0,16.0,11.0,19.0,4.0,17.0,12.0,5.0,14.0,30.0,6.0,10.0,28.0,21.0,25.0,8.0,7.0,15.0,29.0,9.0,20.0,27.0,22.0,41.0,45.0
4530,11.0,1.0,4.0,2.0,0.0,20.0,3.0,6.0,14.0,15.0,18.0,10.0,7.0,25.0,13.0,19.0,5.0,28.0,9.0,12.0,8.0,26.0,21.0,22.0,17.0,16.0,30.0,35.0,40.0,39.0
4579,1.0,0.0,3.0,2.0,4.0,37.0,9.0,7.0,27.0,13.0,25.0,16.0,14.0,15.0,17.0,11.0,6.0,19.0,10.0,32.0,20.0,21.0,8.0,44.0,12.0,24.0,26.0,35.0,22.0,41.0
4628,3.0,0.0,19.0,1.0,2.0,4.0,20.0,10.0,23.0,17.0,35.0,9.0,5.0,13.0,27.0,7.0,36.0,14.0,21.0,11.0,25.0,8.0,18.0,29.0,34.0,16.0,30.0,28.0,43.0,26.0
4677,2.0,0.0,7.0,3.0,1.0,13.0,12.0,5.0,20.0,17.0,26.0,19.0,9.0,30.0,15.0,10.0,6.0,8.0,27.0,28.0,4.0,22.0,11.0,16.0,14.0,31.0,34.0,18.0,23.0,29.0
4726,3.0,0.0,1.0,4.0,2.0,34.0,10.0,6.0,33.0,12.0,28.0,9.0,8.0,35.0,15.0,16.0,7.0,14.0,29.0,21.0,5.0,17.0,24.0,19.0,11.0,51.0,36.0,13.0,37.0,38.0
4775,2.0,0.0,5.0,1.0,9.0,15.0,22.0,4.0,23.0,8.0,28.0,17.0,24.0,16.0,12.0,7.0,13.0,11.0,26.0,10.0,3.0,6.0,18.0,14.0,29.0,27.0,34.0,35.0,20.0,19.0
4824,2.0,0.0,3.0,1.0,4.0,8.0,11.0,9.0,14.0,6.0,13.0,19.0,10.0,21.0,23.0,7.0,5.0,15.0,24.0,27.0,12.0,17.0,26.0,22.0,18.0,30.0,25.0,29.0,45.0,28.0
4873,0.0,2.0,7.0,1.0,5.0,21.0,9.0,3.0,14.0,10.0,28.0,20.0,19.0,13.0,17.0,6.0,22.0,12.0,25.0,23.0,8.0,11.0,37.0,4.0,15.0,16.0,31.0,18.0,26.0,34.0
