,A-Raf_pS299,MEK1_pS217_S221,PKC-delta_pS664,CDK1,Akt_pS473,IGFBP2,BRCA2,4E-BP1,p70S6K_pT389,Annexin_VII,MIG-6,MDM2_pS166,PRAS40_pT246,VEGFR2,Rab25,Notch1,RSK1-2-3,GAPDH,14-3-3_zeta,IRS1,Src_pY527,VAV1,Claudin-7,PREX1,c-Kit,Chk2_pT68,Bcl-2,INPP4B,PDK1,Gab2
495,10.0,16.0,71.0,43.0,7.0,45.0,134.0,5.0,36.0,80.0,66.0,107.0,50.0,44.0,37.0,22.0,3.0,17.0,33.0,94.0,127.0,56.0,84.0,75.0,24.0,106.0,21.0,157.0,51.0,74.0
544,9.0,11.0,114.0,21.0,13.0,0.0,20.0,16.0,61.0,8.0,26.0,22.0,14.0,28.0,149.0,145.0,44.0,4.0,46.0,69.0,74.0,93.0,3.0,85.0,98.0,75.0,73.0,23.0,59.0,87.0
593,7.0,26.0,105.0,17.0,16.0,28.0,130.0,21.0,61.0,27.0,36.0,102.0,40.0,39.0,3.0,37.0,49.0,13.0,18.0,2.0,104.0,54.0,33.0,91.0,70.0,12.0,23.0,154.0,55.0,15.0
642,7.0,36.0,71.0,16.0,20.0,5.0,113.0,30.0,15.0,27.0,69.0,46.0,108.0,73.0,163.0,149.0,52.0,26.0,137.0,44.0,2.0,58.0,43.0,100.0,81.0,49.0,67.0,37.0,87.0,48.0
691,18.0,9.0,25.0,21.0,4.0,46.0,0.0,31.0,38.0,67.0,37.0,3.0,55.0,44.0,161.0,141.0,32.0,36.0,33.0,57.0,52.0,58.0,157.0,50.0,56.0,158.0,66.0,69.0,34.0,74.0
740,13.0,6.0,36.0,15.0,25.0,75.0,17.0,32.0,90.0,12.0,55.0,50.0,29.0,41.0,8.0,63.0,38.0,18.0,47.0,159.0,19.0,73.0,89.0,31.0,101.0,54.0,109.0,33.0,92.0,64.0
789,12.0,8.0,161.0,47.0,28.0,31.0,3.0,49.0,35.0,38.0,34.0,11.0,21.0,53.0,22.0,39.0,81.0,139.0,16.0,85.0,10.0,40.0,17.0,75.0,114.0,82.0,61.0,117.0,155.0,96.0
838,11.0,25.0,74.0,16.0,35.0,24.0,6.0,46.0,62.0,68.0,20.0,163.0,14.0,18.0,123.0,7.0,12.0,17.0,28.0,157.0,23.0,43.0,41.0,73.0,66.0,130.0,32.0,158.0,83.0,10.0
887,1.0,8.0,32.0,18.0,6.0,41.0,101.0,9.0,68.0,21.0,64.0,87.0,57.0,28.0,34.0,12.0,95.0,160.0,58.0,29.0,4.0,90.0,89.0,55.0,52.0,48.0,51.0,17.0,46.0,84.0
936,2.0,3.0,19.0,58.0,12.0,102.0,41.0,45.0,95.0,25.0,73.0,83.0,14.0,46.0,79.0,153.0,91.0,22.0,86.0,56.0,10.0,123.0,36.0,35.0,50.0,49.0,60.0,158.0,149.0,29.0
985,6.0,22.0,45.0,38.0,25.0,28.0,34.0,11.0,8.0,84.0,17.0,2.0,70.0,32.0,82.0,90.0,105.0,36.0,117.0,10.0,40.0,102.0,46.0,43.0,64.0,67.0,89.0,136.0,39.0,58.0
1034,7.0,6.0,161.0,16.0,99.0,20.0,12.0,19.0,106.0,9.0,25.0,3.0,1.0,53.0,137.0,158.0,74.0,119.0,69.0,155.0,45.0,31.0,77.0,61.0,32.0,62.0,122.0,13.0,36.0,57.0
1083,26.0,28.0,102.0,15.0,70.0,63.0,11.0,118.0,20.0,116.0,18.0,13.0,56.0,24.0,149.0,96.0,113.0,2.0,66.0,110.0,99.0,30.0,49.0,58.0,90.0,73.0,62.0,141.0,35.0,67.0
1132,7.0,36.0,147.0,19.0,104.0,5.0,51.0,33.0,35.0,83.0,68.0,10.0,12.0,50.0,1.0,119.0,76.0,154.0,57.0,46.0,8.0,41.0,59.0,55.0,87.0,109.0,84.0,4.0,37.0,67.0
1181,14.0,5.0,6.0,45.0,50.0,34.0,84.0,52.0,3.0,21.0,46.0,2.0,8.0,24.0,0.0,114.0,70.0,31.0,138.0,69.0,20.0,75.0,94.0,47.0,60.0,126.0,38.0,18.0,30.0,95.0
1230,41.0,11.0,144.0,6.0,28.0,51.0,47.0,34.0,60.0,26.0,49.0,3.0,21.0,7.0,9.0,15.0,66.0,141.0,42.0,97.0,13.0,63.0,83.0,57.0,40.0,105.0,56.0,37.0,76.0,27.0
1279,18.0,6.0,156.0,63.0,14.0,22.0,8.0,118.0,12.0,7.0,16.0,1.0,45.0,21.0,55.0,122.0,5.0,31.0,36.0,9.0,99.0,66.0,19.0,42.0,115.0,35.0,91.0,76.0,73.0,69.0
1328,13.0,19.0,104.0,38.0,36.0,4.0,59.0,41.0,9.0,35.0,49.0,5.0,69.0,52.0,155.0,25.0,129.0,67.0,71.0,43.0,60.0,63.0,21.0,40.0,34.0,23.0,62.0,8.0,50.0,28.0
1377,23.0,72.0,59.0,15.0,26.0,8.0,42.0,118.0,22.0,12.0,112.0,141.0,2.0,31.0,157.0,13.0,47.0,148.0,32.0,79.0,0.0,19.0,28.0,43.0,49.0,81.0,104.0,142.0,98.0,92.0
1426,28.0,6.0,157.0,39.0,34.0,20.0,0.0,85.0,65.0,66.0,73.0,11.0,42.0,50.0,162.0,21.0,1.0,81.0,94.0,137.0,32.0,58.0,5.0,83.0,47.0,38.0,51.0,3.0,107.0,114.0
1475,38.0,20.0,5.0,14.0,15.0,24.0,18.0,3.0,19.0,1.0,37.0,44.0,154.0,57.0,117.0,28.0,36.0,158.0,59.0,163.0,110.0,73.0,109.0,21.0,54.0,10.0,69.0,70.0,85.0,6.0
1524,25.0,10.0,34.0,9.0,27.0,22.0,26.0,51.0,29.0,79.0,154.0,66.0,41.0,105.0,31.0,48.0,23.0,7.0,62.0,98.0,5.0,55.0,30.0,43.0,74.0,71.0,49.0,28.0,83.0,18.0
1573,10.0,68.0,0.0,19.0,50.0,22.0,102.0,28.0,4.0,47.0,16.0,112.0,21.0,72.0,9.0,42.0,30.0,107.0,56.0,108.0,7.0,23.0,148.0,27.0,77.0,59.0,54.0,150.0,46.0,94.0
1622,45.0,18.0,0.0,12.0,70.0,11.0,10.0,88.0,20.0,33.0,13.0,35.0,97.0,87.0,64.0,98.0,25.0,7.0,44.0,34.0,14.0,31.0,71.0,61.0,82.0,41.0,53.0,143.0,74.0,24.0
1671,46.0,26.0,45.0,14.0,31.0,76.0,18.0,53.0,9.0,28.0,70.0,83.0,35.0,95.0,1.0,12.0,55.0,155.0,20.0,146.0,111.0,69.0,30.0,48.0,68.0,41.0,32.0,147.0,21.0,2.0
1720,49.0,21.0,15.0,24.0,62.0,6.0,120.0,106.0,59.0,89.0,52.0,48.0,65.0,66.0,63.0,55.0,69.0,123.0,91.0,58.0,13.0,100.0,87.0,118.0,50.0,43.0,40.0,25.0,23.0,7.0
1769,7.0,11.0,1.0,22.0,41.0,46.0,16.0,116.0,23.0,25.0,13.0,78.0,17.0,115.0,107.0,64.0,61.0,127.0,56.0,80.0,109.0,19.0,76.0,68.0,48.0,71.0,62.0,161.0,20.0,18.0
1818,57.0,8.0,0.0,36.0,28.0,32.0,48.0,34.0,27.0,53.0,44.0,161.0,23.0,14.0,136.0,20.0,80.0,115.0,111.0,138.0,87.0,73.0,156.0,16.0,64.0,13.0,66.0,142.0,104.0,15.0
1867,13.0,14.0,2.0,12.0,68.0,19.0,29.0,27.0,62.0,37.0,49.0,8.0,11.0,110.0,38.0,21.0,125.0,100.0,41.0,76.0,123.0,95.0,130.0,98.0,28.0,60.0,54.0,36.0,88.0,99.0
1916,44.0,12.0,6.0,16.0,20.0,10.0,29.0,13.0,56.0,17.0,41.0,84.0,66.0,42.0,99.0,49.0,161.0,103.0,71.0,105.0,0.0,58.0,125.0,90.0,21.0,124.0,51.0,53.0,55.0,14.0
1965,5.0,7.0,63.0,96.0,21.0,154.0,12.0,33.0,10.0,45.0,44.0,102.0,64.0,116.0,34.0,11.0,14.0,19.0,36.0,52.0,13.0,70.0,105.0,56.0,94.0,26.0,95.0,117.0,90.0,85.0
2014,42.0,3.0,5.0,39.0,9.0,21.0,93.0,17.0,31.0,55.0,38.0,64.0,35.0,20.0,6.0,7.0,15.0,23.0,81.0,90.0,2.0,98.0,46.0,12.0,82.0,11.0,41.0,63.0,62.0,159.0
2063,10.0,5.0,85.0,117.0,19.0,39.0,16.0,6.0,12.0,69.0,37.0,0.0,89.0,22.0,53.0,31.0,1.0,11.0,36.0,52.0,126.0,96.0,132.0,77.0,67.0,17.0,95.0,71.0,123.0,144.0
2112,2.0,11.0,37.0,17.0,30.0,163.0,53.0,142.0,19.0,36.0,45.0,0.0,41.0,119.0,112.0,44.0,4.0,56.0,51.0,22.0,59.0,35.0,107.0,63.0,81.0,31.0,16.0,155.0,39.0,12.0
2161,11.0,18.0,0.0,32.0,13.0,24.0,136.0,33.0,25.0,28.0,39.0,137.0,96.0,102.0,160.0,37.0,5.0,103.0,53.0,43.0,117.0,68.0,52.0,62.0,30.0,41.0,17.0,45.0,31.0,67.0
2210,33.0,1.0,13.0,31.0,9.0,30.0,86.0,134.0,34.0,55.0,65.0,74.0,56.0,64.0,12.0,10.0,80.0,152.0,68.0,69.0,3.0,54.0,6.0,91.0,109.0,40.0,57.0,20.0,103.0,151.0
2259,56.0,8.0,1.0,38.0,21.0,107.0,23.0,11.0,58.0,76.0,87.0,14.0,164.0,48.0,152.0,16.0,160.0,12.0,59.0,98.0,91.0,71.0,45.0,90.0,95.0,75.0,99.0,46.0,19.0,111.0
2308,25.0,7.0,56.0,18.0,15.0,50.0,60.0,22.0,29.0,42.0,55.0,34.0,44.0,108.0,2.0,20.0,1.0,11.0,47.0,43.0,98.0,52.0,79.0,26.0,137.0,66.0,83.0,17.0,53.0,102.0
2357,36.0,10.0,5.0,57.0,18.0,73.0,84.0,105.0,42.0,31.0,54.0,153.0,66.0,93.0,2.0,12.0,40.0,28.0,29.0,9.0,47.0,83.0,60.0,59.0,16.0,32.0,48.0,0.0,38.0,63.0
2406,10.0,7.0,0.0,54.0,23.0,18.0,65.0,12.0,14.0,59.0,5.0,43.0,30.0,113.0,48.0,53.0,37.0,83.0,21.0,11.0,101.0,80.0,38.0,117.0,22.0,44.0,33.0,156.0,49.0,41.0
2455,9.0,12.0,0.0,11.0,21.0,41.0,73.0,15.0,30.0,54.0,42.0,99.0,18.0,100.0,4.0,77.0,26.0,29.0,89.0,93.0,51.0,53.0,106.0,61.0,67.0,17.0,50.0,150.0,92.0,24.0
2504,6.0,36.0,4.0,10.0,27.0,12.0,94.0,118.0,73.0,33.0,28.0,109.0,15.0,84.0,5.0,156.0,66.0,26.0,133.0,23.0,37.0,46.0,85.0,22.0,70.0,116.0,16.0,50.0,31.0,58.0
2553,11.0,16.0,49.0,10.0,22.0,19.0,135.0,71.0,34.0,139.0,110.0,82.0,102.0,60.0,4.0,106.0,36.0,1.0,43.0,9.0,72.0,42.0,115.0,146.0,100.0,6.0,17.0,117.0,39.0,54.0
2602,19.0,28.0,0.0,7.0,14.0,13.0,104.0,68.0,25.0,83.0,44.0,113.0,6.0,67.0,15.0,41.0,42.0,97.0,35.0,34.0,65.0,46.0,48.0,20.0,114.0,56.0,16.0,150.0,33.0,9.0
2651,24.0,27.0,0.0,4.0,23.0,6.0,26.0,43.0,75.0,72.0,105.0,89.0,15.0,67.0,8.0,144.0,34.0,50.0,48.0,25.0,7.0,44.0,101.0,62.0,85.0,11.0,124.0,20.0,88.0,21.0
2700,10.0,38.0,6.0,13.0,71.0,8.0,59.0,141.0,30.0,137.0,151.0,32.0,5.0,63.0,0.0,148.0,55.0,67.0,27.0,20.0,75.0,52.0,41.0,79.0,60.0,127.0,58.0,156.0,43.0,56.0
2749,1.0,37.0,3.0,2.0,23.0,12.0,6.0,34.0,32.0,57.0,63.0,74.0,28.0,67.0,153.0,30.0,24.0,8.0,18.0,72.0,21.0,83.0,49.0,10.0,95.0,42.0,65.0,46.0,107.0,66.0
2798,3.0,31.0,93.0,21.0,7.0,17.0,141.0,47.0,29.0,2.0,113.0,23.0,57.0,110.0,42.0,41.0,48.0,146.0,64.0,61.0,43.0,103.0,63.0,26.0,40.0,88.0,82.0,22.0,25.0,28.0
2847,11.0,31.0,13.0,20.0,22.0,18.0,132.0,6.0,27.0,67.0,61.0,74.0,25.0,73.0,5.0,59.0,14.0,162.0,24.0,50.0,45.0,54.0,37.0,105.0,78.0,15.0,112.0,36.0,44.0,12.0
2896,1.0,16.0,0.0,10.0,44.0,154.0,11.0,33.0,17.0,60.0,71.0,57.0,18.0,39.0,4.0,23.0,31.0,63.0,35.0,66.0,111.0,94.0,133.0,58.0,64.0,29.0,22.0,47.0,69.0,14.0
2945,20.0,29.0,7.0,16.0,63.0,10.0,32.0,15.0,18.0,13.0,26.0,27.0,129.0,105.0,0.0,161.0,43.0,76.0,34.0,70.0,61.0,11.0,91.0,95.0,22.0,24.0,71.0,8.0,49.0,79.0
2994,34.0,13.0,10.0,25.0,17.0,14.0,27.0,143.0,33.0,57.0,2.0,44.0,16.0,47.0,38.0,41.0,89.0,162.0,50.0,19.0,105.0,43.0,63.0,71.0,54.0,77.0,104.0,1.0,149.0,49.0
3043,52.0,28.0,0.0,21.0,3.0,23.0,54.0,65.0,39.0,15.0,86.0,152.0,53.0,68.0,161.0,11.0,118.0,148.0,83.0,41.0,32.0,69.0,24.0,38.0,13.0,139.0,67.0,12.0,42.0,75.0
3092,41.0,30.0,150.0,3.0,26.0,134.0,17.0,77.0,145.0,34.0,140.0,10.0,8.0,62.0,148.0,131.0,12.0,162.0,52.0,31.0,76.0,32.0,44.0,25.0,115.0,71.0,92.0,105.0,43.0,15.0
3141,14.0,25.0,22.0,17.0,39.0,7.0,11.0,27.0,40.0,72.0,64.0,21.0,12.0,96.0,18.0,61.0,93.0,162.0,81.0,10.0,55.0,89.0,42.0,35.0,29.0,127.0,111.0,57.0,147.0,47.0
3190,8.0,24.0,40.0,43.0,19.0,26.0,1.0,37.0,73.0,25.0,18.0,3.0,32.0,23.0,46.0,106.0,63.0,6.0,67.0,75.0,70.0,49.0,68.0,74.0,55.0,137.0,88.0,156.0,89.0,35.0
3239,10.0,14.0,58.0,39.0,12.0,37.0,92.0,1.0,46.0,74.0,11.0,114.0,109.0,53.0,5.0,27.0,61.0,19.0,16.0,21.0,96.0,9.0,105.0,54.0,24.0,86.0,60.0,150.0,69.0,101.0
3288,33.0,31.0,5.0,14.0,46.0,23.0,78.0,142.0,59.0,40.0,17.0,100.0,4.0,38.0,13.0,6.0,108.0,110.0,60.0,35.0,62.0,43.0,129.0,86.0,9.0,130.0,61.0,65.0,111.0,118.0
3337,4.0,28.0,7.0,25.0,43.0,1.0,14.0,69.0,50.0,12.0,64.0,3.0,76.0,58.0,134.0,104.0,107.0,53.0,41.0,38.0,32.0,42.0,111.0,35.0,29.0,10.0,93.0,20.0,108.0,48.0
3386,71.0,10.0,17.0,81.0,7.0,12.0,0.0,106.0,45.0,14.0,61.0,24.0,62.0,27.0,160.0,1.0,94.0,163.0,56.0,41.0,130.0,63.0,113.0,38.0,43.0,42.0,103.0,79.0,101.0,92.0
3435,13.0,11.0,24.0,28.0,15.0,20.0,159.0,16.0,66.0,30.0,40.0,155.0,105.0,49.0,154.0,42.0,9.0,122.0,118.0,43.0,123.0,62.0,82.0,33.0,125.0,87.0,74.0,32.0,78.0,27.0
3484,5.0,18.0,3.0,12.0,28.0,10.0,129.0,24.0,103.0,27.0,32.0,46.0,57.0,64.0,6.0,38.0,161.0,61.0,69.0,82.0,39.0,29.0,16.0,47.0,19.0,107.0,102.0,72.0,34.0,104.0
3533,4.0,21.0,54.0,98.0,22.0,93.0,121.0,10.0,67.0,32.0,55.0,3.0,38.0,79.0,153.0,45.0,2.0,0.0,66.0,24.0,70.0,80.0,33.0,53.0,48.0,113.0,108.0,20.0,87.0,11.0
3582,1.0,18.0,158.0,17.0,24.0,6.0,11.0,3.0,25.0,37.0,96.0,31.0,160.0,21.0,66.0,87.0,118.0,7.0,68.0,80.0,33.0,23.0,58.0,107.0,70.0,91.0,74.0,0.0,8.0,38.0
3631,6.0,55.0,2.0,15.0,28.0,5.0,40.0,17.0,41.0,7.0,63.0,156.0,69.0,96.0,149.0,153.0,85.0,39.0,112.0,54.0,4.0,60.0,37.0,23.0,115.0,67.0,31.0,24.0,11.0,103.0
3680,6.0,9.0,16.0,58.0,12.0,14.0,2.0,75.0,147.0,136.0,78.0,88.0,46.0,45.0,113.0,151.0,119.0,0.0,73.0,11.0,27.0,50.0,10.0,107.0,89.0,125.0,54.0,28.0,94.0,18.0
3729,4.0,14.0,22.0,27.0,13.0,71.0,15.0,23.0,32.0,64.0,21.0,10.0,81.0,34.0,130.0,154.0,16.0,148.0,62.0,87.0,89.0,24.0,50.0,8.0,59.0,28.0,54.0,93.0,35.0,49.0
3778,9.0,6.0,0.0,21.0,25.0,4.0,2.0,7.0,24.0,27.0,39.0,13.0,35.0,60.0,119.0,152.0,92.0,78.0,72.0,62.0,1.0,33.0,3.0,59.0,80.0,64.0,58.0,19.0,68.0,37.0
3827,5.0,7.0,1.0,24.0,17.0,49.0,0.0,32.0,43.0,19.0,40.0,65.0,99.0,80.0,78.0,153.0,73.0,66.0,144.0,104.0,36.0,53.0,11.0,76.0,106.0,118.0,31.0,14.0,110.0,83.0
3876,58.0,8.0,19.0,73.0,15.0,53.0,1.0,17.0,55.0,3.0,26.0,29.0,99.0,25.0,105.0,61.0,4.0,109.0,116.0,24.0,119.0,104.0,81.0,12.0,108.0,93.0,33.0,13.0,70.0,161.0
3925,9.0,16.0,124.0,38.0,32.0,157.0,4.0,6.0,20.0,52.0,17.0,5.0,63.0,18.0,14.0,96.0,111.0,163.0,87.0,53.0,58.0,29.0,28.0,108.0,40.0,13.0,39.0,156.0,65.0,69.0
3974,49.0,33.0,13.0,10.0,32.0,6.0,92.0,30.0,3.0,50.0,21.0,23.0,76.0,134.0,34.0,57.0,160.0,47.0,80.0,119.0,0.0,120.0,4.0,41.0,19.0,53.0,64.0,18.0,55.0,60.0
4023,7.0,43.0,15.0,20.0,29.0,143.0,45.0,138.0,16.0,77.0,23.0,110.0,31.0,6.0,115.0,142.0,160.0,34.0,18.0,38.0,67.0,75.0,155.0,49.0,102.0,14.0,47.0,85.0,8.0,73.0
4072,20.0,7.0,80.0,108.0,10.0,159.0,9.0,132.0,3.0,17.0,13.0,0.0,44.0,38.0,19.0,153.0,25.0,32.0,50.0,98.0,58.0,84.0,142.0,62.0,75.0,112.0,54.0,96.0,68.0,39.0
4121,1.0,21.0,37.0,47.0,13.0,27.0,24.0,128.0,154.0,95.0,43.0,7.0,71.0,65.0,93.0,44.0,116.0,41.0,129.0,32.0,124.0,23.0,156.0,62.0,46.0,56.0,82.0,11.0,35.0,67.0
4170,5.0,13.0,0.0,29.0,30.0,138.0,79.0,118.0,11.0,24.0,22.0,8.0,10.0,23.0,16.0,64.0,134.0,53.0,42.0,21.0,73.0,122.0,163.0,43.0,39.0,20.0,65.0,137.0,9.0,31.0
4219,7.0,12.0,84.0,73.0,35.0,98.0,25.0,1.0,88.0,101.0,53.0,77.0,30.0,47.0,16.0,59.0,63.0,2.0,71.0,52.0,23.0,0.0,93.0,32.0,67.0,56.0,80.0,60.0,87.0,86.0
4268,3.0,27.0,6.0,14.0,35.0,1.0,119.0,81.0,2.0,59.0,18.0,43.0,7.0,21.0,10.0,85.0,55.0,19.0,130.0,76.0,65.0,33.0,22.0,69.0,58.0,113.0,111.0,54.0,41.0,148.0
4317,17.0,24.0,2.0,21.0,49.0,124.0,84.0,7.0,12.0,11.0,30.0,4.0,155.0,53.0,92.0,50.0,101.0,5.0,115.0,118.0,106.0,42.0,86.0,26.0,55.0,110.0,34.0,32.0,19.0,51.0
4366,3.0,85.0,82.0,48.0,49.0,10.0,64.0,17.0,78.0,53.0,37.0,119.0,152.0,110.0,155.0,19.0,23.0,59.0,114.0,130.0,42.0,58.0,5.0,92.0,21.0,13.0,46.0,7.0,35.0,50.0
4415,52.0,2.0,3.0,9.0,31.0,25.0,5.0,96.0,156.0,13.0,12.0,6.0,81.0,103.0,147.0,152.0,129.0,99.0,53.0,22.0,76.0,97.0,136.0,132.0,39.0,73.0,66.0,143.0,65.0,106.0
4464,28.0,7.0,0.0,16.0,23.0,51.0,1.0,12.0,25.0,14.0,13.0,20.0,80.0,53.0,74.0,50.0,24.0,56.0,30.0,41.0,52.0,55.0,142.0,161.0,88.0,115.0,64.0,144.0,77.0,40.0
4513,22.0,2.0,4.0,26.0,17.0,50.0,14.0,33.0,3.0,6.0,16.0,35.0,51.0,47.0,159.0,15.0,56.0,163.0,131.0,80.0,24.0,128.0,95.0,29.0,42.0,20.0,45.0,82.0,46.0,19.0
4562,11.0,9.0,8.0,16.0,19.0,144.0,2.0,3.0,146.0,45.0,14.0,52.0,71.0,42.0,1.0,106.0,4.0,5.0,27.0,65.0,86.0,77.0,131.0,23.0,37.0,73.0,41.0,143.0,60.0,120.0
4611,27.0,18.0,1.0,16.0,17.0,5.0,12.0,20.0,19.0,3.0,60.0,155.0,35.0,6.0,162.0,62.0,26.0,32.0,11.0,90.0,129.0,41.0,8.0,161.0,33.0,40.0,63.0,152.0,79.0,84.0
4660,28.0,29.0,2.0,9.0,25.0,6.0,3.0,8.0,95.0,14.0,0.0,11.0,52.0,63.0,114.0,42.0,101.0,12.0,40.0,154.0,57.0,86.0,7.0,108.0,43.0,51.0,16.0,163.0,36.0,103.0
4709,69.0,18.0,1.0,4.0,21.0,143.0,5.0,51.0,9.0,10.0,27.0,38.0,43.0,40.0,54.0,19.0,92.0,6.0,34.0,79.0,31.0,30.0,75.0,160.0,7.0,55.0,70.0,144.0,99.0,52.0
4758,25.0,7.0,3.0,5.0,21.0,4.0,0.0,126.0,6.0,39.0,37.0,52.0,60.0,28.0,156.0,9.0,10.0,74.0,119.0,88.0,24.0,64.0,14.0,91.0,44.0,16.0,47.0,66.0,45.0,115.0
4807,24.0,3.0,112.0,18.0,15.0,26.0,6.0,55.0,85.0,90.0,71.0,23.0,42.0,11.0,25.0,154.0,47.0,34.0,132.0,44.0,35.0,63.0,20.0,59.0,113.0,50.0,37.0,19.0,64.0,118.0
4856,14.0,3.0,20.0,36.0,27.0,70.0,66.0,26.0,43.0,29.0,62.0,2.0,156.0,97.0,22.0,21.0,18.0,148.0,50.0,31.0,86.0,56.0,17.0,158.0,33.0,44.0,73.0,12.0,39.0,1.0
