,hsa-miR-24,hsa-miR-130a,hsa-miR-574-5p,hsa-let-7e,hsa-miR-142-5p,hsa-miR-10a,hsa-miR-21,hsa-miR-149,hsa-miR-22,hsa-miR-663,hsa-miR-216a,hsa-miR-151-3p,hsa-miR-31,hcmv-miR-US5-1,hsa-miR-150,hsa-miR-593,hsa-miR-888,hsa-miR-378,hsa-miR-135b,hsa-miR-148a,hsa-miR-29c,hsa-miR-222,hsa-miR-137,hsa-miR-219-2-3p,hsa-miR-147b,hsa-miR-1978,hsa-miR-521,hsa-miR-155,hsa-miR-210,ebv-miR-BART18-3p
1337,7.0,35.0,1.0,2.0,6.0,27.0,9.0,4.0,0.0,5.0,222.0,29.0,95.0,36.0,31.0,70.0,30.0,67.0,37.0,40.0,28.0,97.0,22.0,3.0,14.0,39.0,105.0,11.0,21.0,628.0
1386,0.0,2.0,4.0,7.0,17.0,31.0,23.0,1.0,8.0,36.0,94.0,44.0,15.0,172.0,65.0,16.0,5.0,30.0,12.0,14.0,50.0,263.0,482.0,3.0,358.0,100.0,66.0,6.0,326.0,539.0
1435,0.0,7.0,6.0,10.0,3.0,91.0,84.0,5.0,2.0,14.0,59.0,43.0,44.0,9.0,30.0,4.0,151.0,266.0,288.0,166.0,35.0,1.0,11.0,18.0,68.0,197.0,196.0,16.0,8.0,277.0
1484,1.0,0.0,2.0,5.0,4.0,3.0,8.0,21.0,15.0,18.0,20.0,23.0,173.0,434.0,375.0,31.0,17.0,49.0,416.0,129.0,157.0,30.0,7.0,40.0,269.0,11.0,56.0,348.0,276.0,6.0
1533,0.0,1.0,3.0,4.0,5.0,15.0,27.0,2.0,32.0,47.0,29.0,78.0,117.0,23.0,48.0,19.0,89.0,22.0,7.0,473.0,30.0,40.0,13.0,235.0,65.0,38.0,51.0,193.0,209.0,103.0
1582,1.0,0.0,4.0,60.0,2.0,15.0,188.0,12.0,8.0,3.0,19.0,16.0,269.0,25.0,79.0,128.0,140.0,59.0,58.0,36.0,33.0,11.0,22.0,271.0,305.0,394.0,7.0,211.0,231.0,51.0
1631,0.0,3.0,1.0,2.0,6.0,5.0,296.0,39.0,4.0,8.0,10.0,14.0,111.0,17.0,106.0,370.0,34.0,12.0,21.0,164.0,92.0,25.0,85.0,546.0,247.0,7.0,101.0,483.0,507.0,57.0
1680,0.0,3.0,6.0,8.0,1.0,4.0,5.0,7.0,10.0,213.0,9.0,23.0,84.0,12.0,115.0,461.0,72.0,36.0,231.0,158.0,41.0,22.0,13.0,35.0,163.0,24.0,40.0,124.0,109.0,44.0
1729,0.0,1.0,4.0,2.0,3.0,28.0,7.0,13.0,20.0,40.0,22.0,21.0,6.0,14.0,10.0,169.0,105.0,33.0,93.0,15.0,19.0,9.0,23.0,251.0,83.0,363.0,237.0,561.0,89.0,542.0
1778,1.0,0.0,5.0,3.0,2.0,6.0,4.0,22.0,59.0,7.0,24.0,278.0,16.0,17.0,29.0,45.0,52.0,10.0,23.0,48.0,19.0,21.0,49.0,82.0,291.0,54.0,11.0,53.0,58.0,255.0
1827,0.0,9.0,3.0,4.0,12.0,25.0,1.0,8.0,19.0,5.0,37.0,208.0,2.0,336.0,258.0,115.0,27.0,15.0,109.0,23.0,162.0,17.0,52.0,59.0,143.0,11.0,21.0,383.0,491.0,61.0
1876,0.0,1.0,5.0,3.0,4.0,12.0,7.0,126.0,10.0,8.0,9.0,362.0,19.0,65.0,17.0,136.0,93.0,78.0,129.0,55.0,14.0,33.0,155.0,28.0,91.0,24.0,158.0,30.0,71.0,431.0
1925,0.0,1.0,2.0,9.0,7.0,34.0,117.0,8.0,14.0,3.0,196.0,65.0,39.0,501.0,19.0,45.0,146.0,13.0,80.0,74.0,6.0,33.0,81.0,31.0,128.0,399.0,18.0,79.0,15.0,490.0
1974,0.0,3.0,2.0,5.0,1.0,9.0,4.0,8.0,11.0,13.0,40.0,24.0,6.0,25.0,73.0,481.0,99.0,10.0,61.0,142.0,283.0,38.0,125.0,413.0,34.0,46.0,136.0,12.0,20.0,93.0
2023,0.0,3.0,6.0,4.0,5.0,2.0,21.0,1.0,11.0,31.0,16.0,18.0,27.0,15.0,128.0,315.0,7.0,8.0,40.0,427.0,66.0,110.0,545.0,439.0,53.0,12.0,170.0,99.0,520.0,23.0
2072,0.0,5.0,6.0,15.0,3.0,1.0,98.0,2.0,10.0,62.0,31.0,9.0,11.0,42.0,4.0,73.0,243.0,17.0,273.0,421.0,248.0,469.0,122.0,377.0,14.0,27.0,572.0,38.0,513.0,76.0
2121,1.0,0.0,2.0,4.0,3.0,6.0,43.0,7.0,13.0,40.0,15.0,9.0,70.0,16.0,12.0,254.0,484.0,41.0,168.0,96.0,52.0,36.0,156.0,547.0,5.0,23.0,166.0,34.0,93.0,345.0
2170,0.0,2.0,1.0,8.0,4.0,5.0,18.0,3.0,14.0,16.0,60.0,29.0,34.0,15.0,314.0,57.0,375.0,215.0,88.0,103.0,100.0,65.0,326.0,13.0,83.0,26.0,276.0,192.0,294.0,107.0
2219,0.0,1.0,2.0,7.0,4.0,83.0,502.0,5.0,55.0,12.0,124.0,10.0,46.0,3.0,26.0,96.0,204.0,16.0,17.0,9.0,37.0,305.0,63.0,386.0,8.0,89.0,571.0,20.0,44.0,616.0
2268,0.0,1.0,2.0,3.0,4.0,41.0,103.0,6.0,63.0,15.0,99.0,27.0,59.0,9.0,204.0,114.0,101.0,36.0,44.0,11.0,5.0,34.0,100.0,418.0,14.0,35.0,8.0,151.0,580.0,343.0
2317,0.0,2.0,4.0,1.0,6.0,7.0,13.0,3.0,19.0,18.0,14.0,10.0,26.0,5.0,17.0,213.0,133.0,101.0,84.0,8.0,123.0,82.0,38.0,120.0,108.0,33.0,124.0,146.0,152.0,352.0
2366,0.0,2.0,5.0,1.0,4.0,11.0,7.0,9.0,351.0,15.0,10.0,8.0,128.0,6.0,25.0,55.0,527.0,530.0,24.0,14.0,159.0,161.0,39.0,19.0,91.0,3.0,279.0,12.0,173.0,449.0
2415,0.0,1.0,9.0,4.0,2.0,39.0,10.0,3.0,97.0,29.0,11.0,95.0,40.0,86.0,19.0,41.0,16.0,35.0,13.0,20.0,105.0,89.0,26.0,80.0,63.0,30.0,14.0,151.0,60.0,201.0
2464,0.0,1.0,5.0,6.0,3.0,10.0,13.0,7.0,2.0,14.0,221.0,12.0,15.0,42.0,11.0,29.0,8.0,76.0,36.0,135.0,32.0,19.0,20.0,53.0,28.0,9.0,67.0,51.0,96.0,39.0
2513,0.0,1.0,3.0,4.0,2.0,6.0,5.0,32.0,11.0,117.0,20.0,17.0,61.0,7.0,19.0,22.0,12.0,91.0,64.0,231.0,36.0,15.0,9.0,260.0,118.0,21.0,503.0,351.0,23.0,621.0
2562,0.0,1.0,7.0,14.0,2.0,21.0,32.0,6.0,15.0,12.0,22.0,3.0,28.0,13.0,4.0,25.0,16.0,263.0,27.0,365.0,29.0,99.0,9.0,53.0,40.0,82.0,278.0,294.0,264.0,386.0
2611,0.0,1.0,7.0,19.0,2.0,13.0,9.0,47.0,16.0,17.0,81.0,4.0,197.0,5.0,8.0,32.0,3.0,31.0,28.0,88.0,90.0,54.0,229.0,209.0,15.0,137.0,261.0,43.0,267.0,336.0
2660,0.0,2.0,5.0,20.0,1.0,9.0,3.0,21.0,8.0,61.0,192.0,4.0,17.0,10.0,6.0,12.0,50.0,31.0,66.0,125.0,219.0,114.0,517.0,44.0,11.0,22.0,49.0,155.0,101.0,354.0
2709,0.0,2.0,1.0,9.0,3.0,7.0,6.0,10.0,13.0,18.0,73.0,5.0,12.0,76.0,4.0,8.0,15.0,82.0,32.0,43.0,211.0,143.0,128.0,40.0,11.0,358.0,61.0,185.0,19.0,274.0
2758,0.0,1.0,9.0,3.0,2.0,6.0,5.0,33.0,117.0,20.0,4.0,11.0,8.0,77.0,13.0,50.0,15.0,254.0,72.0,63.0,55.0,34.0,81.0,78.0,113.0,105.0,110.0,19.0,401.0,567.0
2807,0.0,1.0,2.0,3.0,4.0,7.0,5.0,82.0,93.0,12.0,8.0,10.0,22.0,19.0,9.0,24.0,30.0,33.0,20.0,222.0,117.0,46.0,179.0,14.0,285.0,59.0,98.0,116.0,25.0,95.0
2856,0.0,4.0,2.0,3.0,6.0,1.0,10.0,11.0,9.0,18.0,12.0,5.0,95.0,8.0,7.0,14.0,254.0,512.0,73.0,15.0,85.0,47.0,20.0,21.0,99.0,23.0,19.0,65.0,297.0,58.0
2905,4.0,1.0,9.0,0.0,3.0,5.0,10.0,149.0,77.0,8.0,236.0,16.0,50.0,25.0,7.0,2.0,20.0,18.0,33.0,134.0,507.0,91.0,66.0,12.0,215.0,208.0,13.0,24.0,212.0,19.0
2954,0.0,2.0,3.0,4.0,1.0,6.0,8.0,9.0,21.0,24.0,31.0,15.0,13.0,39.0,55.0,16.0,10.0,7.0,5.0,20.0,67.0,22.0,97.0,47.0,84.0,14.0,33.0,48.0,392.0,386.0
3003,0.0,2.0,3.0,13.0,9.0,1.0,5.0,7.0,12.0,8.0,11.0,36.0,4.0,87.0,16.0,220.0,25.0,86.0,17.0,14.0,41.0,19.0,60.0,23.0,20.0,32.0,15.0,6.0,106.0,137.0
3052,0.0,3.0,1.0,6.0,9.0,7.0,4.0,2.0,12.0,341.0,5.0,22.0,14.0,21.0,18.0,78.0,45.0,19.0,29.0,136.0,522.0,42.0,611.0,64.0,26.0,95.0,147.0,8.0,106.0,371.0
3101,0.0,4.0,1.0,7.0,8.0,2.0,3.0,5.0,11.0,10.0,12.0,6.0,9.0,29.0,251.0,53.0,33.0,229.0,42.0,50.0,199.0,67.0,15.0,39.0,56.0,401.0,17.0,62.0,365.0,254.0
3150,0.0,4.0,1.0,5.0,9.0,59.0,2.0,10.0,12.0,172.0,3.0,28.0,6.0,11.0,23.0,14.0,54.0,8.0,101.0,17.0,35.0,7.0,124.0,135.0,13.0,193.0,97.0,127.0,44.0,73.0
3199,0.0,2.0,4.0,1.0,5.0,3.0,6.0,7.0,8.0,119.0,22.0,10.0,9.0,33.0,23.0,125.0,94.0,15.0,34.0,42.0,20.0,66.0,48.0,169.0,115.0,19.0,26.0,57.0,97.0,617.0
3248,0.0,4.0,1.0,6.0,70.0,2.0,37.0,11.0,13.0,192.0,5.0,135.0,3.0,18.0,200.0,357.0,309.0,123.0,29.0,465.0,62.0,9.0,203.0,366.0,240.0,28.0,98.0,54.0,379.0,31.0
3297,1.0,5.0,0.0,3.0,13.0,10.0,6.0,162.0,20.0,12.0,4.0,79.0,2.0,14.0,220.0,7.0,481.0,8.0,11.0,160.0,123.0,91.0,384.0,62.0,9.0,478.0,59.0,19.0,117.0,39.0
3346,1.0,28.0,6.0,0.0,2.0,8.0,12.0,63.0,13.0,7.0,4.0,41.0,58.0,29.0,33.0,3.0,54.0,274.0,585.0,30.0,460.0,37.0,174.0,179.0,219.0,86.0,312.0,48.0,489.0,51.0
3395,0.0,4.0,10.0,1.0,2.0,5.0,3.0,293.0,8.0,11.0,6.0,14.0,15.0,12.0,93.0,9.0,7.0,133.0,226.0,79.0,24.0,54.0,138.0,320.0,494.0,21.0,127.0,67.0,280.0,17.0
3444,2.0,1.0,0.0,4.0,3.0,13.0,8.0,12.0,65.0,5.0,19.0,6.0,55.0,87.0,9.0,21.0,126.0,25.0,7.0,33.0,27.0,243.0,10.0,286.0,208.0,151.0,26.0,14.0,115.0,545.0
3493,8.0,1.0,0.0,11.0,2.0,4.0,3.0,13.0,17.0,9.0,5.0,15.0,33.0,164.0,16.0,37.0,22.0,18.0,43.0,95.0,7.0,63.0,38.0,423.0,42.0,572.0,76.0,69.0,12.0,6.0
3542,0.0,2.0,1.0,4.0,34.0,7.0,3.0,13.0,6.0,5.0,39.0,77.0,66.0,84.0,117.0,153.0,15.0,226.0,130.0,381.0,86.0,22.0,92.0,55.0,14.0,100.0,21.0,136.0,240.0,8.0
3591,1.0,3.0,0.0,5.0,8.0,2.0,4.0,6.0,100.0,7.0,78.0,61.0,16.0,45.0,54.0,92.0,10.0,40.0,15.0,234.0,23.0,66.0,159.0,362.0,19.0,261.0,30.0,253.0,110.0,59.0
3640,4.0,0.0,2.0,5.0,7.0,1.0,3.0,6.0,8.0,13.0,97.0,253.0,522.0,17.0,46.0,12.0,14.0,15.0,10.0,19.0,22.0,128.0,261.0,197.0,93.0,43.0,148.0,69.0,32.0,11.0
3689,1.0,0.0,2.0,4.0,39.0,3.0,11.0,6.0,9.0,7.0,41.0,140.0,83.0,35.0,21.0,82.0,132.0,59.0,31.0,34.0,29.0,386.0,121.0,410.0,73.0,85.0,5.0,450.0,17.0,26.0
3738,2.0,0.0,1.0,3.0,51.0,9.0,5.0,11.0,103.0,29.0,13.0,130.0,342.0,44.0,106.0,19.0,45.0,390.0,95.0,8.0,22.0,65.0,39.0,251.0,10.0,15.0,7.0,477.0,25.0,6.0
3787,3.0,0.0,2.0,14.0,4.0,13.0,9.0,1.0,11.0,7.0,5.0,144.0,356.0,36.0,190.0,126.0,78.0,21.0,442.0,461.0,28.0,41.0,165.0,81.0,6.0,52.0,98.0,174.0,8.0,15.0
3836,1.0,3.0,0.0,9.0,24.0,7.0,5.0,19.0,22.0,4.0,2.0,430.0,17.0,65.0,86.0,6.0,25.0,40.0,38.0,30.0,476.0,10.0,59.0,112.0,49.0,522.0,8.0,96.0,45.0,13.0
3885,0.0,5.0,1.0,3.0,14.0,6.0,4.0,7.0,43.0,2.0,12.0,266.0,66.0,151.0,96.0,8.0,19.0,499.0,483.0,310.0,203.0,31.0,11.0,69.0,58.0,313.0,13.0,106.0,278.0,27.0
3934,3.0,0.0,4.0,10.0,2.0,1.0,31.0,13.0,68.0,9.0,8.0,46.0,16.0,12.0,48.0,14.0,104.0,40.0,96.0,6.0,98.0,56.0,62.0,197.0,35.0,435.0,294.0,19.0,304.0,11.0
3983,3.0,0.0,25.0,13.0,1.0,8.0,5.0,2.0,12.0,9.0,74.0,42.0,197.0,31.0,4.0,233.0,19.0,10.0,75.0,95.0,28.0,551.0,40.0,200.0,17.0,201.0,367.0,22.0,27.0,29.0
4032,11.0,0.0,64.0,3.0,1.0,9.0,15.0,29.0,28.0,6.0,8.0,22.0,286.0,55.0,2.0,35.0,14.0,4.0,105.0,5.0,49.0,51.0,242.0,19.0,54.0,132.0,80.0,10.0,128.0,7.0
4081,0.0,1.0,2.0,7.0,3.0,9.0,206.0,11.0,23.0,4.0,111.0,76.0,10.0,5.0,32.0,14.0,22.0,59.0,35.0,18.0,58.0,26.0,363.0,143.0,44.0,351.0,132.0,12.0,72.0,6.0
4130,6.0,0.0,1.0,3.0,5.0,4.0,11.0,7.0,15.0,185.0,296.0,18.0,84.0,12.0,8.0,10.0,29.0,173.0,13.0,2.0,402.0,43.0,170.0,562.0,194.0,153.0,25.0,14.0,59.0,9.0
4179,1.0,0.0,5.0,2.0,3.0,6.0,9.0,18.0,13.0,4.0,8.0,11.0,17.0,12.0,10.0,21.0,81.0,16.0,14.0,7.0,190.0,53.0,215.0,424.0,15.0,199.0,66.0,191.0,40.0,23.0
4228,2.0,1.0,3.0,0.0,4.0,6.0,16.0,15.0,9.0,17.0,8.0,28.0,32.0,45.0,75.0,268.0,18.0,19.0,21.0,11.0,126.0,94.0,60.0,198.0,450.0,281.0,40.0,96.0,43.0,71.0
4277,3.0,0.0,1.0,4.0,15.0,36.0,14.0,61.0,35.0,126.0,154.0,132.0,21.0,8.0,17.0,7.0,46.0,64.0,39.0,2.0,492.0,238.0,85.0,292.0,40.0,194.0,13.0,32.0,5.0,195.0
4326,1.0,0.0,13.0,12.0,4.0,7.0,2.0,192.0,36.0,221.0,8.0,19.0,67.0,10.0,3.0,5.0,110.0,21.0,14.0,9.0,62.0,269.0,120.0,301.0,200.0,365.0,77.0,31.0,48.0,274.0
4375,1.0,0.0,5.0,4.0,2.0,10.0,32.0,27.0,55.0,11.0,30.0,16.0,57.0,8.0,3.0,9.0,36.0,15.0,38.0,6.0,571.0,194.0,606.0,533.0,573.0,300.0,395.0,25.0,75.0,49.0
4424,0.0,2.0,7.0,4.0,1.0,5.0,8.0,19.0,3.0,24.0,6.0,11.0,10.0,167.0,124.0,240.0,40.0,17.0,61.0,41.0,33.0,18.0,26.0,9.0,426.0,83.0,32.0,28.0,27.0,22.0
4473,2.0,5.0,10.0,0.0,1.0,154.0,3.0,17.0,11.0,33.0,159.0,4.0,13.0,24.0,169.0,105.0,9.0,12.0,265.0,233.0,610.0,26.0,52.0,22.0,114.0,171.0,83.0,19.0,14.0,167.0
4522,0.0,5.0,3.0,8.0,1.0,41.0,6.0,38.0,4.0,12.0,167.0,17.0,24.0,401.0,67.0,140.0,11.0,29.0,43.0,290.0,49.0,129.0,60.0,10.0,238.0,172.0,46.0,20.0,2.0,97.0
4571,0.0,10.0,6.0,2.0,3.0,48.0,1.0,11.0,4.0,12.0,35.0,5.0,9.0,42.0,22.0,359.0,18.0,82.0,145.0,78.0,268.0,114.0,57.0,34.0,128.0,221.0,37.0,252.0,7.0,391.0
4620,1.0,5.0,3.0,2.0,0.0,29.0,6.0,10.0,4.0,27.0,14.0,16.0,99.0,15.0,171.0,403.0,59.0,43.0,164.0,22.0,207.0,206.0,57.0,70.0,20.0,489.0,47.0,35.0,9.0,546.0
4669,0.0,4.0,1.0,8.0,2.0,28.0,9.0,10.0,5.0,85.0,13.0,3.0,51.0,76.0,97.0,100.0,18.0,205.0,32.0,110.0,133.0,381.0,189.0,86.0,322.0,50.0,12.0,481.0,6.0,215.0
4718,0.0,1.0,3.0,2.0,4.0,21.0,19.0,10.0,6.0,137.0,271.0,5.0,33.0,506.0,256.0,15.0,23.0,67.0,360.0,60.0,238.0,133.0,9.0,46.0,98.0,57.0,8.0,225.0,13.0,152.0
4767,0.0,3.0,6.0,16.0,1.0,4.0,12.0,10.0,2.0,75.0,8.0,15.0,5.0,45.0,314.0,9.0,7.0,42.0,27.0,22.0,43.0,31.0,53.0,29.0,175.0,23.0,44.0,73.0,30.0,607.0
4816,0.0,5.0,21.0,7.0,3.0,2.0,10.0,16.0,1.0,39.0,341.0,306.0,117.0,337.0,478.0,9.0,6.0,213.0,24.0,19.0,376.0,63.0,18.0,247.0,4.0,49.0,22.0,229.0,8.0,43.0
4865,0.0,3.0,5.0,1.0,7.0,21.0,6.0,2.0,4.0,222.0,126.0,29.0,58.0,64.0,97.0,8.0,73.0,40.0,193.0,59.0,228.0,439.0,49.0,93.0,45.0,18.0,42.0,81.0,9.0,12.0
