,AC138623.1,ZNF215,AC011242.6,SFMBT2,C8orf31,LBX2-AS1,FRMD3,RP11-488P3.1,PGF,CNTN3,CYBA,GNB4,MEIS3P1,INHBA,FNBP1P1,RNF144A-AS1,ITPRIPL1,AEBP1,ZNF595,CDKN2A,CDA,GSTT1,SLC38A5,PPP1R14A,AP000783.1,RP11-108M9.4,MAGEC2,RP11-301O19.1,ADTRP,RP11-319F12.2
2703,1.0,9.0,12.0,11.0,92.0,5.0,8.0,20.0,30.0,4.0,2.0,91.0,39.0,3.0,368.0,35.0,44.0,48.0,19.0,0.0,27.0,60.0,33.0,120.0,328.0,137.0,18.0,107.0,10.0,559.0
2752,1.0,0.0,11.0,82.0,210.0,50.0,12.0,2.0,40.0,5.0,3.0,359.0,19.0,10.0,66.0,156.0,20.0,18.0,42.0,14.0,38.0,72.0,21.0,8.0,138.0,46.0,99.0,189.0,24.0,525.0
2801,2.0,0.0,24.0,15.0,55.0,8.0,107.0,3.0,79.0,9.0,4.0,647.0,12.0,10.0,459.0,32.0,87.0,19.0,48.0,1.0,14.0,43.0,27.0,73.0,36.0,94.0,88.0,89.0,13.0,418.0
2850,2.0,0.0,21.0,13.0,123.0,6.0,201.0,7.0,52.0,1.0,3.0,184.0,29.0,4.0,217.0,16.0,38.0,72.0,57.0,10.0,73.0,32.0,43.0,60.0,27.0,143.0,253.0,50.0,19.0,645.0
2899,29.0,1.0,2.0,117.0,3272.0,6.0,123.0,23.0,14.0,10.0,39.0,402.0,147.0,52.0,380.0,21.0,40.0,16.0,5.0,4.0,80.0,162.0,11.0,64.0,309.0,58.0,140.0,440.0,7.0,1263.0
2948,3.0,20.0,4.0,6.0,1.0,44.0,0.0,16.0,359.0,26.0,290.0,47.0,2.0,36.0,10.0,66.0,1003.0,149.0,61.0,32.0,12.0,25.0,3302.0,138.0,5.0,439.0,34.0,38.0,1016.0,326.0
2997,3.0,186.0,7.0,2.0,6.0,29.0,24.0,1.0,255.0,37.0,1109.0,32.0,4.0,17.0,8.0,5.0,1716.0,99.0,81.0,10.0,19.0,0.0,260.0,12.0,9.0,15.0,161.0,34.0,124.0,569.0
3046,0.0,39.0,9.0,1.0,19.0,41.0,5.0,6.0,420.0,239.0,532.0,36.0,3.0,23.0,4.0,33.0,540.0,13.0,116.0,25.0,2.0,8.0,43.0,96.0,60.0,29.0,104.0,31.0,189.0,4222.0
3095,1.0,87.0,14.0,5.0,6.0,65.0,0.0,2.0,66.0,7.0,526.0,83.0,3.0,40.0,4.0,44.0,746.0,124.0,29.0,9.0,85.0,8.0,139.0,18.0,42.0,77.0,235.0,108.0,1027.0,397.0
3144,7.0,38.0,10.0,14.0,11.0,50.0,25.0,26.0,223.0,17.0,250.0,19.0,4.0,188.0,15.0,52.0,326.0,8.0,183.0,5.0,82.0,111.0,83.0,0.0,6.0,12.0,592.0,22.0,265.0,206.0
3193,7.0,974.0,44.0,1.0,3.0,8.0,31.0,4.0,98.0,48.0,725.0,56.0,11.0,12.0,10.0,16.0,131.0,19.0,92.0,43.0,0.0,2.0,20.0,9.0,5.0,111.0,181.0,6.0,153.0,641.0
3242,0.0,11.0,13.0,2.0,354.0,12.0,166.0,5.0,127.0,4.0,33.0,29.0,6.0,22.0,8.0,181.0,94.0,26.0,62.0,7.0,18.0,115.0,45.0,23.0,206.0,250.0,119.0,103.0,134.0,553.0
3291,4.0,11.0,13.0,1.0,6.0,65.0,12.0,0.0,232.0,2.0,152.0,44.0,3.0,20.0,15.0,10.0,289.0,167.0,73.0,7.0,18.0,8.0,222.0,39.0,21.0,63.0,48.0,25.0,346.0,576.0
3340,0.0,260.0,116.0,4.0,2.0,85.0,6.0,12.0,208.0,5.0,398.0,23.0,3.0,37.0,10.0,25.0,198.0,57.0,93.0,1.0,9.0,8.0,389.0,15.0,56.0,131.0,7.0,21.0,119.0,363.0
3389,19.0,40.0,6.0,11.0,2.0,24.0,9.0,3.0,113.0,8.0,437.0,25.0,0.0,59.0,14.0,15.0,280.0,112.0,48.0,151.0,53.0,5.0,86.0,16.0,85.0,171.0,94.0,35.0,459.0,945.0
3438,0.0,52.0,2.0,4.0,62.0,11.0,332.0,42.0,3.0,221.0,1.0,37.0,25.0,7.0,14.0,38.0,6.0,23.0,54.0,623.0,66.0,26.0,5.0,22.0,785.0,39.0,117.0,18.0,53.0,20.0
3487,0.0,61.0,2.0,9.0,113.0,4.0,1620.0,180.0,10.0,686.0,128.0,27.0,242.0,5.0,66.0,26.0,109.0,1.0,16.0,126.0,152.0,13.0,46.0,418.0,249.0,48.0,105.0,78.0,47.0,55.0
3536,0.0,2.0,5.0,28.0,12.0,63.0,318.0,155.0,7.0,227.0,4.0,27.0,26.0,14.0,6.0,113.0,3.0,13.0,31.0,376.0,123.0,39.0,18.0,29.0,2081.0,65.0,9.0,45.0,51.0,49.0
3585,0.0,9.0,33.0,5.0,20.0,21.0,127.0,57.0,3.0,278.0,109.0,2.0,24.0,1.0,32.0,6.0,13.0,19.0,4.0,627.0,100.0,14.0,311.0,252.0,803.0,386.0,8.0,45.0,105.0,48.0
3634,48.0,1.0,11.0,26.0,6.0,52.0,40.0,164.0,9.0,347.0,7.0,54.0,10.0,4.0,46.0,17.0,2.0,34.0,45.0,422.0,38.0,656.0,87.0,128.0,354.0,39.0,25.0,49.0,95.0,56.0
3683,0.0,10.0,65.0,2.0,7.0,69.0,97.0,146.0,132.0,162.0,5.0,62.0,20.0,83.0,91.0,4.0,64.0,6.0,38.0,417.0,12.0,55.0,328.0,335.0,18.0,278.0,1.0,22.0,673.0,665.0
3732,0.0,11.0,10.0,1.0,14.0,36.0,94.0,92.0,12.0,555.0,85.0,25.0,149.0,8.0,41.0,15.0,4.0,3.0,219.0,2637.0,78.0,151.0,19.0,133.0,64.0,55.0,58.0,47.0,131.0,48.0
3781,0.0,18.0,37.0,2.0,4.0,1.0,40.0,58.0,9.0,169.0,6.0,24.0,7.0,5.0,8.0,31.0,32.0,10.0,41.0,1319.0,22.0,19.0,91.0,67.0,361.0,87.0,42.0,14.0,30.0,35.0
3830,0.0,27.0,65.0,13.0,9.0,23.0,105.0,125.0,12.0,309.0,15.0,26.0,69.0,115.0,61.0,1.0,11.0,5.0,32.0,2929.0,51.0,422.0,3.0,2.0,250.0,55.0,16.0,10.0,148.0,39.0
3879,0.0,13.0,58.0,7.0,131.0,48.0,225.0,18.0,4.0,504.0,38.0,36.0,212.0,8.0,17.0,40.0,29.0,33.0,14.0,118.0,9.0,64.0,2.0,314.0,550.0,60.0,81.0,39.0,15.0,650.0
3928,0.0,59.0,216.0,3.0,6.0,17.0,40.0,19.0,1.0,2.0,1280.0,60.0,18.0,5.0,33.0,13.0,41.0,260.0,101.0,39.0,76.0,25.0,132.0,735.0,21.0,109.0,23.0,91.0,50.0,113.0
3977,2.0,4.0,85.0,43.0,1.0,18.0,14.0,58.0,11.0,7.0,119.0,19.0,6.0,12.0,44.0,10.0,123.0,25.0,57.0,88.0,91.0,109.0,661.0,220.0,9.0,3.0,72.0,189.0,37.0,29.0
4026,2.0,0.0,8.0,34.0,81.0,67.0,16.0,5.0,4.0,1.0,37.0,235.0,22.0,36.0,77.0,6.0,20.0,1044.0,9.0,10.0,396.0,1426.0,31.0,1357.0,108.0,14.0,50.0,335.0,236.0,58.0
4075,0.0,1.0,17.0,87.0,3.0,5.0,96.0,58.0,7.0,40.0,14.0,52.0,37.0,4.0,24.0,71.0,23.0,28.0,8.0,56.0,119.0,2.0,57.0,1310.0,653.0,156.0,9.0,72.0,25.0,35.0
4124,0.0,2.0,16.0,286.0,1.0,18.0,4.0,49.0,13.0,11.0,134.0,5.0,52.0,113.0,28.0,17.0,51.0,55.0,21.0,8.0,48.0,2996.0,1271.0,9630.0,7.0,40.0,3.0,171.0,477.0,41.0
4173,0.0,2.0,29.0,63.0,1.0,9.0,15.0,10.0,7.0,20.0,116.0,26.0,3.0,18.0,88.0,58.0,48.0,574.0,161.0,31.0,57.0,22.0,265.0,720.0,14.0,21.0,8.0,118.0,17.0,33.0
4222,0.0,24.0,6.0,15.0,107.0,2.0,35.0,3.0,11.0,5.0,48.0,46.0,8.0,7.0,51.0,9.0,21.0,22.0,10.0,14.0,12.0,379.0,57.0,1818.0,39.0,45.0,37.0,29.0,28.0,1222.0
4271,0.0,10.0,23.0,29.0,19.0,37.0,471.0,22.0,7.0,48.0,5.0,50.0,28.0,70.0,30.0,8.0,38.0,204.0,2.0,1.0,111.0,17.0,6465.0,262.0,6.0,26.0,54.0,49.0,346.0,527.0
4320,0.0,17.0,11.0,20.0,9.0,33.0,26.0,7.0,1.0,210.0,6.0,2.0,14.0,34.0,38.0,12.0,45.0,37.0,18.0,8.0,5.0,23.0,140.0,500.0,97.0,58.0,42.0,55.0,29.0,137.0
4369,0.0,1.0,8.0,27.0,10.0,13.0,14.0,3.0,5.0,19.0,71.0,22.0,12.0,4.0,48.0,2.0,32.0,76.0,46.0,9.0,18.0,242.0,90.0,793.0,35.0,16.0,70.0,179.0,121.0,84.0
4418,0.0,31.0,4.0,2.0,173.0,11.0,95.0,318.0,64.0,1.0,290.0,6.0,273.0,120.0,63.0,5.0,7.0,259.0,53.0,287.0,34.0,82.0,10.0,41.0,3.0,26.0,32.0,55.0,45.0,23.0
4467,5.0,14.0,2.0,45.0,3.0,65.0,50.0,77.0,63.0,68.0,96.0,17.0,34.0,71.0,22.0,4.0,20.0,11.0,115.0,1287.0,54.0,109.0,1.0,6.0,37.0,28.0,242.0,13.0,66.0,30.0
4516,6.0,3.0,4.0,26.0,52.0,142.0,86.0,17.0,23.0,9.0,12.0,214.0,25.0,28.0,39.0,20.0,8.0,5.0,130.0,2.0,111.0,880.0,1.0,47.0,46.0,11.0,873.0,166.0,61.0,626.0
4565,0.0,14.0,50.0,1.0,7.0,81.0,126.0,423.0,9.0,2.0,35.0,4.0,29.0,79.0,21.0,3.0,17.0,222.0,11.0,6.0,102.0,83.0,25.0,5.0,18.0,30.0,537.0,42.0,124.0,16.0
4614,0.0,37.0,2.0,8.0,7.0,56.0,80.0,9.0,5.0,73.0,562.0,13.0,77.0,41.0,31.0,1.0,164.0,58.0,27.0,239.0,17.0,18.0,26.0,3.0,10.0,47.0,75.0,4.0,12.0,30.0
4663,2.0,0.0,3.0,23.0,6.0,34.0,31.0,64.0,9.0,30.0,104.0,52.0,32.0,138.0,55.0,12.0,112.0,18.0,20.0,107.0,24.0,14.0,26.0,10.0,97.0,37.0,95.0,16.0,8.0,60.0
4712,53.0,4.0,18.0,15.0,5.0,79.0,428.0,44.0,35.0,2.0,43.0,96.0,181.0,103.0,217.0,12.0,106.0,11.0,22.0,71.0,64.0,19.0,1.0,0.0,116.0,75.0,50.0,28.0,14.0,218.0
4761,0.0,1.0,10.0,4.0,5.0,50.0,14.0,43.0,19.0,9.0,62.0,12.0,11.0,26.0,42.0,28.0,36.0,64.0,144.0,111.0,77.0,20.0,8.0,3.0,24.0,32.0,29.0,6.0,15.0,35.0
4810,83.0,2.0,8.0,11.0,9.0,98.0,46.0,79.0,31.0,15.0,24.0,173.0,47.0,16.0,88.0,1.0,35.0,4.0,68.0,266.0,54.0,0.0,13.0,33.0,3.0,37.0,59.0,23.0,5.0,49.0
4859,2.0,1.0,6.0,43.0,0.0,27.0,5.0,33.0,41.0,93.0,30.0,10.0,9.0,108.0,48.0,23.0,75.0,19.0,126.0,62.0,8.0,13.0,3.0,12.0,16.0,76.0,172.0,28.0,72.0,40.0
