,hsa-miR-27b,hsa-miR-105,hsa-miR-483-3p,hsa-miR-765,hsa-miR-296-5p,hsa-miR-216a,hsa-miR-130a,hsa-miR-363,hsa-miR-616,hsa-miR-34c-5p,hsa-miR-744,hsa-miR-21,hsa-miR-378,hsa-miR-99a,ebv-miR-BHRF1-2,hsa-miR-671-3p,hsa-miR-148a,hsa-miR-323-5p,hsa-miR-513a-5p,hsa-miR-210,hsa-miR-548b-3p,hsa-miR-1248,hsa-miR-34a,hsa-miR-545,hsa-miR-579,hsa-miR-424,hsa-miR-486-3p,hsa-miR-320d,hsa-miR-935,hsa-miR-383
802,12.0,63.0,5.0,0.0,30.0,4.0,8.0,106.0,2.0,42.0,128.0,120.0,27.0,17.0,7.0,41.0,347.0,6.0,506.0,399.0,181.0,511.0,43.0,49.0,578.0,36.0,46.0,29.0,24.0,197.0
851,19.0,20.0,103.0,5.0,150.0,3.0,4.0,9.0,1.0,35.0,6.0,55.0,7.0,47.0,18.0,60.0,40.0,98.0,162.0,154.0,39.0,30.0,12.0,42.0,95.0,526.0,423.0,44.0,74.0,505.0
900,3.0,37.0,1.0,2.0,13.0,24.0,93.0,26.0,5.0,111.0,97.0,545.0,11.0,19.0,23.0,25.0,0.0,16.0,27.0,9.0,45.0,61.0,462.0,310.0,623.0,339.0,21.0,7.0,33.0,208.0
949,6.0,91.0,46.0,38.0,44.0,0.0,12.0,124.0,4.0,29.0,24.0,30.0,7.0,3.0,14.0,74.0,16.0,5.0,276.0,339.0,2.0,151.0,20.0,505.0,348.0,22.0,79.0,378.0,172.0,499.0
998,1.0,11.0,27.0,24.0,0.0,8.0,235.0,7.0,86.0,226.0,90.0,57.0,58.0,340.0,121.0,180.0,83.0,244.0,239.0,2.0,140.0,6.0,3.0,10.0,84.0,406.0,293.0,26.0,217.0,44.0
1047,0.0,18.0,12.0,3.0,23.0,32.0,28.0,10.0,327.0,61.0,35.0,302.0,2.0,9.0,55.0,25.0,5.0,59.0,36.0,33.0,15.0,260.0,99.0,70.0,300.0,441.0,131.0,240.0,595.0,455.0
1096,0.0,42.0,20.0,24.0,16.0,21.0,32.0,152.0,38.0,115.0,158.0,172.0,70.0,8.0,4.0,162.0,516.0,451.0,35.0,5.0,214.0,346.0,51.0,47.0,15.0,287.0,98.0,55.0,226.0,2.0
1145,11.0,315.0,33.0,4.0,7.0,28.0,161.0,50.0,60.0,58.0,0.0,5.0,43.0,10.0,191.0,59.0,361.0,172.0,68.0,22.0,100.0,72.0,558.0,289.0,23.0,329.0,98.0,20.0,221.0,113.0
1194,3.0,1.0,5.0,21.0,0.0,134.0,72.0,22.0,234.0,263.0,400.0,14.0,79.0,280.0,147.0,179.0,355.0,496.0,10.0,53.0,522.0,210.0,231.0,340.0,61.0,174.0,50.0,199.0,240.0,356.0
1243,0.0,37.0,27.0,26.0,1.0,151.0,81.0,230.0,6.0,111.0,177.0,42.0,20.0,179.0,91.0,93.0,504.0,40.0,154.0,372.0,22.0,8.0,9.0,357.0,3.0,94.0,440.0,87.0,180.0,21.0
1292,1.0,26.0,104.0,3.0,0.0,173.0,131.0,11.0,13.0,272.0,5.0,43.0,333.0,31.0,436.0,24.0,456.0,12.0,58.0,10.0,28.0,7.0,181.0,268.0,432.0,100.0,16.0,81.0,348.0,68.0
1341,1.0,5.0,14.0,2.0,0.0,142.0,16.0,54.0,6.0,7.0,9.0,126.0,91.0,31.0,50.0,472.0,41.0,104.0,67.0,39.0,236.0,191.0,26.0,503.0,3.0,17.0,483.0,24.0,70.0,188.0
1390,4.0,34.0,7.0,133.0,0.0,17.0,109.0,6.0,331.0,114.0,35.0,627.0,207.0,96.0,134.0,14.0,279.0,79.0,16.0,5.0,8.0,419.0,250.0,126.0,178.0,143.0,91.0,69.0,312.0,2.0
1439,8.0,177.0,58.0,7.0,0.0,2.0,15.0,217.0,31.0,61.0,3.0,292.0,26.0,11.0,187.0,85.0,271.0,9.0,18.0,223.0,12.0,42.0,62.0,190.0,276.0,60.0,154.0,419.0,191.0,303.0
1488,22.0,76.0,4.0,2.0,177.0,8.0,114.0,199.0,24.0,5.0,0.0,3.0,321.0,338.0,51.0,30.0,10.0,201.0,124.0,157.0,140.0,627.0,95.0,69.0,1.0,500.0,102.0,100.0,328.0,73.0
1537,109.0,344.0,25.0,6.0,261.0,42.0,2.0,27.0,14.0,17.0,1.0,31.0,9.0,110.0,112.0,29.0,223.0,11.0,40.0,5.0,79.0,12.0,62.0,0.0,4.0,44.0,7.0,333.0,211.0,3.0
1586,21.0,5.0,429.0,33.0,105.0,52.0,302.0,200.0,199.0,12.0,1.0,308.0,57.0,149.0,17.0,55.0,23.0,16.0,0.0,32.0,75.0,197.0,22.0,13.0,63.0,42.0,404.0,478.0,15.0,7.0
1635,545.0,30.0,5.0,16.0,65.0,1.0,500.0,8.0,125.0,29.0,0.0,4.0,26.0,105.0,32.0,162.0,222.0,12.0,114.0,348.0,21.0,58.0,22.0,2.0,11.0,84.0,192.0,456.0,23.0,9.0
1684,0.0,11.0,10.0,15.0,52.0,30.0,212.0,1.0,20.0,166.0,16.0,71.0,59.0,177.0,125.0,235.0,264.0,444.0,66.0,8.0,6.0,108.0,43.0,24.0,9.0,261.0,75.0,36.0,12.0,13.0
1733,9.0,10.0,1.0,82.0,7.0,38.0,128.0,434.0,332.0,5.0,0.0,14.0,30.0,20.0,510.0,369.0,103.0,61.0,18.0,148.0,57.0,46.0,21.0,36.0,83.0,309.0,158.0,67.0,19.0,37.0
1782,340.0,213.0,7.0,23.0,223.0,12.0,169.0,1.0,129.0,71.0,2.0,15.0,44.0,61.0,561.0,181.0,18.0,65.0,206.0,5.0,10.0,314.0,27.0,4.0,365.0,336.0,57.0,353.0,54.0,82.0
1831,471.0,23.0,16.0,7.0,8.0,56.0,329.0,15.0,1.0,310.0,62.0,63.0,2.0,336.0,5.0,268.0,308.0,100.0,25.0,32.0,330.0,96.0,0.0,111.0,114.0,163.0,20.0,29.0,538.0,10.0
1880,27.0,21.0,48.0,0.0,2.0,23.0,414.0,75.0,125.0,5.0,1.0,12.0,89.0,535.0,177.0,326.0,64.0,90.0,155.0,95.0,6.0,15.0,41.0,25.0,20.0,302.0,126.0,140.0,202.0,4.0
1929,219.0,7.0,140.0,49.0,22.0,4.0,18.0,3.0,55.0,30.0,1.0,33.0,12.0,63.0,102.0,43.0,301.0,21.0,226.0,44.0,232.0,23.0,14.0,0.0,323.0,161.0,510.0,41.0,240.0,20.0
1978,133.0,31.0,14.0,16.0,3.0,92.0,17.0,240.0,5.0,27.0,47.0,9.0,53.0,28.0,48.0,66.0,150.0,251.0,120.0,228.0,23.0,7.0,41.0,194.0,73.0,81.0,156.0,616.0,69.0,2.0
2027,0.0,84.0,125.0,2.0,12.0,43.0,56.0,242.0,26.0,284.0,123.0,143.0,1.0,16.0,99.0,55.0,200.0,83.0,126.0,44.0,100.0,173.0,251.0,184.0,21.0,4.0,385.0,47.0,40.0,157.0
2076,0.0,1.0,6.0,71.0,20.0,288.0,133.0,304.0,2.0,7.0,9.0,28.0,5.0,19.0,121.0,8.0,56.0,251.0,215.0,18.0,80.0,27.0,526.0,33.0,11.0,158.0,84.0,394.0,409.0,128.0
2125,23.0,0.0,19.0,4.0,2.0,7.0,36.0,418.0,20.0,115.0,6.0,71.0,67.0,1.0,264.0,57.0,106.0,238.0,600.0,22.0,107.0,34.0,549.0,130.0,11.0,31.0,26.0,457.0,504.0,37.0
2174,48.0,115.0,24.0,0.0,11.0,214.0,4.0,292.0,3.0,161.0,5.0,240.0,1.0,86.0,30.0,49.0,12.0,6.0,56.0,323.0,92.0,65.0,441.0,60.0,29.0,21.0,55.0,398.0,64.0,178.0
2223,6.0,175.0,207.0,4.0,510.0,2.0,55.0,65.0,126.0,44.0,0.0,520.0,21.0,42.0,478.0,33.0,197.0,200.0,163.0,358.0,424.0,34.0,351.0,250.0,24.0,30.0,52.0,84.0,527.0,85.0
2272,0.0,15.0,2.0,1.0,6.0,3.0,9.0,240.0,11.0,52.0,4.0,334.0,19.0,29.0,204.0,31.0,140.0,117.0,135.0,24.0,172.0,58.0,289.0,12.0,66.0,72.0,209.0,535.0,34.0,149.0
2321,26.0,6.0,36.0,3.0,33.0,9.0,0.0,133.0,63.0,18.0,1.0,217.0,427.0,12.0,10.0,5.0,108.0,65.0,159.0,11.0,181.0,109.0,465.0,53.0,17.0,58.0,306.0,292.0,301.0,28.0
2370,21.0,6.0,20.0,0.0,15.0,78.0,16.0,97.0,33.0,99.0,2.0,365.0,10.0,5.0,13.0,86.0,40.0,478.0,341.0,11.0,71.0,150.0,446.0,452.0,376.0,64.0,301.0,388.0,158.0,85.0
2419,0.0,9.0,21.0,27.0,20.0,3.0,6.0,235.0,8.0,243.0,320.0,14.0,83.0,43.0,45.0,2.0,55.0,5.0,41.0,1.0,352.0,72.0,327.0,139.0,47.0,33.0,336.0,449.0,254.0,107.0
2468,0.0,152.0,10.0,102.0,25.0,11.0,76.0,5.0,71.0,129.0,15.0,464.0,232.0,68.0,14.0,421.0,9.0,22.0,80.0,327.0,69.0,27.0,538.0,567.0,43.0,510.0,70.0,74.0,7.0,51.0
2517,1.0,64.0,5.0,4.0,2.0,3.0,9.0,12.0,258.0,20.0,150.0,18.0,381.0,531.0,60.0,82.0,44.0,19.0,107.0,379.0,15.0,154.0,208.0,186.0,129.0,271.0,8.0,76.0,10.0,50.0
2566,48.0,1.0,3.0,7.0,4.0,15.0,20.0,16.0,34.0,5.0,109.0,111.0,554.0,21.0,93.0,80.0,23.0,114.0,0.0,37.0,13.0,149.0,30.0,129.0,135.0,133.0,45.0,82.0,14.0,362.0
2615,7.0,2.0,0.0,25.0,8.0,88.0,15.0,31.0,482.0,155.0,3.0,13.0,129.0,103.0,46.0,478.0,18.0,491.0,150.0,17.0,43.0,106.0,470.0,205.0,65.0,119.0,40.0,127.0,5.0,9.0
2664,16.0,9.0,7.0,80.0,1.0,10.0,22.0,2.0,5.0,4.0,6.0,149.0,13.0,32.0,389.0,12.0,64.0,124.0,82.0,202.0,206.0,24.0,105.0,29.0,278.0,141.0,212.0,17.0,0.0,74.0
2713,9.0,4.0,2.0,57.0,16.0,292.0,120.0,14.0,108.0,1.0,93.0,11.0,178.0,72.0,122.0,407.0,7.0,98.0,43.0,36.0,34.0,117.0,136.0,55.0,112.0,8.0,149.0,85.0,0.0,302.0
2762,3.0,1.0,4.0,67.0,13.0,54.0,47.0,6.0,76.0,8.0,44.0,115.0,167.0,0.0,199.0,180.0,56.0,22.0,5.0,160.0,10.0,14.0,117.0,329.0,223.0,127.0,89.0,70.0,2.0,457.0
2811,0.0,7.0,52.0,18.0,32.0,527.0,46.0,5.0,472.0,14.0,25.0,13.0,6.0,11.0,72.0,15.0,186.0,22.0,16.0,10.0,17.0,54.0,126.0,30.0,37.0,251.0,29.0,133.0,21.0,382.0
2860,0.0,5.0,7.0,32.0,13.0,10.0,345.0,3.0,206.0,34.0,89.0,8.0,11.0,185.0,56.0,123.0,1.0,97.0,17.0,446.0,21.0,52.0,189.0,115.0,310.0,236.0,6.0,4.0,2.0,77.0
2909,4.0,19.0,0.0,7.0,6.0,141.0,11.0,16.0,32.0,535.0,12.0,117.0,206.0,31.0,35.0,14.0,2.0,36.0,77.0,62.0,27.0,37.0,66.0,26.0,33.0,41.0,71.0,246.0,8.0,5.0
2958,1.0,48.0,49.0,455.0,315.0,609.0,76.0,60.0,13.0,42.0,227.0,15.0,14.0,114.0,483.0,55.0,5.0,65.0,505.0,0.0,10.0,72.0,96.0,330.0,44.0,61.0,51.0,202.0,104.0,418.0
3007,46.0,13.0,290.0,22.0,153.0,37.0,335.0,20.0,187.0,4.0,325.0,34.0,25.0,81.0,344.0,92.0,143.0,78.0,5.0,38.0,44.0,0.0,259.0,61.0,389.0,193.0,138.0,129.0,440.0,418.0
3056,18.0,3.0,354.0,114.0,103.0,165.0,17.0,5.0,32.0,6.0,22.0,37.0,107.0,0.0,59.0,79.0,15.0,25.0,227.0,1.0,41.0,546.0,69.0,500.0,378.0,98.0,321.0,21.0,118.0,123.0
3105,16.0,3.0,61.0,22.0,151.0,24.0,4.0,1.0,18.0,6.0,8.0,77.0,100.0,97.0,73.0,78.0,82.0,208.0,110.0,28.0,149.0,84.0,182.0,429.0,242.0,203.0,133.0,256.0,268.0,20.0
3154,94.0,9.0,286.0,2.0,97.0,10.0,60.0,19.0,51.0,1.0,566.0,43.0,169.0,342.0,102.0,129.0,5.0,12.0,3.0,66.0,53.0,31.0,255.0,182.0,425.0,165.0,572.0,0.0,7.0,215.0
3203,17.0,5.0,89.0,6.0,129.0,145.0,56.0,29.0,1.0,79.0,15.0,12.0,63.0,554.0,98.0,204.0,16.0,25.0,22.0,85.0,190.0,90.0,175.0,68.0,475.0,10.0,14.0,170.0,66.0,61.0
3252,7.0,18.0,280.0,28.0,45.0,8.0,19.0,407.0,3.0,1.0,457.0,0.0,23.0,16.0,208.0,27.0,48.0,56.0,80.0,268.0,605.0,12.0,448.0,4.0,395.0,245.0,5.0,37.0,155.0,277.0
3301,20.0,79.0,367.0,134.0,28.0,34.0,206.0,181.0,13.0,30.0,264.0,0.0,270.0,3.0,223.0,31.0,43.0,18.0,132.0,69.0,176.0,135.0,54.0,72.0,161.0,151.0,102.0,372.0,21.0,76.0
3350,107.0,3.0,440.0,2.0,96.0,215.0,54.0,28.0,335.0,118.0,579.0,4.0,61.0,36.0,12.0,8.0,249.0,573.0,24.0,15.0,57.0,282.0,407.0,114.0,49.0,416.0,13.0,184.0,95.0,26.0
3399,22.0,5.0,3.0,15.0,588.0,21.0,94.0,0.0,9.0,26.0,10.0,20.0,279.0,287.0,80.0,147.0,2.0,176.0,71.0,24.0,16.0,44.0,253.0,584.0,363.0,189.0,19.0,528.0,130.0,289.0
3448,1.0,2.0,109.0,3.0,24.0,7.0,85.0,39.0,41.0,105.0,9.0,32.0,40.0,121.0,20.0,124.0,93.0,43.0,0.0,5.0,187.0,47.0,8.0,307.0,362.0,15.0,53.0,21.0,527.0,140.0
3497,0.0,17.0,27.0,100.0,152.0,3.0,7.0,29.0,30.0,42.0,10.0,288.0,28.0,4.0,2.0,6.0,403.0,53.0,191.0,130.0,352.0,67.0,125.0,52.0,25.0,221.0,56.0,202.0,242.0,46.0
3546,7.0,1.0,61.0,54.0,445.0,0.0,15.0,53.0,55.0,93.0,29.0,5.0,99.0,180.0,105.0,77.0,28.0,75.0,6.0,97.0,143.0,13.0,20.0,132.0,102.0,4.0,142.0,27.0,123.0,168.0
3595,110.0,2.0,335.0,0.0,126.0,31.0,23.0,134.0,359.0,3.0,20.0,181.0,144.0,16.0,36.0,119.0,11.0,72.0,188.0,30.0,67.0,25.0,68.0,15.0,10.0,38.0,105.0,109.0,318.0,282.0
3644,8.0,22.0,225.0,24.0,3.0,0.0,53.0,9.0,183.0,334.0,45.0,13.0,381.0,81.0,187.0,17.0,391.0,242.0,100.0,30.0,337.0,16.0,28.0,71.0,76.0,67.0,168.0,73.0,447.0,212.0
3693,13.0,0.0,29.0,21.0,31.0,3.0,16.0,6.0,592.0,42.0,2.0,20.0,32.0,8.0,25.0,41.0,33.0,10.0,344.0,231.0,103.0,96.0,555.0,170.0,51.0,15.0,125.0,37.0,192.0,277.0
3742,0.0,98.0,458.0,11.0,211.0,41.0,19.0,43.0,7.0,38.0,325.0,603.0,66.0,216.0,45.0,6.0,47.0,294.0,138.0,25.0,10.0,46.0,5.0,110.0,24.0,56.0,239.0,249.0,52.0,70.0
3791,226.0,45.0,370.0,48.0,22.0,17.0,44.0,66.0,14.0,0.0,20.0,24.0,259.0,99.0,32.0,355.0,30.0,415.0,35.0,16.0,9.0,377.0,6.0,15.0,75.0,1.0,189.0,97.0,278.0,92.0
3840,5.0,8.0,10.0,347.0,393.0,1.0,4.0,2.0,51.0,31.0,9.0,577.0,130.0,137.0,27.0,3.0,12.0,141.0,17.0,165.0,18.0,15.0,44.0,145.0,28.0,16.0,218.0,22.0,384.0,110.0
3889,4.0,47.0,136.0,119.0,537.0,2.0,49.0,30.0,0.0,9.0,11.0,232.0,17.0,10.0,273.0,117.0,296.0,144.0,6.0,104.0,12.0,3.0,23.0,169.0,16.0,1.0,164.0,446.0,338.0,81.0
3938,8.0,45.0,1.0,24.0,130.0,70.0,41.0,49.0,9.0,4.0,0.0,5.0,3.0,15.0,10.0,6.0,13.0,14.0,207.0,143.0,19.0,223.0,124.0,127.0,29.0,323.0,52.0,189.0,35.0,78.0
3987,17.0,11.0,12.0,45.0,52.0,8.0,6.0,10.0,3.0,9.0,47.0,54.0,49.0,31.0,15.0,27.0,81.0,224.0,2.0,381.0,85.0,58.0,215.0,98.0,86.0,101.0,18.0,112.0,21.0,129.0
4036,3.0,5.0,1.0,30.0,169.0,8.0,10.0,7.0,84.0,34.0,386.0,4.0,23.0,218.0,9.0,19.0,46.0,0.0,2.0,106.0,311.0,120.0,208.0,65.0,71.0,56.0,85.0,11.0,283.0,95.0
4085,0.0,2.0,42.0,41.0,185.0,10.0,30.0,113.0,20.0,357.0,202.0,7.0,1.0,71.0,4.0,23.0,154.0,72.0,45.0,208.0,11.0,88.0,109.0,62.0,89.0,236.0,26.0,76.0,162.0,33.0
4134,15.0,0.0,14.0,42.0,26.0,61.0,188.0,5.0,21.0,18.0,176.0,24.0,47.0,64.0,48.0,16.0,74.0,95.0,3.0,173.0,57.0,524.0,56.0,89.0,12.0,84.0,10.0,9.0,388.0,4.0
4183,560.0,10.0,5.0,23.0,0.0,91.0,22.0,2.0,44.0,378.0,9.0,40.0,1.0,374.0,8.0,149.0,467.0,266.0,7.0,19.0,41.0,345.0,351.0,32.0,33.0,217.0,317.0,26.0,24.0,18.0
4232,82.0,2.0,14.0,45.0,4.0,1.0,11.0,24.0,23.0,208.0,247.0,105.0,221.0,109.0,16.0,163.0,178.0,97.0,13.0,92.0,17.0,57.0,31.0,3.0,169.0,18.0,148.0,51.0,10.0,9.0
4281,213.0,15.0,1.0,142.0,17.0,4.0,27.0,0.0,199.0,48.0,31.0,2.0,344.0,108.0,212.0,91.0,56.0,128.0,10.0,63.0,18.0,340.0,234.0,45.0,138.0,159.0,19.0,42.0,16.0,52.0
4330,292.0,6.0,56.0,22.0,8.0,5.0,15.0,1.0,28.0,32.0,228.0,210.0,37.0,13.0,4.0,42.0,466.0,596.0,75.0,168.0,47.0,117.0,138.0,17.0,45.0,139.0,213.0,277.0,383.0,7.0
4379,4.0,2.0,6.0,180.0,75.0,10.0,31.0,198.0,141.0,12.0,246.0,14.0,95.0,41.0,9.0,13.0,60.0,26.0,0.0,57.0,309.0,28.0,85.0,22.0,345.0,274.0,34.0,55.0,254.0,96.0
4428,12.0,155.0,2.0,1.0,15.0,47.0,55.0,26.0,92.0,5.0,20.0,6.0,0.0,7.0,74.0,22.0,109.0,14.0,50.0,62.0,228.0,349.0,25.0,76.0,104.0,44.0,112.0,11.0,240.0,477.0
4477,1.0,12.0,25.0,5.0,3.0,9.0,6.0,21.0,33.0,27.0,265.0,200.0,100.0,0.0,63.0,18.0,35.0,2.0,34.0,249.0,299.0,64.0,49.0,229.0,77.0,43.0,366.0,247.0,68.0,411.0
4526,1.0,21.0,70.0,9.0,51.0,5.0,64.0,348.0,150.0,19.0,2.0,210.0,6.0,43.0,521.0,33.0,182.0,36.0,67.0,349.0,233.0,160.0,13.0,226.0,135.0,59.0,181.0,489.0,128.0,54.0
4575,39.0,22.0,1.0,5.0,48.0,51.0,61.0,114.0,4.0,42.0,59.0,243.0,125.0,30.0,308.0,16.0,9.0,286.0,24.0,230.0,460.0,322.0,69.0,84.0,95.0,18.0,28.0,138.0,262.0,517.0
4624,1.0,8.0,143.0,15.0,0.0,3.0,13.0,35.0,71.0,188.0,76.0,6.0,2.0,22.0,180.0,196.0,138.0,5.0,194.0,7.0,43.0,99.0,191.0,51.0,19.0,332.0,16.0,136.0,56.0,340.0
4673,66.0,10.0,6.0,7.0,20.0,43.0,4.0,203.0,40.0,1.0,375.0,48.0,3.0,134.0,80.0,0.0,32.0,129.0,142.0,22.0,39.0,124.0,337.0,18.0,12.0,17.0,112.0,283.0,45.0,70.0
4722,11.0,7.0,3.0,0.0,24.0,2.0,6.0,170.0,125.0,132.0,13.0,8.0,20.0,38.0,17.0,100.0,28.0,22.0,52.0,40.0,254.0,119.0,306.0,64.0,102.0,75.0,26.0,200.0,190.0,222.0
4771,308.0,10.0,13.0,37.0,25.0,7.0,32.0,41.0,30.0,11.0,484.0,137.0,2.0,27.0,55.0,22.0,108.0,130.0,29.0,106.0,48.0,19.0,122.0,23.0,0.0,34.0,303.0,121.0,18.0,358.0
4820,6.0,49.0,10.0,2.0,80.0,1.0,14.0,614.0,179.0,111.0,137.0,5.0,3.0,0.0,58.0,4.0,24.0,11.0,23.0,471.0,13.0,59.0,196.0,202.0,309.0,85.0,83.0,102.0,81.0,236.0
4869,96.0,33.0,0.0,4.0,21.0,14.0,10.0,44.0,186.0,12.0,2.0,233.0,1.0,5.0,105.0,138.0,142.0,3.0,6.0,91.0,548.0,379.0,80.0,577.0,61.0,442.0,103.0,17.0,67.0,202.0
