,Shc_pY317,RAD51,EGFR_pY1068,Bim(EP1036),MIG-6,TIGAR,Smac,SHP-2_pY542,HER2_pY1248,p21,ACC1,NDRG1_pT346,PKC-pan_BetaII_pS660,Akt_pS473,PREX1,JNK_pT183_Y185,14-3-3_zeta,MDMX_MDM4(BetIHC-00108),ACC_pS79,G6PD,Paxillin,C-Raf(MP05-739),ACVRL1,Akt,14-3-3_beta,PAI-1,B-Raf,Gab2,4E-BP1,HER3
691,2.0,28.0,30.0,21.0,4.0,131.0,67.0,27.0,14.0,5.0,83.0,46.0,156.0,77.0,72.0,85.0,128.0,59.0,120.0,140.0,45.0,68.0,26.0,127.0,78.0,105.0,117.0,13.0,108.0,64.0
740,6.0,89.0,19.0,15.0,36.0,11.0,17.0,23.0,16.0,29.0,62.0,34.0,9.0,88.0,55.0,40.0,65.0,5.0,112.0,127.0,81.0,94.0,119.0,59.0,27.0,42.0,8.0,85.0,100.0,20.0
789,1.0,32.0,9.0,37.0,2.0,16.0,48.0,26.0,128.0,20.0,24.0,12.0,101.0,78.0,36.0,88.0,124.0,6.0,96.0,8.0,64.0,30.0,76.0,13.0,3.0,45.0,71.0,75.0,131.0,27.0
838,3.0,28.0,8.0,10.0,25.0,9.0,29.0,18.0,43.0,17.0,37.0,53.0,32.0,39.0,71.0,34.0,33.0,12.0,99.0,77.0,63.0,31.0,94.0,58.0,6.0,52.0,7.0,76.0,103.0,40.0
887,12.0,24.0,17.0,4.0,14.0,32.0,51.0,8.0,82.0,11.0,74.0,13.0,5.0,0.0,27.0,64.0,129.0,15.0,103.0,54.0,35.0,89.0,116.0,37.0,29.0,33.0,41.0,59.0,50.0,60.0
936,1.0,28.0,15.0,2.0,4.0,14.0,53.0,10.0,76.0,24.0,86.0,94.0,26.0,39.0,57.0,104.0,133.0,47.0,48.0,16.0,79.0,117.0,83.0,124.0,34.0,88.0,35.0,51.0,29.0,41.0
985,5.0,19.0,146.0,132.0,85.0,22.0,61.0,48.0,159.0,2.0,10.0,59.0,0.0,14.0,44.0,71.0,26.0,134.0,128.0,140.0,150.0,8.0,28.0,34.0,81.0,35.0,108.0,139.0,56.0,15.0
1034,8.0,23.0,130.0,45.0,21.0,34.0,46.0,30.0,24.0,4.0,22.0,39.0,9.0,65.0,42.0,67.0,96.0,161.0,64.0,124.0,59.0,54.0,13.0,57.0,47.0,25.0,20.0,66.0,134.0,88.0
1083,8.0,28.0,58.0,13.0,34.0,66.0,48.0,84.0,53.0,69.0,5.0,39.0,149.0,88.0,11.0,30.0,0.0,81.0,108.0,131.0,153.0,1.0,52.0,36.0,15.0,76.0,147.0,26.0,27.0,70.0
1132,9.0,29.0,70.0,8.0,16.0,91.0,40.0,31.0,104.0,3.0,12.0,25.0,35.0,7.0,45.0,89.0,52.0,149.0,47.0,101.0,63.0,5.0,105.0,65.0,50.0,49.0,78.0,80.0,36.0,72.0
1181,4.0,17.0,43.0,22.0,10.0,6.0,20.0,36.0,12.0,51.0,28.0,25.0,29.0,90.0,24.0,44.0,16.0,93.0,102.0,62.0,58.0,137.0,8.0,34.0,9.0,63.0,161.0,1.0,53.0,71.0
1230,14.0,15.0,89.0,5.0,25.0,22.0,35.0,40.0,49.0,1.0,8.0,67.0,11.0,119.0,17.0,94.0,4.0,86.0,116.0,134.0,90.0,6.0,16.0,39.0,27.0,29.0,31.0,32.0,48.0,91.0
1279,1.0,9.0,55.0,7.0,37.0,34.0,20.0,57.0,53.0,90.0,3.0,51.0,13.0,102.0,6.0,95.0,52.0,72.0,22.0,145.0,61.0,135.0,124.0,38.0,91.0,58.0,86.0,144.0,19.0,67.0
1328,12.0,19.0,42.0,15.0,35.0,18.0,34.0,47.0,129.0,70.0,10.0,56.0,13.0,58.0,38.0,164.0,1.0,136.0,31.0,22.0,163.0,3.0,110.0,23.0,17.0,66.0,120.0,145.0,82.0,95.0
1377,13.0,21.0,24.0,12.0,5.0,10.0,29.0,23.0,156.0,50.0,11.0,53.0,0.0,37.0,98.0,43.0,44.0,61.0,118.0,161.0,76.0,31.0,16.0,77.0,45.0,41.0,65.0,160.0,2.0,60.0
1426,6.0,25.0,84.0,0.0,23.0,2.0,85.0,30.0,138.0,65.0,33.0,46.0,11.0,3.0,64.0,17.0,52.0,32.0,125.0,19.0,98.0,82.0,66.0,47.0,99.0,63.0,162.0,41.0,129.0,73.0
1475,10.0,13.0,24.0,9.0,5.0,20.0,27.0,14.0,32.0,16.0,35.0,49.0,151.0,25.0,11.0,52.0,4.0,153.0,86.0,121.0,60.0,73.0,8.0,41.0,51.0,59.0,161.0,122.0,57.0,12.0
1524,35.0,16.0,120.0,9.0,4.0,21.0,65.0,6.0,14.0,136.0,50.0,45.0,153.0,15.0,27.0,44.0,20.0,55.0,18.0,19.0,60.0,23.0,26.0,54.0,52.0,32.0,77.0,80.0,105.0,97.0
1573,12.0,11.0,9.0,50.0,14.0,4.0,54.0,46.0,59.0,103.0,77.0,36.0,154.0,74.0,20.0,71.0,42.0,25.0,67.0,101.0,90.0,18.0,6.0,30.0,39.0,69.0,63.0,125.0,93.0,38.0
1622,13.0,2.0,21.0,48.0,40.0,122.0,31.0,60.0,53.0,47.0,49.0,12.0,15.0,46.0,25.0,99.0,42.0,50.0,16.0,150.0,37.0,35.0,88.0,33.0,164.0,41.0,86.0,51.0,130.0,69.0
1671,13.0,5.0,50.0,7.0,12.0,15.0,32.0,38.0,33.0,66.0,36.0,43.0,6.0,18.0,114.0,42.0,134.0,157.0,44.0,142.0,65.0,53.0,87.0,20.0,88.0,70.0,60.0,0.0,86.0,80.0
1720,10.0,5.0,13.0,27.0,22.0,30.0,46.0,36.0,32.0,95.0,12.0,35.0,58.0,29.0,23.0,43.0,48.0,47.0,88.0,132.0,20.0,16.0,19.0,62.0,73.0,60.0,149.0,98.0,110.0,85.0
1769,16.0,5.0,62.0,3.0,17.0,10.0,53.0,33.0,60.0,94.0,20.0,9.0,146.0,12.0,13.0,82.0,23.0,51.0,78.0,138.0,97.0,29.0,28.0,93.0,65.0,81.0,109.0,24.0,26.0,104.0
1818,11.0,5.0,9.0,58.0,69.0,12.0,70.0,46.0,4.0,81.0,38.0,44.0,64.0,15.0,71.0,42.0,49.0,30.0,105.0,36.0,78.0,20.0,84.0,106.0,37.0,66.0,141.0,139.0,130.0,51.0
1867,19.0,7.0,37.0,134.0,10.0,15.0,22.0,16.0,21.0,43.0,82.0,44.0,24.0,23.0,72.0,55.0,51.0,56.0,114.0,9.0,33.0,8.0,110.0,88.0,13.0,68.0,26.0,117.0,58.0,62.0
1916,15.0,2.0,57.0,47.0,17.0,69.0,54.0,35.0,53.0,141.0,87.0,34.0,8.0,70.0,156.0,76.0,21.0,105.0,38.0,130.0,36.0,33.0,23.0,1.0,11.0,88.0,77.0,5.0,131.0,62.0
1965,13.0,46.0,101.0,42.0,23.0,126.0,22.0,51.0,19.0,17.0,35.0,11.0,6.0,20.0,37.0,83.0,8.0,96.0,95.0,139.0,53.0,63.0,127.0,12.0,164.0,28.0,120.0,73.0,78.0,10.0
2014,7.0,22.0,99.0,36.0,10.0,3.0,38.0,11.0,15.0,5.0,26.0,32.0,147.0,52.0,41.0,77.0,8.0,83.0,80.0,20.0,42.0,21.0,140.0,138.0,126.0,44.0,102.0,86.0,53.0,51.0
2063,5.0,21.0,6.0,4.0,23.0,124.0,34.0,31.0,98.0,137.0,35.0,56.0,90.0,13.0,19.0,12.0,73.0,95.0,3.0,85.0,63.0,41.0,39.0,99.0,103.0,38.0,49.0,32.0,37.0,25.0
2112,19.0,12.0,1.0,62.0,30.0,5.0,27.0,39.0,15.0,73.0,31.0,9.0,33.0,16.0,36.0,10.0,59.0,45.0,2.0,8.0,13.0,94.0,14.0,65.0,58.0,38.0,95.0,32.0,51.0,67.0
2161,9.0,17.0,7.0,159.0,74.0,48.0,28.0,18.0,20.0,144.0,22.0,24.0,80.0,44.0,11.0,71.0,49.0,33.0,1.0,12.0,16.0,102.0,29.0,72.0,52.0,67.0,106.0,120.0,27.0,60.0
2210,13.0,23.0,4.0,19.0,18.0,126.0,33.0,30.0,24.0,17.0,39.0,44.0,80.0,28.0,40.0,43.0,12.0,60.0,8.0,2.0,9.0,64.0,124.0,7.0,164.0,55.0,71.0,21.0,29.0,79.0
2259,10.0,23.0,11.0,27.0,47.0,127.0,31.0,59.0,29.0,18.0,14.0,55.0,17.0,44.0,15.0,25.0,69.0,88.0,6.0,163.0,65.0,70.0,26.0,84.0,41.0,66.0,46.0,2.0,24.0,39.0
2308,5.0,18.0,22.0,55.0,32.0,31.0,24.0,38.0,19.0,12.0,51.0,43.0,11.0,126.0,48.0,21.0,52.0,95.0,6.0,108.0,54.0,69.0,36.0,127.0,67.0,105.0,46.0,20.0,35.0,101.0
2357,9.0,34.0,26.0,38.0,44.0,114.0,28.0,29.0,88.0,2.0,36.0,50.0,62.0,17.0,53.0,27.0,1.0,14.0,123.0,134.0,75.0,72.0,111.0,71.0,48.0,42.0,158.0,40.0,82.0,55.0
2406,15.0,22.0,34.0,21.0,76.0,55.0,63.0,67.0,163.0,10.0,30.0,28.0,8.0,11.0,32.0,3.0,41.0,27.0,52.0,42.0,145.0,46.0,137.0,87.0,64.0,53.0,88.0,9.0,132.0,77.0
2455,3.0,19.0,24.0,31.0,44.0,35.0,34.0,53.0,45.0,55.0,75.0,51.0,153.0,62.0,29.0,101.0,50.0,8.0,13.0,149.0,6.0,68.0,11.0,28.0,74.0,59.0,5.0,112.0,66.0,47.0
2504,2.0,7.0,13.0,59.0,28.0,129.0,84.0,54.0,4.0,63.0,98.0,27.0,32.0,104.0,26.0,25.0,92.0,15.0,3.0,82.0,17.0,89.0,12.0,64.0,39.0,31.0,19.0,37.0,105.0,34.0
2553,12.0,19.0,5.0,21.0,17.0,125.0,44.0,96.0,15.0,76.0,47.0,49.0,148.0,60.0,28.0,164.0,33.0,144.0,25.0,8.0,22.0,16.0,24.0,32.0,73.0,45.0,37.0,157.0,31.0,154.0
2602,8.0,47.0,18.0,10.0,37.0,21.0,14.0,56.0,23.0,74.0,68.0,11.0,151.0,27.0,150.0,66.0,38.0,25.0,2.0,35.0,22.0,31.0,4.0,30.0,164.0,44.0,41.0,79.0,72.0,75.0
2651,2.0,10.0,32.0,42.0,40.0,17.0,50.0,31.0,26.0,90.0,19.0,15.0,7.0,82.0,3.0,81.0,133.0,45.0,11.0,44.0,4.0,13.0,134.0,94.0,74.0,88.0,22.0,95.0,137.0,96.0
2700,7.0,27.0,55.0,4.0,39.0,13.0,18.0,25.0,32.0,43.0,75.0,65.0,158.0,87.0,23.0,66.0,117.0,112.0,68.0,31.0,59.0,38.0,42.0,48.0,58.0,47.0,22.0,17.0,40.0,57.0
2749,3.0,6.0,14.0,33.0,8.0,119.0,61.0,81.0,23.0,141.0,65.0,25.0,93.0,49.0,16.0,104.0,91.0,0.0,27.0,38.0,13.0,46.0,161.0,15.0,24.0,63.0,31.0,59.0,102.0,76.0
2798,13.0,26.0,1.0,9.0,40.0,14.0,28.0,18.0,22.0,48.0,39.0,73.0,77.0,10.0,44.0,57.0,53.0,55.0,21.0,54.0,6.0,106.0,101.0,80.0,164.0,38.0,27.0,124.0,74.0,47.0
2847,2.0,12.0,98.0,74.0,31.0,130.0,19.0,60.0,45.0,115.0,33.0,26.0,150.0,131.0,41.0,107.0,105.0,85.0,18.0,5.0,66.0,78.0,30.0,39.0,101.0,56.0,0.0,29.0,55.0,120.0
2896,5.0,25.0,15.0,9.0,46.0,125.0,22.0,53.0,19.0,61.0,67.0,31.0,37.0,119.0,75.0,78.0,131.0,62.0,3.0,160.0,27.0,66.0,120.0,74.0,101.0,63.0,18.0,13.0,128.0,77.0
2945,18.0,6.0,4.0,0.0,36.0,108.0,19.0,9.0,37.0,12.0,46.0,55.0,157.0,52.0,10.0,26.0,122.0,17.0,3.0,61.0,33.0,58.0,48.0,162.0,63.0,42.0,35.0,76.0,21.0,136.0
2994,2.0,27.0,10.0,3.0,81.0,50.0,14.0,72.0,99.0,37.0,45.0,34.0,29.0,0.0,94.0,97.0,12.0,19.0,75.0,15.0,16.0,25.0,135.0,13.0,164.0,90.0,20.0,8.0,56.0,51.0
3043,4.0,25.0,43.0,29.0,68.0,6.0,20.0,52.0,150.0,0.0,64.0,16.0,5.0,108.0,23.0,22.0,124.0,19.0,3.0,112.0,12.0,58.0,14.0,129.0,56.0,42.0,63.0,132.0,70.0,97.0
3092,2.0,15.0,11.0,14.0,31.0,25.0,37.0,4.0,50.0,135.0,67.0,32.0,12.0,49.0,18.0,34.0,114.0,99.0,22.0,42.0,39.0,53.0,23.0,57.0,68.0,62.0,33.0,43.0,41.0,26.0
3141,6.0,29.0,17.0,52.0,25.0,127.0,20.0,13.0,5.0,16.0,44.0,67.0,24.0,162.0,60.0,27.0,49.0,92.0,121.0,51.0,73.0,156.0,3.0,35.0,80.0,53.0,32.0,19.0,46.0,96.0
3190,4.0,39.0,84.0,75.0,63.0,7.0,45.0,32.0,27.0,26.0,15.0,19.0,12.0,80.0,65.0,51.0,46.0,145.0,122.0,10.0,38.0,42.0,30.0,11.0,50.0,79.0,70.0,23.0,67.0,112.0
3239,3.0,19.0,71.0,159.0,79.0,21.0,24.0,69.0,55.0,2.0,54.0,47.0,105.0,112.0,73.0,67.0,20.0,94.0,8.0,149.0,44.0,76.0,131.0,130.0,31.0,42.0,29.0,10.0,27.0,68.0
3288,13.0,21.0,3.0,14.0,72.0,20.0,18.0,55.0,63.0,108.0,59.0,43.0,50.0,138.0,99.0,37.0,142.0,5.0,28.0,66.0,148.0,100.0,7.0,46.0,126.0,31.0,1.0,146.0,141.0,95.0
3337,12.0,16.0,2.0,7.0,31.0,123.0,23.0,62.0,17.0,70.0,36.0,69.0,161.0,162.0,54.0,24.0,50.0,38.0,114.0,79.0,155.0,89.0,5.0,132.0,35.0,57.0,29.0,55.0,18.0,98.0
3386,12.0,24.0,29.0,28.0,21.0,112.0,44.0,128.0,30.0,14.0,88.0,37.0,115.0,35.0,25.0,49.0,100.0,18.0,129.0,2.0,16.0,136.0,133.0,57.0,103.0,70.0,98.0,89.0,91.0,33.0
3435,5.0,7.0,13.0,163.0,66.0,23.0,6.0,68.0,52.0,107.0,36.0,83.0,74.0,39.0,78.0,102.0,43.0,73.0,138.0,21.0,14.0,122.0,123.0,57.0,45.0,65.0,114.0,32.0,104.0,17.0
3484,9.0,5.0,25.0,161.0,86.0,24.0,43.0,64.0,19.0,77.0,67.0,47.0,38.0,31.0,136.0,55.0,95.0,22.0,7.0,16.0,8.0,152.0,92.0,70.0,12.0,50.0,23.0,10.0,65.0,36.0
3533,1.0,4.0,3.0,14.0,19.0,107.0,16.0,70.0,149.0,62.0,80.0,34.0,40.0,86.0,76.0,32.0,129.0,161.0,24.0,81.0,30.0,125.0,0.0,57.0,91.0,48.0,5.0,156.0,53.0,72.0
3582,7.0,5.0,31.0,130.0,19.0,101.0,38.0,34.0,26.0,14.0,37.0,55.0,21.0,54.0,22.0,30.0,13.0,153.0,139.0,50.0,44.0,74.0,138.0,4.0,124.0,66.0,33.0,29.0,48.0,102.0
3631,2.0,6.0,20.0,85.0,53.0,7.0,57.0,58.0,54.0,8.0,21.0,59.0,156.0,32.0,51.0,42.0,130.0,67.0,47.0,28.0,31.0,134.0,30.0,148.0,46.0,61.0,39.0,36.0,99.0,29.0
3680,3.0,4.0,0.0,32.0,28.0,115.0,38.0,34.0,40.0,29.0,82.0,16.0,14.0,39.0,150.0,30.0,106.0,133.0,10.0,50.0,61.0,43.0,22.0,24.0,65.0,100.0,130.0,36.0,117.0,62.0
3729,8.0,17.0,33.0,22.0,7.0,126.0,35.0,71.0,18.0,28.0,61.0,29.0,55.0,47.0,90.0,32.0,5.0,40.0,134.0,20.0,36.0,50.0,1.0,110.0,69.0,78.0,105.0,38.0,43.0,42.0
3778,10.0,11.0,35.0,36.0,25.0,74.0,37.0,91.0,2.0,5.0,28.0,58.0,14.0,128.0,47.0,70.0,81.0,139.0,27.0,29.0,41.0,44.0,13.0,1.0,12.0,108.0,114.0,3.0,15.0,90.0
3827,4.0,22.0,11.0,59.0,33.0,93.0,61.0,36.0,27.0,49.0,52.0,10.0,151.0,8.0,74.0,108.0,114.0,85.0,112.0,90.0,164.0,105.0,102.0,46.0,57.0,70.0,82.0,75.0,88.0,99.0
3876,32.0,21.0,2.0,34.0,35.0,124.0,45.0,77.0,4.0,84.0,75.0,9.0,156.0,23.0,56.0,37.0,112.0,136.0,1.0,137.0,29.0,38.0,10.0,91.0,80.0,82.0,16.0,61.0,88.0,57.0
3925,10.0,25.0,7.0,141.0,75.0,87.0,55.0,22.0,45.0,150.0,112.0,43.0,2.0,12.0,113.0,30.0,48.0,61.0,127.0,79.0,156.0,42.0,161.0,15.0,47.0,41.0,8.0,136.0,50.0,14.0
3974,11.0,15.0,70.0,2.0,27.0,23.0,46.0,34.0,44.0,97.0,103.0,45.0,157.0,123.0,62.0,91.0,117.0,4.0,12.0,37.0,75.0,6.0,107.0,9.0,26.0,78.0,101.0,71.0,58.0,28.0
4023,11.0,9.0,4.0,8.0,34.0,6.0,64.0,37.0,29.0,85.0,87.0,159.0,40.0,35.0,45.0,22.0,42.0,61.0,10.0,110.0,108.0,81.0,5.0,17.0,70.0,50.0,98.0,71.0,56.0,15.0
4072,14.0,23.0,0.0,40.0,26.0,2.0,70.0,16.0,24.0,33.0,72.0,73.0,65.0,13.0,102.0,75.0,94.0,47.0,98.0,11.0,66.0,53.0,17.0,50.0,164.0,44.0,128.0,74.0,86.0,21.0
4121,1.0,17.0,5.0,15.0,13.0,91.0,42.0,52.0,30.0,18.0,58.0,37.0,38.0,123.0,27.0,35.0,68.0,0.0,11.0,133.0,81.0,19.0,98.0,114.0,53.0,44.0,23.0,104.0,106.0,16.0
4170,0.0,15.0,140.0,155.0,34.0,8.0,71.0,28.0,9.0,32.0,26.0,36.0,109.0,48.0,30.0,66.0,81.0,7.0,10.0,5.0,21.0,154.0,17.0,3.0,164.0,72.0,14.0,87.0,38.0,55.0
4219,6.0,8.0,101.0,7.0,30.0,4.0,37.0,28.0,42.0,46.0,84.0,13.0,150.0,73.0,85.0,20.0,41.0,32.0,121.0,65.0,158.0,45.0,57.0,39.0,31.0,59.0,86.0,14.0,34.0,3.0
4268,2.0,12.0,22.0,23.0,15.0,16.0,24.0,18.0,4.0,44.0,65.0,32.0,35.0,125.0,57.0,27.0,17.0,37.0,68.0,154.0,142.0,66.0,9.0,106.0,164.0,81.0,28.0,61.0,29.0,150.0
4317,2.0,23.0,100.0,75.0,54.0,123.0,41.0,39.0,46.0,110.0,68.0,57.0,30.0,120.0,59.0,80.0,121.0,15.0,55.0,138.0,60.0,7.0,12.0,10.0,74.0,29.0,8.0,27.0,58.0,83.0
4366,9.0,32.0,24.0,6.0,44.0,111.0,54.0,39.0,23.0,33.0,34.0,64.0,103.0,85.0,152.0,25.0,62.0,10.0,116.0,20.0,65.0,93.0,46.0,30.0,83.0,72.0,66.0,89.0,27.0,71.0
4415,1.0,17.0,129.0,36.0,14.0,33.0,26.0,32.0,13.0,51.0,11.0,50.0,107.0,5.0,73.0,35.0,131.0,77.0,74.0,122.0,4.0,52.0,118.0,34.0,104.0,46.0,106.0,121.0,18.0,60.0
4464,4.0,60.0,12.0,26.0,22.0,46.0,18.0,43.0,45.0,141.0,28.0,6.0,76.0,14.0,74.0,47.0,5.0,23.0,34.0,3.0,1.0,69.0,24.0,125.0,11.0,63.0,146.0,81.0,95.0,29.0
4513,3.0,19.0,4.0,1.0,67.0,53.0,37.0,51.0,48.0,140.0,39.0,134.0,2.0,8.0,66.0,28.0,126.0,14.0,34.0,152.0,83.0,7.0,120.0,119.0,91.0,42.0,15.0,43.0,54.0,31.0
4562,5.0,18.0,58.0,1.0,70.0,120.0,15.0,51.0,73.0,137.0,14.0,2.0,75.0,54.0,8.0,28.0,84.0,19.0,10.0,25.0,147.0,145.0,130.0,61.0,64.0,27.0,97.0,126.0,92.0,30.0
4611,4.0,38.0,97.0,7.0,24.0,79.0,61.0,1.0,34.0,28.0,27.0,101.0,53.0,35.0,50.0,39.0,5.0,151.0,72.0,3.0,15.0,55.0,118.0,69.0,2.0,49.0,52.0,76.0,131.0,161.0
4660,4.0,41.0,80.0,12.0,7.0,117.0,23.0,20.0,35.0,6.0,17.0,146.0,103.0,13.0,32.0,24.0,5.0,69.0,52.0,143.0,42.0,61.0,16.0,43.0,164.0,101.0,46.0,49.0,62.0,102.0
4709,6.0,19.0,12.0,146.0,75.0,60.0,16.0,94.0,42.0,20.0,52.0,40.0,103.0,26.0,66.0,27.0,125.0,38.0,83.0,71.0,49.0,23.0,65.0,57.0,51.0,63.0,99.0,33.0,53.0,74.0
4758,7.0,43.0,129.0,62.0,9.0,121.0,21.0,27.0,81.0,3.0,55.0,86.0,64.0,10.0,96.0,33.0,24.0,77.0,111.0,30.0,161.0,11.0,75.0,23.0,29.0,54.0,105.0,94.0,83.0,40.0
4807,5.0,21.0,14.0,41.0,9.0,52.0,8.0,73.0,43.0,28.0,26.0,62.0,0.0,103.0,84.0,39.0,30.0,80.0,125.0,1.0,10.0,6.0,15.0,50.0,22.0,33.0,35.0,163.0,54.0,60.0
4856,1.0,27.0,95.0,8.0,22.0,59.0,41.0,31.0,18.0,3.0,10.0,32.0,69.0,11.0,93.0,45.0,23.0,44.0,83.0,48.0,4.0,56.0,129.0,30.0,94.0,107.0,58.0,52.0,79.0,15.0
