,hsa-miR-921,hsa-miR-223,hsa-miR-34a,hsa-miR-574-5p,hsa-miR-1233,hsv2-miR-H3,hsa-miR-126,hsa-miR-616,hsa-miR-548d-3p,hsa-miR-34c-5p,hsa-miR-548j,hsa-miR-186,hsa-miR-134,hsa-miR-450a,hsa-miR-885-3p,hsa-miR-1284,hsa-miR-744,hsa-miR-550,hsa-miR-140-5p,hsa-miR-31,hsa-miR-877,hsa-miR-1247,hsa-miR-143,hsa-miR-892a,hsa-miR-299-3p,hsa-miR-1323,hsa-miR-142-5p,hsa-miR-33b,hsa-miR-657,hsa-miR-222
3300,4.0,3.0,2.0,11.0,13.0,1.0,37.0,5.0,32.0,38.0,35.0,7.0,86.0,31.0,17.0,18.0,111.0,49.0,20.0,24.0,77.0,12.0,8.0,23.0,10.0,25.0,40.0,96.0,15.0,46.0
3349,3.0,4.0,0.0,12.0,19.0,14.0,24.0,15.0,35.0,55.0,7.0,2.0,113.0,11.0,10.0,31.0,204.0,18.0,22.0,47.0,6.0,20.0,49.0,23.0,46.0,45.0,26.0,59.0,17.0,56.0
3398,22.0,6.0,0.0,2.0,19.0,7.0,14.0,4.0,40.0,10.0,8.0,31.0,33.0,81.0,9.0,1.0,70.0,3.0,35.0,462.0,34.0,12.0,5.0,83.0,50.0,61.0,15.0,55.0,25.0,503.0
3447,6.0,4.0,38.0,11.0,33.0,0.0,32.0,17.0,8.0,2.0,5.0,10.0,24.0,19.0,26.0,20.0,23.0,3.0,12.0,13.0,21.0,37.0,34.0,248.0,75.0,57.0,1.0,40.0,22.0,45.0
3496,10.0,0.0,22.0,17.0,60.0,3.0,92.0,26.0,11.0,1.0,5.0,12.0,23.0,8.0,31.0,6.0,4.0,35.0,20.0,29.0,7.0,21.0,13.0,101.0,65.0,43.0,27.0,69.0,46.0,24.0
3545,2.0,1.0,36.0,4.0,28.0,0.0,53.0,20.0,21.0,3.0,7.0,5.0,17.0,9.0,27.0,19.0,11.0,29.0,10.0,37.0,6.0,49.0,12.0,95.0,86.0,79.0,26.0,34.0,71.0,25.0
3594,11.0,1.0,29.0,0.0,28.0,20.0,14.0,3.0,18.0,5.0,7.0,30.0,42.0,43.0,65.0,9.0,10.0,25.0,26.0,2.0,15.0,16.0,22.0,98.0,100.0,99.0,35.0,31.0,17.0,24.0
3643,1.0,9.0,76.0,11.0,12.0,2.0,79.0,7.0,44.0,5.0,3.0,14.0,21.0,18.0,101.0,8.0,0.0,16.0,10.0,4.0,78.0,35.0,22.0,121.0,45.0,80.0,13.0,38.0,27.0,50.0
3692,2.0,1.0,51.0,6.0,13.0,28.0,8.0,9.0,18.0,0.0,3.0,37.0,10.0,19.0,24.0,4.0,21.0,52.0,43.0,15.0,11.0,16.0,42.0,221.0,53.0,61.0,46.0,23.0,63.0,12.0
3741,5.0,0.0,2.0,9.0,14.0,10.0,11.0,16.0,15.0,6.0,4.0,21.0,25.0,17.0,36.0,22.0,7.0,1.0,3.0,57.0,26.0,23.0,33.0,116.0,63.0,64.0,31.0,38.0,39.0,18.0
3790,1.0,4.0,22.0,6.0,3.0,11.0,30.0,13.0,35.0,0.0,5.0,26.0,17.0,10.0,24.0,18.0,19.0,9.0,14.0,7.0,21.0,36.0,23.0,25.0,77.0,95.0,16.0,41.0,321.0,84.0
3839,5.0,0.0,38.0,7.0,6.0,2.0,11.0,23.0,49.0,14.0,3.0,22.0,30.0,10.0,24.0,66.0,13.0,15.0,9.0,4.0,60.0,20.0,40.0,87.0,54.0,71.0,17.0,57.0,37.0,42.0
3888,2.0,0.0,53.0,5.0,37.0,9.0,18.0,11.0,20.0,19.0,17.0,32.0,15.0,7.0,4.0,22.0,47.0,38.0,1.0,16.0,35.0,48.0,36.0,111.0,501.0,343.0,6.0,21.0,24.0,26.0
3937,0.0,4.0,5.0,11.0,14.0,49.0,9.0,26.0,23.0,1.0,17.0,24.0,58.0,10.0,85.0,13.0,3.0,35.0,8.0,27.0,2.0,34.0,31.0,16.0,59.0,20.0,104.0,29.0,63.0,72.0
3986,0.0,10.0,20.0,12.0,2.0,51.0,34.0,6.0,21.0,13.0,19.0,3.0,7.0,47.0,16.0,23.0,1.0,17.0,11.0,66.0,4.0,42.0,27.0,8.0,22.0,45.0,50.0,24.0,36.0,84.0
4035,1.0,0.0,15.0,18.0,28.0,48.0,5.0,2.0,6.0,22.0,13.0,27.0,4.0,31.0,3.0,7.0,54.0,20.0,25.0,67.0,8.0,29.0,36.0,45.0,52.0,23.0,345.0,14.0,12.0,58.0
4084,1.0,0.0,5.0,3.0,18.0,48.0,54.0,2.0,6.0,9.0,20.0,19.0,17.0,32.0,7.0,53.0,8.0,30.0,34.0,82.0,23.0,13.0,12.0,14.0,46.0,16.0,55.0,24.0,50.0,86.0
4133,0.0,4.0,6.0,9.0,3.0,70.0,8.0,19.0,5.0,40.0,17.0,30.0,2.0,57.0,38.0,27.0,31.0,1.0,20.0,69.0,14.0,12.0,11.0,7.0,29.0,13.0,35.0,26.0,123.0,112.0
4182,1.0,8.0,25.0,4.0,12.0,40.0,9.0,22.0,14.0,26.0,5.0,3.0,27.0,11.0,42.0,38.0,24.0,7.0,10.0,45.0,0.0,15.0,13.0,2.0,99.0,53.0,332.0,16.0,30.0,55.0
4231,2.0,3.0,5.0,1.0,10.0,90.0,16.0,12.0,34.0,15.0,11.0,21.0,17.0,39.0,9.0,26.0,40.0,0.0,14.0,87.0,43.0,25.0,23.0,4.0,36.0,27.0,35.0,8.0,53.0,74.0
4280,1.0,5.0,4.0,8.0,29.0,6.0,7.0,25.0,19.0,12.0,16.0,21.0,35.0,47.0,9.0,39.0,20.0,2.0,10.0,63.0,0.0,33.0,28.0,36.0,37.0,40.0,327.0,31.0,24.0,70.0
4329,15.0,1.0,4.0,2.0,79.0,7.0,0.0,21.0,19.0,64.0,48.0,29.0,17.0,30.0,3.0,9.0,13.0,25.0,11.0,44.0,5.0,6.0,31.0,67.0,51.0,20.0,49.0,18.0,26.0,426.0
4378,2.0,9.0,75.0,1.0,33.0,21.0,7.0,12.0,3.0,26.0,23.0,32.0,10.0,31.0,16.0,13.0,4.0,27.0,6.0,28.0,5.0,51.0,38.0,14.0,54.0,37.0,89.0,22.0,20.0,78.0
4427,26.0,0.0,10.0,1.0,3.0,28.0,61.0,35.0,6.0,67.0,20.0,14.0,17.0,2.0,19.0,13.0,29.0,9.0,30.0,37.0,50.0,7.0,18.0,63.0,24.0,22.0,291.0,46.0,8.0,5.0
4476,3.0,2.0,1.0,7.0,6.0,43.0,11.0,87.0,34.0,57.0,245.0,8.0,15.0,5.0,13.0,22.0,9.0,109.0,20.0,25.0,29.0,10.0,36.0,53.0,26.0,33.0,12.0,31.0,14.0,4.0
4525,11.0,1.0,10.0,0.0,4.0,19.0,45.0,30.0,6.0,33.0,15.0,5.0,13.0,7.0,27.0,21.0,14.0,12.0,55.0,18.0,39.0,9.0,42.0,65.0,48.0,371.0,51.0,59.0,16.0,2.0
4574,23.0,2.0,10.0,8.0,0.0,63.0,71.0,19.0,6.0,48.0,26.0,18.0,3.0,7.0,12.0,33.0,9.0,14.0,85.0,35.0,43.0,61.0,25.0,50.0,11.0,29.0,30.0,16.0,5.0,13.0
4623,6.0,8.0,7.0,4.0,10.0,62.0,109.0,31.0,1.0,464.0,48.0,2.0,30.0,0.0,24.0,23.0,11.0,52.0,103.0,27.0,32.0,12.0,15.0,19.0,26.0,28.0,65.0,36.0,34.0,5.0
4672,9.0,4.0,7.0,15.0,3.0,33.0,104.0,52.0,0.0,17.0,20.0,10.0,2.0,1.0,47.0,8.0,16.0,38.0,84.0,11.0,25.0,13.0,66.0,53.0,12.0,34.0,35.0,37.0,23.0,6.0
4721,2.0,4.0,10.0,3.0,7.0,24.0,37.0,31.0,15.0,33.0,43.0,5.0,1.0,9.0,13.0,23.0,6.0,27.0,100.0,45.0,29.0,34.0,17.0,20.0,25.0,36.0,50.0,84.0,0.0,11.0
4770,29.0,1.0,0.0,4.0,2.0,36.0,46.0,25.0,7.0,80.0,42.0,9.0,18.0,17.0,21.0,24.0,70.0,13.0,326.0,14.0,53.0,5.0,39.0,59.0,32.0,22.0,55.0,79.0,10.0,8.0
4819,12.0,2.0,46.0,1.0,3.0,102.0,108.0,15.0,4.0,49.0,28.0,10.0,0.0,21.0,17.0,29.0,6.0,44.0,43.0,55.0,30.0,5.0,23.0,37.0,39.0,24.0,33.0,92.0,18.0,9.0
4868,44.0,7.0,71.0,11.0,20.0,19.0,17.0,26.0,14.0,40.0,42.0,5.0,6.0,15.0,3.0,2.0,37.0,21.0,66.0,46.0,47.0,4.0,32.0,81.0,12.0,56.0,79.0,74.0,8.0,34.0
