,pantothenate,GABA,niacinamide,adenosine,cytidine,DHAP/glyceraldehyde 3P,N-carbamoyl-beta-alanine,putrescine,uridine,C56:5 TAG,C34:2 DAG,UMP,alpha-glycerophosphocholine,oxalate,alpha-glycerophosphate,homocysteine,hippurate,taurodeoxycholate,isocitrate,acetylcholine,SDMA/ADMA,valerylcarnitine,C22:6 LPE,creatinine,beta-alanine,2-deoxyadenosine,C34:4 PC,C36:4 PC-B,C22:6 LPC,carnitine
1445,0.0,9.0,4.0,3.0,1.0,14.0,12.0,15.0,6.0,13.0,37.0,5.0,11.0,2.0,22.0,10.0,8.0,7.0,18.0,28.0,33.0,19.0,17.0,26.0,48.0,50.0,49.0,51.0,32.0,21.0
1494,1.0,3.0,0.0,2.0,4.0,15.0,6.0,9.0,7.0,8.0,18.0,5.0,26.0,12.0,10.0,14.0,11.0,16.0,33.0,25.0,28.0,29.0,30.0,46.0,17.0,23.0,24.0,27.0,53.0,49.0
1543,1.0,2.0,0.0,3.0,5.0,9.0,8.0,4.0,13.0,10.0,11.0,16.0,20.0,14.0,15.0,21.0,12.0,40.0,7.0,17.0,18.0,23.0,25.0,19.0,24.0,29.0,26.0,27.0,55.0,52.0
1592,0.0,1.0,3.0,4.0,2.0,5.0,22.0,6.0,8.0,11.0,16.0,12.0,19.0,7.0,17.0,13.0,14.0,37.0,18.0,24.0,21.0,30.0,20.0,50.0,9.0,48.0,27.0,26.0,52.0,49.0
1641,0.0,2.0,1.0,4.0,3.0,7.0,5.0,6.0,10.0,9.0,15.0,40.0,19.0,8.0,33.0,14.0,13.0,43.0,34.0,11.0,17.0,23.0,26.0,18.0,24.0,29.0,27.0,28.0,52.0,51.0
1690,1.0,5.0,0.0,2.0,6.0,7.0,4.0,3.0,18.0,20.0,11.0,9.0,22.0,10.0,16.0,33.0,39.0,14.0,17.0,8.0,21.0,15.0,25.0,46.0,29.0,31.0,28.0,27.0,30.0,49.0
1739,0.0,3.0,2.0,1.0,4.0,12.0,7.0,5.0,6.0,14.0,18.0,16.0,15.0,11.0,22.0,10.0,8.0,42.0,13.0,25.0,28.0,9.0,29.0,24.0,52.0,19.0,56.0,36.0,46.0,30.0
1788,0.0,4.0,1.0,5.0,3.0,9.0,2.0,6.0,10.0,16.0,13.0,40.0,18.0,7.0,17.0,14.0,12.0,15.0,33.0,24.0,28.0,21.0,26.0,22.0,23.0,20.0,53.0,27.0,64.0,29.0
1837,1.0,3.0,0.0,2.0,8.0,7.0,5.0,10.0,6.0,4.0,9.0,12.0,11.0,13.0,35.0,17.0,42.0,38.0,36.0,16.0,14.0,20.0,23.0,52.0,21.0,46.0,24.0,25.0,54.0,45.0
1886,0.0,2.0,1.0,3.0,4.0,13.0,5.0,31.0,16.0,9.0,18.0,10.0,20.0,14.0,34.0,6.0,11.0,12.0,35.0,15.0,17.0,27.0,25.0,21.0,29.0,50.0,30.0,19.0,54.0,53.0
1935,2.0,3.0,1.0,0.0,8.0,16.0,5.0,7.0,10.0,6.0,26.0,37.0,13.0,4.0,14.0,15.0,33.0,36.0,45.0,17.0,27.0,12.0,22.0,51.0,18.0,20.0,24.0,25.0,54.0,30.0
1984,0.0,1.0,3.0,6.0,9.0,11.0,7.0,17.0,16.0,10.0,5.0,15.0,12.0,4.0,8.0,2.0,14.0,13.0,33.0,23.0,27.0,19.0,24.0,22.0,56.0,18.0,25.0,26.0,20.0,48.0
2033,0.0,2.0,1.0,6.0,36.0,3.0,8.0,12.0,40.0,9.0,14.0,7.0,13.0,5.0,10.0,4.0,11.0,39.0,48.0,18.0,16.0,24.0,27.0,19.0,53.0,28.0,15.0,21.0,25.0,55.0
2082,1.0,4.0,0.0,3.0,17.0,5.0,8.0,12.0,9.0,7.0,11.0,6.0,15.0,13.0,10.0,2.0,19.0,18.0,39.0,21.0,20.0,14.0,29.0,30.0,26.0,24.0,22.0,25.0,27.0,58.0
2131,0.0,3.0,1.0,9.0,11.0,4.0,2.0,19.0,12.0,14.0,6.0,5.0,10.0,8.0,40.0,7.0,35.0,15.0,38.0,23.0,27.0,24.0,25.0,22.0,29.0,20.0,48.0,26.0,21.0,57.0
2180,0.0,7.0,1.0,2.0,17.0,3.0,6.0,8.0,15.0,4.0,10.0,5.0,21.0,12.0,11.0,9.0,37.0,14.0,35.0,22.0,18.0,20.0,16.0,24.0,19.0,26.0,29.0,25.0,27.0,61.0
2229,0.0,2.0,1.0,14.0,6.0,3.0,4.0,9.0,15.0,7.0,10.0,5.0,24.0,12.0,16.0,8.0,13.0,11.0,43.0,18.0,27.0,30.0,20.0,23.0,49.0,19.0,58.0,25.0,22.0,26.0
2278,0.0,7.0,8.0,3.0,10.0,4.0,1.0,2.0,39.0,9.0,12.0,14.0,13.0,11.0,15.0,18.0,5.0,19.0,33.0,16.0,26.0,20.0,27.0,22.0,56.0,29.0,57.0,28.0,25.0,23.0
2327,1.0,3.0,0.0,4.0,42.0,13.0,6.0,31.0,2.0,8.0,9.0,7.0,11.0,10.0,14.0,5.0,12.0,15.0,39.0,24.0,28.0,22.0,27.0,23.0,50.0,21.0,51.0,29.0,25.0,19.0
2376,0.0,2.0,1.0,11.0,4.0,35.0,5.0,12.0,16.0,8.0,7.0,6.0,17.0,9.0,32.0,3.0,14.0,10.0,33.0,23.0,26.0,27.0,25.0,22.0,29.0,20.0,53.0,19.0,21.0,48.0
2425,0.0,3.0,1.0,4.0,5.0,6.0,9.0,15.0,11.0,14.0,2.0,12.0,16.0,7.0,10.0,8.0,13.0,43.0,35.0,18.0,19.0,21.0,25.0,20.0,23.0,53.0,26.0,27.0,24.0,22.0
2474,0.0,2.0,7.0,9.0,1.0,4.0,6.0,3.0,40.0,13.0,12.0,16.0,15.0,5.0,19.0,34.0,18.0,54.0,8.0,14.0,20.0,25.0,23.0,24.0,32.0,17.0,22.0,21.0,29.0,30.0
2523,0.0,1.0,2.0,13.0,5.0,6.0,8.0,7.0,17.0,4.0,3.0,15.0,14.0,10.0,35.0,33.0,39.0,12.0,16.0,24.0,19.0,28.0,22.0,26.0,56.0,29.0,21.0,20.0,27.0,50.0
2572,0.0,1.0,6.0,7.0,3.0,2.0,5.0,4.0,36.0,14.0,8.0,9.0,13.0,12.0,43.0,18.0,32.0,45.0,10.0,15.0,17.0,23.0,24.0,16.0,52.0,28.0,25.0,26.0,48.0,49.0
2621,0.0,1.0,8.0,6.0,4.0,2.0,12.0,13.0,19.0,9.0,3.0,14.0,11.0,15.0,7.0,34.0,17.0,18.0,10.0,25.0,21.0,31.0,24.0,26.0,54.0,27.0,23.0,22.0,30.0,20.0
2670,0.0,1.0,3.0,6.0,5.0,7.0,4.0,2.0,42.0,12.0,21.0,17.0,22.0,10.0,18.0,15.0,9.0,14.0,35.0,13.0,19.0,24.0,27.0,31.0,29.0,26.0,25.0,32.0,54.0,30.0
2719,0.0,1.0,5.0,6.0,7.0,9.0,17.0,2.0,16.0,8.0,4.0,13.0,15.0,10.0,12.0,31.0,36.0,38.0,3.0,14.0,18.0,25.0,26.0,20.0,50.0,29.0,27.0,28.0,54.0,23.0
2768,0.0,1.0,3.0,6.0,5.0,2.0,9.0,4.0,38.0,8.0,7.0,35.0,13.0,11.0,43.0,18.0,10.0,39.0,37.0,12.0,15.0,22.0,25.0,16.0,49.0,17.0,26.0,27.0,23.0,20.0
2817,0.0,1.0,4.0,6.0,2.0,7.0,11.0,3.0,13.0,8.0,5.0,15.0,18.0,37.0,10.0,29.0,33.0,41.0,9.0,27.0,17.0,23.0,14.0,48.0,50.0,16.0,25.0,26.0,52.0,49.0
2866,0.0,1.0,4.0,6.0,2.0,15.0,9.0,5.0,8.0,13.0,3.0,7.0,18.0,11.0,35.0,33.0,16.0,41.0,14.0,20.0,22.0,29.0,25.0,23.0,52.0,12.0,19.0,31.0,30.0,27.0
2915,0.0,2.0,9.0,11.0,6.0,1.0,8.0,3.0,13.0,7.0,4.0,17.0,10.0,12.0,16.0,33.0,14.0,39.0,15.0,26.0,30.0,19.0,27.0,24.0,20.0,22.0,28.0,29.0,23.0,18.0
2964,0.0,1.0,4.0,3.0,6.0,33.0,7.0,16.0,2.0,12.0,9.0,8.0,15.0,5.0,19.0,29.0,35.0,13.0,14.0,23.0,27.0,10.0,11.0,21.0,24.0,28.0,25.0,26.0,49.0,20.0
3013,0.0,3.0,2.0,22.0,5.0,8.0,4.0,7.0,12.0,27.0,14.0,11.0,20.0,1.0,41.0,32.0,48.0,17.0,13.0,21.0,18.0,9.0,6.0,50.0,16.0,31.0,29.0,26.0,24.0,25.0
3062,0.0,2.0,1.0,14.0,3.0,7.0,15.0,17.0,6.0,28.0,9.0,47.0,24.0,4.0,38.0,5.0,12.0,13.0,11.0,49.0,27.0,8.0,22.0,23.0,25.0,21.0,31.0,26.0,29.0,30.0
3111,0.0,3.0,1.0,7.0,5.0,10.0,11.0,24.0,4.0,6.0,15.0,14.0,19.0,2.0,32.0,8.0,35.0,13.0,12.0,20.0,18.0,9.0,28.0,47.0,27.0,22.0,25.0,21.0,16.0,26.0
3160,0.0,2.0,1.0,11.0,5.0,12.0,4.0,21.0,16.0,15.0,10.0,37.0,8.0,3.0,40.0,7.0,33.0,46.0,41.0,50.0,19.0,6.0,9.0,18.0,23.0,29.0,26.0,27.0,24.0,20.0
3209,0.0,1.0,2.0,11.0,5.0,16.0,8.0,10.0,6.0,9.0,19.0,43.0,28.0,3.0,12.0,4.0,7.0,13.0,15.0,27.0,31.0,14.0,17.0,25.0,21.0,23.0,22.0,24.0,29.0,32.0
3258,0.0,1.0,2.0,17.0,4.0,6.0,7.0,21.0,5.0,11.0,27.0,14.0,19.0,3.0,10.0,9.0,42.0,8.0,13.0,15.0,18.0,12.0,24.0,16.0,22.0,50.0,25.0,26.0,23.0,20.0
3307,0.0,1.0,3.0,13.0,2.0,5.0,7.0,9.0,11.0,6.0,12.0,34.0,10.0,4.0,41.0,14.0,31.0,35.0,40.0,19.0,24.0,8.0,22.0,18.0,20.0,49.0,23.0,25.0,21.0,17.0
3356,0.0,1.0,4.0,9.0,5.0,11.0,6.0,19.0,2.0,14.0,15.0,10.0,12.0,3.0,8.0,16.0,41.0,13.0,7.0,26.0,29.0,30.0,27.0,55.0,20.0,24.0,17.0,28.0,21.0,18.0
3405,0.0,1.0,3.0,11.0,8.0,9.0,4.0,15.0,2.0,10.0,26.0,13.0,19.0,5.0,17.0,6.0,16.0,14.0,12.0,50.0,18.0,7.0,29.0,21.0,25.0,53.0,30.0,23.0,27.0,31.0
3454,0.0,2.0,4.0,8.0,15.0,9.0,6.0,3.0,19.0,7.0,10.0,1.0,13.0,12.0,5.0,11.0,43.0,40.0,16.0,29.0,21.0,24.0,14.0,30.0,39.0,26.0,17.0,32.0,41.0,46.0
3503,0.0,2.0,7.0,3.0,1.0,11.0,8.0,14.0,17.0,6.0,19.0,18.0,4.0,5.0,10.0,20.0,13.0,43.0,38.0,16.0,42.0,35.0,30.0,27.0,26.0,24.0,31.0,32.0,28.0,34.0
3552,0.0,3.0,2.0,1.0,6.0,11.0,15.0,10.0,9.0,18.0,4.0,16.0,14.0,7.0,32.0,30.0,38.0,47.0,33.0,13.0,17.0,21.0,5.0,28.0,22.0,20.0,25.0,26.0,23.0,59.0
3601,0.0,1.0,6.0,2.0,4.0,7.0,22.0,5.0,17.0,10.0,18.0,12.0,23.0,3.0,9.0,33.0,14.0,41.0,35.0,11.0,21.0,29.0,8.0,50.0,31.0,25.0,16.0,24.0,19.0,63.0
3650,0.0,5.0,8.0,1.0,3.0,7.0,12.0,2.0,10.0,38.0,15.0,41.0,19.0,6.0,4.0,33.0,16.0,39.0,13.0,9.0,20.0,32.0,11.0,21.0,25.0,31.0,28.0,29.0,26.0,24.0
3699,0.0,2.0,4.0,7.0,3.0,12.0,11.0,9.0,16.0,5.0,15.0,13.0,8.0,1.0,20.0,10.0,19.0,18.0,36.0,6.0,21.0,30.0,14.0,23.0,31.0,32.0,29.0,24.0,25.0,28.0
3748,0.0,5.0,8.0,2.0,4.0,19.0,10.0,6.0,1.0,7.0,15.0,9.0,11.0,3.0,21.0,12.0,16.0,42.0,20.0,32.0,23.0,30.0,13.0,26.0,31.0,17.0,27.0,25.0,24.0,51.0
3797,0.0,6.0,13.0,5.0,8.0,4.0,3.0,1.0,2.0,12.0,28.0,41.0,7.0,11.0,34.0,22.0,16.0,40.0,14.0,15.0,21.0,31.0,10.0,20.0,24.0,19.0,26.0,27.0,25.0,56.0
3846,0.0,5.0,10.0,1.0,2.0,4.0,9.0,14.0,7.0,6.0,27.0,35.0,11.0,3.0,8.0,17.0,12.0,41.0,42.0,24.0,28.0,19.0,13.0,22.0,21.0,20.0,16.0,26.0,23.0,49.0
3895,6.0,4.0,8.0,2.0,0.0,13.0,12.0,1.0,18.0,17.0,9.0,16.0,11.0,3.0,15.0,10.0,35.0,40.0,31.0,7.0,22.0,39.0,23.0,57.0,45.0,19.0,14.0,20.0,27.0,58.0
3944,0.0,2.0,6.0,1.0,18.0,13.0,7.0,3.0,9.0,15.0,4.0,5.0,14.0,45.0,10.0,12.0,41.0,17.0,39.0,20.0,19.0,8.0,16.0,22.0,25.0,51.0,26.0,27.0,49.0,23.0
3993,0.0,10.0,5.0,3.0,34.0,35.0,7.0,1.0,2.0,9.0,15.0,6.0,8.0,40.0,12.0,4.0,16.0,13.0,33.0,18.0,19.0,22.0,14.0,20.0,24.0,49.0,26.0,27.0,25.0,21.0
4042,0.0,12.0,3.0,2.0,9.0,16.0,6.0,1.0,4.0,7.0,5.0,35.0,15.0,34.0,10.0,8.0,19.0,39.0,13.0,20.0,27.0,14.0,28.0,21.0,22.0,24.0,23.0,30.0,29.0,25.0
4091,0.0,13.0,3.0,2.0,14.0,16.0,15.0,1.0,8.0,4.0,5.0,18.0,9.0,17.0,19.0,21.0,44.0,11.0,6.0,27.0,31.0,12.0,7.0,25.0,24.0,51.0,28.0,29.0,49.0,22.0
4140,0.0,9.0,3.0,2.0,14.0,35.0,12.0,1.0,17.0,16.0,6.0,4.0,8.0,5.0,33.0,31.0,37.0,46.0,10.0,20.0,19.0,11.0,7.0,22.0,25.0,51.0,26.0,27.0,50.0,23.0
4189,0.0,15.0,1.0,5.0,6.0,33.0,19.0,3.0,4.0,18.0,13.0,14.0,2.0,12.0,8.0,7.0,35.0,11.0,16.0,20.0,21.0,10.0,22.0,29.0,28.0,24.0,23.0,25.0,49.0,26.0
4238,0.0,3.0,6.0,1.0,4.0,19.0,9.0,10.0,21.0,13.0,2.0,11.0,8.0,37.0,5.0,17.0,34.0,14.0,20.0,24.0,27.0,7.0,15.0,23.0,49.0,29.0,16.0,28.0,50.0,22.0
4287,0.0,4.0,5.0,2.0,11.0,19.0,9.0,1.0,10.0,8.0,7.0,14.0,3.0,31.0,13.0,20.0,33.0,15.0,12.0,21.0,27.0,17.0,6.0,24.0,25.0,29.0,26.0,28.0,49.0,22.0
4336,0.0,11.0,1.0,4.0,8.0,13.0,16.0,3.0,7.0,9.0,2.0,12.0,6.0,18.0,17.0,30.0,19.0,10.0,39.0,29.0,21.0,14.0,15.0,24.0,27.0,56.0,23.0,22.0,49.0,20.0
4385,0.0,8.0,11.0,1.0,18.0,15.0,13.0,2.0,9.0,3.0,6.0,7.0,5.0,35.0,17.0,14.0,32.0,40.0,12.0,21.0,25.0,20.0,16.0,29.0,22.0,48.0,23.0,24.0,53.0,19.0
4434,0.0,1.0,5.0,4.0,8.0,2.0,7.0,22.0,9.0,11.0,14.0,3.0,12.0,10.0,45.0,16.0,6.0,39.0,37.0,17.0,19.0,24.0,26.0,29.0,25.0,21.0,49.0,27.0,55.0,51.0
4483,0.0,1.0,4.0,10.0,3.0,2.0,9.0,17.0,6.0,5.0,12.0,8.0,7.0,46.0,16.0,32.0,14.0,36.0,18.0,20.0,19.0,26.0,29.0,49.0,15.0,21.0,30.0,23.0,27.0,22.0
4532,0.0,1.0,3.0,2.0,6.0,4.0,15.0,18.0,8.0,13.0,10.0,7.0,5.0,41.0,12.0,14.0,37.0,44.0,33.0,24.0,27.0,16.0,21.0,22.0,17.0,19.0,25.0,26.0,58.0,30.0
4581,0.0,1.0,5.0,3.0,8.0,2.0,10.0,14.0,13.0,7.0,11.0,16.0,4.0,9.0,33.0,19.0,39.0,43.0,34.0,12.0,17.0,22.0,15.0,18.0,23.0,29.0,26.0,27.0,24.0,20.0
4630,0.0,6.0,4.0,2.0,12.0,1.0,19.0,5.0,11.0,9.0,13.0,3.0,7.0,41.0,8.0,10.0,15.0,44.0,35.0,21.0,18.0,29.0,24.0,31.0,30.0,25.0,20.0,32.0,17.0,27.0
4679,0.0,2.0,5.0,1.0,10.0,6.0,4.0,21.0,3.0,7.0,14.0,12.0,8.0,40.0,16.0,9.0,15.0,45.0,33.0,17.0,18.0,20.0,13.0,19.0,11.0,29.0,25.0,26.0,23.0,55.0
4728,0.0,1.0,6.0,2.0,9.0,3.0,13.0,27.0,4.0,11.0,32.0,12.0,10.0,8.0,5.0,14.0,41.0,44.0,36.0,21.0,18.0,16.0,15.0,23.0,7.0,33.0,31.0,29.0,25.0,28.0
4777,0.0,1.0,3.0,4.0,5.0,2.0,11.0,16.0,10.0,12.0,17.0,9.0,7.0,15.0,6.0,8.0,40.0,36.0,32.0,21.0,25.0,26.0,22.0,54.0,29.0,19.0,44.0,20.0,47.0,59.0
4826,0.0,2.0,6.0,4.0,11.0,1.0,5.0,19.0,3.0,17.0,9.0,7.0,10.0,42.0,33.0,18.0,8.0,41.0,34.0,14.0,13.0,21.0,24.0,15.0,22.0,16.0,25.0,26.0,50.0,30.0
4875,0.0,1.0,6.0,5.0,17.0,2.0,3.0,10.0,11.0,15.0,27.0,8.0,4.0,33.0,43.0,9.0,13.0,37.0,14.0,12.0,26.0,30.0,23.0,50.0,20.0,21.0,24.0,25.0,47.0,29.0
