,ZBTB20_AMP,NAALADL2_DEL,CDC73_AMP,GSTTP1_AMP,PCCB_DEL,BTNL3_DEL,KIR2DL4_AMP,NRXN1_DEL,SORD_AMP,MRGPRX1_DEL,ARHGAP22_DEL,GALNTL6_DEL,CES1P1_DEL,KIR3DL1_AMP,UBE2Q2P2_AMP,BTNL8_DEL,LPA_AMP,UBE2Q2P3_AMP,ADAM3A_AMP,XKR6_AMP,RPS17L_AMP,GOLGA6L9_AMP,RPS17_AMP,BCAS1_AMP,PCDHA5_DEL,PCDHA2_DEL,PCDHA1_DEL,PCDHA7_DEL,PCDHA4_DEL,PCDHA6_DEL
2431,0.0,1.0,3.0,35.0,9.0,4.0,12.0,6.0,2.0,56.0,51.0,39.0,10.0,28.0,26.0,8.0,7.0,22.0,44.0,71.0,25.0,23.0,24.0,5.0,15.0,16.0,21.0,20.0,18.0,19.0
2480,0.0,1.0,3.0,5.0,2.0,91.0,6.0,23.0,222.0,35.0,33.0,72.0,28.0,34.0,43.0,1593.0,4.0,44.0,65.0,16.0,49.0,48.0,47.0,336.0,12.0,9.0,8.0,11.0,14.0,13.0
2529,0.0,1.0,3.0,5.0,2.0,8.0,15.0,10.0,4.0,188.0,7.0,44.0,18.0,58.0,38.0,146.0,6.0,37.0,13.0,43.0,39.0,40.0,41.0,36.0,25.0,21.0,20.0,19.0,23.0,24.0
2578,0.0,6.0,5.0,9.0,11.0,1.0,2.0,34.0,24.0,13.0,10.0,15.0,112.0,4.0,20.0,8.0,3.0,19.0,54.0,27.0,23.0,21.0,22.0,38.0,50.0,43.0,48.0,49.0,46.0,51.0
2627,0.0,1.0,2.0,6.0,4.0,12.0,10.0,8.0,296.0,30.0,7.0,3.0,26.0,25.0,43.0,22.0,5.0,42.0,52.0,34.0,46.0,45.0,44.0,35.0,17.0,15.0,14.0,19.0,20.0,18.0
2676,0.0,2.0,5.0,26.0,19.0,6.0,3.0,7.0,4.0,112.0,47.0,1.0,56.0,9.0,118.0,83.0,66.0,117.0,49.0,30.0,122.0,120.0,121.0,28.0,11.0,14.0,15.0,10.0,12.0,13.0
2725,0.0,2.0,5.0,7.0,12.0,48.0,1.0,9.0,3.0,11.0,13.0,8.0,272.0,6.0,27.0,692.0,4.0,28.0,23.0,63.0,31.0,29.0,30.0,52.0,38.0,36.0,37.0,35.0,39.0,41.0
2774,0.0,6.0,1.0,2.0,10.0,19.0,46.0,8.0,9.0,16.0,13.0,3.0,4.0,56.0,22.0,79.0,45.0,21.0,29.0,26.0,23.0,24.0,25.0,43.0,35.0,39.0,40.0,36.0,38.0,41.0
2823,1.0,0.0,3.0,2.0,5.0,13.0,25.0,9.0,8.0,14.0,7.0,6.0,12.0,31.0,19.0,153.0,4.0,20.0,18.0,17.0,21.0,23.0,22.0,93.0,37.0,36.0,35.0,33.0,34.0,38.0
2872,0.0,24.0,2.0,3.0,7.0,28.0,4.0,1.0,6.0,9.0,17.0,18.0,31.0,10.0,13.0,252.0,41.0,12.0,150.0,23.0,16.0,14.0,15.0,22.0,35.0,38.0,34.0,33.0,36.0,39.0
