,hsa-miR-205,hsa-miR-223,hsa-miR-216a,hsa-miR-222,hsa-miR-934,hsa-miR-296-5p,hsa-miR-219-2-3p,hsa-miR-196b,hsa-miR-135b,hsa-miR-200a,hsa-miR-31,hsa-miR-517b,hsa-miR-615-3p,hsa-miR-1266,hsa-miR-99a,hsa-miR-497,hsa-miR-1254,hsa-miR-662,hsa-miR-30c,hsa-miR-140-5p,hsa-miR-375,hsa-miR-143,hsa-miR-299-5p,hsa-miR-151-3p,kshv-miR-K12-4-3p,hsa-miR-450b-3p,hsa-miR-29c,hsa-miR-548a-3p,hsa-miR-30a,hsa-miR-137
3399,0.0,1.0,5.0,8.0,31.0,10.0,3.0,4.0,6.0,9.0,11.0,14.0,7.0,24.0,15.0,13.0,2.0,29.0,63.0,123.0,247.0,412.0,69.0,372.0,18.0,70.0,191.0,483.0,23.0,36.0
3448,0.0,1.0,2.0,8.0,19.0,11.0,28.0,3.0,5.0,4.0,35.0,10.0,17.0,61.0,69.0,42.0,93.0,165.0,13.0,41.0,6.0,22.0,146.0,30.0,230.0,16.0,7.0,48.0,101.0,46.0
3497,0.0,1.0,2.0,4.0,5.0,42.0,9.0,14.0,229.0,65.0,7.0,17.0,3.0,6.0,55.0,245.0,21.0,20.0,15.0,236.0,33.0,83.0,103.0,8.0,11.0,449.0,12.0,87.0,359.0,221.0
3546,1.0,0.0,2.0,5.0,187.0,12.0,3.0,4.0,200.0,415.0,100.0,14.0,7.0,10.0,412.0,25.0,53.0,11.0,47.0,61.0,18.0,43.0,368.0,145.0,6.0,492.0,20.0,59.0,156.0,181.0
3595,0.0,1.0,4.0,6.0,38.0,9.0,2.0,140.0,7.0,32.0,17.0,11.0,5.0,25.0,98.0,47.0,19.0,72.0,20.0,41.0,205.0,56.0,24.0,30.0,157.0,43.0,40.0,42.0,69.0,70.0
3644,0.0,1.0,4.0,5.0,2.0,3.0,10.0,6.0,79.0,22.0,18.0,98.0,42.0,53.0,16.0,9.0,11.0,30.0,8.0,157.0,12.0,67.0,502.0,74.0,14.0,20.0,239.0,21.0,43.0,23.0
3693,0.0,2.0,1.0,86.0,4.0,7.0,5.0,19.0,40.0,59.0,12.0,13.0,17.0,3.0,28.0,6.0,21.0,15.0,43.0,54.0,20.0,27.0,404.0,132.0,168.0,76.0,150.0,24.0,127.0,14.0
3742,0.0,1.0,2.0,20.0,3.0,4.0,15.0,21.0,268.0,13.0,5.0,25.0,29.0,100.0,136.0,8.0,14.0,94.0,11.0,109.0,171.0,7.0,45.0,399.0,84.0,26.0,16.0,17.0,12.0,47.0
3791,0.0,1.0,2.0,7.0,4.0,3.0,5.0,122.0,18.0,49.0,9.0,75.0,11.0,63.0,6.0,12.0,23.0,466.0,13.0,50.0,36.0,166.0,45.0,52.0,37.0,69.0,30.0,81.0,46.0,24.0
3840,0.0,2.0,1.0,5.0,105.0,7.0,3.0,34.0,4.0,9.0,12.0,8.0,19.0,35.0,64.0,25.0,17.0,71.0,380.0,15.0,294.0,40.0,21.0,43.0,6.0,223.0,68.0,101.0,309.0,13.0
3889,0.0,1.0,7.0,3.0,6.0,20.0,11.0,5.0,216.0,19.0,35.0,52.0,15.0,30.0,29.0,39.0,10.0,167.0,16.0,66.0,2.0,104.0,115.0,21.0,85.0,12.0,149.0,38.0,53.0,382.0
3938,0.0,13.0,3.0,10.0,8.0,5.0,2.0,16.0,1.0,27.0,28.0,9.0,37.0,43.0,89.0,4.0,272.0,91.0,24.0,17.0,22.0,14.0,281.0,12.0,32.0,59.0,46.0,242.0,23.0,7.0
3987,0.0,7.0,6.0,1.0,8.0,3.0,9.0,11.0,4.0,41.0,14.0,125.0,103.0,97.0,33.0,37.0,22.0,2.0,45.0,43.0,5.0,35.0,17.0,157.0,21.0,18.0,36.0,65.0,71.0,13.0
4036,0.0,6.0,2.0,9.0,10.0,4.0,1.0,5.0,13.0,114.0,15.0,240.0,20.0,43.0,12.0,3.0,8.0,16.0,17.0,11.0,7.0,23.0,38.0,27.0,22.0,36.0,82.0,113.0,171.0,96.0
4085,0.0,42.0,4.0,45.0,23.0,1.0,3.0,2.0,17.0,6.0,7.0,149.0,38.0,22.0,159.0,10.0,74.0,11.0,78.0,31.0,27.0,48.0,110.0,29.0,37.0,25.0,97.0,124.0,9.0,241.0
4134,0.0,15.0,6.0,7.0,1.0,5.0,9.0,26.0,3.0,2.0,36.0,448.0,24.0,95.0,52.0,31.0,71.0,92.0,68.0,27.0,10.0,8.0,13.0,385.0,12.0,117.0,66.0,274.0,41.0,11.0
4183,0.0,6.0,1.0,21.0,34.0,7.0,4.0,22.0,13.0,5.0,2.0,220.0,11.0,19.0,3.0,17.0,389.0,543.0,36.0,25.0,75.0,15.0,205.0,128.0,10.0,27.0,80.0,254.0,99.0,96.0
4232,0.0,3.0,7.0,8.0,10.0,4.0,16.0,18.0,1.0,11.0,20.0,113.0,5.0,54.0,176.0,2.0,94.0,89.0,61.0,30.0,17.0,15.0,9.0,19.0,36.0,225.0,24.0,256.0,83.0,14.0
4281,0.0,1.0,2.0,11.0,70.0,3.0,4.0,12.0,9.0,6.0,5.0,232.0,13.0,23.0,50.0,19.0,27.0,21.0,41.0,15.0,10.0,8.0,48.0,51.0,77.0,36.0,93.0,533.0,33.0,7.0
4330,0.0,5.0,1.0,14.0,9.0,19.0,2.0,37.0,3.0,8.0,6.0,32.0,100.0,72.0,53.0,12.0,34.0,7.0,10.0,187.0,11.0,411.0,17.0,35.0,4.0,22.0,249.0,321.0,585.0,38.0
4379,0.0,3.0,5.0,43.0,23.0,6.0,2.0,1.0,52.0,33.0,72.0,345.0,32.0,16.0,14.0,7.0,15.0,38.0,57.0,25.0,70.0,71.0,19.0,215.0,26.0,109.0,201.0,44.0,212.0,220.0
4428,0.0,1.0,5.0,23.0,14.0,7.0,111.0,32.0,455.0,2.0,15.0,35.0,39.0,4.0,19.0,60.0,13.0,53.0,20.0,47.0,16.0,140.0,509.0,18.0,38.0,385.0,11.0,28.0,66.0,17.0
4477,0.0,3.0,1.0,6.0,9.0,5.0,13.0,26.0,12.0,10.0,7.0,38.0,14.0,24.0,4.0,22.0,30.0,80.0,2.0,138.0,25.0,27.0,41.0,11.0,17.0,595.0,19.0,361.0,20.0,34.0
4526,0.0,1.0,3.0,31.0,2.0,18.0,5.0,42.0,13.0,10.0,26.0,7.0,290.0,107.0,11.0,35.0,101.0,275.0,4.0,8.0,36.0,38.0,616.0,221.0,362.0,70.0,33.0,51.0,17.0,15.0
4575,0.0,2.0,10.0,48.0,6.0,1.0,12.0,8.0,415.0,7.0,3.0,342.0,104.0,42.0,5.0,4.0,97.0,384.0,19.0,13.0,23.0,78.0,37.0,58.0,40.0,70.0,25.0,183.0,38.0,22.0
4624,0.0,3.0,1.0,15.0,32.0,2.0,14.0,17.0,7.0,4.0,9.0,10.0,8.0,24.0,6.0,25.0,11.0,44.0,56.0,21.0,263.0,67.0,249.0,150.0,51.0,475.0,58.0,247.0,82.0,73.0
4673,0.0,1.0,2.0,52.0,4.0,25.0,9.0,24.0,109.0,84.0,3.0,17.0,5.0,10.0,7.0,247.0,80.0,53.0,6.0,36.0,8.0,185.0,426.0,110.0,62.0,299.0,12.0,22.0,30.0,15.0
4722,0.0,3.0,19.0,7.0,11.0,5.0,9.0,30.0,23.0,12.0,2.0,68.0,4.0,38.0,1.0,14.0,219.0,67.0,8.0,76.0,25.0,40.0,468.0,140.0,58.0,84.0,405.0,44.0,96.0,143.0
4771,0.0,2.0,10.0,28.0,8.0,1.0,18.0,25.0,86.0,5.0,11.0,92.0,7.0,3.0,21.0,265.0,506.0,19.0,32.0,23.0,387.0,6.0,34.0,170.0,120.0,565.0,14.0,57.0,37.0,353.0
4820,0.0,5.0,4.0,12.0,29.0,75.0,11.0,10.0,123.0,15.0,7.0,612.0,1.0,60.0,3.0,23.0,357.0,36.0,99.0,37.0,2.0,175.0,157.0,41.0,340.0,18.0,54.0,155.0,119.0,153.0
4869,0.0,3.0,7.0,18.0,8.0,24.0,46.0,6.0,13.0,2.0,4.0,69.0,1.0,30.0,22.0,20.0,74.0,50.0,27.0,62.0,11.0,21.0,190.0,12.0,245.0,219.0,10.0,40.0,15.0,31.0
