,LOC284344_DEL,CDRT7_DEL,ZNF18_DEL,MYH2_DEL,CDRT15P1_DEL,USP17L7_DEL,DEFB130_DEL,ZNF705G_AMP,PRODH_DEL,CDRT4_DEL,BMPR2_AMP,LINC00670_DEL,ZSWIM7_DEL,FAM66D_DEL,SIRPB1_AMP,DNAH9_DEL,MYH8_DEL,CDKN2B_DEL,LOC727677_AMP,ACOT11_DEL,MAP2K4_DEL,TBC1D26_DEL,USP17L2_DEL,ARHGAP44_DEL,KDM5A_MUT,LOC100133267_DEL,KLHL38_AMP,DENND5B_AMP,PSG4_DEL,DNM1L_AMP
1253,2005.0,0.0,13.0,4.0,33.0,15.0,1.0,15891.0,25.0,3.0,184.0,36.0,42.0,18560.0,2070.0,4569.0,46.0,31.0,23847.0,6054.0,1303.0,5.0,361.0,35.0,191.0,57.0,81.0,2338.0,12102.0,1731.0
1302,47.0,11.0,31.0,18.0,94.0,4772.0,5882.0,721.0,1213.0,7000.0,24.0,23.0,376.0,306.0,204.0,7007.0,182.0,39.0,2676.0,63.0,65.0,76.0,0.0,25.0,330.0,18632.0,15269.0,442.0,2701.0,16185.0
1351,995.0,12.0,49.0,1.0,11.0,2618.0,2633.0,61.0,561.0,719.0,10.0,0.0,1102.0,220.0,189.0,4562.0,46.0,2641.0,23955.0,126.0,11517.0,3796.0,58.0,7.0,459.0,593.0,68.0,17736.0,12154.0,80.0
1400,126.0,16.0,30.0,1.0,8.0,68.0,22.0,17.0,923.0,6289.0,12.0,3.0,139.0,2.0,21.0,11.0,938.0,1723.0,24069.0,7.0,1638.0,466.0,37.0,6.0,16908.0,1080.0,15159.0,756.0,1149.0,16208.0
1449,2082.0,11.0,38.0,20.0,17.0,55.0,1381.0,491.0,12416.0,285.0,1.0,3.0,20375.0,136.0,2181.0,101.0,61.0,27.0,24058.0,657.0,212.0,47.0,2469.0,25.0,1195.0,8.0,78.0,57.0,1049.0,16252.0
1498,29.0,7550.0,9113.0,166.0,228.0,4506.0,6552.0,720.0,236.0,91.0,112.0,398.0,143.0,1791.0,10.0,995.0,7.0,5.0,1355.0,879.0,7775.0,4860.0,1413.0,6.0,268.0,156.0,180.0,22.0,3.0,348.0
1547,621.0,9211.0,8423.0,11091.0,1472.0,4832.0,9.0,97.0,547.0,333.0,23762.0,7100.0,613.0,2727.0,1356.0,6310.0,2291.0,57.0,452.0,5493.0,11518.0,2842.0,646.0,9147.0,5.0,18587.0,526.0,17660.0,386.0,55.0
1596,3.0,9702.0,2592.0,12.0,9701.0,4663.0,7250.0,2498.0,154.0,19.0,651.0,7017.0,79.0,549.0,499.0,6215.0,1507.0,277.0,111.0,845.0,13.0,2761.0,2822.0,6.0,14.0,99.0,262.0,16111.0,28.0,157.0
1645,64.0,2267.0,617.0,0.0,67.0,255.0,36.0,820.0,254.0,75.0,23495.0,2956.0,20360.0,51.0,44.0,328.0,10620.0,21006.0,313.0,1151.0,1052.0,5006.0,309.0,107.0,156.0,175.0,15229.0,17748.0,35.0,16275.0
1694,3205.0,13.0,9654.0,2.0,4383.0,170.0,84.0,1.0,105.0,4.0,457.0,1920.0,435.0,18517.0,106.0,0.0,117.0,20970.0,2044.0,1149.0,101.0,4617.0,4553.0,3.0,164.0,50.0,1747.0,216.0,12603.0,373.0
