,TAZ,Annexin 1,EGFR,Caveolin-1,YAP_pS127,MDMX_MDM4(BetIHC-00108),beta-Catenin,Chk1_pS345,VEGFR2,Heregulin,Rb_pS807_S811,CD49b,p62 Lck ligand,MSH6,Bcl-2,RAD51,Src_pY416,PAI-1,Src,beta-Catenin_pT41_S45,Akt_pS473,AMPK_pT172,Paxillin,PI3K-p85,EGFR_pY1068,VAV1,alpha-Catenin,PDCD4,Transglutaminase,GATA3
2352,6.0,0.0,1.0,2.0,15.0,7.0,14.0,12.0,8.0,23.0,27.0,85.0,13.0,26.0,32.0,4.0,28.0,29.0,48.0,21.0,10.0,11.0,92.0,5.0,46.0,55.0,59.0,94.0,37.0,22.0
2401,3.0,2.0,1.0,0.0,8.0,13.0,32.0,18.0,4.0,9.0,26.0,35.0,6.0,27.0,24.0,7.0,14.0,42.0,40.0,57.0,17.0,51.0,11.0,22.0,16.0,31.0,93.0,110.0,20.0,15.0
2450,0.0,2.0,3.0,1.0,14.0,8.0,26.0,4.0,11.0,18.0,48.0,5.0,13.0,25.0,24.0,9.0,16.0,6.0,23.0,34.0,12.0,17.0,95.0,10.0,27.0,29.0,86.0,44.0,33.0,88.0
2499,1.0,0.0,2.0,5.0,18.0,4.0,7.0,3.0,40.0,20.0,9.0,11.0,30.0,13.0,21.0,10.0,12.0,19.0,48.0,15.0,28.0,17.0,23.0,6.0,22.0,8.0,43.0,53.0,33.0,29.0
2548,0.0,1.0,2.0,3.0,26.0,8.0,25.0,4.0,15.0,17.0,23.0,5.0,27.0,12.0,35.0,75.0,11.0,10.0,51.0,19.0,13.0,31.0,6.0,7.0,16.0,18.0,63.0,30.0,22.0,34.0
2597,1.0,0.0,2.0,6.0,14.0,3.0,11.0,9.0,45.0,13.0,7.0,4.0,23.0,52.0,37.0,22.0,5.0,18.0,53.0,46.0,21.0,27.0,39.0,8.0,24.0,26.0,47.0,12.0,15.0,33.0
2646,1.0,0.0,3.0,2.0,15.0,6.0,12.0,10.0,19.0,20.0,9.0,4.0,24.0,47.0,5.0,27.0,8.0,7.0,23.0,22.0,14.0,16.0,57.0,31.0,32.0,11.0,63.0,84.0,40.0,45.0
2695,0.0,5.0,1.0,2.0,9.0,4.0,29.0,6.0,11.0,39.0,8.0,3.0,14.0,45.0,7.0,22.0,12.0,10.0,15.0,52.0,36.0,16.0,63.0,35.0,55.0,13.0,26.0,110.0,17.0,41.0
2744,0.0,2.0,1.0,3.0,20.0,5.0,14.0,8.0,11.0,10.0,9.0,4.0,6.0,71.0,16.0,138.0,18.0,29.0,51.0,7.0,111.0,39.0,40.0,13.0,21.0,28.0,127.0,55.0,15.0,42.0
2793,1.0,2.0,4.0,0.0,15.0,5.0,25.0,26.0,10.0,9.0,18.0,20.0,7.0,95.0,6.0,19.0,11.0,3.0,113.0,17.0,59.0,24.0,46.0,8.0,22.0,16.0,88.0,64.0,23.0,73.0
2842,1.0,2.0,3.0,0.0,19.0,5.0,29.0,14.0,7.0,6.0,13.0,4.0,25.0,42.0,11.0,18.0,9.0,8.0,31.0,12.0,52.0,15.0,45.0,10.0,26.0,16.0,49.0,120.0,21.0,151.0
2891,3.0,2.0,4.0,0.0,6.0,5.0,75.0,12.0,9.0,8.0,11.0,1.0,19.0,34.0,15.0,35.0,18.0,10.0,53.0,44.0,20.0,14.0,26.0,7.0,42.0,21.0,32.0,16.0,41.0,103.0
2940,8.0,0.0,1.0,7.0,5.0,10.0,21.0,33.0,4.0,3.0,20.0,18.0,2.0,12.0,17.0,23.0,54.0,6.0,48.0,15.0,62.0,30.0,59.0,73.0,13.0,25.0,9.0,19.0,16.0,35.0
2989,0.0,5.0,12.0,16.0,8.0,10.0,15.0,23.0,7.0,3.0,13.0,35.0,6.0,2.0,25.0,125.0,14.0,1.0,51.0,63.0,26.0,33.0,75.0,62.0,24.0,19.0,4.0,28.0,11.0,30.0
3038,0.0,3.0,1.0,6.0,8.0,7.0,15.0,37.0,13.0,14.0,29.0,25.0,4.0,2.0,18.0,28.0,17.0,12.0,32.0,9.0,78.0,44.0,11.0,73.0,27.0,21.0,10.0,5.0,23.0,22.0
3087,0.0,5.0,3.0,11.0,2.0,4.0,23.0,15.0,6.0,12.0,21.0,22.0,7.0,8.0,16.0,33.0,17.0,10.0,55.0,36.0,34.0,37.0,13.0,64.0,28.0,19.0,9.0,35.0,1.0,24.0
3136,1.0,3.0,2.0,0.0,4.0,18.0,12.0,17.0,10.0,8.0,34.0,5.0,9.0,7.0,19.0,28.0,13.0,37.0,24.0,21.0,32.0,72.0,31.0,75.0,25.0,77.0,6.0,29.0,14.0,38.0
3185,0.0,5.0,4.0,22.0,2.0,7.0,1.0,24.0,9.0,31.0,41.0,6.0,16.0,13.0,15.0,73.0,14.0,10.0,19.0,11.0,86.0,37.0,28.0,45.0,60.0,12.0,3.0,20.0,17.0,29.0
3234,0.0,2.0,1.0,6.0,7.0,12.0,3.0,31.0,17.0,13.0,22.0,14.0,5.0,21.0,9.0,27.0,15.0,16.0,34.0,8.0,32.0,55.0,10.0,24.0,35.0,48.0,4.0,38.0,18.0,45.0
3283,0.0,4.0,3.0,1.0,20.0,10.0,5.0,23.0,18.0,25.0,31.0,11.0,22.0,6.0,7.0,26.0,9.0,29.0,33.0,16.0,12.0,95.0,39.0,46.0,78.0,21.0,2.0,14.0,15.0,67.0
3332,0.0,1.0,2.0,4.0,13.0,11.0,7.0,9.0,30.0,25.0,105.0,16.0,22.0,15.0,17.0,64.0,8.0,3.0,10.0,34.0,47.0,26.0,23.0,57.0,39.0,27.0,24.0,6.0,5.0,20.0
3381,0.0,1.0,3.0,2.0,4.0,8.0,21.0,39.0,13.0,24.0,72.0,19.0,5.0,6.0,20.0,30.0,10.0,9.0,25.0,28.0,18.0,66.0,14.0,103.0,86.0,101.0,7.0,16.0,12.0,45.0
3430,1.0,0.0,3.0,6.0,12.0,4.0,23.0,5.0,9.0,20.0,8.0,16.0,18.0,10.0,75.0,13.0,17.0,7.0,14.0,27.0,29.0,15.0,33.0,11.0,41.0,30.0,57.0,21.0,54.0,34.0
3479,5.0,0.0,1.0,4.0,15.0,3.0,16.0,21.0,2.0,12.0,10.0,7.0,46.0,8.0,41.0,40.0,20.0,6.0,11.0,17.0,29.0,38.0,18.0,9.0,14.0,35.0,26.0,47.0,23.0,49.0
3528,1.0,0.0,2.0,8.0,10.0,3.0,28.0,48.0,11.0,6.0,14.0,7.0,19.0,9.0,31.0,33.0,21.0,5.0,12.0,15.0,68.0,45.0,22.0,4.0,16.0,50.0,23.0,41.0,18.0,35.0
3577,2.0,1.0,3.0,0.0,10.0,6.0,7.0,17.0,21.0,5.0,14.0,9.0,27.0,11.0,44.0,23.0,15.0,4.0,13.0,25.0,12.0,95.0,26.0,29.0,36.0,24.0,39.0,16.0,65.0,35.0
3626,2.0,0.0,1.0,3.0,9.0,4.0,5.0,17.0,37.0,51.0,6.0,13.0,70.0,7.0,34.0,14.0,15.0,10.0,11.0,20.0,25.0,82.0,54.0,16.0,29.0,66.0,22.0,67.0,18.0,45.0
3675,1.0,0.0,2.0,5.0,6.0,3.0,12.0,51.0,11.0,16.0,13.0,17.0,26.0,8.0,25.0,39.0,19.0,4.0,18.0,28.0,9.0,29.0,35.0,24.0,66.0,68.0,21.0,52.0,10.0,27.0
3724,3.0,0.0,1.0,4.0,9.0,2.0,6.0,41.0,18.0,7.0,12.0,10.0,32.0,17.0,26.0,58.0,28.0,5.0,11.0,20.0,31.0,23.0,16.0,13.0,8.0,37.0,44.0,43.0,30.0,21.0
3773,2.0,0.0,3.0,1.0,13.0,9.0,19.0,15.0,4.0,21.0,7.0,23.0,25.0,10.0,5.0,99.0,27.0,22.0,24.0,57.0,18.0,86.0,39.0,37.0,8.0,65.0,48.0,17.0,11.0,56.0
3822,6.0,0.0,5.0,1.0,4.0,16.0,8.0,2.0,17.0,20.0,9.0,24.0,19.0,13.0,18.0,25.0,73.0,7.0,21.0,27.0,12.0,22.0,23.0,11.0,10.0,82.0,36.0,38.0,35.0,28.0
3871,3.0,0.0,6.0,2.0,9.0,1.0,18.0,19.0,32.0,68.0,17.0,11.0,36.0,10.0,8.0,40.0,22.0,4.0,14.0,25.0,15.0,26.0,16.0,50.0,12.0,113.0,37.0,43.0,28.0,54.0
3920,2.0,6.0,1.0,0.0,9.0,44.0,3.0,4.0,5.0,43.0,23.0,15.0,8.0,70.0,10.0,22.0,31.0,27.0,47.0,12.0,36.0,19.0,13.0,18.0,7.0,38.0,21.0,20.0,26.0,42.0
3969,0.0,2.0,3.0,1.0,6.0,17.0,7.0,9.0,16.0,4.0,26.0,10.0,5.0,41.0,11.0,19.0,21.0,39.0,28.0,13.0,15.0,50.0,8.0,51.0,37.0,58.0,18.0,33.0,32.0,31.0
4018,0.0,6.0,3.0,7.0,2.0,35.0,5.0,4.0,1.0,16.0,27.0,18.0,28.0,21.0,14.0,11.0,25.0,47.0,15.0,41.0,9.0,46.0,48.0,8.0,34.0,20.0,13.0,32.0,33.0,29.0
4067,0.0,7.0,5.0,32.0,2.0,23.0,4.0,3.0,11.0,16.0,10.0,50.0,13.0,19.0,12.0,28.0,8.0,95.0,42.0,25.0,17.0,26.0,21.0,27.0,6.0,52.0,15.0,1.0,71.0,29.0
4116,0.0,2.0,1.0,3.0,6.0,19.0,27.0,4.0,5.0,22.0,8.0,15.0,24.0,23.0,34.0,51.0,20.0,53.0,28.0,35.0,11.0,10.0,40.0,7.0,26.0,72.0,12.0,21.0,29.0,38.0
4165,0.0,3.0,4.0,9.0,1.0,50.0,13.0,5.0,12.0,6.0,19.0,38.0,35.0,26.0,20.0,16.0,22.0,60.0,27.0,58.0,7.0,21.0,11.0,39.0,65.0,56.0,32.0,2.0,18.0,44.0
4214,1.0,6.0,0.0,2.0,4.0,35.0,3.0,13.0,14.0,16.0,10.0,22.0,32.0,12.0,9.0,24.0,42.0,59.0,114.0,31.0,20.0,17.0,25.0,8.0,44.0,28.0,18.0,5.0,103.0,11.0
4263,0.0,1.0,5.0,15.0,3.0,14.0,8.0,4.0,13.0,16.0,19.0,23.0,31.0,6.0,37.0,7.0,35.0,66.0,73.0,10.0,74.0,20.0,39.0,24.0,22.0,17.0,9.0,2.0,48.0,36.0
4312,0.0,4.0,2.0,1.0,8.0,10.0,9.0,5.0,13.0,17.0,14.0,97.0,7.0,22.0,15.0,6.0,56.0,16.0,60.0,23.0,89.0,21.0,46.0,52.0,111.0,28.0,35.0,3.0,31.0,11.0
4361,2.0,5.0,0.0,1.0,3.0,21.0,17.0,8.0,10.0,16.0,7.0,11.0,24.0,19.0,34.0,6.0,12.0,68.0,27.0,15.0,23.0,35.0,32.0,29.0,31.0,36.0,14.0,4.0,87.0,28.0
4410,6.0,1.0,0.0,4.0,7.0,19.0,2.0,3.0,26.0,8.0,11.0,14.0,23.0,31.0,9.0,18.0,33.0,21.0,5.0,10.0,17.0,12.0,49.0,112.0,24.0,22.0,13.0,47.0,62.0,15.0
4459,2.0,10.0,0.0,1.0,3.0,9.0,8.0,5.0,30.0,6.0,20.0,7.0,28.0,11.0,48.0,13.0,23.0,4.0,43.0,16.0,15.0,27.0,46.0,55.0,14.0,33.0,19.0,45.0,21.0,18.0
4508,1.0,8.0,0.0,2.0,7.0,10.0,34.0,3.0,16.0,4.0,12.0,14.0,5.0,24.0,6.0,9.0,28.0,31.0,23.0,61.0,13.0,20.0,38.0,18.0,40.0,17.0,65.0,25.0,44.0,19.0
4557,1.0,2.0,0.0,4.0,5.0,8.0,9.0,3.0,26.0,6.0,12.0,16.0,17.0,15.0,30.0,7.0,23.0,35.0,25.0,21.0,10.0,14.0,20.0,149.0,52.0,19.0,18.0,59.0,51.0,22.0
4606,2.0,4.0,1.0,0.0,6.0,5.0,12.0,16.0,24.0,11.0,3.0,78.0,9.0,7.0,14.0,8.0,30.0,27.0,15.0,19.0,36.0,34.0,22.0,108.0,21.0,39.0,35.0,31.0,37.0,10.0
4655,2.0,1.0,0.0,3.0,6.0,19.0,12.0,18.0,28.0,13.0,4.0,8.0,7.0,10.0,15.0,32.0,27.0,46.0,5.0,23.0,30.0,11.0,20.0,117.0,101.0,21.0,35.0,16.0,70.0,14.0
4704,2.0,1.0,3.0,0.0,4.0,25.0,5.0,19.0,18.0,12.0,22.0,41.0,14.0,6.0,8.0,9.0,70.0,30.0,13.0,21.0,11.0,29.0,26.0,73.0,40.0,23.0,15.0,10.0,108.0,36.0
4753,0.0,2.0,3.0,1.0,8.0,9.0,4.0,10.0,27.0,11.0,71.0,43.0,5.0,13.0,35.0,50.0,31.0,18.0,7.0,22.0,47.0,21.0,17.0,57.0,40.0,24.0,33.0,46.0,39.0,12.0
4802,0.0,3.0,1.0,2.0,7.0,4.0,11.0,10.0,18.0,23.0,26.0,67.0,5.0,29.0,19.0,6.0,42.0,20.0,16.0,51.0,39.0,15.0,25.0,82.0,24.0,22.0,21.0,9.0,55.0,12.0
4851,3.0,1.0,0.0,4.0,6.0,9.0,14.0,10.0,16.0,19.0,55.0,27.0,2.0,15.0,28.0,7.0,17.0,20.0,5.0,23.0,11.0,29.0,18.0,83.0,33.0,74.0,31.0,8.0,59.0,25.0
