,hsa-miR-1302,hsa-miR-222,hsa-miR-1257,hsa-miR-548p,hsa-miR-34a,hsa-miR-96,hsa-miR-130a,hsa-miR-1252,hsa-miR-135b,hsa-miR-483-3p,hsa-miR-497,hsa-miR-218,hsa-miR-22,hsa-miR-9,hsa-miR-589,hsa-miR-582-5p,hsa-miR-584,hsa-miR-586,hsa-miR-587,hsa-miR-583,hsa-miR-588,hsa-miR-581,hsa-miR-579,hsa-miR-591,hsa-miR-582-3p,hsa-miR-578,hsa-miR-580,hsa-miR-577,hsa-miR-576-5p,hsa-miR-576-3p
510,33.0,572.0,465.0,1.0,18.0,11.0,355.0,5.0,345.0,10.0,4.0,563.0,567.0,298.0,38.0,58.0,44.0,42.0,41.0,45.0,39.0,54.0,47.0,61.0,51.0,46.0,53.0,56.0,48.0,57.0
559,28.0,6.0,466.0,3.0,510.0,11.0,37.0,0.0,17.0,1.0,31.0,38.0,2.0,34.0,22.0,54.0,51.0,61.0,48.0,52.0,46.0,58.0,60.0,64.0,56.0,59.0,49.0,57.0,55.0,53.0
608,0.0,33.0,9.0,4.0,20.0,24.0,28.0,8.0,2.0,43.0,37.0,560.0,564.0,42.0,30.0,47.0,45.0,72.0,73.0,46.0,98.0,51.0,70.0,92.0,50.0,60.0,56.0,61.0,63.0,65.0
657,0.0,5.0,12.0,22.0,508.0,6.0,15.0,8.0,32.0,547.0,2.0,38.0,562.0,14.0,3.0,67.0,50.0,49.0,47.0,55.0,46.0,64.0,66.0,100.0,61.0,44.0,65.0,63.0,56.0,53.0
706,351.0,2.0,11.0,1.0,32.0,194.0,0.0,3.0,345.0,10.0,5.0,7.0,21.0,294.0,33.0,52.0,50.0,48.0,47.0,51.0,60.0,53.0,41.0,22.0,39.0,55.0,54.0,56.0,57.0,58.0
755,32.0,6.0,466.0,1.0,26.0,9.0,355.0,4.0,19.0,27.0,3.0,35.0,40.0,300.0,83.0,49.0,24.0,46.0,80.0,48.0,63.0,58.0,55.0,86.0,54.0,59.0,57.0,56.0,61.0,53.0
804,0.0,572.0,468.0,19.0,15.0,2.0,359.0,31.0,34.0,547.0,8.0,564.0,6.0,24.0,85.0,44.0,40.0,42.0,39.0,55.0,41.0,46.0,47.0,78.0,45.0,48.0,56.0,49.0,50.0,51.0
853,0.0,14.0,467.0,2.0,21.0,23.0,26.0,3.0,5.0,31.0,36.0,34.0,41.0,12.0,4.0,48.0,46.0,44.0,43.0,47.0,96.0,55.0,57.0,92.0,50.0,59.0,56.0,60.0,24.0,63.0
902,0.0,47.0,6.0,19.0,508.0,199.0,26.0,4.0,45.0,546.0,520.0,38.0,562.0,29.0,20.0,59.0,57.0,56.0,54.0,58.0,49.0,61.0,64.0,75.0,60.0,65.0,63.0,68.0,69.0,70.0
951,5.0,13.0,468.0,1.0,511.0,16.0,27.0,14.0,31.0,24.0,35.0,0.0,8.0,297.0,94.0,49.0,18.0,47.0,42.0,58.0,45.0,53.0,57.0,22.0,51.0,50.0,56.0,52.0,34.0,48.0
1000,3.0,8.0,17.0,22.0,12.0,195.0,355.0,462.0,31.0,548.0,522.0,43.0,564.0,299.0,62.0,27.0,56.0,55.0,51.0,59.0,53.0,5.0,58.0,48.0,61.0,57.0,54.0,52.0,50.0,49.0
1049,3.0,10.0,33.0,6.0,18.0,14.0,0.0,17.0,363.0,2.0,4.0,41.0,563.0,298.0,47.0,51.0,61.0,45.0,44.0,50.0,46.0,53.0,55.0,98.0,52.0,56.0,49.0,57.0,58.0,59.0
1098,18.0,28.0,2.0,6.0,14.0,249.0,5.0,0.0,34.0,37.0,8.0,32.0,565.0,19.0,56.0,66.0,62.0,60.0,59.0,63.0,57.0,68.0,105.0,53.0,67.0,155.0,96.0,106.0,7.0,143.0
1147,0.0,8.0,17.0,22.0,12.0,4.0,32.0,13.0,347.0,2.0,40.0,38.0,23.0,19.0,48.0,11.0,57.0,61.0,51.0,58.0,49.0,59.0,50.0,45.0,52.0,53.0,62.0,56.0,60.0,54.0
1196,1.0,3.0,2.0,166.0,10.0,237.0,27.0,461.0,29.0,548.0,522.0,560.0,564.0,293.0,22.0,54.0,51.0,60.0,53.0,50.0,56.0,52.0,58.0,47.0,43.0,57.0,40.0,55.0,28.0,49.0
1245,0.0,5.0,1.0,6.0,16.0,196.0,357.0,465.0,348.0,24.0,4.0,2.0,565.0,299.0,48.0,52.0,50.0,61.0,45.0,51.0,42.0,49.0,55.0,44.0,53.0,56.0,54.0,57.0,34.0,58.0
1294,3.0,29.0,0.0,13.0,12.0,195.0,8.0,464.0,329.0,548.0,38.0,2.0,564.0,297.0,64.0,17.0,68.0,67.0,66.0,69.0,65.0,106.0,107.0,18.0,71.0,108.0,139.0,143.0,145.0,146.0
1343,0.0,569.0,4.0,1.0,11.0,196.0,352.0,14.0,361.0,28.0,36.0,27.0,565.0,296.0,46.0,19.0,49.0,43.0,44.0,50.0,45.0,63.0,61.0,62.0,59.0,60.0,51.0,58.0,57.0,56.0
1392,0.0,30.0,9.0,2.0,506.0,24.0,5.0,16.0,362.0,29.0,39.0,40.0,42.0,300.0,97.0,48.0,46.0,45.0,44.0,47.0,70.0,51.0,55.0,92.0,50.0,57.0,54.0,58.0,60.0,65.0
1441,25.0,5.0,10.0,15.0,20.0,1.0,357.0,8.0,336.0,45.0,2.0,565.0,568.0,299.0,19.0,55.0,50.0,48.0,70.0,51.0,72.0,57.0,59.0,91.0,56.0,60.0,58.0,63.0,65.0,66.0
1490,1.0,3.0,468.0,14.0,0.0,30.0,356.0,462.0,20.0,34.0,33.0,564.0,28.0,297.0,51.0,23.0,56.0,55.0,53.0,57.0,52.0,60.0,62.0,48.0,59.0,63.0,61.0,64.0,66.0,67.0
1539,5.0,3.0,467.0,8.0,12.0,14.0,0.0,36.0,32.0,43.0,1.0,25.0,28.0,20.0,55.0,62.0,59.0,58.0,57.0,60.0,72.0,64.0,66.0,50.0,63.0,67.0,65.0,68.0,69.0,70.0
1588,42.0,3.0,16.0,2.0,15.0,198.0,4.0,464.0,5.0,25.0,36.0,41.0,0.0,34.0,45.0,11.0,53.0,51.0,52.0,54.0,62.0,58.0,61.0,48.0,56.0,59.0,60.0,57.0,55.0,50.0
1637,5.0,3.0,17.0,2.0,4.0,13.0,34.0,25.0,329.0,550.0,36.0,41.0,27.0,299.0,46.0,12.0,58.0,52.0,63.0,59.0,48.0,43.0,47.0,89.0,55.0,50.0,57.0,56.0,62.0,51.0
1686,0.0,28.0,469.0,12.0,20.0,21.0,25.0,6.0,26.0,29.0,44.0,36.0,560.0,299.0,19.0,60.0,58.0,68.0,54.0,69.0,53.0,62.0,65.0,84.0,61.0,66.0,63.0,67.0,99.0,155.0
1735,7.0,13.0,0.0,25.0,5.0,198.0,30.0,463.0,26.0,6.0,38.0,3.0,562.0,300.0,45.0,50.0,21.0,60.0,43.0,49.0,44.0,53.0,55.0,42.0,51.0,56.0,54.0,57.0,58.0,59.0
1784,32.0,569.0,466.0,2.0,1.0,197.0,355.0,18.0,342.0,6.0,4.0,3.0,565.0,299.0,53.0,22.0,59.0,58.0,69.0,60.0,45.0,63.0,65.0,49.0,62.0,66.0,64.0,67.0,68.0,72.0
1833,0.0,9.0,21.0,2.0,17.0,194.0,34.0,463.0,346.0,16.0,38.0,40.0,27.0,298.0,50.0,8.0,19.0,54.0,60.0,59.0,51.0,47.0,53.0,5.0,61.0,55.0,52.0,56.0,45.0,58.0
1882,6.0,11.0,18.0,153.0,512.0,196.0,356.0,15.0,32.0,27.0,3.0,5.0,9.0,299.0,24.0,2.0,47.0,42.0,46.0,60.0,43.0,56.0,58.0,61.0,53.0,48.0,57.0,55.0,54.0,52.0
1931,0.0,16.0,43.0,39.0,1.0,15.0,359.0,464.0,32.0,7.0,36.0,567.0,570.0,301.0,90.0,37.0,44.0,45.0,51.0,46.0,61.0,60.0,50.0,84.0,47.0,48.0,49.0,52.0,53.0,54.0
1980,1.0,0.0,2.0,3.0,511.0,198.0,35.0,4.0,361.0,14.0,37.0,561.0,564.0,299.0,50.0,24.0,60.0,54.0,53.0,45.0,51.0,64.0,52.0,43.0,56.0,47.0,61.0,55.0,57.0,62.0
2029,2.0,0.0,16.0,1.0,15.0,3.0,33.0,25.0,346.0,545.0,521.0,560.0,43.0,40.0,46.0,50.0,56.0,14.0,52.0,53.0,51.0,58.0,55.0,47.0,59.0,54.0,57.0,60.0,91.0,100.0
2078,0.0,11.0,2.0,26.0,16.0,9.0,42.0,18.0,363.0,23.0,39.0,560.0,563.0,14.0,44.0,53.0,50.0,49.0,48.0,52.0,62.0,55.0,57.0,27.0,54.0,58.0,56.0,59.0,60.0,61.0
2127,1.0,7.0,15.0,18.0,507.0,4.0,3.0,13.0,34.0,16.0,521.0,560.0,29.0,31.0,52.0,42.0,40.0,46.0,6.0,47.0,53.0,44.0,57.0,54.0,58.0,55.0,59.0,51.0,49.0,48.0
2176,25.0,569.0,5.0,16.0,510.0,24.0,355.0,12.0,1.0,41.0,523.0,4.0,565.0,297.0,97.0,20.0,44.0,55.0,67.0,45.0,69.0,49.0,53.0,95.0,48.0,54.0,66.0,52.0,56.0,58.0
2225,25.0,5.0,10.0,16.0,19.0,21.0,27.0,1.0,0.0,30.0,32.0,36.0,565.0,28.0,70.0,45.0,17.0,57.0,15.0,48.0,100.0,53.0,68.0,97.0,49.0,58.0,47.0,59.0,26.0,60.0
2274,0.0,567.0,2.0,1.0,509.0,14.0,352.0,15.0,17.0,9.0,4.0,560.0,563.0,6.0,46.0,16.0,61.0,50.0,49.0,54.0,48.0,60.0,59.0,81.0,57.0,56.0,43.0,62.0,47.0,53.0
2323,6.0,34.0,19.0,109.0,509.0,199.0,4.0,464.0,347.0,40.0,45.0,23.0,27.0,3.0,62.0,0.0,66.0,65.0,64.0,69.0,63.0,71.0,103.0,32.0,70.0,106.0,72.0,140.0,16.0,107.0
2372,6.0,8.0,465.0,3.0,12.0,38.0,1.0,461.0,29.0,26.0,0.0,41.0,564.0,19.0,49.0,15.0,56.0,43.0,57.0,53.0,50.0,62.0,59.0,45.0,55.0,58.0,60.0,54.0,52.0,51.0
2421,2.0,40.0,0.0,13.0,505.0,198.0,25.0,462.0,361.0,545.0,521.0,557.0,36.0,33.0,101.0,53.0,51.0,50.0,61.0,52.0,71.0,55.0,57.0,12.0,54.0,60.0,56.0,64.0,67.0,24.0
2470,1.0,566.0,2.0,5.0,20.0,21.0,0.0,9.0,348.0,549.0,4.0,42.0,562.0,300.0,44.0,62.0,56.0,47.0,46.0,59.0,45.0,66.0,55.0,70.0,65.0,57.0,67.0,68.0,52.0,49.0
2519,0.0,29.0,468.0,20.0,511.0,5.0,21.0,41.0,39.0,548.0,3.0,24.0,26.0,22.0,74.0,35.0,63.0,62.0,61.0,64.0,60.0,69.0,72.0,33.0,67.0,73.0,71.0,107.0,108.0,176.0
2568,0.0,26.0,14.0,8.0,506.0,15.0,4.0,34.0,19.0,545.0,519.0,30.0,27.0,303.0,60.0,66.0,64.0,63.0,62.0,65.0,61.0,68.0,70.0,21.0,67.0,71.0,69.0,105.0,107.0,142.0
2617,1.0,5.0,11.0,16.0,22.0,3.0,27.0,9.0,32.0,29.0,520.0,2.0,564.0,302.0,102.0,55.0,50.0,48.0,64.0,51.0,101.0,62.0,67.0,98.0,60.0,46.0,65.0,58.0,68.0,63.0
2666,0.0,569.0,1.0,18.0,11.0,4.0,3.0,464.0,336.0,546.0,521.0,38.0,44.0,300.0,40.0,59.0,55.0,51.0,48.0,57.0,45.0,49.0,53.0,25.0,61.0,52.0,63.0,60.0,58.0,56.0
2715,5.0,14.0,33.0,41.0,13.0,25.0,4.0,463.0,1.0,10.0,3.0,562.0,566.0,300.0,47.0,50.0,46.0,45.0,48.0,61.0,44.0,53.0,42.0,98.0,52.0,55.0,54.0,56.0,57.0,58.0
2764,4.0,8.0,465.0,22.0,3.0,29.0,1.0,14.0,43.0,545.0,30.0,562.0,5.0,298.0,20.0,58.0,55.0,52.0,50.0,57.0,47.0,49.0,54.0,59.0,61.0,53.0,56.0,51.0,60.0,48.0
2813,23.0,9.0,466.0,13.0,508.0,20.0,0.0,10.0,343.0,547.0,5.0,33.0,27.0,297.0,14.0,50.0,43.0,49.0,47.0,42.0,53.0,54.0,56.0,91.0,51.0,57.0,55.0,22.0,58.0,62.0
2862,1.0,3.0,17.0,19.0,27.0,242.0,0.0,465.0,349.0,545.0,36.0,559.0,31.0,297.0,2.0,52.0,54.0,55.0,56.0,53.0,57.0,50.0,47.0,59.0,60.0,46.0,49.0,86.0,98.0,165.0
2911,1.0,568.0,10.0,19.0,4.0,23.0,0.0,460.0,2.0,31.0,33.0,40.0,35.0,296.0,6.0,51.0,66.0,90.0,15.0,64.0,88.0,48.0,21.0,82.0,46.0,45.0,43.0,47.0,42.0,63.0
2960,0.0,562.0,7.0,13.0,17.0,20.0,25.0,5.0,3.0,548.0,522.0,38.0,558.0,28.0,99.0,43.0,16.0,48.0,49.0,50.0,67.0,47.0,55.0,12.0,42.0,56.0,51.0,57.0,58.0,60.0
3009,4.0,1.0,17.0,168.0,14.0,16.0,39.0,463.0,2.0,40.0,35.0,564.0,567.0,297.0,48.0,59.0,58.0,57.0,61.0,50.0,49.0,55.0,53.0,0.0,56.0,52.0,54.0,51.0,31.0,60.0
3058,2.0,0.0,17.0,167.0,512.0,197.0,359.0,464.0,31.0,28.0,3.0,1.0,568.0,299.0,54.0,58.0,29.0,57.0,46.0,61.0,59.0,55.0,60.0,49.0,53.0,63.0,62.0,56.0,48.0,47.0
3107,2.0,567.0,3.0,22.0,510.0,26.0,31.0,24.0,347.0,547.0,5.0,42.0,14.0,18.0,0.0,54.0,61.0,47.0,45.0,52.0,49.0,56.0,60.0,62.0,55.0,57.0,59.0,53.0,50.0,51.0
3156,0.0,40.0,12.0,29.0,510.0,197.0,352.0,442.0,31.0,547.0,38.0,35.0,563.0,299.0,70.0,50.0,44.0,48.0,68.0,46.0,100.0,67.0,55.0,6.0,51.0,56.0,52.0,58.0,27.0,62.0
3205,1.0,7.0,15.0,168.0,12.0,26.0,42.0,463.0,0.0,5.0,32.0,2.0,27.0,4.0,16.0,50.0,54.0,53.0,52.0,57.0,51.0,60.0,56.0,25.0,49.0,55.0,58.0,61.0,44.0,45.0
3254,27.0,34.0,469.0,168.0,19.0,23.0,358.0,464.0,30.0,36.0,1.0,41.0,37.0,299.0,95.0,52.0,44.0,47.0,69.0,50.0,68.0,54.0,59.0,92.0,53.0,60.0,57.0,62.0,64.0,65.0
3303,2.0,31.0,467.0,7.0,22.0,195.0,29.0,12.0,28.0,34.0,42.0,3.0,39.0,299.0,94.0,24.0,44.0,67.0,68.0,48.0,95.0,53.0,54.0,90.0,65.0,55.0,66.0,57.0,60.0,61.0
3352,3.0,9.0,17.0,2.0,13.0,0.0,360.0,465.0,33.0,38.0,37.0,41.0,6.0,299.0,47.0,12.0,14.0,55.0,19.0,51.0,50.0,59.0,52.0,23.0,58.0,53.0,60.0,54.0,56.0,57.0
3401,3.0,30.0,2.0,8.0,19.0,20.0,5.0,462.0,28.0,549.0,34.0,561.0,565.0,299.0,94.0,49.0,14.0,67.0,97.0,98.0,96.0,52.0,48.0,11.0,45.0,65.0,46.0,66.0,56.0,57.0
3450,0.0,1.0,8.0,18.0,23.0,24.0,26.0,462.0,10.0,547.0,521.0,44.0,37.0,297.0,22.0,54.0,67.0,48.0,52.0,55.0,47.0,58.0,61.0,68.0,57.0,62.0,60.0,63.0,64.0,66.0
3499,39.0,8.0,26.0,0.0,1.0,194.0,29.0,465.0,336.0,32.0,31.0,565.0,5.0,34.0,50.0,51.0,61.0,59.0,58.0,62.0,53.0,57.0,55.0,82.0,60.0,54.0,56.0,52.0,63.0,47.0
3548,0.0,569.0,7.0,6.0,511.0,37.0,355.0,461.0,342.0,549.0,32.0,27.0,12.0,17.0,42.0,51.0,4.0,48.0,46.0,50.0,47.0,41.0,55.0,59.0,57.0,54.0,56.0,53.0,52.0,49.0
3597,25.0,0.0,9.0,3.0,18.0,196.0,357.0,463.0,346.0,1.0,31.0,44.0,2.0,299.0,14.0,53.0,54.0,52.0,47.0,55.0,50.0,57.0,60.0,13.0,56.0,61.0,59.0,62.0,63.0,64.0
3646,31.0,13.0,21.0,6.0,14.0,0.0,4.0,18.0,3.0,7.0,29.0,28.0,1.0,5.0,43.0,54.0,49.0,47.0,58.0,53.0,41.0,45.0,55.0,26.0,56.0,52.0,57.0,51.0,50.0,48.0
3695,1.0,569.0,4.0,5.0,511.0,15.0,28.0,463.0,39.0,0.0,36.0,563.0,17.0,26.0,60.0,19.0,18.0,49.0,48.0,50.0,47.0,52.0,55.0,45.0,51.0,56.0,53.0,57.0,58.0,59.0
3744,4.0,0.0,12.0,169.0,23.0,197.0,1.0,9.0,3.0,35.0,520.0,38.0,2.0,40.0,44.0,51.0,48.0,47.0,22.0,50.0,45.0,55.0,57.0,92.0,53.0,58.0,56.0,59.0,63.0,64.0
3793,38.0,13.0,16.0,170.0,17.0,195.0,358.0,442.0,330.0,2.0,40.0,28.0,3.0,298.0,0.0,59.0,18.0,63.0,57.0,60.0,54.0,48.0,61.0,45.0,55.0,56.0,62.0,53.0,52.0,51.0
3842,3.0,4.0,469.0,24.0,17.0,11.0,36.0,25.0,330.0,0.0,37.0,12.0,2.0,35.0,60.0,56.0,20.0,50.0,45.0,55.0,47.0,52.0,46.0,82.0,58.0,48.0,57.0,51.0,53.0,59.0
3891,32.0,5.0,1.0,0.0,510.0,3.0,30.0,17.0,4.0,6.0,522.0,36.0,28.0,24.0,9.0,41.0,20.0,46.0,44.0,54.0,87.0,50.0,52.0,23.0,56.0,57.0,47.0,55.0,53.0,58.0
3940,44.0,12.0,4.0,21.0,510.0,1.0,2.0,461.0,30.0,27.0,37.0,42.0,567.0,31.0,0.0,54.0,47.0,45.0,80.0,48.0,63.0,57.0,49.0,22.0,55.0,60.0,59.0,61.0,52.0,56.0
3989,352.0,4.0,16.0,12.0,507.0,9.0,5.0,36.0,1.0,3.0,522.0,22.0,564.0,6.0,57.0,27.0,64.0,63.0,61.0,67.0,56.0,106.0,107.0,45.0,69.0,142.0,165.0,144.0,145.0,146.0
4038,2.0,0.0,16.0,12.0,17.0,195.0,4.0,465.0,345.0,43.0,44.0,24.0,566.0,18.0,57.0,68.0,64.0,61.0,60.0,67.0,59.0,71.0,106.0,51.0,70.0,156.0,75.0,108.0,107.0,143.0
4087,0.0,567.0,6.0,19.0,22.0,24.0,353.0,11.0,32.0,548.0,41.0,4.0,563.0,29.0,5.0,43.0,49.0,54.0,68.0,42.0,85.0,44.0,67.0,14.0,48.0,55.0,51.0,56.0,58.0,59.0
4136,5.0,33.0,0.0,168.0,2.0,24.0,7.0,463.0,29.0,547.0,1.0,34.0,38.0,297.0,30.0,44.0,50.0,49.0,80.0,43.0,66.0,48.0,25.0,15.0,46.0,56.0,64.0,57.0,28.0,61.0
4185,25.0,0.0,4.0,11.0,14.0,196.0,27.0,464.0,329.0,547.0,6.0,37.0,1.0,26.0,43.0,48.0,46.0,58.0,42.0,47.0,44.0,50.0,52.0,61.0,49.0,53.0,51.0,54.0,55.0,56.0
4234,24.0,13.0,6.0,14.0,1.0,3.0,358.0,463.0,26.0,548.0,5.0,33.0,30.0,28.0,69.0,20.0,45.0,55.0,97.0,47.0,68.0,50.0,54.0,12.0,49.0,57.0,53.0,58.0,60.0,61.0
4283,41.0,8.0,17.0,20.0,9.0,201.0,2.0,12.0,14.0,549.0,0.0,4.0,5.0,34.0,46.0,60.0,50.0,49.0,24.0,53.0,47.0,52.0,62.0,64.0,61.0,57.0,51.0,48.0,55.0,58.0
4332,0.0,14.0,5.0,18.0,22.0,1.0,2.0,464.0,3.0,549.0,37.0,32.0,566.0,15.0,16.0,47.0,95.0,94.0,66.0,65.0,93.0,48.0,50.0,11.0,45.0,51.0,49.0,52.0,26.0,55.0
4381,0.0,39.0,8.0,2.0,3.0,18.0,26.0,463.0,32.0,548.0,43.0,36.0,569.0,28.0,92.0,98.0,96.0,95.0,94.0,97.0,93.0,84.0,51.0,87.0,69.0,48.0,68.0,47.0,52.0,16.0
4430,349.0,569.0,15.0,18.0,512.0,191.0,354.0,36.0,1.0,39.0,42.0,27.0,29.0,0.0,34.0,35.0,64.0,63.0,62.0,65.0,61.0,68.0,70.0,71.0,67.0,74.0,69.0,105.0,137.0,107.0
4479,40.0,1.0,0.0,29.0,14.0,196.0,36.0,17.0,347.0,7.0,38.0,44.0,24.0,46.0,42.0,13.0,52.0,51.0,62.0,53.0,47.0,55.0,57.0,8.0,54.0,58.0,56.0,59.0,60.0,61.0
4528,355.0,3.0,469.0,20.0,21.0,194.0,7.0,464.0,10.0,41.0,39.0,1.0,4.0,298.0,95.0,44.0,54.0,67.0,97.0,46.0,68.0,49.0,51.0,92.0,47.0,66.0,50.0,24.0,53.0,28.0
4577,1.0,10.0,4.0,0.0,9.0,198.0,357.0,25.0,6.0,548.0,5.0,31.0,7.0,2.0,44.0,57.0,20.0,61.0,47.0,55.0,49.0,50.0,56.0,59.0,60.0,54.0,58.0,51.0,53.0,52.0
4626,27.0,45.0,13.0,169.0,507.0,240.0,30.0,464.0,29.0,546.0,3.0,0.0,563.0,35.0,16.0,23.0,21.0,33.0,67.0,49.0,96.0,57.0,58.0,91.0,56.0,61.0,55.0,62.0,65.0,80.0
4675,350.0,0.0,3.0,15.0,510.0,41.0,355.0,462.0,31.0,30.0,4.0,2.0,28.0,19.0,27.0,11.0,14.0,16.0,47.0,57.0,45.0,53.0,43.0,62.0,51.0,56.0,58.0,55.0,54.0,52.0
4724,3.0,19.0,9.0,20.0,2.0,196.0,1.0,12.0,361.0,548.0,4.0,39.0,42.0,0.0,18.0,55.0,98.0,97.0,96.0,68.0,99.0,45.0,50.0,29.0,51.0,52.0,48.0,67.0,53.0,56.0
4773,7.0,26.0,15.0,0.0,512.0,193.0,5.0,36.0,344.0,551.0,42.0,2.0,22.0,296.0,29.0,34.0,32.0,61.0,30.0,65.0,60.0,69.0,154.0,35.0,67.0,105.0,104.0,140.0,141.0,142.0
4822,44.0,3.0,15.0,0.0,13.0,198.0,40.0,11.0,347.0,549.0,39.0,1.0,2.0,4.0,61.0,14.0,55.0,48.0,47.0,58.0,46.0,60.0,52.0,64.0,53.0,50.0,59.0,49.0,43.0,54.0
4871,37.0,9.0,1.0,22.0,11.0,196.0,358.0,15.0,30.0,25.0,4.0,41.0,27.0,0.0,23.0,8.0,54.0,52.0,48.0,50.0,47.0,53.0,57.0,79.0,59.0,56.0,58.0,55.0,51.0,60.0
