,CD49b,Porin,Caspase-7_cleavedD198,C-Raf_pS338,eEF2,Akt_pS473,Src,IRS1,AR,GATA3,p21,Acetyl-a-Tubulin (Lys40),ACC1,Cyclin_E2,MIG-6,alpha-Catenin,P-Cadherin,Collagen_VI,IGFBP2,Rad50,Bcl-2,4E-BP1_pT70,TTF1,Akt,AMPK_pT172,VAV1,p62 Lck ligand,STAT5-alpha,p90RSK_pT359_S363,Gab2
641,0.0,5.0,2.0,25.0,3.0,6.0,18.0,1.0,62.0,4.0,14.0,73.0,15.0,7.0,74.0,54.0,33.0,64.0,16.0,51.0,42.0,72.0,77.0,130.0,41.0,21.0,39.0,13.0,35.0,22.0
690,2.0,3.0,11.0,30.0,0.0,15.0,21.0,1.0,23.0,12.0,46.0,31.0,65.0,101.0,6.0,75.0,35.0,39.0,5.0,41.0,49.0,79.0,4.0,20.0,36.0,61.0,76.0,8.0,40.0,33.0
739,27.0,2.0,3.0,14.0,0.0,6.0,23.0,1.0,46.0,26.0,92.0,19.0,117.0,25.0,16.0,82.0,79.0,10.0,7.0,100.0,22.0,116.0,44.0,54.0,42.0,89.0,45.0,15.0,31.0,12.0
788,4.0,1.0,5.0,6.0,2.0,3.0,62.0,0.0,46.0,10.0,22.0,94.0,60.0,42.0,58.0,91.0,15.0,18.0,77.0,35.0,12.0,138.0,13.0,50.0,73.0,137.0,47.0,61.0,108.0,43.0
837,3.0,9.0,5.0,102.0,2.0,0.0,11.0,1.0,62.0,14.0,10.0,143.0,53.0,97.0,94.0,6.0,43.0,18.0,50.0,59.0,12.0,124.0,22.0,52.0,115.0,35.0,38.0,68.0,16.0,20.0
886,1.0,2.0,34.0,3.0,0.0,145.0,6.0,4.0,9.0,26.0,121.0,16.0,33.0,42.0,96.0,66.0,102.0,123.0,68.0,39.0,20.0,61.0,5.0,60.0,13.0,36.0,46.0,80.0,8.0,95.0
935,1.0,0.0,49.0,4.0,8.0,5.0,15.0,3.0,89.0,2.0,79.0,17.0,81.0,22.0,54.0,28.0,64.0,100.0,92.0,21.0,118.0,46.0,24.0,23.0,52.0,14.0,39.0,82.0,40.0,32.0
984,1.0,3.0,0.0,2.0,9.0,6.0,12.0,95.0,5.0,8.0,20.0,26.0,18.0,62.0,17.0,14.0,77.0,24.0,19.0,45.0,88.0,16.0,22.0,4.0,164.0,92.0,57.0,44.0,30.0,38.0
1033,0.0,23.0,4.0,50.0,3.0,13.0,10.0,107.0,2.0,89.0,5.0,53.0,8.0,65.0,160.0,26.0,51.0,30.0,7.0,15.0,40.0,1.0,11.0,12.0,31.0,34.0,39.0,59.0,43.0,128.0
1082,2.0,1.0,4.0,21.0,10.0,13.0,98.0,27.0,3.0,5.0,9.0,8.0,22.0,6.0,42.0,31.0,12.0,45.0,7.0,39.0,19.0,11.0,56.0,37.0,159.0,50.0,125.0,24.0,0.0,26.0
1131,3.0,1.0,2.0,11.0,10.0,25.0,47.0,59.0,0.0,15.0,57.0,6.0,34.0,32.0,4.0,53.0,74.0,16.0,153.0,49.0,40.0,110.0,77.0,8.0,17.0,27.0,114.0,7.0,29.0,20.0
1180,4.0,1.0,0.0,13.0,2.0,6.0,8.0,45.0,28.0,19.0,34.0,25.0,12.0,71.0,23.0,5.0,40.0,48.0,127.0,18.0,55.0,38.0,31.0,3.0,94.0,9.0,7.0,97.0,16.0,53.0
1229,1.0,0.0,9.0,14.0,3.0,10.0,38.0,18.0,6.0,12.0,4.0,19.0,25.0,34.0,17.0,5.0,96.0,16.0,42.0,100.0,157.0,39.0,31.0,2.0,149.0,41.0,81.0,52.0,7.0,22.0
1278,4.0,3.0,0.0,2.0,1.0,28.0,35.0,67.0,7.0,10.0,19.0,9.0,69.0,12.0,54.0,101.0,76.0,13.0,5.0,78.0,56.0,41.0,18.0,61.0,111.0,8.0,42.0,6.0,23.0,26.0
1327,2.0,18.0,11.0,3.0,0.0,47.0,38.0,8.0,1.0,24.0,23.0,28.0,152.0,72.0,69.0,41.0,104.0,16.0,57.0,62.0,132.0,111.0,44.0,21.0,9.0,60.0,25.0,42.0,6.0,20.0
1376,1.0,6.0,0.0,2.0,51.0,78.0,22.0,69.0,7.0,10.0,50.0,4.0,11.0,13.0,61.0,42.0,28.0,20.0,142.0,113.0,100.0,64.0,40.0,16.0,118.0,5.0,115.0,3.0,12.0,41.0
1425,6.0,1.0,0.0,4.0,13.0,33.0,75.0,24.0,5.0,36.0,44.0,3.0,2.0,9.0,37.0,31.0,144.0,17.0,32.0,34.0,142.0,19.0,23.0,107.0,58.0,80.0,95.0,59.0,10.0,40.0
1474,1.0,3.0,0.0,4.0,11.0,28.0,2.0,36.0,9.0,15.0,7.0,62.0,80.0,51.0,8.0,10.0,12.0,75.0,26.0,61.0,116.0,54.0,22.0,42.0,47.0,91.0,122.0,53.0,55.0,41.0
1523,2.0,49.0,1.0,0.0,14.0,45.0,4.0,6.0,55.0,36.0,81.0,88.0,91.0,73.0,90.0,29.0,103.0,8.0,17.0,98.0,142.0,144.0,28.0,149.0,20.0,82.0,11.0,48.0,9.0,53.0
1572,3.0,12.0,0.0,6.0,27.0,50.0,1.0,13.0,5.0,15.0,26.0,90.0,11.0,22.0,47.0,29.0,34.0,18.0,14.0,9.0,16.0,112.0,8.0,106.0,116.0,30.0,89.0,4.0,51.0,75.0
1621,3.0,1.0,0.0,7.0,11.0,30.0,2.0,127.0,6.0,116.0,153.0,130.0,13.0,10.0,41.0,21.0,78.0,4.0,26.0,61.0,12.0,107.0,101.0,129.0,36.0,20.0,98.0,15.0,17.0,93.0
1670,1.0,2.0,4.0,24.0,15.0,78.0,3.0,57.0,10.0,0.0,22.0,111.0,124.0,23.0,5.0,18.0,162.0,34.0,71.0,13.0,60.0,43.0,36.0,41.0,26.0,7.0,20.0,14.0,48.0,93.0
1719,2.0,8.0,1.0,5.0,20.0,75.0,0.0,19.0,54.0,56.0,17.0,116.0,10.0,3.0,21.0,24.0,64.0,58.0,47.0,26.0,131.0,94.0,71.0,36.0,141.0,104.0,123.0,14.0,93.0,70.0
1768,0.0,2.0,1.0,5.0,19.0,108.0,7.0,30.0,3.0,70.0,31.0,69.0,54.0,55.0,15.0,92.0,9.0,59.0,13.0,20.0,8.0,152.0,45.0,67.0,76.0,4.0,58.0,10.0,97.0,100.0
1817,0.0,6.0,3.0,18.0,1.0,144.0,2.0,20.0,87.0,51.0,89.0,8.0,22.0,28.0,29.0,53.0,146.0,15.0,50.0,55.0,39.0,117.0,4.0,24.0,33.0,10.0,96.0,47.0,70.0,72.0
1866,5.0,2.0,0.0,44.0,6.0,133.0,1.0,43.0,63.0,72.0,94.0,33.0,13.0,39.0,79.0,40.0,8.0,51.0,76.0,11.0,18.0,21.0,14.0,45.0,87.0,15.0,7.0,4.0,83.0,62.0
1915,6.0,0.0,65.0,10.0,25.0,13.0,1.0,5.0,9.0,14.0,12.0,7.0,72.0,26.0,85.0,47.0,49.0,3.0,45.0,40.0,2.0,124.0,24.0,63.0,101.0,59.0,107.0,8.0,35.0,53.0
1964,5.0,12.0,1.0,11.0,0.0,19.0,14.0,53.0,66.0,3.0,6.0,45.0,76.0,78.0,43.0,153.0,4.0,97.0,2.0,50.0,28.0,33.0,15.0,99.0,65.0,70.0,26.0,13.0,68.0,18.0
2013,11.0,5.0,1.0,2.0,0.0,48.0,27.0,41.0,53.0,10.0,95.0,19.0,119.0,59.0,79.0,35.0,42.0,80.0,60.0,26.0,3.0,117.0,84.0,6.0,22.0,18.0,21.0,37.0,7.0,16.0
2062,5.0,1.0,2.0,7.0,12.0,9.0,19.0,47.0,26.0,0.0,3.0,17.0,129.0,6.0,103.0,63.0,10.0,67.0,4.0,69.0,79.0,126.0,60.0,122.0,15.0,11.0,55.0,8.0,49.0,34.0
2111,44.0,15.0,2.0,21.0,1.0,0.0,36.0,29.0,92.0,34.0,10.0,30.0,93.0,42.0,5.0,48.0,3.0,12.0,24.0,96.0,80.0,6.0,57.0,52.0,63.0,31.0,7.0,9.0,17.0,94.0
2160,9.0,15.0,5.0,10.0,0.0,36.0,8.0,53.0,24.0,47.0,6.0,2.0,92.0,18.0,117.0,67.0,27.0,96.0,76.0,118.0,14.0,58.0,3.0,71.0,72.0,78.0,20.0,1.0,102.0,37.0
2209,5.0,3.0,2.0,0.0,4.0,60.0,78.0,25.0,13.0,1.0,45.0,16.0,100.0,10.0,70.0,17.0,26.0,50.0,8.0,46.0,97.0,32.0,31.0,27.0,55.0,28.0,92.0,18.0,34.0,94.0
2258,1.0,6.0,0.0,12.0,3.0,108.0,38.0,9.0,65.0,4.0,24.0,32.0,121.0,51.0,15.0,110.0,68.0,48.0,41.0,73.0,47.0,40.0,54.0,43.0,140.0,14.0,39.0,2.0,21.0,17.0
2307,7.0,0.0,4.0,40.0,28.0,20.0,49.0,33.0,6.0,3.0,38.0,1.0,2.0,30.0,37.0,19.0,126.0,82.0,26.0,39.0,21.0,5.0,57.0,35.0,24.0,12.0,59.0,53.0,8.0,14.0
2356,3.0,12.0,0.0,7.0,1.0,70.0,4.0,48.0,85.0,10.0,38.0,2.0,27.0,23.0,36.0,73.0,22.0,50.0,56.0,8.0,89.0,46.0,68.0,91.0,29.0,17.0,49.0,64.0,43.0,28.0
2405,6.0,0.0,41.0,28.0,1.0,32.0,3.0,91.0,54.0,9.0,4.0,11.0,19.0,10.0,39.0,55.0,93.0,7.0,85.0,147.0,60.0,5.0,29.0,45.0,86.0,18.0,38.0,26.0,70.0,22.0
2454,1.0,11.0,10.0,9.0,0.0,21.0,109.0,26.0,35.0,27.0,56.0,33.0,44.0,20.0,15.0,4.0,39.0,3.0,60.0,76.0,13.0,96.0,6.0,75.0,2.0,5.0,23.0,19.0,37.0,61.0
2503,3.0,26.0,43.0,0.0,6.0,140.0,37.0,4.0,46.0,14.0,2.0,10.0,152.0,133.0,19.0,13.0,33.0,24.0,48.0,76.0,35.0,7.0,137.0,5.0,60.0,98.0,89.0,145.0,87.0,99.0
2552,3.0,1.0,5.0,2.0,25.0,7.0,35.0,4.0,0.0,11.0,62.0,22.0,119.0,59.0,127.0,96.0,51.0,39.0,152.0,6.0,55.0,8.0,17.0,61.0,20.0,111.0,129.0,18.0,124.0,109.0
2601,4.0,2.0,1.0,28.0,8.0,21.0,75.0,3.0,19.0,12.0,31.0,7.0,95.0,20.0,58.0,14.0,86.0,35.0,54.0,29.0,36.0,98.0,25.0,47.0,18.0,51.0,37.0,23.0,82.0,119.0
2650,2.0,6.0,1.0,11.0,5.0,9.0,70.0,10.0,28.0,30.0,7.0,15.0,3.0,49.0,13.0,59.0,133.0,115.0,32.0,23.0,37.0,16.0,45.0,128.0,26.0,81.0,25.0,29.0,41.0,124.0
2699,10.0,5.0,38.0,4.0,21.0,23.0,3.0,11.0,41.0,6.0,2.0,65.0,138.0,42.0,15.0,13.0,29.0,32.0,54.0,9.0,88.0,14.0,71.0,17.0,31.0,62.0,89.0,112.0,58.0,60.0
2748,1.0,13.0,6.0,0.0,10.0,11.0,80.0,7.0,15.0,14.0,5.0,95.0,108.0,62.0,4.0,46.0,74.0,17.0,39.0,8.0,12.0,36.0,51.0,40.0,34.0,24.0,68.0,124.0,75.0,150.0
2797,1.0,18.0,2.0,0.0,7.0,4.0,14.0,3.0,6.0,21.0,24.0,144.0,72.0,90.0,43.0,19.0,13.0,23.0,9.0,35.0,55.0,16.0,5.0,103.0,12.0,27.0,80.0,49.0,25.0,58.0
2846,1.0,2.0,44.0,14.0,0.0,73.0,7.0,90.0,40.0,23.0,116.0,57.0,89.0,91.0,120.0,69.0,52.0,4.0,19.0,75.0,114.0,39.0,45.0,83.0,20.0,6.0,98.0,151.0,32.0,78.0
2895,4.0,0.0,13.0,10.0,27.0,40.0,106.0,1.0,3.0,5.0,19.0,46.0,83.0,18.0,7.0,49.0,2.0,137.0,108.0,24.0,17.0,51.0,21.0,39.0,22.0,131.0,16.0,87.0,124.0,48.0
2944,0.0,4.0,8.0,15.0,18.0,26.0,52.0,11.0,53.0,12.0,3.0,10.0,49.0,1.0,14.0,25.0,93.0,2.0,9.0,21.0,61.0,64.0,84.0,7.0,5.0,22.0,106.0,54.0,13.0,138.0
2993,0.0,3.0,13.0,12.0,89.0,15.0,18.0,81.0,6.0,37.0,32.0,1.0,53.0,4.0,22.0,10.0,9.0,28.0,5.0,2.0,21.0,131.0,130.0,120.0,38.0,94.0,16.0,62.0,88.0,147.0
3042,0.0,38.0,8.0,28.0,2.0,13.0,85.0,20.0,66.0,1.0,51.0,5.0,16.0,70.0,27.0,14.0,151.0,44.0,59.0,111.0,6.0,84.0,75.0,29.0,30.0,34.0,17.0,86.0,19.0,99.0
3091,10.0,4.0,1.0,0.0,9.0,11.0,5.0,152.0,3.0,28.0,7.0,81.0,32.0,33.0,16.0,17.0,14.0,12.0,6.0,22.0,25.0,47.0,27.0,91.0,2.0,37.0,84.0,116.0,19.0,29.0
3140,2.0,1.0,3.0,7.0,0.0,22.0,13.0,125.0,88.0,6.0,21.0,4.0,28.0,9.0,122.0,11.0,19.0,33.0,55.0,85.0,87.0,84.0,5.0,61.0,14.0,115.0,89.0,129.0,32.0,77.0
3189,5.0,0.0,2.0,32.0,10.0,1.0,36.0,11.0,23.0,26.0,6.0,33.0,28.0,16.0,13.0,59.0,8.0,52.0,140.0,3.0,90.0,34.0,100.0,156.0,61.0,60.0,20.0,69.0,54.0,41.0
3238,0.0,4.0,30.0,1.0,2.0,3.0,27.0,21.0,87.0,28.0,12.0,58.0,53.0,8.0,32.0,5.0,93.0,49.0,83.0,50.0,74.0,56.0,48.0,64.0,9.0,51.0,45.0,112.0,85.0,13.0
3287,1.0,17.0,16.0,9.0,3.0,8.0,10.0,4.0,32.0,83.0,5.0,7.0,19.0,2.0,26.0,60.0,11.0,85.0,13.0,12.0,37.0,117.0,6.0,25.0,28.0,87.0,23.0,114.0,49.0,34.0
3336,0.0,15.0,11.0,26.0,30.0,14.0,6.0,76.0,7.0,12.0,2.0,9.0,56.0,1.0,17.0,4.0,72.0,51.0,33.0,29.0,18.0,64.0,37.0,45.0,13.0,27.0,42.0,95.0,99.0,128.0
3385,13.0,3.0,1.0,5.0,2.0,0.0,109.0,26.0,157.0,27.0,21.0,9.0,32.0,11.0,68.0,14.0,17.0,28.0,91.0,16.0,24.0,35.0,66.0,12.0,93.0,43.0,50.0,57.0,132.0,19.0
3434,0.0,3.0,1.0,12.0,79.0,15.0,48.0,16.0,25.0,95.0,7.0,116.0,52.0,5.0,4.0,70.0,60.0,9.0,20.0,110.0,115.0,32.0,74.0,155.0,34.0,91.0,33.0,80.0,26.0,2.0
3483,0.0,2.0,7.0,16.0,70.0,34.0,6.0,13.0,20.0,43.0,26.0,35.0,15.0,121.0,46.0,49.0,86.0,4.0,23.0,133.0,9.0,30.0,25.0,21.0,134.0,89.0,63.0,45.0,146.0,19.0
3532,0.0,3.0,2.0,4.0,47.0,6.0,124.0,11.0,7.0,62.0,42.0,93.0,12.0,34.0,19.0,24.0,1.0,37.0,13.0,58.0,18.0,43.0,28.0,100.0,96.0,32.0,8.0,67.0,50.0,20.0
3581,2.0,0.0,1.0,15.0,76.0,4.0,7.0,79.0,10.0,36.0,19.0,27.0,3.0,73.0,77.0,11.0,53.0,98.0,6.0,24.0,34.0,33.0,51.0,129.0,104.0,66.0,14.0,54.0,85.0,5.0
3630,0.0,4.0,13.0,2.0,10.0,3.0,19.0,1.0,92.0,33.0,71.0,46.0,14.0,26.0,23.0,12.0,38.0,22.0,20.0,147.0,21.0,29.0,78.0,49.0,64.0,103.0,70.0,86.0,65.0,60.0
3679,0.0,1.0,11.0,24.0,18.0,2.0,4.0,6.0,7.0,152.0,12.0,53.0,5.0,61.0,88.0,65.0,37.0,9.0,63.0,40.0,138.0,16.0,51.0,94.0,161.0,58.0,80.0,56.0,93.0,26.0
3728,1.0,0.0,4.0,29.0,8.0,2.0,19.0,88.0,36.0,45.0,97.0,18.0,25.0,81.0,16.0,14.0,56.0,37.0,155.0,61.0,68.0,89.0,5.0,17.0,150.0,51.0,71.0,23.0,32.0,7.0
3777,2.0,7.0,20.0,1.0,35.0,0.0,25.0,21.0,6.0,108.0,24.0,50.0,17.0,38.0,49.0,10.0,92.0,41.0,101.0,18.0,56.0,16.0,32.0,144.0,84.0,105.0,14.0,11.0,28.0,5.0
3826,0.0,9.0,1.0,6.0,52.0,2.0,5.0,11.0,8.0,70.0,35.0,137.0,10.0,14.0,34.0,22.0,117.0,59.0,43.0,61.0,24.0,133.0,111.0,118.0,65.0,3.0,87.0,112.0,77.0,12.0
3875,0.0,3.0,2.0,1.0,8.0,15.0,40.0,6.0,30.0,62.0,84.0,63.0,4.0,45.0,66.0,38.0,50.0,71.0,32.0,29.0,101.0,26.0,64.0,24.0,112.0,107.0,79.0,23.0,157.0,13.0
3924,12.0,2.0,18.0,4.0,60.0,0.0,53.0,20.0,1.0,157.0,121.0,42.0,7.0,29.0,38.0,3.0,36.0,95.0,66.0,17.0,41.0,49.0,105.0,30.0,11.0,108.0,62.0,61.0,27.0,39.0
3973,1.0,0.0,3.0,42.0,12.0,38.0,26.0,7.0,13.0,33.0,115.0,89.0,50.0,14.0,20.0,107.0,18.0,98.0,39.0,48.0,124.0,41.0,49.0,22.0,19.0,69.0,15.0,31.0,17.0,36.0
4022,2.0,1.0,0.0,102.0,19.0,6.0,11.0,23.0,18.0,7.0,37.0,8.0,48.0,34.0,57.0,41.0,4.0,87.0,39.0,30.0,38.0,56.0,5.0,80.0,3.0,14.0,46.0,9.0,33.0,109.0
4071,2.0,1.0,0.0,3.0,10.0,12.0,5.0,125.0,60.0,28.0,73.0,7.0,35.0,17.0,123.0,41.0,37.0,19.0,52.0,44.0,153.0,20.0,53.0,22.0,27.0,29.0,160.0,92.0,132.0,104.0
4120,1.0,0.0,3.0,5.0,9.0,7.0,12.0,134.0,20.0,31.0,33.0,40.0,48.0,29.0,17.0,10.0,36.0,21.0,11.0,53.0,18.0,148.0,67.0,16.0,51.0,133.0,101.0,66.0,6.0,93.0
4169,1.0,3.0,0.0,52.0,9.0,2.0,11.0,18.0,4.0,74.0,19.0,12.0,29.0,35.0,6.0,37.0,5.0,110.0,61.0,10.0,39.0,22.0,13.0,31.0,23.0,103.0,67.0,107.0,48.0,100.0
4218,1.0,4.0,36.0,0.0,11.0,3.0,10.0,28.0,8.0,106.0,37.0,67.0,27.0,51.0,12.0,40.0,31.0,16.0,64.0,110.0,29.0,53.0,42.0,71.0,2.0,50.0,7.0,14.0,32.0,13.0
4267,2.0,0.0,1.0,43.0,13.0,15.0,32.0,4.0,67.0,97.0,63.0,71.0,8.0,90.0,37.0,38.0,6.0,12.0,18.0,84.0,111.0,28.0,19.0,33.0,11.0,29.0,49.0,52.0,17.0,44.0
4316,3.0,8.0,2.0,4.0,10.0,0.0,1.0,32.0,24.0,41.0,54.0,47.0,25.0,15.0,61.0,18.0,6.0,19.0,22.0,21.0,46.0,13.0,36.0,104.0,7.0,42.0,33.0,16.0,17.0,5.0
4365,1.0,0.0,6.0,9.0,152.0,4.0,17.0,24.0,84.0,83.0,44.0,97.0,5.0,50.0,16.0,53.0,64.0,11.0,22.0,28.0,34.0,3.0,101.0,90.0,8.0,59.0,7.0,119.0,2.0,12.0
4414,0.0,2.0,4.0,1.0,14.0,7.0,3.0,16.0,44.0,33.0,34.0,6.0,135.0,38.0,51.0,5.0,30.0,55.0,10.0,73.0,134.0,15.0,77.0,61.0,58.0,39.0,60.0,8.0,94.0,120.0
4463,0.0,2.0,14.0,24.0,6.0,1.0,25.0,63.0,104.0,18.0,8.0,7.0,88.0,33.0,40.0,11.0,4.0,34.0,98.0,9.0,16.0,13.0,37.0,120.0,66.0,55.0,68.0,57.0,136.0,74.0
4512,0.0,9.0,1.0,8.0,2.0,7.0,41.0,32.0,16.0,11.0,86.0,6.0,47.0,18.0,37.0,40.0,48.0,29.0,22.0,43.0,145.0,57.0,124.0,10.0,52.0,33.0,13.0,15.0,25.0,66.0
4561,1.0,4.0,38.0,2.0,54.0,0.0,50.0,12.0,58.0,17.0,18.0,5.0,163.0,42.0,21.0,103.0,44.0,61.0,32.0,27.0,129.0,30.0,33.0,64.0,29.0,88.0,3.0,8.0,140.0,14.0
4610,0.0,2.0,7.0,16.0,1.0,4.0,12.0,5.0,56.0,55.0,27.0,3.0,104.0,26.0,70.0,91.0,40.0,23.0,28.0,29.0,82.0,35.0,31.0,18.0,84.0,80.0,67.0,147.0,90.0,69.0
4659,2.0,0.0,15.0,6.0,1.0,32.0,4.0,9.0,23.0,43.0,27.0,37.0,105.0,51.0,83.0,17.0,19.0,64.0,55.0,7.0,14.0,25.0,79.0,41.0,45.0,46.0,30.0,12.0,120.0,100.0
4708,2.0,7.0,40.0,21.0,3.0,0.0,1.0,4.0,111.0,46.0,101.0,15.0,60.0,39.0,18.0,59.0,8.0,126.0,91.0,20.0,49.0,103.0,122.0,131.0,12.0,67.0,42.0,86.0,125.0,114.0
4757,1.0,0.0,13.0,4.0,6.0,3.0,131.0,40.0,68.0,15.0,24.0,76.0,33.0,53.0,36.0,18.0,7.0,23.0,39.0,22.0,9.0,19.0,60.0,50.0,31.0,95.0,30.0,107.0,61.0,58.0
4806,7.0,8.0,4.0,1.0,0.0,6.0,16.0,11.0,138.0,64.0,23.0,18.0,146.0,29.0,115.0,34.0,9.0,100.0,55.0,25.0,15.0,41.0,28.0,21.0,58.0,101.0,22.0,73.0,134.0,10.0
4855,0.0,4.0,18.0,6.0,1.0,3.0,12.0,7.0,68.0,19.0,26.0,2.0,75.0,91.0,34.0,73.0,20.0,50.0,35.0,16.0,32.0,42.0,84.0,56.0,5.0,101.0,120.0,70.0,133.0,119.0
