,EDA2R,DDB2,NDN,PTPN13,PHLDA3,SNX18P16,CFH,FAM101A,EMB,ZMAT3,CITED4,FOXJ1,FDXR,LINC01021,TRIM22,TLE4,BHLHE41,TGFA,EVC2,PCDHB17,DGKA,RASSF9,PRR16,TUSC3,BAX,LINC00942,PCDHB6,ANKRD19P,HIST2H2BB,ST6GALNAC5
499,13.0,1.0,139.0,0.0,19.0,21.0,7.0,6.0,522.0,30.0,3.0,15.0,22.0,48.0,8.0,4.0,9.0,17.0,5.0,10.0,142.0,113.0,35.0,46.0,148.0,2.0,11.0,34.0,61.0,16.0
548,0.0,9.0,27.0,1.0,2.0,8.0,11.0,7.0,84.0,10.0,34.0,13.0,5.0,77.0,3.0,12.0,4.0,18.0,14.0,24.0,64.0,124.0,143.0,29.0,17.0,6.0,36.0,32.0,140.0,53.0
597,0.0,6.0,1693.0,1.0,11.0,13.0,18.0,5.0,123.0,7.0,10.0,4.0,3.0,39.0,59.0,2.0,9.0,19.0,14.0,12.0,26.0,82.0,24.0,31.0,29.0,22.0,17.0,8.0,54.0,110.0
646,0.0,4.0,19.0,3.0,9.0,15.0,7.0,27.0,327.0,18.0,41.0,12.0,22.0,17.0,5.0,6.0,2.0,31.0,1.0,56.0,38.0,33.0,116.0,69.0,24.0,10.0,32.0,54.0,95.0,16.0
695,0.0,10.0,3.0,2.0,8.0,21.0,5.0,22.0,47.0,13.0,7.0,75.0,29.0,61.0,12.0,9.0,4.0,19.0,6.0,41.0,42.0,52.0,11.0,187.0,46.0,1.0,37.0,45.0,67.0,43.0
744,19.0,13.0,1.0,15.0,6.0,70.0,0.0,5.0,18.0,16.0,24.0,7.0,11.0,41.0,8.0,2.0,3.0,46.0,37.0,362.0,122.0,100.0,120.0,12.0,99.0,134.0,116.0,20.0,9.0,14.0
793,2.0,3.0,37.0,0.0,8.0,16.0,10.0,11.0,138.0,22.0,15.0,1.0,7.0,345.0,5.0,13.0,9.0,25.0,27.0,14.0,91.0,36.0,40.0,29.0,31.0,12.0,17.0,78.0,46.0,21.0
842,1.0,2.0,28.0,0.0,5.0,18.0,13.0,4.0,202.0,26.0,19.0,9.0,3.0,17.0,12.0,6.0,51.0,10.0,11.0,279.0,37.0,39.0,46.0,23.0,58.0,8.0,239.0,54.0,31.0,240.0
891,0.0,6.0,25.0,5.0,3.0,7.0,20.0,12.0,246.0,16.0,49.0,18.0,4.0,39.0,2.0,15.0,59.0,10.0,1.0,47.0,13.0,110.0,44.0,69.0,11.0,41.0,60.0,38.0,303.0,19.0
940,0.0,5.0,2.0,1.0,11.0,7.0,14.0,29.0,93.0,6.0,18.0,25.0,13.0,182.0,4.0,15.0,3.0,16.0,17.0,32.0,159.0,229.0,50.0,78.0,38.0,81.0,22.0,147.0,54.0,82.0
989,1.0,4.0,2.0,0.0,13.0,15.0,12.0,51.0,49.0,5.0,19.0,24.0,11.0,6.0,22.0,7.0,20.0,34.0,10.0,54.0,26.0,8.0,42.0,65.0,35.0,32.0,100.0,28.0,61.0,87.0
1038,3.0,1.0,16.0,0.0,6.0,7.0,17.0,297.0,37.0,5.0,10.0,4.0,14.0,2.0,13.0,9.0,15.0,340.0,11.0,55.0,23.0,21.0,25.0,34.0,56.0,48.0,57.0,51.0,42.0,50.0
1087,0.0,2.0,11.0,21.0,10.0,5.0,14.0,12.0,553.0,8.0,20.0,7.0,4.0,9.0,13.0,1.0,6.0,22.0,393.0,33.0,30.0,19.0,63.0,140.0,43.0,17.0,97.0,68.0,111.0,246.0
1136,10.0,7.0,5.0,0.0,2.0,9.0,12.0,21.0,19.0,13.0,4.0,8.0,24.0,26.0,35.0,6.0,25.0,28.0,48.0,17.0,43.0,49.0,36.0,29.0,55.0,3.0,31.0,16.0,18.0,252.0
1185,7.0,3.0,8.0,0.0,11.0,6.0,1.0,25.0,26.0,4.0,77.0,2.0,13.0,19.0,27.0,9.0,5.0,33.0,110.0,22.0,406.0,76.0,41.0,21.0,17.0,12.0,32.0,15.0,139.0,198.0
1234,3.0,4.0,10.0,0.0,2.0,22.0,41.0,133.0,126.0,17.0,9.0,5.0,7.0,6.0,30.0,1.0,23.0,27.0,39.0,32.0,43.0,37.0,24.0,12.0,25.0,48.0,31.0,14.0,79.0,879.0
1283,0.0,2.0,10.0,7.0,4.0,6.0,3.0,116.0,25.0,5.0,22.0,16.0,14.0,1.0,9.0,8.0,12.0,58.0,108.0,184.0,51.0,26.0,41.0,24.0,28.0,39.0,872.0,68.0,15.0,224.0
1332,0.0,2.0,8.0,3.0,4.0,6.0,14.0,39.0,20.0,5.0,10.0,1.0,9.0,7.0,11.0,15.0,186.0,64.0,60.0,29.0,24.0,84.0,33.0,148.0,16.0,31.0,59.0,17.0,21.0,206.0
1381,0.0,2.0,17.0,6.0,18.0,10.0,41.0,48.0,35.0,7.0,24.0,12.0,22.0,3.0,14.0,15.0,52.0,81.0,29.0,13.0,58.0,40.0,54.0,16.0,25.0,45.0,21.0,11.0,8.0,114.0
1430,1.0,4.0,14.0,0.0,8.0,3.0,11.0,6.0,122.0,7.0,29.0,17.0,10.0,5.0,18.0,9.0,54.0,177.0,80.0,112.0,175.0,22.0,62.0,53.0,21.0,2.0,51.0,12.0,31.0,102.0
1479,45.0,5.0,0.0,16.0,10.0,96.0,3.0,1.0,192.0,17.0,15.0,2.0,8.0,124.0,27.0,21.0,6.0,23.0,70.0,101.0,32.0,235.0,121.0,65.0,105.0,83.0,469.0,141.0,36.0,74.0
1528,28.0,0.0,6.0,23.0,1.0,22.0,12.0,2.0,47.0,9.0,14.0,5.0,4.0,3.0,92.0,13.0,21.0,20.0,225.0,967.0,16.0,31.0,29.0,39.0,33.0,433.0,61.0,442.0,15.0,141.0
1577,10.0,2.0,0.0,28.0,8.0,6.0,4.0,3.0,64.0,45.0,139.0,13.0,1.0,17.0,35.0,21.0,18.0,59.0,145.0,86.0,39.0,71.0,20.0,9.0,19.0,107.0,27.0,240.0,142.0,44.0
1626,24.0,1.0,33.0,8.0,0.0,60.0,7.0,4.0,34.0,19.0,16.0,6.0,2.0,5.0,41.0,14.0,20.0,46.0,291.0,138.0,121.0,51.0,27.0,11.0,22.0,160.0,25.0,148.0,35.0,47.0
1675,33.0,4.0,5.0,52.0,1.0,23.0,6.0,0.0,14.0,37.0,12.0,3.0,11.0,9.0,30.0,412.0,164.0,25.0,208.0,104.0,28.0,241.0,55.0,43.0,53.0,72.0,16.0,283.0,54.0,90.0
1724,16.0,4.0,99.0,24.0,7.0,22.0,0.0,9.0,31.0,8.0,92.0,35.0,6.0,3.0,53.0,12.0,39.0,89.0,10.0,472.0,49.0,43.0,68.0,20.0,27.0,349.0,107.0,365.0,2.0,57.0
1773,7.0,3.0,1.0,0.0,6.0,50.0,2.0,14.0,71.0,9.0,172.0,10.0,5.0,24.0,18.0,26.0,19.0,83.0,264.0,128.0,13.0,138.0,47.0,22.0,16.0,371.0,123.0,37.0,41.0,1080.0
1822,48.0,0.0,4.0,13.0,21.0,70.0,1.0,16.0,34.0,40.0,2.0,22.0,19.0,23.0,18.0,17.0,10.0,59.0,386.0,197.0,57.0,185.0,26.0,237.0,32.0,171.0,108.0,183.0,55.0,6.0
1871,55.0,0.0,36.0,8.0,14.0,50.0,6.0,1.0,16.0,97.0,44.0,3.0,5.0,41.0,25.0,9.0,4.0,131.0,416.0,144.0,20.0,205.0,75.0,30.0,58.0,21.0,99.0,256.0,208.0,13.0
1920,1.0,3.0,5.0,27.0,10.0,123.0,63.0,0.0,2.0,6.0,262.0,41.0,4.0,8.0,13.0,57.0,146.0,16.0,254.0,23.0,34.0,318.0,56.0,9.0,62.0,344.0,58.0,15.0,177.0,67.0
1969,10.0,5.0,44.0,14.0,3.0,9.0,41.0,67.0,4.0,24.0,27.0,7.0,89.0,37.0,38.0,47.0,12.0,17.0,0.0,1.0,99.0,161.0,22.0,8.0,45.0,6.0,52.0,85.0,84.0,100.0
2018,2.0,5.0,0.0,55.0,10.0,36.0,7.0,49.0,13.0,109.0,1.0,101.0,121.0,111.0,27.0,75.0,4.0,32.0,16.0,18.0,120.0,41.0,3.0,8.0,39.0,6.0,28.0,68.0,51.0,9.0
2067,3.0,1.0,6.0,2.0,10.0,7.0,4.0,512.0,58.0,20.0,18.0,97.0,11.0,8.0,23.0,5.0,72.0,13.0,12.0,21.0,49.0,248.0,50.0,73.0,22.0,17.0,45.0,118.0,109.0,29.0
2116,1.0,8.0,74.0,9.0,0.0,7.0,2.0,327.0,18.0,4.0,49.0,225.0,14.0,24.0,50.0,16.0,48.0,117.0,82.0,83.0,235.0,304.0,25.0,5.0,6.0,26.0,28.0,134.0,21.0,103.0
2165,1.0,15.0,26.0,16.0,19.0,6.0,13.0,212.0,12.0,0.0,41.0,8.0,133.0,47.0,17.0,40.0,22.0,30.0,49.0,18.0,417.0,39.0,92.0,145.0,29.0,3.0,53.0,294.0,21.0,286.0
2214,0.0,4.0,25.0,13.0,7.0,5.0,6.0,134.0,48.0,8.0,15.0,42.0,33.0,1.0,10.0,38.0,23.0,66.0,2.0,3.0,65.0,20.0,19.0,11.0,14.0,9.0,36.0,246.0,115.0,149.0
2263,10.0,7.0,28.0,1.0,21.0,11.0,12.0,670.0,18.0,3.0,16.0,24.0,34.0,2.0,66.0,63.0,9.0,50.0,0.0,23.0,92.0,29.0,27.0,22.0,14.0,5.0,20.0,89.0,15.0,26.0
2312,14.0,13.0,9.0,5.0,15.0,19.0,0.0,470.0,17.0,25.0,47.0,83.0,127.0,697.0,6.0,35.0,18.0,65.0,4.0,54.0,471.0,198.0,10.0,34.0,50.0,7.0,267.0,487.0,178.0,74.0
2361,2.0,0.0,10.0,6.0,1.0,9.0,20.0,118.0,12.0,25.0,16.0,15.0,17.0,11.0,86.0,21.0,26.0,55.0,141.0,78.0,97.0,81.0,3.0,5.0,18.0,92.0,224.0,252.0,8.0,37.0
2410,28.0,2.0,51.0,37.0,4.0,32.0,10.0,212.0,1.0,16.0,8.0,116.0,42.0,14.0,56.0,85.0,27.0,17.0,45.0,35.0,731.0,138.0,6.0,9.0,20.0,3.0,155.0,24.0,80.0,7.0
2459,2.0,1.0,91.0,3.0,4.0,10.0,5.0,24.0,14.0,15.0,0.0,42.0,25.0,46.0,19.0,37.0,9.0,7.0,150.0,12.0,55.0,148.0,228.0,43.0,29.0,16.0,18.0,45.0,411.0,77.0
2508,1.0,0.0,26.0,14.0,11.0,9.0,41.0,2.0,39.0,4.0,17.0,55.0,6.0,13.0,90.0,12.0,7.0,10.0,123.0,74.0,27.0,33.0,164.0,40.0,36.0,24.0,19.0,167.0,1313.0,43.0
2557,2.0,0.0,187.0,4.0,1.0,5.0,18.0,93.0,16.0,13.0,14.0,11.0,23.0,38.0,42.0,17.0,25.0,9.0,61.0,15.0,64.0,10.0,44.0,100.0,24.0,3.0,8.0,255.0,1063.0,178.0
2606,18.0,1.0,260.0,0.0,11.0,8.0,3.0,4.0,16.0,20.0,12.0,22.0,49.0,7.0,25.0,41.0,6.0,35.0,13.0,43.0,53.0,114.0,450.0,198.0,50.0,47.0,28.0,51.0,171.0,40.0
2655,0.0,8.0,1.0,2.0,14.0,4.0,7.0,29.0,20.0,11.0,3.0,112.0,59.0,21.0,17.0,16.0,18.0,78.0,113.0,19.0,22.0,10.0,453.0,61.0,30.0,35.0,28.0,26.0,377.0,33.0
2704,9.0,0.0,110.0,1.0,13.0,2.0,23.0,10.0,8.0,17.0,6.0,15.0,30.0,65.0,3.0,33.0,24.0,21.0,35.0,5.0,64.0,48.0,47.0,98.0,70.0,26.0,7.0,213.0,269.0,22.0
2753,10.0,0.0,27.0,1.0,8.0,12.0,14.0,53.0,4.0,7.0,3.0,28.0,122.0,5.0,2.0,55.0,11.0,19.0,22.0,13.0,25.0,38.0,36.0,230.0,46.0,64.0,9.0,126.0,132.0,45.0
2802,4.0,0.0,2.0,21.0,7.0,40.0,16.0,3.0,1.0,17.0,68.0,25.0,44.0,9.0,48.0,425.0,141.0,12.0,261.0,5.0,36.0,272.0,49.0,169.0,14.0,20.0,11.0,10.0,219.0,669.0
2851,4.0,1.0,2.0,6.0,7.0,3.0,49.0,52.0,5.0,11.0,0.0,79.0,104.0,20.0,8.0,82.0,26.0,24.0,374.0,10.0,55.0,80.0,31.0,45.0,41.0,18.0,23.0,43.0,157.0,33.0
2900,8.0,1.0,3.0,2.0,5.0,6.0,21.0,34.0,16.0,7.0,18.0,36.0,86.0,0.0,11.0,576.0,10.0,64.0,20.0,28.0,13.0,23.0,116.0,55.0,61.0,998.0,17.0,41.0,995.0,48.0
2949,2.0,1.0,5.0,0.0,7.0,39.0,8.0,14.0,61.0,3.0,12.0,25.0,22.0,17.0,6.0,23.0,11.0,9.0,44.0,72.0,101.0,28.0,349.0,55.0,79.0,74.0,467.0,15.0,4.0,56.0
2998,9.0,14.0,1.0,0.0,7.0,26.0,63.0,2.0,25.0,12.0,17.0,129.0,19.0,54.0,24.0,16.0,45.0,4.0,10.0,93.0,60.0,47.0,194.0,139.0,82.0,23.0,177.0,42.0,8.0,95.0
3047,10.0,4.0,5.0,2.0,12.0,24.0,88.0,1.0,3.0,9.0,8.0,35.0,68.0,34.0,6.0,105.0,90.0,0.0,15.0,176.0,41.0,11.0,440.0,47.0,134.0,62.0,74.0,20.0,13.0,26.0
3096,1.0,6.0,0.0,5.0,9.0,4.0,8.0,11.0,12.0,2.0,16.0,21.0,14.0,18.0,7.0,19.0,44.0,17.0,52.0,134.0,198.0,15.0,76.0,33.0,28.0,23.0,105.0,96.0,3.0,20.0
3145,1.0,26.0,0.0,2.0,5.0,12.0,6.0,4.0,7.0,23.0,10.0,45.0,11.0,107.0,8.0,13.0,24.0,28.0,90.0,321.0,58.0,100.0,161.0,137.0,62.0,118.0,335.0,85.0,3.0,56.0
3194,5.0,0.0,12.0,1.0,2.0,53.0,43.0,10.0,28.0,26.0,3.0,48.0,15.0,4.0,9.0,41.0,35.0,13.0,67.0,81.0,94.0,6.0,437.0,78.0,65.0,11.0,36.0,14.0,31.0,7.0
3243,0.0,3.0,43.0,4.0,1.0,10.0,32.0,5.0,34.0,17.0,50.0,25.0,2.0,13.0,35.0,79.0,56.0,12.0,80.0,555.0,27.0,92.0,501.0,8.0,23.0,9.0,415.0,38.0,48.0,64.0
3292,0.0,5.0,12.0,1.0,4.0,15.0,10.0,2.0,362.0,7.0,23.0,31.0,8.0,11.0,6.0,24.0,109.0,9.0,22.0,324.0,130.0,13.0,267.0,28.0,20.0,17.0,238.0,54.0,3.0,58.0
3341,1.0,13.0,27.0,2.0,4.0,31.0,3.0,9.0,12.0,0.0,11.0,46.0,8.0,5.0,10.0,134.0,205.0,37.0,48.0,107.0,6.0,26.0,144.0,94.0,40.0,572.0,101.0,18.0,24.0,7.0
3390,0.0,4.0,2.0,5.0,11.0,25.0,14.0,18.0,15.0,8.0,53.0,247.0,39.0,6.0,3.0,126.0,54.0,31.0,10.0,388.0,23.0,42.0,279.0,70.0,64.0,24.0,399.0,34.0,21.0,251.0
3439,11.0,2.0,4.0,7.0,61.0,330.0,6.0,13.0,142.0,43.0,31.0,5.0,108.0,80.0,23.0,37.0,26.0,368.0,735.0,16.0,21.0,9.0,56.0,75.0,51.0,8.0,72.0,340.0,460.0,3.0
3488,0.0,40.0,24.0,6.0,52.0,14.0,51.0,59.0,2.0,20.0,55.0,42.0,16.0,38.0,31.0,9.0,65.0,248.0,3.0,1.0,8.0,118.0,12.0,95.0,116.0,174.0,13.0,23.0,2467.0,11.0
3537,0.0,3.0,18.0,8.0,14.0,185.0,10.0,2.0,6.0,93.0,33.0,24.0,13.0,25.0,166.0,11.0,270.0,49.0,28.0,23.0,1.0,59.0,64.0,5.0,87.0,264.0,27.0,19.0,16.0,12.0
3586,1.0,18.0,0.0,13.0,20.0,83.0,23.0,3.0,6.0,9.0,41.0,11.0,27.0,119.0,29.0,39.0,47.0,58.0,8.0,4.0,10.0,28.0,25.0,33.0,24.0,7.0,2.0,72.0,121.0,63.0
3635,0.0,7.0,3.0,6.0,33.0,40.0,5.0,9.0,31.0,23.0,104.0,13.0,22.0,68.0,18.0,44.0,56.0,41.0,34.0,2.0,37.0,30.0,142.0,35.0,21.0,1.0,4.0,20.0,62.0,8.0
3684,9.0,12.0,24.0,8.0,42.0,244.0,23.0,11.0,53.0,68.0,2.0,17.0,33.0,509.0,85.0,21.0,20.0,18.0,99.0,0.0,4.0,28.0,45.0,46.0,93.0,27.0,10.0,13.0,44.0,3.0
3733,12.0,13.0,4.0,8.0,16.0,118.0,1.0,163.0,0.0,50.0,15.0,14.0,51.0,698.0,59.0,36.0,86.0,2.0,75.0,10.0,23.0,21.0,61.0,3.0,95.0,48.0,26.0,17.0,57.0,7.0
3782,0.0,15.0,1.0,2.0,8.0,41.0,9.0,10.0,14.0,21.0,6.0,22.0,26.0,104.0,5.0,51.0,78.0,36.0,29.0,4.0,3.0,38.0,35.0,96.0,32.0,79.0,16.0,13.0,27.0,63.0
3831,8.0,18.0,5.0,14.0,26.0,155.0,37.0,281.0,2.0,35.0,19.0,66.0,46.0,65.0,11.0,142.0,158.0,139.0,20.0,7.0,22.0,121.0,9.0,3.0,60.0,170.0,4.0,113.0,1.0,0.0
3880,11.0,2.0,6.0,8.0,22.0,136.0,7.0,43.0,1.0,73.0,5.0,27.0,3.0,16.0,49.0,25.0,221.0,33.0,492.0,0.0,60.0,92.0,23.0,239.0,51.0,30.0,13.0,10.0,34.0,15.0
3929,1.0,0.0,18.0,67.0,14.0,3.0,26.0,28.0,20.0,6.0,40.0,5.0,2.0,13.0,36.0,92.0,86.0,51.0,7.0,15.0,4.0,48.0,10.0,45.0,55.0,157.0,42.0,33.0,279.0,1568.0
3978,2.0,1.0,47.0,18.0,13.0,3.0,44.0,289.0,16.0,7.0,66.0,8.0,19.0,14.0,6.0,24.0,109.0,461.0,0.0,22.0,5.0,15.0,4.0,23.0,260.0,311.0,9.0,110.0,56.0,569.0
4027,22.0,6.0,5.0,45.0,43.0,2.0,56.0,12.0,1.0,29.0,106.0,9.0,14.0,20.0,32.0,44.0,250.0,47.0,0.0,16.0,7.0,21.0,3.0,37.0,146.0,19.0,13.0,8.0,27.0,367.0
4076,10.0,3.0,15.0,18.0,29.0,2.0,39.0,92.0,8.0,7.0,1.0,27.0,23.0,5.0,9.0,16.0,21.0,44.0,0.0,20.0,12.0,31.0,4.0,202.0,321.0,112.0,73.0,208.0,25.0,435.0
4125,48.0,1.0,33.0,59.0,6.0,2.0,68.0,82.0,9.0,11.0,4.0,10.0,14.0,49.0,45.0,144.0,267.0,43.0,0.0,25.0,17.0,22.0,8.0,29.0,87.0,109.0,12.0,824.0,23.0,804.0
4174,2.0,3.0,102.0,32.0,11.0,0.0,82.0,52.0,5.0,6.0,20.0,12.0,14.0,10.0,30.0,34.0,125.0,35.0,1.0,57.0,8.0,7.0,4.0,15.0,244.0,490.0,50.0,19.0,38.0,859.0
4223,10.0,6.0,33.0,3.0,8.0,2.0,22.0,13.0,152.0,7.0,23.0,0.0,17.0,21.0,29.0,236.0,62.0,77.0,1.0,38.0,12.0,5.0,24.0,223.0,177.0,15.0,70.0,144.0,128.0,4040.0
4272,27.0,8.0,55.0,3.0,32.0,2.0,38.0,123.0,7.0,11.0,15.0,26.0,24.0,4.0,13.0,16.0,262.0,100.0,0.0,58.0,1.0,9.0,94.0,62.0,533.0,107.0,12.0,56.0,160.0,1572.0
4321,24.0,26.0,6.0,15.0,51.0,3.0,8.0,53.0,5.0,23.0,9.0,25.0,157.0,4.0,56.0,46.0,185.0,21.0,0.0,144.0,2.0,11.0,7.0,34.0,494.0,1578.0,43.0,82.0,32.0,905.0
4370,38.0,2.0,67.0,22.0,20.0,19.0,48.0,311.0,18.0,55.0,0.0,5.0,23.0,12.0,88.0,49.0,111.0,138.0,24.0,17.0,13.0,4.0,1.0,99.0,162.0,60.0,37.0,94.0,16.0,204.0
4419,2.0,3.0,0.0,5.0,16.0,4.0,49.0,1.0,12.0,46.0,27.0,10.0,9.0,8.0,40.0,181.0,14.0,37.0,31.0,329.0,36.0,378.0,83.0,24.0,32.0,917.0,79.0,15.0,90.0,67.0
4468,0.0,9.0,1.0,2.0,102.0,5.0,78.0,6.0,13.0,37.0,72.0,91.0,69.0,29.0,16.0,213.0,27.0,14.0,3.0,187.0,77.0,263.0,62.0,103.0,35.0,248.0,48.0,8.0,242.0,23.0
4517,3.0,6.0,0.0,2.0,13.0,17.0,59.0,55.0,1.0,19.0,24.0,4.0,32.0,205.0,26.0,20.0,15.0,507.0,10.0,4295.0,11.0,165.0,5.0,45.0,81.0,12386.0,3882.0,78.0,49.0,33.0
4566,0.0,5.0,1.0,2.0,3.0,8.0,82.0,15.0,10.0,36.0,14.0,6.0,27.0,4.0,28.0,120.0,72.0,26.0,92.0,137.0,11.0,109.0,12.0,31.0,32.0,506.0,351.0,16.0,99.0,41.0
4615,0.0,2.0,1.0,18.0,12.0,9.0,57.0,19.0,14.0,16.0,20.0,11.0,31.0,29.0,22.0,24.0,74.0,35.0,4.0,260.0,7.0,58.0,414.0,32.0,70.0,4562.0,1023.0,6.0,113.0,289.0
4664,0.0,5.0,3.0,1.0,21.0,6.0,61.0,4.0,13.0,49.0,2.0,33.0,20.0,8.0,18.0,37.0,12.0,43.0,29.0,506.0,39.0,101.0,16.0,470.0,50.0,800.0,794.0,7.0,71.0,189.0
4713,0.0,5.0,6.0,9.0,7.0,3.0,15.0,1.0,68.0,37.0,17.0,18.0,8.0,20.0,126.0,50.0,16.0,29.0,32.0,77.0,10.0,58.0,35.0,28.0,71.0,335.0,107.0,4.0,117.0,363.0
4762,4.0,2.0,0.0,20.0,25.0,1.0,78.0,6.0,5.0,11.0,8.0,71.0,33.0,101.0,58.0,100.0,29.0,48.0,111.0,426.0,46.0,227.0,174.0,45.0,60.0,103.0,310.0,35.0,319.0,3.0
4811,1.0,4.0,0.0,38.0,3.0,2.0,294.0,5.0,88.0,28.0,19.0,9.0,21.0,43.0,23.0,168.0,13.0,36.0,6.0,227.0,18.0,82.0,108.0,71.0,31.0,506.0,100.0,7.0,483.0,26.0
4860,5.0,12.0,0.0,19.0,57.0,23.0,166.0,1.0,2.0,170.0,244.0,59.0,230.0,7.0,14.0,1235.0,41.0,75.0,8.0,316.0,24.0,55.0,20.0,45.0,80.0,469.0,126.0,4.0,88.0,37.0
