,BRAF_MUT,BRAF.V600E_MUT,BRAF.MC_MUT,KRAS.G12_13_MUT,ERBB4_DEL,KRAS_MUT,LOC284344_DEL,NRAS_MUT,RAD50_MUT,GSTM1_DEL,OR4M2_DEL,LOC727924_DEL,TTN_MUT,PSG4_DEL,NPB_AMP,SIRT7_AMP,OR4N4_DEL,EYA1_DEL,NR2F2_DEL,ANAPC11_AMP,LCE1D_DEL,DOCK10_AMP,CDC73_DEL,LRRC37A2_AMP,PRODH_DEL,OR2A7_AMP,FRMPD2P1_AMP,NSFP1_DEL,GOLGA8A_DEL,MIR4635_AMP
1253,0.0,1.0,53.0,2.0,3.0,1494.0,195.0,6.0,839.0,1192.0,411.0,15.0,115.0,5.0,328.0,84.0,263.0,47.0,99.0,14772.0,79.0,441.0,94.0,48.0,646.0,15449.0,1009.0,8087.0,1552.0,934.0
1302,1.0,0.0,6.0,24134.0,44.0,94.0,880.0,349.0,16.0,186.0,112.0,422.0,292.0,51.0,13883.0,64.0,2606.0,690.0,224.0,8.0,88.0,808.0,363.0,173.0,11.0,1224.0,1136.0,148.0,1429.0,59.0
1351,0.0,1.0,318.0,9.0,728.0,29.0,4.0,471.0,78.0,2827.0,696.0,169.0,2.0,2443.0,13894.0,74.0,594.0,2246.0,2386.0,320.0,3826.0,217.0,188.0,14817.0,3.0,44.0,226.0,2671.0,2109.0,589.0
1400,0.0,4.0,76.0,2.0,2597.0,1.0,39.0,16523.0,107.0,1230.0,3368.0,459.0,3.0,13.0,13904.0,22.0,1086.0,48.0,1811.0,1989.0,1032.0,22693.0,1505.0,53.0,509.0,1063.0,804.0,522.0,6766.0,904.0
1449,1.0,0.0,13.0,2.0,227.0,216.0,4.0,72.0,203.0,1194.0,7.0,67.0,10.0,68.0,13888.0,14724.0,157.0,1102.0,35.0,5.0,2466.0,3.0,9612.0,14322.0,479.0,1922.0,368.0,61.0,6796.0,16054.0
1498,1.0,0.0,25.0,2.0,122.0,16373.0,34.0,16503.0,51.0,5.0,7.0,199.0,1537.0,8584.0,13963.0,712.0,347.0,13.0,1045.0,577.0,314.0,6.0,171.0,786.0,129.0,15413.0,2635.0,531.0,7545.0,1197.0
1547,1.0,0.0,5.0,3.0,7.0,2.0,35.0,12.0,292.0,16.0,96.0,58.0,1163.0,2303.0,755.0,15323.0,511.0,25.0,98.0,15328.0,3573.0,86.0,8349.0,15.0,19.0,13539.0,21983.0,2143.0,1758.0,15184.0
1596,1.0,0.0,3.0,100.0,2752.0,16366.0,107.0,150.0,1870.0,4.0,36.0,205.0,17031.0,159.0,13953.0,14623.0,6217.0,61.0,182.0,719.0,134.0,86.0,69.0,899.0,55.0,827.0,5.0,8344.0,1129.0,16278.0
1645,1.0,0.0,9.0,15.0,4.0,2.0,6543.0,256.0,509.0,5.0,4461.0,166.0,11.0,522.0,512.0,14657.0,12.0,2567.0,552.0,14661.0,7.0,17.0,523.0,10.0,12434.0,573.0,456.0,473.0,2771.0,1243.0
1694,0.0,1.0,2.0,24.0,112.0,559.0,2770.0,16558.0,1500.0,652.0,102.0,1481.0,164.0,12232.0,13986.0,133.0,825.0,131.0,71.0,14712.0,1205.0,2739.0,65.0,7.0,12461.0,15465.0,24078.0,8610.0,2816.0,16305.0
1743,0.0,1.0,4.0,2.0,28.0,1213.0,14.0,10.0,473.0,3.0,1504.0,784.0,2644.0,61.0,2516.0,14737.0,17.0,5005.0,83.0,507.0,2825.0,21.0,129.0,14399.0,909.0,15450.0,24076.0,43.0,5698.0,16293.0
1792,1.0,0.0,3.0,2.0,31.0,26.0,115.0,32.0,1304.0,63.0,86.0,8493.0,17063.0,12773.0,13975.0,14650.0,7.0,4962.0,133.0,20.0,98.0,11.0,888.0,2722.0,1018.0,15479.0,24049.0,7525.0,6749.0,16303.0
1841,0.0,1.0,2.0,24134.0,4.0,32.0,41.0,271.0,36.0,31.0,1202.0,177.0,14.0,43.0,210.0,1446.0,263.0,103.0,1774.0,479.0,4017.0,327.0,639.0,18.0,1506.0,15479.0,918.0,1017.0,6891.0,16306.0
1890,0.0,1.0,21.0,2.0,62.0,18.0,162.0,8.0,742.0,952.0,2183.0,347.0,1089.0,12029.0,1031.0,14708.0,431.0,1513.0,98.0,981.0,1327.0,100.0,9451.0,453.0,11967.0,15420.0,248.0,3.0,401.0,735.0
1939,1.0,0.0,2.0,42.0,144.0,101.0,1566.0,14.0,6.0,4.0,3807.0,29.0,193.0,2686.0,39.0,14704.0,48.0,2736.0,35.0,14641.0,61.0,966.0,7313.0,2581.0,89.0,15350.0,23957.0,1683.0,2777.0,24.0
1988,0.0,1.0,4.0,2.0,5348.0,109.0,3248.0,16561.0,2133.0,5.0,22.0,16.0,2770.0,21.0,135.0,14784.0,520.0,2638.0,18.0,26.0,4652.0,22622.0,57.0,14393.0,174.0,2731.0,278.0,1302.0,6962.0,67.0
2037,0.0,1.0,2.0,22.0,120.0,3.0,14.0,24.0,16636.0,7.0,13.0,138.0,2478.0,29.0,107.0,14651.0,58.0,6101.0,647.0,248.0,385.0,1670.0,810.0,183.0,541.0,944.0,2811.0,74.0,4941.0,44.0
2086,0.0,1.0,2.0,67.0,3.0,213.0,31.0,2180.0,9704.0,37.0,106.0,9.0,319.0,2683.0,32.0,358.0,175.0,1007.0,371.0,242.0,25.0,595.0,143.0,13936.0,10.0,11.0,2456.0,240.0,1301.0,587.0
2135,1.0,0.0,6.0,3.0,2774.0,1275.0,36.0,102.0,24.0,2878.0,99.0,481.0,120.0,12221.0,19.0,58.0,2521.0,5078.0,8012.0,103.0,3971.0,22583.0,1238.0,2228.0,286.0,348.0,400.0,2653.0,6853.0,16078.0
2184,0.0,1.0,2.0,20.0,134.0,219.0,6285.0,2313.0,106.0,467.0,8.0,14.0,17048.0,2705.0,4.0,44.0,615.0,100.0,8031.0,10.0,51.0,2219.0,673.0,753.0,157.0,883.0,107.0,5.0,125.0,16288.0
2233,0.0,1.0,2.0,316.0,5163.0,14.0,10.0,642.0,54.0,1361.0,1531.0,655.0,2020.0,17.0,6.0,15.0,6282.0,2540.0,8677.0,56.0,215.0,28.0,35.0,616.0,1956.0,2782.0,118.0,970.0,6877.0,74.0
2282,0.0,1.0,24.0,15.0,227.0,170.0,6336.0,626.0,34.0,14.0,2667.0,2718.0,453.0,18.0,16.0,43.0,1064.0,51.0,211.0,6.0,351.0,4.0,7308.0,14382.0,329.0,2647.0,254.0,973.0,273.0,16314.0
2331,0.0,1.0,2.0,35.0,3.0,1527.0,258.0,96.0,16616.0,3120.0,5.0,6.0,602.0,192.0,297.0,2135.0,28.0,165.0,1867.0,548.0,3956.0,8.0,522.0,11.0,2301.0,15457.0,292.0,627.0,67.0,16294.0
2380,0.0,1.0,97.0,2.0,11.0,869.0,18.0,627.0,1212.0,20.0,47.0,822.0,2755.0,12220.0,33.0,519.0,258.0,105.0,1556.0,19.0,2777.0,7.0,1444.0,52.0,12436.0,282.0,23956.0,8576.0,1260.0,16301.0
2429,0.0,1.0,6.0,8.0,12.0,16386.0,179.0,1128.0,282.0,104.0,1183.0,50.0,2786.0,1321.0,13974.0,42.0,522.0,4870.0,8011.0,978.0,2341.0,158.0,525.0,125.0,266.0,15440.0,1982.0,433.0,852.0,48.0
2478,2.0,3.0,282.0,24134.0,0.0,663.0,2660.0,16539.0,162.0,2834.0,9.0,640.0,28.0,2434.0,601.0,14721.0,69.0,784.0,168.0,14725.0,323.0,22586.0,2423.0,1018.0,12203.0,15421.0,24081.0,8588.0,125.0,171.0
2527,1.0,0.0,3.0,806.0,4.0,16372.0,6195.0,16534.0,1565.0,6463.0,4857.0,299.0,2169.0,708.0,571.0,127.0,1305.0,16.0,407.0,154.0,3014.0,1199.0,2526.0,10.0,12428.0,799.0,2748.0,8543.0,871.0,132.0
2576,0.0,1.0,10.0,24134.0,2.0,41.0,18.0,730.0,50.0,522.0,926.0,26.0,17071.0,86.0,13936.0,1123.0,6179.0,407.0,2009.0,14727.0,2887.0,210.0,556.0,98.0,2453.0,208.0,23849.0,8553.0,306.0,16315.0
2625,1.0,0.0,4.0,24134.0,5.0,16365.0,2677.0,2503.0,1810.0,6364.0,28.0,1078.0,17054.0,12185.0,139.0,14712.0,7024.0,600.0,2353.0,14717.0,26.0,1431.0,99.0,84.0,21.0,15415.0,2672.0,35.0,575.0,16062.0
2674,10.0,0.0,7.0,24134.0,12.0,430.0,41.0,16554.0,480.0,19.0,3469.0,2276.0,204.0,2386.0,208.0,512.0,648.0,5092.0,444.0,14764.0,2604.0,111.0,2740.0,2755.0,12428.0,465.0,24050.0,2045.0,6864.0,16331.0
2723,2.0,0.0,159.0,1536.0,156.0,72.0,112.0,105.0,784.0,1444.0,12.0,795.0,2222.0,2647.0,673.0,15569.0,476.0,41.0,8772.0,15574.0,1305.0,1693.0,8971.0,13872.0,11105.0,13452.0,737.0,452.0,2145.0,702.0
2772,13.0,0.0,5.0,2326.0,1.0,2620.0,2836.0,1059.0,1989.0,577.0,4.0,43.0,914.0,75.0,13977.0,14761.0,54.0,2687.0,21.0,14733.0,444.0,450.0,2280.0,816.0,392.0,15438.0,23956.0,2621.0,2586.0,16305.0
2821,22.0,0.0,686.0,688.0,1.0,16391.0,6538.0,16537.0,236.0,26.0,107.0,42.0,5.0,974.0,2219.0,14652.0,133.0,7.0,185.0,14664.0,244.0,1490.0,875.0,308.0,181.0,16.0,24089.0,263.0,1151.0,719.0
2870,3.0,1.0,2.0,24134.0,0.0,252.0,47.0,16552.0,16622.0,1128.0,123.0,1109.0,2022.0,1101.0,13998.0,340.0,28.0,627.0,146.0,1611.0,2923.0,22580.0,7307.0,148.0,49.0,317.0,23846.0,90.0,6021.0,11.0
2919,1.0,0.0,14.0,56.0,19.0,270.0,2568.0,2061.0,229.0,982.0,80.0,1284.0,2684.0,181.0,13917.0,1288.0,6623.0,722.0,300.0,40.0,3053.0,959.0,7250.0,2231.0,456.0,15483.0,23829.0,65.0,430.0,16326.0
2968,0.0,1.0,2.0,3.0,14.0,39.0,161.0,24.0,88.0,232.0,1438.0,644.0,397.0,2423.0,14018.0,320.0,7182.0,2738.0,116.0,1416.0,6.0,1471.0,1389.0,10.0,11.0,2702.0,639.0,227.0,5965.0,110.0
3017,1.0,0.0,4.0,20.0,256.0,16437.0,404.0,138.0,77.0,576.0,450.0,8634.0,14.0,2012.0,315.0,16.0,2067.0,2.0,8065.0,14784.0,88.0,89.0,7343.0,1043.0,12442.0,15510.0,435.0,8576.0,553.0,3.0
3066,0.0,2.0,20.0,24134.0,1.0,718.0,165.0,16.0,2709.0,327.0,408.0,1464.0,242.0,834.0,13999.0,142.0,21.0,66.0,11.0,14761.0,3847.0,58.0,183.0,401.0,13.0,15468.0,150.0,8606.0,220.0,3.0
3115,1.0,0.0,44.0,24134.0,2.0,174.0,6.0,18.0,158.0,2850.0,3756.0,13.0,375.0,535.0,569.0,14742.0,91.0,4942.0,1225.0,531.0,2111.0,917.0,1059.0,11.0,96.0,25.0,50.0,719.0,6844.0,5.0
3164,1.0,0.0,702.0,1202.0,7.0,95.0,295.0,1130.0,188.0,1606.0,49.0,20.0,73.0,1446.0,849.0,1731.0,351.0,2159.0,1729.0,2687.0,689.0,581.0,234.0,1148.0,2823.0,185.0,28.0,107.0,77.0,23.0
3213,0.0,1.0,24.0,124.0,31.0,1454.0,829.0,1474.0,29.0,23.0,205.0,1001.0,228.0,44.0,326.0,1214.0,2148.0,617.0,103.0,14758.0,2.0,568.0,110.0,82.0,12788.0,15396.0,238.0,1643.0,46.0,16303.0
3262,1.0,0.0,4.0,24134.0,745.0,50.0,6508.0,65.0,5.0,1131.0,4151.0,36.0,3.0,21.0,1043.0,14656.0,6.0,29.0,1825.0,14640.0,25.0,14.0,7283.0,177.0,12445.0,2369.0,1008.0,2466.0,49.0,16311.0
3311,1.0,0.0,23.0,1440.0,7.0,46.0,887.0,6.0,4.0,10.0,30.0,1297.0,2204.0,1561.0,171.0,14777.0,2141.0,41.0,39.0,753.0,4283.0,2761.0,7258.0,21.0,12328.0,26.0,23841.0,2422.0,91.0,16292.0
