,FGF1_AMP,OAZ3_AMP,SNORA14B_AMP,TOMM20_AMP,LOC439994_DEL,RGPD4_AMP,ZAN_DEL,DIAPH2_DEL,MCL1_AMP,RABGAP1L_DEL,RFX5_AMP,RBM34_AMP,SNX27_AMP,RBFOX1_AMP,C1orf56_AMP,BRAF.MC_MUT,ADAMTSL4_AMP,SCNM1_AMP,SNX29_DEL,TNK2_MUT,RASA4_DEL,TYW1_DEL,TAG_DEL,IGFBP3_AMP,FAM86DP_DEL,LOC440300_DEL,LYSMD1_AMP,PRKD1_MUT,LINC00226_AMP,OR2T27_DEL
518,7.0,14726.0,11.0,0.0,334.0,307.0,8393.0,1383.0,14467.0,983.0,1895.0,41.0,251.0,1.0,22038.0,9106.0,68.0,22910.0,66.0,235.0,28.0,50.0,74.0,15269.0,37.0,2217.0,15512.0,267.0,827.0,1078.0
567,2.0,14734.0,36.0,12.0,26.0,13455.0,3.0,234.0,14579.0,95.0,21435.0,4.0,195.0,2515.0,509.0,64.0,22307.0,25.0,197.0,563.0,21307.0,34.0,559.0,1720.0,2163.0,11338.0,15544.0,2249.0,1387.0,445.0
616,1.0,343.0,23571.0,13.0,108.0,30.0,8433.0,287.0,14601.0,26.0,21671.0,13756.0,82.0,0.0,59.0,9128.0,22310.0,121.0,263.0,270.0,21285.0,570.0,312.0,15058.0,1079.0,64.0,15562.0,400.0,89.0,214.0
665,2.0,14750.0,118.0,10.0,187.0,13504.0,895.0,6527.0,132.0,20.0,21429.0,52.0,122.0,22295.0,22102.0,76.0,74.0,42.0,8692.0,247.0,49.0,84.0,444.0,15175.0,7983.0,704.0,15530.0,488.0,0.0,177.0
714,327.0,52.0,10.0,15.0,384.0,1992.0,315.0,25.0,14463.0,9140.0,382.0,45.0,154.0,17.0,22089.0,577.0,22338.0,43.0,8668.0,0.0,21311.0,35.0,1.0,331.0,304.0,1594.0,15531.0,16745.0,1271.0,55.0
763,13843.0,2315.0,121.0,55.0,62.0,618.0,986.0,12.0,1920.0,2137.0,21476.0,7.0,165.0,0.0,22108.0,9.0,22336.0,22955.0,8694.0,29.0,40.0,1617.0,36.0,266.0,1098.0,177.0,15594.0,33.0,60.0,41.0
812,4.0,72.0,229.0,2.0,196.0,2804.0,8414.0,1281.0,399.0,1141.0,21446.0,62.0,23319.0,165.0,22043.0,9127.0,59.0,14.0,2351.0,16623.0,1.0,10469.0,70.0,15033.0,685.0,1517.0,150.0,1829.0,508.0,3108.0
861,0.0,51.0,2.0,19591.0,91.0,13420.0,9.0,506.0,1099.0,8.0,21903.0,13664.0,23337.0,220.0,22053.0,38.0,40.0,74.0,976.0,16619.0,398.0,13.0,4147.0,2333.0,1005.0,196.0,15637.0,21.0,43.0,121.0
910,2627.0,14722.0,74.0,3.0,4084.0,2493.0,8463.0,7092.0,1312.0,2733.0,21408.0,15.0,23311.0,164.0,22038.0,2032.0,2708.0,22971.0,8670.0,2226.0,21295.0,27.0,858.0,15033.0,100.0,735.0,273.0,382.0,15212.0,42.0
959,13751.0,14727.0,5.0,19572.0,297.0,136.0,3.0,9.0,14482.0,1471.0,21417.0,13600.0,22901.0,315.0,22091.0,48.0,1030.0,22973.0,510.0,1901.0,21288.0,22.0,2032.0,15273.0,1807.0,3359.0,15519.0,16507.0,2837.0,89.0
1008,731.0,14906.0,25.0,5.0,251.0,160.0,292.0,599.0,1373.0,215.0,391.0,33.0,59.0,52.0,14784.0,32.0,312.0,71.0,8792.0,8870.0,889.0,1536.0,2560.0,200.0,793.0,3381.0,126.0,813.0,2680.0,331.0
1057,89.0,14778.0,75.0,53.0,231.0,19.0,43.0,6232.0,14484.0,41.0,183.0,10.0,22900.0,0.0,195.0,28.0,11.0,61.0,974.0,44.0,288.0,10576.0,3.0,503.0,727.0,557.0,8.0,113.0,992.0,47.0
1106,16.0,14796.0,294.0,19641.0,409.0,219.0,9.0,2607.0,19.0,669.0,328.0,60.0,250.0,2.0,83.0,297.0,31.0,90.0,110.0,47.0,172.0,17.0,191.0,15292.0,7967.0,728.0,33.0,16518.0,99.0,36.0
1155,13858.0,1100.0,13.0,91.0,2441.0,1072.0,873.0,4496.0,219.0,17.0,21442.0,722.0,23315.0,767.0,169.0,9112.0,22293.0,79.0,1265.0,16617.0,203.0,283.0,57.0,15036.0,700.0,3100.0,15.0,148.0,139.0,245.0
1204,44.0,13755.0,4.0,3.0,1671.0,2772.0,8803.0,1541.0,108.0,178.0,16.0,88.0,222.0,726.0,5.0,103.0,15654.0,46.0,9644.0,120.0,48.0,783.0,1357.0,17757.0,1068.0,5278.0,247.0,68.0,18000.0,31.0
1253,79.0,14726.0,53.0,18.0,2193.0,13478.0,138.0,2239.0,348.0,7.0,237.0,22.0,99.0,1127.0,55.0,34.0,77.0,20.0,1635.0,482.0,102.0,94.0,1046.0,8.0,7982.0,2891.0,0.0,497.0,2786.0,4275.0
1302,13743.0,32.0,633.0,29.0,3340.0,7.0,8444.0,1965.0,14590.0,316.0,13.0,236.0,3.0,16.0,6.0,19.0,27.0,1066.0,90.0,70.0,965.0,158.0,93.0,818.0,7977.0,251.0,55.0,757.0,959.0,136.0
1351,1122.0,42.0,23461.0,67.0,71.0,133.0,1090.0,4586.0,187.0,9146.0,169.0,143.0,1.0,41.0,4.0,49.0,5.0,22914.0,91.0,16627.0,21297.0,10499.0,32.0,108.0,7969.0,21.0,2.0,9.0,163.0,55.0
1400,338.0,103.0,4.0,3.0,1538.0,28.0,724.0,1435.0,54.0,1137.0,16.0,650.0,371.0,32.0,14.0,43.0,22345.0,22951.0,987.0,1798.0,25.0,10610.0,4481.0,2193.0,272.0,13.0,53.0,16511.0,13358.0,2156.0
1449,386.0,69.0,2.0,60.0,3676.0,1261.0,8437.0,108.0,230.0,65.0,21426.0,14.0,189.0,1780.0,3.0,669.0,423.0,22940.0,195.0,145.0,21245.0,1636.0,324.0,186.0,30.0,523.0,0.0,1820.0,392.0,277.0
1498,1.0,88.0,23441.0,19576.0,12.0,950.0,20.0,923.0,30.0,37.0,0.0,13614.0,22849.0,401.0,22041.0,1362.0,240.0,22988.0,1516.0,18.0,76.0,10686.0,1195.0,2661.0,2564.0,55.0,15553.0,9.0,202.0,4503.0
1547,3.0,23.0,134.0,1283.0,2.0,174.0,73.0,12.0,326.0,9174.0,175.0,415.0,141.0,243.0,685.0,9130.0,1071.0,147.0,1300.0,1715.0,1178.0,1058.0,2766.0,85.0,194.0,316.0,306.0,8.0,62.0,1892.0
1596,84.0,469.0,2305.0,547.0,574.0,2.0,0.0,593.0,1544.0,9180.0,429.0,43.0,703.0,122.0,22091.0,250.0,759.0,336.0,1269.0,911.0,21173.0,10476.0,2481.0,5.0,687.0,382.0,15604.0,16526.0,748.0,26.0
1645,2.0,1286.0,87.0,203.0,886.0,95.0,294.0,2304.0,82.0,656.0,1.0,29.0,10.0,2301.0,15531.0,17.0,102.0,388.0,24.0,7.0,19374.0,213.0,120.0,40.0,1245.0,5035.0,14088.0,34.0,2439.0,96.0
1694,32.0,14798.0,1275.0,15.0,528.0,0.0,35.0,1.0,81.0,136.0,10.0,479.0,12.0,2787.0,22102.0,6027.0,26.0,22947.0,609.0,515.0,21290.0,11812.0,11117.0,91.0,810.0,202.0,15537.0,16988.0,44.0,834.0
1743,9.0,12.0,23575.0,49.0,11445.0,11.0,16.0,29.0,60.0,1.0,4.0,149.0,211.0,2581.0,22063.0,747.0,22353.0,22904.0,71.0,41.0,1502.0,154.0,2638.0,6.0,17.0,790.0,304.0,97.0,13297.0,0.0
1792,3.0,12.0,23579.0,1498.0,946.0,17.0,23.0,20.0,7.0,157.0,5.0,13576.0,22840.0,22321.0,22038.0,2216.0,22353.0,111.0,11.0,1.0,21306.0,604.0,830.0,596.0,553.0,432.0,15519.0,1099.0,359.0,89.0
1841,8.0,9.0,23437.0,19572.0,3353.0,102.0,1.0,0.0,14472.0,333.0,168.0,13705.0,22841.0,2261.0,157.0,125.0,183.0,22968.0,50.0,13.0,99.0,629.0,2737.0,856.0,25.0,2841.0,15513.0,1645.0,7.0,68.0
1890,13879.0,44.0,2674.0,56.0,156.0,10.0,3.0,37.0,205.0,136.0,96.0,839.0,151.0,199.0,22088.0,781.0,0.0,780.0,108.0,442.0,1423.0,12722.0,484.0,724.0,368.0,24.0,15517.0,48.0,140.0,3983.0
1939,2.0,36.0,367.0,14.0,1.0,13432.0,112.0,4502.0,14465.0,293.0,89.0,1288.0,267.0,21.0,2002.0,19.0,299.0,22909.0,640.0,188.0,22.0,10681.0,561.0,604.0,1296.0,3155.0,0.0,16475.0,5.0,3715.0
1988,7.0,247.0,520.0,447.0,3723.0,238.0,8409.0,29.0,3.0,6.0,21662.0,2.0,23295.0,22073.0,22052.0,799.0,22301.0,0.0,147.0,2306.0,16.0,10422.0,3430.0,14998.0,7933.0,3729.0,15509.0,16477.0,460.0,3407.0
2037,27.0,95.0,265.0,234.0,7.0,12.0,122.0,1.0,14485.0,5911.0,90.0,140.0,22853.0,22293.0,22100.0,5972.0,22370.0,317.0,10.0,16617.0,21276.0,12625.0,64.0,15271.0,107.0,2730.0,15516.0,16737.0,13334.0,674.0
2086,13831.0,196.0,23458.0,204.0,678.0,3.0,766.0,0.0,14477.0,9157.0,85.0,763.0,12.0,190.0,22092.0,1669.0,22360.0,100.0,58.0,872.0,21293.0,10467.0,113.0,1184.0,7953.0,2851.0,15509.0,772.0,15210.0,4212.0
2135,283.0,23.0,735.0,6.0,5325.0,0.0,96.0,8.0,440.0,9926.0,74.0,66.0,21816.0,13930.0,15695.0,9877.0,13921.0,811.0,9690.0,633.0,122.0,2099.0,160.0,17994.0,179.0,2583.0,662.0,466.0,1184.0,500.0
2184,349.0,15625.0,382.0,139.0,594.0,578.0,8908.0,0.0,1807.0,9470.0,3.0,552.0,23827.0,1769.0,30.0,9427.0,14652.0,23531.0,5.0,21.0,40.0,1475.0,314.0,13404.0,8526.0,2633.0,635.0,249.0,46.0,1938.0
2233,1398.0,125.0,1366.0,670.0,1464.0,237.0,413.0,2.0,14562.0,9174.0,46.0,133.0,22827.0,1498.0,202.0,822.0,10.0,22964.0,127.0,231.0,346.0,2136.0,537.0,80.0,37.0,4003.0,938.0,16536.0,2789.0,522.0
2282,2.0,124.0,2071.0,306.0,346.0,1444.0,8394.0,227.0,14603.0,964.0,3.0,13715.0,500.0,285.0,22039.0,28.0,6.0,22923.0,96.0,97.0,78.0,344.0,1251.0,15061.0,23.0,1071.0,45.0,1077.0,15208.0,3606.0
2331,465.0,18500.0,114.0,185.0,683.0,2284.0,392.0,6.0,2006.0,578.0,55.0,474.0,23339.0,34.0,22050.0,619.0,1279.0,22906.0,8641.0,571.0,21278.0,10446.0,2620.0,15001.0,231.0,1495.0,19.0,16973.0,2777.0,244.0
2380,231.0,14810.0,977.0,327.0,637.0,588.0,633.0,74.0,14483.0,2800.0,45.0,13639.0,25.0,22299.0,525.0,1649.0,22374.0,22984.0,2.0,120.0,116.0,12869.0,4178.0,15282.0,8099.0,2579.0,42.0,945.0,2815.0,4135.0
2429,23.0,14737.0,357.0,26.0,4072.0,13452.0,987.0,25.0,1515.0,1030.0,2.0,162.0,14.0,22297.0,22068.0,1381.0,24.0,22980.0,95.0,674.0,21281.0,1152.0,4030.0,1963.0,37.0,214.0,104.0,2751.0,13350.0,3954.0
2478,394.0,141.0,965.0,63.0,61.0,7.0,395.0,8.0,14700.0,29.0,71.0,93.0,73.0,0.0,15634.0,492.0,527.0,341.0,2211.0,1624.0,1469.0,442.0,98.0,105.0,12705.0,372.0,14286.0,247.0,62.0,4993.0
2527,355.0,59.0,2.0,7.0,124.0,180.0,926.0,34.0,615.0,26.0,36.0,16353.0,22067.0,3.0,13864.0,1080.0,949.0,240.0,482.0,1938.0,188.0,385.0,2007.0,17636.0,888.0,89.0,2222.0,13269.0,5.0,3327.0
2576,0.0,112.0,23476.0,19644.0,11594.0,900.0,9517.0,7.0,299.0,344.0,21460.0,23.0,22828.0,9.0,22318.0,6194.0,22228.0,23080.0,11.0,596.0,77.0,27.0,11257.0,416.0,76.0,4.0,15611.0,16527.0,15.0,11315.0
2625,679.0,113.0,40.0,381.0,3943.0,13010.0,8457.0,13.0,14484.0,529.0,19.0,79.0,22857.0,33.0,22087.0,9163.0,139.0,22951.0,1256.0,630.0,1307.0,10506.0,126.0,15290.0,1168.0,475.0,47.0,16525.0,13357.0,3540.0
2674,11.0,8.0,29.0,19555.0,45.0,18.0,8476.0,193.0,14479.0,754.0,0.0,21.0,23312.0,22291.0,128.0,92.0,150.0,1994.0,231.0,17.0,47.0,2008.0,3747.0,15256.0,8001.0,1739.0,15563.0,111.0,634.0,3934.0
2723,13879.0,14794.0,0.0,391.0,75.0,1080.0,196.0,555.0,182.0,246.0,375.0,13624.0,22853.0,454.0,22108.0,9143.0,22373.0,22985.0,21.0,2290.0,21282.0,67.0,3947.0,1385.0,364.0,3280.0,6.0,319.0,27.0,3907.0
2772,0.0,3.0,58.0,4.0,283.0,13013.0,124.0,2325.0,1336.0,384.0,377.0,37.0,22835.0,474.0,98.0,66.0,22347.0,2.0,610.0,1536.0,479.0,1335.0,3706.0,452.0,23.0,2040.0,1482.0,1986.0,13356.0,3981.0
2821,1697.0,27.0,23514.0,122.0,887.0,618.0,2.0,637.0,14610.0,246.0,21492.0,13732.0,22832.0,167.0,218.0,13.0,191.0,155.0,83.0,402.0,850.0,10482.0,233.0,50.0,72.0,151.0,357.0,16508.0,863.0,4192.0
2870,6.0,55.0,3.0,65.0,83.0,509.0,8456.0,0.0,14492.0,348.0,21482.0,13625.0,444.0,22364.0,120.0,9159.0,66.0,5.0,8705.0,112.0,116.0,331.0,3408.0,1092.0,605.0,73.0,598.0,2088.0,263.0,39.0
2919,5.0,243.0,241.0,4.0,720.0,324.0,294.0,490.0,14494.0,80.0,21482.0,1454.0,22856.0,48.0,172.0,2130.0,41.0,0.0,13.0,279.0,21170.0,7.0,4467.0,415.0,51.0,32.0,1487.0,16510.0,1739.0,4292.0
2968,13.0,563.0,50.0,1090.0,358.0,2260.0,0.0,141.0,14454.0,58.0,21470.0,1088.0,22841.0,674.0,16.0,9.0,22342.0,22983.0,3562.0,271.0,21295.0,37.0,11139.0,126.0,10284.0,642.0,3.0,983.0,332.0,436.0
3017,13894.0,7.0,219.0,19575.0,2.0,158.0,118.0,920.0,1139.0,12.0,19.0,249.0,23309.0,1552.0,1.0,45.0,22300.0,787.0,2296.0,567.0,2775.0,10469.0,1292.0,15061.0,1758.0,149.0,6.0,1211.0,2754.0,5.0
3066,130.0,210.0,4.0,312.0,6.0,0.0,8401.0,769.0,159.0,195.0,526.0,404.0,1489.0,1193.0,2.0,1589.0,28.0,22966.0,8649.0,681.0,2704.0,10440.0,1452.0,15250.0,949.0,1080.0,33.0,216.0,1464.0,4457.0
3115,13863.0,197.0,75.0,2364.0,41.0,4.0,378.0,1191.0,14480.0,15.0,21417.0,1708.0,22848.0,29.0,2.0,28.0,22365.0,136.0,998.0,16611.0,21301.0,279.0,705.0,15268.0,2041.0,919.0,18.0,36.0,234.0,581.0
3164,13620.0,14716.0,42.0,864.0,3.0,0.0,8465.0,57.0,14576.0,88.0,21427.0,13710.0,44.0,163.0,28.0,67.0,22356.0,22918.0,8696.0,16614.0,1406.0,10584.0,490.0,579.0,8029.0,726.0,15524.0,2089.0,134.0,1300.0
3213,149.0,213.0,23.0,17.0,44.0,32.0,8409.0,5646.0,378.0,16.0,21412.0,164.0,1536.0,1262.0,3.0,1043.0,1448.0,54.0,158.0,33.0,92.0,10588.0,672.0,15044.0,950.0,2302.0,186.0,65.0,1.0,1905.0
3262,666.0,14738.0,23472.0,544.0,161.0,2421.0,9.0,18.0,14490.0,30.0,21475.0,198.0,22841.0,1537.0,22107.0,9118.0,567.0,269.0,8673.0,16626.0,330.0,199.0,774.0,1697.0,5.0,3517.0,37.0,162.0,13341.0,3686.0
3311,264.0,13.0,234.0,814.0,32.0,0.0,9.0,295.0,83.0,31.0,21420.0,640.0,23325.0,2028.0,259.0,2533.0,22297.0,22927.0,252.0,2592.0,962.0,10413.0,4361.0,15003.0,36.0,3190.0,15499.0,16942.0,692.0,444.0
3360,5.0,2560.0,256.0,380.0,1.0,13.0,1120.0,1637.0,14569.0,45.0,21425.0,2.0,309.0,942.0,22021.0,1173.0,22287.0,22934.0,8626.0,645.0,56.0,410.0,116.0,15015.0,51.0,974.0,15520.0,698.0,80.0,20.0
3409,32.0,10.0,23472.0,115.0,632.0,1.0,706.0,124.0,14463.0,390.0,21431.0,29.0,376.0,2706.0,22037.0,9085.0,1034.0,22913.0,31.0,791.0,149.0,304.0,3319.0,108.0,184.0,54.0,15503.0,20.0,1602.0,574.0
3458,58.0,99.0,23439.0,644.0,3.0,295.0,6.0,6631.0,32.0,498.0,20.0,249.0,0.0,75.0,150.0,124.0,13.0,50.0,88.0,38.0,1093.0,60.0,1825.0,1454.0,106.0,216.0,15537.0,12.0,2513.0,51.0
3507,2756.0,261.0,23583.0,19579.0,5.0,126.0,291.0,4473.0,14572.0,123.0,67.0,486.0,86.0,46.0,72.0,30.0,22319.0,163.0,109.0,733.0,1.0,1001.0,11.0,713.0,2445.0,1795.0,15527.0,2.0,69.0,4138.0
3556,699.0,76.0,180.0,272.0,134.0,65.0,25.0,21.0,26.0,9164.0,114.0,27.0,3.0,22362.0,15.0,0.0,5.0,191.0,161.0,1770.0,36.0,52.0,11.0,15272.0,158.0,17.0,125.0,48.0,87.0,16.0
3605,1623.0,41.0,748.0,131.0,9.0,2701.0,8441.0,28.0,14497.0,283.0,21418.0,2225.0,207.0,18.0,98.0,0.0,107.0,91.0,427.0,2310.0,20.0,10520.0,2892.0,32.0,7993.0,3933.0,15529.0,16.0,790.0,3543.0
3654,1683.0,200.0,9.0,1023.0,199.0,663.0,464.0,1911.0,14488.0,278.0,153.0,13.0,6.0,289.0,35.0,575.0,22342.0,22961.0,460.0,16640.0,21237.0,1597.0,1033.0,15303.0,1574.0,3349.0,141.0,11.0,159.0,1061.0
3703,16433.0,0.0,22458.0,23448.0,5002.0,17566.0,49.0,6561.0,8.0,9808.0,16.0,16549.0,13.0,289.0,390.0,22.0,29.0,37.0,713.0,908.0,19137.0,18.0,1061.0,14206.0,212.0,4970.0,21.0,164.0,108.0,113.0
3752,761.0,230.0,70.0,338.0,121.0,2.0,806.0,6186.0,8.0,555.0,161.0,18314.0,241.0,542.0,15942.0,1869.0,52.0,21792.0,326.0,9684.0,0.0,95.0,414.0,14041.0,133.0,4484.0,3.0,1580.0,1344.0,106.0
3801,0.0,179.0,21730.0,19378.0,64.0,7.0,1.0,1123.0,15227.0,1605.0,331.0,17768.0,22987.0,14987.0,15069.0,271.0,13.0,348.0,306.0,2735.0,8.0,1420.0,617.0,207.0,8535.0,438.0,13417.0,28.0,13369.0,210.0
3850,1024.0,148.0,598.0,192.0,156.0,5.0,49.0,358.0,39.0,664.0,149.0,228.0,2272.0,1168.0,22101.0,44.0,12.0,126.0,136.0,336.0,525.0,10501.0,714.0,15291.0,38.0,585.0,15590.0,1410.0,13352.0,86.0
3899,4.0,14804.0,66.0,73.0,956.0,428.0,6.0,18.0,63.0,11.0,99.0,104.0,129.0,738.0,22073.0,137.0,270.0,121.0,838.0,286.0,84.0,123.0,217.0,224.0,23.0,130.0,735.0,48.0,44.0,4872.0
3948,73.0,1192.0,1.0,7.0,11112.0,57.0,2197.0,339.0,14579.0,11.0,21401.0,340.0,777.0,609.0,22030.0,46.0,567.0,22902.0,272.0,2432.0,1384.0,45.0,13.0,75.0,7602.0,698.0,805.0,16721.0,118.0,21.0
3997,922.0,111.0,15.0,19588.0,4159.0,2237.0,482.0,79.0,27.0,68.0,45.0,39.0,2034.0,1783.0,22040.0,21.0,22285.0,22934.0,8658.0,1033.0,41.0,197.0,171.0,284.0,594.0,4165.0,135.0,145.0,2832.0,149.0
4046,8.0,458.0,40.0,36.0,11440.0,124.0,2.0,192.0,125.0,0.0,57.0,5.0,31.0,587.0,22039.0,55.0,22294.0,22974.0,3543.0,79.0,1023.0,12678.0,187.0,15024.0,9654.0,11409.0,390.0,16960.0,69.0,11126.0
4095,56.0,14796.0,99.0,1766.0,4009.0,12996.0,61.0,334.0,31.0,709.0,91.0,1150.0,22823.0,2126.0,6.0,676.0,594.0,262.0,81.0,128.0,2745.0,768.0,90.0,15263.0,102.0,136.0,13.0,124.0,829.0,891.0
4144,6.0,14778.0,39.0,621.0,131.0,223.0,24.0,170.0,64.0,357.0,380.0,226.0,22858.0,22301.0,94.0,31.0,22373.0,22986.0,3489.0,101.0,36.0,11808.0,58.0,698.0,716.0,394.0,793.0,84.0,13356.0,11165.0
4193,13853.0,14745.0,319.0,11.0,6.0,13466.0,2096.0,37.0,4.0,23.0,265.0,205.0,402.0,1038.0,110.0,314.0,2282.0,151.0,8662.0,16613.0,2032.0,10470.0,62.0,184.0,773.0,126.0,89.0,718.0,10.0,3332.0
4242,1372.0,14790.0,1384.0,247.0,3981.0,1170.0,8468.0,633.0,13.0,610.0,21465.0,13592.0,2262.0,10.0,303.0,691.0,2269.0,22965.0,8697.0,12.0,442.0,239.0,20.0,178.0,786.0,31.0,168.0,318.0,144.0,418.0
4291,38.0,1708.0,521.0,232.0,3192.0,2098.0,8474.0,5672.0,14604.0,132.0,21413.0,1397.0,23079.0,20.0,145.0,1995.0,133.0,811.0,2370.0,2536.0,6.0,238.0,214.0,11.0,267.0,43.0,1277.0,2041.0,13340.0,3528.0
4340,13808.0,895.0,23438.0,791.0,22.0,13415.0,357.0,772.0,14458.0,9101.0,21419.0,48.0,396.0,4.0,26.0,885.0,22366.0,1520.0,739.0,16598.0,716.0,111.0,46.0,0.0,7956.0,294.0,7.0,209.0,13306.0,452.0
4389,148.0,14758.0,23461.0,19577.0,30.0,20.0,11.0,36.0,147.0,2765.0,294.0,211.0,372.0,757.0,33.0,215.0,1831.0,22912.0,14.0,2429.0,673.0,45.0,93.0,16.0,10198.0,2.0,15525.0,646.0,315.0,752.0
4438,31.0,441.0,1261.0,19544.0,2649.0,13369.0,8427.0,63.0,2.0,2603.0,21460.0,13668.0,61.0,22315.0,37.0,9083.0,450.0,4.0,13.0,2625.0,46.0,10671.0,2298.0,106.0,772.0,109.0,15503.0,754.0,15187.0,3005.0
4487,76.0,14764.0,9.0,92.0,83.0,2015.0,8388.0,4478.0,225.0,481.0,21415.0,19.0,61.0,12.0,909.0,236.0,368.0,54.0,8637.0,16609.0,305.0,142.0,429.0,163.0,0.0,3249.0,354.0,16493.0,555.0,312.0
4536,1.0,22242.0,23597.0,48.0,12.0,46.0,8363.0,53.0,0.0,28.0,21894.0,40.0,49.0,7.0,22155.0,148.0,22076.0,71.0,8651.0,787.0,147.0,98.0,3527.0,382.0,520.0,3903.0,15642.0,683.0,1391.0,3507.0
4585,5.0,216.0,80.0,47.0,9.0,784.0,107.0,5680.0,50.0,151.0,1202.0,13664.0,22819.0,22331.0,22045.0,9137.0,22355.0,22956.0,165.0,1365.0,730.0,52.0,1.0,15054.0,70.0,99.0,15572.0,16761.0,265.0,3911.0
4634,95.0,30.0,436.0,107.0,86.0,1549.0,8447.0,594.0,9.0,9117.0,21468.0,425.0,22853.0,22293.0,1032.0,1153.0,275.0,41.0,302.0,16613.0,346.0,10691.0,193.0,39.0,451.0,1392.0,15544.0,16964.0,774.0,3289.0
4683,25.0,14728.0,39.0,234.0,2845.0,180.0,8393.0,352.0,2221.0,10.0,21438.0,243.0,22840.0,1.0,22040.0,0.0,22304.0,22976.0,1211.0,224.0,659.0,36.0,204.0,4.0,974.0,1738.0,15546.0,1504.0,735.0,2361.0
4732,1899.0,14720.0,16.0,81.0,14.0,13439.0,23.0,324.0,143.0,380.0,21427.0,647.0,116.0,1062.0,22017.0,83.0,32.0,2375.0,300.0,179.0,21228.0,786.0,2647.0,18.0,724.0,919.0,15516.0,1113.0,2604.0,3500.0
4781,7.0,14789.0,50.0,879.0,3097.0,70.0,202.0,625.0,170.0,209.0,216.0,48.0,22885.0,792.0,2096.0,1040.0,264.0,23431.0,15.0,238.0,21287.0,10720.0,853.0,41.0,745.0,2989.0,734.0,1186.0,1872.0,12.0
4830,5.0,327.0,603.0,1310.0,6.0,13406.0,19.0,476.0,295.0,4738.0,21893.0,13715.0,17.0,196.0,22043.0,203.0,22307.0,22906.0,772.0,258.0,1044.0,12476.0,4005.0,15007.0,8494.0,676.0,2088.0,25.0,125.0,3980.0
