,C36:1 DAG,C22:6 LPE,inositol,C22:6 CE,C20:4 CE,5-HIAA,GABA,guanosine,3-phosphoglycerate,2-deoxycytidine,pantothenate,alpha-glycerophosphate,taurodeoxycholate,C16:0 LPE,C36:4 PC-B,DHAP/glyceraldehyde 3P,cystathionine,glutamine,inosine,homocysteine,creatine,PEP,C34:4 PC,C34:2 DAG,sarcosine,putrescine,C22:6 LPC,hypoxanthine,serotonin,cytidine
854,0.0,37.0,13.0,1.0,5.0,2.0,14.0,32.0,7.0,9.0,41.0,23.0,18.0,4.0,17.0,47.0,19.0,60.0,12.0,10.0,44.0,3.0,25.0,8.0,6.0,39.0,11.0,16.0,51.0,20.0
903,8.0,47.0,19.0,29.0,22.0,16.0,1.0,54.0,2.0,0.0,11.0,14.0,4.0,13.0,5.0,9.0,3.0,18.0,10.0,27.0,26.0,12.0,15.0,6.0,23.0,21.0,24.0,20.0,31.0,53.0
952,22.0,8.0,6.0,33.0,29.0,4.0,12.0,25.0,26.0,10.0,3.0,5.0,28.0,18.0,11.0,58.0,15.0,54.0,19.0,1.0,13.0,0.0,2.0,16.0,7.0,14.0,20.0,63.0,23.0,24.0
1001,0.0,1.0,8.0,6.0,12.0,14.0,4.0,33.0,18.0,9.0,13.0,7.0,10.0,2.0,30.0,3.0,11.0,49.0,17.0,40.0,5.0,35.0,20.0,19.0,21.0,44.0,25.0,15.0,16.0,58.0
1050,2.0,8.0,3.0,4.0,1.0,9.0,5.0,25.0,7.0,28.0,10.0,0.0,27.0,14.0,41.0,6.0,15.0,23.0,38.0,48.0,20.0,21.0,16.0,11.0,30.0,34.0,29.0,43.0,12.0,17.0
1099,0.0,3.0,17.0,6.0,19.0,34.0,25.0,13.0,12.0,8.0,2.0,1.0,20.0,22.0,24.0,47.0,5.0,35.0,10.0,54.0,56.0,11.0,27.0,14.0,28.0,32.0,31.0,36.0,45.0,7.0
1148,1.0,3.0,5.0,6.0,28.0,8.0,7.0,20.0,25.0,0.0,27.0,2.0,11.0,15.0,10.0,33.0,13.0,22.0,29.0,58.0,21.0,34.0,66.0,23.0,17.0,19.0,30.0,12.0,48.0,4.0
1197,5.0,4.0,39.0,3.0,57.0,0.0,1.0,8.0,9.0,7.0,31.0,6.0,21.0,12.0,36.0,32.0,51.0,22.0,14.0,23.0,19.0,16.0,27.0,15.0,2.0,46.0,24.0,47.0,40.0,11.0
1246,7.0,3.0,2.0,15.0,62.0,10.0,6.0,9.0,29.0,1.0,0.0,21.0,5.0,16.0,19.0,22.0,26.0,13.0,20.0,8.0,34.0,24.0,37.0,4.0,18.0,31.0,45.0,23.0,38.0,17.0
1295,0.0,8.0,33.0,1.0,28.0,2.0,7.0,51.0,25.0,64.0,6.0,4.0,12.0,13.0,14.0,18.0,36.0,11.0,22.0,16.0,45.0,9.0,57.0,17.0,3.0,26.0,21.0,42.0,43.0,20.0
1344,0.0,44.0,2.0,17.0,19.0,11.0,9.0,8.0,5.0,1.0,38.0,13.0,6.0,22.0,51.0,12.0,47.0,35.0,3.0,4.0,18.0,14.0,29.0,23.0,49.0,32.0,25.0,42.0,59.0,10.0
1393,0.0,6.0,8.0,39.0,31.0,12.0,50.0,1.0,15.0,7.0,22.0,18.0,2.0,23.0,5.0,17.0,34.0,16.0,19.0,57.0,21.0,13.0,54.0,11.0,24.0,14.0,35.0,9.0,65.0,3.0
1442,9.0,11.0,2.0,10.0,1.0,5.0,6.0,4.0,39.0,0.0,12.0,38.0,31.0,17.0,22.0,3.0,14.0,29.0,42.0,8.0,13.0,48.0,20.0,27.0,18.0,50.0,16.0,65.0,34.0,26.0
1491,10.0,3.0,1.0,13.0,36.0,12.0,33.0,11.0,4.0,21.0,25.0,5.0,37.0,2.0,9.0,0.0,29.0,6.0,16.0,17.0,64.0,18.0,20.0,63.0,22.0,30.0,27.0,7.0,28.0,60.0
1540,2.0,12.0,1.0,11.0,38.0,3.0,16.0,17.0,35.0,7.0,24.0,27.0,13.0,28.0,30.0,0.0,34.0,9.0,8.0,10.0,14.0,60.0,20.0,48.0,45.0,43.0,5.0,32.0,58.0,23.0
1589,3.0,8.0,4.0,36.0,31.0,22.0,0.0,2.0,17.0,15.0,44.0,26.0,37.0,11.0,7.0,1.0,34.0,16.0,33.0,5.0,30.0,41.0,19.0,47.0,18.0,39.0,21.0,35.0,45.0,6.0
1638,7.0,21.0,4.0,1.0,13.0,44.0,34.0,16.0,5.0,11.0,58.0,23.0,20.0,3.0,12.0,0.0,36.0,2.0,6.0,8.0,31.0,29.0,30.0,24.0,15.0,42.0,60.0,32.0,66.0,18.0
1687,4.0,10.0,6.0,13.0,11.0,53.0,3.0,22.0,1.0,17.0,15.0,14.0,18.0,2.0,8.0,5.0,21.0,0.0,24.0,9.0,25.0,46.0,36.0,23.0,65.0,7.0,48.0,44.0,60.0,16.0
1736,32.0,15.0,4.0,0.0,21.0,48.0,9.0,26.0,14.0,17.0,33.0,6.0,12.0,3.0,1.0,2.0,49.0,47.0,28.0,11.0,27.0,10.0,55.0,43.0,20.0,8.0,44.0,39.0,45.0,40.0
1785,4.0,6.0,18.0,3.0,56.0,5.0,0.0,22.0,7.0,30.0,12.0,14.0,32.0,10.0,8.0,1.0,24.0,9.0,19.0,13.0,27.0,33.0,16.0,21.0,29.0,17.0,11.0,2.0,41.0,23.0
1834,11.0,39.0,2.0,9.0,31.0,22.0,1.0,28.0,6.0,4.0,5.0,7.0,14.0,21.0,45.0,0.0,41.0,17.0,16.0,8.0,13.0,64.0,10.0,29.0,23.0,40.0,27.0,56.0,12.0,3.0
1883,1.0,34.0,4.0,12.0,3.0,18.0,7.0,41.0,9.0,23.0,10.0,5.0,13.0,6.0,0.0,2.0,56.0,8.0,25.0,14.0,27.0,21.0,60.0,29.0,24.0,54.0,37.0,11.0,33.0,39.0
1932,13.0,30.0,5.0,18.0,3.0,55.0,6.0,1.0,4.0,46.0,39.0,2.0,9.0,7.0,10.0,0.0,41.0,16.0,29.0,12.0,8.0,21.0,28.0,25.0,22.0,31.0,24.0,36.0,17.0,32.0
1981,0.0,13.0,6.0,42.0,11.0,4.0,32.0,8.0,2.0,9.0,27.0,10.0,19.0,23.0,33.0,17.0,7.0,5.0,26.0,3.0,24.0,1.0,34.0,12.0,40.0,15.0,16.0,50.0,44.0,51.0
2030,0.0,19.0,5.0,33.0,4.0,24.0,1.0,2.0,16.0,6.0,12.0,7.0,10.0,8.0,34.0,13.0,15.0,3.0,9.0,20.0,36.0,52.0,50.0,31.0,46.0,28.0,18.0,38.0,42.0,25.0
2079,0.0,10.0,4.0,6.0,23.0,7.0,64.0,31.0,1.0,40.0,42.0,8.0,20.0,16.0,29.0,9.0,28.0,5.0,33.0,24.0,22.0,37.0,15.0,62.0,11.0,2.0,3.0,18.0,21.0,53.0
2128,0.0,27.0,2.0,38.0,1.0,13.0,36.0,20.0,24.0,21.0,3.0,28.0,7.0,34.0,14.0,30.0,9.0,5.0,55.0,18.0,23.0,10.0,53.0,16.0,29.0,8.0,32.0,6.0,35.0,65.0
2177,1.0,9.0,4.0,8.0,0.0,7.0,30.0,2.0,17.0,6.0,33.0,13.0,11.0,3.0,14.0,31.0,5.0,12.0,21.0,37.0,41.0,63.0,42.0,20.0,47.0,23.0,18.0,10.0,59.0,34.0
2226,2.0,13.0,0.0,6.0,52.0,21.0,18.0,17.0,27.0,56.0,15.0,3.0,19.0,35.0,31.0,9.0,23.0,10.0,40.0,1.0,45.0,4.0,24.0,5.0,30.0,50.0,60.0,16.0,22.0,28.0
2275,0.0,13.0,3.0,48.0,5.0,19.0,27.0,56.0,4.0,15.0,35.0,9.0,46.0,18.0,52.0,16.0,30.0,7.0,33.0,2.0,39.0,10.0,32.0,6.0,49.0,23.0,43.0,21.0,47.0,34.0
2324,3.0,4.0,17.0,14.0,1.0,7.0,28.0,38.0,11.0,13.0,2.0,35.0,15.0,5.0,19.0,0.0,12.0,27.0,37.0,51.0,42.0,45.0,10.0,23.0,6.0,41.0,8.0,9.0,21.0,60.0
2373,2.0,1.0,26.0,3.0,0.0,36.0,29.0,44.0,10.0,15.0,35.0,8.0,6.0,30.0,38.0,4.0,5.0,23.0,28.0,21.0,22.0,57.0,54.0,14.0,24.0,46.0,33.0,52.0,63.0,55.0
2422,12.0,11.0,3.0,4.0,1.0,23.0,25.0,24.0,28.0,21.0,33.0,6.0,13.0,10.0,16.0,0.0,5.0,2.0,31.0,9.0,15.0,17.0,26.0,19.0,53.0,52.0,14.0,38.0,18.0,42.0
2471,2.0,5.0,14.0,22.0,38.0,1.0,4.0,0.0,32.0,15.0,3.0,6.0,7.0,21.0,31.0,17.0,9.0,34.0,29.0,20.0,27.0,23.0,18.0,13.0,12.0,11.0,55.0,26.0,66.0,64.0
2520,6.0,11.0,9.0,19.0,4.0,0.0,2.0,1.0,20.0,15.0,12.0,24.0,10.0,29.0,3.0,5.0,38.0,39.0,8.0,14.0,22.0,41.0,27.0,48.0,13.0,7.0,51.0,21.0,25.0,17.0
2569,3.0,38.0,13.0,25.0,48.0,0.0,2.0,1.0,4.0,44.0,8.0,34.0,10.0,22.0,5.0,24.0,33.0,19.0,26.0,29.0,16.0,21.0,6.0,14.0,47.0,7.0,65.0,18.0,31.0,57.0
2618,0.0,12.0,16.0,9.0,49.0,1.0,14.0,5.0,29.0,10.0,2.0,15.0,38.0,39.0,8.0,47.0,17.0,26.0,19.0,3.0,7.0,13.0,21.0,31.0,48.0,23.0,56.0,34.0,24.0,60.0
2667,1.0,10.0,25.0,12.0,18.0,0.0,3.0,13.0,8.0,20.0,7.0,24.0,14.0,57.0,5.0,6.0,56.0,2.0,22.0,28.0,38.0,35.0,15.0,27.0,37.0,16.0,58.0,21.0,9.0,46.0
2716,1.0,10.0,50.0,6.0,2.0,0.0,8.0,3.0,33.0,5.0,4.0,31.0,36.0,28.0,9.0,32.0,55.0,18.0,16.0,45.0,11.0,12.0,7.0,14.0,24.0,17.0,54.0,48.0,65.0,59.0
2765,0.0,39.0,6.0,2.0,19.0,1.0,4.0,11.0,15.0,13.0,3.0,7.0,20.0,12.0,10.0,36.0,25.0,51.0,5.0,24.0,16.0,17.0,30.0,9.0,23.0,8.0,47.0,46.0,14.0,29.0
2814,0.0,8.0,31.0,17.0,14.0,3.0,4.0,1.0,16.0,27.0,2.0,29.0,11.0,12.0,20.0,43.0,15.0,5.0,9.0,41.0,33.0,30.0,13.0,47.0,6.0,21.0,7.0,49.0,19.0,58.0
2863,1.0,38.0,15.0,2.0,6.0,0.0,4.0,3.0,28.0,52.0,10.0,36.0,11.0,21.0,18.0,8.0,33.0,7.0,14.0,42.0,44.0,17.0,26.0,39.0,12.0,5.0,29.0,41.0,59.0,51.0
2912,19.0,5.0,23.0,3.0,9.0,1.0,0.0,11.0,40.0,24.0,2.0,57.0,56.0,6.0,4.0,15.0,17.0,16.0,20.0,28.0,38.0,33.0,29.0,31.0,18.0,8.0,47.0,7.0,30.0,58.0
2961,0.0,15.0,10.0,25.0,1.0,23.0,7.0,3.0,6.0,46.0,21.0,5.0,17.0,18.0,11.0,53.0,2.0,34.0,9.0,12.0,8.0,44.0,19.0,39.0,54.0,29.0,30.0,24.0,13.0,22.0
3010,8.0,15.0,18.0,3.0,4.0,6.0,11.0,22.0,0.0,16.0,9.0,10.0,19.0,7.0,36.0,2.0,1.0,21.0,14.0,35.0,41.0,51.0,43.0,29.0,20.0,13.0,40.0,39.0,54.0,5.0
3059,0.0,13.0,38.0,17.0,10.0,9.0,55.0,35.0,1.0,5.0,7.0,4.0,15.0,8.0,25.0,3.0,2.0,34.0,12.0,19.0,16.0,14.0,37.0,22.0,43.0,29.0,6.0,45.0,57.0,11.0
3108,9.0,10.0,25.0,20.0,12.0,3.0,26.0,22.0,5.0,7.0,23.0,2.0,8.0,1.0,6.0,0.0,17.0,11.0,27.0,13.0,16.0,35.0,33.0,38.0,32.0,52.0,14.0,39.0,54.0,50.0
3157,0.0,8.0,7.0,4.0,27.0,33.0,20.0,9.0,5.0,6.0,24.0,16.0,15.0,26.0,44.0,1.0,14.0,45.0,2.0,43.0,10.0,22.0,23.0,34.0,29.0,19.0,54.0,21.0,11.0,48.0
3206,0.0,4.0,31.0,5.0,15.0,18.0,13.0,23.0,14.0,17.0,2.0,10.0,21.0,8.0,47.0,3.0,1.0,7.0,6.0,22.0,19.0,49.0,28.0,9.0,63.0,12.0,16.0,39.0,11.0,24.0
3255,4.0,15.0,12.0,10.0,32.0,41.0,6.0,16.0,8.0,30.0,5.0,14.0,26.0,9.0,1.0,3.0,0.0,7.0,2.0,43.0,37.0,24.0,46.0,20.0,31.0,11.0,23.0,38.0,54.0,49.0
3304,1.0,42.0,39.0,15.0,8.0,6.0,24.0,9.0,0.0,31.0,11.0,13.0,50.0,14.0,41.0,16.0,5.0,10.0,2.0,33.0,12.0,32.0,40.0,25.0,63.0,4.0,43.0,22.0,17.0,52.0
3353,2.0,16.0,5.0,3.0,20.0,11.0,14.0,8.0,9.0,33.0,1.0,0.0,6.0,15.0,30.0,13.0,12.0,7.0,47.0,36.0,29.0,31.0,24.0,23.0,42.0,10.0,4.0,58.0,17.0,50.0
3402,0.0,7.0,20.0,10.0,9.0,12.0,19.0,23.0,4.0,3.0,18.0,1.0,30.0,2.0,31.0,6.0,15.0,8.0,13.0,45.0,24.0,14.0,42.0,35.0,29.0,5.0,32.0,11.0,27.0,46.0
3451,2.0,6.0,3.0,5.0,12.0,7.0,25.0,8.0,29.0,28.0,19.0,1.0,14.0,0.0,22.0,24.0,11.0,4.0,13.0,32.0,9.0,42.0,52.0,61.0,16.0,10.0,36.0,38.0,33.0,20.0
3500,7.0,0.0,15.0,9.0,4.0,10.0,17.0,3.0,29.0,27.0,2.0,30.0,6.0,16.0,8.0,20.0,18.0,1.0,35.0,24.0,19.0,31.0,45.0,50.0,13.0,14.0,64.0,52.0,60.0,28.0
3549,0.0,1.0,7.0,20.0,2.0,5.0,19.0,34.0,11.0,3.0,24.0,13.0,8.0,6.0,9.0,4.0,29.0,45.0,46.0,38.0,12.0,16.0,27.0,65.0,41.0,17.0,37.0,39.0,30.0,47.0
3598,1.0,6.0,3.0,12.0,11.0,14.0,10.0,9.0,25.0,5.0,13.0,28.0,2.0,0.0,21.0,17.0,8.0,53.0,23.0,7.0,30.0,4.0,52.0,18.0,34.0,15.0,19.0,45.0,16.0,50.0
3647,1.0,2.0,24.0,7.0,8.0,12.0,4.0,5.0,40.0,11.0,3.0,34.0,9.0,0.0,13.0,6.0,10.0,30.0,45.0,14.0,22.0,39.0,25.0,36.0,53.0,49.0,59.0,27.0,18.0,55.0
3696,4.0,9.0,33.0,6.0,2.0,1.0,28.0,7.0,14.0,17.0,0.0,12.0,16.0,3.0,8.0,5.0,21.0,10.0,40.0,11.0,50.0,61.0,22.0,29.0,45.0,38.0,44.0,20.0,24.0,56.0
3745,4.0,2.0,18.0,3.0,8.0,10.0,54.0,0.0,23.0,41.0,6.0,7.0,1.0,5.0,36.0,34.0,13.0,20.0,12.0,14.0,57.0,24.0,28.0,53.0,62.0,11.0,47.0,19.0,33.0,38.0
3794,1.0,5.0,3.0,10.0,0.0,21.0,6.0,12.0,19.0,14.0,30.0,25.0,9.0,13.0,29.0,18.0,26.0,32.0,33.0,4.0,17.0,20.0,8.0,46.0,2.0,63.0,23.0,7.0,36.0,34.0
3843,0.0,10.0,22.0,25.0,1.0,9.0,15.0,8.0,38.0,2.0,11.0,4.0,5.0,3.0,19.0,26.0,29.0,17.0,48.0,27.0,21.0,7.0,24.0,61.0,16.0,45.0,33.0,51.0,23.0,18.0
3892,0.0,31.0,11.0,12.0,1.0,8.0,2.0,14.0,4.0,13.0,3.0,7.0,6.0,5.0,17.0,33.0,39.0,23.0,56.0,15.0,16.0,35.0,32.0,10.0,30.0,9.0,21.0,18.0,19.0,22.0
3941,5.0,1.0,29.0,2.0,3.0,39.0,55.0,22.0,12.0,18.0,36.0,30.0,6.0,10.0,0.0,17.0,21.0,4.0,7.0,9.0,25.0,8.0,28.0,24.0,16.0,13.0,19.0,15.0,40.0,42.0
3990,6.0,0.0,10.0,1.0,7.0,15.0,42.0,12.0,28.0,8.0,16.0,31.0,35.0,38.0,3.0,20.0,32.0,5.0,17.0,18.0,11.0,44.0,2.0,19.0,40.0,53.0,14.0,33.0,34.0,4.0
4039,3.0,0.0,27.0,2.0,7.0,8.0,59.0,9.0,34.0,4.0,16.0,25.0,5.0,1.0,22.0,11.0,19.0,31.0,23.0,28.0,18.0,33.0,6.0,35.0,37.0,38.0,10.0,32.0,56.0,12.0
4088,4.0,3.0,10.0,5.0,32.0,16.0,54.0,0.0,1.0,6.0,23.0,18.0,2.0,57.0,19.0,13.0,7.0,21.0,8.0,17.0,14.0,51.0,20.0,12.0,30.0,63.0,38.0,15.0,42.0,26.0
4137,9.0,2.0,11.0,1.0,0.0,26.0,27.0,4.0,53.0,18.0,35.0,12.0,5.0,34.0,7.0,3.0,14.0,23.0,8.0,16.0,19.0,29.0,28.0,25.0,42.0,48.0,10.0,21.0,45.0,15.0
4186,1.0,3.0,2.0,5.0,0.0,37.0,23.0,6.0,18.0,4.0,29.0,56.0,9.0,17.0,10.0,14.0,7.0,32.0,11.0,19.0,21.0,47.0,22.0,61.0,40.0,13.0,8.0,35.0,24.0,12.0
4235,5.0,8.0,0.0,4.0,10.0,9.0,14.0,3.0,2.0,12.0,45.0,13.0,6.0,28.0,22.0,43.0,1.0,33.0,7.0,21.0,37.0,19.0,15.0,44.0,38.0,25.0,24.0,17.0,40.0,16.0
4284,2.0,1.0,9.0,4.0,0.0,15.0,25.0,7.0,12.0,3.0,35.0,6.0,16.0,29.0,8.0,23.0,45.0,18.0,19.0,5.0,10.0,21.0,13.0,24.0,59.0,47.0,41.0,44.0,17.0,27.0
4333,6.0,9.0,19.0,4.0,0.0,10.0,32.0,16.0,2.0,45.0,7.0,8.0,1.0,18.0,31.0,42.0,3.0,21.0,29.0,15.0,35.0,22.0,12.0,24.0,58.0,47.0,25.0,37.0,44.0,23.0
4382,17.0,3.0,10.0,0.0,1.0,11.0,42.0,19.0,2.0,34.0,27.0,40.0,15.0,14.0,58.0,5.0,36.0,24.0,13.0,6.0,7.0,16.0,49.0,57.0,45.0,55.0,4.0,8.0,35.0,47.0
4431,3.0,1.0,17.0,2.0,6.0,13.0,10.0,46.0,25.0,15.0,16.0,48.0,0.0,14.0,19.0,8.0,56.0,26.0,23.0,40.0,11.0,4.0,30.0,18.0,21.0,44.0,29.0,64.0,24.0,57.0
4480,7.0,0.0,5.0,8.0,2.0,32.0,13.0,4.0,3.0,1.0,55.0,25.0,12.0,45.0,11.0,6.0,43.0,65.0,10.0,31.0,18.0,22.0,16.0,40.0,62.0,54.0,58.0,34.0,29.0,41.0
4529,7.0,3.0,0.0,16.0,1.0,44.0,18.0,5.0,49.0,10.0,20.0,17.0,4.0,13.0,50.0,6.0,45.0,27.0,11.0,60.0,2.0,9.0,19.0,36.0,59.0,52.0,54.0,8.0,24.0,38.0
4578,1.0,5.0,6.0,3.0,0.0,2.0,20.0,18.0,8.0,4.0,12.0,25.0,17.0,45.0,14.0,28.0,34.0,7.0,32.0,40.0,15.0,38.0,22.0,51.0,19.0,50.0,36.0,59.0,16.0,26.0
4627,41.0,0.0,6.0,10.0,5.0,3.0,2.0,25.0,16.0,15.0,11.0,39.0,8.0,21.0,14.0,7.0,13.0,45.0,33.0,29.0,4.0,46.0,23.0,38.0,26.0,35.0,65.0,9.0,40.0,66.0
4676,3.0,0.0,8.0,4.0,1.0,19.0,6.0,10.0,12.0,2.0,18.0,31.0,5.0,23.0,11.0,13.0,22.0,30.0,32.0,16.0,7.0,45.0,14.0,35.0,9.0,24.0,66.0,41.0,54.0,29.0
4725,19.0,1.0,3.0,4.0,2.0,14.0,6.0,0.0,7.0,13.0,25.0,10.0,9.0,66.0,11.0,17.0,44.0,46.0,20.0,33.0,12.0,21.0,34.0,50.0,31.0,35.0,49.0,37.0,16.0,15.0
4774,2.0,0.0,12.0,9.0,4.0,1.0,10.0,13.0,21.0,5.0,66.0,3.0,6.0,48.0,8.0,18.0,54.0,39.0,41.0,24.0,7.0,50.0,29.0,26.0,32.0,19.0,37.0,51.0,11.0,42.0
4823,22.0,0.0,10.0,5.0,3.0,11.0,2.0,4.0,20.0,9.0,41.0,61.0,48.0,12.0,18.0,8.0,56.0,15.0,1.0,29.0,13.0,19.0,25.0,31.0,24.0,45.0,34.0,7.0,30.0,46.0
4872,8.0,3.0,0.0,7.0,1.0,2.0,4.0,5.0,12.0,10.0,43.0,27.0,14.0,42.0,11.0,16.0,41.0,40.0,24.0,33.0,13.0,22.0,23.0,20.0,39.0,19.0,46.0,51.0,38.0,34.0
