,Shc_pY317,P-Cadherin,E-Cadherin,Claudin-7,Rab25,Syk,EGFR_pY1068,VHL,Akt,EGFR,PAI-1,RSK1-2-3,p21,HER2_pY1248,AR,C-Raf(BD610151),C-Raf(MP05-739),VAV1,HER3,Lck,Annexin_VII,S6_pS235_S236,PRAS40_pT246,4E-BP1_pS65,Bim(EP1036),alpha-Catenin,SHP-2_pY542,N-Cadherin,MIG-6,GATA3
592,1.0,0.0,4.0,9.0,6.0,5.0,3.0,7.0,2.0,8.0,10.0,17.0,35.0,18.0,15.0,12.0,11.0,27.0,55.0,16.0,14.0,63.0,22.0,30.0,31.0,43.0,23.0,21.0,26.0,44.0
641,1.0,2.0,3.0,4.0,0.0,5.0,6.0,8.0,7.0,10.0,12.0,16.0,15.0,11.0,29.0,18.0,25.0,37.0,13.0,43.0,9.0,23.0,22.0,34.0,14.0,21.0,30.0,26.0,33.0,20.0
690,1.0,0.0,4.0,3.0,2.0,7.0,8.0,10.0,5.0,9.0,30.0,38.0,23.0,21.0,6.0,15.0,17.0,29.0,19.0,14.0,12.0,57.0,20.0,16.0,26.0,13.0,25.0,42.0,50.0,22.0
739,0.0,1.0,3.0,4.0,2.0,6.0,5.0,8.0,7.0,16.0,14.0,13.0,12.0,11.0,25.0,17.0,18.0,19.0,22.0,20.0,10.0,24.0,50.0,9.0,31.0,27.0,23.0,29.0,97.0,30.0
788,4.0,2.0,0.0,5.0,1.0,3.0,7.0,6.0,11.0,8.0,18.0,15.0,13.0,10.0,17.0,19.0,12.0,48.0,23.0,24.0,14.0,49.0,9.0,21.0,20.0,73.0,42.0,35.0,57.0,61.0
837,0.0,2.0,1.0,5.0,8.0,3.0,7.0,6.0,10.0,14.0,9.0,13.0,4.0,25.0,30.0,20.0,44.0,12.0,38.0,11.0,47.0,33.0,15.0,22.0,24.0,36.0,19.0,99.0,40.0,16.0
886,2.0,1.0,3.0,4.0,5.0,0.0,7.0,8.0,6.0,13.0,17.0,11.0,24.0,16.0,20.0,14.0,34.0,10.0,9.0,31.0,46.0,18.0,80.0,37.0,38.0,29.0,23.0,41.0,35.0,19.0
935,1.0,0.0,2.0,5.0,3.0,4.0,8.0,10.0,7.0,6.0,11.0,14.0,28.0,13.0,15.0,20.0,23.0,9.0,19.0,22.0,12.0,17.0,53.0,46.0,98.0,30.0,75.0,33.0,35.0,16.0
984,0.0,2.0,1.0,6.0,4.0,3.0,11.0,13.0,5.0,17.0,19.0,8.0,14.0,26.0,23.0,33.0,15.0,21.0,16.0,36.0,22.0,7.0,9.0,25.0,24.0,27.0,41.0,31.0,18.0,37.0
1033,0.0,1.0,2.0,15.0,10.0,6.0,3.0,8.0,4.0,5.0,9.0,30.0,13.0,33.0,14.0,19.0,23.0,12.0,18.0,16.0,89.0,7.0,17.0,21.0,25.0,78.0,22.0,72.0,32.0,34.0
1082,0.0,2.0,4.0,3.0,5.0,6.0,7.0,23.0,1.0,8.0,27.0,13.0,41.0,17.0,9.0,24.0,12.0,10.0,11.0,91.0,25.0,16.0,32.0,19.0,57.0,48.0,20.0,29.0,43.0,22.0
1131,1.0,2.0,3.0,28.0,4.0,16.0,25.0,5.0,8.0,22.0,20.0,7.0,12.0,39.0,18.0,19.0,9.0,10.0,27.0,21.0,14.0,0.0,24.0,33.0,17.0,87.0,43.0,30.0,26.0,31.0
1180,1.0,3.0,8.0,7.0,5.0,2.0,9.0,0.0,13.0,12.0,49.0,10.0,17.0,4.0,43.0,26.0,32.0,6.0,18.0,11.0,14.0,15.0,21.0,22.0,44.0,31.0,19.0,108.0,35.0,28.0
1229,0.0,1.0,5.0,9.0,11.0,6.0,3.0,4.0,2.0,10.0,21.0,17.0,19.0,40.0,12.0,46.0,20.0,13.0,8.0,23.0,7.0,14.0,25.0,31.0,38.0,155.0,32.0,68.0,16.0,18.0
1278,0.0,9.0,3.0,8.0,6.0,12.0,1.0,4.0,2.0,5.0,22.0,16.0,20.0,19.0,11.0,13.0,30.0,18.0,25.0,10.0,26.0,23.0,15.0,14.0,56.0,65.0,33.0,32.0,21.0,17.0
1327,0.0,4.0,1.0,2.0,6.0,7.0,9.0,3.0,5.0,17.0,12.0,8.0,24.0,27.0,14.0,29.0,19.0,25.0,18.0,30.0,38.0,11.0,26.0,16.0,28.0,45.0,10.0,21.0,80.0,22.0
1376,0.0,1.0,3.0,11.0,7.0,5.0,8.0,4.0,6.0,22.0,23.0,12.0,14.0,53.0,13.0,38.0,18.0,16.0,29.0,20.0,10.0,2.0,28.0,19.0,30.0,24.0,39.0,33.0,36.0,44.0
1425,0.0,1.0,5.0,4.0,2.0,8.0,3.0,7.0,10.0,6.0,25.0,14.0,22.0,21.0,12.0,9.0,11.0,42.0,16.0,13.0,32.0,17.0,51.0,15.0,20.0,18.0,35.0,24.0,46.0,26.0
1474,1.0,2.0,3.0,4.0,8.0,6.0,5.0,0.0,19.0,7.0,9.0,22.0,11.0,12.0,21.0,26.0,51.0,25.0,20.0,13.0,49.0,18.0,17.0,23.0,16.0,83.0,14.0,38.0,30.0,37.0
1523,0.0,3.0,1.0,2.0,5.0,6.0,4.0,12.0,7.0,15.0,8.0,10.0,11.0,20.0,14.0,18.0,17.0,24.0,9.0,19.0,29.0,13.0,37.0,154.0,16.0,23.0,28.0,22.0,43.0,27.0
1572,1.0,4.0,2.0,0.0,7.0,3.0,6.0,5.0,13.0,8.0,9.0,20.0,10.0,12.0,15.0,17.0,23.0,19.0,14.0,11.0,32.0,26.0,104.0,27.0,28.0,21.0,18.0,31.0,16.0,36.0
1621,1.0,0.0,2.0,12.0,3.0,5.0,4.0,6.0,13.0,7.0,8.0,45.0,20.0,16.0,15.0,27.0,10.0,25.0,14.0,11.0,43.0,17.0,18.0,55.0,22.0,52.0,21.0,79.0,29.0,23.0
1670,0.0,1.0,2.0,4.0,9.0,3.0,6.0,5.0,7.0,10.0,19.0,8.0,13.0,14.0,18.0,12.0,22.0,20.0,15.0,11.0,62.0,25.0,31.0,17.0,24.0,32.0,33.0,28.0,26.0,16.0
1719,1.0,0.0,3.0,4.0,10.0,6.0,2.0,5.0,11.0,12.0,14.0,8.0,18.0,16.0,32.0,13.0,15.0,50.0,21.0,22.0,39.0,20.0,29.0,33.0,9.0,23.0,7.0,59.0,17.0,66.0
1768,1.0,0.0,2.0,3.0,4.0,6.0,12.0,9.0,7.0,18.0,5.0,11.0,21.0,76.0,40.0,19.0,35.0,29.0,10.0,14.0,20.0,8.0,43.0,13.0,15.0,48.0,26.0,39.0,120.0,38.0
1817,0.0,1.0,4.0,7.0,6.0,2.0,5.0,9.0,14.0,3.0,8.0,13.0,15.0,18.0,19.0,24.0,12.0,30.0,16.0,21.0,20.0,41.0,22.0,54.0,11.0,48.0,33.0,23.0,29.0,38.0
1866,0.0,1.0,8.0,5.0,2.0,7.0,4.0,3.0,6.0,10.0,12.0,16.0,30.0,25.0,9.0,14.0,19.0,37.0,32.0,18.0,31.0,36.0,17.0,22.0,11.0,47.0,20.0,21.0,34.0,53.0
1915,1.0,0.0,2.0,5.0,4.0,7.0,6.0,12.0,8.0,3.0,22.0,13.0,9.0,15.0,28.0,11.0,16.0,29.0,18.0,10.0,25.0,23.0,17.0,27.0,34.0,19.0,14.0,32.0,42.0,75.0
1964,0.0,5.0,1.0,4.0,3.0,8.0,2.0,7.0,6.0,10.0,9.0,11.0,34.0,14.0,27.0,21.0,18.0,12.0,40.0,26.0,13.0,15.0,73.0,19.0,33.0,29.0,16.0,30.0,32.0,77.0
2013,0.0,1.0,4.0,7.0,5.0,3.0,6.0,10.0,2.0,8.0,17.0,9.0,22.0,14.0,108.0,33.0,45.0,16.0,18.0,11.0,37.0,40.0,32.0,15.0,50.0,24.0,26.0,13.0,52.0,39.0
2062,1.0,6.0,0.0,2.0,3.0,4.0,10.0,21.0,5.0,7.0,11.0,9.0,16.0,48.0,27.0,13.0,46.0,8.0,35.0,12.0,25.0,38.0,30.0,17.0,44.0,19.0,36.0,14.0,23.0,32.0
2111,0.0,9.0,3.0,4.0,2.0,5.0,7.0,20.0,1.0,6.0,15.0,11.0,12.0,23.0,87.0,16.0,14.0,8.0,13.0,24.0,21.0,26.0,62.0,29.0,54.0,17.0,22.0,19.0,52.0,27.0
2160,0.0,8.0,3.0,7.0,13.0,6.0,10.0,2.0,5.0,1.0,11.0,9.0,20.0,12.0,18.0,15.0,19.0,4.0,21.0,14.0,23.0,32.0,24.0,16.0,25.0,45.0,17.0,61.0,95.0,22.0
2209,0.0,1.0,5.0,7.0,10.0,8.0,2.0,12.0,4.0,3.0,6.0,9.0,25.0,13.0,19.0,20.0,15.0,11.0,22.0,16.0,21.0,35.0,72.0,32.0,113.0,33.0,18.0,28.0,23.0,40.0
2258,0.0,3.0,1.0,2.0,12.0,4.0,5.0,10.0,11.0,7.0,9.0,6.0,27.0,20.0,15.0,16.0,8.0,18.0,13.0,34.0,19.0,71.0,36.0,37.0,99.0,22.0,26.0,30.0,25.0,33.0
2307,0.0,2.0,3.0,4.0,8.0,5.0,1.0,13.0,9.0,7.0,11.0,6.0,24.0,10.0,20.0,12.0,16.0,25.0,21.0,17.0,14.0,34.0,49.0,41.0,70.0,36.0,18.0,23.0,59.0,39.0
2356,0.0,3.0,7.0,10.0,8.0,2.0,1.0,6.0,4.0,5.0,18.0,9.0,16.0,11.0,20.0,22.0,13.0,12.0,14.0,21.0,29.0,17.0,97.0,26.0,27.0,15.0,23.0,24.0,32.0,61.0
2405,0.0,2.0,1.0,3.0,12.0,5.0,4.0,10.0,7.0,6.0,8.0,9.0,15.0,37.0,35.0,17.0,13.0,14.0,22.0,31.0,28.0,11.0,23.0,26.0,25.0,27.0,24.0,19.0,20.0,16.0
2454,4.0,2.0,0.0,19.0,3.0,1.0,6.0,16.0,5.0,10.0,11.0,7.0,14.0,15.0,8.0,20.0,42.0,9.0,18.0,12.0,24.0,26.0,21.0,25.0,27.0,64.0,47.0,23.0,17.0,51.0
2503,3.0,4.0,1.0,2.0,5.0,0.0,13.0,9.0,6.0,7.0,11.0,16.0,10.0,28.0,20.0,18.0,21.0,8.0,14.0,31.0,32.0,12.0,38.0,73.0,39.0,29.0,86.0,26.0,19.0,24.0
2552,0.0,3.0,1.0,5.0,4.0,2.0,11.0,10.0,6.0,8.0,9.0,7.0,34.0,18.0,19.0,32.0,23.0,12.0,22.0,14.0,36.0,17.0,21.0,26.0,15.0,20.0,46.0,27.0,13.0,16.0
2601,3.0,0.0,2.0,1.0,8.0,4.0,21.0,5.0,6.0,15.0,22.0,10.0,18.0,30.0,13.0,14.0,7.0,17.0,23.0,9.0,20.0,12.0,16.0,27.0,40.0,19.0,42.0,86.0,24.0,26.0
2650,0.0,2.0,1.0,4.0,7.0,3.0,12.0,10.0,5.0,6.0,8.0,9.0,18.0,21.0,15.0,20.0,27.0,29.0,13.0,69.0,11.0,28.0,19.0,16.0,36.0,48.0,23.0,24.0,14.0,47.0
2699,0.0,1.0,4.0,3.0,8.0,6.0,10.0,2.0,5.0,12.0,7.0,9.0,18.0,11.0,17.0,13.0,25.0,14.0,31.0,26.0,27.0,67.0,16.0,20.0,30.0,19.0,32.0,15.0,22.0,24.0
2748,2.0,1.0,3.0,5.0,6.0,0.0,12.0,4.0,8.0,10.0,9.0,13.0,7.0,16.0,11.0,19.0,18.0,32.0,31.0,17.0,22.0,26.0,46.0,52.0,21.0,24.0,34.0,28.0,14.0,20.0
2797,1.0,3.0,0.0,2.0,4.0,5.0,14.0,9.0,7.0,8.0,13.0,16.0,6.0,29.0,12.0,19.0,17.0,20.0,22.0,26.0,10.0,11.0,21.0,15.0,48.0,23.0,68.0,34.0,38.0,25.0
2846,0.0,2.0,6.0,4.0,5.0,1.0,8.0,11.0,3.0,7.0,9.0,17.0,10.0,15.0,14.0,16.0,22.0,12.0,52.0,21.0,13.0,19.0,18.0,39.0,69.0,72.0,35.0,25.0,23.0,32.0
2895,0.0,2.0,1.0,5.0,3.0,4.0,7.0,8.0,6.0,13.0,9.0,14.0,12.0,35.0,39.0,45.0,23.0,20.0,47.0,31.0,17.0,21.0,38.0,24.0,27.0,25.0,26.0,19.0,30.0,15.0
2944,0.0,2.0,5.0,6.0,8.0,10.0,7.0,3.0,9.0,64.0,1.0,12.0,4.0,11.0,22.0,52.0,42.0,14.0,46.0,48.0,65.0,20.0,13.0,16.0,21.0,25.0,18.0,82.0,15.0,27.0
2993,1.0,3.0,0.0,4.0,5.0,7.0,10.0,2.0,14.0,11.0,6.0,13.0,17.0,16.0,8.0,12.0,29.0,79.0,38.0,25.0,78.0,23.0,49.0,18.0,15.0,92.0,21.0,45.0,22.0,20.0
3042,0.0,2.0,5.0,3.0,7.0,4.0,9.0,1.0,6.0,13.0,15.0,8.0,18.0,12.0,10.0,26.0,23.0,33.0,36.0,32.0,14.0,42.0,11.0,28.0,20.0,16.0,72.0,24.0,17.0,19.0
3091,1.0,2.0,3.0,5.0,4.0,7.0,20.0,0.0,10.0,16.0,8.0,14.0,9.0,15.0,6.0,11.0,21.0,23.0,43.0,12.0,37.0,49.0,25.0,68.0,61.0,17.0,127.0,30.0,13.0,19.0
3140,2.0,0.0,1.0,4.0,3.0,5.0,6.0,8.0,12.0,13.0,17.0,9.0,22.0,10.0,15.0,11.0,14.0,38.0,34.0,19.0,37.0,32.0,7.0,23.0,31.0,35.0,21.0,54.0,26.0,16.0
3189,2.0,1.0,0.0,5.0,4.0,9.0,7.0,3.0,12.0,16.0,10.0,17.0,8.0,27.0,11.0,29.0,67.0,63.0,18.0,32.0,25.0,22.0,14.0,23.0,15.0,21.0,47.0,20.0,43.0,19.0
3238,7.0,1.0,0.0,3.0,4.0,9.0,5.0,2.0,13.0,8.0,6.0,10.0,50.0,30.0,14.0,24.0,15.0,19.0,25.0,26.0,17.0,36.0,18.0,23.0,16.0,42.0,56.0,22.0,12.0,29.0
3287,6.0,3.0,0.0,1.0,4.0,5.0,17.0,2.0,8.0,11.0,7.0,15.0,16.0,27.0,24.0,25.0,14.0,28.0,13.0,20.0,38.0,44.0,10.0,12.0,22.0,18.0,47.0,36.0,23.0,29.0
3336,0.0,2.0,1.0,4.0,10.0,3.0,6.0,7.0,8.0,9.0,20.0,5.0,42.0,13.0,14.0,15.0,30.0,144.0,17.0,81.0,66.0,95.0,11.0,16.0,71.0,22.0,31.0,28.0,12.0,32.0
3385,0.0,3.0,1.0,4.0,6.0,5.0,9.0,2.0,10.0,15.0,11.0,18.0,25.0,8.0,14.0,7.0,29.0,17.0,23.0,19.0,16.0,22.0,39.0,12.0,27.0,26.0,20.0,91.0,13.0,32.0
3434,0.0,2.0,4.0,5.0,11.0,1.0,3.0,6.0,9.0,16.0,8.0,20.0,19.0,7.0,13.0,26.0,25.0,22.0,15.0,23.0,60.0,14.0,64.0,18.0,37.0,12.0,35.0,10.0,46.0,29.0
3483,0.0,7.0,3.0,6.0,4.0,8.0,9.0,1.0,5.0,15.0,2.0,16.0,13.0,12.0,10.0,26.0,65.0,22.0,19.0,24.0,20.0,25.0,23.0,21.0,71.0,32.0,42.0,56.0,27.0,34.0
3532,0.0,8.0,1.0,2.0,6.0,9.0,4.0,7.0,3.0,26.0,11.0,13.0,16.0,14.0,20.0,79.0,21.0,5.0,34.0,15.0,47.0,12.0,22.0,41.0,19.0,113.0,28.0,10.0,35.0,49.0
3581,0.0,2.0,1.0,4.0,7.0,6.0,20.0,5.0,3.0,9.0,11.0,21.0,13.0,17.0,8.0,15.0,29.0,23.0,12.0,10.0,22.0,14.0,89.0,48.0,28.0,63.0,64.0,19.0,50.0,27.0
3630,0.0,4.0,3.0,2.0,12.0,8.0,5.0,7.0,1.0,6.0,10.0,9.0,15.0,17.0,22.0,42.0,18.0,11.0,29.0,20.0,46.0,27.0,21.0,54.0,28.0,13.0,32.0,16.0,19.0,24.0
3679,0.0,1.0,2.0,4.0,5.0,10.0,9.0,6.0,3.0,7.0,11.0,17.0,18.0,13.0,8.0,15.0,48.0,14.0,20.0,12.0,22.0,47.0,49.0,24.0,19.0,111.0,105.0,16.0,118.0,23.0
3728,0.0,1.0,5.0,2.0,6.0,4.0,8.0,7.0,9.0,13.0,10.0,11.0,24.0,3.0,35.0,23.0,17.0,28.0,22.0,21.0,15.0,16.0,37.0,29.0,18.0,42.0,27.0,14.0,31.0,58.0
3777,0.0,1.0,4.0,3.0,2.0,5.0,6.0,8.0,7.0,21.0,12.0,10.0,16.0,32.0,9.0,40.0,19.0,27.0,36.0,30.0,15.0,35.0,67.0,20.0,17.0,63.0,41.0,18.0,33.0,14.0
3826,1.0,2.0,0.0,3.0,7.0,5.0,10.0,4.0,8.0,18.0,11.0,12.0,13.0,15.0,14.0,6.0,16.0,29.0,66.0,22.0,30.0,47.0,20.0,102.0,39.0,31.0,23.0,9.0,82.0,62.0
3875,0.0,1.0,3.0,5.0,4.0,2.0,9.0,6.0,12.0,7.0,34.0,17.0,10.0,13.0,14.0,24.0,19.0,28.0,20.0,59.0,11.0,21.0,22.0,101.0,41.0,25.0,8.0,18.0,58.0,77.0
3924,0.0,3.0,1.0,7.0,2.0,5.0,4.0,13.0,6.0,22.0,12.0,16.0,32.0,8.0,9.0,28.0,24.0,11.0,15.0,10.0,56.0,33.0,29.0,21.0,51.0,53.0,25.0,18.0,55.0,20.0
3973,0.0,4.0,3.0,2.0,8.0,5.0,1.0,11.0,13.0,16.0,21.0,10.0,14.0,6.0,7.0,9.0,23.0,37.0,12.0,15.0,45.0,93.0,20.0,29.0,22.0,32.0,24.0,36.0,31.0,40.0
4022,1.0,4.0,0.0,10.0,2.0,3.0,6.0,5.0,17.0,9.0,21.0,12.0,18.0,14.0,11.0,7.0,13.0,27.0,8.0,16.0,42.0,33.0,15.0,22.0,57.0,45.0,36.0,49.0,20.0,25.0
4071,0.0,2.0,1.0,4.0,10.0,5.0,3.0,12.0,16.0,6.0,30.0,7.0,13.0,9.0,24.0,11.0,15.0,101.0,8.0,17.0,45.0,26.0,19.0,111.0,35.0,23.0,18.0,52.0,41.0,75.0
4120,0.0,2.0,1.0,6.0,3.0,5.0,7.0,4.0,9.0,20.0,10.0,31.0,8.0,12.0,25.0,13.0,11.0,59.0,27.0,14.0,33.0,17.0,15.0,83.0,28.0,21.0,24.0,16.0,22.0,29.0
4169,0.0,1.0,3.0,2.0,5.0,4.0,6.0,8.0,10.0,14.0,15.0,13.0,19.0,7.0,34.0,12.0,9.0,35.0,17.0,11.0,57.0,27.0,37.0,21.0,28.0,36.0,16.0,24.0,25.0,49.0
4218,0.0,1.0,2.0,4.0,6.0,5.0,3.0,9.0,14.0,18.0,24.0,16.0,12.0,15.0,10.0,8.0,17.0,13.0,7.0,20.0,22.0,32.0,26.0,30.0,31.0,28.0,35.0,62.0,33.0,38.0
4267,1.0,3.0,0.0,6.0,9.0,2.0,4.0,5.0,16.0,8.0,17.0,10.0,33.0,19.0,13.0,24.0,15.0,18.0,7.0,11.0,23.0,28.0,14.0,120.0,22.0,27.0,46.0,31.0,21.0,26.0
4316,0.0,1.0,5.0,18.0,3.0,4.0,2.0,10.0,16.0,9.0,11.0,13.0,12.0,7.0,28.0,6.0,8.0,31.0,17.0,44.0,49.0,14.0,85.0,142.0,19.0,40.0,24.0,15.0,39.0,34.0
4365,3.0,4.0,1.0,6.0,0.0,5.0,7.0,2.0,11.0,9.0,20.0,14.0,13.0,8.0,23.0,15.0,12.0,19.0,25.0,38.0,83.0,16.0,22.0,58.0,24.0,18.0,17.0,35.0,72.0,28.0
4414,0.0,1.0,2.0,3.0,9.0,5.0,8.0,6.0,7.0,4.0,24.0,11.0,13.0,14.0,105.0,20.0,12.0,76.0,10.0,70.0,15.0,116.0,79.0,102.0,21.0,22.0,80.0,29.0,37.0,28.0
4463,0.0,1.0,3.0,4.0,9.0,5.0,2.0,8.0,12.0,7.0,22.0,13.0,11.0,6.0,16.0,15.0,18.0,40.0,10.0,47.0,14.0,53.0,20.0,19.0,146.0,21.0,28.0,38.0,31.0,35.0
4512,2.0,0.0,1.0,9.0,5.0,7.0,4.0,6.0,3.0,8.0,10.0,28.0,15.0,34.0,25.0,12.0,17.0,62.0,29.0,11.0,22.0,112.0,50.0,31.0,18.0,14.0,98.0,16.0,21.0,70.0
4561,5.0,1.0,0.0,10.0,7.0,3.0,9.0,4.0,2.0,6.0,18.0,13.0,8.0,20.0,17.0,14.0,21.0,42.0,11.0,32.0,19.0,74.0,15.0,35.0,16.0,22.0,26.0,30.0,12.0,40.0
4610,0.0,5.0,1.0,3.0,2.0,8.0,7.0,10.0,6.0,9.0,15.0,4.0,13.0,17.0,23.0,12.0,11.0,62.0,14.0,107.0,18.0,78.0,27.0,24.0,20.0,16.0,40.0,131.0,70.0,80.0
4659,0.0,1.0,2.0,8.0,7.0,10.0,3.0,6.0,5.0,4.0,14.0,16.0,19.0,9.0,18.0,11.0,25.0,15.0,23.0,48.0,13.0,39.0,12.0,61.0,20.0,22.0,42.0,54.0,34.0,31.0
4708,1.0,0.0,4.0,6.0,8.0,12.0,3.0,2.0,5.0,9.0,20.0,28.0,11.0,21.0,7.0,13.0,60.0,19.0,15.0,56.0,26.0,23.0,16.0,58.0,29.0,17.0,106.0,34.0,30.0,38.0
4757,0.0,4.0,3.0,7.0,2.0,11.0,5.0,6.0,9.0,1.0,12.0,22.0,8.0,38.0,10.0,13.0,20.0,27.0,23.0,17.0,15.0,19.0,47.0,36.0,40.0,14.0,68.0,25.0,18.0,44.0
4806,1.0,0.0,3.0,5.0,11.0,6.0,4.0,10.0,2.0,9.0,45.0,13.0,16.0,18.0,8.0,12.0,21.0,19.0,14.0,23.0,33.0,66.0,56.0,36.0,26.0,28.0,49.0,20.0,22.0,17.0
4855,0.0,1.0,2.0,8.0,6.0,9.0,3.0,7.0,5.0,4.0,11.0,13.0,14.0,17.0,12.0,20.0,22.0,41.0,19.0,67.0,16.0,99.0,88.0,18.0,10.0,21.0,115.0,60.0,51.0,36.0
