,hsa-miR-34a,hsa-miR-222,hsa-miR-582-5p,hsa-miR-135b,hsa-miR-223,hsa-miR-10a,hsa-miR-483-3p,hsa-miR-1307,hsa-miR-877,hsa-miR-770-5p,hsa-miR-1252,hsa-miR-219-2-3p,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hsa-miR-31,hsa-miR-628-5p,hsa-miR-1276,hsa-miR-302f,hsa-miR-1256,hsa-miR-215,hsa-miR-581,hsa-miR-204,hsa-miR-574-5p,hsa-miR-92a,hsa-miR-192,hsa-miR-616,hsa-miR-492,hsa-miR-1197,ebv-miR-BART20-5p,hsv1-miR-H4-3p,hsa-miR-132
556,0.0,1.0,2.0,6.0,3.0,5.0,8.0,4.0,12.0,25.0,15.0,14.0,18.0,7.0,50.0,16.0,9.0,27.0,47.0,30.0,32.0,22.0,37.0,99.0,17.0,101.0,23.0,71.0,55.0,11.0
605,0.0,1.0,2.0,6.0,3.0,9.0,13.0,10.0,17.0,7.0,16.0,14.0,12.0,48.0,11.0,5.0,4.0,8.0,34.0,23.0,47.0,31.0,44.0,112.0,60.0,77.0,83.0,201.0,56.0,24.0
654,0.0,1.0,2.0,6.0,3.0,5.0,4.0,7.0,9.0,10.0,12.0,19.0,13.0,33.0,38.0,18.0,8.0,15.0,22.0,11.0,56.0,21.0,24.0,49.0,51.0,50.0,59.0,85.0,75.0,53.0
703,0.0,1.0,2.0,6.0,3.0,5.0,4.0,7.0,12.0,15.0,24.0,32.0,11.0,28.0,14.0,19.0,16.0,10.0,29.0,25.0,13.0,8.0,33.0,396.0,21.0,36.0,38.0,65.0,68.0,41.0
752,1.0,0.0,2.0,10.0,3.0,4.0,8.0,6.0,13.0,26.0,5.0,24.0,12.0,38.0,37.0,9.0,7.0,22.0,20.0,63.0,16.0,15.0,33.0,93.0,19.0,86.0,32.0,39.0,21.0,46.0
801,1.0,0.0,2.0,5.0,4.0,28.0,13.0,3.0,16.0,10.0,6.0,15.0,8.0,30.0,18.0,11.0,9.0,7.0,17.0,31.0,35.0,21.0,19.0,59.0,48.0,63.0,39.0,50.0,75.0,20.0
850,1.0,0.0,2.0,4.0,5.0,8.0,3.0,7.0,19.0,16.0,11.0,14.0,6.0,12.0,9.0,15.0,26.0,25.0,28.0,13.0,41.0,24.0,17.0,373.0,29.0,59.0,108.0,82.0,66.0,48.0
899,1.0,0.0,2.0,8.0,3.0,4.0,7.0,5.0,6.0,10.0,12.0,30.0,14.0,68.0,21.0,18.0,9.0,15.0,16.0,25.0,43.0,11.0,23.0,97.0,17.0,78.0,49.0,85.0,38.0,13.0
948,1.0,0.0,3.0,2.0,6.0,4.0,9.0,5.0,11.0,8.0,12.0,38.0,16.0,19.0,20.0,7.0,10.0,31.0,29.0,25.0,71.0,28.0,30.0,105.0,26.0,130.0,50.0,49.0,37.0,18.0
997,0.0,1.0,3.0,2.0,4.0,11.0,5.0,14.0,7.0,10.0,8.0,26.0,57.0,30.0,6.0,24.0,66.0,75.0,58.0,21.0,34.0,13.0,15.0,20.0,27.0,19.0,18.0,22.0,32.0,33.0
1046,0.0,1.0,4.0,2.0,5.0,6.0,3.0,16.0,9.0,8.0,10.0,21.0,14.0,11.0,7.0,52.0,15.0,40.0,53.0,55.0,49.0,30.0,25.0,33.0,22.0,23.0,12.0,18.0,20.0,60.0
1095,0.0,1.0,2.0,3.0,9.0,4.0,8.0,6.0,10.0,16.0,7.0,15.0,20.0,11.0,14.0,13.0,25.0,65.0,52.0,17.0,26.0,32.0,28.0,67.0,21.0,12.0,47.0,19.0,27.0,24.0
1144,0.0,1.0,2.0,3.0,5.0,8.0,4.0,7.0,6.0,30.0,11.0,20.0,19.0,13.0,10.0,45.0,23.0,32.0,47.0,26.0,15.0,17.0,39.0,63.0,18.0,16.0,25.0,50.0,9.0,14.0
1193,0.0,1.0,4.0,2.0,5.0,6.0,3.0,12.0,8.0,10.0,15.0,26.0,23.0,20.0,11.0,44.0,30.0,14.0,57.0,88.0,32.0,27.0,13.0,46.0,33.0,19.0,9.0,93.0,36.0,17.0
1242,0.0,1.0,5.0,2.0,4.0,6.0,3.0,8.0,23.0,7.0,9.0,21.0,16.0,11.0,25.0,14.0,26.0,27.0,40.0,43.0,15.0,22.0,35.0,44.0,12.0,20.0,10.0,52.0,24.0,32.0
1291,1.0,0.0,3.0,2.0,4.0,6.0,10.0,5.0,12.0,57.0,8.0,7.0,11.0,14.0,49.0,58.0,19.0,24.0,47.0,23.0,9.0,13.0,15.0,41.0,29.0,30.0,26.0,31.0,46.0,39.0
1340,0.0,1.0,2.0,4.0,5.0,7.0,3.0,14.0,16.0,11.0,26.0,17.0,50.0,9.0,6.0,31.0,43.0,27.0,32.0,100.0,37.0,35.0,13.0,20.0,12.0,18.0,19.0,15.0,29.0,30.0
1389,0.0,1.0,3.0,2.0,4.0,8.0,5.0,7.0,6.0,9.0,22.0,23.0,18.0,16.0,12.0,15.0,10.0,59.0,32.0,21.0,31.0,27.0,40.0,42.0,20.0,33.0,17.0,55.0,14.0,38.0
1438,0.0,1.0,3.0,2.0,4.0,7.0,5.0,6.0,8.0,11.0,44.0,14.0,16.0,19.0,10.0,15.0,13.0,34.0,49.0,37.0,9.0,43.0,71.0,413.0,26.0,25.0,18.0,72.0,36.0,21.0
1487,1.0,0.0,2.0,8.0,12.0,3.0,5.0,13.0,4.0,16.0,10.0,7.0,15.0,6.0,25.0,18.0,21.0,23.0,27.0,17.0,58.0,110.0,90.0,398.0,35.0,20.0,34.0,9.0,19.0,75.0
1536,1.0,0.0,4.0,17.0,3.0,2.0,8.0,11.0,7.0,30.0,20.0,12.0,15.0,6.0,29.0,9.0,31.0,22.0,26.0,62.0,54.0,49.0,100.0,53.0,21.0,23.0,16.0,13.0,18.0,92.0
1585,0.0,1.0,2.0,5.0,10.0,6.0,3.0,4.0,7.0,8.0,82.0,11.0,29.0,9.0,28.0,17.0,23.0,18.0,24.0,12.0,112.0,176.0,101.0,85.0,26.0,22.0,34.0,33.0,20.0,92.0
1634,0.0,1.0,3.0,4.0,2.0,6.0,5.0,15.0,12.0,7.0,14.0,13.0,22.0,16.0,31.0,29.0,19.0,24.0,20.0,30.0,23.0,68.0,71.0,34.0,27.0,32.0,8.0,28.0,25.0,293.0
1683,0.0,1.0,2.0,6.0,9.0,4.0,5.0,3.0,14.0,16.0,24.0,11.0,29.0,10.0,18.0,13.0,23.0,21.0,8.0,30.0,34.0,64.0,43.0,40.0,7.0,20.0,12.0,22.0,17.0,113.0
1732,0.0,1.0,2.0,24.0,4.0,5.0,7.0,3.0,6.0,26.0,29.0,8.0,12.0,15.0,18.0,31.0,56.0,13.0,28.0,30.0,35.0,79.0,46.0,82.0,16.0,22.0,11.0,45.0,19.0,123.0
1781,0.0,1.0,2.0,4.0,3.0,7.0,5.0,6.0,9.0,10.0,16.0,8.0,27.0,15.0,29.0,11.0,20.0,24.0,23.0,14.0,26.0,73.0,70.0,58.0,17.0,12.0,30.0,31.0,13.0,117.0
1830,1.0,0.0,3.0,7.0,5.0,2.0,8.0,4.0,13.0,9.0,23.0,17.0,6.0,15.0,30.0,10.0,27.0,34.0,22.0,39.0,31.0,24.0,87.0,26.0,33.0,12.0,40.0,29.0,18.0,49.0
1879,0.0,1.0,2.0,4.0,3.0,6.0,5.0,9.0,7.0,8.0,16.0,18.0,21.0,15.0,62.0,28.0,29.0,10.0,25.0,34.0,37.0,45.0,38.0,46.0,65.0,13.0,17.0,20.0,31.0,106.0
1928,0.0,1.0,3.0,6.0,2.0,7.0,9.0,8.0,5.0,11.0,31.0,10.0,17.0,15.0,20.0,33.0,27.0,12.0,79.0,19.0,18.0,51.0,80.0,409.0,22.0,24.0,73.0,4.0,40.0,50.0
1977,1.0,0.0,3.0,2.0,4.0,6.0,5.0,102.0,9.0,24.0,7.0,30.0,10.0,37.0,32.0,50.0,16.0,19.0,52.0,12.0,13.0,17.0,39.0,8.0,44.0,27.0,33.0,34.0,28.0,40.0
2026,0.0,1.0,2.0,4.0,3.0,8.0,5.0,6.0,11.0,21.0,15.0,41.0,17.0,26.0,18.0,23.0,16.0,12.0,39.0,29.0,19.0,24.0,31.0,13.0,69.0,14.0,56.0,48.0,32.0,10.0
2075,1.0,0.0,3.0,2.0,4.0,5.0,27.0,42.0,17.0,95.0,13.0,35.0,6.0,10.0,34.0,7.0,15.0,31.0,37.0,29.0,18.0,80.0,83.0,8.0,285.0,32.0,392.0,59.0,90.0,12.0
2124,0.0,1.0,2.0,3.0,4.0,13.0,12.0,52.0,5.0,23.0,10.0,28.0,18.0,11.0,31.0,41.0,9.0,6.0,27.0,56.0,15.0,92.0,45.0,14.0,275.0,20.0,53.0,22.0,55.0,19.0
2173,1.0,0.0,2.0,3.0,4.0,20.0,7.0,22.0,16.0,33.0,8.0,14.0,12.0,19.0,71.0,9.0,15.0,5.0,52.0,27.0,11.0,35.0,36.0,10.0,57.0,23.0,24.0,26.0,13.0,18.0
2222,0.0,1.0,2.0,3.0,4.0,9.0,5.0,18.0,7.0,13.0,22.0,21.0,19.0,27.0,33.0,17.0,10.0,12.0,34.0,16.0,8.0,14.0,25.0,20.0,68.0,11.0,94.0,52.0,28.0,26.0
2271,0.0,1.0,2.0,4.0,3.0,7.0,6.0,13.0,8.0,18.0,9.0,30.0,22.0,10.0,47.0,23.0,14.0,12.0,41.0,28.0,29.0,32.0,34.0,5.0,54.0,19.0,44.0,43.0,31.0,20.0
2320,0.0,1.0,3.0,2.0,4.0,23.0,5.0,20.0,42.0,32.0,9.0,18.0,15.0,14.0,50.0,31.0,10.0,8.0,26.0,19.0,7.0,43.0,17.0,11.0,40.0,13.0,82.0,22.0,46.0,6.0
2369,1.0,0.0,3.0,2.0,4.0,6.0,7.0,19.0,5.0,18.0,30.0,27.0,13.0,37.0,46.0,22.0,8.0,14.0,63.0,35.0,10.0,39.0,15.0,20.0,43.0,29.0,26.0,12.0,41.0,17.0
2418,0.0,1.0,2.0,3.0,4.0,5.0,8.0,16.0,22.0,15.0,10.0,40.0,14.0,27.0,30.0,6.0,7.0,67.0,23.0,9.0,20.0,33.0,54.0,13.0,32.0,31.0,73.0,35.0,50.0,17.0
2467,1.0,0.0,2.0,11.0,4.0,3.0,21.0,13.0,15.0,5.0,6.0,17.0,10.0,36.0,7.0,12.0,9.0,18.0,8.0,34.0,23.0,20.0,38.0,39.0,69.0,29.0,485.0,25.0,63.0,16.0
2516,0.0,1.0,2.0,5.0,3.0,4.0,18.0,16.0,19.0,11.0,20.0,7.0,24.0,22.0,15.0,6.0,33.0,23.0,10.0,21.0,25.0,26.0,14.0,81.0,29.0,93.0,42.0,61.0,232.0,48.0
2565,0.0,1.0,2.0,8.0,3.0,4.0,24.0,18.0,16.0,6.0,23.0,12.0,31.0,28.0,5.0,11.0,14.0,7.0,21.0,26.0,25.0,49.0,40.0,22.0,87.0,45.0,392.0,13.0,63.0,27.0
2614,1.0,0.0,2.0,30.0,5.0,6.0,21.0,15.0,3.0,10.0,35.0,11.0,8.0,12.0,4.0,7.0,38.0,32.0,17.0,23.0,16.0,9.0,22.0,20.0,49.0,37.0,502.0,47.0,56.0,13.0
2663,0.0,1.0,2.0,13.0,6.0,4.0,32.0,10.0,7.0,11.0,17.0,15.0,25.0,69.0,3.0,5.0,20.0,14.0,22.0,19.0,34.0,38.0,9.0,54.0,43.0,48.0,78.0,28.0,96.0,26.0
2712,0.0,1.0,2.0,7.0,4.0,9.0,23.0,31.0,3.0,14.0,22.0,12.0,17.0,20.0,11.0,10.0,8.0,21.0,6.0,37.0,16.0,39.0,28.0,91.0,35.0,36.0,455.0,13.0,230.0,33.0
2761,1.0,0.0,2.0,29.0,4.0,3.0,22.0,16.0,6.0,39.0,18.0,7.0,11.0,5.0,25.0,9.0,13.0,19.0,12.0,38.0,35.0,30.0,21.0,57.0,33.0,54.0,392.0,24.0,52.0,23.0
2810,0.0,1.0,2.0,7.0,4.0,3.0,16.0,12.0,5.0,9.0,10.0,13.0,15.0,18.0,6.0,8.0,11.0,19.0,23.0,53.0,61.0,42.0,21.0,20.0,50.0,59.0,22.0,33.0,237.0,14.0
2859,1.0,0.0,2.0,4.0,3.0,6.0,23.0,9.0,7.0,5.0,13.0,12.0,31.0,8.0,30.0,14.0,69.0,16.0,29.0,37.0,20.0,22.0,10.0,47.0,64.0,32.0,85.0,36.0,67.0,11.0
2908,1.0,0.0,2.0,12.0,3.0,4.0,14.0,5.0,7.0,9.0,20.0,39.0,34.0,15.0,11.0,6.0,13.0,51.0,24.0,41.0,22.0,8.0,19.0,102.0,23.0,44.0,101.0,43.0,80.0,36.0
2957,0.0,1.0,2.0,4.0,5.0,7.0,3.0,6.0,15.0,10.0,31.0,12.0,13.0,14.0,16.0,18.0,11.0,8.0,21.0,62.0,71.0,38.0,25.0,27.0,99.0,49.0,23.0,50.0,37.0,22.0
3006,1.0,0.0,4.0,2.0,6.0,15.0,7.0,12.0,9.0,20.0,28.0,10.0,8.0,21.0,54.0,17.0,48.0,3.0,18.0,61.0,13.0,24.0,23.0,27.0,38.0,52.0,33.0,22.0,25.0,45.0
3055,1.0,0.0,2.0,4.0,7.0,5.0,6.0,30.0,10.0,22.0,64.0,12.0,14.0,9.0,17.0,21.0,18.0,3.0,15.0,28.0,40.0,96.0,33.0,31.0,278.0,47.0,19.0,61.0,37.0,34.0
3104,1.0,0.0,2.0,3.0,7.0,9.0,5.0,6.0,10.0,8.0,22.0,28.0,15.0,60.0,45.0,19.0,20.0,4.0,17.0,78.0,38.0,43.0,54.0,11.0,35.0,29.0,14.0,34.0,44.0,25.0
3153,1.0,0.0,3.0,2.0,9.0,10.0,4.0,5.0,13.0,6.0,15.0,14.0,12.0,17.0,20.0,29.0,18.0,7.0,19.0,91.0,26.0,24.0,55.0,58.0,52.0,69.0,31.0,40.0,33.0,28.0
3202,1.0,0.0,3.0,4.0,10.0,11.0,9.0,15.0,31.0,7.0,30.0,18.0,5.0,19.0,21.0,12.0,8.0,6.0,20.0,50.0,27.0,13.0,60.0,2.0,67.0,39.0,64.0,38.0,68.0,22.0
3251,1.0,0.0,2.0,3.0,5.0,49.0,6.0,8.0,15.0,19.0,14.0,23.0,7.0,10.0,29.0,11.0,34.0,9.0,22.0,43.0,47.0,25.0,16.0,4.0,77.0,38.0,31.0,20.0,41.0,13.0
3300,1.0,0.0,2.0,5.0,3.0,9.0,4.0,15.0,6.0,12.0,44.0,17.0,7.0,29.0,19.0,14.0,16.0,8.0,26.0,37.0,13.0,20.0,52.0,24.0,31.0,21.0,10.0,36.0,11.0,42.0
3349,0.0,1.0,4.0,2.0,12.0,23.0,3.0,19.0,38.0,32.0,35.0,5.0,7.0,8.0,21.0,6.0,11.0,20.0,14.0,16.0,40.0,22.0,17.0,66.0,77.0,75.0,26.0,102.0,36.0,18.0
3398,0.0,1.0,2.0,3.0,6.0,16.0,10.0,5.0,26.0,4.0,24.0,12.0,15.0,9.0,20.0,27.0,48.0,13.0,22.0,43.0,8.0,36.0,49.0,76.0,68.0,45.0,21.0,98.0,32.0,11.0
3447,1.0,0.0,2.0,10.0,5.0,8.0,4.0,3.0,7.0,22.0,6.0,14.0,31.0,24.0,28.0,45.0,9.0,21.0,11.0,19.0,42.0,23.0,17.0,66.0,20.0,26.0,36.0,69.0,35.0,13.0
3496,1.0,0.0,2.0,7.0,11.0,3.0,6.0,9.0,5.0,13.0,8.0,25.0,20.0,49.0,10.0,46.0,15.0,28.0,31.0,18.0,36.0,39.0,23.0,55.0,35.0,12.0,38.0,19.0,14.0,16.0
3545,0.0,1.0,2.0,13.0,8.0,10.0,3.0,5.0,4.0,11.0,7.0,26.0,37.0,77.0,9.0,40.0,6.0,23.0,15.0,16.0,25.0,31.0,18.0,33.0,29.0,21.0,70.0,32.0,50.0,24.0
3594,0.0,1.0,2.0,5.0,7.0,11.0,8.0,6.0,3.0,13.0,19.0,14.0,9.0,32.0,4.0,24.0,12.0,16.0,18.0,27.0,20.0,21.0,10.0,29.0,51.0,15.0,52.0,43.0,34.0,108.0
3643,1.0,0.0,2.0,6.0,8.0,4.0,5.0,3.0,9.0,33.0,10.0,29.0,11.0,36.0,7.0,38.0,20.0,19.0,21.0,13.0,28.0,22.0,14.0,43.0,25.0,41.0,26.0,53.0,59.0,102.0
3692,0.0,1.0,2.0,4.0,19.0,11.0,7.0,5.0,3.0,12.0,9.0,18.0,37.0,33.0,6.0,26.0,31.0,17.0,16.0,15.0,35.0,27.0,13.0,10.0,14.0,23.0,76.0,8.0,86.0,43.0
3741,1.0,0.0,2.0,4.0,3.0,8.0,22.0,7.0,5.0,14.0,6.0,19.0,15.0,27.0,12.0,16.0,20.0,24.0,9.0,13.0,30.0,36.0,53.0,48.0,23.0,60.0,11.0,17.0,66.0,42.0
3790,0.0,1.0,2.0,9.0,6.0,4.0,5.0,7.0,3.0,14.0,12.0,23.0,24.0,86.0,15.0,62.0,10.0,34.0,26.0,11.0,21.0,22.0,17.0,43.0,16.0,30.0,39.0,19.0,103.0,53.0
3839,0.0,1.0,2.0,3.0,4.0,5.0,9.0,14.0,6.0,10.0,7.0,56.0,13.0,15.0,8.0,29.0,12.0,35.0,50.0,71.0,32.0,62.0,33.0,22.0,34.0,52.0,89.0,31.0,24.0,23.0
3888,1.0,0.0,2.0,3.0,4.0,12.0,32.0,22.0,5.0,18.0,6.0,9.0,10.0,56.0,21.0,39.0,7.0,45.0,24.0,15.0,16.0,26.0,17.0,30.0,11.0,23.0,394.0,14.0,85.0,31.0
3937,1.0,0.0,2.0,10.0,3.0,4.0,24.0,8.0,5.0,6.0,7.0,29.0,18.0,55.0,11.0,9.0,14.0,31.0,25.0,17.0,20.0,70.0,102.0,28.0,12.0,26.0,46.0,79.0,90.0,84.0
3986,0.0,1.0,2.0,7.0,3.0,12.0,19.0,11.0,5.0,10.0,9.0,25.0,18.0,24.0,15.0,13.0,6.0,44.0,89.0,26.0,4.0,70.0,57.0,49.0,33.0,36.0,80.0,14.0,42.0,85.0
4035,0.0,1.0,2.0,3.0,5.0,4.0,13.0,6.0,8.0,7.0,14.0,28.0,15.0,68.0,16.0,10.0,19.0,44.0,26.0,9.0,18.0,33.0,87.0,37.0,85.0,11.0,97.0,34.0,59.0,53.0
4084,1.0,0.0,2.0,16.0,4.0,3.0,13.0,9.0,5.0,6.0,17.0,11.0,14.0,55.0,7.0,23.0,31.0,27.0,33.0,8.0,12.0,29.0,79.0,19.0,24.0,10.0,50.0,20.0,35.0,111.0
4133,0.0,1.0,3.0,5.0,2.0,4.0,8.0,7.0,6.0,10.0,36.0,22.0,12.0,14.0,9.0,42.0,16.0,15.0,39.0,13.0,19.0,53.0,41.0,25.0,20.0,43.0,27.0,72.0,11.0,54.0
4182,1.0,0.0,5.0,3.0,12.0,4.0,15.0,9.0,2.0,20.0,16.0,13.0,29.0,8.0,7.0,6.0,38.0,51.0,34.0,18.0,21.0,65.0,220.0,37.0,61.0,32.0,27.0,86.0,54.0,60.0
4231,1.0,0.0,5.0,18.0,2.0,6.0,10.0,4.0,3.0,12.0,14.0,24.0,16.0,56.0,11.0,8.0,7.0,35.0,13.0,20.0,17.0,42.0,80.0,68.0,43.0,46.0,9.0,22.0,36.0,106.0
4280,1.0,0.0,3.0,12.0,2.0,8.0,6.0,7.0,11.0,29.0,4.0,5.0,9.0,21.0,45.0,18.0,14.0,20.0,19.0,24.0,40.0,88.0,66.0,25.0,16.0,64.0,35.0,55.0,26.0,59.0
4329,0.0,1.0,2.0,7.0,5.0,6.0,10.0,12.0,4.0,8.0,26.0,11.0,39.0,30.0,3.0,16.0,35.0,36.0,20.0,19.0,9.0,72.0,77.0,17.0,59.0,23.0,89.0,51.0,15.0,83.0
4378,0.0,1.0,2.0,4.0,3.0,10.0,11.0,8.0,5.0,7.0,13.0,16.0,23.0,26.0,14.0,47.0,25.0,41.0,19.0,12.0,6.0,39.0,95.0,35.0,43.0,17.0,38.0,60.0,18.0,96.0
4427,0.0,1.0,3.0,6.0,2.0,9.0,4.0,41.0,19.0,50.0,12.0,10.0,21.0,8.0,24.0,30.0,13.0,7.0,18.0,98.0,27.0,22.0,26.0,16.0,66.0,44.0,29.0,47.0,28.0,45.0
4476,0.0,1.0,4.0,3.0,2.0,10.0,21.0,31.0,6.0,54.0,25.0,14.0,26.0,11.0,18.0,12.0,47.0,20.0,9.0,30.0,66.0,40.0,67.0,24.0,44.0,37.0,8.0,107.0,38.0,103.0
4525,0.0,1.0,4.0,2.0,3.0,10.0,5.0,7.0,11.0,307.0,12.0,15.0,29.0,19.0,99.0,16.0,23.0,17.0,14.0,90.0,31.0,64.0,40.0,24.0,9.0,32.0,22.0,97.0,44.0,28.0
4574,0.0,1.0,2.0,7.0,3.0,9.0,4.0,44.0,10.0,48.0,19.0,23.0,33.0,18.0,32.0,5.0,15.0,6.0,8.0,51.0,26.0,16.0,38.0,11.0,40.0,67.0,13.0,81.0,35.0,113.0
4623,0.0,1.0,8.0,2.0,6.0,4.0,7.0,30.0,13.0,38.0,24.0,11.0,33.0,18.0,59.0,9.0,25.0,5.0,27.0,72.0,28.0,35.0,20.0,23.0,12.0,55.0,42.0,40.0,46.0,52.0
4672,0.0,1.0,2.0,3.0,4.0,8.0,6.0,47.0,85.0,37.0,16.0,20.0,28.0,15.0,25.0,24.0,14.0,26.0,27.0,55.0,41.0,42.0,11.0,5.0,60.0,35.0,49.0,40.0,33.0,43.0
4721,0.0,1.0,2.0,5.0,7.0,3.0,4.0,8.0,10.0,31.0,47.0,9.0,16.0,17.0,21.0,20.0,13.0,6.0,18.0,54.0,26.0,24.0,25.0,33.0,40.0,29.0,49.0,92.0,14.0,67.0
4770,0.0,1.0,6.0,7.0,2.0,5.0,4.0,28.0,20.0,53.0,34.0,13.0,18.0,15.0,10.0,41.0,11.0,8.0,14.0,59.0,50.0,42.0,9.0,16.0,36.0,79.0,17.0,77.0,12.0,85.0
4819,0.0,1.0,8.0,20.0,3.0,2.0,4.0,9.0,6.0,61.0,24.0,13.0,30.0,5.0,15.0,32.0,27.0,16.0,37.0,26.0,41.0,31.0,14.0,17.0,70.0,33.0,12.0,39.0,25.0,48.0
4868,1.0,0.0,6.0,13.0,2.0,4.0,8.0,18.0,5.0,38.0,35.0,15.0,23.0,16.0,49.0,10.0,22.0,7.0,14.0,74.0,54.0,11.0,26.0,9.0,21.0,471.0,12.0,82.0,65.0,382.0
