,hsa-miR-142-5p,hsa-let-7e,hsa-miR-425,hsa-miR-223,hsa-miR-218,hsa-miR-147b,hsa-miR-1307,hsa-miR-106b,hsa-miR-642,hsa-miR-151-3p,hsa-miR-155,hsa-miR-24,hsa-miR-1977,hsa-miR-297,hsa-miR-578,hsa-miR-15b,hcmv-miR-US33-3p,hsa-miR-744,hsa-miR-630,hsa-miR-944,hsa-miR-101,hsa-miR-1248,hsa-miR-206,hsa-miR-320d,hsa-miR-769-5p,hsa-miR-133b,hsa-miR-379,hsv1-miR-H1,hsa-miR-599,hsa-miR-1245
2811,0.0,4.0,91.0,2.0,178.0,43.0,19.0,64.0,36.0,8.0,3.0,126.0,135.0,99.0,6.0,46.0,87.0,82.0,67.0,268.0,25.0,176.0,116.0,9.0,382.0,112.0,137.0,5.0,12.0,40.0
2860,0.0,1.0,124.0,2.0,18.0,10.0,275.0,32.0,29.0,5.0,4.0,53.0,45.0,12.0,31.0,7.0,291.0,21.0,196.0,224.0,190.0,13.0,197.0,20.0,155.0,85.0,30.0,265.0,3.0,11.0
2909,0.0,1.0,8.0,7.0,21.0,90.0,120.0,228.0,2.0,10.0,14.0,9.0,174.0,6.0,25.0,397.0,447.0,594.0,41.0,58.0,38.0,71.0,59.0,3.0,112.0,267.0,378.0,483.0,13.0,129.0
2958,0.0,1.0,4.0,5.0,9.0,17.0,14.0,3.0,86.0,27.0,67.0,6.0,184.0,138.0,155.0,129.0,210.0,41.0,544.0,11.0,65.0,355.0,203.0,25.0,73.0,153.0,131.0,312.0,44.0,58.0
3007,1.0,0.0,4.0,2.0,7.0,12.0,52.0,65.0,3.0,127.0,87.0,51.0,17.0,19.0,6.0,18.0,621.0,60.0,25.0,259.0,73.0,69.0,9.0,20.0,74.0,61.0,31.0,15.0,124.0,242.0
3056,0.0,1.0,13.0,9.0,57.0,12.0,29.0,6.0,242.0,2.0,42.0,36.0,51.0,466.0,77.0,43.0,236.0,119.0,26.0,25.0,5.0,67.0,11.0,237.0,114.0,60.0,40.0,153.0,37.0,90.0
3105,1.0,2.0,105.0,0.0,22.0,8.0,19.0,4.0,5.0,34.0,6.0,26.0,99.0,24.0,100.0,69.0,167.0,3.0,9.0,61.0,356.0,7.0,212.0,141.0,192.0,122.0,86.0,92.0,15.0,181.0
3154,0.0,1.0,35.0,6.0,83.0,34.0,19.0,39.0,59.0,11.0,22.0,119.0,142.0,30.0,14.0,57.0,43.0,53.0,191.0,2.0,366.0,26.0,252.0,5.0,9.0,75.0,132.0,17.0,161.0,588.0
3203,0.0,1.0,7.0,3.0,28.0,413.0,19.0,64.0,11.0,16.0,5.0,25.0,84.0,9.0,47.0,302.0,340.0,14.0,35.0,6.0,20.0,8.0,78.0,45.0,13.0,159.0,112.0,99.0,2.0,437.0
3252,0.0,1.0,76.0,2.0,35.0,11.0,3.0,13.0,195.0,38.0,16.0,5.0,45.0,215.0,303.0,155.0,373.0,201.0,56.0,7.0,49.0,111.0,68.0,50.0,8.0,70.0,6.0,101.0,19.0,297.0
3301,1.0,2.0,36.0,0.0,9.0,6.0,12.0,10.0,23.0,7.0,4.0,19.0,104.0,189.0,22.0,34.0,171.0,60.0,18.0,8.0,20.0,92.0,360.0,133.0,37.0,86.0,44.0,99.0,136.0,576.0
3350,0.0,2.0,5.0,1.0,3.0,24.0,9.0,41.0,105.0,33.0,19.0,40.0,39.0,10.0,209.0,4.0,190.0,8.0,27.0,15.0,14.0,115.0,23.0,21.0,107.0,194.0,49.0,216.0,98.0,210.0
3399,0.0,14.0,48.0,1.0,189.0,2.0,8.0,7.0,24.0,23.0,9.0,82.0,6.0,29.0,149.0,5.0,358.0,36.0,90.0,83.0,37.0,72.0,21.0,45.0,28.0,4.0,41.0,52.0,334.0,136.0
3448,1.0,0.0,19.0,15.0,2.0,58.0,14.0,35.0,27.0,42.0,76.0,52.0,13.0,4.0,99.0,40.0,60.0,231.0,3.0,33.0,292.0,74.0,9.0,59.0,75.0,87.0,144.0,63.0,31.0,39.0
3497,1.0,0.0,31.0,12.0,15.0,106.0,18.0,11.0,41.0,24.0,22.0,108.0,2.0,32.0,67.0,97.0,6.0,40.0,23.0,36.0,180.0,68.0,87.0,251.0,312.0,253.0,10.0,3.0,44.0,33.0
