, Wnt, JAK-STAT, IL-1, MAPK_PI3K, TLR, PI3K_only, VEGF, TGFB, H2O2, MAPK_only, TNFa
3075,0.0,1.0,2.0,3.0,6.0,7.0,5.0,4.0,8.0,9.0,10.0
3124,1.0,0.0,3.0,2.0,6.0,5.0,4.0,7.0,8.0,10.0,9.0
3173,0.0,1.0,2.0,3.0,5.0,4.0,6.0,7.0,10.0,8.0,9.0
3222,1.0,0.0,2.0,3.0,5.0,7.0,6.0,4.0,8.0,9.0,10.0
3271,1.0,0.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0
3320,0.0,1.0,2.0,4.0,3.0,6.0,5.0,7.0,9.0,10.0,8.0
3369,1.0,0.0,2.0,3.0,7.0,6.0,4.0,5.0,8.0,9.0,10.0
3418,0.0,1.0,2.0,3.0,7.0,4.0,5.0,6.0,9.0,8.0,10.0
3467,0.0,1.0,3.0,2.0,6.0,5.0,4.0,7.0,9.0,8.0,10.0
3516,0.0,1.0,2.0,3.0,7.0,4.0,6.0,5.0,8.0,9.0,10.0
3565,0.0,1.0,2.0,3.0,7.0,4.0,5.0,6.0,8.0,10.0,9.0
3614,0.0,1.0,5.0,6.0,7.0,2.0,3.0,4.0,8.0,10.0,9.0
3663,0.0,1.0,2.0,3.0,7.0,5.0,4.0,6.0,9.0,8.0,10.0
3712,1.0,0.0,3.0,2.0,6.0,5.0,4.0,7.0,9.0,8.0,10.0
3761,0.0,1.0,2.0,5.0,7.0,3.0,4.0,6.0,10.0,8.0,9.0
3810,0.0,1.0,3.0,2.0,5.0,4.0,6.0,7.0,9.0,8.0,10.0
3859,1.0,0.0,3.0,2.0,7.0,4.0,5.0,6.0,8.0,9.0,10.0
3908,0.0,1.0,3.0,2.0,7.0,4.0,5.0,6.0,9.0,8.0,10.0
3957,0.0,1.0,5.0,4.0,2.0,6.0,3.0,7.0,8.0,10.0,9.0
4006,1.0,0.0,2.0,4.0,5.0,6.0,3.0,7.0,8.0,10.0,9.0
4055,0.0,1.0,2.0,6.0,5.0,3.0,4.0,7.0,8.0,10.0,9.0
4104,0.0,1.0,2.0,5.0,3.0,6.0,4.0,7.0,8.0,10.0,9.0
4153,0.0,1.0,2.0,4.0,6.0,3.0,5.0,7.0,8.0,10.0,9.0
4202,0.0,1.0,2.0,5.0,3.0,6.0,4.0,7.0,8.0,9.0,10.0
4251,0.0,1.0,5.0,3.0,4.0,6.0,2.0,7.0,8.0,10.0,9.0
4300,0.0,1.0,4.0,2.0,5.0,3.0,6.0,7.0,8.0,9.0,10.0
4349,0.0,1.0,3.0,2.0,5.0,6.0,4.0,7.0,8.0,9.0,10.0
4398,0.0,1.0,2.0,3.0,4.0,6.0,7.0,5.0,8.0,10.0,9.0
4447,1.0,0.0,3.0,4.0,6.0,5.0,7.0,2.0,8.0,10.0,9.0
4496,0.0,1.0,2.0,4.0,6.0,5.0,7.0,3.0,8.0,10.0,9.0
4545,0.0,1.0,3.0,4.0,5.0,6.0,7.0,2.0,8.0,10.0,9.0
4594,1.0,0.0,2.0,7.0,6.0,4.0,5.0,3.0,10.0,8.0,9.0
4643,0.0,1.0,4.0,5.0,7.0,3.0,6.0,2.0,10.0,8.0,9.0
4692,0.0,1.0,2.0,7.0,6.0,3.0,4.0,5.0,8.0,9.0,10.0
4741,0.0,1.0,2.0,4.0,6.0,3.0,7.0,5.0,8.0,10.0,9.0
4790,0.0,1.0,2.0,5.0,7.0,6.0,4.0,3.0,8.0,9.0,10.0
4839,0.0,1.0,2.0,4.0,5.0,6.0,7.0,3.0,9.0,8.0,10.0
4888,1.0,0.0,2.0,6.0,7.0,4.0,5.0,3.0,8.0,9.0,10.0
