,ETV4,SPRY2,TOR4A,ETV5,CMTM7,SPRY1,DUSP6,NPAS2,TMC6,LGR5,NRROS,IGF2,SNX18P16,SPRY4,HMGA2,SLC16A3,PHLDA1,SEMA3A,EVPL,RP11-11N9.4,ITGA6,KLF3,ACOT11,S100A4,DKK1,FERMT1,ZNF502,ETV1,RP11-834C11.4,HOXB6
2901,0.0,2.0,1.0,5.0,6.0,11.0,4.0,20.0,3.0,14.0,42.0,30.0,192.0,29.0,46.0,16.0,13.0,7.0,70.0,74.0,24.0,21.0,77.0,27.0,57.0,105.0,96.0,28.0,297.0,8.0
2950,1.0,0.0,2.0,7.0,5.0,4.0,3.0,14.0,9.0,6.0,16.0,17.0,68.0,18.0,51.0,8.0,12.0,10.0,11.0,117.0,15.0,29.0,158.0,23.0,22.0,44.0,110.0,50.0,13.0,75.0
2999,0.0,1.0,5.0,3.0,2.0,15.0,7.0,4.0,34.0,8.0,20.0,9.0,29.0,27.0,38.0,43.0,6.0,32.0,11.0,28.0,16.0,24.0,65.0,17.0,25.0,18.0,13.0,19.0,58.0,91.0
3048,0.0,1.0,3.0,5.0,6.0,14.0,2.0,4.0,7.0,20.0,36.0,10.0,17.0,52.0,108.0,21.0,9.0,24.0,12.0,16.0,30.0,27.0,56.0,28.0,8.0,15.0,37.0,38.0,22.0,32.0
3097,0.0,1.0,2.0,4.0,3.0,14.0,8.0,11.0,5.0,6.0,26.0,7.0,13.0,24.0,38.0,32.0,12.0,9.0,16.0,96.0,52.0,21.0,18.0,30.0,25.0,22.0,10.0,27.0,31.0,19.0
3146,0.0,2.0,1.0,5.0,3.0,8.0,12.0,11.0,14.0,7.0,39.0,13.0,31.0,28.0,41.0,17.0,10.0,4.0,6.0,122.0,21.0,45.0,23.0,26.0,30.0,38.0,9.0,25.0,16.0,34.0
3195,0.0,1.0,2.0,5.0,4.0,10.0,12.0,3.0,16.0,22.0,11.0,25.0,31.0,36.0,28.0,29.0,7.0,20.0,6.0,26.0,27.0,34.0,62.0,14.0,71.0,17.0,9.0,49.0,285.0,41.0
3244,0.0,1.0,2.0,5.0,3.0,6.0,27.0,21.0,17.0,4.0,20.0,18.0,34.0,41.0,23.0,24.0,32.0,7.0,11.0,15.0,38.0,51.0,31.0,12.0,8.0,29.0,16.0,59.0,71.0,304.0
3293,0.0,1.0,2.0,3.0,7.0,6.0,15.0,5.0,13.0,12.0,11.0,4.0,21.0,27.0,60.0,19.0,9.0,8.0,10.0,71.0,35.0,50.0,40.0,17.0,16.0,42.0,22.0,31.0,18.0,38.0
3342,0.0,1.0,2.0,7.0,21.0,11.0,6.0,10.0,9.0,5.0,32.0,3.0,12.0,20.0,78.0,25.0,8.0,4.0,16.0,14.0,26.0,40.0,72.0,19.0,15.0,18.0,23.0,27.0,48.0,133.0
3391,0.0,2.0,1.0,4.0,3.0,7.0,9.0,6.0,5.0,52.0,45.0,16.0,40.0,33.0,65.0,17.0,18.0,8.0,12.0,26.0,21.0,27.0,23.0,28.0,22.0,13.0,90.0,98.0,69.0,82.0
3440,0.0,2.0,1.0,3.0,5.0,7.0,10.0,6.0,4.0,40.0,23.0,20.0,15.0,24.0,13.0,60.0,11.0,19.0,22.0,18.0,21.0,26.0,12.0,29.0,25.0,131.0,55.0,48.0,14.0,38.0
3489,0.0,1.0,2.0,4.0,3.0,5.0,10.0,7.0,24.0,50.0,12.0,9.0,16.0,19.0,20.0,68.0,15.0,38.0,26.0,6.0,13.0,17.0,36.0,18.0,22.0,46.0,43.0,177.0,11.0,52.0
3538,0.0,2.0,1.0,3.0,4.0,5.0,8.0,19.0,20.0,30.0,11.0,7.0,9.0,18.0,14.0,25.0,45.0,15.0,23.0,36.0,10.0,32.0,29.0,16.0,17.0,31.0,24.0,49.0,6.0,27.0
3587,0.0,1.0,3.0,2.0,8.0,13.0,6.0,7.0,17.0,165.0,9.0,16.0,4.0,59.0,136.0,23.0,5.0,46.0,39.0,111.0,15.0,20.0,45.0,26.0,60.0,51.0,34.0,79.0,14.0,21.0
3636,0.0,1.0,2.0,3.0,5.0,4.0,14.0,7.0,18.0,52.0,13.0,6.0,19.0,12.0,21.0,27.0,11.0,8.0,31.0,99.0,15.0,29.0,17.0,41.0,32.0,82.0,24.0,43.0,10.0,39.0
3685,0.0,1.0,2.0,4.0,3.0,5.0,9.0,16.0,15.0,42.0,19.0,26.0,13.0,37.0,7.0,58.0,77.0,29.0,12.0,18.0,21.0,48.0,23.0,30.0,11.0,45.0,258.0,89.0,6.0,75.0
3734,0.0,1.0,2.0,3.0,5.0,8.0,9.0,7.0,20.0,57.0,13.0,17.0,6.0,37.0,19.0,54.0,12.0,10.0,11.0,26.0,15.0,25.0,16.0,23.0,27.0,34.0,39.0,149.0,4.0,33.0
3783,0.0,2.0,1.0,4.0,3.0,14.0,11.0,9.0,12.0,108.0,37.0,6.0,7.0,32.0,10.0,27.0,29.0,152.0,48.0,34.0,31.0,13.0,38.0,125.0,103.0,74.0,16.0,112.0,5.0,15.0
3832,0.0,2.0,3.0,4.0,1.0,5.0,11.0,22.0,25.0,101.0,15.0,46.0,6.0,30.0,19.0,24.0,33.0,44.0,9.0,29.0,7.0,26.0,108.0,27.0,51.0,31.0,119.0,103.0,10.0,62.0
3881,0.0,1.0,2.0,3.0,4.0,5.0,13.0,11.0,37.0,38.0,17.0,43.0,24.0,28.0,9.0,160.0,18.0,8.0,34.0,14.0,7.0,21.0,29.0,16.0,78.0,15.0,47.0,27.0,40.0,80.0
3930,0.0,2.0,1.0,3.0,10.0,4.0,7.0,5.0,18.0,17.0,14.0,47.0,9.0,39.0,50.0,12.0,20.0,58.0,6.0,34.0,29.0,25.0,35.0,11.0,49.0,28.0,32.0,78.0,23.0,31.0
3979,0.0,1.0,2.0,4.0,6.0,3.0,5.0,12.0,9.0,39.0,14.0,55.0,18.0,22.0,10.0,7.0,49.0,15.0,8.0,79.0,44.0,23.0,21.0,59.0,84.0,25.0,32.0,19.0,62.0,16.0
4028,0.0,4.0,2.0,1.0,6.0,9.0,12.0,16.0,10.0,31.0,17.0,62.0,5.0,52.0,129.0,76.0,23.0,57.0,8.0,3.0,63.0,79.0,29.0,19.0,120.0,117.0,15.0,75.0,22.0,7.0
4077,0.0,1.0,3.0,4.0,2.0,6.0,7.0,11.0,30.0,13.0,15.0,26.0,21.0,12.0,10.0,14.0,24.0,33.0,20.0,86.0,31.0,8.0,62.0,65.0,223.0,44.0,5.0,37.0,42.0,22.0
4126,0.0,3.0,1.0,5.0,4.0,6.0,11.0,15.0,8.0,10.0,26.0,19.0,38.0,23.0,63.0,7.0,9.0,16.0,14.0,2.0,45.0,24.0,18.0,29.0,21.0,65.0,64.0,30.0,32.0,36.0
4175,0.0,1.0,2.0,3.0,8.0,6.0,4.0,11.0,24.0,25.0,20.0,12.0,10.0,13.0,33.0,7.0,14.0,5.0,28.0,9.0,30.0,41.0,35.0,53.0,17.0,18.0,23.0,15.0,26.0,39.0
4224,0.0,1.0,2.0,4.0,7.0,5.0,9.0,3.0,11.0,25.0,12.0,30.0,18.0,19.0,17.0,8.0,14.0,42.0,10.0,6.0,46.0,28.0,40.0,157.0,59.0,45.0,101.0,23.0,96.0,21.0
4273,0.0,1.0,2.0,3.0,5.0,12.0,7.0,10.0,8.0,24.0,22.0,25.0,4.0,59.0,11.0,30.0,20.0,126.0,16.0,6.0,15.0,13.0,27.0,93.0,115.0,53.0,21.0,35.0,51.0,105.0
4322,0.0,1.0,3.0,2.0,5.0,4.0,6.0,11.0,14.0,7.0,22.0,13.0,16.0,19.0,44.0,10.0,24.0,31.0,9.0,8.0,12.0,32.0,17.0,23.0,21.0,38.0,15.0,39.0,29.0,42.0
4371,0.0,1.0,2.0,3.0,4.0,5.0,7.0,8.0,11.0,76.0,27.0,12.0,6.0,22.0,13.0,10.0,9.0,50.0,14.0,79.0,16.0,20.0,43.0,29.0,30.0,34.0,21.0,57.0,25.0,61.0
4420,0.0,1.0,13.0,6.0,2.0,10.0,3.0,4.0,54.0,41.0,12.0,26.0,36.0,11.0,9.0,24.0,7.0,38.0,114.0,14.0,17.0,27.0,143.0,224.0,44.0,22.0,48.0,5.0,32.0,115.0
4469,0.0,2.0,4.0,11.0,6.0,3.0,5.0,13.0,57.0,16.0,10.0,22.0,17.0,33.0,28.0,8.0,9.0,29.0,161.0,1.0,7.0,49.0,76.0,428.0,73.0,42.0,183.0,15.0,21.0,169.0
4518,0.0,1.0,8.0,10.0,3.0,6.0,2.0,12.0,55.0,23.0,19.0,15.0,16.0,7.0,4.0,58.0,11.0,59.0,116.0,5.0,50.0,38.0,61.0,376.0,70.0,26.0,34.0,14.0,28.0,98.0
4567,0.0,1.0,9.0,15.0,5.0,6.0,8.0,3.0,26.0,100.0,14.0,19.0,10.0,20.0,28.0,81.0,7.0,17.0,41.0,4.0,2.0,54.0,84.0,159.0,36.0,18.0,206.0,24.0,31.0,128.0
4616,2.0,0.0,8.0,16.0,3.0,7.0,9.0,13.0,54.0,20.0,28.0,21.0,5.0,26.0,23.0,29.0,10.0,19.0,120.0,1.0,32.0,62.0,241.0,126.0,17.0,12.0,401.0,11.0,6.0,149.0
4665,0.0,2.0,24.0,8.0,19.0,4.0,3.0,12.0,29.0,25.0,9.0,56.0,7.0,21.0,14.0,34.0,10.0,16.0,49.0,1.0,23.0,169.0,150.0,192.0,15.0,26.0,78.0,13.0,20.0,120.0
4714,0.0,1.0,4.0,13.0,8.0,3.0,2.0,7.0,12.0,19.0,25.0,15.0,24.0,23.0,39.0,17.0,6.0,20.0,176.0,5.0,11.0,55.0,29.0,409.0,9.0,75.0,45.0,22.0,28.0,194.0
4763,0.0,1.0,13.0,10.0,3.0,4.0,6.0,7.0,37.0,21.0,12.0,14.0,8.0,20.0,11.0,24.0,5.0,22.0,51.0,2.0,15.0,58.0,35.0,73.0,9.0,17.0,56.0,26.0,31.0,122.0
4812,1.0,0.0,9.0,10.0,3.0,7.0,5.0,6.0,36.0,24.0,11.0,14.0,26.0,12.0,23.0,31.0,4.0,29.0,135.0,2.0,16.0,103.0,100.0,167.0,22.0,33.0,119.0,18.0,8.0,87.0
4861,0.0,1.0,6.0,14.0,16.0,5.0,9.0,2.0,31.0,18.0,12.0,23.0,20.0,27.0,19.0,36.0,3.0,28.0,106.0,4.0,7.0,89.0,95.0,113.0,55.0,13.0,94.0,11.0,69.0,77.0
