,Bax,p53,VAV1,VHL,Akt_pS473,p14 Arf(BetA300-340A),c-Kit,c-Jun_pS73,CDK1,Acetyl-a-Tubulin (Lys40),beta-Catenin,MYH11,AR,p38_pT180_Y182,Annexin 1,p21,Beclin,GATA3,C-Raf_pS338,CD31,MDMX_MDM4(BetIHC-00108),4E-BP1_pT70,PI3K-p85,Transglutaminase,PTEN,YAP_pS127,TTF1,FoxM1,AMPK_alpha,Smac
788,5.0,0.0,2.0,8.0,49.0,3.0,4.0,30.0,130.0,7.0,6.0,10.0,1.0,18.0,29.0,38.0,117.0,23.0,28.0,19.0,36.0,9.0,13.0,122.0,153.0,104.0,40.0,15.0,51.0,137.0
837,7.0,0.0,4.0,15.0,32.0,2.0,28.0,1.0,86.0,3.0,8.0,42.0,11.0,148.0,48.0,40.0,23.0,13.0,5.0,18.0,9.0,103.0,37.0,38.0,35.0,27.0,62.0,128.0,60.0,95.0
886,0.0,10.0,93.0,31.0,44.0,1.0,6.0,20.0,2.0,11.0,12.0,17.0,7.0,15.0,19.0,40.0,3.0,22.0,14.0,57.0,41.0,4.0,9.0,43.0,105.0,32.0,48.0,23.0,62.0,117.0
935,0.0,26.0,15.0,43.0,20.0,2.0,12.0,6.0,60.0,1.0,40.0,19.0,29.0,9.0,76.0,63.0,5.0,44.0,74.0,22.0,4.0,7.0,3.0,39.0,41.0,17.0,48.0,27.0,51.0,46.0
984,0.0,2.0,7.0,9.0,13.0,8.0,42.0,5.0,12.0,6.0,48.0,1.0,3.0,16.0,4.0,36.0,15.0,10.0,19.0,21.0,17.0,144.0,20.0,11.0,35.0,103.0,18.0,28.0,37.0,54.0
1033,1.0,6.0,8.0,7.0,11.0,15.0,3.0,31.0,76.0,5.0,0.0,66.0,35.0,17.0,19.0,29.0,23.0,21.0,13.0,34.0,36.0,27.0,49.0,24.0,44.0,64.0,2.0,67.0,57.0,98.0
1082,0.0,1.0,19.0,67.0,12.0,50.0,6.0,17.0,4.0,2.0,40.0,8.0,9.0,16.0,25.0,44.0,55.0,11.0,138.0,89.0,22.0,56.0,13.0,14.0,87.0,7.0,35.0,51.0,120.0,116.0
1131,2.0,0.0,15.0,31.0,1.0,55.0,5.0,7.0,41.0,56.0,18.0,12.0,33.0,10.0,39.0,51.0,19.0,9.0,152.0,8.0,40.0,93.0,58.0,14.0,27.0,60.0,6.0,4.0,21.0,36.0
1180,2.0,1.0,21.0,60.0,24.0,123.0,22.0,0.0,5.0,17.0,20.0,16.0,3.0,4.0,25.0,12.0,33.0,34.0,96.0,62.0,28.0,68.0,46.0,43.0,15.0,45.0,10.0,67.0,6.0,38.0
1229,4.0,0.0,18.0,6.0,23.0,1.0,2.0,9.0,3.0,10.0,13.0,29.0,32.0,12.0,17.0,15.0,11.0,27.0,39.0,26.0,5.0,111.0,7.0,59.0,75.0,94.0,46.0,101.0,21.0,62.0
1278,1.0,0.0,3.0,10.0,20.0,22.0,26.0,2.0,18.0,6.0,36.0,17.0,5.0,32.0,39.0,9.0,43.0,53.0,132.0,83.0,57.0,124.0,31.0,23.0,12.0,13.0,16.0,8.0,7.0,107.0
1327,1.0,0.0,63.0,52.0,42.0,23.0,4.0,9.0,21.0,29.0,5.0,3.0,2.0,6.0,46.0,58.0,39.0,18.0,24.0,77.0,7.0,16.0,104.0,13.0,80.0,26.0,11.0,108.0,10.0,131.0
1376,0.0,3.0,21.0,31.0,66.0,10.0,9.0,5.0,32.0,49.0,8.0,26.0,2.0,7.0,35.0,64.0,15.0,1.0,42.0,19.0,14.0,39.0,85.0,4.0,25.0,124.0,12.0,33.0,96.0,59.0
1425,19.0,0.0,12.0,21.0,68.0,82.0,3.0,6.0,1.0,16.0,14.0,27.0,9.0,8.0,4.0,15.0,2.0,71.0,107.0,26.0,22.0,108.0,7.0,69.0,101.0,49.0,10.0,28.0,96.0,30.0
1474,6.0,2.0,4.0,0.0,1.0,3.0,79.0,13.0,38.0,107.0,7.0,9.0,41.0,100.0,25.0,8.0,30.0,19.0,14.0,45.0,42.0,62.0,5.0,102.0,71.0,91.0,44.0,12.0,10.0,16.0
1523,1.0,25.0,2.0,9.0,0.0,42.0,76.0,39.0,7.0,23.0,12.0,55.0,5.0,56.0,22.0,4.0,93.0,13.0,57.0,30.0,32.0,79.0,14.0,11.0,41.0,26.0,21.0,158.0,35.0,50.0
1572,1.0,3.0,9.0,0.0,5.0,2.0,29.0,18.0,15.0,30.0,4.0,14.0,48.0,19.0,88.0,10.0,22.0,36.0,6.0,12.0,52.0,71.0,31.0,34.0,38.0,27.0,7.0,128.0,44.0,103.0
1621,1.0,6.0,8.0,2.0,0.0,3.0,4.0,26.0,5.0,9.0,42.0,18.0,13.0,46.0,60.0,32.0,17.0,37.0,16.0,48.0,124.0,24.0,62.0,132.0,52.0,36.0,31.0,19.0,11.0,29.0
1670,3.0,7.0,1.0,2.0,0.0,5.0,15.0,11.0,9.0,108.0,24.0,26.0,101.0,33.0,21.0,44.0,46.0,28.0,82.0,14.0,150.0,52.0,4.0,69.0,22.0,12.0,58.0,110.0,35.0,42.0
1719,1.0,70.0,3.0,2.0,0.0,41.0,23.0,10.0,40.0,108.0,12.0,60.0,83.0,36.0,6.0,4.0,93.0,22.0,51.0,5.0,43.0,20.0,103.0,109.0,116.0,15.0,24.0,53.0,59.0,79.0
1768,0.0,19.0,4.0,2.0,1.0,16.0,29.0,8.0,3.0,9.0,6.0,38.0,11.0,15.0,17.0,12.0,10.0,22.0,65.0,130.0,107.0,13.0,33.0,20.0,35.0,28.0,21.0,5.0,24.0,91.0
1817,7.0,1.0,2.0,0.0,5.0,14.0,12.0,52.0,24.0,9.0,61.0,29.0,21.0,4.0,45.0,3.0,31.0,51.0,93.0,11.0,37.0,79.0,23.0,84.0,77.0,13.0,6.0,59.0,139.0,50.0
1866,2.0,22.0,0.0,11.0,1.0,3.0,38.0,27.0,4.0,21.0,7.0,32.0,5.0,13.0,18.0,41.0,26.0,25.0,47.0,69.0,6.0,95.0,77.0,37.0,12.0,33.0,110.0,36.0,68.0,92.0
1915,1.0,9.0,15.0,14.0,0.0,8.0,16.0,28.0,10.0,65.0,5.0,23.0,2.0,18.0,37.0,45.0,39.0,77.0,12.0,70.0,60.0,17.0,87.0,40.0,91.0,97.0,105.0,143.0,6.0,26.0
1964,0.0,9.0,2.0,116.0,4.0,6.0,5.0,1.0,36.0,7.0,66.0,8.0,108.0,20.0,3.0,10.0,59.0,26.0,69.0,18.0,12.0,15.0,93.0,30.0,27.0,38.0,75.0,11.0,35.0,58.0
2013,4.0,8.0,80.0,7.0,54.0,0.0,5.0,49.0,27.0,1.0,6.0,12.0,16.0,11.0,18.0,36.0,64.0,25.0,21.0,19.0,42.0,13.0,56.0,9.0,3.0,14.0,159.0,2.0,34.0,31.0
2062,3.0,11.0,0.0,13.0,2.0,35.0,4.0,17.0,21.0,14.0,5.0,34.0,9.0,8.0,16.0,40.0,18.0,1.0,45.0,62.0,41.0,31.0,124.0,162.0,55.0,56.0,32.0,15.0,99.0,68.0
2111,0.0,56.0,2.0,47.0,9.0,1.0,30.0,4.0,17.0,23.0,8.0,12.0,53.0,5.0,18.0,7.0,36.0,31.0,26.0,99.0,10.0,58.0,120.0,3.0,19.0,159.0,32.0,11.0,59.0,38.0
2160,0.0,3.0,1.0,8.0,2.0,5.0,4.0,15.0,11.0,17.0,13.0,6.0,115.0,18.0,27.0,9.0,28.0,61.0,35.0,70.0,25.0,34.0,92.0,7.0,30.0,38.0,147.0,23.0,14.0,39.0
2209,0.0,1.0,14.0,6.0,24.0,5.0,11.0,2.0,9.0,59.0,7.0,12.0,73.0,21.0,57.0,3.0,17.0,121.0,13.0,38.0,19.0,26.0,93.0,15.0,33.0,27.0,162.0,10.0,8.0,43.0
2258,1.0,6.0,15.0,3.0,0.0,41.0,4.0,49.0,9.0,2.0,14.0,13.0,66.0,69.0,42.0,31.0,19.0,10.0,37.0,35.0,25.0,38.0,61.0,5.0,18.0,76.0,80.0,44.0,64.0,53.0
2307,0.0,34.0,13.0,4.0,7.0,54.0,8.0,14.0,21.0,12.0,1.0,16.0,33.0,25.0,49.0,6.0,69.0,3.0,10.0,11.0,2.0,19.0,68.0,48.0,15.0,80.0,5.0,42.0,75.0,160.0
2356,0.0,2.0,5.0,43.0,10.0,1.0,3.0,6.0,16.0,113.0,25.0,11.0,14.0,27.0,8.0,13.0,9.0,19.0,21.0,15.0,4.0,12.0,33.0,23.0,59.0,77.0,104.0,7.0,60.0,45.0
2405,1.0,10.0,17.0,26.0,0.0,8.0,2.0,18.0,22.0,3.0,16.0,25.0,7.0,12.0,39.0,41.0,38.0,14.0,58.0,50.0,35.0,99.0,92.0,150.0,13.0,57.0,81.0,6.0,73.0,142.0
2454,0.0,6.0,12.0,2.0,8.0,4.0,1.0,3.0,19.0,13.0,11.0,7.0,45.0,24.0,52.0,5.0,61.0,14.0,48.0,20.0,10.0,15.0,9.0,37.0,47.0,100.0,62.0,44.0,23.0,17.0
2503,1.0,7.0,4.0,0.0,30.0,13.0,2.0,9.0,41.0,3.0,45.0,36.0,6.0,16.0,28.0,10.0,17.0,63.0,65.0,27.0,50.0,46.0,19.0,20.0,52.0,15.0,84.0,93.0,32.0,143.0
2552,0.0,7.0,12.0,1.0,3.0,2.0,4.0,6.0,11.0,37.0,24.0,35.0,59.0,86.0,10.0,8.0,9.0,15.0,25.0,41.0,21.0,42.0,5.0,56.0,31.0,130.0,115.0,83.0,94.0,28.0
2601,1.0,15.0,2.0,6.0,3.0,25.0,19.0,0.0,23.0,28.0,8.0,26.0,40.0,77.0,22.0,5.0,10.0,20.0,24.0,89.0,34.0,21.0,4.0,7.0,18.0,85.0,9.0,139.0,69.0,123.0
2650,1.0,3.0,2.0,4.0,57.0,17.0,56.0,0.0,68.0,35.0,7.0,11.0,20.0,53.0,13.0,6.0,18.0,113.0,32.0,22.0,49.0,58.0,21.0,101.0,51.0,95.0,26.0,64.0,12.0,19.0
2699,0.0,4.0,21.0,26.0,6.0,42.0,24.0,2.0,30.0,16.0,17.0,69.0,59.0,14.0,35.0,88.0,10.0,19.0,67.0,8.0,55.0,1.0,22.0,39.0,106.0,20.0,27.0,62.0,9.0,125.0
2748,0.0,2.0,10.0,3.0,15.0,34.0,26.0,1.0,11.0,13.0,48.0,6.0,9.0,39.0,22.0,37.0,7.0,32.0,18.0,40.0,28.0,30.0,14.0,5.0,12.0,54.0,17.0,135.0,38.0,74.0
2797,0.0,1.0,8.0,2.0,6.0,18.0,12.0,9.0,64.0,4.0,3.0,7.0,11.0,44.0,80.0,22.0,27.0,24.0,32.0,65.0,76.0,17.0,19.0,71.0,10.0,60.0,34.0,133.0,54.0,55.0
2846,11.0,1.0,10.0,5.0,7.0,3.0,6.0,24.0,0.0,20.0,144.0,13.0,9.0,125.0,2.0,4.0,32.0,76.0,105.0,110.0,118.0,19.0,12.0,92.0,37.0,35.0,18.0,31.0,62.0,146.0
2895,3.0,11.0,4.0,0.0,17.0,1.0,12.0,7.0,6.0,99.0,22.0,14.0,25.0,24.0,45.0,2.0,9.0,37.0,72.0,65.0,13.0,48.0,5.0,54.0,8.0,18.0,40.0,31.0,64.0,41.0
2944,4.0,81.0,1.0,48.0,2.0,3.0,6.0,7.0,11.0,0.0,29.0,53.0,9.0,26.0,17.0,15.0,5.0,18.0,12.0,57.0,34.0,111.0,16.0,19.0,24.0,43.0,45.0,32.0,40.0,23.0
2993,1.0,11.0,2.0,14.0,0.0,7.0,37.0,6.0,73.0,4.0,96.0,51.0,39.0,29.0,9.0,123.0,5.0,15.0,12.0,10.0,40.0,3.0,97.0,16.0,53.0,43.0,104.0,124.0,134.0,26.0
3042,6.0,0.0,2.0,38.0,5.0,40.0,17.0,3.0,16.0,8.0,12.0,48.0,65.0,37.0,36.0,11.0,1.0,9.0,59.0,81.0,7.0,45.0,51.0,4.0,77.0,28.0,35.0,26.0,53.0,78.0
3091,0.0,10.0,3.0,4.0,27.0,1.0,5.0,6.0,9.0,2.0,98.0,133.0,14.0,88.0,26.0,22.0,50.0,53.0,20.0,15.0,18.0,44.0,90.0,121.0,21.0,28.0,16.0,7.0,8.0,19.0
3140,1.0,82.0,4.0,6.0,0.0,9.0,10.0,8.0,13.0,5.0,36.0,100.0,31.0,91.0,15.0,12.0,7.0,30.0,28.0,34.0,14.0,53.0,110.0,60.0,46.0,17.0,41.0,26.0,56.0,2.0
3189,2.0,5.0,4.0,1.0,0.0,3.0,9.0,10.0,20.0,6.0,14.0,32.0,8.0,120.0,23.0,11.0,61.0,35.0,22.0,26.0,91.0,30.0,7.0,40.0,48.0,43.0,79.0,18.0,78.0,12.0
3238,0.0,1.0,13.0,29.0,2.0,3.0,5.0,4.0,14.0,24.0,23.0,106.0,6.0,28.0,8.0,18.0,20.0,60.0,35.0,22.0,9.0,15.0,38.0,96.0,7.0,79.0,31.0,19.0,70.0,33.0
3287,1.0,28.0,5.0,29.0,40.0,2.0,15.0,0.0,13.0,4.0,9.0,34.0,19.0,18.0,3.0,8.0,74.0,17.0,16.0,37.0,21.0,6.0,12.0,14.0,46.0,11.0,47.0,70.0,55.0,20.0
3336,2.0,13.0,0.0,4.0,1.0,16.0,3.0,5.0,9.0,8.0,107.0,59.0,11.0,99.0,17.0,44.0,43.0,18.0,82.0,67.0,7.0,22.0,37.0,28.0,14.0,20.0,90.0,143.0,116.0,25.0
3385,7.0,2.0,3.0,11.0,5.0,0.0,13.0,8.0,24.0,15.0,12.0,87.0,95.0,9.0,58.0,1.0,14.0,44.0,16.0,18.0,43.0,147.0,32.0,19.0,10.0,41.0,94.0,4.0,25.0,23.0
3434,15.0,11.0,1.0,3.0,6.0,4.0,8.0,79.0,0.0,7.0,13.0,16.0,67.0,2.0,19.0,39.0,76.0,104.0,94.0,25.0,101.0,45.0,41.0,37.0,21.0,27.0,40.0,49.0,65.0,57.0
3483,3.0,0.0,1.0,4.0,13.0,20.0,23.0,47.0,2.0,37.0,33.0,17.0,10.0,51.0,16.0,24.0,50.0,69.0,41.0,25.0,5.0,14.0,130.0,7.0,8.0,78.0,26.0,159.0,49.0,18.0
3532,0.0,2.0,15.0,6.0,11.0,3.0,10.0,31.0,13.0,136.0,5.0,28.0,24.0,8.0,48.0,4.0,1.0,83.0,144.0,68.0,50.0,16.0,124.0,26.0,49.0,7.0,23.0,52.0,39.0,57.0
3581,0.0,4.0,29.0,2.0,5.0,8.0,60.0,3.0,1.0,26.0,32.0,15.0,12.0,7.0,17.0,24.0,20.0,83.0,56.0,21.0,9.0,22.0,67.0,39.0,13.0,61.0,46.0,11.0,40.0,14.0
3630,0.0,6.0,4.0,3.0,5.0,44.0,7.0,39.0,1.0,55.0,9.0,56.0,15.0,2.0,11.0,36.0,41.0,43.0,96.0,52.0,12.0,63.0,22.0,37.0,111.0,99.0,120.0,20.0,32.0,30.0
3679,3.0,6.0,42.0,5.0,0.0,2.0,156.0,88.0,1.0,15.0,101.0,9.0,16.0,10.0,40.0,8.0,108.0,32.0,64.0,12.0,27.0,29.0,94.0,4.0,61.0,35.0,104.0,140.0,17.0,44.0
3728,30.0,1.0,5.0,4.0,0.0,2.0,15.0,82.0,10.0,49.0,13.0,16.0,38.0,3.0,6.0,37.0,144.0,17.0,8.0,75.0,18.0,98.0,12.0,40.0,74.0,41.0,81.0,59.0,7.0,31.0
3777,3.0,4.0,1.0,17.0,10.0,2.0,107.0,40.0,0.0,23.0,34.0,18.0,6.0,9.0,8.0,5.0,161.0,39.0,106.0,20.0,30.0,56.0,84.0,37.0,92.0,72.0,15.0,13.0,7.0,52.0
3826,3.0,9.0,5.0,1.0,2.0,14.0,10.0,42.0,0.0,31.0,8.0,18.0,4.0,11.0,28.0,24.0,70.0,97.0,113.0,32.0,69.0,127.0,13.0,33.0,45.0,37.0,43.0,6.0,68.0,99.0
3875,1.0,2.0,15.0,4.0,5.0,3.0,17.0,40.0,0.0,12.0,44.0,7.0,78.0,21.0,74.0,27.0,16.0,119.0,9.0,47.0,39.0,45.0,33.0,6.0,84.0,61.0,30.0,150.0,23.0,137.0
3924,1.0,0.0,17.0,8.0,6.0,46.0,41.0,15.0,2.0,4.0,25.0,18.0,7.0,26.0,3.0,60.0,9.0,30.0,19.0,44.0,157.0,53.0,56.0,109.0,12.0,27.0,129.0,128.0,78.0,73.0
3973,1.0,3.0,51.0,29.0,2.0,9.0,6.0,30.0,7.0,5.0,27.0,10.0,8.0,16.0,22.0,14.0,0.0,87.0,4.0,18.0,37.0,12.0,123.0,63.0,41.0,68.0,31.0,120.0,21.0,23.0
4022,9.0,29.0,1.0,23.0,0.0,3.0,4.0,20.0,5.0,10.0,36.0,37.0,50.0,75.0,8.0,77.0,12.0,25.0,150.0,31.0,84.0,6.0,7.0,54.0,2.0,46.0,16.0,49.0,104.0,138.0
4071,5.0,17.0,1.0,27.0,3.0,7.0,6.0,36.0,9.0,53.0,26.0,23.0,16.0,14.0,8.0,38.0,0.0,2.0,114.0,19.0,41.0,4.0,24.0,42.0,11.0,35.0,18.0,158.0,52.0,12.0
4120,0.0,2.0,5.0,8.0,3.0,15.0,19.0,27.0,95.0,9.0,21.0,16.0,49.0,23.0,30.0,13.0,1.0,18.0,14.0,141.0,34.0,44.0,61.0,78.0,32.0,20.0,83.0,26.0,4.0,11.0
4169,16.0,1.0,2.0,4.0,0.0,25.0,5.0,35.0,11.0,13.0,20.0,69.0,21.0,18.0,12.0,56.0,26.0,6.0,17.0,7.0,30.0,61.0,38.0,50.0,3.0,42.0,15.0,32.0,45.0,8.0
4218,2.0,3.0,33.0,4.0,8.0,0.0,14.0,9.0,10.0,15.0,30.0,13.0,47.0,20.0,59.0,11.0,27.0,54.0,16.0,45.0,46.0,36.0,40.0,99.0,5.0,72.0,31.0,48.0,42.0,44.0
4267,5.0,3.0,1.0,27.0,4.0,41.0,22.0,9.0,25.0,89.0,31.0,20.0,18.0,21.0,24.0,157.0,0.0,79.0,7.0,29.0,19.0,6.0,55.0,28.0,16.0,17.0,15.0,155.0,10.0,37.0
4316,14.0,0.0,2.0,10.0,1.0,12.0,49.0,41.0,3.0,70.0,32.0,5.0,51.0,22.0,38.0,40.0,55.0,87.0,17.0,15.0,45.0,100.0,8.0,19.0,11.0,26.0,97.0,43.0,7.0,52.0
4365,3.0,21.0,0.0,22.0,5.0,14.0,25.0,37.0,6.0,11.0,23.0,63.0,8.0,13.0,1.0,60.0,16.0,15.0,9.0,108.0,120.0,99.0,86.0,65.0,4.0,20.0,138.0,128.0,10.0,35.0
4414,2.0,1.0,0.0,9.0,31.0,4.0,11.0,14.0,29.0,10.0,25.0,69.0,100.0,60.0,43.0,15.0,33.0,23.0,16.0,80.0,40.0,26.0,64.0,81.0,75.0,7.0,5.0,102.0,125.0,63.0
4463,3.0,2.0,0.0,5.0,7.0,11.0,1.0,19.0,10.0,47.0,27.0,15.0,50.0,23.0,6.0,4.0,21.0,9.0,64.0,18.0,26.0,12.0,70.0,43.0,36.0,13.0,29.0,112.0,51.0,66.0
4512,2.0,15.0,0.0,4.0,3.0,9.0,1.0,56.0,6.0,10.0,47.0,27.0,91.0,16.0,50.0,12.0,52.0,24.0,28.0,162.0,154.0,13.0,49.0,23.0,7.0,43.0,26.0,36.0,39.0,69.0
4561,6.0,10.0,0.0,9.0,18.0,16.0,1.0,2.0,3.0,49.0,5.0,47.0,38.0,25.0,22.0,7.0,37.0,62.0,164.0,76.0,24.0,31.0,12.0,17.0,56.0,15.0,58.0,43.0,67.0,87.0
4610,2.0,19.0,0.0,3.0,14.0,6.0,1.0,10.0,20.0,44.0,5.0,40.0,68.0,7.0,25.0,8.0,34.0,35.0,105.0,56.0,94.0,82.0,30.0,17.0,127.0,4.0,142.0,123.0,116.0,58.0
4659,6.0,1.0,0.0,7.0,2.0,5.0,3.0,27.0,11.0,102.0,4.0,16.0,97.0,69.0,18.0,9.0,8.0,14.0,42.0,88.0,35.0,30.0,24.0,10.0,66.0,17.0,15.0,109.0,139.0,20.0
4708,11.0,1.0,0.0,2.0,36.0,7.0,10.0,4.0,6.0,50.0,19.0,3.0,76.0,9.0,35.0,14.0,53.0,32.0,44.0,22.0,15.0,115.0,26.0,24.0,74.0,31.0,42.0,133.0,56.0,16.0
4757,7.0,27.0,0.0,1.0,20.0,3.0,2.0,24.0,4.0,98.0,5.0,53.0,89.0,38.0,137.0,11.0,13.0,68.0,50.0,30.0,9.0,33.0,60.0,82.0,71.0,14.0,52.0,65.0,75.0,15.0
4806,0.0,3.0,1.0,5.0,52.0,19.0,2.0,7.0,41.0,26.0,16.0,6.0,46.0,35.0,36.0,10.0,66.0,30.0,48.0,58.0,43.0,37.0,79.0,63.0,22.0,12.0,11.0,49.0,85.0,107.0
4855,8.0,1.0,0.0,5.0,11.0,6.0,2.0,12.0,3.0,33.0,14.0,21.0,127.0,113.0,13.0,30.0,39.0,43.0,28.0,31.0,9.0,18.0,61.0,87.0,7.0,4.0,49.0,70.0,17.0,19.0
