,CES1P1_DEL,LCE3C_DEL,HLA-H_DEL,FFAR3_DEL,LCE3B_DEL,GSTTP2_DEL,ME3_DEL,SIRPB1_AMP,FHIT_DEL,TP53_MUT,FMN2_AMP,HLA-DQB1_DEL,ARSB_DEL,ZBTB20_AMP,GSTT1_DEL,LOC391322_DEL,CDH13_DEL,AMY2A_AMP,CADM2_DEL,LOC284260_DEL,PCCB_DEL,GOLPH3_AMP,SORD_AMP,RBFOX1_DEL,PRH1-PRR4_DEL,CDC73_DEL,NRAS_MUT,SORL1_MUT,SFMBT1_AMP,GSTTP1_AMP
618,0.0,1.0,7.0,2.0,5.0,8.0,9.0,4.0,24.0,22.0,329.0,103.0,10.0,13.0,17.0,18.0,1786.0,11.0,3.0,31.0,62.0,64.0,38.0,299.0,19.0,12.0,16.0,125.0,6.0,122.0
667,0.0,74.0,4.0,1.0,87.0,8.0,2.0,39.0,18.0,32.0,37.0,100.0,3.0,5.0,13.0,12.0,106.0,6.0,15.0,7.0,89.0,49.0,51.0,17.0,163.0,41.0,27.0,1014.0,68.0,14.0
716,0.0,2.0,14.0,3.0,5.0,30.0,1.0,20.0,13.0,7.0,272.0,37.0,74.0,64.0,12.0,11.0,148.0,15.0,17.0,25.0,117.0,90.0,42.0,18.0,142.0,6.0,41.0,441.0,16.0,4.0
765,2.0,8.0,4.0,3.0,26.0,86.0,1.0,40.0,0.0,25.0,5434.0,23.0,11.0,99.0,262.0,263.0,7.0,12.0,6.0,41.0,33.0,83.0,21.0,22.0,32.0,18.0,31.0,321.0,45.0,96.0
814,0.0,3.0,34.0,2.0,9.0,23.0,7.0,5.0,16.0,6.0,299.0,62.0,10.0,1.0,43.0,44.0,79.0,27.0,37.0,50.0,102.0,61.0,12.0,11.0,17.0,8.0,38.0,139.0,31.0,103.0
863,0.0,3.0,6.0,2.0,5.0,19.0,8.0,1.0,7.0,4.0,60.0,13.0,15.0,22.0,9.0,10.0,79.0,11.0,29.0,120.0,32.0,65.0,38.0,30.0,133.0,14.0,36.0,220.0,53.0,17.0
912,0.0,2.0,13.0,1.0,4.0,60.0,5.0,21.0,16.0,85.0,181.0,40.0,7.0,41.0,119.0,118.0,78.0,6.0,8.0,35.0,87.0,64.0,1500.0,14.0,1077.0,18.0,54.0,128.0,20.0,11.0
961,2.0,22.0,33.0,15.0,16.0,49.0,4.0,12.0,29.0,0.0,79.0,63.0,32.0,14.0,142.0,141.0,614.0,21.0,80.0,25.0,1554.0,107.0,5.0,13.0,214.0,1.0,28.0,65.0,20.0,36.0
1010,0.0,15.0,3.0,1.0,32.0,2.0,38.0,31.0,20.0,1405.0,10.0,65.0,74.0,51.0,5.0,6.0,7.0,73.0,22.0,26.0,68.0,28.0,344.0,35.0,4.0,323.0,13.0,24.0,30.0,92.0
1059,0.0,1.0,4.0,23.0,6.0,7.0,20.0,16.0,8.0,76.0,15.0,19.0,25.0,466.0,3.0,2.0,21.0,315.0,5.0,116.0,87.0,11.0,2853.0,108.0,14.0,1415.0,36.0,13.0,26.0,109.0
1108,0.0,2.0,20.0,7.0,3.0,9.0,14.0,8.0,1.0,8680.0,19.0,28.0,37.0,13.0,6.0,5.0,4.0,106.0,11.0,98.0,129.0,17.0,16.0,33.0,34.0,201.0,18.0,15.0,23.0,153.0
1157,0.0,14.0,77.0,1.0,37.0,17.0,26.0,2.0,3.0,387.0,15.0,278.0,45.0,89.0,7.0,8.0,6.0,149.0,22.0,358.0,1311.0,28.0,27.0,21.0,36.0,49.0,16.0,56.0,42.0,53.0
1206,0.0,21.0,4.0,7.0,17.0,10.0,87.0,16.0,1.0,451.0,3.0,15.0,41.0,55.0,5.0,6.0,2.0,76.0,13.0,27.0,135.0,18.0,233.0,23.0,20.0,65.0,12.0,19.0,24.0,239.0
1255,0.0,11.0,3.0,5.0,20.0,4.0,15.0,27.0,6.0,770.0,19.0,89.0,50.0,25.0,1.0,2.0,8.0,73.0,10.0,40.0,62.0,14.0,35.0,26.0,18.0,56.0,12.0,16.0,23.0,181.0
1304,3.0,6.0,4.0,7.0,12.0,2.0,10.0,196.0,5.0,16845.0,756.0,162.0,115.0,45.0,1.0,0.0,9.0,38.0,24.0,95.0,141.0,18.0,12975.0,88.0,16.0,32.0,29.0,15.0,21.0,165.0
1353,0.0,30.0,25.0,10.0,47.0,3.0,19.0,23.0,4.0,83.0,5.0,9.0,52.0,40.0,1.0,2.0,26.0,28.0,15.0,53.0,95.0,11.0,70.0,31.0,74.0,16.0,27.0,20.0,24.0,43.0
1402,0.0,3.0,8.0,4.0,7.0,5.0,10.0,52.0,6.0,20544.0,180.0,29.0,87.0,30.0,1.0,2.0,12.0,34.0,74.0,32.0,65.0,176.0,17.0,9.0,31.0,16.0,39.0,353.0,70.0,73.0
1451,6.0,37.0,3.0,7.0,198.0,5.0,16.0,11.0,4.0,2658.0,12.0,39.0,111.0,135.0,1.0,0.0,2.0,38.0,22.0,85.0,193.0,20.0,8.0,32.0,27.0,23.0,15.0,31.0,160.0,357.0
1500,2.0,3.0,0.0,6.0,13.0,7.0,37.0,1.0,958.0,146.0,155.0,12.0,9.0,5.0,25.0,24.0,64.0,46.0,29.0,15.0,31.0,61.0,4.0,213.0,14.0,116.0,34.0,92.0,40.0,35.0
1549,1.0,0.0,44.0,6.0,2.0,53.0,11.0,4.0,21.0,7.0,376.0,48.0,34.0,13.0,1420.0,1419.0,169.0,30.0,10.0,19.0,27.0,102.0,79.0,190.0,192.0,5.0,8.0,853.0,33.0,80.0
1598,0.0,3.0,24.0,4.0,7.0,10.0,43.0,1.0,28.0,21.0,162.0,9.0,88.0,75.0,18.0,19.0,8.0,11.0,5.0,65.0,29.0,17.0,2.0,111.0,188.0,26.0,46.0,64.0,47.0,56.0
1647,0.0,3.0,227.0,5.0,4.0,25.0,10.0,1.0,20.0,23.0,78.0,13.0,8.0,24.0,38.0,37.0,56.0,11.0,16.0,12.0,14.0,35.0,32.0,52.0,9.0,51.0,47.0,367.0,66.0,67.0
1696,0.0,4.0,31.0,14.0,2.0,13.0,41.0,5.0,575.0,7.0,135.0,25.0,75.0,571.0,37.0,36.0,29.0,22.0,51.0,1.0,3.0,11.0,35.0,284.0,50.0,32.0,48.0,274.0,65.0,112.0
1745,0.0,2.0,8.0,1.0,11.0,32.0,15.0,4.0,4902.0,683.0,16.0,194.0,7.0,77.0,58.0,57.0,20.0,23.0,6.0,10.0,39.0,22.0,12.0,56.0,118.0,347.0,66.0,257.0,41.0,31.0
1794,0.0,1.0,7.0,4.0,3.0,24.0,57.0,2.0,232.0,12.0,16.0,13.0,11.0,15.0,72.0,73.0,783.0,10.0,8.0,5.0,9.0,18.0,30.0,159.0,32.0,31.0,21.0,114.0,19.0,55.0
1843,0.0,1.0,4.0,10.0,2.0,75.0,40.0,6.0,20.0,218.0,113.0,30.0,43.0,33.0,80.0,81.0,57.0,24.0,49.0,11.0,51.0,27.0,5.0,87.0,7.0,14.0,31.0,55.0,16.0,72.0
1892,0.0,2.0,1.0,6.0,4.0,9.0,23.0,3.0,93.0,35.0,246.0,10.0,18.0,29.0,53.0,52.0,95.0,12.0,11.0,43.0,50.0,21.0,7.0,94.0,24.0,40.0,49.0,106.0,8.0,19.0
1941,1.0,0.0,23.0,4.0,5.0,6.0,22.0,2.0,2475.0,20.0,487.0,16.0,18.0,46.0,14.0,13.0,29.0,49.0,10.0,9.0,17.0,19.0,8.0,97.0,439.0,65.0,161.0,59.0,28.0,12.0
1990,1.0,2.0,12.0,11.0,3.0,15.0,18.0,16.0,9.0,0.0,4.0,8.0,123.0,21.0,5.0,6.0,7.0,43.0,27.0,10.0,32.0,45.0,1919.0,28.0,33.0,29.0,13.0,31.0,61.0,19.0
2039,3.0,0.0,28.0,6.0,1.0,19.0,7.0,23.0,10.0,2.0,4.0,41.0,11.0,8.0,48.0,49.0,9.0,17.0,39.0,5.0,29.0,61.0,45.0,21.0,112.0,32.0,25.0,27.0,55.0,16.0
2088,3.0,4.0,1.0,16.0,2.0,15.0,26.0,14.0,17.0,0.0,42.0,25.0,32.0,59.0,23.0,24.0,10.0,29.0,27.0,20.0,21.0,22.0,11.0,336.0,31.0,18.0,9.0,12.0,258.0,157.0
2137,0.0,5.0,1.0,8.0,4.0,23.0,3.0,20.0,6.0,2.0,9.0,10.0,22.0,15.0,61.0,60.0,12.0,13.0,74.0,16.0,19.0,32.0,53.0,29.0,17.0,75.0,7.0,25.0,49.0,34.0
2186,2.0,0.0,9.0,4.0,1.0,14.0,35.0,59.0,8.0,6.0,3.0,19.0,144.0,30.0,31.0,32.0,26.0,34.0,10.0,21.0,5.0,27.0,192.0,20.0,24.0,130.0,16.0,12.0,70.0,28.0
2235,0.0,4.0,2.0,3.0,6.0,10.0,19.0,17.0,1.0,5.0,7.0,39.0,8.0,15.0,27.0,28.0,12.0,18.0,32.0,11.0,44.0,20.0,178.0,68.0,21.0,45.0,16.0,13.0,48.0,40.0
2284,0.0,9.0,1.0,12.0,11.0,3.0,13.0,2.0,14.0,25.0,6.0,18.0,21.0,73.0,4.0,5.0,7.0,19.0,29.0,20.0,15.0,30.0,206.0,33.0,28.0,36.0,41.0,47.0,53.0,26.0
2333,2.0,0.0,10.0,5.0,1.0,81.0,6.0,50.0,4.0,3.0,54.0,7.0,15.0,56.0,150.0,149.0,60.0,16.0,36.0,17.0,9.0,102.0,367.0,14.0,19.0,11.0,8.0,125.0,18.0,52.0
2382,0.0,2.0,3.0,22.0,4.0,18.0,61.0,6.0,11.0,1.0,15.0,13.0,14.0,23.0,32.0,31.0,33.0,39.0,71.0,10.0,16.0,51.0,848.0,40.0,5.0,30.0,8.0,9.0,35.0,25.0
2431,0.0,2.0,7.0,9.0,3.0,19.0,30.0,42.0,81.0,1.0,16.0,4.0,5.0,13.0,35.0,34.0,6.0,10.0,226.0,8.0,12.0,14.0,266.0,25.0,27.0,20.0,15.0,22.0,71.0,64.0
2480,0.0,8.0,86.0,15.0,29.0,75.0,26.0,17.0,36.0,65.0,23.0,5.0,3.0,7.0,150.0,149.0,4.0,52.0,184.0,42.0,48.0,77.0,1.0,9.0,14.0,498.0,46.0,38.0,193.0,13.0
2529,0.0,23.0,61.0,17.0,90.0,42.0,46.0,1.0,197.0,50.0,11.0,5.0,7.0,14.0,94.0,95.0,3.0,57.0,12.0,65.0,27.0,20.0,9.0,21.0,28.0,54.0,32.0,2.0,37.0,24.0
2578,0.0,2.0,70.0,3.0,21.0,29.0,141.0,34.0,20.0,16.0,77.0,5.0,204.0,7.0,18.0,17.0,1.0,97.0,9.0,265.0,65.0,24.0,11.0,15.0,13.0,22.0,10.0,4.0,266.0,31.0
2627,1.0,0.0,190.0,6.0,2.0,19.0,7.0,191.0,111.0,5.0,125.0,14.0,10.0,3.0,104.0,103.0,62.0,90.0,97.0,59.0,37.0,237.0,4.0,24.0,13.0,33.0,28.0,25.0,31.0,15.0
2676,0.0,60.0,32.0,18.0,549.0,12.0,53.0,1.0,178.0,15.0,13.0,10.0,38.0,44.0,21.0,20.0,2.0,86.0,87.0,70.0,17.0,23.0,4.0,93.0,162.0,1208.0,174.0,6.0,35.0,22.0
2725,0.0,51.0,30.0,102.0,363.0,133.0,40.0,9.0,109.0,10.0,2.0,4.0,19.0,21.0,171.0,170.0,28.0,147.0,85.0,14.0,29.0,35.0,89.0,22.0,1.0,13.0,17.0,7.0,64.0,15.0
2774,0.0,5.0,38.0,4.0,40.0,17.0,29.0,1.0,25.0,35.0,2.0,12.0,7.0,16.0,28.0,27.0,8.0,47.0,10.0,185.0,60.0,22.0,3.0,23.0,9.0,105.0,49.0,6.0,34.0,21.0
2823,0.0,8.0,27.0,14.0,25.0,10.0,29.0,18.0,52.0,38.0,19.0,6.0,5.0,51.0,13.0,12.0,3.0,32.0,42.0,39.0,34.0,17.0,2.0,36.0,1.0,181.0,33.0,7.0,24.0,21.0
2872,0.0,9.0,27.0,2.0,46.0,8.0,281.0,1.0,57.0,12.0,13.0,37.0,10.0,4.0,34.0,35.0,7.0,142.0,30.0,41.0,45.0,49.0,15.0,24.0,5.0,180.0,21.0,3.0,61.0,20.0
2921,0.0,10.0,928.0,2.0,15.0,3.0,400.0,20.0,50.0,6.0,1.0,4.0,34.0,199.0,11.0,12.0,5.0,51.0,18.0,24.0,21.0,36.0,17.0,16.0,43.0,25.0,52.0,9.0,39.0,44.0
2970,0.0,8.0,9.0,7.0,19.0,4.0,3.0,42.0,28.0,186.0,18.0,78.0,70.0,17.0,1.0,2.0,13.0,49.0,156.0,6.0,24.0,109.0,60.0,5.0,66.0,23.0,91.0,359.0,117.0,44.0
3019,0.0,12.0,2.0,20.0,43.0,4.0,15.0,28.0,1.0,29.0,3.0,38.0,14.0,6.0,9.0,8.0,59.0,44.0,61.0,21.0,19.0,17.0,13.0,36.0,18.0,11.0,10.0,68.0,66.0,49.0
3068,0.0,5.0,1.0,31.0,22.0,48.0,30.0,208.0,7.0,38.0,6.0,9.0,3.0,13.0,123.0,124.0,32.0,35.0,161.0,21.0,16.0,19.0,295.0,17.0,2.0,36.0,12.0,56.0,96.0,45.0
3117,0.0,1.0,29.0,74.0,5.0,8.0,6.0,9.0,39.0,2.0,78.0,15.0,4.0,14.0,30.0,31.0,273.0,59.0,62.0,24.0,25.0,83.0,11.0,13.0,35.0,3.0,18.0,125.0,12.0,22.0
3166,0.0,9.0,65.0,46.0,24.0,15.0,14.0,6.0,3.0,5.0,13.0,2.0,8.0,4.0,23.0,22.0,111.0,10.0,62.0,51.0,26.0,17.0,36.0,38.0,11.0,1.0,7.0,34.0,27.0,208.0
3215,0.0,52.0,4.0,12.0,64.0,17.0,23.0,8.0,1.0,9.0,16.0,18.0,6.0,2.0,35.0,34.0,21.0,14.0,203.0,10.0,27.0,20.0,260.0,3.0,43.0,7.0,5.0,373.0,40.0,606.0
3264,0.0,5.0,3.0,16.0,19.0,11.0,4.0,2.0,17.0,8.0,6.0,7.0,10.0,13.0,20.0,21.0,26.0,14.0,149.0,22.0,9.0,18.0,24.0,12.0,50.0,23.0,41.0,25.0,39.0,59.0
3313,0.0,11.0,1.0,129.0,86.0,19.0,5.0,12.0,8.0,3.0,24.0,27.0,82.0,7.0,21.0,22.0,40.0,16.0,102.0,26.0,6.0,37.0,45.0,156.0,1389.0,2.0,13.0,35.0,107.0,28.0
3362,0.0,2.0,1.0,21.0,9.0,20.0,13.0,5.0,7.0,11.0,3.0,4.0,6.0,8.0,46.0,45.0,156.0,28.0,104.0,30.0,10.0,12.0,61.0,14.0,16.0,25.0,31.0,63.0,26.0,47.0
3411,0.0,267.0,23.0,84.0,524.0,27.0,14.0,5.0,16.0,4.0,15.0,20.0,3.0,62.0,19.0,18.0,24.0,17.0,498.0,28.0,6.0,76.0,7.0,33.0,2.0,55.0,22.0,74.0,153.0,37.0
3460,0.0,1.0,2.0,6.0,3.0,8.0,5.0,9.0,21.0,80.0,54.0,22.0,11.0,16.0,13.0,12.0,52.0,50.0,17.0,7.0,4.0,200.0,10.0,25.0,124.0,83.0,37.0,101.0,14.0,19.0
3509,0.0,9.0,1.0,73.0,22.0,2.0,8.0,106.0,10.0,142.0,34.0,54.0,21.0,7.0,4.0,5.0,12.0,233.0,29.0,79.0,11.0,41.0,6.0,19.0,27.0,150.0,109.0,23.0,13.0,57.0
3558,1.0,15.0,0.0,62.0,59.0,8.0,21.0,9.0,87.0,61.0,7.0,39.0,24.0,17.0,22.0,23.0,4.0,53.0,74.0,3.0,12.0,32.0,2.0,10.0,6.0,35.0,20.0,34.0,19.0,68.0
3607,0.0,14.0,1.0,21.0,38.0,3.0,2.0,6.0,24.0,59.0,22.0,43.0,12.0,28.0,8.0,7.0,4.0,51.0,25.0,11.0,65.0,32.0,10.0,5.0,15.0,609.0,29.0,27.0,13.0,17.0
3656,0.0,63.0,1.0,15.0,247.0,2.0,3.0,14.0,684.0,330.0,12.0,149.0,11.0,7.0,6.0,5.0,10.0,29.0,47.0,4.0,8.0,22.0,19.0,18.0,151.0,150.0,332.0,42.0,13.0,20.0
3705,0.0,3.0,1.0,33.0,10.0,7.0,2.0,20.0,114.0,192.0,9.0,92.0,21.0,278.0,5.0,6.0,14.0,32.0,27.0,4.0,44.0,16.0,24.0,8.0,42.0,159.0,67.0,29.0,13.0,73.0
3754,0.0,2.0,1.0,17.0,4.0,6.0,8.0,12.0,36.0,51.0,3.0,22.0,13.0,11.0,10.0,9.0,14.0,38.0,20.0,5.0,7.0,21.0,15.0,23.0,18.0,44.0,67.0,40.0,16.0,31.0
3803,2.0,5.0,0.0,24.0,8.0,1.0,7.0,13.0,65.0,8914.0,12.0,41.0,17.0,34.0,3.0,4.0,21.0,129.0,50.0,6.0,16.0,36.0,22.0,47.0,18.0,1854.0,73.0,78.0,11.0,30.0
3852,0.0,27.0,1.0,21.0,25.0,3.0,2.0,6.0,75.0,12.0,22.0,102.0,11.0,183.0,4.0,5.0,9.0,59.0,43.0,7.0,18.0,37.0,20.0,23.0,30.0,705.0,45.0,31.0,8.0,539.0
3901,0.0,21.0,13.0,3.0,31.0,7.0,2.0,5.0,12.0,10069.0,28.0,37.0,16.0,1633.0,15.0,14.0,11.0,24.0,18.0,9.0,8.0,25.0,823.0,10.0,41.0,1368.0,119.0,48.0,1.0,27.0
3950,2.0,0.0,13.0,14.0,1.0,7.0,5.0,24.0,9.0,4.0,36.0,16.0,50.0,27.0,30.0,29.0,34.0,6.0,10.0,66.0,40.0,23.0,17.0,99.0,57.0,12.0,78.0,20.0,53.0,26.0
3999,2.0,10.0,0.0,31.0,19.0,1.0,4.0,25.0,13.0,5.0,51.0,18.0,48.0,86.0,8.0,9.0,16.0,17.0,6.0,826.0,14.0,37.0,3.0,39.0,7.0,22.0,26.0,20.0,45.0,66.0
4048,0.0,3.0,2.0,18.0,1.0,4.0,11.0,19.0,16.0,9.0,12.0,7.0,23.0,429.0,6.0,5.0,17.0,8.0,14.0,66.0,26.0,15.0,22.0,39.0,13.0,21.0,60.0,31.0,28.0,75.0
4097,5.0,0.0,4.0,25.0,1.0,11.0,2.0,157.0,104.0,3.0,405.0,6.0,63.0,6543.0,9.0,10.0,47.0,12.0,8.0,55.0,24.0,26.0,21.0,39.0,343.0,22.0,30.0,153.0,373.0,15.0
4146,0.0,17.0,2.0,14.0,29.0,10.0,4.0,5.0,7.0,1.0,9.0,6.0,22.0,68.0,16.0,15.0,23.0,27.0,3.0,119.0,21.0,18.0,8.0,36.0,32.0,20.0,25.0,11.0,53.0,13.0
4195,1.0,5.0,0.0,15.0,8.0,9.0,2.0,13.0,78.0,3.0,28.0,18.0,62.0,35.0,32.0,33.0,11.0,10.0,4.0,108.0,30.0,16.0,7.0,112.0,65.0,6.0,61.0,12.0,53.0,40.0
4244,1.0,7.0,4.0,28.0,11.0,5.0,2.0,21.0,13.0,0.0,3.0,48.0,9.0,76.0,17.0,18.0,645.0,6.0,25.0,171.0,15.0,26.0,8.0,395.0,12.0,10.0,35.0,19.0,59.0,44.0
4293,2.0,18.0,0.0,25.0,36.0,4.0,13.0,40.0,11.0,24.0,20.0,10.0,51.0,7.0,27.0,26.0,9.0,17.0,3.0,33.0,12.0,34.0,1.0,39.0,43.0,6.0,35.0,15.0,37.0,22.0
4342,5.0,4.0,1.0,2.0,11.0,15.0,0.0,36.0,8.0,10.0,56.0,13.0,28.0,74.0,31.0,30.0,27.0,7.0,3.0,2334.0,20.0,18.0,6.0,66.0,14.0,23.0,89.0,12.0,49.0,332.0
4391,0.0,17.0,14.0,10.0,34.0,4.0,6.0,2.0,292.0,5.0,218.0,35.0,21.0,276.0,11.0,12.0,52.0,23.0,3.0,497.0,46.0,41.0,1.0,734.0,67.0,15.0,53.0,47.0,91.0,13.0
4440,0.0,2.0,5.0,10.0,8.0,66.0,7.0,22.0,3.0,4.0,13.0,38.0,1.0,12.0,87.0,86.0,266.0,28.0,6.0,11.0,21.0,239.0,377.0,26.0,55.0,1095.0,20.0,490.0,36.0,46.0
4489,3.0,102.0,13.0,12.0,172.0,5.0,22.0,28.0,0.0,24.0,2.0,8.0,16.0,1.0,6.0,7.0,110.0,9.0,17.0,38.0,62.0,43.0,2780.0,19.0,4.0,928.0,31.0,45.0,34.0,25.0
4538,1.0,2.0,7.0,9.0,3.0,16.0,6.0,154.0,4.0,0.0,5.0,30.0,93.0,53.0,18.0,17.0,14.0,11.0,46.0,49.0,223.0,27.0,41.0,78.0,8.0,346.0,15.0,24.0,103.0,74.0
4587,1.0,3.0,4.0,5.0,15.0,14.0,18.0,8.0,13.0,0.0,2.0,7.0,9.0,27.0,21.0,20.0,60.0,11.0,17.0,26.0,10.0,42.0,3788.0,243.0,16.0,4228.0,45.0,30.0,87.0,62.0
4636,0.0,1.0,2.0,3.0,4.0,5.0,45.0,1261.0,18.0,13.0,6.0,25.0,11.0,12.0,7.0,8.0,100.0,34.0,21.0,20.0,38.0,103.0,264.0,26.0,23.0,1422.0,28.0,31.0,68.0,37.0
4685,0.0,5.0,8.0,9.0,13.0,3.0,10.0,19.0,11.0,2.0,1.0,74.0,109.0,307.0,6.0,7.0,14.0,20.0,12.0,62.0,67.0,29.0,88.0,22.0,85.0,60.0,210.0,35.0,51.0,4.0
4734,1.0,25.0,48.0,18.0,59.0,4.0,24.0,30.0,8.0,0.0,7.0,11.0,15.0,87.0,3.0,2.0,82.0,16.0,14.0,50.0,35.0,38.0,20.0,44.0,12.0,344.0,43.0,39.0,31.0,37.0
4783,5.0,10.0,12.0,2.0,11.0,25.0,49.0,23.0,3.0,0.0,1.0,4.0,6.0,70.0,41.0,42.0,32.0,8.0,7.0,16.0,14.0,33.0,183.0,40.0,9.0,202.0,19.0,57.0,20.0,68.0
4832,1.0,0.0,83.0,8.0,2.0,19.0,12.0,20.0,5.0,3.0,7.0,13.0,6.0,4.0,37.0,36.0,188.0,9.0,15.0,27.0,22.0,82.0,10.0,41.0,25.0,94.0,68.0,51.0,50.0,29.0
4881,0.0,2.0,8.0,29.0,11.0,7.0,10.0,21.0,14.0,4.0,1.0,17.0,5.0,9.0,13.0,12.0,44.0,15.0,26.0,16.0,6.0,56.0,3.0,75.0,52.0,252.0,18.0,84.0,77.0,49.0
