,hsa-miR-328,hsa-miR-579,hsa-miR-363,hsa-miR-371-3p,hsa-miR-516a-5p,hsa-miR-608,hsa-miR-218,hsa-miR-1302,hsa-miR-885-5p,hsa-miR-30a,hsa-miR-577,hsa-miR-1271,hsa-miR-147,hsa-miR-2113,hsa-miR-582-5p,hsa-miR-499-3p,hsa-miR-342-3p,hsa-miR-30c,hsa-miR-1977,ebv-miR-BART19-5p,ebv-miR-BART11-5p,hsa-miR-1301,hsa-miR-488,hsa-miR-551a,hsa-miR-638,hsv1-miR-H8,hsa-miR-612,ebv-miR-BART18-5p,hsa-miR-519d,hsa-miR-573
852,11.0,24.0,28.0,18.0,518.0,153.0,36.0,37.0,50.0,432.0,66.0,132.0,80.0,20.0,13.0,114.0,593.0,51.0,494.0,52.0,91.0,77.0,116.0,58.0,182.0,74.0,100.0,288.0,60.0,7.0
901,84.0,199.0,13.0,33.0,73.0,24.0,75.0,451.0,87.0,579.0,47.0,10.0,42.0,420.0,195.0,49.0,118.0,57.0,44.0,103.0,35.0,117.0,104.0,54.0,26.0,143.0,149.0,88.0,61.0,8.0
950,18.0,1.0,10.0,30.0,525.0,103.0,50.0,592.0,12.0,7.0,53.0,29.0,67.0,85.0,16.0,48.0,104.0,57.0,137.0,13.0,76.0,74.0,40.0,52.0,177.0,111.0,83.0,128.0,20.0,146.0
999,66.0,247.0,17.0,57.0,150.0,33.0,42.0,27.0,63.0,139.0,4.0,82.0,69.0,67.0,119.0,75.0,9.0,36.0,97.0,38.0,106.0,123.0,86.0,104.0,92.0,138.0,56.0,269.0,91.0,218.0
1048,3.0,2.0,20.0,10.0,34.0,42.0,74.0,41.0,335.0,129.0,93.0,75.0,53.0,13.0,24.0,83.0,49.0,164.0,14.0,64.0,367.0,105.0,45.0,126.0,106.0,102.0,89.0,100.0,108.0,223.0
1097,0.0,4.0,90.0,72.0,20.0,42.0,82.0,576.0,332.0,434.0,214.0,51.0,24.0,22.0,26.0,102.0,28.0,32.0,74.0,70.0,363.0,111.0,133.0,116.0,156.0,40.0,68.0,92.0,110.0,218.0
1146,1.0,128.0,34.0,134.0,66.0,21.0,43.0,59.0,27.0,402.0,108.0,12.0,23.0,97.0,5.0,116.0,123.0,120.0,77.0,29.0,112.0,143.0,57.0,135.0,85.0,46.0,58.0,299.0,528.0,229.0
1195,0.0,3.0,26.0,37.0,5.0,30.0,48.0,107.0,336.0,61.0,137.0,59.0,38.0,19.0,13.0,74.0,12.0,112.0,51.0,33.0,22.0,81.0,36.0,103.0,174.0,8.0,91.0,104.0,84.0,54.0
1244,599.0,19.0,31.0,87.0,61.0,51.0,68.0,39.0,22.0,426.0,126.0,96.0,44.0,404.0,60.0,95.0,2.0,170.0,23.0,62.0,356.0,110.0,605.0,134.0,158.0,311.0,78.0,5.0,97.0,214.0
1293,40.0,11.0,20.0,108.0,31.0,75.0,49.0,580.0,63.0,396.0,145.0,12.0,71.0,106.0,6.0,100.0,45.0,102.0,113.0,54.0,368.0,134.0,120.0,81.0,89.0,32.0,59.0,316.0,78.0,19.0
1342,13.0,40.0,64.0,72.0,38.0,49.0,71.0,406.0,355.0,435.0,20.0,521.0,45.0,85.0,2.0,83.0,8.0,98.0,43.0,39.0,116.0,113.0,108.0,110.0,147.0,148.0,117.0,286.0,512.0,241.0
1391,2.0,9.0,25.0,50.0,19.0,75.0,88.0,499.0,6.0,417.0,134.0,23.0,93.0,396.0,34.0,26.0,15.0,416.0,148.0,84.0,317.0,92.0,66.0,124.0,74.0,62.0,61.0,52.0,120.0,196.0
1440,1.0,0.0,38.0,136.0,11.0,63.0,84.0,16.0,50.0,427.0,36.0,44.0,94.0,91.0,2.0,57.0,14.0,151.0,43.0,117.0,67.0,134.0,69.0,221.0,179.0,13.0,52.0,61.0,535.0,202.0
1489,25.0,11.0,14.0,80.0,45.0,30.0,53.0,119.0,18.0,19.0,39.0,629.0,34.0,10.0,150.0,42.0,591.0,79.0,487.0,144.0,40.0,83.0,607.0,113.0,137.0,110.0,106.0,5.0,510.0,223.0
1538,4.0,6.0,36.0,21.0,513.0,51.0,22.0,82.0,28.0,40.0,10.0,607.0,35.0,49.0,107.0,100.0,55.0,423.0,17.0,304.0,122.0,99.0,603.0,146.0,110.0,83.0,79.0,114.0,537.0,42.0
1587,3.0,259.0,20.0,18.0,72.0,23.0,30.0,19.0,51.0,17.0,21.0,54.0,158.0,397.0,70.0,90.0,584.0,419.0,102.0,146.0,68.0,69.0,46.0,145.0,191.0,104.0,113.0,5.0,142.0,109.0
1636,28.0,6.0,10.0,16.0,85.0,60.0,44.0,96.0,338.0,414.0,5.0,230.0,43.0,26.0,258.0,63.0,417.0,102.0,12.0,80.0,131.0,120.0,42.0,99.0,130.0,64.0,76.0,288.0,514.0,209.0
1685,1.0,22.0,36.0,39.0,573.0,29.0,103.0,317.0,17.0,413.0,55.0,154.0,23.0,25.0,153.0,10.0,117.0,100.0,89.0,149.0,18.0,101.0,111.0,49.0,173.0,75.0,63.0,8.0,533.0,235.0
1734,1.0,23.0,11.0,78.0,28.0,14.0,98.0,433.0,85.0,444.0,134.0,75.0,141.0,25.0,62.0,43.0,138.0,164.0,92.0,291.0,10.0,30.0,41.0,42.0,203.0,15.0,64.0,65.0,521.0,61.0
1783,1.0,0.0,92.0,40.0,5.0,82.0,54.0,50.0,118.0,429.0,114.0,135.0,22.0,38.0,55.0,9.0,84.0,45.0,15.0,87.0,30.0,68.0,48.0,154.0,201.0,100.0,110.0,309.0,52.0,42.0
1832,2.0,0.0,29.0,35.0,41.0,80.0,87.0,24.0,49.0,3.0,42.0,547.0,108.0,118.0,65.0,140.0,449.0,121.0,172.0,117.0,96.0,107.0,102.0,544.0,185.0,75.0,126.0,301.0,527.0,228.0
1881,34.0,13.0,30.0,55.0,82.0,81.0,62.0,91.0,71.0,75.0,28.0,25.0,119.0,8.0,6.0,96.0,587.0,87.0,482.0,59.0,20.0,103.0,52.0,44.0,204.0,72.0,63.0,286.0,57.0,53.0
1930,25.0,50.0,19.0,54.0,75.0,36.0,142.0,554.0,102.0,6.0,33.0,45.0,49.0,89.0,85.0,35.0,51.0,5.0,471.0,131.0,92.0,100.0,99.0,558.0,91.0,94.0,87.0,64.0,541.0,254.0
1979,6.0,232.0,14.0,43.0,526.0,260.0,77.0,424.0,56.0,75.0,10.0,125.0,42.0,32.0,76.0,35.0,71.0,28.0,12.0,111.0,327.0,48.0,98.0,70.0,105.0,41.0,58.0,288.0,516.0,256.0
2028,10.0,7.0,21.0,38.0,14.0,256.0,49.0,75.0,53.0,17.0,135.0,41.0,18.0,93.0,223.0,57.0,121.0,107.0,111.0,61.0,2.0,131.0,25.0,102.0,92.0,157.0,162.0,69.0,80.0,155.0
2077,16.0,3.0,19.0,45.0,58.0,174.0,113.0,88.0,256.0,39.0,20.0,12.0,378.0,594.0,57.0,90.0,611.0,89.0,67.0,95.0,282.0,47.0,102.0,83.0,105.0,141.0,104.0,68.0,52.0,114.0
2126,22.0,0.0,17.0,115.0,45.0,112.0,63.0,36.0,71.0,105.0,24.0,21.0,462.0,403.0,47.0,98.0,58.0,126.0,37.0,76.0,288.0,96.0,38.0,147.0,108.0,309.0,23.0,280.0,513.0,215.0
2175,5.0,12.0,38.0,95.0,11.0,42.0,52.0,31.0,47.0,24.0,112.0,76.0,468.0,478.0,34.0,118.0,17.0,137.0,91.0,45.0,359.0,571.0,71.0,35.0,84.0,30.0,132.0,320.0,511.0,221.0
2224,2.0,6.0,20.0,30.0,17.0,21.0,55.0,109.0,123.0,7.0,112.0,65.0,132.0,591.0,163.0,116.0,91.0,147.0,50.0,82.0,291.0,100.0,92.0,105.0,31.0,149.0,131.0,27.0,541.0,195.0
2273,8.0,0.0,19.0,117.0,14.0,23.0,76.0,15.0,72.0,423.0,112.0,73.0,625.0,107.0,59.0,54.0,453.0,143.0,115.0,151.0,31.0,62.0,145.0,74.0,108.0,36.0,123.0,341.0,12.0,160.0
2322,6.0,0.0,25.0,51.0,28.0,88.0,39.0,158.0,58.0,62.0,17.0,131.0,118.0,494.0,271.0,133.0,26.0,77.0,94.0,75.0,292.0,111.0,56.0,160.0,23.0,61.0,64.0,3.0,521.0,226.0
2371,8.0,1.0,24.0,167.0,38.0,33.0,66.0,9.0,34.0,124.0,56.0,32.0,146.0,133.0,262.0,65.0,92.0,88.0,36.0,46.0,300.0,115.0,149.0,243.0,90.0,135.0,162.0,50.0,563.0,227.0
2420,5.0,10.0,18.0,77.0,556.0,109.0,59.0,38.0,107.0,45.0,92.0,19.0,93.0,507.0,170.0,96.0,118.0,9.0,130.0,137.0,86.0,100.0,139.0,90.0,26.0,114.0,138.0,336.0,76.0,232.0
2469,26.0,10.0,30.0,96.0,133.0,270.0,101.0,29.0,352.0,423.0,171.0,56.0,108.0,11.0,8.0,60.0,157.0,44.0,74.0,113.0,94.0,42.0,82.0,98.0,126.0,127.0,80.0,342.0,112.0,88.0
2518,16.0,216.0,18.0,17.0,560.0,197.0,47.0,438.0,12.0,585.0,53.0,91.0,31.0,55.0,29.0,28.0,38.0,584.0,378.0,117.0,90.0,135.0,73.0,133.0,245.0,147.0,50.0,69.0,551.0,14.0
2567,8.0,6.0,30.0,44.0,28.0,178.0,54.0,33.0,5.0,9.0,122.0,31.0,29.0,416.0,181.0,35.0,63.0,139.0,403.0,150.0,60.0,42.0,123.0,152.0,80.0,249.0,124.0,315.0,553.0,241.0
2616,17.0,8.0,31.0,18.0,50.0,103.0,94.0,58.0,315.0,13.0,22.0,54.0,493.0,1.0,192.0,65.0,6.0,81.0,37.0,110.0,70.0,95.0,74.0,44.0,72.0,154.0,63.0,80.0,125.0,254.0
2665,579.0,244.0,20.0,30.0,26.0,204.0,66.0,57.0,274.0,43.0,99.0,495.0,68.0,5.0,100.0,108.0,12.0,37.0,67.0,136.0,10.0,87.0,114.0,143.0,72.0,111.0,119.0,300.0,557.0,45.0
2714,10.0,248.0,17.0,4.0,510.0,111.0,75.0,39.0,122.0,15.0,31.0,49.0,65.0,5.0,103.0,42.0,13.0,34.0,490.0,44.0,348.0,76.0,604.0,113.0,82.0,302.0,118.0,7.0,89.0,58.0
2763,5.0,214.0,23.0,26.0,508.0,76.0,72.0,34.0,166.0,75.0,2.0,29.0,28.0,7.0,65.0,32.0,3.0,150.0,48.0,161.0,46.0,120.0,151.0,99.0,112.0,165.0,111.0,25.0,122.0,67.0
2812,6.0,14.0,18.0,20.0,13.0,75.0,68.0,39.0,353.0,1.0,38.0,24.0,29.0,0.0,8.0,40.0,100.0,83.0,57.0,109.0,264.0,124.0,111.0,147.0,87.0,138.0,118.0,256.0,558.0,248.0
2861,4.0,7.0,29.0,99.0,28.0,55.0,66.0,0.0,50.0,53.0,98.0,71.0,119.0,27.0,242.0,56.0,65.0,100.0,463.0,40.0,110.0,42.0,49.0,87.0,34.0,103.0,83.0,316.0,69.0,226.0
2910,3.0,0.0,43.0,164.0,528.0,67.0,92.0,12.0,355.0,150.0,99.0,75.0,27.0,6.0,263.0,124.0,60.0,130.0,47.0,136.0,108.0,55.0,153.0,73.0,26.0,42.0,80.0,289.0,518.0,10.0
2959,30.0,9.0,10.0,38.0,13.0,27.0,39.0,158.0,5.0,398.0,113.0,52.0,109.0,20.0,212.0,36.0,430.0,44.0,462.0,50.0,70.0,120.0,87.0,41.0,165.0,40.0,74.0,64.0,15.0,51.0
3008,6.0,1.0,12.0,134.0,106.0,85.0,48.0,34.0,51.0,7.0,114.0,58.0,80.0,14.0,157.0,81.0,56.0,414.0,406.0,311.0,9.0,70.0,45.0,111.0,181.0,73.0,88.0,65.0,60.0,21.0
3057,21.0,17.0,16.0,98.0,50.0,38.0,32.0,147.0,86.0,15.0,148.0,84.0,118.0,25.0,74.0,90.0,122.0,45.0,165.0,40.0,29.0,87.0,85.0,159.0,94.0,112.0,28.0,302.0,528.0,30.0
3106,167.0,11.0,14.0,66.0,36.0,83.0,153.0,20.0,26.0,440.0,140.0,110.0,120.0,56.0,116.0,119.0,72.0,27.0,125.0,90.0,57.0,82.0,112.0,47.0,139.0,86.0,161.0,290.0,5.0,126.0
3155,12.0,4.0,9.0,42.0,524.0,55.0,38.0,25.0,70.0,3.0,87.0,536.0,127.0,35.0,110.0,76.0,475.0,50.0,502.0,47.0,359.0,121.0,615.0,97.0,82.0,86.0,130.0,290.0,39.0,37.0
3204,6.0,16.0,11.0,44.0,19.0,31.0,80.0,488.0,111.0,24.0,37.0,526.0,71.0,69.0,39.0,100.0,83.0,51.0,504.0,70.0,88.0,152.0,119.0,129.0,206.0,66.0,215.0,283.0,89.0,112.0
3253,18.0,2.0,5.0,70.0,163.0,35.0,109.0,55.0,95.0,155.0,15.0,33.0,36.0,75.0,243.0,7.0,22.0,590.0,79.0,45.0,67.0,92.0,526.0,4.0,93.0,132.0,159.0,302.0,87.0,30.0
3302,16.0,1.0,17.0,41.0,51.0,47.0,38.0,61.0,54.0,11.0,53.0,75.0,464.0,112.0,15.0,133.0,97.0,424.0,30.0,45.0,114.0,102.0,605.0,37.0,42.0,124.0,153.0,265.0,535.0,5.0
3351,9.0,8.0,12.0,64.0,73.0,78.0,22.0,577.0,59.0,74.0,85.0,51.0,39.0,21.0,116.0,60.0,431.0,23.0,460.0,66.0,91.0,118.0,625.0,46.0,63.0,108.0,214.0,301.0,24.0,100.0
3400,4.0,225.0,15.0,162.0,22.0,38.0,66.0,40.0,17.0,20.0,16.0,120.0,53.0,48.0,45.0,134.0,431.0,43.0,107.0,166.0,369.0,136.0,79.0,93.0,213.0,125.0,123.0,300.0,49.0,232.0
3449,3.0,237.0,24.0,49.0,45.0,17.0,31.0,175.0,56.0,164.0,150.0,5.0,413.0,20.0,81.0,86.0,61.0,396.0,155.0,151.0,64.0,172.0,622.0,92.0,50.0,40.0,148.0,13.0,110.0,261.0
3498,9.0,215.0,58.0,168.0,54.0,12.0,38.0,106.0,33.0,570.0,73.0,8.0,132.0,7.0,147.0,63.0,618.0,157.0,36.0,136.0,78.0,153.0,509.0,162.0,51.0,110.0,85.0,56.0,544.0,67.0
3547,578.0,6.0,42.0,29.0,20.0,52.0,36.0,443.0,358.0,25.0,17.0,463.0,486.0,68.0,161.0,54.0,70.0,122.0,72.0,37.0,24.0,87.0,105.0,143.0,59.0,123.0,131.0,266.0,108.0,78.0
3596,18.0,65.0,86.0,106.0,21.0,248.0,64.0,157.0,41.0,104.0,72.0,15.0,452.0,155.0,69.0,122.0,77.0,17.0,84.0,47.0,127.0,129.0,56.0,51.0,54.0,317.0,154.0,85.0,88.0,221.0
3645,0.0,1.0,100.0,29.0,32.0,102.0,65.0,70.0,332.0,99.0,107.0,58.0,108.0,37.0,49.0,119.0,16.0,34.0,41.0,43.0,364.0,165.0,95.0,167.0,131.0,143.0,66.0,116.0,520.0,221.0
3694,1.0,0.0,28.0,21.0,105.0,48.0,32.0,88.0,18.0,5.0,102.0,20.0,46.0,39.0,133.0,159.0,24.0,33.0,30.0,142.0,58.0,112.0,114.0,41.0,54.0,156.0,153.0,338.0,40.0,84.0
3743,7.0,3.0,9.0,35.0,43.0,31.0,47.0,121.0,34.0,103.0,38.0,23.0,169.0,62.0,51.0,151.0,85.0,411.0,32.0,65.0,99.0,71.0,601.0,92.0,122.0,154.0,160.0,28.0,1.0,239.0
3792,16.0,38.0,28.0,73.0,62.0,10.0,29.0,163.0,12.0,434.0,70.0,3.0,493.0,31.0,100.0,127.0,422.0,129.0,49.0,110.0,374.0,134.0,36.0,142.0,7.0,147.0,155.0,144.0,107.0,223.0
3841,1.0,5.0,30.0,35.0,11.0,67.0,44.0,466.0,77.0,42.0,151.0,56.0,19.0,39.0,23.0,125.0,577.0,32.0,41.0,18.0,13.0,122.0,119.0,131.0,74.0,83.0,17.0,312.0,103.0,66.0
3890,0.0,248.0,46.0,75.0,10.0,26.0,96.0,238.0,358.0,461.0,22.0,104.0,578.0,57.0,39.0,139.0,31.0,127.0,43.0,119.0,19.0,164.0,33.0,59.0,56.0,37.0,274.0,347.0,629.0,254.0
3939,4.0,0.0,50.0,155.0,26.0,109.0,64.0,22.0,11.0,41.0,130.0,86.0,8.0,468.0,23.0,83.0,48.0,47.0,37.0,151.0,120.0,56.0,74.0,51.0,7.0,122.0,143.0,3.0,12.0,244.0
3988,17.0,113.0,27.0,16.0,515.0,47.0,50.0,60.0,313.0,7.0,5.0,109.0,3.0,399.0,6.0,79.0,23.0,36.0,446.0,72.0,321.0,54.0,94.0,168.0,66.0,144.0,162.0,311.0,28.0,99.0
4037,56.0,184.0,12.0,609.0,559.0,14.0,73.0,8.0,13.0,34.0,109.0,74.0,57.0,416.0,86.0,50.0,71.0,52.0,69.0,27.0,16.0,31.0,514.0,26.0,35.0,98.0,205.0,257.0,4.0,202.0
4086,0.0,26.0,38.0,32.0,27.0,31.0,71.0,130.0,77.0,8.0,21.0,52.0,55.0,430.0,1.0,50.0,569.0,68.0,381.0,158.0,140.0,66.0,148.0,100.0,183.0,53.0,170.0,269.0,169.0,115.0
4135,11.0,2.0,32.0,19.0,12.0,128.0,98.0,29.0,67.0,4.0,57.0,14.0,79.0,483.0,34.0,118.0,71.0,35.0,69.0,46.0,105.0,84.0,149.0,107.0,75.0,102.0,122.0,30.0,54.0,39.0
4184,28.0,19.0,18.0,12.0,38.0,131.0,52.0,26.0,81.0,411.0,16.0,168.0,63.0,482.0,228.0,31.0,25.0,91.0,64.0,147.0,377.0,112.0,110.0,46.0,50.0,87.0,54.0,368.0,9.0,7.0
4233,3.0,8.0,40.0,137.0,572.0,74.0,79.0,24.0,345.0,95.0,36.0,20.0,46.0,481.0,226.0,84.0,23.0,77.0,73.0,109.0,373.0,91.0,97.0,132.0,92.0,112.0,125.0,336.0,110.0,236.0
4282,15.0,246.0,83.0,68.0,518.0,22.0,40.0,18.0,287.0,411.0,72.0,425.0,54.0,383.0,92.0,38.0,9.0,101.0,129.0,133.0,318.0,111.0,35.0,45.0,93.0,73.0,116.0,8.0,131.0,253.0
4331,5.0,1.0,25.0,147.0,30.0,31.0,81.0,50.0,61.0,98.0,67.0,84.0,60.0,37.0,0.0,55.0,76.0,41.0,110.0,291.0,20.0,584.0,93.0,33.0,54.0,119.0,83.0,293.0,89.0,15.0
4380,8.0,4.0,27.0,575.0,515.0,33.0,60.0,10.0,35.0,37.0,130.0,65.0,16.0,406.0,52.0,109.0,589.0,23.0,104.0,110.0,75.0,47.0,99.0,49.0,105.0,51.0,141.0,45.0,19.0,210.0
4429,29.0,239.0,13.0,30.0,151.0,24.0,36.0,6.0,98.0,41.0,26.0,462.0,54.0,129.0,235.0,53.0,97.0,75.0,106.0,103.0,91.0,68.0,524.0,102.0,125.0,138.0,63.0,19.0,79.0,69.0
4478,596.0,263.0,12.0,33.0,90.0,24.0,48.0,27.0,53.0,16.0,68.0,64.0,454.0,135.0,259.0,95.0,585.0,420.0,30.0,96.0,19.0,118.0,604.0,119.0,113.0,108.0,81.0,67.0,164.0,28.0
4527,2.0,119.0,47.0,89.0,33.0,23.0,34.0,56.0,22.0,19.0,97.0,84.0,74.0,52.0,263.0,78.0,38.0,149.0,461.0,290.0,361.0,114.0,617.0,134.0,29.0,132.0,204.0,292.0,517.0,103.0
4576,40.0,204.0,15.0,33.0,10.0,32.0,43.0,16.0,52.0,121.0,137.0,60.0,13.0,94.0,82.0,104.0,90.0,85.0,78.0,97.0,34.0,108.0,509.0,133.0,122.0,154.0,145.0,30.0,542.0,39.0
4625,420.0,219.0,12.0,109.0,73.0,29.0,42.0,106.0,66.0,54.0,142.0,267.0,76.0,19.0,17.0,56.0,437.0,39.0,118.0,141.0,14.0,51.0,626.0,102.0,122.0,153.0,50.0,23.0,99.0,225.0
4674,622.0,13.0,22.0,26.0,14.0,56.0,24.0,20.0,87.0,57.0,58.0,35.0,60.0,69.0,197.0,83.0,36.0,567.0,109.0,42.0,65.0,119.0,504.0,132.0,320.0,156.0,105.0,17.0,117.0,129.0
4723,26.0,6.0,12.0,63.0,142.0,25.0,30.0,78.0,87.0,5.0,125.0,60.0,109.0,374.0,46.0,74.0,569.0,97.0,122.0,28.0,47.0,62.0,70.0,91.0,93.0,19.0,20.0,0.0,118.0,113.0
4772,6.0,1.0,21.0,29.0,140.0,66.0,74.0,54.0,59.0,56.0,18.0,110.0,379.0,495.0,162.0,362.0,57.0,627.0,8.0,61.0,45.0,75.0,504.0,46.0,122.0,97.0,104.0,16.0,119.0,42.0
4821,13.0,52.0,58.0,32.0,560.0,26.0,23.0,85.0,63.0,29.0,101.0,18.0,485.0,425.0,216.0,64.0,28.0,587.0,379.0,16.0,104.0,67.0,152.0,90.0,180.0,94.0,72.0,258.0,78.0,91.0
4870,26.0,12.0,29.0,36.0,72.0,114.0,40.0,50.0,81.0,420.0,135.0,134.0,62.0,402.0,51.0,99.0,111.0,169.0,129.0,59.0,286.0,117.0,61.0,161.0,77.0,100.0,44.0,19.0,535.0,140.0
