,P-Cadherin,EGFR,Shc_pY317,RSK1-2-3,VAV1,G6PD,Caveolin-1,C-Raf_pS338,ADAR1,Bcl-2,EGFR_pY1068,Rab25,VHL,Annexin_VII,Annexin 1,E-Cadherin,4E-BP1,SHP-2_pY542,Heregulin,Gab2,FOXO3a,Bim(EP1036),HER2,HER2_pY1248,Bad_pS112,CD31,PKC-alpha,RAD51,AMPK_pT172,Src_pY416
3776,1.0,0.0,3.0,4.0,6.0,5.0,8.0,2.0,7.0,12.0,9.0,10.0,27.0,14.0,11.0,13.0,15.0,21.0,17.0,125.0,127.0,25.0,115.0,114.0,92.0,28.0,20.0,76.0,106.0,16.0
3825,0.0,1.0,5.0,3.0,10.0,2.0,6.0,7.0,4.0,12.0,16.0,28.0,18.0,13.0,19.0,11.0,8.0,14.0,22.0,127.0,26.0,98.0,120.0,119.0,29.0,20.0,30.0,33.0,104.0,15.0
3874,0.0,1.0,5.0,7.0,18.0,4.0,6.0,3.0,12.0,9.0,10.0,19.0,20.0,8.0,13.0,15.0,2.0,16.0,50.0,102.0,28.0,36.0,35.0,29.0,83.0,14.0,30.0,64.0,34.0,31.0
3923,1.0,0.0,2.0,7.0,18.0,17.0,4.0,12.0,5.0,6.0,22.0,3.0,59.0,11.0,21.0,26.0,23.0,15.0,34.0,31.0,10.0,14.0,13.0,9.0,125.0,99.0,32.0,20.0,110.0,19.0
3972,1.0,0.0,2.0,3.0,8.0,23.0,7.0,17.0,9.0,6.0,10.0,4.0,21.0,28.0,24.0,25.0,26.0,11.0,116.0,29.0,5.0,33.0,13.0,15.0,16.0,92.0,77.0,18.0,105.0,14.0
4021,1.0,0.0,2.0,3.0,8.0,12.0,10.0,11.0,6.0,5.0,21.0,4.0,7.0,23.0,16.0,20.0,13.0,60.0,126.0,118.0,25.0,9.0,15.0,19.0,102.0,92.0,77.0,17.0,106.0,26.0
4070,2.0,0.0,1.0,3.0,7.0,24.0,6.0,18.0,5.0,4.0,12.0,16.0,14.0,33.0,22.0,15.0,11.0,17.0,117.0,20.0,13.0,19.0,8.0,9.0,102.0,91.0,79.0,25.0,106.0,30.0
4119,0.0,1.0,2.0,14.0,4.0,28.0,10.0,3.0,8.0,5.0,19.0,7.0,9.0,105.0,23.0,16.0,24.0,13.0,25.0,20.0,6.0,18.0,17.0,11.0,101.0,89.0,34.0,27.0,106.0,22.0
4168,2.0,0.0,6.0,1.0,18.0,4.0,3.0,5.0,22.0,8.0,20.0,11.0,16.0,26.0,34.0,13.0,29.0,15.0,31.0,10.0,23.0,7.0,12.0,14.0,36.0,37.0,82.0,25.0,128.0,19.0
4217,0.0,1.0,2.0,6.0,4.0,3.0,8.0,5.0,12.0,13.0,11.0,10.0,14.0,9.0,17.0,23.0,110.0,24.0,25.0,16.0,21.0,92.0,20.0,15.0,99.0,85.0,78.0,27.0,103.0,22.0
4266,1.0,0.0,4.0,3.0,7.0,19.0,10.0,5.0,6.0,2.0,17.0,11.0,9.0,26.0,27.0,16.0,8.0,15.0,33.0,12.0,20.0,25.0,14.0,13.0,100.0,113.0,78.0,24.0,104.0,65.0
4315,0.0,1.0,4.0,2.0,25.0,6.0,3.0,20.0,5.0,7.0,9.0,8.0,24.0,22.0,27.0,128.0,10.0,15.0,17.0,16.0,13.0,18.0,12.0,11.0,21.0,95.0,81.0,14.0,36.0,33.0
4364,1.0,0.0,3.0,11.0,2.0,14.0,7.0,5.0,10.0,8.0,27.0,4.0,6.0,21.0,29.0,33.0,20.0,19.0,15.0,17.0,35.0,22.0,9.0,28.0,102.0,25.0,75.0,23.0,106.0,30.0
4413,1.0,0.0,3.0,5.0,9.0,2.0,18.0,6.0,4.0,12.0,11.0,8.0,13.0,10.0,29.0,28.0,17.0,71.0,7.0,20.0,21.0,19.0,25.0,26.0,14.0,23.0,55.0,33.0,15.0,24.0
4462,0.0,3.0,1.0,4.0,6.0,15.0,21.0,7.0,9.0,12.0,2.0,17.0,8.0,5.0,16.0,87.0,107.0,59.0,25.0,104.0,102.0,20.0,26.0,11.0,10.0,23.0,76.0,27.0,14.0,22.0
4511,1.0,0.0,8.0,3.0,7.0,9.0,22.0,2.0,4.0,12.0,6.0,10.0,15.0,13.0,27.0,29.0,19.0,64.0,18.0,21.0,31.0,14.0,113.0,112.0,5.0,25.0,73.0,20.0,17.0,23.0
4560,1.0,0.0,16.0,2.0,5.0,22.0,7.0,3.0,8.0,6.0,12.0,19.0,11.0,4.0,10.0,21.0,24.0,82.0,14.0,25.0,119.0,15.0,32.0,28.0,9.0,23.0,30.0,73.0,13.0,20.0
4609,3.0,1.0,6.0,0.0,4.0,5.0,10.0,2.0,7.0,24.0,14.0,9.0,13.0,11.0,25.0,15.0,110.0,30.0,18.0,31.0,119.0,16.0,117.0,34.0,20.0,26.0,28.0,23.0,8.0,12.0
4658,1.0,0.0,5.0,7.0,2.0,15.0,3.0,4.0,10.0,9.0,8.0,75.0,14.0,6.0,12.0,20.0,24.0,21.0,19.0,33.0,31.0,11.0,23.0,18.0,13.0,29.0,25.0,26.0,16.0,22.0
4707,1.0,0.0,8.0,3.0,6.0,5.0,10.0,4.0,2.0,20.0,11.0,9.0,13.0,12.0,31.0,25.0,29.0,69.0,14.0,19.0,103.0,17.0,115.0,110.0,7.0,27.0,21.0,74.0,24.0,23.0
4756,1.0,0.0,3.0,6.0,4.0,19.0,17.0,2.0,8.0,12.0,9.0,5.0,23.0,7.0,13.0,21.0,109.0,25.0,14.0,20.0,18.0,15.0,121.0,33.0,10.0,34.0,31.0,24.0,16.0,32.0
4805,0.0,1.0,10.0,11.0,2.0,4.0,6.0,3.0,7.0,19.0,13.0,14.0,27.0,8.0,12.0,30.0,110.0,34.0,17.0,28.0,33.0,15.0,23.0,24.0,5.0,26.0,77.0,21.0,16.0,18.0
4854,1.0,0.0,6.0,2.0,3.0,9.0,11.0,4.0,5.0,13.0,8.0,19.0,12.0,14.0,15.0,29.0,28.0,67.0,27.0,18.0,123.0,7.0,25.0,24.0,10.0,34.0,30.0,73.0,16.0,62.0
