,Akt_pS473,RAD51,Heregulin,GATA3,Caspase-7_cleavedD198,PKC-alpha,Cyclin_E1,PKC-pan_BetaII_pS660,Porin,SHP-2_pY542,MSH6,MIG-6,Bid,p27_pT157,Stathmin,Lck,XBP1,Bax,Annexin_VII,A-Raf_pS299,PAI-1,Acetyl-a-Tubulin (Lys40),TFRC,p53,PEA15,VAV1,PI3K-p85,PEA15_pS116,PDCD4,PDK1
1721,0.0,2.0,22.0,18.0,8.0,84.0,13.0,12.0,82.0,27.0,29.0,3.0,98.0,21.0,34.0,141.0,55.0,93.0,30.0,116.0,17.0,38.0,85.0,19.0,4.0,49.0,16.0,87.0,62.0,76.0
1770,7.0,4.0,6.0,1.0,108.0,91.0,9.0,22.0,21.0,75.0,31.0,2.0,11.0,27.0,32.0,5.0,70.0,95.0,34.0,115.0,16.0,118.0,62.0,52.0,18.0,68.0,26.0,19.0,54.0,44.0
1819,1.0,26.0,7.0,9.0,14.0,47.0,6.0,22.0,23.0,27.0,141.0,3.0,34.0,64.0,28.0,4.0,70.0,36.0,145.0,38.0,20.0,45.0,29.0,19.0,51.0,73.0,48.0,21.0,54.0,53.0
1868,2.0,1.0,28.0,10.0,6.0,5.0,22.0,21.0,20.0,76.0,94.0,4.0,12.0,37.0,33.0,26.0,71.0,16.0,31.0,117.0,24.0,127.0,63.0,9.0,44.0,69.0,8.0,25.0,46.0,55.0
1917,9.0,4.0,6.0,7.0,102.0,0.0,150.0,24.0,76.0,78.0,134.0,33.0,5.0,30.0,8.0,25.0,73.0,23.0,37.0,27.0,49.0,118.0,34.0,44.0,16.0,70.0,40.0,41.0,45.0,47.0
1966,4.0,6.0,2.0,161.0,7.0,25.0,0.0,5.0,46.0,8.0,19.0,3.0,101.0,22.0,26.0,17.0,16.0,35.0,134.0,34.0,57.0,69.0,78.0,62.0,67.0,18.0,43.0,31.0,55.0,54.0
2015,7.0,9.0,3.0,12.0,1.0,5.0,16.0,0.0,46.0,27.0,21.0,142.0,114.0,34.0,28.0,147.0,32.0,8.0,36.0,6.0,57.0,95.0,79.0,62.0,52.0,30.0,49.0,51.0,55.0,54.0
2064,5.0,4.0,7.0,1.0,3.0,25.0,150.0,29.0,86.0,0.0,10.0,14.0,22.0,54.0,38.0,140.0,61.0,33.0,31.0,117.0,27.0,34.0,35.0,63.0,78.0,40.0,65.0,26.0,47.0,52.0
2113,5.0,1.0,30.0,133.0,16.0,25.0,15.0,6.0,26.0,92.0,31.0,3.0,136.0,23.0,8.0,20.0,72.0,121.0,150.0,34.0,60.0,35.0,81.0,65.0,55.0,75.0,52.0,54.0,58.0,57.0
2162,4.0,5.0,3.0,2.0,9.0,24.0,112.0,26.0,27.0,25.0,19.0,142.0,6.0,101.0,16.0,147.0,11.0,40.0,36.0,7.0,23.0,44.0,15.0,32.0,55.0,70.0,52.0,54.0,58.0,57.0
2211,0.0,4.0,10.0,9.0,21.0,2.0,109.0,23.0,42.0,88.0,17.0,142.0,100.0,63.0,27.0,14.0,8.0,37.0,35.0,34.0,18.0,33.0,77.0,19.0,65.0,72.0,48.0,64.0,54.0,53.0
2260,5.0,25.0,6.0,3.0,126.0,2.0,1.0,22.0,23.0,91.0,144.0,10.0,41.0,18.0,29.0,0.0,72.0,36.0,39.0,4.0,20.0,67.0,81.0,65.0,56.0,32.0,42.0,55.0,59.0,21.0
2309,0.0,5.0,2.0,6.0,110.0,1.0,23.0,21.0,89.0,25.0,28.0,143.0,11.0,39.0,40.0,33.0,62.0,27.0,4.0,31.0,54.0,120.0,7.0,42.0,45.0,3.0,60.0,41.0,49.0,57.0
2358,35.0,6.0,3.0,16.0,124.0,23.0,2.0,5.0,48.0,1.0,31.0,17.0,37.0,18.0,4.0,149.0,72.0,162.0,142.0,0.0,58.0,39.0,26.0,21.0,53.0,28.0,44.0,22.0,56.0,55.0
2407,6.0,4.0,17.0,1.0,9.0,0.0,12.0,23.0,24.0,27.0,19.0,18.0,36.0,20.0,3.0,147.0,71.0,34.0,38.0,37.0,21.0,72.0,28.0,40.0,56.0,74.0,53.0,55.0,59.0,58.0
2456,0.0,20.0,10.0,18.0,99.0,92.0,151.0,6.0,24.0,9.0,34.0,142.0,7.0,42.0,41.0,145.0,30.0,111.0,123.0,33.0,56.0,117.0,69.0,26.0,21.0,36.0,60.0,45.0,51.0,49.0
2505,0.0,2.0,132.0,27.0,4.0,88.0,152.0,12.0,3.0,28.0,7.0,92.0,9.0,22.0,30.0,139.0,71.0,1.0,6.0,115.0,39.0,33.0,31.0,47.0,44.0,35.0,61.0,49.0,41.0,42.0
2554,10.0,2.0,154.0,7.0,21.0,47.0,19.0,11.0,44.0,0.0,8.0,142.0,4.0,9.0,17.0,147.0,70.0,28.0,6.0,90.0,56.0,30.0,18.0,61.0,51.0,73.0,25.0,50.0,54.0,53.0
2603,2.0,7.0,14.0,0.0,1.0,38.0,6.0,40.0,41.0,5.0,28.0,3.0,129.0,18.0,25.0,15.0,27.0,4.0,153.0,81.0,20.0,37.0,77.0,59.0,63.0,71.0,21.0,48.0,52.0,51.0
2652,0.0,1.0,155.0,6.0,2.0,22.0,14.0,45.0,24.0,27.0,142.0,143.0,36.0,18.0,4.0,9.0,72.0,158.0,37.0,35.0,60.0,50.0,80.0,32.0,19.0,30.0,52.0,53.0,58.0,57.0
2701,7.0,0.0,17.0,11.0,5.0,1.0,107.0,2.0,24.0,26.0,140.0,141.0,29.0,18.0,4.0,146.0,68.0,35.0,32.0,36.0,23.0,43.0,77.0,22.0,49.0,71.0,40.0,9.0,52.0,51.0
2750,0.0,1.0,7.0,2.0,4.0,41.0,21.0,34.0,84.0,3.0,30.0,144.0,13.0,45.0,35.0,140.0,28.0,5.0,37.0,31.0,14.0,120.0,69.0,51.0,48.0,63.0,43.0,44.0,52.0,50.0
2799,0.0,3.0,135.0,2.0,12.0,58.0,152.0,18.0,60.0,4.0,144.0,24.0,8.0,55.0,25.0,29.0,28.0,20.0,124.0,116.0,6.0,120.0,38.0,19.0,44.0,32.0,42.0,40.0,57.0,15.0
2848,3.0,5.0,9.0,0.0,2.0,53.0,12.0,21.0,22.0,1.0,141.0,142.0,4.0,70.0,28.0,147.0,72.0,162.0,37.0,85.0,61.0,58.0,29.0,17.0,56.0,74.0,46.0,67.0,59.0,55.0
2897,3.0,0.0,2.0,4.0,6.0,22.0,118.0,23.0,24.0,27.0,30.0,16.0,1.0,102.0,7.0,151.0,74.0,39.0,146.0,35.0,21.0,51.0,29.0,31.0,58.0,77.0,55.0,57.0,61.0,60.0
2946,0.0,17.0,2.0,1.0,15.0,3.0,21.0,77.0,78.0,4.0,26.0,128.0,11.0,24.0,63.0,141.0,27.0,97.0,126.0,117.0,56.0,127.0,36.0,49.0,41.0,29.0,33.0,8.0,45.0,44.0
2995,35.0,31.0,27.0,4.0,13.0,87.0,17.0,85.0,84.0,33.0,143.0,142.0,5.0,28.0,89.0,139.0,7.0,38.0,3.0,39.0,26.0,118.0,65.0,52.0,23.0,54.0,88.0,21.0,44.0,48.0
3044,2.0,5.0,1.0,4.0,7.0,3.0,10.0,24.0,41.0,26.0,15.0,143.0,37.0,32.0,85.0,14.0,30.0,0.0,101.0,39.0,21.0,36.0,81.0,20.0,22.0,75.0,51.0,23.0,57.0,56.0
3093,7.0,3.0,1.0,147.0,6.0,20.0,152.0,35.0,21.0,12.0,28.0,144.0,13.0,46.0,37.0,32.0,63.0,0.0,39.0,30.0,57.0,127.0,34.0,10.0,48.0,65.0,42.0,47.0,53.0,52.0
3142,1.0,10.0,0.0,20.0,3.0,6.0,4.0,14.0,13.0,2.0,27.0,26.0,29.0,54.0,85.0,136.0,60.0,36.0,5.0,39.0,43.0,37.0,87.0,50.0,92.0,47.0,88.0,30.0,51.0,79.0
3191,0.0,15.0,25.0,6.0,14.0,26.0,154.0,3.0,21.0,9.0,144.0,28.0,103.0,29.0,38.0,4.0,61.0,24.0,125.0,33.0,48.0,118.0,35.0,53.0,46.0,63.0,84.0,19.0,57.0,18.0
3240,6.0,19.0,14.0,24.0,12.0,23.0,3.0,26.0,7.0,1.0,5.0,134.0,107.0,51.0,40.0,138.0,65.0,0.0,33.0,34.0,54.0,117.0,38.0,47.0,60.0,67.0,42.0,16.0,52.0,49.0
3289,2.0,1.0,4.0,5.0,0.0,7.0,14.0,8.0,88.0,26.0,24.0,23.0,103.0,55.0,28.0,139.0,31.0,109.0,35.0,115.0,41.0,36.0,85.0,50.0,51.0,39.0,64.0,62.0,44.0,45.0
3338,0.0,21.0,4.0,1.0,18.0,2.0,25.0,8.0,79.0,13.0,36.0,37.0,10.0,58.0,67.0,23.0,76.0,22.0,3.0,31.0,60.0,124.0,38.0,39.0,59.0,33.0,46.0,45.0,51.0,50.0
3387,0.0,15.0,1.0,14.0,5.0,21.0,2.0,19.0,90.0,6.0,34.0,143.0,104.0,37.0,69.0,145.0,41.0,28.0,33.0,30.0,10.0,32.0,31.0,47.0,45.0,42.0,61.0,59.0,46.0,44.0
3436,5.0,57.0,2.0,15.0,8.0,0.0,21.0,74.0,58.0,83.0,10.0,9.0,4.0,24.0,27.0,139.0,71.0,22.0,28.0,35.0,47.0,29.0,64.0,53.0,39.0,34.0,40.0,13.0,55.0,43.0
3485,0.0,11.0,7.0,2.0,108.0,9.0,21.0,25.0,57.0,74.0,10.0,32.0,102.0,53.0,31.0,29.0,33.0,14.0,4.0,118.0,55.0,26.0,65.0,17.0,39.0,69.0,36.0,38.0,54.0,41.0
3534,0.0,10.0,26.0,19.0,119.0,44.0,106.0,42.0,7.0,87.0,139.0,140.0,3.0,61.0,79.0,5.0,68.0,2.0,31.0,94.0,53.0,30.0,13.0,58.0,47.0,71.0,45.0,39.0,51.0,50.0
3583,0.0,18.0,8.0,25.0,7.0,44.0,152.0,27.0,3.0,26.0,31.0,29.0,10.0,49.0,37.0,32.0,39.0,1.0,127.0,30.0,55.0,35.0,33.0,36.0,47.0,65.0,45.0,40.0,53.0,51.0
3632,1.0,2.0,16.0,147.0,106.0,18.0,7.0,15.0,59.0,74.0,8.0,28.0,14.0,22.0,34.0,37.0,26.0,0.0,124.0,116.0,11.0,23.0,33.0,54.0,43.0,29.0,40.0,42.0,47.0,45.0
3681,3.0,25.0,5.0,162.0,20.0,50.0,13.0,23.0,24.0,91.0,31.0,7.0,37.0,21.0,9.0,1.0,71.0,39.0,143.0,96.0,58.0,46.0,28.0,63.0,53.0,74.0,43.0,52.0,56.0,55.0
3730,3.0,6.0,0.0,18.0,17.0,19.0,21.0,26.0,9.0,80.0,37.0,38.0,11.0,49.0,32.0,1.0,35.0,36.0,34.0,40.0,56.0,128.0,27.0,57.0,59.0,66.0,22.0,46.0,54.0,51.0
3779,0.0,17.0,28.0,24.0,8.0,32.0,154.0,16.0,15.0,38.0,33.0,10.0,1.0,61.0,39.0,141.0,36.0,3.0,110.0,40.0,23.0,118.0,2.0,45.0,20.0,7.0,82.0,84.0,63.0,88.0
3828,1.0,10.0,24.0,20.0,12.0,17.0,6.0,29.0,11.0,71.0,26.0,3.0,104.0,56.0,35.0,4.0,40.0,39.0,127.0,33.0,47.0,121.0,88.0,25.0,92.0,64.0,89.0,66.0,53.0,93.0
3877,9.0,8.0,16.0,24.0,15.0,61.0,21.0,22.0,20.0,0.0,31.0,6.0,1.0,41.0,2.0,3.0,30.0,27.0,124.0,117.0,52.0,120.0,7.0,49.0,40.0,33.0,91.0,42.0,48.0,47.0
3926,2.0,5.0,20.0,6.0,9.0,89.0,153.0,16.0,25.0,15.0,144.0,0.0,26.0,22.0,4.0,3.0,34.0,36.0,1.0,31.0,40.0,35.0,7.0,60.0,61.0,29.0,63.0,91.0,41.0,45.0
3975,0.0,8.0,17.0,27.0,107.0,12.0,153.0,84.0,3.0,89.0,143.0,26.0,16.0,18.0,6.0,139.0,49.0,38.0,4.0,117.0,43.0,36.0,34.0,53.0,64.0,2.0,86.0,88.0,55.0,62.0
4024,1.0,11.0,23.0,4.0,106.0,18.0,153.0,28.0,15.0,29.0,93.0,143.0,2.0,24.0,33.0,140.0,35.0,0.0,32.0,116.0,45.0,34.0,84.0,48.0,63.0,49.0,86.0,88.0,51.0,90.0
4073,0.0,2.0,3.0,155.0,10.0,1.0,150.0,22.0,21.0,79.0,35.0,144.0,7.0,42.0,73.0,139.0,34.0,30.0,37.0,29.0,53.0,33.0,36.0,8.0,44.0,65.0,77.0,47.0,16.0,46.0
4122,0.0,5.0,13.0,159.0,18.0,1.0,106.0,23.0,24.0,87.0,25.0,140.0,2.0,16.0,4.0,145.0,68.0,35.0,30.0,37.0,54.0,49.0,3.0,58.0,6.0,17.0,41.0,63.0,52.0,51.0
4171,0.0,85.0,26.0,5.0,105.0,1.0,151.0,8.0,7.0,13.0,93.0,143.0,12.0,2.0,3.0,139.0,29.0,33.0,4.0,115.0,55.0,32.0,69.0,45.0,14.0,63.0,90.0,43.0,50.0,49.0
4220,0.0,27.0,5.0,18.0,103.0,85.0,14.0,13.0,2.0,46.0,127.0,12.0,1.0,6.0,33.0,142.0,3.0,93.0,29.0,116.0,45.0,28.0,8.0,39.0,62.0,32.0,86.0,61.0,40.0,47.0
4269,3.0,23.0,6.0,0.0,145.0,1.0,157.0,16.0,13.0,21.0,84.0,88.0,15.0,4.0,2.0,142.0,33.0,93.0,5.0,115.0,38.0,118.0,28.0,48.0,24.0,59.0,19.0,56.0,37.0,52.0
4318,0.0,13.0,1.0,11.0,106.0,21.0,20.0,4.0,17.0,5.0,14.0,10.0,97.0,19.0,2.0,140.0,33.0,110.0,31.0,9.0,46.0,32.0,84.0,26.0,22.0,39.0,87.0,89.0,42.0,60.0
4367,0.0,2.0,21.0,18.0,7.0,88.0,12.0,14.0,13.0,28.0,26.0,25.0,16.0,4.0,37.0,24.0,55.0,35.0,1.0,38.0,46.0,5.0,85.0,61.0,77.0,30.0,15.0,17.0,48.0,52.0
4416,0.0,6.0,153.0,2.0,16.0,9.0,109.0,24.0,8.0,89.0,1.0,3.0,100.0,63.0,27.0,146.0,69.0,35.0,33.0,46.0,55.0,40.0,78.0,21.0,22.0,72.0,23.0,50.0,53.0,52.0
4465,4.0,9.0,19.0,12.0,6.0,7.0,0.0,14.0,84.0,2.0,27.0,22.0,103.0,56.0,32.0,141.0,34.0,8.0,30.0,117.0,47.0,120.0,24.0,58.0,40.0,63.0,45.0,41.0,20.0,38.0
4514,8.0,3.0,135.0,6.0,2.0,23.0,153.0,4.0,85.0,1.0,14.0,18.0,11.0,52.0,32.0,9.0,59.0,38.0,35.0,117.0,40.0,33.0,87.0,61.0,62.0,31.0,90.0,92.0,39.0,41.0
4563,39.0,4.0,15.0,1.0,8.0,41.0,12.0,43.0,27.0,91.0,22.0,21.0,102.0,24.0,29.0,0.0,71.0,5.0,150.0,44.0,25.0,36.0,80.0,3.0,54.0,30.0,40.0,26.0,57.0,56.0
4612,0.0,7.0,20.0,16.0,5.0,9.0,152.0,89.0,8.0,65.0,144.0,143.0,24.0,22.0,1.0,145.0,33.0,36.0,29.0,116.0,42.0,120.0,88.0,21.0,39.0,43.0,63.0,61.0,38.0,44.0
4661,8.0,16.0,19.0,11.0,3.0,7.0,4.0,21.0,17.0,9.0,10.0,12.0,24.0,51.0,5.0,140.0,59.0,35.0,6.0,118.0,43.0,31.0,88.0,18.0,29.0,61.0,89.0,63.0,45.0,27.0
4710,34.0,15.0,23.0,136.0,127.0,1.0,7.0,13.0,81.0,35.0,5.0,28.0,108.0,48.0,3.0,26.0,33.0,0.0,125.0,115.0,44.0,37.0,85.0,40.0,63.0,51.0,86.0,19.0,46.0,62.0
4759,1.0,2.0,153.0,12.0,5.0,48.0,16.0,45.0,44.0,26.0,140.0,30.0,35.0,64.0,27.0,11.0,9.0,3.0,141.0,4.0,56.0,36.0,29.0,61.0,66.0,8.0,49.0,51.0,54.0,53.0
4808,1.0,3.0,16.0,2.0,4.0,9.0,8.0,24.0,40.0,6.0,141.0,18.0,101.0,21.0,5.0,30.0,70.0,33.0,34.0,96.0,56.0,36.0,79.0,23.0,51.0,73.0,48.0,50.0,54.0,53.0
4857,1.0,13.0,22.0,0.0,5.0,2.0,8.0,91.0,12.0,80.0,30.0,29.0,104.0,21.0,3.0,142.0,4.0,98.0,7.0,118.0,62.0,37.0,45.0,18.0,88.0,57.0,81.0,87.0,64.0,90.0
