,PTCH1_AMP,LOC100506776_DEL,FAM21A_DEL,PCCB_DEL,MRGPRX1_DEL,HLA-DRB6_AMP,LPA_AMP,EP300_MUT,ZNF705G_AMP,ADAM5_DEL,RBFOX1_DEL,GSTTP1_AMP,ADAM3A_DEL,FMN2_AMP,HLA-DRB5_AMP,CDCA7L_DEL,SIRPB1_AMP,HLA-DRB1_AMP,BTNL3_DEL,LOC728875_DEL,KIAA1217_DEL,SORD_AMP,TPTE_DEL,PBX1_MUT,EPHA3_MUT,HLA-H_DEL,MST1P9_AMP,HCG4B_DEL,MLL_MUT,FBXL7_DEL
617,1.0,0.0,7.0,5.0,15.0,21.0,8.0,26.0,3.0,4.0,64.0,13.0,6.0,2.0,17.0,18.0,10.0,28.0,109.0,20.0,19.0,34.0,9.0,22.0,101.0,12.0,14.0,62.0,31.0,147.0
666,0.0,8.0,1.0,11.0,31.0,5.0,10.0,17.0,7.0,13.0,9.0,135.0,14.0,6.0,2.0,24.0,54.0,15.0,137.0,73.0,12.0,4.0,30.0,38.0,22.0,34.0,16.0,32.0,36.0,178.0
715,1.0,5.0,7.0,6.0,9.0,8.0,2.0,18.0,0.0,3.0,86.0,27.0,4.0,17.0,11.0,15.0,56.0,13.0,201.0,24.0,10.0,69.0,12.0,44.0,42.0,31.0,26.0,37.0,32.0,777.0
764,4.0,6.0,16.0,8.0,5.0,12.0,1.0,14.0,7.0,23.0,38.0,64.0,22.0,2.0,51.0,24.0,3.0,11.0,186.0,178.0,60.0,37.0,31.0,20.0,67.0,0.0,79.0,52.0,10.0,1799.0
813,1.0,11.0,19.0,3.0,5.0,2.0,0.0,16.0,4.0,8.0,17.0,12.0,9.0,13.0,6.0,29.0,63.0,7.0,193.0,27.0,78.0,1599.0,14.0,24.0,56.0,126.0,257.0,33.0,26.0,4783.0
862,3.0,6.0,2.0,5.0,19.0,4.0,13.0,40.0,11.0,0.0,61.0,72.0,1.0,10.0,7.0,22.0,23.0,9.0,96.0,14.0,8.0,18.0,17.0,43.0,39.0,12.0,16.0,52.0,46.0,83.0
911,1.0,4.0,10.0,7.0,0.0,2.0,8.0,33.0,3.0,14.0,6.0,22.0,13.0,5.0,9.0,11.0,87.0,17.0,226.0,34.0,21.0,50.0,65.0,81.0,16.0,39.0,24.0,98.0,100.0,29.0
960,0.0,7.0,1.0,6.0,12.0,19.0,10.0,16.0,4.0,2.0,8.0,15.0,3.0,5.0,9.0,68.0,6065.0,50.0,69.0,112.0,87.0,67.0,13.0,63.0,18.0,14.0,28.0,22.0,20.0,48.0
1009,6.0,0.0,15.0,10.0,1.0,16.0,11.0,31.0,37.0,3.0,17.0,2.0,4.0,14.0,52.0,20.0,7.0,35.0,19.0,18.0,40.0,29.0,21.0,13.0,30.0,661.0,12.0,1226.0,459.0,23.0
1058,22.0,9.0,21.0,19.0,3.0,48.0,0.0,31.0,20.0,50.0,5.0,30.0,51.0,32.0,140.0,10.0,1.0,223.0,12.0,29.0,2.0,6.0,7.0,37.0,42.0,4.0,35.0,33.0,229.0,28.0
